surface	occurrence_count	physical_pages	source_kinds	direct_visible_recipe	selection_status	admission_color	genuinely_new_to_old_26_pages	old_local_surface_contact	old_local_recipes	direct_recipe_matches_old_local_recipe	best_shared_context_score	best_context_source_count	distinct_best_candidate_recipe_count	direct_recipe_seen_in_best_candidates	candidate_recipes_by_weight	supporting_surfaces_for_direct_recipe	new_portable_atom_count	local_opaque_atoms	working_policy	guard
fchedyr	1	f66r	P/0	LOCAL_CHAR_F+CHD+Y+R	NEW_VISIBLE_COMPOSITION	GREEN	YES	NO	NONE	NO	4	1	1	NO	LOCAL_CHAR_F+CH+EE+Y+R::1	NONE	0	NONE	DIRECT_VISIBLE_DEFAULT_RETAINED_UNTIL_BETTER_PARSE	COMPLETE_WORKING_DEFAULTS_ONLY__NO_CONFIRMED_LEXEME_OR_PLAINTEXT
folchol	1	f20v	P/0	LOCAL_CHAR_F+OL+OL	NEW_VISIBLE_COMPOSITION	GREEN	YES	NO	NONE	NO	4	4	4	NO	OT+L+CH+OL::7 | Y+L+K+OL::2 | OK+L+OL::1 | T+L+O+CH+OL::1	NONE	0	NONE	DIRECT_VISIBLE_DEFAULT_RETAINED_UNTIL_BETTER_PARSE	COMPLETE_WORKING_DEFAULTS_ONLY__NO_CONFIRMED_LEXEME_OR_PLAINTEXT
fshodchy	1	f20v	P/0	LOCAL_CHAR_F+SH+O+D_ADDR+CH+Y	NEW_VISIBLE_COMPOSITION	GREEN	YES	NO	NONE	NO	4	1	1	NO	CHD+O+Y::1	NONE	0	NONE	DIRECT_VISIBLE_DEFAULT_RETAINED_UNTIL_BETTER_PARSE	COMPLETE_WORKING_DEFAULTS_ONLY__NO_CONFIRMED_LEXEME_OR_PLAINTEXT
kardy	1	f66r	P/0	K+AR+DY	NEW_VISIBLE_COMPOSITION	GREEN	YES	NO	NONE	NO	3	1	1	NO	K+E+R+DY::1	NONE	0	NONE	DIRECT_VISIBLE_DEFAULT_RETAINED_UNTIL_BETTER_PARSE	COMPLETE_WORKING_DEFAULTS_ONLY__NO_CONFIRMED_LEXEME_OR_PLAINTEXT
kcheeky	1	f66r	P/0	K+CH+EE+K+Y	NEW_VISIBLE_COMPOSITION	GREEN	YES	NO	NONE	NO	6	2	2	YES	K+CH+K+EE+Y::5 | K+CH+EE+K+Y::1	kcheey	0	NONE	DIRECT_VISIBLE_DEFAULT_RETAINED_UNTIL_BETTER_PARSE	COMPLETE_WORKING_DEFAULTS_ONLY__NO_CONFIRMED_LEXEME_OR_PLAINTEXT
kcheody	1	f66r	P/0	K+CH+E+O+Y	NEW_VISIBLE_COMPOSITION	GREEN	YES	NO	NONE	NO	6	1	1	YES	K+CH+E+O+Y::12	cheody	0	NONE	DIRECT_VISIBLE_DEFAULT_RETAINED_UNTIL_BETTER_PARSE	COMPLETE_WORKING_DEFAULTS_ONLY__NO_CONFIRMED_LEXEME_OR_PLAINTEXT
kchody	1	f66r	P/0	K+CH+O+D_ADDR+Y	NEW_VISIBLE_COMPOSITION	GREEN	YES	NO	NONE	NO	5	5	3	YES	K+CH+O+D_ADDR+Y::9 | K+CH+O+DY::4 | K+CHD+O+Y::2	chody|kchod	0	NONE	DIRECT_VISIBLE_DEFAULT_RETAINED_UNTIL_BETTER_PARSE	COMPLETE_WORKING_DEFAULTS_ONLY__NO_CONFIRMED_LEXEME_OR_PLAINTEXT
kechody	1	f66r	P/0	K+E+CH+O+D_ADDR+Y	NEW_VISIBLE_COMPOSITION	GREEN	YES	NO	NONE	NO	5	2	2	NO	T+E+CH+O+DY::3 | D_ADDR+E+CH+O+DY::1	NONE	0	NONE	DIRECT_VISIBLE_DEFAULT_RETAINED_UNTIL_BETTER_PARSE	COMPLETE_WORKING_DEFAULTS_ONLY__NO_CONFIRMED_LEXEME_OR_PLAINTEXT
keedey	1	f31r	P/0	K+EE+D_ADDR+E+Y	NEW_VISIBLE_COMPOSITION	GREEN	YES	NO	NONE	NO	5	1	1	NO	K+EE+E+DY::7	NONE	0	NONE	DIRECT_VISIBLE_DEFAULT_RETAINED_UNTIL_BETTER_PARSE	COMPLETE_WORKING_DEFAULTS_ONLY__NO_CONFIRMED_LEXEME_OR_PLAINTEXT
keeol	1	f31r	P/0	K+EE+O+L	NEW_VISIBLE_COMPOSITION	GREEN	YES	NO	NONE	NO	5	1	1	NO	OK+EE+L::4	NONE	0	NONE	DIRECT_VISIBLE_DEFAULT_RETAINED_UNTIL_BETTER_PARSE	COMPLETE_WORKING_DEFAULTS_ONLY__NO_CONFIRMED_LEXEME_OR_PLAINTEXT
keody	3	f20v|f66r	P/0	K+E+O+D_ADDR+Y	NEW_VISIBLE_COMPOSITION	GREEN	YES	NO	NONE	NO	5	2	2	NO	OK+E+D_ADDR+Y::3 | Y+K+E+O+D_ADDR::1	NONE	0	NONE	DIRECT_VISIBLE_DEFAULT_RETAINED_UNTIL_BETTER_PARSE	COMPLETE_WORKING_DEFAULTS_ONLY__NO_CONFIRMED_LEXEME_OR_PLAINTEXT
kodalchy	1	f4r	P/0	K+O+D_ADDR+AL+CH+Y	NEW_VISIBLE_COMPOSITION	GREEN	YES	NO	NONE	NO	4	2	2	NO	K+O+D_ADDR+AIIN+Y::1 | K+O+D_ADDR+SH+E+SH+Y::1	NONE	0	NONE	DIRECT_VISIBLE_DEFAULT_RETAINED_UNTIL_BETTER_PARSE	COMPLETE_WORKING_DEFAULTS_ONLY__NO_CONFIRMED_LEXEME_OR_PLAINTEXT
kodary	1	f66r	P/0	K+O+D_ADDR+AR+Y	NEW_VISIBLE_COMPOSITION	GREEN	YES	NO	NONE	NO	3	5	5	NO	AR+D_ADDR+Y::1 | K+OL+P+R+Y::1 | K+OL+R+DY::1 | L+T+D_ADDR+AR+Y::1 | P+D_ADDR+AR+AR::1	NONE	0	NONE	DIRECT_VISIBLE_DEFAULT_RETAINED_UNTIL_BETTER_PARSE	COMPLETE_WORKING_DEFAULTS_ONLY__NO_CONFIRMED_LEXEME_OR_PLAINTEXT
kody	1	f66r	P/0	K+O+DY	NEW_VISIBLE_COMPOSITION	GREEN	YES	NO	NONE	NO	4	1	1	YES	K+O+DY::1	koldy	0	NONE	DIRECT_VISIBLE_DEFAULT_RETAINED_UNTIL_BETTER_PARSE	COMPLETE_WORKING_DEFAULTS_ONLY__NO_CONFIRMED_LEXEME_OR_PLAINTEXT
ld	1	f66r	P/0	L+D_ADDR	NEW_VISIBLE_COMPOSITION	GREEN	YES	NO	NONE	NO	2	2	1	YES	L+D_ADDR::7	ldy|lod	0	NONE	DIRECT_VISIBLE_DEFAULT_RETAINED_UNTIL_BETTER_PARSE	COMPLETE_WORKING_DEFAULTS_ONLY__NO_CONFIRMED_LEXEME_OR_PLAINTEXT
lkeol	1	f66r	P/0	L+K+E+OL	NEW_VISIBLE_COMPOSITION	GREEN	YES	NO	NONE	NO	5	1	1	YES	L+K+E+OL::1	olkeol	0	NONE	DIRECT_VISIBLE_DEFAULT_RETAINED_UNTIL_BETTER_PARSE	COMPLETE_WORKING_DEFAULTS_ONLY__NO_CONFIRMED_LEXEME_OR_PLAINTEXT
lodaiin	1	f66r	P/0	L+O+D_ADDR+AIIN	NEW_VISIBLE_COMPOSITION	GREEN	YES	NO	NONE	NO	6	5	3	YES	L+O+D_ADDR+AIIN::7 | L+O+AIIN::3 | O+L+AIIN::1	kodaiin|odaiin	0	NONE	DIRECT_VISIBLE_DEFAULT_RETAINED_UNTIL_BETTER_PARSE	COMPLETE_WORKING_DEFAULTS_ONLY__NO_CONFIRMED_LEXEME_OR_PLAINTEXT
lpchees	1	f66r	P/0	L+P+CH+EE+S	NEW_VISIBLE_COMPOSITION	GREEN	YES	NO	NONE	NO	3	3	3	NO	OT+EE+SH+Y::1 | OT+EEE+SH+S_ADDR::1 | Y+E+K+EE+SH::1	NONE	0	NONE	DIRECT_VISIBLE_DEFAULT_RETAINED_UNTIL_BETTER_PARSE	COMPLETE_WORKING_DEFAULTS_ONLY__NO_CONFIRMED_LEXEME_OR_PLAINTEXT
lsheody	1	f66r	P/0	L+SH+E+O+D_ADDR+Y	NEW_VISIBLE_COMPOSITION	GREEN	YES	NO	NONE	NO	7	1	1	NO	L+SH+E+D_ADDR+Y::1	NONE	0	NONE	DIRECT_VISIBLE_DEFAULT_RETAINED_UNTIL_BETTER_PARSE	COMPLETE_WORKING_DEFAULTS_ONLY__NO_CONFIRMED_LEXEME_OR_PLAINTEXT
ltsholy	1	f66r	P/0	L+T+SH+OL+Y	NEW_VISIBLE_COMPOSITION	GREEN	YES	NO	NONE	NO	3	2	2	NO	L+T+EE+D_ADDR+L+Y::1 | SH+E+SH+OL+Y::1	NONE	0	NONE	DIRECT_VISIBLE_DEFAULT_RETAINED_UNTIL_BETTER_PARSE	COMPLETE_WORKING_DEFAULTS_ONLY__NO_CONFIRMED_LEXEME_OR_PLAINTEXT
odair	1	f66r	P/0	O+D_ADDR+AIR	OLD_LOCAL_SURFACE_NEW_RUNNING_CONTEXT_VISIBLE_RESEGMENTATION	GREEN	NO	YES	O+D_ADDR+AIR	YES	5	1	1	YES	O+D_ADDR+AIR::1	oldair	0	NONE	DIRECT_VISIBLE_DEFAULT_RETAINED_UNTIL_BETTER_PARSE	COMPLETE_WORKING_DEFAULTS_ONLY__NO_CONFIRMED_LEXEME_OR_PLAINTEXT
ofaram	1	f66r	P/0	O+LOCAL_CHAR_F+AR+AM_ADDR	NEW_VISIBLE_COMPOSITION	GREEN	YES	NO	NONE	NO	2	7	7	NO	CHD+R+AM_ADDR::2 | K+O+R+E+AM_ADDR::1 | O+D_ADDR+R+AM_ADDR::1 | O+LOCAL_CHAR_F+Y+DY+M_LOCAL::1 | OK+E+O+A_ADDR+AM_ADDR::1 | OK+R+AM_ADDR::1 | T+AL+R+AM_ADDR::1	NONE	0	NONE	DIRECT_VISIBLE_DEFAULT_RETAINED_UNTIL_BETTER_PARSE	COMPLETE_WORKING_DEFAULTS_ONLY__NO_CONFIRMED_LEXEME_OR_PLAINTEXT
okalchedy	1	f66r	P/0	OK+AL+CHD+Y	NEW_VISIBLE_COMPOSITION	GREEN	YES	NO	NONE	NO	8	1	1	YES	OK+AL+CHD+Y::1	okarchedy	0	NONE	DIRECT_VISIBLE_DEFAULT_RETAINED_UNTIL_BETTER_PARSE	COMPLETE_WORKING_DEFAULTS_ONLY__NO_CONFIRMED_LEXEME_OR_PLAINTEXT
okedals	1	f66r	P/0	OK+AL+S	NEW_VISIBLE_COMPOSITION	GREEN	YES	NO	NONE	NO	6	1	1	YES	OK+AL+S::2	okedal	0	NONE	DIRECT_VISIBLE_DEFAULT_RETAINED_UNTIL_BETTER_PARSE	COMPLETE_WORKING_DEFAULTS_ONLY__NO_CONFIRMED_LEXEME_OR_PLAINTEXT
okedam	1	f31r	P/0	OK+E+D_ADDR+AM_ADDR	NEW_VISIBLE_COMPOSITION	AMBER	YES	NO	NONE	NO	5	1	1	NO	OK+AL+M_LOCAL::2	NONE	0	NONE	DIRECT_VISIBLE_DEFAULT_RETAINED_UNTIL_BETTER_PARSE	COMPLETE_WORKING_DEFAULTS_ONLY__NO_CONFIRMED_LEXEME_OR_PLAINTEXT
okoy	1	f20v	P/0	OK+O+Y	NEW_VISIBLE_COMPOSITION	GREEN	YES	NO	NONE	NO	4	1	1	YES	OK+O+Y::1	okeoy	0	NONE	DIRECT_VISIBLE_DEFAULT_RETAINED_UNTIL_BETTER_PARSE	COMPLETE_WORKING_DEFAULTS_ONLY__NO_CONFIRMED_LEXEME_OR_PLAINTEXT
okyd	1	f66r	P/0	OK+Y+D_ADDR	OLD_LOCAL_SURFACE_NEW_RUNNING_CONTEXT_VISIBLE_RESEGMENTATION	GREEN	NO	YES	LOCAL_ADDRESS	NO	3	1	1	YES	OK+Y+D_ADDR::13	oky	0	NONE	DIRECT_VISIBLE_DEFAULT_RETAINED_UNTIL_BETTER_PARSE	COMPLETE_WORKING_DEFAULTS_ONLY__NO_CONFIRMED_LEXEME_OR_PLAINTEXT
olsheor	1	f31r	P/0	OL+SH+E+OR	NEW_VISIBLE_COMPOSITION	GREEN	YES	NO	NONE	NO	6	2	2	NO	OL+K+E+OR::2 | OL+SH+E+O+DY::1	NONE	0	NONE	DIRECT_VISIBLE_DEFAULT_RETAINED_UNTIL_BETTER_PARSE	COMPLETE_WORKING_DEFAULTS_ONLY__NO_CONFIRMED_LEXEME_OR_PLAINTEXT
otalor	1	f66r	P/0	OT+AL+OR	NEW_VISIBLE_COMPOSITION	GREEN	YES	NO	NONE	NO	5	1	1	NO	O+L+AL+OR::1	NONE	0	NONE	DIRECT_VISIBLE_DEFAULT_RETAINED_UNTIL_BETTER_PARSE	COMPLETE_WORKING_DEFAULTS_ONLY__NO_CONFIRMED_LEXEME_OR_PLAINTEXT
otcheo	1	f66r	L/x	OT+CH+E+O	NEW_VISIBLE_COMPOSITION	LOCAL	YES	NO	NONE	NO	5	1	1	NO	OT+O::5	NONE	0	NONE	DIRECT_VISIBLE_DEFAULT_RETAINED_UNTIL_BETTER_PARSE	COMPLETE_WORKING_DEFAULTS_ONLY__NO_CONFIRMED_LEXEME_OR_PLAINTEXT
oteochey	1	f66r	P/0	OT+E+O+CH+E+Y	NEW_VISIBLE_COMPOSITION	GREEN	YES	NO	NONE	NO	6	1	1	NO	OK+E+O+Y::1	NONE	0	NONE	DIRECT_VISIBLE_DEFAULT_RETAINED_UNTIL_BETTER_PARSE	COMPLETE_WORKING_DEFAULTS_ONLY__NO_CONFIRMED_LEXEME_OR_PLAINTEXT
p	1	f66r	L/0	P	NEW_VISIBLE_COMPOSITION	LOCAL	YES	NO	NONE	NO	0	9	2	YES	P::149 | P+LOCAL_CHAR_G::1	d|k|l|o|r|s|t|y	0	NONE	DIRECT_VISIBLE_DEFAULT_RETAINED_UNTIL_BETTER_PARSE	COMPLETE_WORKING_DEFAULTS_ONLY__NO_CONFIRMED_LEXEME_OR_PLAINTEXT
pchof	1	f66r	P/0	P+CH+O+LOCAL_CHAR_F	NEW_VISIBLE_COMPOSITION	GREEN	YES	NO	NONE	NO	4	1	1	NO	P+CH+F+OR::1	NONE	0	NONE	DIRECT_VISIBLE_DEFAULT_RETAINED_UNTIL_BETTER_PARSE	COMPLETE_WORKING_DEFAULTS_ONLY__NO_CONFIRMED_LEXEME_OR_PLAINTEXT
pdaiin	1	f66r	P/0	P+AIIN	NEW_VISIBLE_COMPOSITION	GREEN	YES	NO	NONE	NO	5	4	2	YES	P+AIIN::101 | P+D_ADDR+AIIN::11	daiin|ldaiin	0	NONE	DIRECT_VISIBLE_DEFAULT_RETAINED_UNTIL_BETTER_PARSE	COMPLETE_WORKING_DEFAULTS_ONLY__NO_CONFIRMED_LEXEME_OR_PLAINTEXT
pofochey	1	f20v	P/0	P+O+LOCAL_CHAR_F+O+CH+E+Y	NEW_VISIBLE_COMPOSITION	GREEN	YES	NO	NONE	NO	4	6	6	NO	OL+O+Y::5 | AR+CH+O+EE+Y::1 | L+O+Y::1 | O+P+O+E+Y::1 | OT+O+CHD+Y::1 | R+AL+O+CH+E+Y::1	NONE	0	NONE	DIRECT_VISIBLE_DEFAULT_RETAINED_UNTIL_BETTER_PARSE	COMPLETE_WORKING_DEFAULTS_ONLY__NO_CONFIRMED_LEXEME_OR_PLAINTEXT
psheody	1	f66r	P/0	P+SH+E+O+D_ADDR+Y	NEW_VISIBLE_COMPOSITION	GREEN	YES	NO	NONE	NO	6	2	2	YES	P+SH+E+O+D_ADDR+Y::4 | P+SH+E+O+DY::1	sheody	0	NONE	DIRECT_VISIBLE_DEFAULT_RETAINED_UNTIL_BETTER_PARSE	COMPLETE_WORKING_DEFAULTS_ONLY__NO_CONFIRMED_LEXEME_OR_PLAINTEXT
pydaiin	1	f4r	P/0	P+Y+D_ADDR+AIIN	NEW_VISIBLE_COMPOSITION	GREEN	YES	NO	NONE	NO	6	1	1	YES	P+Y+D_ADDR+AIIN::5	ydaiin	0	NONE	DIRECT_VISIBLE_DEFAULT_RETAINED_UNTIL_BETTER_PARSE	COMPLETE_WORKING_DEFAULTS_ONLY__NO_CONFIRMED_LEXEME_OR_PLAINTEXT
qef	1	f31r	P/0	E+LOCAL_CHAR_F	NEW_VISIBLE_COMPOSITION	GREEN	YES	NO	NONE	NO	2	1	1	YES	E+LOCAL_CHAR_F::1	qof	0	NONE	DIRECT_VISIBLE_DEFAULT_RETAINED_UNTIL_BETTER_PARSE	COMPLETE_WORKING_DEFAULTS_ONLY__NO_CONFIRMED_LEXEME_OR_PLAINTEXT
qocthedy	1	f66r	P/0	CARRIER_Q+O+CH+T+E+Y	NEW_VISIBLE_COMPOSITION	AMBER	YES	NO	NONE	NO	7	2	2	YES	CARRIER_Q+O+CH+T+E+Y::1 | O+CH+T+E+Y::1	qocthey	0	NONE	DIRECT_VISIBLE_DEFAULT_RETAINED_UNTIL_BETTER_PARSE	COMPLETE_WORKING_DEFAULTS_ONLY__NO_CONFIRMED_LEXEME_OR_PLAINTEXT
qoekedy	1	f31r	P/0	CARRIER_Q+O+E+K+E+DY	NEW_VISIBLE_COMPOSITION	GREEN	YES	NO	NONE	NO	6	3	3	YES	OK+E+E+DY::55 | CARRIER_Q+O+K+EE+D_ADDR+Y::2 | CARRIER_Q+O+E+K+E+DY::1	qoesedy	0	NONE	DIRECT_VISIBLE_DEFAULT_RETAINED_UNTIL_BETTER_PARSE	COMPLETE_WORKING_DEFAULTS_ONLY__NO_CONFIRMED_LEXEME_OR_PLAINTEXT
qokaiir	1	f66r	P/0	OK+IIN+R	NEW_VISIBLE_COMPOSITION	GREEN	YES	NO	NONE	NO	6	3	2	YES	OK+IIN+R::40 | OK+LOCAL_CHAR_I+AIR::2	okaiir|qokaiin	0	NONE	DIRECT_VISIBLE_DEFAULT_RETAINED_UNTIL_BETTER_PARSE	COMPLETE_WORKING_DEFAULTS_ONLY__NO_CONFIRMED_LEXEME_OR_PLAINTEXT
qokchey	1	f66r	P/0	OK+CH+E+Y	NEW_VISIBLE_COMPOSITION	GREEN	YES	NO	NONE	NO	7	2	2	YES	OK+CHD+Y::4 | OK+CH+E+Y::1	qokcheey	0	NONE	DIRECT_VISIBLE_DEFAULT_RETAINED_UNTIL_BETTER_PARSE	COMPLETE_WORKING_DEFAULTS_ONLY__NO_CONFIRMED_LEXEME_OR_PLAINTEXT
qokee	1	f31r	P/0	OK+EE	NEW_VISIBLE_COMPOSITION	GREEN	YES	NO	NONE	NO	5	3	1	YES	OK+EE::52	qokeed|qokeeo|qokeey	0	NONE	DIRECT_VISIBLE_DEFAULT_RETAINED_UNTIL_BETTER_PARSE	COMPLETE_WORKING_DEFAULTS_ONLY__NO_CONFIRMED_LEXEME_OR_PLAINTEXT
qokeedar	1	f66r	P/0	OK+EE+D_ADDR+AR	NEW_VISIBLE_COMPOSITION	GREEN	YES	NO	NONE	NO	7	2	2	YES	OK+EE+AR::1 | OK+EE+D_ADDR+AR::1	qokedar	0	NONE	DIRECT_VISIBLE_DEFAULT_RETAINED_UNTIL_BETTER_PARSE	COMPLETE_WORKING_DEFAULTS_ONLY__NO_CONFIRMED_LEXEME_OR_PLAINTEXT
qokees	2	f31r|f66r	P/0	OK+EE+S	NEW_VISIBLE_COMPOSITION	GREEN	YES	NO	NONE	NO	5	4	1	YES	OK+EE+S::55	okees|qokeed|qokeeo|qokeey	0	NONE	DIRECT_VISIBLE_DEFAULT_RETAINED_UNTIL_BETTER_PARSE	COMPLETE_WORKING_DEFAULTS_ONLY__NO_CONFIRMED_LEXEME_OR_PLAINTEXT
qokshd	1	f66r	P/0	OK+SH+D_ADDR	NEW_VISIBLE_COMPOSITION	GREEN	YES	NO	NONE	NO	6	1	1	YES	OK+SH+D_ADDR::1	qokshdy	0	NONE	DIRECT_VISIBLE_DEFAULT_RETAINED_UNTIL_BETTER_PARSE	COMPLETE_WORKING_DEFAULTS_ONLY__NO_CONFIRMED_LEXEME_OR_PLAINTEXT
qolsa	1	f66r	L/0	OL+S+A_ADDR	NEW_VISIBLE_COMPOSITION	LOCAL	YES	NO	NONE	NO	3	2	2	NO	OL+Y+A_ADDR::2 | OL+P+A_ADDR::1	NONE	0	NONE	DIRECT_VISIBLE_DEFAULT_RETAINED_UNTIL_BETTER_PARSE	COMPLETE_WORKING_DEFAULTS_ONLY__NO_CONFIRMED_LEXEME_OR_PLAINTEXT
qopaiin	1	f66r	P/0	CARRIER_Q+O+P+AIIN	NEW_VISIBLE_COMPOSITION	GREEN	YES	NO	NONE	NO	6	6	5	NO	OK+P+AIIN::38 | OT+P+AIIN::10 | CARRIER_Q+P+O+AIIN::6 | CARRIER_Q+P+O+LOCAL_CHAR_F+AIIN::1 | OL+P+AIIN::1	NONE	0	NONE	DIRECT_VISIBLE_DEFAULT_RETAINED_UNTIL_BETTER_PARSE	COMPLETE_WORKING_DEFAULTS_ONLY__NO_CONFIRMED_LEXEME_OR_PLAINTEXT
qotchoiin	1	f4r	P/0	OT+CH+O+IIN	NEW_VISIBLE_COMPOSITION	GREEN	YES	NO	NONE	NO	5	1	1	NO	OK+O+O+AIIN::1	NONE	0	NONE	DIRECT_VISIBLE_DEFAULT_RETAINED_UNTIL_BETTER_PARSE	COMPLETE_WORKING_DEFAULTS_ONLY__NO_CONFIRMED_LEXEME_OR_PLAINTEXT
qotedal	1	f66r	P/0	OT+E+AL	NEW_VISIBLE_COMPOSITION	GREEN	YES	NO	NONE	NO	5	2	2	NO	OT+E+DY+L::17 | OT+E+A_ADDR+OL::1	NONE	0	NONE	DIRECT_VISIBLE_DEFAULT_RETAINED_UNTIL_BETTER_PARSE	COMPLETE_WORKING_DEFAULTS_ONLY__NO_CONFIRMED_LEXEME_OR_PLAINTEXT
qoteeod	1	f66r	P/0	OT+EE+O+D_ADDR	NEW_VISIBLE_COMPOSITION	GREEN	YES	NO	NONE	NO	7	1	1	YES	OT+EE+O+D_ADDR::1	qoteeody	0	NONE	DIRECT_VISIBLE_DEFAULT_RETAINED_UNTIL_BETTER_PARSE	COMPLETE_WORKING_DEFAULTS_ONLY__NO_CONFIRMED_LEXEME_OR_PLAINTEXT
qoteoly	1	f66r	P/0	OT+E+OL+Y	NEW_VISIBLE_COMPOSITION	GREEN	YES	NO	NONE	NO	6	2	2	YES	OT+E+O+L+DY::1 | OT+E+OL+Y::1	qoteol	0	NONE	DIRECT_VISIBLE_DEFAULT_RETAINED_UNTIL_BETTER_PARSE	COMPLETE_WORKING_DEFAULTS_ONLY__NO_CONFIRMED_LEXEME_OR_PLAINTEXT
qotesy	1	f66r	L/0	OT+E+S+Y	NEW_VISIBLE_COMPOSITION	LOCAL	YES	NO	NONE	NO	6	1	1	YES	OT+E+S+Y::1	qoteesy	0	NONE	DIRECT_VISIBLE_DEFAULT_RETAINED_UNTIL_BETTER_PARSE	COMPLETE_WORKING_DEFAULTS_ONLY__NO_CONFIRMED_LEXEME_OR_PLAINTEXT
rals	1	f66r	L/0	R+AL+S	NEW_VISIBLE_COMPOSITION	LOCAL	YES	NO	NONE	NO	3	3	1	YES	R+AL+S::4	dals|ral|raly	0	NONE	DIRECT_VISIBLE_DEFAULT_RETAINED_UNTIL_BETTER_PARSE	COMPLETE_WORKING_DEFAULTS_ONLY__NO_CONFIRMED_LEXEME_OR_PLAINTEXT
raral	1	f66r	L/0	R+AR+AL	NEW_VISIBLE_COMPOSITION	LOCAL	YES	NO	NONE	NO	4	1	1	YES	R+AR+AL::1	saral	0	NONE	DIRECT_VISIBLE_DEFAULT_RETAINED_UNTIL_BETTER_PARSE	COMPLETE_WORKING_DEFAULTS_ONLY__NO_CONFIRMED_LEXEME_OR_PLAINTEXT
rary	1	f66r	L/0	R+AR+Y	NEW_VISIBLE_COMPOSITION	LOCAL	YES	NO	NONE	NO	3	4	3	YES	R+DA+R+Y::5 | R+AR+Y::2 | R+A_ADDR+R+Y::1	raly|rory	0	NONE	DIRECT_VISIBLE_DEFAULT_RETAINED_UNTIL_BETTER_PARSE	COMPLETE_WORKING_DEFAULTS_ONLY__NO_CONFIRMED_LEXEME_OR_PLAINTEXT
rotaiin	1	f66r	P/0	R+OT+AIIN	NEW_VISIBLE_COMPOSITION	GREEN	YES	NO	NONE	NO	6	3	1	YES	R+OT+AIIN::20	otaiin|qotaiin|sotaiin	0	NONE	DIRECT_VISIBLE_DEFAULT_RETAINED_UNTIL_BETTER_PARSE	COMPLETE_WORKING_DEFAULTS_ONLY__NO_CONFIRMED_LEXEME_OR_PLAINTEXT
saiir	1	f66r	P/0	S+IIN+R	OLD_LOCAL_SURFACE_NEW_RUNNING_CONTEXT_VISIBLE_RESEGMENTATION	GREEN	NO	YES	S+AIIN+R	NO	5	1	1	YES	S+IIN+R::1	syaiir	0	NONE	DIRECT_VISIBLE_DEFAULT_RETAINED_UNTIL_BETTER_PARSE	COMPLETE_WORKING_DEFAULTS_ONLY__NO_CONFIRMED_LEXEME_OR_PLAINTEXT
saiis	1	f31r	P/0	S+IIN+S	NEW_VISIBLE_COMPOSITION	GREEN	YES	NO	NONE	NO	4	2	2	YES	S+IIN+S::20 | S+AIIN+S::1	saiin	0	NONE	DIRECT_VISIBLE_DEFAULT_RETAINED_UNTIL_BETTER_PARSE	COMPLETE_WORKING_DEFAULTS_ONLY__NO_CONFIRMED_LEXEME_OR_PLAINTEXT
salf	1	f66r	L/0	S+AL+LOCAL_CHAR_F	NEW_VISIBLE_COMPOSITION	LOCAL	YES	NO	NONE	NO	1	1	1	NO	O+L+LOCAL_CHAR_F::1	NONE	0	NONE	DIRECT_VISIBLE_DEFAULT_RETAINED_UNTIL_BETTER_PARSE	COMPLETE_WORKING_DEFAULTS_ONLY__NO_CONFIRMED_LEXEME_OR_PLAINTEXT
saly	1	f66r	L/0	S+AL+Y	NEW_VISIBLE_COMPOSITION	LOCAL	YES	NO	NONE	NO	4	1	1	YES	S+AL+Y::1	saldy	0	NONE	DIRECT_VISIBLE_DEFAULT_RETAINED_UNTIL_BETTER_PARSE	COMPLETE_WORKING_DEFAULTS_ONLY__NO_CONFIRMED_LEXEME_OR_PLAINTEXT
shain	2	f20v|f4r	P/0	SH+AIN	NEW_VISIBLE_COMPOSITION	GREEN	YES	NO	NONE	NO	5	1	1	YES	SH+AIN::4	shaiin	0	NONE	DIRECT_VISIBLE_DEFAULT_RETAINED_UNTIL_BETTER_PARSE	COMPLETE_WORKING_DEFAULTS_ONLY__NO_CONFIRMED_LEXEME_OR_PLAINTEXT
shckhar	1	f66r	P/0	SH+CH+K+AR	NEW_VISIBLE_COMPOSITION	GREEN	YES	NO	NONE	NO	5	1	1	NO	SH+CH+K+Y+R::11	NONE	0	NONE	DIRECT_VISIBLE_DEFAULT_RETAINED_UNTIL_BETTER_PARSE	COMPLETE_WORKING_DEFAULTS_ONLY__NO_CONFIRMED_LEXEME_OR_PLAINTEXT
shckheody	1	f66r	P/0	SH+CH+K+E+O+DY	NEW_VISIBLE_COMPOSITION	GREEN	YES	NO	NONE	NO	8	1	1	YES	SH+CH+K+E+O+DY::3	shckhedy	0	NONE	DIRECT_VISIBLE_DEFAULT_RETAINED_UNTIL_BETTER_PARSE	COMPLETE_WORKING_DEFAULTS_ONLY__NO_CONFIRMED_LEXEME_OR_PLAINTEXT
shd	1	f20v	P/0	SH+D_ADDR	NEW_VISIBLE_COMPOSITION	GREEN	YES	NO	NONE	NO	3	3	1	YES	SH+D_ADDR::9	shdy|shed|shod	0	NONE	DIRECT_VISIBLE_DEFAULT_RETAINED_UNTIL_BETTER_PARSE	COMPLETE_WORKING_DEFAULTS_ONLY__NO_CONFIRMED_LEXEME_OR_PLAINTEXT
