statement_id	page	record	silent_owner_de	supplied_work_object_de	literal_workshop_clause_de	fluent_working_translation_de	translation_status
B4-S005	f83r	B4	sichtbares Figurenpaar mit gemeinsamem Bogen in B4	die Flüssigkeit zwischen dem Figurenpaar	den laufenden Posten als Portion abmessen und umsetzen	Die Flüssigkeit zwischen dem Figurenpaar als Portion abmessen und umsetzen.	CONCRETE_WORKING_READING
B4-S006	f83r	B4	sichtbares Figurenpaar mit gemeinsamem Bogen in B4	die Flüssigkeit zwischen dem Figurenpaar	den laufenden Posten durch den Durchlass kurz zurückhalten und den Schritt schließen	Die Flüssigkeit zwischen dem Figurenpaar durch den Durchlass kurz zurückhalten; schließe damit diesen Arbeitsschritt.	CONCRETE_WORKING_READING
B4-S007	f83r	B4	sichtbares Figurenpaar mit gemeinsamem Bogen in B4	die Flüssigkeit zwischen dem Figurenpaar	den laufenden Posten durch den Durchlass kurz zurückhalten und den Schritt schließen	Die Flüssigkeit zwischen dem Figurenpaar durch den Durchlass kurz zurückhalten; schließe damit diesen Arbeitsschritt.	CONCRETE_WORKING_READING
B4-S008	f83r	B4	sichtbares Figurenpaar mit gemeinsamem Bogen in B4	die Flüssigkeit zwischen dem Figurenpaar	den laufenden Posten nach vorgeschriebenem Maß länger warm halten	Die Flüssigkeit zwischen dem Figurenpaar nach vorgeschriebenem Maß länger warm halten.	CONCRETE_WORKING_READING
B4-S009	f83r	B4	sichtbares Figurenpaar mit gemeinsamem Bogen in B4	die Flüssigkeit zwischen dem Figurenpaar	den laufenden Posten absetzen lassen und den Schritt schließen	Die Flüssigkeit zwischen dem Figurenpaar absetzen lassen; schließe damit diesen Arbeitsschritt.	CONCRETE_WORKING_READING
B4-S010	f83r	B4	sichtbares Figurenpaar mit gemeinsamem Bogen in B4	die Flüssigkeit zwischen dem Figurenpaar	weiterarbeiten und den Schritt schließen	Weiterarbeiten; schließe damit diesen Arbeitsschritt.	CONCRETE_WORKING_READING
B4-S011	f83r	B4	linke Hauptstation mit offenem Fransenlauf	die Flüssigkeit der linken Hauptstation	den laufenden Posten nach vorgeschriebenem Maß kurz warm halten	Die Flüssigkeit der linken Hauptstation nach vorgeschriebenem Maß kurz warm halten.	CONCRETE_WORKING_READING
B4-S012	f83r	B4	linke Hauptstation mit offenem Fransenlauf	die Flüssigkeit der linken Hauptstation	den laufenden Posten abführen und überführen und den Schritt schließen	Die Flüssigkeit der linken Hauptstation abführen und überführen; schließe damit diesen Arbeitsschritt.	CONCRETE_WORKING_READING
B4-S013	f83r	B4	linke Hauptstation mit offenem Fransenlauf	die Flüssigkeit der linken Hauptstation	den laufenden Posten weiter einsetzen	Die Flüssigkeit der linken Hauptstation weiter einsetzen.	CONCRETE_WORKING_READING
B4-S014	f83r	B4	linke Hauptstation mit offenem Fransenlauf	die Flüssigkeit der linken Hauptstation	den Ansatz mit dem laufenden Bestand kurz durch den Durchlass führen und den Schritt schließen	Den Ansatz mit dem laufenden Bestand kurz durch den Durchlass führen; schließe damit diesen Arbeitsschritt.	CONCRETE_WORKING_READING
B4-S015	f83r	B4	linke Hauptstation mit offenem Fransenlauf	die Flüssigkeit der linken Hauptstation	eine Portion einsetzen	Eine abgeteilte Portion der Arbeitsflüssigkeit einsetzen.	CONCRETE_WORKING_READING
B4-S016	f83r	B4	rechte Hauptstation mit S-Lauf und Mehrarmknoten	die Flüssigkeit der rechten Hauptstation	eine Portion weiter dosiert zugeben	Eine abgeteilte Portion der Arbeitsflüssigkeit weiter dosiert zugeben.	CONCRETE_WORKING_READING
B5-S001	f83r	B5	linke Fransenstation im B5-Nachtrag	die Flüssigkeit der linken Fransenstation	danach den laufenden Posten überführen und den Schritt schließen	Danach die Flüssigkeit der linken Fransenstation überführen; schließe damit diesen Arbeitsschritt.	CONCRETE_WORKING_READING
B5-S002	f83r	B5	linke Fransenstation im B5-Nachtrag	die Flüssigkeit der linken Fransenstation	den laufenden Posten einsetzen und überführen und den Schritt schließen	Die Flüssigkeit der linken Fransenstation einsetzen und überführen; schließe damit diesen Arbeitsschritt.	CONCRETE_WORKING_READING
B5-S003	f83r	B5	linke Fransenstation im B5-Nachtrag	die Flüssigkeit der linken Fransenstation	den laufenden Posten an der bezeichneten Stelle ablagern	Die Flüssigkeit der linken Fransenstation an der im Bild bezeichneten Stelle ablagern.	CONCRETE_WORKING_READING
B6-S001	f83r	B6	rechter S-Lauf im B6-Nachtrag	die Flüssigkeit im rechten S-Lauf	den laufenden Posten länger auffangen	Die Flüssigkeit im rechten S-Lauf länger auffangen.	CONCRETE_WORKING_READING
