statement_order	statement_id	record_unit_id	page	visible_surface_sequence	semantic_atom_program	owner_expanded_literal_statement_de	selected_content_layer	current_reading_de
64	B3-S002	B3	f83r	qotal chkeedy	OT+AL | CHK+EE+CLOSE	Vorgang=folgen→wärmen; Reihenfolge=danach; Ziel=gesetzt; Grad=länger; Schluss.	ZUBEREITUNG_SERVICE	Für die Charge der oberen offenen Fächerstation: Führe danach dorthin, wärme länger und schließe.
65	B3-S003	B3	f83r	chey daiin chey lchedy	Y | AIIN | Y | L+CHD+CLOSE	Vorgang=abführen→umsetzen; Posten=Posten; Wert=Sollmaß; Schluss.	ZUBEREITUNG_SERVICE	Für die Charge der oberen offenen Fächerstation: Nimm den aktuellen Posten nach Sollmaß, führe ihn ab und schließe.
66	B3-S004	B3	f83r	qokaiin qotal dar	OK+AIIN | OT+AL | AR	Vorgang=ansetzen→folgen; Reihenfolge=danach; Quelle=gesetzt; Ziel=gesetzt; Wert=Sollmaß.	ZUBEREITUNG_SERVICE	Für die Charge der oberen offenen Fächerstation: Stelle das Sollmaß ein, führe danach dorthin und nimm daraus.
67	B3-S005	B3	f83r	schedy	CHD+CLOSE	Vorgang=umsetzen; Schluss.	ZUBEREITUNG_SERVICE	Für die Charge des runden Randgefäßes: Setze die entnommene Sollmaßportion um und schließe.
68	B3-S006	B3	f83r	chedchy qokal olchedy	CHD+Y | OK+AL | OL+CHD+CLOSE	Vorgang=umsetzen; Posten=Posten. Vorgang=ansetzen; Ziel=gesetzt. Vorgang=weiterführen→umsetzen; Reihenfolge=weiter; Schluss.	ZUBEREITUNG_SERVICE	Für die Charge des runden Randgefäßes: Setze dorthin um, führe weiter und schließe.
69	B3-S007	B3	f83r	qokaiin chedy qokeedy	OK+AIIN | CHD+Y | OK+EE+CLOSE	Vorgang=ansetzen; Wert=Sollmaß. Vorgang=umsetzen; Posten=Posten. Vorgang=ansetzen; Grad=länger; Schluss.	ZUBEREITUNG_SERVICE	Für die Charge des runden Randgefäßes: Stelle das Sollmaß ein, setze um, setze länger an und schließe.
70	B3-S008	B3	f83r	lchedy	L+CHD+CLOSE	Vorgang=abführen→umsetzen; Schluss.	ZUBEREITUNG_SERVICE	Für die Charge des runden Randgefäßes: Führe ab und schließe.
71	B3-S009	B3	f83r	qoky	OK+Y	Vorgang=ansetzen; Posten=Posten.	ZUBEREITUNG_SERVICE	Für die Charge des runden Randgefäßes: Setze den Posten an.
72	B3-S010	B3	f83r	pchedal otedy	P+CHD+AL | OT+E+CLOSE	Vorgang=zuführen→umsetzen→folgen; Reihenfolge=danach; Ziel=gesetzt; Grad=kurz; Schluss.	ZUBEREITUNG_SERVICE	Für die Charge des unteren Korb-/Randgefäßes: Führe den angesetzten Posten am Einlass zu, nimm die kurze Folge und schließe.
73	B3-S011	B3	f83r	shecthedchy qoky chedy chary	CTH+CHD+Y | OK+Y | CHD+Y | AR+Y	Vorgang=bereithalten→umsetzen; Posten=Posten; Zustand=bereit. Vorgang=ansetzen; Posten=Posten. Vorgang=umsetzen; Posten=Posten; Quelle=gesetzt.	ZUBEREITUNG_SERVICE	Für die Charge des unteren Korb-/Randgefäßes: Setze den bereiten Posten um, setze ihn an, setze erneut um und nimm daraus den folgenden Posten.
74	B3-S012	B3	f83r	sor shedy	OR | SHED+E+CLOSE	Vorgang=absetzen; Posten=Ansatz; Grad=kurz; Schluss.	ZUBEREITUNG_SERVICE	Für die Charge des unteren Korb-/Randgefäßes: Lass den aufgestrichenen und abgekühlten Ansatz absetzen und schließe.
75	B3-S013	B3	f83r	qokaiin chkain shcthey qokedy	OK+AIIN | AIN | CTH+E+Y | OK+E+CLOSE	Vorgang=ansetzen; Wert=Sollmaß+Anteil. Vorgang=bereithalten; Posten=Posten; Grad=kurz; Zustand=bereit. Vorgang=ansetzen; Grad=kurz; Schluss.	ZUBEREITUNG_SERVICE	Für die Charge des unteren Korb-/Randgefäßes: Stelle das Sollmaß ein, nimm eine Portion, halte kurz bereit, setze kurz an und schließe.
76	B3-S014	B3	f83r	okair sheedy	OK+AIR | SHED+EE+CLOSE	Vorgang=ansetzen; Lauf=gesetzt. Vorgang=absetzen; Grad=länger; Schluss.	ZUBEREITUNG_SERVICE	Für die Charge des unteren Korb-/Randgefäßes: Lass Wasser ein, lass länger absetzen und schließe.
77	B3-S015	B3	f83r	lchedy	L+CHD+CLOSE	Vorgang=abführen→umsetzen; Schluss.	ZUBEREITUNG_SERVICE	Für die Charge des unteren Korb-/Randgefäßes: Führe ab und schließe.
78	B3-S016	B3	f83r	lo qokchedy	L | OK+CHD+CLOSE	Vorgang=abführen. Am Besitzer örtlicher Übergangsansatz zwischen Randstation und nächstem Hauptblock: Vorgang=ansetzen→umsetzen; Schluss.	ZUBEREITUNG_SERVICE	Führe die Charge des unteren Korbgefäßes ab. Beginne jenseits der Bildlücke einen eigenen Übergangsansatz, setze ihn um und schließe; die Lücke ist keine Leitung.
79	B3-S017	B3	f83r	qokeedy	OK+EE+CLOSE	Am Besitzer örtlicher Übergangsansatz zwischen Randstation und nächstem Hauptblock: Vorgang=ansetzen; Grad=länger; Schluss.	ZUBEREITUNG_SERVICE	Den örtlichen Übergangsansatz länger ansetzen und schließen.
80	B3-S018	B3	f83r	shedy	SHED+E+CLOSE	Am Besitzer örtlicher Übergangsansatz zwischen Randstation und nächstem Hauptblock: Vorgang=absetzen; Grad=kurz; Schluss.	ZUBEREITUNG_SERVICE	Den örtlichen Übergangsansatz kurz absetzen lassen und schließen.
81	B3-S019	B3	f83r	qokshedy	OK+SHED+CLOSE	Am Besitzer örtlicher Übergangsansatz zwischen Randstation und nächstem Hauptblock: Vorgang=ansetzen→absetzen; Schluss.	ZUBEREITUNG_SERVICE	Den örtlichen Übergangsansatz ansetzen, absetzen lassen und schließen.
82	B3-S020	B3	f83r	dal lchedy	AL | L+CHD+CLOSE	Am Besitzer örtlicher Übergangsansatz zwischen Randstation und nächstem Hauptblock: Vorgang=abführen→umsetzen; Ziel=gesetzt; Schluss.	ZUBEREITUNG_SERVICE	Den örtlichen Übergangsansatz zur im Exemplar bezeichneten Stelle führen, dort abführen und schließen.
83	B3-S021	B3	f83r	qokaiin shcthy dal sy saiin shedal shecthy chey tal shcthy dalchdy	OK+AIIN | CTH+Y | AL | Y | AIIN | SHED+AL | CTH+E+Y | Y | AL | CTH+Y | AL+CHD+CLOSE	Am Besitzer örtlicher Übergangsansatz zwischen Randstation und nächstem Hauptblock: Vorgang=ansetzen; Wert=Sollmaß. Am Besitzer örtlicher Übergangsansatz zwischen Randstation und nächstem Hauptblock: Vorgang=bereithalten; Posten=Posten; Ziel=gesetzt; Zustand=bereit. Am Besitzer örtlicher Übergangsansatz zwischen Randstation und nächstem Hauptblock: Vorgang=absetzen; Ziel=gesetzt; Wert=Sollmaß. Am Besitzer örtlicher Übergangsansatz zwischen Randstation und nächstem Hauptblock: Vorgang=bereithalten; Posten=Posten; Grad=kurz; Zustand=bereit. Am Besitzer örtlicher Übergangsansatz zwischen Randstation und nächstem Hauptblock: Vorgang=bereithalten; Posten=Posten; Ziel=gesetzt; Zustand=bereit. Am Besitzer örtlicher Übergangsansatz zwischen Randstation und nächstem Hauptblock: Vorgang=umsetzen; Ziel=gesetzt; Schluss.	ZUBEREITUNG_SERVICE	Am örtlichen Übergangsansatz das Sollmaß einstellen, ihn am bezeichneten Platz bereithalten, dort absetzen lassen, kurz prüfen, erneut bereitstellen, umsetzen und schließen.
84	B3-S022	B3	f83r	qotchedy	OT+CHD+CLOSE	Am Besitzer örtlicher Übergangsansatz zwischen Randstation und nächstem Hauptblock: Vorgang=folgen→umsetzen; Reihenfolge=danach; Schluss.	ZUBEREITUNG_SERVICE	Danach den nächsten Übergangsansatz umsetzen und schließen.
85	B3-S023	B3	f83r	lchedy	L+CHD+CLOSE	Am Besitzer örtlicher Übergangsansatz zwischen Randstation und nächstem Hauptblock: Vorgang=abführen→umsetzen; Schluss.	ZUBEREITUNG_SERVICE	Den Übergangsansatz abführen und schließen.
86	B3-S024	B3	f83r	tchedy	CHD+CLOSE	Am Besitzer örtlicher Übergangsansatz zwischen Randstation und nächstem Hauptblock: Vorgang=umsetzen; Schluss.	ZUBEREITUNG_SERVICE	Den Übergangsansatz umsetzen und schließen.
87	B3-S025	B3	f83r	qokchdy	OK+CHD+CLOSE	Am Besitzer örtlicher Übergangsansatz zwischen Randstation und nächstem Hauptblock: Vorgang=ansetzen→umsetzen; Schluss.	ZUBEREITUNG_SERVICE	Den nächsten Übergangsansatz ansetzen, umsetzen und schließen.
88	B3-S026	B3	f83r	cheedar chldaiin chedy qokain checthy chealror solkeedy	CHD+AR | SHED+AIIN | CHD+Y | OK+AIN | CTH+Y | AL+OR | SOLK+EE+CLOSE	Am Besitzer örtlicher Übergangsansatz zwischen Randstation und nächstem Hauptblock: Vorgang=umsetzen; Quelle=gesetzt. Am Besitzer örtlicher Übergangsansatz zwischen Randstation und nächstem Hauptblock: Vorgang=absetzen; Wert=Sollmaß. Am Besitzer örtlicher Übergangsansatz zwischen Randstation und nächstem Hauptblock: Vorgang=umsetzen; Posten=Posten. Am Besitzer örtlicher Übergangsansatz zwischen Randstation und nächstem Hauptblock: Vorgang=ansetzen; Wert=Anteil. Am Besitzer örtlicher Übergangsansatz zwischen Randstation und nächstem Hauptblock: Vorgang=bereithalten; Posten=Posten; Zustand=bereit. Am Besitzer eingehender Ansatz für das sichtbar gekoppelte Hauptpaar: Vorgang=sammeln; Posten=Ansatz; Ziel=gesetzt; Grad=länger; Schluss.	KOERPER_BAD_ANWENDUNG	Den vorbereiteter Badansatz von seinem gesetzten Ort umsetzen, bis zum Sollmaß absetzen lassen, erneut umsetzen, eine Portion zugeben und bereit halten. Dann ohne behauptete Leitung zum sichtbar gekoppelten behandelte Hauptpaar wechseln, den eingehenden Ansatz dort länger sammeln und schließen.
89	B3-S027	B3	f83r	qoteedy	OT+EE+CLOSE	Vorgang=folgen; Reihenfolge=danach; Grad=länger; Schluss.	KOERPER_BAD_ANWENDUNG	Für den Ansatz des sichtbar gekoppelten behandelten behandelte Hauptpaars: Nimm die lange Folge und schließe.
90	B3-S028	B3	f83r	qokeey qokedy	OK+EE+Y | OK+E+CLOSE	Vorgang=ansetzen; Posten=Posten; Grad=länger. Vorgang=ansetzen; Grad=kurz; Schluss.	KOERPER_BAD_ANWENDUNG	Für den Ansatz des sichtbar gekoppelten behandelten behandelte Hauptpaars: Setze länger, dann kurz an und schließe.
91	B3-S029	B3	f83r	sol cheeety qokedy	OL | EEE+TY | OK+E+CLOSE	Vorgang=weiterführen; Reihenfolge=weiter; Posten=Teil; Grad=vollständig. Vorgang=ansetzen; Grad=kurz; Schluss.	KOERPER_BAD_ANWENDUNG	Für den Ansatz des sichtbar gekoppelten behandelten behandelte Hauptpaars: Führe weiter, nimm den ganzen Teilposten, setze kurz an und schließe.
92	B3-S030	B3	f83r	qoky saiin schedair otchedy	OK+Y | AIIN | AIR | OT+CHD+CLOSE	Vorgang=ansetzen; Posten=Posten; Wert=Sollmaß. Vorgang=folgen→umsetzen; Reihenfolge=danach; Lauf=gesetzt; Schluss.	KOERPER_BAD_ANWENDUNG	Für den Ansatz des sichtbar gekoppelten behandelten behandelte Hauptpaars: Setze den Posten nach Sollmaß an, leite Wasser weiter, führe die Folgeumsetzung aus und schließe.
93	B3-S031	B3	f83r	qokeedy	OK+EE+CLOSE	Vorgang=ansetzen; Grad=länger; Schluss.	KOERPER_BAD_ANWENDUNG	Für den Ansatz des sichtbar gekoppelten behandelten behandelte Hauptpaars: Setze länger an und schließe.
94	B3-S032	B3	f83r	chedain chedy qotedaiin otaiin otedy	CHD+AIN | CHD+Y | OT+E+AIIN | OT+AIIN | OT+E+CLOSE	Vorgang=umsetzen; Wert=Anteil. Vorgang=umsetzen→folgen; Reihenfolge=danach; Posten=Posten; Wert=Sollmaß; Grad=kurz; Schluss.	KOERPER_BAD_ANWENDUNG	Für den Ansatz des sichtbar gekoppelten behandelten behandelte Hauptpaars: Setze eine Portion um, stelle ein kurzes Folgemaß und danach das Folgemaß ein, führe die kurze Folge aus und schließe.
95	B3-S033	B3	f83r	ldy	L+CLOSE	Vorgang=abführen; Schluss.	KOERPER_BAD_ANWENDUNG	Für den Ansatz des sichtbar gekoppelten behandelten behandelte Hauptpaars: Ziehe ab und schließe.
96	B3-S034	B3	f83r	soiiin checthy chety otaiin olsaly shedy	IIN | CTH+Y | PARTITION+TY | OT+AIIN | AL+Y | SHED+E+CLOSE	Vorgang=bereithalten; Posten=Posten; Wert=Stufe; Zustand=bereit. Vorgang=teilen; Posten=Teil. Vorgang=folgen→absetzen; Reihenfolge=danach; Posten=Posten; Ziel=gesetzt; Wert=Sollmaß; Grad=kurz; Schluss.	KOERPER_BAD_ANWENDUNG	Für den Ansatz des sichtbar gekoppelten behandelten behandelte Hauptpaars: Bringe auf Sollstufe, halte bereit, trenne einen Teil ab, stelle das Folgemaß ein, führe zur unteren Zielstelle, lass absetzen und schließe.
97	B4-S001	B4	f83r	qokeedy	OK+EE+CLOSE	Vorgang=ansetzen; Grad=länger; Schluss.	HERBAL_OR_OTHER_BIO_CURRENT_READING	Am Hauptpaar mit Tuchanwendung und getrennten Dienstläufen: Setze länger an und schließe
98	B4-S002	B4	f83r	qolchey qokeey qokedy	OL+Y | OK+EE+Y | OK+E+CLOSE	Vorgang=weiterführen; Reihenfolge=weiter; Posten=Posten. Vorgang=ansetzen; Posten=Posten; Grad=länger. Vorgang=ansetzen; Grad=kurz; Schluss.	HERBAL_OR_OTHER_BIO_CURRENT_READING	Am Hauptpaar mit Tuchanwendung und getrennten Dienstläufen: Führe diesen Posten weiter, setze ihn länger und dann kurz an und schließe.
99	B4-S003	B4	f83r	chedy otal otchey qokeey qoky tol shedy	CHD+Y | OT+AL | OT+Y | OK+EE+Y | OK+Y | OL | SHED+E+CLOSE	Vorgang=umsetzen; Posten=Posten. Vorgang=folgen→ansetzen; Reihenfolge=danach; Posten=Posten; Ziel=gesetzt; Grad=länger. Vorgang=ansetzen; Posten=Posten. Vorgang=weiterführen; Reihenfolge=weiter. Vorgang=absetzen; Grad=kurz; Schluss.	HERBAL_OR_OTHER_BIO_CURRENT_READING	Am Hauptpaar mit Tuchanwendung und getrennten Dienstläufen: Setze um, führe danach dorthin, wähle den Folgeposten, setze länger an, führe weiter, lass absetzen und schließe
100	B4-S004	B4	f83r	qokylddy	OK+Y+LDDY	Vorgang=ansetzen; Posten=Posten.	HERBAL_OR_OTHER_BIO_CURRENT_READING	Am Hauptpaar mit Tuchanwendung und getrennten Dienstläufen: Befestige den Posten und schließe
101	B4-S005	B4	f83r	dain chedy qokeedy	DAIN | CHD+Y | OK+EE+CLOSE	Vorgang=umsetzen; Posten=Tuch+Posten. Vorgang=ansetzen; Grad=länger; Schluss.	HERBAL_OR_OTHER_BIO_CURRENT_READING	Am Hauptpaar mit Tuchanwendung und getrennten Dienstläufen: Lege das Tuch ein, setze um, setze länger an und schließe
102	B4-S006	B4	f83r	shckhedy	CKHE+CLOSE	Vorgang=trennen; Schluss.	HERBAL_OR_OTHER_BIO_CURRENT_READING	Am Hauptpaar mit Tuchanwendung und getrennten Dienstläufen: Seih und schließe
103	B4-S007	B4	f83r	shckhedy	CKHE+CLOSE	Vorgang=trennen; Schluss.	HERBAL_OR_OTHER_BIO_CURRENT_READING	Am Hauptpaar mit Tuchanwendung und getrennten Dienstläufen: Seih und schließe
104	B4-S008	B4	f83r	saiin cheeky sheey qokedy	AIIN | CHK+EE+Y | SH+EE+Y | OK+E+CLOSE	Vorgang=wärmen; Posten=Posten; Wert=Sollmaß; Grad=länger. Vorgang=halten; Posten=Posten; Grad=länger. Vorgang=ansetzen; Grad=kurz; Schluss.	HERBAL_OR_OTHER_BIO_CURRENT_READING	Am Hauptpaar mit Tuchanwendung und getrennten Dienstläufen: Stelle das Sollmaß ein, wärme länger, lass länger ruhen, setze kurz an und schließe.
105	B4-S009	B4	f83r	shedy	SHED+E+CLOSE	Vorgang=absetzen; Grad=kurz; Schluss.	HERBAL_OR_OTHER_BIO_CURRENT_READING	Am Hauptpaar mit Tuchanwendung und getrennten Dienstläufen: Lass absetzen und schließe
106	B4-S010	B4	f83r	oldy	OL+CLOSE	Vorgang=weiterführen; Reihenfolge=weiter; Schluss.	HERBAL_OR_OTHER_BIO_CURRENT_READING	Am Hauptpaar mit Tuchanwendung und getrennten Dienstläufen: Führe weiter und schließe
107	B4-S011	B4	f83r	saiin cheky okeeol okain chdy sol lkedy	AIIN | CHK+E+Y | OK+EE+OL | OK+AIN | CHD+Y | OL | L+E+CLOSE	Vorgang=wärmen; Posten=Posten; Wert=Sollmaß; Grad=kurz. Vorgang=ansetzen→weiterführen; Reihenfolge=weiter; Grad=länger. Vorgang=ansetzen; Wert=Anteil. Vorgang=umsetzen; Posten=Posten. Vorgang=weiterführen; Reihenfolge=weiter. Vorgang=abführen; Grad=kurz; Schluss.	HERBAL_OR_OTHER_BIO_CURRENT_READING	Am Hauptpaar mit Tuchanwendung und getrennten Dienstläufen: Stelle das Sollmaß ein, wärme kurz, führe länger fort, gib eine Portion zu, setze um, führe weiter, wasche nach und schließe
108	B4-S012	B4	f83r	lchedy	L+CHD+CLOSE	Vorgang=abführen→umsetzen; Schluss.	HERBAL_OR_OTHER_BIO_CURRENT_READING	Am Hauptpaar mit Tuchanwendung und getrennten Dienstläufen: Führe ab und schließe
109	B4-S013	B4	f83r	qokol shedy	OK+OL | SHED+E+CLOSE	Vorgang=ansetzen→weiterführen; Reihenfolge=weiter. Vorgang=absetzen; Grad=kurz; Schluss.	HERBAL_OR_OTHER_BIO_CURRENT_READING	Am Hauptpaar mit Tuchanwendung und getrennten Dienstläufen: Setze die Fortsetzung ein, lass absetzen und schließe
110	B4-S014	B4	f83r	or chey qockhey dairydy	OR | Y | OK+CKH+E+Y | AIR+Y+CLOSE	Vorgang=ansetzen→durchleiten; Posten=Ansatz+Posten; Lauf=gesetzt; Grad=kurz; Schluss.	HERBAL_OR_OTHER_BIO_CURRENT_READING	Am Hauptpaar mit Tuchanwendung und getrennten Dienstläufen: Setze den Ansatz in einen kurzen Durchlauf, schließe den Wasserlauf und beende den Schritt.
111	B4-S015	B4	f83r	qokain shey kain chckhal solkey lchedy	OK+AIN | CHEEY | AIN | CKH+AL | SOLK+E+Y | L+CHD+CLOSE	Vorgang=ansetzen; Posten=Ergebnis; Wert=Anteil; Zustand=Ergebnis. Vorgang=durchleiten; Ziel=gesetzt; Wert=Anteil. Vorgang=sammeln; Posten=Posten; Grad=kurz. Vorgang=abführen→umsetzen; Schluss.	HERBAL_OR_OTHER_BIO_CURRENT_READING	Am Hauptpaar mit Tuchanwendung und getrennten Dienstläufen: Gib eine Portion zu, nimm den Klarlauf, leite die Portion zur Zielstelle, sammle kurz, führe ab und schließe.
112	B4-S016	B4	f83r	qolkain dal skar shedy	OL+AIN | AL | SK+AR | SHED+E+CLOSE	Vorgang=weiterführen; Reihenfolge=weiter; Ziel=gesetzt; Wert=Anteil. Vorgang=ausgießen; Quelle=gesetzt. Vorgang=absetzen; Grad=kurz; Schluss.	HERBAL_OR_OTHER_BIO_CURRENT_READING	Am Hauptpaar mit Tuchanwendung und getrennten Dienstläufen: Gib eine weitere Portion dorthin, giesse sie von dort aus, lass absetzen und schließe.
113	B5-S001	B5	f83r	otchdy	OT+CHD+CLOSE	Vorgang=folgen→umsetzen; Reihenfolge=danach; Schluss.	HERBAL_OR_OTHER_BIO_CURRENT_READING	An der linken figurenlosen Dienststation: Führe die Folgeumsetzung aus und schließe
114	B5-S002	B5	f83r	qokchdy	OK+CHD+CLOSE	Vorgang=ansetzen→umsetzen; Schluss.	HERBAL_OR_OTHER_BIO_CURRENT_READING	An der linken figurenlosen Dienststation: Setze um und schließe
115	B5-S003	B5	f83r	shedal dal cheol lol chdal aiin sol daiiin chedy	SHED+AL | AL | OL | L+OL | CHD+AL | AIIN | OL | IIN | CHD+Y	Vorgang=absetzen; Ziel=gesetzt. Vorgang=weiterführen; Reihenfolge=weiter. Vorgang=abführen→weiterführen; Reihenfolge=weiter. Vorgang=umsetzen; Ziel=gesetzt; Wert=Sollmaß. Vorgang=weiterführen; Reihenfolge=weiter; Wert=Stufe. Vorgang=umsetzen; Posten=Posten.	HERBAL_OR_OTHER_BIO_CURRENT_READING	An der linken figurenlosen Dienststation: Lass dort absetzen, führe dorthin und weiter, führe von dort weiter, setze dort um, stelle das Sollmaß ein und setze weiter um.
116	B6-S001	B6	f83r	solkeey qekey raly ol daiin ol dain chey ldalor	SOLK+EE+Y | KCH+E+Y | AL+Y | OL | AIIN | OL | DAIN | Y | AL	Vorgang=sammeln; Posten=Posten; Grad=länger. Vorgang=bearbeiten; Posten=Posten; Ziel=gesetzt; Grad=kurz. Vorgang=weiterführen; Reihenfolge=weiter; Wert=Sollmaß. Vorgang=weiterführen; Reihenfolge=weiter; Posten=Tuch+Posten; Ziel=gesetzt.	HERBAL_OR_OTHER_BIO_CURRENT_READING	An der rechten figurenlosen Dienststation: Sammle den rohen Posten länger, führe diesen Posten dorthin, stelle das Sollmaß ein, lege das Tuch ein und führe den Posten zum Endziel.
