card_no	component_parse	invariant_card_reading_de	predicted_from_other_cards_de	component_tests	composition_status	occurrences	sections	records	primitive_program
PROC129	OT+EE+DY	danach · länger · Schluss	danach · länger · Schluss	OT=PASS:danach|EE=PASS:länger|DY=PASS:Schluss	COMPOSITIONAL	2	BIOLOGICAL	B2|B3	HOLD_STATE>CLOSE
PROC130	L+O+CHD+DY	führen · Arbeitsgang · umsetzen · Schluss	führen · Arbeitsgang · umsetzen · Schluss	L=PASS:führen|O=PASS:Arbeitsgang|CHD=PASS:umsetzen|DY=PASS:Schluss	COMPOSITIONAL	1	BIOLOGICAL	B2	MOVE_PASS>CLOSE
PROC131	OT+AL	danach · Zielstelle	danach · Zielstelle	OT=PASS:danach|AL=PASS:Zielstelle	COMPOSITIONAL	3	BIOLOGICAL	B3|B4	TARGET_HANDOFF
PROC132	CHK+EE+DY	wärmen · länger · Schluss	wärmen · länger · Schluss	CHK=PASS:wärmen|EE=PASS:länger|DY=PASS:Schluss	COMPOSITIONAL	1	BIOLOGICAL	B3	HOLD_STATE>CLOSE
PROC133	CHD+Y	umsetzen · dies	umsetzen · dies	CHD=PASS:umsetzen|Y=PASS:dies	COMPOSITIONAL	1	BIOLOGICAL	B3	MOVE_PASS
PROC134	P+CHD+AL	hinein · umsetzen · Zielstelle	hinein · umsetzen · Zielstelle	P=PASS:hinein|CHD=PASS:umsetzen|AL=PASS:Zielstelle	COMPOSITIONAL	1	BIOLOGICAL	B3	TARGET_HANDOFF
PROC135	OT+E+DY	danach · kurz · Schluss	danach · kurz · Schluss	OT=PASS:danach|E=PASS:kurz|DY=PASS:Schluss	COMPOSITIONAL	2	BIOLOGICAL	B3	HOLD_STATE>CLOSE
PROC136	SH+E+CTH+CHD+Y	halten · kurz · bereit · umsetzen · dies	halten · kurz · bereit · umsetzen · dies	SH=PASS:halten|E=PASS:kurz|CTH=PASS:bereit|CHD=PASS:umsetzen|Y=PASS:dies	COMPOSITIONAL	1	BIOLOGICAL	B3	HOLD_STATE
PROC137	AR+Y	von dort · dies	von dort · dies	AR=PASS:von dort|Y=PASS:dies	COMPOSITIONAL	1	BIOLOGICAL	B3	SOURCE_DRAW
PROC138	OK+AIR	ansetzen · Lauf	ansetzen · Lauf	OK=PASS:ansetzen|AIR=PASS:Lauf	COMPOSITIONAL	1	BIOLOGICAL	B3	MOVE_PASS
PROC139	SH+EE+DY	halten · länger · Schluss	halten · länger · Schluss	SH=PASS:halten|EE=PASS:länger|DY=PASS:Schluss	COMPOSITIONAL	1	BIOLOGICAL	B3	HOLD_STATE>CLOSE
PROC140	L+O	führen · Arbeitsgang	führen · Arbeitsgang	L=PASS:führen|O=PASS:Arbeitsgang	COMPOSITIONAL	1	BIOLOGICAL	B3	MOVE_PASS
PROC141	OK+SH+E+DY	ansetzen · halten · kurz · Schluss	ansetzen · halten · kurz · Schluss	OK=PASS:ansetzen|SH=PASS:halten|E=PASS:kurz|DY=PASS:Schluss	COMPOSITIONAL	1	BIOLOGICAL	B3	HOLD_STATE>CLOSE
PROC142	SHED+AL	absetzen · Zielstelle	absetzen · Zielstelle	SHED=PASS:absetzen|AL=PASS:Zielstelle	COMPOSITIONAL	2	BIOLOGICAL	B3|B5	HOLD_STATE
PROC143	SH+E+CTH+Y	halten · kurz · bereit · dies	halten · kurz · bereit · dies	SH=PASS:halten|E=PASS:kurz|CTH=PASS:bereit|Y=PASS:dies	COMPOSITIONAL	1	BIOLOGICAL	B3	HOLD_STATE
PROC144	AL+CHD+DY	Zielstelle · umsetzen · Schluss	Zielstelle · umsetzen · Schluss	AL=PASS:Zielstelle|CHD=PASS:umsetzen|DY=PASS:Schluss	COMPOSITIONAL	1	BIOLOGICAL	B3	TARGET_HANDOFF>CLOSE
PROC145	OT+CHD+DY	danach · umsetzen · Schluss	danach · umsetzen · Schluss	OT=PASS:danach|CHD=PASS:umsetzen|DY=PASS:Schluss	COMPOSITIONAL	2	BIOLOGICAL	B3	MOVE_PASS>CLOSE
PROC146	EE+AR	länger · von dort	länger · von dort	EE=PASS:länger|AR=PASS:von dort	COMPOSITIONAL	1	BIOLOGICAL	B3	HOLD_STATE
PROC147	L+AIIN	führen · Maß	führen · Maß	L=PASS:führen|AIIN=PASS:Maß	COMPOSITIONAL	1	BIOLOGICAL	B3	METER_CHECK
PROC148	AL+R+OR	Zielstelle · abkühlen · Ansatz	Zielstelle · abkühlen · Ansatz	AL=PASS:Zielstelle|R=PASS:abkühlen|OR=PASS:Ansatz	COMPOSITIONAL	1	BIOLOGICAL	B3	ACTIVATE_CHARGE
PROC149	EEE+T+Y	vollständig · eintragen · dies	vollständig · eintragen · dies	EEE=PASS:vollständig|T=PASS:eintragen|Y=PASS:dies	COMPOSITIONAL	1	BIOLOGICAL	B3	HOLD_STATE
PROC150	CHD+AIR	umsetzen · Lauf	umsetzen · Lauf	CHD=PASS:umsetzen|AIR=PASS:Lauf	COMPOSITIONAL	1	BIOLOGICAL	B3	MOVE_PASS
PROC151	CHD+AIN	umsetzen · Portion	umsetzen · Portion	CHD=PASS:umsetzen|AIN=PASS:Portion	COMPOSITIONAL	1	BIOLOGICAL	B3	ACTIVATE_CHARGE
PROC152	OT+E+AIIN	danach · kurz · Maß	danach · kurz · Maß	OT=PASS:danach|E=PASS:kurz|AIIN=PASS:Maß	COMPOSITIONAL	1	BIOLOGICAL	B3	METER_CHECK
PROC153	OL+AL+Y	fortsetzen · Zielstelle · dies	fortsetzen · Zielstelle · dies	OL=PASS:fortsetzen|AL=PASS:Zielstelle|Y=PASS:dies	COMPOSITIONAL	1	BIOLOGICAL	B3	TARGET_HANDOFF
PROC154	OL+Y	fortsetzen · dies	fortsetzen · dies	OL=PASS:fortsetzen|Y=PASS:dies	COMPOSITIONAL	1	BIOLOGICAL	B4	CONTINUE_USE
PROC155	OK+Y+LD+DY	ansetzen · dies · befestigen · Schluss	ansetzen · dies · ? · Schluss	OK=PASS:ansetzen|Y=PASS:dies|LD=LEARNED_ATOM|DY=PASS:Schluss	PARTIAL_WITH_LEARNED_ATOM	1	BIOLOGICAL	B4	ACTIVATE_CHARGE>CLOSE
PROC156	AIN	Portion	Portion	AIN=PASS:Portion	COMPOSITIONAL	2	BIOLOGICAL	B4|B6	ACTIVATE_CHARGE
PROC157	SH+EE+Y	halten · länger · dies	halten · länger · dies	SH=PASS:halten|EE=PASS:länger|Y=PASS:dies	COMPOSITIONAL	1	BIOLOGICAL	B4	ACTIVATE_CHARGE
PROC158	OK+EE+OL	ansetzen · länger · fortsetzen	ansetzen · länger · fortsetzen	OK=PASS:ansetzen|EE=PASS:länger|OL=PASS:fortsetzen	COMPOSITIONAL	1	BIOLOGICAL	B4	HOLD_STATE
PROC159	L+K+E+DY	führen · zuführen · kurz · Schluss	führen · zuführen · kurz · Schluss	L=PASS:führen|K=PASS:zuführen|E=PASS:kurz|DY=PASS:Schluss	COMPOSITIONAL	1	BIOLOGICAL	B4	HOLD_STATE>CLOSE
PROC160	OK+OL	ansetzen · fortsetzen	ansetzen · fortsetzen	OK=PASS:ansetzen|OL=PASS:fortsetzen	COMPOSITIONAL	1	BIOLOGICAL	B4	ACTIVATE_CHARGE
PROC161	O+CKH+E+Y	Arbeitsgang · Durchlass · kurz · dies	Arbeitsgang · Durchlass · kurz · dies	O=PASS:Arbeitsgang|CKH=PASS:Durchlass|E=PASS:kurz|Y=PASS:dies	COMPOSITIONAL	1	BIOLOGICAL	B4	HOLD_STATE
PROC162	AIR+Y+DY	Lauf · dies · Schluss	Lauf · dies · Schluss	AIR=PASS:Lauf|Y=PASS:dies|DY=PASS:Schluss	COMPOSITIONAL	1	BIOLOGICAL	B4	MOVE_PASS>CLOSE
PROC163	CH+CKH+AL	abziehen · Durchlass · Zielstelle	abziehen · Durchlass · Zielstelle	CH=PASS:abziehen|CKH=PASS:Durchlass|AL=PASS:Zielstelle	COMPOSITIONAL	1	BIOLOGICAL	B4	TARGET_HANDOFF
PROC164	SOLK+E+Y	auffangen · kurz · dies	auffangen · kurz · dies	SOLK=PASS:auffangen|E=PASS:kurz|Y=PASS:dies	COMPOSITIONAL	1	BIOLOGICAL	B4	HOLD_STATE
PROC165	K+AR	zuführen · von dort	zuführen · von dort	K=PASS:zuführen|AR=PASS:von dort	COMPOSITIONAL	1	BIOLOGICAL	B4	SOURCE_DRAW
PROC166	OT+CHD+DY	danach · umsetzen · Schluss	danach · umsetzen · Schluss	OT=PASS:danach|CHD=PASS:umsetzen|DY=PASS:Schluss	COMPOSITIONAL	1	BIOLOGICAL	B5	MOVE_PASS>CLOSE
PROC167	L+OL	führen · fortsetzen	führen · fortsetzen	L=PASS:führen|OL=PASS:fortsetzen	COMPOSITIONAL	1	BIOLOGICAL	B5	MOVE_PASS
PROC168	CHD+AL	umsetzen · Zielstelle	umsetzen · Zielstelle	CHD=PASS:umsetzen|AL=PASS:Zielstelle	COMPOSITIONAL	1	BIOLOGICAL	B5	TARGET_HANDOFF
PROC169	DA+IIN	zweite · Sollstufe	? · Sollstufe	DA=LEARNED_ATOM|IIN=PASS:Sollstufe	PARTIAL_WITH_LEARNED_ATOM	1	BIOLOGICAL	B5	METER_CHECK
PROC170	SOLK+EE+Y	auffangen · länger · dies	auffangen · länger · dies	SOLK=PASS:auffangen|EE=PASS:länger|Y=PASS:dies	COMPOSITIONAL	1	BIOLOGICAL	B6	HOLD_STATE
PROC171	E+K+E+Y	kurz · zuführen · kurz · dies	kurz · zuführen · kurz · dies	E=PASS:kurz|K=PASS:zuführen|E=PASS:kurz|Y=PASS:dies	COMPOSITIONAL	1	BIOLOGICAL	B6	HOLD_STATE
PROC172	R+AL+Y	abkühlen · Zielstelle · dies	abkühlen · Zielstelle · dies	R=PASS:abkühlen|AL=PASS:Zielstelle|Y=PASS:dies	COMPOSITIONAL	1	BIOLOGICAL	B6	HOLD_STATE
PROC173	L+AL+OR	führen · Zielstelle · Ansatz	führen · Zielstelle · Ansatz	L=PASS:führen|AL=PASS:Zielstelle|OR=PASS:Ansatz	COMPOSITIONAL	1	BIOLOGICAL	B6	ACTIVATE_CHARGE
