book_statement_ordinal	statement_id	physical_page	register	owner_de	event_count	predicate_realization	seed_action_de	inheritance_source_statement_id	action_chain_de	arguments_de	relations_de	grades_de	end_mode	binding_origins	scope_skeleton_de	unbound_modifier_count	scope_result
107	P1009-S107	f75r	BIOLOGICAL	großes Bad-/Stationsblatt mit dreieckiger Insel	2	EXPLICIT_OPERATION_ROOT	NONE	NONE	HALTEN	NONE	NONE	GRAD I×1	LICENSED_DY_CLOSE	ACTION_HEAD×1+FORWARD_TO_NEXT_ACTION×1+GANG_CLOSE×1+SAME_CARD_NEAREST×1	BESITZER[großes Bad-/Stationsblatt mit dreieckiger Insel] > HANDLUNG[HALTEN] > ARG[NONE] > REL[NONE] > GRAD[GRAD I×1] > LICENSED_DY_CLOSE	0	COMPLETE_SCOPE_READING
108	P1009-S108	f75r	BIOLOGICAL	großes Bad-/Stationsblatt mit dreieckiger Insel	6	EXPLICIT_OPERATION_ROOT	NONE	NONE	WÄHLEN > SETZEN > HALTEN	ANTEIL×1+AKTIVER POSTEN×1	AUSGANG×2	GRAD I×1	LICENSED_DY_CLOSE	ACTION_HEAD×3+FORWARD_TO_NEXT_ACTION×4+GANG_CLOSE×1+RUNNING_ACTION×2+SAME_CARD_LEFT×1+SAME_CARD_NEAREST×1	BESITZER[großes Bad-/Stationsblatt mit dreieckiger Insel] > HANDLUNG[WÄHLEN > SETZEN > HALTEN] > ARG[ANTEIL×1+AKTIVER POSTEN×1] > REL[AUSGANG×2] > GRAD[GRAD I×1] > LICENSED_DY_CLOSE	0	COMPLETE_SCOPE_READING
109	P1009-S109	f75r	BIOLOGICAL	großes Bad-/Stationsblatt mit dreieckiger Insel	50	EXPLICIT_OPERATION_ROOT	NONE	NONE	HALTEN > SETZEN > HALTEN > SETZEN > MARKIEREN > HALTEN > SETZEN > NEHMEN > GEBEN > HALTEN > SETZEN > UMSETZEN > HALTEN > GEBEN > UMSETZEN > WÄHLEN > EINSETZEN > GEBEN > HALTEN > SETZEN > WÄHLEN > HALTEN > UMSETZEN > SETZEN > GEBEN > WÄHLEN > NEHMEN > EINSTELLEN > WÄHLEN > HALTEN > NEHMEN > GEBEN > SETZEN	AKTIVER POSTEN×26+ANTEIL×8+EINHEIT×6	AUSGANG×5+VERBINDUNG×4+ZIELORT×1	GRAD I×10+AUSFÜHRUNG×3+GRAD II×3	LICENSED_DY_CLOSE	ACTION_HEAD×39+FORWARD_TO_NEXT_ACTION×1+GANG_CLOSE×1+RUNNING_ACTION×23+SAME_CARD_LEFT×4+SAME_CARD_NEAREST×42+SAME_CARD_NEXT_STEP×2+VISIBLE_OWNER×3	BESITZER[großes Bad-/Stationsblatt mit dreieckiger Insel] > HANDLUNG[HALTEN > SETZEN > HALTEN > SETZEN > MARKIEREN > HALTEN > SETZEN > NEHMEN > GEBEN > HALTEN > SETZEN > UMSETZEN > HALTEN > GEBEN > UMSETZEN > WÄHLEN > EINSETZEN > GEBEN > HALTEN > SETZEN > WÄHLEN > HALTEN > UMSETZEN > SETZEN > GEBEN > WÄHLEN > NEHMEN > EINSTELLEN > WÄHLEN > HALTEN > NEHMEN > GEBEN > SETZEN] > ARG[AKTIVER POSTEN×26+ANTEIL×8+EINHEIT×6] > REL[AUSGANG×5+VERBINDUNG×4+ZIELORT×1] > GRAD[GRAD I×10+AUSFÜHRUNG×3+GRAD II×3] > LICENSED_DY_CLOSE	0	COMPLETE_SCOPE_READING
110	P1009-S110	f75r	BIOLOGICAL	großes Bad-/Stationsblatt mit dreieckiger Insel	3	EXPLICIT_OPERATION_ROOT	NONE	NONE	SETZEN	AKTIVER POSTEN×2	NONE	GRAD II×1	LICENSED_DY_CLOSE	ACTION_HEAD×1+FORWARD_TO_NEXT_ACTION×2+GANG_CLOSE×1+SAME_CARD_NEAREST×1	BESITZER[großes Bad-/Stationsblatt mit dreieckiger Insel] > HANDLUNG[SETZEN] > ARG[AKTIVER POSTEN×2] > REL[NONE] > GRAD[GRAD II×1] > LICENSED_DY_CLOSE	0	COMPLETE_SCOPE_READING
111	P1009-S111	f75r	BIOLOGICAL	großes Bad-/Stationsblatt mit dreieckiger Insel	1	EXPLICIT_OPERATION_ROOT	NONE	NONE	UMSETZEN	NONE	VERBINDUNG×1	NONE	LICENSED_DY_CLOSE	ACTION_HEAD×1+GANG_CLOSE×1+SAME_CARD_RIGHT_FRAME×1	BESITZER[großes Bad-/Stationsblatt mit dreieckiger Insel] > HANDLUNG[UMSETZEN] > ARG[NONE] > REL[VERBINDUNG×1] > GRAD[NONE] > LICENSED_DY_CLOSE	0	COMPLETE_SCOPE_READING
112	P1009-S112	f75r	BIOLOGICAL	großes Bad-/Stationsblatt mit dreieckiger Insel	14	EXPLICIT_OPERATION_ROOT	NONE	NONE	MARKIEREN > HALTEN > EINSETZEN > HALTEN > EINSTELLEN > EINSETZEN > HALTEN	ANTEIL×2+AKTIVER POSTEN×3+EINHEIT×1	AUSGANG×2+ZIELORT×1	GRAD I×2	LICENSED_DY_CLOSE	ACTION_HEAD×9+GANG_CLOSE×1+RUNNING_ACTION×12+SAME_CARD_LEFT×2+SAME_CARD_NEAREST×3+VISIBLE_OWNER×4	BESITZER[großes Bad-/Stationsblatt mit dreieckiger Insel] > HANDLUNG[MARKIEREN > HALTEN > EINSETZEN > HALTEN > EINSTELLEN > EINSETZEN > HALTEN] > ARG[ANTEIL×2+AKTIVER POSTEN×3+EINHEIT×1] > REL[AUSGANG×2+ZIELORT×1] > GRAD[GRAD I×2] > LICENSED_DY_CLOSE	0	COMPLETE_SCOPE_READING
113	P1009-S113	f75r	BIOLOGICAL	großes Bad-/Stationsblatt mit dreieckiger Insel	1	EXPLICIT_OPERATION_ROOT	NONE	NONE	SETZEN	NONE	ZIELORT×1	NONE	LICENSED_DY_CLOSE	ACTION_HEAD×1+GANG_CLOSE×1+SAME_CARD_LEFT×1	BESITZER[großes Bad-/Stationsblatt mit dreieckiger Insel] > HANDLUNG[SETZEN] > ARG[NONE] > REL[ZIELORT×1] > GRAD[NONE] > LICENSED_DY_CLOSE	0	COMPLETE_SCOPE_READING
114	P1009-S114	f75r	BIOLOGICAL	großes Bad-/Stationsblatt mit dreieckiger Insel	3	EXPLICIT_OPERATION_ROOT	NONE	NONE	LOKALE HANDLUNG	NONE	AUSGANG×2	AUSFÜHRUNG×1	LICENSED_DY_CLOSE	GANG_CLOSE×1+MASTER_HEAD_AT_CLOSE×5+VISIBLE_OWNER×1	BESITZER[großes Bad-/Stationsblatt mit dreieckiger Insel] > HANDLUNG[LOKALE HANDLUNG] > ARG[NONE] > REL[AUSGANG×2] > GRAD[AUSFÜHRUNG×1] > LICENSED_DY_CLOSE	0	COMPLETE_SCOPE_READING
115	P1009-S115	f75r	BIOLOGICAL	großes Bad-/Stationsblatt mit dreieckiger Insel	4	EXPLICIT_OPERATION_ROOT	NONE	NONE	MARKIEREN > EINSTELLEN > UMSETZEN > EINSETZEN > UMSETZEN	AKTIVER POSTEN×2	NONE	NONE	LICENSED_DY_CLOSE	ACTION_HEAD×5+FORWARD_TO_NEXT_ACTION×2+GANG_CLOSE×1+SAME_CARD_NEAREST×1	BESITZER[großes Bad-/Stationsblatt mit dreieckiger Insel] > HANDLUNG[MARKIEREN > EINSTELLEN > UMSETZEN > EINSETZEN > UMSETZEN] > ARG[AKTIVER POSTEN×2] > REL[NONE] > GRAD[NONE] > LICENSED_DY_CLOSE	0	COMPLETE_SCOPE_READING
116	P1009-S116	f75r	BIOLOGICAL	großes Bad-/Stationsblatt mit dreieckiger Insel	7	EXPLICIT_OPERATION_ROOT	NONE	NONE	SETZEN > HALTEN > NEHMEN > EINSTELLEN > HALTEN	AKTIVER POSTEN×2	LAUF×1+VERBINDUNG×1	GRAD II×2+GRAD I×1	LICENSED_DY_CLOSE	ACTION_HEAD×5+GANG_CLOSE×1+RUNNING_ACTION×5+SAME_CARD_NEAREST×5+VISIBLE_OWNER×1	BESITZER[großes Bad-/Stationsblatt mit dreieckiger Insel] > HANDLUNG[SETZEN > HALTEN > NEHMEN > EINSTELLEN > HALTEN] > ARG[AKTIVER POSTEN×2] > REL[LAUF×1+VERBINDUNG×1] > GRAD[GRAD II×2+GRAD I×1] > LICENSED_DY_CLOSE	0	COMPLETE_SCOPE_READING
117	P1009-S117	f75r	BIOLOGICAL	großes Bad-/Stationsblatt mit dreieckiger Insel	1	EXPLICIT_OPERATION_ROOT	NONE	NONE	SETZEN	NONE	NONE	GRAD II×1	LICENSED_DY_CLOSE	ACTION_HEAD×1+GANG_CLOSE×1+SAME_CARD_NEAREST×1	BESITZER[großes Bad-/Stationsblatt mit dreieckiger Insel] > HANDLUNG[SETZEN] > ARG[NONE] > REL[NONE] > GRAD[GRAD II×1] > LICENSED_DY_CLOSE	0	COMPLETE_SCOPE_READING
118	P1009-S118	f75r	BIOLOGICAL	großes Bad-/Stationsblatt mit dreieckiger Insel	1	EXPLICIT_OPERATION_ROOT	NONE	NONE	UMSETZEN	NONE	VERBINDUNG×1	NONE	LICENSED_DY_CLOSE	ACTION_HEAD×1+GANG_CLOSE×1+SAME_CARD_NEXT_STEP×1+SAME_CARD_RIGHT_FRAME×1	BESITZER[großes Bad-/Stationsblatt mit dreieckiger Insel] > HANDLUNG[UMSETZEN] > ARG[NONE] > REL[VERBINDUNG×1] > GRAD[NONE] > LICENSED_DY_CLOSE	0	COMPLETE_SCOPE_READING
119	P1009-S119	f75r	BIOLOGICAL	großes Bad-/Stationsblatt mit dreieckiger Insel	10	EXPLICIT_OPERATION_ROOT	NONE	NONE	NEHMEN > GEBEN > SETZEN	ANTEIL×2+AKTIVER POSTEN×2+WERT×1	ZIELORT×1+VERBINDUNG×2	AUSFÜHRUNG×1+GRAD II×2	LICENSED_DY_CLOSE	ACTION_HEAD×5+FORWARD_TO_NEXT_ACTION×4+GANG_CLOSE×2+RUNNING_ACTION×5+SAME_CARD_LEFT×1+SAME_CARD_NEAREST×3+SAME_CARD_RIGHT_FRAME×1	BESITZER[großes Bad-/Stationsblatt mit dreieckiger Insel] > HANDLUNG[NEHMEN > GEBEN > SETZEN] > ARG[ANTEIL×2+AKTIVER POSTEN×2+WERT×1] > REL[ZIELORT×1+VERBINDUNG×2] > GRAD[AUSFÜHRUNG×1+GRAD II×2] > LICENSED_DY_CLOSE	0	COMPLETE_SCOPE_READING
120	P1009-S120	f75r	BIOLOGICAL	großes Bad-/Stationsblatt mit dreieckiger Insel	14	EXPLICIT_OPERATION_ROOT	NONE	NONE	UMSETZEN > NEHMEN > GEBEN > SETZEN > NEHMEN > GEBEN > SETZEN > UMSETZEN > GEBEN > HALTEN	AKTIVER POSTEN×5+ANTEIL×3	ZIELORT×2	AUSFÜHRUNG×2+GRAD II×1+GRAD I×3	LICENSED_DY_CLOSE	ACTION_HEAD×11+GANG_CLOSE×1+RUNNING_ACTION×6+SAME_CARD_LEFT×2+SAME_CARD_NEAREST×10+VISIBLE_OWNER×1	BESITZER[großes Bad-/Stationsblatt mit dreieckiger Insel] > HANDLUNG[UMSETZEN > NEHMEN > GEBEN > SETZEN > NEHMEN > GEBEN > SETZEN > UMSETZEN > GEBEN > HALTEN] > ARG[AKTIVER POSTEN×5+ANTEIL×3] > REL[ZIELORT×2] > GRAD[AUSFÜHRUNG×2+GRAD II×1+GRAD I×3] > LICENSED_DY_CLOSE	0	COMPLETE_SCOPE_READING
121	P1009-S121	f75r	BIOLOGICAL	großes Bad-/Stationsblatt mit dreieckiger Insel	3	EXPLICIT_OPERATION_ROOT	NONE	NONE	SETZEN > HALTEN	NONE	AUSGANG×1	AUSFÜHRUNG×1+GRAD I×1	LICENSED_DY_CLOSE	ACTION_HEAD×2+GANG_CLOSE×1+RUNNING_ACTION×2+SAME_CARD_LEFT×1+SAME_CARD_NEAREST×1+VISIBLE_OWNER×1	BESITZER[großes Bad-/Stationsblatt mit dreieckiger Insel] > HANDLUNG[SETZEN > HALTEN] > ARG[NONE] > REL[AUSGANG×1] > GRAD[AUSFÜHRUNG×1+GRAD I×1] > LICENSED_DY_CLOSE	0	COMPLETE_SCOPE_READING
122	P1009-S122	f75r	BIOLOGICAL	großes Bad-/Stationsblatt mit dreieckiger Insel	4	EXPLICIT_OPERATION_ROOT	NONE	NONE	SETZEN > NEHMEN > GEBEN > SETZEN > HALTEN	AKTIVER POSTEN×2	AUSGANG×1	GRAD I×2	LICENSED_DY_CLOSE	ACTION_HEAD×5+GANG_CLOSE×1+SAME_CARD_LEFT×1+SAME_CARD_NEAREST×4	BESITZER[großes Bad-/Stationsblatt mit dreieckiger Insel] > HANDLUNG[SETZEN > NEHMEN > GEBEN > SETZEN > HALTEN] > ARG[AKTIVER POSTEN×2] > REL[AUSGANG×1] > GRAD[GRAD I×2] > LICENSED_DY_CLOSE	0	COMPLETE_SCOPE_READING
123	P1009-S123	f75r	BIOLOGICAL	großes Bad-/Stationsblatt mit dreieckiger Insel	3	EXPLICIT_OPERATION_ROOT	NONE	NONE	SETZEN	AKTIVER POSTEN×1	NONE	GRAD I×2	LICENSED_DY_CLOSE	ACTION_HEAD×2+FORWARD_TO_NEXT_ACTION×1+GANG_CLOSE×1+SAME_CARD_NEAREST×2+VISIBLE_OWNER×1	BESITZER[großes Bad-/Stationsblatt mit dreieckiger Insel] > HANDLUNG[SETZEN] > ARG[AKTIVER POSTEN×1] > REL[NONE] > GRAD[GRAD I×2] > LICENSED_DY_CLOSE	0	COMPLETE_SCOPE_READING
124	P1009-S124	f75r	BIOLOGICAL	großes Bad-/Stationsblatt mit dreieckiger Insel	1	TARGET_LIST_INHERITANCE	SETZEN	P1009-S123	SETZEN	NONE	ZIELORT×1	NONE	LICENSED_DY_CLOSE	GANG_CLOSE×1+RUNNING_ACTION×1	BESITZER[großes Bad-/Stationsblatt mit dreieckiger Insel] > HANDLUNG[SETZEN] > ARG[NONE] > REL[ZIELORT×1] > GRAD[NONE] > LICENSED_DY_CLOSE	0	COMPLETE_SCOPE_READING
125	P1009-S125	f75r	BIOLOGICAL	großes Bad-/Stationsblatt mit dreieckiger Insel	3	EXPLICIT_OPERATION_ROOT	NONE	NONE	EINSETZEN > HALTEN	AKTIVER POSTEN×1	ZIELORT×1	GRAD I×1	LICENSED_DY_CLOSE	ACTION_HEAD×3+GANG_CLOSE×1+RUNNING_ACTION×1+SAME_CARD_NEAREST×2+SAME_CARD_NEXT_STEP×1	BESITZER[großes Bad-/Stationsblatt mit dreieckiger Insel] > HANDLUNG[EINSETZEN > HALTEN] > ARG[AKTIVER POSTEN×1] > REL[ZIELORT×1] > GRAD[GRAD I×1] > LICENSED_DY_CLOSE	0	COMPLETE_SCOPE_READING
126	P1009-S126	f75r	BIOLOGICAL	großes Bad-/Stationsblatt mit dreieckiger Insel	3	EXPLICIT_OPERATION_ROOT	NONE	NONE	SETZEN > NEHMEN > WÄHLEN	ANTEIL×1	AUSGANG×1	NONE	LICENSED_DY_CLOSE	ACTION_HEAD×3+GANG_CLOSE×1+RUNNING_ACTION×1+SAME_CARD_NEAREST×1+VISIBLE_OWNER×1	BESITZER[großes Bad-/Stationsblatt mit dreieckiger Insel] > HANDLUNG[SETZEN > NEHMEN > WÄHLEN] > ARG[ANTEIL×1] > REL[AUSGANG×1] > GRAD[NONE] > LICENSED_DY_CLOSE	0	COMPLETE_SCOPE_READING
127	P1009-S127	f75r	BIOLOGICAL	großes Bad-/Stationsblatt mit dreieckiger Insel	1	EXPLICIT_OPERATION_ROOT	NONE	NONE	HALTEN	NONE	NONE	GRAD I×1	LICENSED_DY_CLOSE	ACTION_HEAD×1+GANG_CLOSE×1+SAME_CARD_NEAREST×1	BESITZER[großes Bad-/Stationsblatt mit dreieckiger Insel] > HANDLUNG[HALTEN] > ARG[NONE] > REL[NONE] > GRAD[GRAD I×1] > LICENSED_DY_CLOSE	0	COMPLETE_SCOPE_READING
128	P1009-S128	f75r	BIOLOGICAL	großes Bad-/Stationsblatt mit dreieckiger Insel	2	EXPLICIT_OPERATION_ROOT	NONE	NONE	HALTEN	NONE	AUSGANG×1	GRAD I×1	LICENSED_DY_CLOSE	ACTION_HEAD×1+FORWARD_TO_NEXT_ACTION×2+GANG_CLOSE×1+SAME_CARD_NEAREST×1	BESITZER[großes Bad-/Stationsblatt mit dreieckiger Insel] > HANDLUNG[HALTEN] > ARG[NONE] > REL[AUSGANG×1] > GRAD[GRAD I×1] > LICENSED_DY_CLOSE	0	COMPLETE_SCOPE_READING
129	P1009-S129	f75r	BIOLOGICAL	großes Bad-/Stationsblatt mit dreieckiger Insel	1	FUSED_PATH_OPERATION	NONE	NONE	FORTSETZEN	NONE	VERBINDUNG×1	NONE	LICENSED_DY_CLOSE	GANG_CLOSE×1+MASTER_HEAD_AT_CLOSE×1	BESITZER[großes Bad-/Stationsblatt mit dreieckiger Insel] > HANDLUNG[FORTSETZEN] > ARG[NONE] > REL[VERBINDUNG×1] > GRAD[NONE] > LICENSED_DY_CLOSE	0	COMPLETE_SCOPE_READING
130	P1009-S130	f75r	BIOLOGICAL	großes Bad-/Stationsblatt mit dreieckiger Insel	3	EXPLICIT_OPERATION_ROOT	NONE	NONE	SETZEN > HALTEN	AKTIVER POSTEN×1	VERBINDUNG×1	GRAD II×1+GRAD I×1	LICENSED_DY_CLOSE	ACTION_HEAD×2+GANG_CLOSE×1+RUNNING_ACTION×1+SAME_CARD_NEAREST×3	BESITZER[großes Bad-/Stationsblatt mit dreieckiger Insel] > HANDLUNG[SETZEN > HALTEN] > ARG[AKTIVER POSTEN×1] > REL[VERBINDUNG×1] > GRAD[GRAD II×1+GRAD I×1] > LICENSED_DY_CLOSE	0	COMPLETE_SCOPE_READING
131	P1009-S131	f75r	BIOLOGICAL	großes Bad-/Stationsblatt mit dreieckiger Insel	5	EXPLICIT_OPERATION_ROOT	NONE	NONE	UMSETZEN > SETZEN > NEHMEN > EINSTELLEN	AKTIVER POSTEN×1+ANTEIL×1	VERBINDUNG×1	AUSFÜHRUNG×1+GRAD I×1	LICENSED_DY_CLOSE	ACTION_HEAD×5+FORWARD_TO_NEXT_ACTION×2+GANG_CLOSE×1+SAME_CARD_NEAREST×3	BESITZER[großes Bad-/Stationsblatt mit dreieckiger Insel] > HANDLUNG[UMSETZEN > SETZEN > NEHMEN > EINSTELLEN] > ARG[AKTIVER POSTEN×1+ANTEIL×1] > REL[VERBINDUNG×1] > GRAD[AUSFÜHRUNG×1+GRAD I×1] > LICENSED_DY_CLOSE	0	COMPLETE_SCOPE_READING
132	P1009-S132	f75r	BIOLOGICAL	großes Bad-/Stationsblatt mit dreieckiger Insel	1	EXPLICIT_OPERATION_ROOT	NONE	NONE	EINSTELLEN	NONE	VERBINDUNG×1	GRAD I×1	LICENSED_DY_CLOSE	ACTION_HEAD×1+GANG_CLOSE×1+SAME_CARD_NEAREST×1+SAME_CARD_RIGHT_FRAME×1	BESITZER[großes Bad-/Stationsblatt mit dreieckiger Insel] > HANDLUNG[EINSTELLEN] > ARG[NONE] > REL[VERBINDUNG×1] > GRAD[GRAD I×1] > LICENSED_DY_CLOSE	0	COMPLETE_SCOPE_READING
133	P1009-S133	f75r	BIOLOGICAL	großes Bad-/Stationsblatt mit dreieckiger Insel	3	EXPLICIT_OPERATION_ROOT	NONE	NONE	WÄHLEN > GEBEN	NONE	AUSGANG×1	AUSFÜHRUNG×1+GRAD I×1	LICENSED_DY_CLOSE	ACTION_HEAD×2+FORWARD_TO_NEXT_ACTION×2+GANG_CLOSE×1+SAME_CARD_NEAREST×1+SAME_CARD_NEXT_STEP×1+VISIBLE_OWNER×2	BESITZER[großes Bad-/Stationsblatt mit dreieckiger Insel] > HANDLUNG[WÄHLEN > GEBEN] > ARG[NONE] > REL[AUSGANG×1] > GRAD[AUSFÜHRUNG×1+GRAD I×1] > LICENSED_DY_CLOSE	0	COMPLETE_SCOPE_READING
134	P1009-S134	f75r	BIOLOGICAL	großes Bad-/Stationsblatt mit dreieckiger Insel	8	EXPLICIT_OPERATION_ROOT	NONE	NONE	SETZEN > GEBEN > EINSTELLEN	AKTIVER POSTEN×1+ANTEIL×1	ZIELORT×1+AUSGANG×3	GRAD I×1	LICENSED_DY_CLOSE	ACTION_HEAD×4+GANG_CLOSE×1+RUNNING_ACTION×6+SAME_CARD_LEFT×2+SAME_CARD_NEAREST×2+SAME_CARD_NEXT_STEP×1+VISIBLE_OWNER×1	BESITZER[großes Bad-/Stationsblatt mit dreieckiger Insel] > HANDLUNG[SETZEN > GEBEN > EINSTELLEN] > ARG[AKTIVER POSTEN×1+ANTEIL×1] > REL[ZIELORT×1+AUSGANG×3] > GRAD[GRAD I×1] > LICENSED_DY_CLOSE	0	COMPLETE_SCOPE_READING
135	P1009-S135	f75r	BIOLOGICAL	großes Bad-/Stationsblatt mit dreieckiger Insel	6	EXPLICIT_OPERATION_ROOT	NONE	NONE	SETZEN > HALTEN > EINSTELLEN > SETZEN > HALTEN	ANTEIL×2+AKTIVER POSTEN×1	AUSGANG×2	GRAD II×1+GRAD I×1	LICENSED_DY_CLOSE	ACTION_HEAD×5+GANG_CLOSE×1+RUNNING_ACTION×2+SAME_CARD_NEAREST×5+VISIBLE_OWNER×2	BESITZER[großes Bad-/Stationsblatt mit dreieckiger Insel] > HANDLUNG[SETZEN > HALTEN > EINSTELLEN > SETZEN > HALTEN] > ARG[ANTEIL×2+AKTIVER POSTEN×1] > REL[AUSGANG×2] > GRAD[GRAD II×1+GRAD I×1] > LICENSED_DY_CLOSE	0	COMPLETE_SCOPE_READING
136	P1009-S136	f75r	BIOLOGICAL	großes Bad-/Stationsblatt mit dreieckiger Insel	2	EXPLICIT_OPERATION_ROOT	NONE	NONE	SETZEN	ANTEIL×1	NONE	NONE	LICENSED_DY_CLOSE	ACTION_HEAD×1+GANG_CLOSE×1+RUNNING_ACTION×1+SAME_CARD_NEAREST×1	BESITZER[großes Bad-/Stationsblatt mit dreieckiger Insel] > HANDLUNG[SETZEN] > ARG[ANTEIL×1] > REL[NONE] > GRAD[NONE] > LICENSED_DY_CLOSE	0	COMPLETE_SCOPE_READING
137	P1009-S137	f75r	BIOLOGICAL	großes Bad-/Stationsblatt mit dreieckiger Insel	2	EXPLICIT_OPERATION_ROOT	NONE	NONE	GEBEN	NONE	NONE	GRAD II×1	LICENSED_DY_CLOSE	ACTION_HEAD×1+FORWARD_TO_NEXT_ACTION×1+GANG_CLOSE×1+SAME_CARD_NEAREST×1	BESITZER[großes Bad-/Stationsblatt mit dreieckiger Insel] > HANDLUNG[GEBEN] > ARG[NONE] > REL[NONE] > GRAD[GRAD II×1] > LICENSED_DY_CLOSE	0	COMPLETE_SCOPE_READING
138	P1009-S138	f75r	BIOLOGICAL	großes Bad-/Stationsblatt mit dreieckiger Insel	1	EXPLICIT_OPERATION_ROOT	NONE	NONE	SETZEN	NONE	NONE	GRAD II×1	LICENSED_DY_CLOSE	ACTION_HEAD×1+GANG_CLOSE×1+SAME_CARD_NEAREST×1	BESITZER[großes Bad-/Stationsblatt mit dreieckiger Insel] > HANDLUNG[SETZEN] > ARG[NONE] > REL[NONE] > GRAD[GRAD II×1] > LICENSED_DY_CLOSE	0	COMPLETE_SCOPE_READING
139	P1009-S139	f75r	BIOLOGICAL	großes Bad-/Stationsblatt mit dreieckiger Insel	4	EXPLICIT_OPERATION_ROOT	NONE	NONE	SETZEN	AKTIVER POSTEN×1	AUSGANG×4	GRAD I×1	LICENSED_DY_CLOSE	ACTION_HEAD×2+GANG_CLOSE×1+RUNNING_ACTION×4+SAME_CARD_LEFT×1+SAME_CARD_NEAREST×2+VISIBLE_OWNER×2	BESITZER[großes Bad-/Stationsblatt mit dreieckiger Insel] > HANDLUNG[SETZEN] > ARG[AKTIVER POSTEN×1] > REL[AUSGANG×4] > GRAD[GRAD I×1] > LICENSED_DY_CLOSE	0	COMPLETE_SCOPE_READING
140	P1009-S140	f75r	BIOLOGICAL	großes Bad-/Stationsblatt mit dreieckiger Insel	1	EXPLICIT_OPERATION_ROOT	NONE	NONE	SETZEN	NONE	NONE	GRAD I×1	LICENSED_DY_CLOSE	ACTION_HEAD×1+GANG_CLOSE×1+SAME_CARD_NEAREST×1	BESITZER[großes Bad-/Stationsblatt mit dreieckiger Insel] > HANDLUNG[SETZEN] > ARG[NONE] > REL[NONE] > GRAD[GRAD I×1] > LICENSED_DY_CLOSE	0	COMPLETE_SCOPE_READING
141	P1009-S141	f75r	BIOLOGICAL	großes Bad-/Stationsblatt mit dreieckiger Insel	3	EXPLICIT_OPERATION_ROOT	NONE	NONE	HALTEN > EINSTELLEN > SETZEN	AKTIVER POSTEN×2	NONE	GRAD II×1+GRAD I×1	LICENSED_DY_CLOSE	ACTION_HEAD×3+FORWARD_TO_NEXT_ACTION×1+GANG_CLOSE×1+SAME_CARD_NEAREST×3	BESITZER[großes Bad-/Stationsblatt mit dreieckiger Insel] > HANDLUNG[HALTEN > EINSTELLEN > SETZEN] > ARG[AKTIVER POSTEN×2] > REL[NONE] > GRAD[GRAD II×1+GRAD I×1] > LICENSED_DY_CLOSE	0	COMPLETE_SCOPE_READING
142	P1009-S142	f75r	BIOLOGICAL	großes Bad-/Stationsblatt mit dreieckiger Insel	1	EXPLICIT_OPERATION_ROOT	NONE	NONE	SETZEN	NONE	NONE	GRAD II×1	LICENSED_DY_CLOSE	ACTION_HEAD×1+GANG_CLOSE×1+SAME_CARD_NEAREST×1	BESITZER[großes Bad-/Stationsblatt mit dreieckiger Insel] > HANDLUNG[SETZEN] > ARG[NONE] > REL[NONE] > GRAD[GRAD II×1] > LICENSED_DY_CLOSE	0	COMPLETE_SCOPE_READING
143	P1009-S143	f75r	BIOLOGICAL	großes Bad-/Stationsblatt mit dreieckiger Insel	1	EXPLICIT_OPERATION_ROOT	NONE	NONE	SETZEN > UMSETZEN	NONE	NONE	GRAD I×1	LICENSED_DY_CLOSE	ACTION_HEAD×2+GANG_CLOSE×1+SAME_CARD_NEAREST×1	BESITZER[großes Bad-/Stationsblatt mit dreieckiger Insel] > HANDLUNG[SETZEN > UMSETZEN] > ARG[NONE] > REL[NONE] > GRAD[GRAD I×1] > LICENSED_DY_CLOSE	0	COMPLETE_SCOPE_READING
144	P1009-S144	f75r	BIOLOGICAL	großes Bad-/Stationsblatt mit dreieckiger Insel	2	EXPLICIT_OPERATION_ROOT	NONE	NONE	SETZEN	NONE	VERBINDUNG×1	GRAD II×1	LICENSED_DY_CLOSE	ACTION_HEAD×1+FORWARD_TO_NEXT_ACTION×2+GANG_CLOSE×1+SAME_CARD_NEAREST×1	BESITZER[großes Bad-/Stationsblatt mit dreieckiger Insel] > HANDLUNG[SETZEN] > ARG[NONE] > REL[VERBINDUNG×1] > GRAD[GRAD II×1] > LICENSED_DY_CLOSE	0	COMPLETE_SCOPE_READING
145	P1009-S145	f75r	BIOLOGICAL	großes Bad-/Stationsblatt mit dreieckiger Insel	1	EXPLICIT_OPERATION_ROOT	NONE	NONE	SETZEN	NONE	NONE	GRAD II×1	LICENSED_DY_CLOSE	ACTION_HEAD×1+GANG_CLOSE×1+SAME_CARD_NEAREST×1	BESITZER[großes Bad-/Stationsblatt mit dreieckiger Insel] > HANDLUNG[SETZEN] > ARG[NONE] > REL[NONE] > GRAD[GRAD II×1] > LICENSED_DY_CLOSE	0	COMPLETE_SCOPE_READING
146	P1009-S146	f75r	BIOLOGICAL	großes Bad-/Stationsblatt mit dreieckiger Insel	1	EXPLICIT_OPERATION_ROOT	NONE	NONE	SETZEN	NONE	NONE	GRAD I×1	LICENSED_DY_CLOSE	ACTION_HEAD×1+GANG_CLOSE×1+SAME_CARD_NEAREST×1	BESITZER[großes Bad-/Stationsblatt mit dreieckiger Insel] > HANDLUNG[SETZEN] > ARG[NONE] > REL[NONE] > GRAD[GRAD I×1] > LICENSED_DY_CLOSE	0	COMPLETE_SCOPE_READING
