surface	events	pages	kinds	component_recipe	portable_default_de	reading_class	source_surface	owner_bound_label_use	confidence
okolar	1	f71v	L	LOCAL_ADDRESS	BILDADRESSE	LOCAL_OWNER_ADDRESS	okolar	YES	OWNER_BOUND
okor	1	f17r	P	OK+OR	SETZEN · ANSATZ	EXACT_REGISTERED_SURFACE	okor	NO	HIGH
okshy	1	f17r	P	OK+Y	SETZEN · POSTEN	LICENSED_SCRIBAL_ALLOGRAPH	okchy	NO	MEDIUM_HIGH
ol	6	f77r|f88v	P	OL	FORTSETZEN	EXACT_REGISTERED_SURFACE	ol	NO	HIGH
olaiin	3	f17r|f77r|f88v	P	OL+AIIN	FORTSETZEN · MASS	EXACT_REGISTERED_SURFACE	olaiin	NO	HIGH
olaiiny	1	f77r	P	OL+AIIN+Y	FORTSETZEN · MASS · POSTEN	VISIBLE_NEW_COMPOSITION	olaiin	NO	MEDIUM_HIGH
olcheedy	1	f77r	P	OL+CH+EE+DY	FORTSETZEN · NEHMEN · LÄNGER · SCHLUSS	VISIBLE_ROOT_COMPOSITION_RECONCILED	olcheedy	NO	MEDIUM_HIGH
olcheody	1	f88v	P	OL+CHEO+DY	FORTSETZEN · AUSZUG · SCHLUSS	VISIBLE_NEW_COMPOSITION	olchedy	NO	MEDIUM_HIGH
olchey	2	f77r	P	OL+Y	FORTSETZEN · POSTEN	EXACT_REGISTERED_SURFACE	olchey	NO	HIGH
oldaiin	1	f88v	P	OL+D_ADDR+AIIN	FORTSETZEN · TEIL · MASS	VISIBLE_NEW_COMPOSITION	aldaiin	NO	MEDIUM_HIGH
oldckhy	1	f17r	P	OL+D_ADDR+CKH+Y	FORTSETZEN · TEIL · DURCHLASS · POSTEN	VISIBLE_NEW_COMPOSITION	ockhy	NO	MEDIUM_HIGH
olkchs	1	f77r	L	LOCAL_ADDRESS	BILDADRESSE	LOCAL_OWNER_ADDRESS	OWNER_COPY	YES	OWNER_BOUND
olkedy	1	f77r	P	SOLK+E+DY	AUFFANGEN · KURZ · SCHLUSS	EXACT_REGISTERED_SURFACE	olkedy	NO	HIGH
oloky	1	f77r	P	OL+OK+Y	FORTSETZEN · SETZEN · POSTEN	VISIBLE_NEW_COMPOSITION	olkoky	NO	MEDIUM_HIGH
olshedy	1	f77r	P	OL+SH+E+DY	FORTSETZEN · HALTEN · KURZ · SCHLUSS	EXACT_REGISTERED_SURFACE	olshedy	NO	HIGH
opalar	1	f71v	L	LOCAL_ADDRESS	BILDADRESSE	LOCAL_OWNER_ADDRESS	OWNER_COPY	YES	OWNER_BOUND
opalor	1	f71v	L	LOCAL_ADDRESS	BILDADRESSE	LOCAL_OWNER_ADDRESS	OWNER_COPY	YES	OWNER_BOUND
opchordy	1	f17r	P	O+P+CH+OR+DY	AUSFÜHREN · EINSETZEN · NEHMEN · ANSATZ · SCHLUSS	VISIBLE_NEW_COMPOSITION	opcholdy	NO	MEDIUM_HIGH
opydg	1	f17r	P	O+P+Y+D_ADDR+LOCAL_CHAR_G	AUSFÜHREN · EINSETZEN · POSTEN · TEIL · EINMAL	VISIBLE_ROOT_COMPOSITION_RESOLVED	opydg	NO	MEDIUM_HIGH
opydy	1	f17r	P	O+P+Y+DY	AUSFÜHREN · EINSETZEN · POSTEN · SCHLUSS	VISIBLE_NEW_COMPOSITION	ofydy	NO	MEDIUM_HIGH
opykey	1	f88v	P	O+P+Y+K+E+Y	AUSFÜHREN · EINSETZEN · POSTEN · GEBEN · KURZ · POSTEN	VISIBLE_ROOT_COMPOSITION_RESOLVED	opykey	NO	MEDIUM_HIGH
or	3	f17r|f77r|f71v	C|P	OR	ANSATZ	EXACT_REGISTERED_SURFACE	or	NO	HIGH
oraiin	1	f88v	P	OR+AIIN	ANSATZ · MASS	VISIBLE_NEW_COMPOSITION	araiin	NO	MEDIUM_HIGH
osheo	1	f71v	C	O+SH+E+O	AUSFÜHREN · HALTEN · KURZ · AUSFÜHREN	VISIBLE_NEW_COMPOSITION	otsheo	NO	MEDIUM_HIGH
otaiin	2	f71v	C|L	OT+AIIN	DANACH · MASS	EXACT_REGISTERED_SURFACE	otaiin	YES	HIGH
otal	1	f71v	C	OT+AL	DANACH · ZIEL	EXACT_REGISTERED_SURFACE	otal	NO	HIGH
otalaiin	1	f71v	L	LOCAL_ADDRESS	BILDADRESSE	LOCAL_OWNER_ADDRESS	otalaiin	YES	OWNER_BOUND
otalody	1	f71v	L	LOCAL_ADDRESS	BILDADRESSE	LOCAL_OWNER_ADDRESS	OWNER_COPY	YES	OWNER_BOUND
otaly	1	f71v	C	OT+AL+Y	DANACH · ZIEL · POSTEN	EXACT_REGISTERED_SURFACE	otaly	NO	HIGH
otar	4	f88v|f71v	C|L	OT+AR	DANACH · QUELLE	EXACT_REGISTERED_SURFACE	otar	YES	HIGH
otchdy	1	f77r	L	LOCAL_ADDRESS	BILDADRESSE	LOCAL_OWNER_ADDRESS	otchdy	YES	OWNER_BOUND
otcheodal	1	f71v	C	OT+CHEO+D_ADDR+AL	DANACH · AUSZUG · TEIL · ZIEL	VISIBLE_NEW_COMPOSITION	otcheody	NO	MEDIUM_HIGH
otchody	1	f71v	L	LOCAL_ADDRESS	BILDADRESSE	LOCAL_OWNER_ADDRESS	OWNER_COPY	YES	OWNER_BOUND
otchol	2	f17r	P	OT+CH+OL	DANACH · NEHMEN · FORTSETZEN	EXACT_REGISTERED_SURFACE	otchol	NO	HIGH
otchr	1	f71v	C	OT+CH+R	DANACH · NEHMEN · MERKEN	VISIBLE_NEW_COMPOSITION	otchl	NO	MEDIUM_HIGH
otchy	2	f17r|f71v	C|P	OT+CH+Y	DANACH · NEHMEN · POSTEN	EXACT_REGISTERED_SURFACE	otchy	NO	HIGH
otdordy	1	f88v	L	LOCAL_ADDRESS	BILDADRESSE	LOCAL_OWNER_ADDRESS	OWNER_COPY	YES	OWNER_BOUND
otedy	2	f77r	L|P	OT+E+DY	DANACH · KURZ · SCHLUSS	EXACT_REGISTERED_SURFACE	otedy	YES	HIGH
oteedy	1	f77r	P	OT+EE+DY	DANACH · LÄNGER · SCHLUSS	EXACT_REGISTERED_SURFACE	oteedy	NO	HIGH
oteeeon	1	f17r	L	LOCAL_ADDRESS	BILDADRESSE	LOCAL_OWNER_ADDRESS	OWNER_COPY	YES	OWNER_BOUND
oteeodaiin	1	f71v	C	OT+EE+O+D_ADDR+AIIN	DANACH · LÄNGER · AUSFÜHREN · TEIL · MASS	VISIBLE_NEW_COMPOSITION	oteodaiin	NO	MEDIUM_HIGH
oteeody	1	f88v	P	OT+EE+O+DY	DANACH · LÄNGER · AUSFÜHREN · SCHLUSS	EXACT_REGISTERED_SURFACE	oteeody	NO	HIGH
oteeos	1	f71v	C	OT+EE+O+S_ADDR	DANACH · LÄNGER · AUSFÜHREN · SONDERORT	EXACT_REGISTERED_SURFACE	oteeos	NO	HIGH
oteey	4	f71v	C	OT+EE+Y	DANACH · LÄNGER · POSTEN	EXACT_REGISTERED_SURFACE	oteey	NO	HIGH
oteodar	1	f71v	C	OT+E+O+D_ADDR+AR	DANACH · KURZ · AUSFÜHREN · TEIL · QUELLE	VISIBLE_NEW_COMPOSITION	oteedar	NO	MEDIUM_HIGH
oteody	2	f88v	P	OT+E+O+Y	DANACH · KURZ · AUSFÜHREN · POSTEN	EXACT_REGISTERED_SURFACE	oteody	NO	HIGH
oteokeey	1	f71v	C	OT+E+O+K+EE+Y	DANACH · KURZ · AUSFÜHREN · GEBEN · LÄNGER · POSTEN	VISIBLE_NEW_COMPOSITION	oteoeey	NO	MEDIUM_HIGH
oteol	1	f88v	P	OT+E+OL	DANACH · KURZ · FORTSETZEN	EXACT_REGISTERED_SURFACE	oteol	NO	HIGH
oteoshar	1	f71v	C	OT+E+O+SH+AR	DANACH · KURZ · AUSFÜHREN · HALTEN · QUELLE	VISIBLE_NEW_COMPOSITION	oteoarar	NO	MEDIUM_HIGH
otey	1	f77r	P	OT+E+Y	DANACH · KURZ · POSTEN	EXACT_REGISTERED_SURFACE	otey	NO	HIGH
oto	1	f71v	C	OT+O	DANACH · AUSFÜHREN	VISIBLE_ROOT_COMPOSITION_RECONCILED	oto	NO	MEDIUM_HIGH
otokol	1	f88v	L	LOCAL_ADDRESS	BILDADRESSE	LOCAL_OWNER_ADDRESS	OWNER_COPY	YES	OWNER_BOUND
otol	2	f77r|f88v	L|P	OT+OL	DANACH · FORTSETZEN	EXACT_REGISTERED_SURFACE	otol	YES	HIGH
otolaiin	1	f77r	L	LOCAL_ADDRESS	BILDADRESSE	LOCAL_OWNER_ADDRESS	OWNER_COPY	YES	OWNER_BOUND
otor	1	f71v	C	OT+OR	DANACH · ANSATZ	EXACT_REGISTERED_SURFACE	otor	NO	HIGH
otora	1	f88v	L	LOCAL_ADDRESS	BILDADRESSE	LOCAL_OWNER_ADDRESS	OWNER_COPY	YES	OWNER_BOUND
otoram	1	f88v	L	LOCAL_ADDRESS	BILDADRESSE	LOCAL_OWNER_ADDRESS	OWNER_COPY	YES	OWNER_BOUND
otork	1	f77r	L	LOCAL_ADDRESS	BILDADRESSE	LOCAL_OWNER_ADDRESS	OWNER_COPY	YES	OWNER_BOUND
oty	1	f71v	C	OT+Y	DANACH · POSTEN	EXACT_REGISTERED_SURFACE	oty	NO	HIGH
otydary	1	f88v	L	LOCAL_ADDRESS	BILDADRESSE	LOCAL_OWNER_ADDRESS	OWNER_COPY	YES	OWNER_BOUND
parar	1	f71v	C	P+AR+AR	EINSETZEN · QUELLE · QUELLE	VISIBLE_NEW_COMPOSITION	arar	NO	MEDIUM_HIGH
pchedy	1	f77r	P	P+CHD+DY	EINSETZEN · UMSETZEN · SCHLUSS	EXACT_REGISTERED_SURFACE	pchedy	NO	HIGH
pol	1	f77r	P	P+OL	EINSETZEN · FORTSETZEN	VISIBLE_NEW_COMPOSITION	dol	NO	MEDIUM_HIGH
poldarais	1	f77r	P	P+OL+D_ADDR+AR+A_ADDR+IIN+S	EINSETZEN · FORTSETZEN · TEIL · QUELLE · ORT · STUFE · AUSWÄHLEN	VISIBLE_NEW_COMPOSITION	dolaram	NO	WORKING
qeey	1	f77r	P	CARRIER_Q+EE+Y	BEGINN · LÄNGER · POSTEN	VISIBLE_NEW_COMPOSITION	deey	NO	MEDIUM_HIGH
qepchedy	1	f77r	P	CARRIER_Q+E+P+CHD+Y	BEGINN · KURZ · EINSETZEN · UMSETZEN · POSTEN	VISIBLE_ROOT_COMPOSITION_RECONCILED	qepchedy	NO	MEDIUM_HIGH
qeteiiin	1	f77r	P	CARRIER_Q+E+T+IIN	BEGINN · KURZ · STELLEN · STUFE	VISIBLE_NEW_COMPOSITION	qekaiin	NO	WORKING
qo	1	f77r	P	O	AUSFÜHREN	EXACT_REGISTERED_SURFACE	qo	NO	HIGH
qoaiin	1	f88v	P	CARRIER_Q+O+AIIN	BEGINN · AUSFÜHREN · MASS	EXACT_REGISTERED_SURFACE	qoaiin	NO	HIGH
qockhol	1	f88v	P	CARRIER_Q+O+CKH+OL	BEGINN · AUSFÜHREN · DURCHLASS · FORTSETZEN	EXACT_REGISTERED_SURFACE	qockhol	NO	HIGH
qodam	1	f17r	P	O+D_ADDR+AM_ADDR	AUSFÜHREN · TEIL · INNEN	VISIBLE_NEW_COMPOSITION	qokam	NO	MEDIUM_HIGH
qodar	1	f17r	P	O+D_ADDR+AR	AUSFÜHREN · TEIL · QUELLE	VISIBLE_NEW_COMPOSITION	odar	NO	MEDIUM_HIGH
qodcthy	1	f17r	P	O+D_ADDR+CTH+Y	AUSFÜHREN · TEIL · BEREIT · POSTEN	VISIBLE_NEW_COMPOSITION	qodchy	NO	MEDIUM_HIGH
qodeedy	1	f77r	P	O+D_ADDR+EE+DY	AUSFÜHREN · TEIL · LÄNGER · SCHLUSS	VISIBLE_NEW_COMPOSITION	qoeedy	NO	MEDIUM_HIGH
qody	1	f17r	P	CARRIER_Q+O+DY	BEGINN · AUSFÜHREN · SCHLUSS	EXACT_REGISTERED_SURFACE	qody	NO	HIGH
qoeedy	1	f77r	P	CARRIER_Q+O+EE+D_ADDR+Y	BEGINN · AUSFÜHREN · LÄNGER · TEIL · POSTEN	EXACT_REGISTERED_SURFACE	qoeedy	NO	HIGH
qoeey	1	f88v	P	O+EE+Y	AUSFÜHREN · LÄNGER · POSTEN	VISIBLE_NEW_COMPOSITION	oeey	NO	MEDIUM_HIGH
qoekeol	1	f88v	P	O+E+K+E+OL	AUSFÜHREN · KURZ · GEBEN · KURZ · FORTSETZEN	VISIBLE_NEW_COMPOSITION	qoekeor	NO	MEDIUM_HIGH
qof	1	f17r	P	O+LOCAL_CHAR_F	AUSFÜHREN · NEBENWEG	VISIBLE_NEW_COMPOSITION	qo	NO	MEDIUM_HIGH
qokaiin	13	f77r	P	OK+AIIN	SETZEN · MASS	EXACT_REGISTERED_SURFACE	qokaiin	NO	HIGH
qokain	7	f77r	P	OK+AIN	SETZEN · PORTION	EXACT_REGISTERED_SURFACE	qokain	NO	HIGH
qokal	2	f77r	P	OK+AL	SETZEN · ZIEL	EXACT_REGISTERED_SURFACE	qokal	NO	HIGH
qokaly	1	f77r	P	OK+AL+Y	SETZEN · ZIEL · POSTEN	EXACT_REGISTERED_SURFACE	qokaly	NO	HIGH
qokar	2	f77r	P	OK+AR	SETZEN · QUELLE	EXACT_REGISTERED_SURFACE	qokar	NO	HIGH
qokcheor	1	f17r	P	OK+CHEO+R	SETZEN · AUSZUG · MERKEN	VISIBLE_NEW_COMPOSITION	ofcheor	NO	MEDIUM_HIGH
qokchy	1	f17r	P	OK+Y	SETZEN · POSTEN	EXACT_REGISTERED_SURFACE	qokchy	NO	HIGH
qokear	1	f77r	P	OK+E+AR	SETZEN · KURZ · QUELLE	VISIBLE_NEW_COMPOSITION	okear	NO	MEDIUM_HIGH
qokedy	3	f77r	P	OK+E+DY	SETZEN · KURZ · SCHLUSS	EXACT_REGISTERED_SURFACE	qokedy	NO	HIGH
qokeed	1	f77r	P	OK+EE+D_ADDR	SETZEN · LÄNGER · TEIL	EXACT_REGISTERED_SURFACE	qokeed	NO	HIGH
qokeedy	20	f77r	P	OK+EE+DY	SETZEN · LÄNGER · SCHLUSS	EXACT_REGISTERED_SURFACE	qokeedy	NO	HIGH
qokeey	7	f77r|f88v	P	OK+EE+Y	SETZEN · LÄNGER · POSTEN	EXACT_REGISTERED_SURFACE	qokeey	NO	HIGH
qokeo	2	f88v	P	OK+E+O	SETZEN · KURZ · AUSFÜHREN	VISIBLE_NEW_COMPOSITION	okeo	NO	MEDIUM_HIGH
qokeody	5	f88v	P	OK+E+O+D_ADDR+Y	SETZEN · KURZ · AUSFÜHREN · TEIL · POSTEN	EXACT_REGISTERED_SURFACE	qokeody	NO	HIGH
qokeom	1	f88v	P	OK+E+O+AM_ADDR	SETZEN · KURZ · AUSFÜHREN · INNEN	VISIBLE_NEW_COMPOSITION	okeom	NO	MEDIUM_HIGH
qokody	1	f88v	P	OK+O+DY	SETZEN · AUSFÜHREN · SCHLUSS	VISIBLE_NEW_COMPOSITION	okody	NO	MEDIUM_HIGH
qokol	4	f17r|f77r	P	OK+OL	SETZEN · FORTSETZEN	EXACT_REGISTERED_SURFACE	qokol	NO	HIGH
qoky	3	f77r|f88v	P	OK+Y	SETZEN · POSTEN	EXACT_REGISTERED_SURFACE	qoky	NO	HIGH
qol	6	f77r	P	OL	FORTSETZEN	EXACT_REGISTERED_SURFACE	qol	NO	HIGH
qolal	1	f77r	P	OL+AL	FORTSETZEN · ZIEL	VISIBLE_NEW_COMPOSITION	qokal	NO	MEDIUM_HIGH
qolchedy	1	f77r	P	OL+CHD+DY	FORTSETZEN · UMSETZEN · SCHLUSS	EXACT_REGISTERED_SURFACE	qolchedy	NO	HIGH
qolcheedy	1	f77r	P	OL+SH+EE+DY	FORTSETZEN · HALTEN · LÄNGER · SCHLUSS	VISIBLE_NEW_COMPOSITION	qolchedy	NO	MEDIUM_HIGH
qolchey	1	f77r	P	OL+Y	FORTSETZEN · POSTEN	EXACT_REGISTERED_SURFACE	qolchey	NO	HIGH
qolchy	1	f77r	P	OL+CH+Y	FORTSETZEN · NEHMEN · POSTEN	VISIBLE_NEW_COMPOSITION	olchy	NO	MEDIUM_HIGH
qolkain	1	f77r	P	SOLK+AIN	AUFFANGEN · PORTION	EXACT_REGISTERED_SURFACE	qolkain	NO	HIGH
qopchedy	2	f77r	P	CARRIER_Q+O+P+CHD+Y	BEGINN · AUSFÜHREN · EINSETZEN · UMSETZEN · POSTEN	EXACT_REGISTERED_SURFACE	qopchedy	NO	HIGH
qor	2	f17r|f77r	P	OR	ANSATZ	EXACT_REGISTERED_SURFACE	qor	NO	HIGH
qotaiin	5	f77r	P	OT+AIIN	DANACH · MASS	EXACT_REGISTERED_SURFACE	qotaiin	NO	HIGH
qotain	2	f77r	P	OT+AIN	DANACH · PORTION	EXACT_REGISTERED_SURFACE	qotain	NO	HIGH
qotal	2	f77r	P	OT+AL	DANACH · ZIEL	EXACT_REGISTERED_SURFACE	qotal	NO	HIGH
qotary	1	f77r	P	OT+AR+Y	DANACH · QUELLE · POSTEN	VISIBLE_NEW_COMPOSITION	qotar	NO	MEDIUM_HIGH
qotedy	9	f77r	P	OT+E+DY	DANACH · KURZ · SCHLUSS	EXACT_REGISTERED_SURFACE	qotedy	NO	HIGH
qoteedy	9	f77r	P	OT+EE+DY	DANACH · LÄNGER · SCHLUSS	EXACT_REGISTERED_SURFACE	qoteedy	NO	HIGH
qoteeedy	1	f77r	P	OT+EEE+DY	DANACH · VOLL · SCHLUSS	VISIBLE_NEW_COMPOSITION	qokeeedy	NO	MEDIUM_HIGH
qoteey	1	f77r	P	OT+EE+Y	DANACH · LÄNGER · POSTEN	EXACT_REGISTERED_SURFACE	qoteey	NO	HIGH
qoteo	1	f88v	P	OT+E+O	DANACH · KURZ · AUSFÜHREN	VISIBLE_NEW_COMPOSITION	oteo	NO	MEDIUM_HIGH
qoteody	1	f88v	P	OT+E+O+DY	DANACH · KURZ · AUSFÜHREN · SCHLUSS	VISIBLE_NEW_COMPOSITION	oteody	NO	MEDIUM_HIGH
qotey	1	f77r	P	OT+E+Y	DANACH · KURZ · POSTEN	VISIBLE_NEW_COMPOSITION	otey	NO	MEDIUM_HIGH
qotody	2	f88v	P	OT+O+DY	DANACH · AUSFÜHREN · SCHLUSS	VISIBLE_NEW_COMPOSITION	otody	NO	MEDIUM_HIGH
qotol	1	f77r	P	OT+OL	DANACH · FORTSETZEN	VISIBLE_NEW_COMPOSITION	otol	NO	MEDIUM_HIGH
qoty	1	f77r	P	OT+Y	DANACH · POSTEN	EXACT_REGISTERED_SURFACE	qoty	NO	HIGH
qykaiin	1	f77r	P	Y+K+AIIN	POSTEN · GEBEN · MASS	VISIBLE_NEW_COMPOSITION	qekaiin	NO	MEDIUM_HIGH
r	3	f77r|f88v	P	R	MERKEN	EXACT_REGISTERED_SURFACE	r	NO	HIGH
raiin	3	f77r	P	R+AIIN	MERKEN · MASS	EXACT_REGISTERED_SURFACE	raiin	NO	HIGH
roshckhy	1	f88v	P	R+O+SH+CKH+Y	MERKEN · AUSFÜHREN · HALTEN · DURCHLASS · POSTEN	VISIBLE_NEW_COMPOSITION	shckhy	NO	MEDIUM_HIGH
s	4	f77r|f88v	P	S	AUSWÄHLEN	EXACT_REGISTERED_SURFACE	s	NO	HIGH
sa	1	f77r	P	S+A_ADDR	AUSWÄHLEN · ORT	VISIBLE_NEW_COMPOSITION	a	NO	MEDIUM_HIGH
saiin	3	f77r|f88v	P	S+AIIN	AUSWÄHLEN · MASS	EXACT_REGISTERED_SURFACE	saiin	NO	HIGH
saiisol	1	f77r	P	S+A_ADDR+IIN+S+OL	AUSWÄHLEN · ORT · STUFE · AUSWÄHLEN · FORTSETZEN	VISIBLE_NEW_COMPOSITION	daiial	NO	WORKING
sain	2	f17r|f77r	P	S+AIN	AUSWÄHLEN · PORTION	EXACT_REGISTERED_SURFACE	sain	NO	HIGH
sairal	1	f88v	P	S+AIR+AL	AUSWÄHLEN · LAUF · ZIEL	VISIBLE_NEW_COMPOSITION	saral	NO	MEDIUM_HIGH
sal	2	f77r	P	S+AL	AUSWÄHLEN · ZIEL	EXACT_REGISTERED_SURFACE	sal	NO	HIGH
saldaiin	1	f88v	P	S+AL+D_ADDR+AIIN	AUSWÄHLEN · ZIEL · TEIL · MASS	VISIBLE_NEW_COMPOSITION	aldaiin	NO	MEDIUM_HIGH
saldy	1	f88v	P	S+AL+DY	AUSWÄHLEN · ZIEL · SCHLUSS	EXACT_REGISTERED_SURFACE	saldy	NO	HIGH
sar	2	f77r	P	S+AR	AUSWÄHLEN · QUELLE	EXACT_REGISTERED_SURFACE	sar	NO	HIGH
schar	1	f17r	P	S+AR	AUSWÄHLEN · QUELLE	VISIBLE_ROOT_COMPOSITION_RECONCILED	schar	NO	MEDIUM_HIGH
sh	1	f77r	P	SH	HALTEN	EXACT_REGISTERED_SURFACE	sh	NO	HIGH
shar	1	f71v	L	LOCAL_ADDRESS	BILDADRESSE	LOCAL_OWNER_ADDRESS	OWNER_COPY	YES	OWNER_BOUND
shcthey	1	f77r	P	SH+CTH+E+Y	HALTEN · BEREIT · KURZ · POSTEN	EXACT_REGISTERED_SURFACE	shcthey	NO	HIGH
she	1	f71v	C	SH+E	HALTEN · KURZ	VISIBLE_NEW_COMPOSITION	sh	NO	MEDIUM_HIGH
sheal	1	f77r	P	SH+E+AL	HALTEN · KURZ · ZIEL	EXACT_REGISTERED_SURFACE	sheal	NO	HIGH
shealol	1	f77r	P	SH+E+AL+OL	HALTEN · KURZ · ZIEL · FORTSETZEN	VISIBLE_NEW_COMPOSITION	sheal	NO	MEDIUM_HIGH
shear	2	f77r	P	SH+E+AR	HALTEN · KURZ · QUELLE	EXACT_REGISTERED_SURFACE	shear	NO	HIGH
sheckhedy	1	f77r	P	SH+E+CKH+E+DY	HALTEN · KURZ · DURCHLASS · KURZ · SCHLUSS	VISIBLE_NEW_COMPOSITION	shckhedy	NO	MEDIUM_HIGH
sheckhey	1	f77r	P	SH+E+CKH+E+Y	HALTEN · KURZ · DURCHLASS · KURZ · POSTEN	VISIBLE_NEW_COMPOSITION	shckhey	NO	MEDIUM_HIGH
shedaiin	1	f77r	P	SHED+AIIN	ABSETZEN · MASS	EXACT_REGISTERED_SURFACE	shedaiin	NO	HIGH
shedar	1	f77r	P	SH+E+D_ADDR+AR	HALTEN · KURZ · TEIL · QUELLE	VISIBLE_ROOT_COMPOSITION_RECONCILED	shedar	NO	MEDIUM_HIGH
shedy	13	f77r|f88v	P	SHED+DY	ABSETZEN · SCHLUSS	EXACT_REGISTERED_SURFACE	shedy	NO	HIGH
sheealody	1	f71v	C	SH+EE+AL+O+DY	HALTEN · LÄNGER · ZIEL · AUSFÜHREN · SCHLUSS	VISIBLE_NEW_COMPOSITION	sheeal	NO	WORKING
sheed	1	f77r	P	SH+EE+D_ADDR	HALTEN · LÄNGER · TEIL	VISIBLE_NEW_COMPOSITION	sheedy	NO	MEDIUM_HIGH
sheedy	4	f77r|f88v	P	SH+EE+DY	HALTEN · LÄNGER · SCHLUSS	EXACT_REGISTERED_SURFACE	sheedy	NO	HIGH
sheeo	1	f71v	C	SH+EE+O	HALTEN · LÄNGER · AUSFÜHREN	VISIBLE_NEW_COMPOSITION	sheeol	NO	MEDIUM_HIGH
sheeol	2	f77r	P	SH+EE+OL	HALTEN · LÄNGER · FORTSETZEN	EXACT_REGISTERED_SURFACE	sheeol	NO	HIGH
sheeor	1	f71v	C	SH+EE+OR	HALTEN · LÄNGER · ANSATZ	VISIBLE_NEW_COMPOSITION	cheeor	NO	MEDIUM_HIGH
sheety	2	f77r	P	SH+EE+T+Y	HALTEN · LÄNGER · STELLEN · POSTEN	EXACT_REGISTERED_SURFACE	sheety	NO	HIGH
sheey	2	f77r	P	SH+EE+Y	HALTEN · LÄNGER · POSTEN	EXACT_REGISTERED_SURFACE	sheey	NO	HIGH
sheky	1	f71v	C	SH+E+K+Y	HALTEN · KURZ · GEBEN · POSTEN	EXACT_REGISTERED_SURFACE	sheky	NO	HIGH
sheo	3	f88v|f71v	C|P	SH+E+O	HALTEN · KURZ · AUSFÜHREN	EXACT_REGISTERED_SURFACE	sheo	NO	HIGH
sheody	1	f88v	P	SH+E+O+D_ADDR+Y	HALTEN · KURZ · AUSFÜHREN · TEIL · POSTEN	EXACT_REGISTERED_SURFACE	sheody	NO	HIGH
sheoky	1	f77r	P	SH+E+OK+Y	HALTEN · KURZ · SETZEN · POSTEN	EXACT_REGISTERED_SURFACE	sheoky	NO	HIGH
sheol	1	f88v	P	SH+E+OL	HALTEN · KURZ · FORTSETZEN	EXACT_REGISTERED_SURFACE	sheol	NO	HIGH
sheor	2	f88v	P	SH+E+OR	HALTEN · KURZ · ANSATZ	EXACT_REGISTERED_SURFACE	sheor	NO	HIGH
shepchol	1	f71v	C	SH+E+P+CH+OL	HALTEN · KURZ · EINSETZEN · NEHMEN · FORTSETZEN	VISIBLE_NEW_COMPOSITION	shepchy	NO	MEDIUM_HIGH
shey	1	f77r	P	SH+E+Y	HALTEN · KURZ · POSTEN	EXACT_REGISTERED_SURFACE	shey	NO	HIGH
shldy	1	f71v	C	SH+L+DY	HALTEN · LEITEN · SCHLUSS	VISIBLE_NEW_COMPOSITION	saldy	NO	MEDIUM_HIGH
shody	1	f77r	P	SH+O+DY	HALTEN · AUSFÜHREN · SCHLUSS	VISIBLE_NEW_COMPOSITION	chody	NO	MEDIUM_HIGH
shol	2	f17r|f77r	P	SH+OL	HALTEN · FORTSETZEN	EXACT_REGISTERED_SURFACE	shol	NO	HIGH
sholshdy	1	f71v	L	LOCAL_ADDRESS	BILDADRESSE	LOCAL_OWNER_ADDRESS	OWNER_COPY	YES	OWNER_BOUND
shopcho	1	f71v	C	SH+O+P+CH+O	HALTEN · AUSFÜHREN · EINSETZEN · NEHMEN · AUSFÜHREN	VISIBLE_NEW_COMPOSITION	shepchy	NO	MEDIUM_HIGH
shor	3	f17r|f77r|f88v	P	SH+OR	HALTEN · ANSATZ	EXACT_REGISTERED_SURFACE	shor	NO	HIGH
shoy	1	f88v	P	SH+O+Y	HALTEN · AUSFÜHREN · POSTEN	EXACT_REGISTERED_SURFACE	shoy	NO	HIGH
shy	1	f88v	P	Y	POSTEN	EXACT_REGISTERED_SURFACE	shy	NO	HIGH
sl	1	f77r	P	S+L	AUSWÄHLEN · LEITEN	EXACT_REGISTERED_SURFACE	sl	NO	HIGH
sodar	1	f77r	P	S+O+DA+R	AUSWÄHLEN · AUSFÜHREN · ZWEIT · MERKEN	EXACT_REGISTERED_SURFACE	sodar	NO	HIGH
sokcheey	1	f77r	P	S+OK+CH+EE+Y	AUSWÄHLEN · SETZEN · NEHMEN · LÄNGER · POSTEN	VISIBLE_NEW_COMPOSITION	qokcheey	NO	MEDIUM_HIGH
solchedy	1	f77r	P	S+OL+CHD+Y	AUSWÄHLEN · FORTSETZEN · UMSETZEN · POSTEN	EXACT_REGISTERED_SURFACE	solchedy	NO	HIGH
solkeey	1	f77r	P	SOLK+EE+Y	AUFFANGEN · LÄNGER · POSTEN	EXACT_REGISTERED_SURFACE	solkeey	NO	HIGH
solteedy	1	f77r	P	OL+T+EE+DY	FORTSETZEN · STELLEN · LÄNGER · SCHLUSS	VISIBLE_NEW_COMPOSITION	solkeedy	NO	MEDIUM_HIGH
som	1	f17r	P	S+O+M_LOCAL	AUSWÄHLEN · AUSFÜHREN · MITTE	VISIBLE_ROOT_COMPOSITION_RECONCILED	som	NO	MEDIUM_HIGH
soral	1	f77r	L	LOCAL_ADDRESS	BILDADRESSE	LOCAL_OWNER_ADDRESS	OWNER_COPY	YES	OWNER_BOUND
