root	selected_value_de	global_running_event_id	global_statement_id	physical_page	register	owner_de	surface	component_recipe	atom_position	previous_atom	next_atom	other_action_roots	argument_roots	other_relation_roots	has_order	has_grade	has_close	template	imperative_clause_de	cross_register_tier	cross_register_count	semantic_decision
L	VERBINDUNG	G407-E1139	G407-S060	f72r	CELESTIAL	Tierkreis-Ringgruppe A	chlol	L+OL	FIRST	BOUNDARY	OL	NONE	NONE	NONE	YES	NO	NO	INHERITED_RELATION	Weiter im laufenden Gang stelle den Positionsposten [wie zuvor] ein; über die Ringverbindung.	THREE_REGISTERS	3	KEEP_SELECTED_CORE
L	VERBINDUNG	G407-E1140	G407-S060	f72r	CELESTIAL	Tierkreis-Ringgruppe A	cheol	CH+E+O+L	LAST	O	BOUNDARY	CH	NONE	NONE	NO	YES	NO	GRADED_ACTION	Nimm den Positionsposten [wie zuvor] auf; über die Ringverbindung; auf Grad I und als Ausführung.	FOUR_REGISTERS	4	KEEP_SELECTED_CORE
L	VERBINDUNG	G407-E1158	G407-S063	f72r	CELESTIAL	Tierkreis-Ringgruppe A	okalshey	S+A_ADDR+L+SH+E+Y	MIDDLE	A_ADDR	SH	S|SH	Y	NONE	NO	YES	NO	MULTI_ACTION	Wähle den Positionsposten und halte den Positionsposten; über die Ringverbindung; auf Grad I; an der bezeichneten Stelle.	TWO_REGISTERS	2	KEEP_SELECTED_CORE
L	VERBINDUNG	G407-E1265	G407-S068	f72r	CELESTIAL	Tierkreis-Ringgruppe E	cheol	CH+E+O+L	LAST	O	BOUNDARY	CH	NONE	NONE	NO	YES	NO	GRADED_ACTION	Nimm den Positionsposten [wie zuvor] auf; über die Ringverbindung; auf Grad I und als Ausführung.	FOUR_REGISTERS	4	KEEP_SELECTED_CORE
L	VERBINDUNG	G407-E1359	G407-S077	f72r	CELESTIAL	Tierkreis-Ringgruppe H	l	L	ONLY	BOUNDARY	BOUNDARY	NONE	NONE	NONE	NO	NO	NO	INHERITED_RELATION	Im laufenden Gang nimm den Positionsposten [wie zuvor] auf; über die Ringverbindung.	THREE_REGISTERS	3	KEEP_SELECTED_CORE
P	EINSETZEN	G407-E1390	G407-S078	f72r	CELESTIAL	Tierkreis-Ringgruppe I	arary	P+AR+AR	FIRST	BOUNDARY	AR	NONE	NONE	AR|AR	NO	NO	NO	ACTION_RELATION	Setze den Positionsposten [wie zuvor] ein; von der Ausgangsposition [außen] und von der Ausgangsposition [innen].	REGISTER_LOCAL_EXACT_RECIPE	1	KEEP_SELECTED_CORE
P	EINSETZEN	G407-E1394	G407-S079	f72r	CELESTIAL	Tierkreis-Ringgruppe I	opcholalaiin	O+P+CH+OL+AL+AIIN	MIDDLE	O	CH	CH	AIIN	AL	YES	NO	NO	MULTI_ACTION	Weiter setze den Positionswert ein und nimm den Positionswert auf; zur Zielposition; als Ausführung.	REGISTER_LOCAL_EXACT_RECIPE	1	KEEP_SELECTED_CORE
P	EINSETZEN	G407-E1398	G407-S079	f72r	CELESTIAL	Tierkreis-Ringgruppe I	okaipchy	OK+A_ADDR+LOCAL_CHAR_I+P+CH+Y	MIDDLE	LOCAL_CHAR_I	CH	OK|CH	Y	NONE	NO	NO	NO	MULTI_ACTION	Setze den Positionsposten, setze den Positionsposten ein und nimm den Positionsposten auf; an der bezeichneten Stelle und mit der lokalen Variante.	REGISTER_LOCAL_EXACT_RECIPE	1	KEEP_SELECTED_CORE
L	VERBINDUNG	G407-E1420	G407-S081	f72r	CELESTIAL	Tierkreis-Ringgruppe J	octheolarl	O+CH+T+E+OL+AR+L	LAST	AR	BOUNDARY	CH|T	NONE	AR	YES	YES	NO	MULTI_ACTION	Weiter nimm den Positionswert [wie zuvor] auf und stelle den Positionswert [wie zuvor] ein; von der Ausgangsposition und über die Ringverbindung; als Ausführung und auf Grad I.	REGISTER_LOCAL_EXACT_RECIPE	1	KEEP_SELECTED_CORE
L	VERBINDUNG	G407-E1434	G407-S083	f75r	BIOLOGICAL	großes Bad-/Stationsblatt mit dreieckiger Insel	ly	L+Y	FIRST	BOUNDARY	Y	NONE	Y	NONE	NO	NO	NO	INHERITED_RELATION	Im laufenden Gang halte den Stationsposten; über die sichtbare Verbindung.	TWO_REGISTERS	2	KEEP_SELECTED_CORE
L	VERBINDUNG	G407-E1446	G407-S085	f75r	BIOLOGICAL	großes Bad-/Stationsblatt mit dreieckiger Insel	ltain	L+T+AIN	FIRST	BOUNDARY	T	T	AIN	NONE	NO	NO	NO	ACTION_ARGUMENT_RELATION	Stelle den Stationsanteil ein; über die sichtbare Verbindung.	REGISTER_LOCAL_EXACT_RECIPE	1	KEEP_SELECTED_CORE
L	VERBINDUNG	G407-E1450	G407-S085	f75r	BIOLOGICAL	großes Bad-/Stationsblatt mit dreieckiger Insel	lkamo	L+K+AM_ADDR+O	FIRST	BOUNDARY	K	K	NONE	NONE	NO	NO	NO	ACTION_RELATION	Führe den Stationsposten [wie zuvor] zu; über die sichtbare Verbindung; als Ausführung; an der bezeichneten Stelle.	REGISTER_LOCAL_EXACT_RECIPE	1	KEEP_SELECTED_CORE
L	VERBINDUNG	G407-E1452	G407-S085	f75r	BIOLOGICAL	großes Bad-/Stationsblatt mit dreieckiger Insel	lshey	L+SH+E+Y	FIRST	BOUNDARY	SH	SH	Y	NONE	NO	YES	NO	ACTION_ARGUMENT_RELATION	Halte den Stationsposten; über die sichtbare Verbindung; auf Grad I.	REGISTER_LOCAL_EXACT_RECIPE	1	KEEP_SELECTED_CORE
P	EINSETZEN	G407-E1469	G407-S087	f75r	BIOLOGICAL	großes Bad-/Stationsblatt mit dreieckiger Insel	pcheykeeor	P+Y+K+EE+OR	FIRST	BOUNDARY	Y	K	Y|OR	NONE	NO	YES	NO	MULTI_ACTION	Setze den Stationsposten und die Stationseinheit ein und führe den Stationsposten und die Stationseinheit zu; auf Grad II.	REGISTER_LOCAL_EXACT_RECIPE	1	KEEP_SELECTED_CORE
P	EINSETZEN	G407-E1477	G407-S088	f75r	BIOLOGICAL	großes Bad-/Stationsblatt mit dreieckiger Insel	pchedy	P+CHD+DY	FIRST	BOUNDARY	CHD	CHD	NONE	NONE	NO	NO	YES	MULTI_ACTION	Setze den Stationsposten [wie zuvor] ein und bearbeite den Stationsposten [wie zuvor]; schließe den Schritt.	REGISTER_LOCAL_EXACT_RECIPE	1	KEEP_SELECTED_CORE
L	VERBINDUNG	G407-E1483	G407-S090	f75r	BIOLOGICAL	großes Bad-/Stationsblatt mit dreieckiger Insel	lol	L+OL	FIRST	BOUNDARY	OL	NONE	NONE	NONE	YES	NO	NO	INHERITED_RELATION	Weiter im laufenden Gang setze den Stationsposten [wie zuvor] im Stationsgang an; über die sichtbare Verbindung.	THREE_REGISTERS	3	KEEP_SELECTED_CORE
L	VERBINDUNG	G407-E1492	G407-S091	f75r	BIOLOGICAL	großes Bad-/Stationsblatt mit dreieckiger Insel	lshedy	L+SH+E+DY	FIRST	BOUNDARY	SH	SH	NONE	NONE	NO	YES	YES	GRADED_ACTION	Halte den Stationsposten [wie zuvor]; über die sichtbare Verbindung; auf Grad I; schließe den Schritt.	REGISTER_LOCAL_EXACT_RECIPE	1	KEEP_SELECTED_CORE
L	VERBINDUNG	G407-E1496	G407-S094	f75r	BIOLOGICAL	großes Bad-/Stationsblatt mit dreieckiger Insel	lo	L+O	FIRST	BOUNDARY	O	NONE	NONE	NONE	NO	NO	NO	INHERITED_RELATION	Im laufenden Gang stelle den Stationsposten [wie zuvor] ein; über die sichtbare Verbindung; als Ausführung.	REGISTER_LOCAL_EXACT_RECIPE	1	KEEP_SELECTED_CORE
L	VERBINDUNG	G407-E1512	G407-S097	f75r	BIOLOGICAL	großes Bad-/Stationsblatt mit dreieckiger Insel	lchedy	L+CHD+DY	FIRST	BOUNDARY	CHD	CHD	NONE	NONE	NO	NO	YES	ACTION_RELATION	Bearbeite den Stationsposten [wie zuvor]; über die sichtbare Verbindung; schließe den Schritt.	REGISTER_LOCAL_EXACT_RECIPE	1	KEEP_SELECTED_CORE
P	EINSETZEN	G407-E1534	G407-S102	f75r	BIOLOGICAL	großes Bad-/Stationsblatt mit dreieckiger Insel	pchedy	P+CHD+DY	FIRST	BOUNDARY	CHD	CHD	NONE	NONE	NO	NO	YES	MULTI_ACTION	Setze den Stationsposten [wie zuvor] ein und bearbeite den Stationsposten [wie zuvor]; schließe den Schritt.	REGISTER_LOCAL_EXACT_RECIPE	1	KEEP_SELECTED_CORE
L	VERBINDUNG	G407-E1566	G407-S114	f75r	BIOLOGICAL	großes Bad-/Stationsblatt mit dreieckiger Insel	lch	L+CH	FIRST	BOUNDARY	CH	CH	NONE	NONE	NO	NO	NO	ACTION_RELATION	Entnimm den Stationsposten [wie zuvor]; über die sichtbare Verbindung.	REGISTER_LOCAL_EXACT_RECIPE	1	KEEP_SELECTED_CORE
P	EINSETZEN	G407-E1572	G407-S115	f75r	BIOLOGICAL	großes Bad-/Stationsblatt mit dreieckiger Insel	pchedar	P+CHD+AR	FIRST	BOUNDARY	CHD	CHD	NONE	AR	NO	NO	NO	MULTI_ACTION	Setze den Stationsposten [wie zuvor] ein und bearbeite den Stationsposten [wie zuvor]; von der Ausgangsstation.	REGISTER_LOCAL_EXACT_RECIPE	1	KEEP_SELECTED_CORE
P	EINSETZEN	G407-E1573	G407-S115	f75r	BIOLOGICAL	großes Bad-/Stationsblatt mit dreieckiger Insel	shepchy	SH+E+P+Y	MIDDLE	E	Y	SH	Y	NONE	NO	YES	NO	MULTI_ACTION	Halte den Stationsposten und setze den Stationsposten ein; auf Grad I.	REGISTER_LOCAL_EXACT_RECIPE	1	KEEP_SELECTED_CORE
L	VERBINDUNG	G407-E1574	G407-S115	f75r	BIOLOGICAL	großes Bad-/Stationsblatt mit dreieckiger Insel	lshedary	L+SH+E+D_ADDR+AR+Y	FIRST	BOUNDARY	SH	SH	Y	AR	NO	YES	NO	ACTION_ARGUMENT_RELATION	Halte den Stationsposten; über die sichtbare Verbindung und von der Ausgangsstation; auf Grad I; an der bezeichneten Stelle.	REGISTER_LOCAL_EXACT_RECIPE	1	KEEP_SELECTED_CORE
L	VERBINDUNG	G407-E1602	G407-S119	f75r	BIOLOGICAL	großes Bad-/Stationsblatt mit dreieckiger Insel	lchey	L+Y	FIRST	BOUNDARY	Y	NONE	Y	NONE	NO	NO	NO	INHERITED_RELATION	Im laufenden Gang halte den Stationsposten; über die sichtbare Verbindung.	TWO_REGISTERS	2	KEEP_SELECTED_CORE
L	VERBINDUNG	G407-E1603	G407-S119	f75r	BIOLOGICAL	großes Bad-/Stationsblatt mit dreieckiger Insel	lo	L+O	FIRST	BOUNDARY	O	NONE	NONE	NONE	NO	NO	NO	INHERITED_RELATION	Im laufenden Gang halte den Stationsposten [wie zuvor]; über die sichtbare Verbindung; als Ausführung.	REGISTER_LOCAL_EXACT_RECIPE	1	KEEP_SELECTED_CORE
L	VERBINDUNG	G407-E1613	G407-S119	f75r	BIOLOGICAL	großes Bad-/Stationsblatt mit dreieckiger Insel	lor	L+OR	FIRST	BOUNDARY	OR	NONE	OR	NONE	NO	NO	NO	INHERITED_RELATION	Im laufenden Gang halte die Stationseinheit; über die sichtbare Verbindung.	REGISTER_LOCAL_EXACT_RECIPE	1	KEEP_SELECTED_CORE
P	EINSETZEN	G407-E1624	G407-S119	f75r	BIOLOGICAL	großes Bad-/Stationsblatt mit dreieckiger Insel	pchey	P+Y	FIRST	BOUNDARY	Y	NONE	Y	NONE	NO	NO	NO	ACTION_ARGUMENT	Setze den Stationsposten ein.	REGISTER_LOCAL_EXACT_RECIPE	1	KEEP_SELECTED_CORE
L	VERBINDUNG	G407-E1636	G407-S119	f75r	BIOLOGICAL	großes Bad-/Stationsblatt mit dreieckiger Insel	lor	L+OR	FIRST	BOUNDARY	OR	NONE	OR	NONE	NO	NO	NO	INHERITED_RELATION	Im laufenden Gang stelle die Stationseinheit ein; über die sichtbare Verbindung.	REGISTER_LOCAL_EXACT_RECIPE	1	KEEP_SELECTED_CORE
L	VERBINDUNG	G407-E1644	G407-S121	f75r	BIOLOGICAL	großes Bad-/Stationsblatt mit dreieckiger Insel	lchedy	L+CHD+DY	FIRST	BOUNDARY	CHD	CHD	NONE	NONE	NO	NO	YES	ACTION_RELATION	Bearbeite den Stationsposten [wie zuvor]; über die sichtbare Verbindung; schließe den Schritt.	REGISTER_LOCAL_EXACT_RECIPE	1	KEEP_SELECTED_CORE
P	EINSETZEN	G407-E1654	G407-S122	f75r	BIOLOGICAL	großes Bad-/Stationsblatt mit dreieckiger Insel	pdalshor	P+D_ADDR+AL+SH+OR	FIRST	BOUNDARY	D_ADDR	SH	OR	AL	NO	NO	NO	MULTI_ACTION	Setze die Stationseinheit ein und halte die Stationseinheit; zur Zielstation; an der bezeichneten Stelle.	REGISTER_LOCAL_EXACT_RECIPE	1	KEEP_SELECTED_CORE
P	EINSETZEN	G407-E1657	G407-S122	f75r	BIOLOGICAL	großes Bad-/Stationsblatt mit dreieckiger Insel	pshar	P+SH+AR	FIRST	BOUNDARY	SH	SH	NONE	AR	NO	NO	NO	MULTI_ACTION	Setze den Stationsposten [wie zuvor] ein und halte den Stationsposten [wie zuvor]; von der Ausgangsstation.	REGISTER_LOCAL_EXACT_RECIPE	1	KEEP_SELECTED_CORE
P	EINSETZEN	G407-E1666	G407-S125	f75r	BIOLOGICAL	großes Bad-/Stationsblatt mit dreieckiger Insel	pchedy	P+CHD+DY	FIRST	BOUNDARY	CHD	CHD	NONE	NONE	NO	NO	YES	MULTI_ACTION	Setze den Stationsposten [wie zuvor] ein und bearbeite den Stationsposten [wie zuvor]; schließe den Schritt.	REGISTER_LOCAL_EXACT_RECIPE	1	KEEP_SELECTED_CORE
L	VERBINDUNG	G407-E1672	G407-S126	f75r	BIOLOGICAL	großes Bad-/Stationsblatt mit dreieckiger Insel	l	L	ONLY	BOUNDARY	BOUNDARY	NONE	NONE	NONE	NO	NO	NO	INHERITED_RELATION	Im laufenden Gang stelle den Stationsposten [wie zuvor] ein; über die sichtbare Verbindung.	THREE_REGISTERS	3	KEEP_SELECTED_CORE
L	VERBINDUNG	G407-E1675	G407-S128	f75r	BIOLOGICAL	großes Bad-/Stationsblatt mit dreieckiger Insel	lolchedy	L+OL+CHD+DY	FIRST	BOUNDARY	OL	CHD	NONE	NONE	YES	NO	YES	ORDERED_ACTION	Weiter bearbeite den Stationsposten [wie zuvor]; über die sichtbare Verbindung; schließe den Schritt.	REGISTER_LOCAL_EXACT_RECIPE	1	KEEP_SELECTED_CORE
L	VERBINDUNG	G407-E1679	G407-S129	f75r	BIOLOGICAL	großes Bad-/Stationsblatt mit dreieckiger Insel	lo	L+O	FIRST	BOUNDARY	O	NONE	NONE	NONE	NO	NO	NO	INHERITED_RELATION	Im laufenden Gang führe den Stationsposten [wie zuvor] zu; über die sichtbare Verbindung; als Ausführung.	REGISTER_LOCAL_EXACT_RECIPE	1	KEEP_SELECTED_CORE
L	VERBINDUNG	G407-E1680	G407-S129	f75r	BIOLOGICAL	großes Bad-/Stationsblatt mit dreieckiger Insel	lkaiin	L+K+AIIN	FIRST	BOUNDARY	K	K	AIIN	NONE	NO	NO	NO	ACTION_ARGUMENT_RELATION	Führe den Stationswert zu; über die sichtbare Verbindung.	REGISTER_LOCAL_EXACT_RECIPE	1	KEEP_SELECTED_CORE
P	EINSETZEN	G407-E1711	G407-S135	f75r	BIOLOGICAL	großes Bad-/Stationsblatt mit dreieckiger Insel	polshy	P+OL+SH+Y	FIRST	BOUNDARY	OL	SH	Y	NONE	YES	NO	NO	MULTI_ACTION	Weiter setze den Stationsposten ein und halte den Stationsposten.	REGISTER_LOCAL_EXACT_RECIPE	1	KEEP_SELECTED_CORE
L	VERBINDUNG	G407-E1720	G407-S139	f75r	BIOLOGICAL	großes Bad-/Stationsblatt mit dreieckiger Insel	ldy	L+DY	FIRST	BOUNDARY	DY	NONE	NONE	NONE	NO	NO	YES	INHERITED_RELATION	Im laufenden Gang halte den Stationsanteil [wie zuvor]; über die sichtbare Verbindung; schließe den Schritt.	TWO_REGISTERS	2	KEEP_SELECTED_CORE
L	VERBINDUNG	G407-E1722	G407-S140	f75r	BIOLOGICAL	großes Bad-/Stationsblatt mit dreieckiger Insel	l	L	ONLY	BOUNDARY	BOUNDARY	NONE	NONE	NONE	NO	NO	NO	INHERITED_RELATION	Im laufenden Gang setze den Stationsposten [wie zuvor] im Stationsgang an; über die sichtbare Verbindung.	THREE_REGISTERS	3	KEEP_SELECTED_CORE
L	VERBINDUNG	G407-E1725	G407-S141	f75r	BIOLOGICAL	großes Bad-/Stationsblatt mit dreieckiger Insel	l	L	ONLY	BOUNDARY	BOUNDARY	NONE	NONE	NONE	NO	NO	NO	INHERITED_RELATION	Im laufenden Gang halte den Stationsposten [wie zuvor]; über die sichtbare Verbindung.	THREE_REGISTERS	3	KEEP_SELECTED_CORE
L	VERBINDUNG	G407-E1729	G407-S142	f75r	BIOLOGICAL	großes Bad-/Stationsblatt mit dreieckiger Insel	ltedy	L+T+E+DY	FIRST	BOUNDARY	T	T	NONE	NONE	NO	YES	YES	GRADED_ACTION	Stelle den Stationsanteil [wie zuvor] ein; über die sichtbare Verbindung; auf Grad I; schließe den Schritt.	REGISTER_LOCAL_EXACT_RECIPE	1	KEEP_SELECTED_CORE
L	VERBINDUNG	G407-E1762	G407-S154	f75r	BIOLOGICAL	großes Bad-/Stationsblatt mit dreieckiger Insel	lol	L+OL	FIRST	BOUNDARY	OL	NONE	NONE	NONE	YES	NO	NO	INHERITED_RELATION	Weiter im laufenden Gang bearbeite den Stationsposten [wie zuvor]; über die sichtbare Verbindung.	THREE_REGISTERS	3	KEEP_SELECTED_CORE
L	VERBINDUNG	G407-E1768	G407-S159	f75r	BIOLOGICAL	großes Bad-/Stationsblatt mit dreieckiger Insel	ldy	L+DY	FIRST	BOUNDARY	DY	NONE	NONE	NONE	NO	NO	YES	INHERITED_RELATION	Im laufenden Gang setze den Stationsposten [wie zuvor] im Stationsgang an; über die sichtbare Verbindung; schließe den Schritt.	TWO_REGISTERS	2	KEEP_SELECTED_CORE
P	EINSETZEN	G407-E1833	G407-S193	f76r	BIOLOGICAL	unbebilderter Textabschnitt A0	potchokor	P+OT+CH+OK+OR	FIRST	BOUNDARY	OT	CH|OK	OR	NONE	YES	NO	NO	MULTI_ACTION	Danach setze die Stationseinheit ein, entnimm die Stationseinheit und setze die Stationseinheit im Stationsgang an.	REGISTER_LOCAL_EXACT_RECIPE	1	KEEP_SELECTED_CORE
P	EINSETZEN	G407-E1835	G407-S193	f76r	BIOLOGICAL	unbebilderter Textabschnitt A0	opshdy	O+P+SH+D_ADDR+Y	MIDDLE	O	SH	SH	Y	NONE	NO	NO	NO	MULTI_ACTION	Setze den Stationsposten ein und halte den Stationsposten; als Ausführung; an der bezeichneten Stelle.	REGISTER_LOCAL_EXACT_RECIPE	1	KEEP_SELECTED_CORE
P	EINSETZEN	G407-E1836	G407-S193	f76r	BIOLOGICAL	unbebilderter Textabschnitt A0	qolp	OL+P	LAST	OL	BOUNDARY	NONE	NONE	NONE	YES	NO	NO	ORDERED_ACTION	Weiter setze den Stationsposten [wie zuvor] ein.	REGISTER_LOCAL_EXACT_RECIPE	1	KEEP_SELECTED_CORE
P	EINSETZEN	G407-E1837	G407-S193	f76r	BIOLOGICAL	unbebilderter Textabschnitt A0	chcphy	CH+CH+P+Y	MIDDLE	CH	Y	CH|CH	Y	NONE	NO	NO	NO	MULTI_ACTION	Entnimm den Stationsposten, entnimm den Stationsposten und setze den Stationsposten ein.	TWO_REGISTERS	2	KEEP_SELECTED_CORE
P	EINSETZEN	G407-E1838	G407-S193	f76r	BIOLOGICAL	unbebilderter Textabschnitt A0	chcphdy	CH+CH+P+Y	MIDDLE	CH	Y	CH|CH	Y	NONE	NO	NO	NO	MULTI_ACTION	Entnimm den Stationsposten, entnimm den Stationsposten und setze den Stationsposten ein.	TWO_REGISTERS	2	KEEP_SELECTED_CORE
P	EINSETZEN	G407-E1839	G407-S193	f76r	BIOLOGICAL	unbebilderter Textabschnitt A0	opshey	O+P+SH+E+Y	MIDDLE	O	SH	SH	Y	NONE	NO	YES	NO	MULTI_ACTION	Setze den Stationsposten ein und halte den Stationsposten; als Ausführung und auf Grad I.	REGISTER_LOCAL_EXACT_RECIPE	1	KEEP_SELECTED_CORE
P	EINSETZEN	G407-E1840	G407-S193	f76r	BIOLOGICAL	unbebilderter Textabschnitt A0	qofshy	CARRIER_Q+O+P+SH+D_ADDR+Y	MIDDLE	O	SH	SH	Y	NONE	NO	NO	NO	MULTI_ACTION	Setze den Stationsposten ein und halte den Stationsposten; als neuen Einsatz und als Ausführung; an der bezeichneten Stelle.	REGISTER_LOCAL_EXACT_RECIPE	1	KEEP_SELECTED_CORE
P	EINSETZEN	G407-E1841	G407-S193	f76r	BIOLOGICAL	unbebilderter Textabschnitt A0	opchdy	O+P+CHD+Y	MIDDLE	O	CHD	CHD	Y	NONE	NO	NO	NO	MULTI_ACTION	Setze den Stationsposten ein und bearbeite den Stationsposten; als Ausführung.	REGISTER_LOCAL_EXACT_RECIPE	1	KEEP_SELECTED_CORE
P	EINSETZEN	G407-E1848	G407-S194	f76r	BIOLOGICAL	unbebilderter Textabschnitt A0	chep	CH+E+P	LAST	E	BOUNDARY	CH	NONE	NONE	NO	YES	NO	MULTI_ACTION	Entnimm den Stationsposten [wie zuvor] und setze den Stationsposten [wie zuvor] ein; auf Grad I.	REGISTER_LOCAL_EXACT_RECIPE	1	KEEP_SELECTED_CORE
L	VERBINDUNG	G407-E1878	G407-S201	f76r	BIOLOGICAL	unbebilderter Textabschnitt A1	lkedy	L+K+E+DY	FIRST	BOUNDARY	K	K	NONE	NONE	NO	YES	YES	GRADED_ACTION	Führe den Stationsposten [wie zuvor] zu; über die sichtbare Verbindung; auf Grad I; schließe den Schritt.	REGISTER_LOCAL_EXACT_RECIPE	1	KEEP_SELECTED_CORE
P	EINSETZEN	G407-E1885	G407-S204	f76r	BIOLOGICAL	unbebilderter Textabschnitt A1	qopchedy	CARRIER_Q+O+P+CHD+Y	MIDDLE	O	CHD	CHD	Y	NONE	NO	NO	NO	MULTI_ACTION	Setze den Stationsposten ein und bearbeite den Stationsposten; als neuen Einsatz und als Ausführung.	REGISTER_LOCAL_EXACT_RECIPE	1	KEEP_SELECTED_CORE
L	VERBINDUNG	G407-E1903	G407-S208	f76r	BIOLOGICAL	unbebilderter Textabschnitt A2	lkeedy	L+K+EE+D_ADDR+Y	FIRST	BOUNDARY	K	K	Y	NONE	NO	YES	NO	ACTION_ARGUMENT_RELATION	Führe den Stationsposten zu; über die sichtbare Verbindung; auf Grad II; an der bezeichneten Stelle.	REGISTER_LOCAL_EXACT_RECIPE	1	KEEP_SELECTED_CORE
P	EINSETZEN	G407-E1914	G407-S210	f76r	BIOLOGICAL	unbebilderter Textabschnitt A2	chcphedy	CH+CH+P+E+DY	MIDDLE	CH	E	CH|CH	NONE	NONE	NO	YES	YES	MULTI_ACTION	Entnimm den Stationsanteil [wie zuvor], entnimm den Stationsanteil [wie zuvor] und setze den Stationsanteil [wie zuvor] ein; auf Grad I; schließe den Schritt.	REGISTER_LOCAL_EXACT_RECIPE	1	KEEP_SELECTED_CORE
L	VERBINDUNG	G407-E1917	G407-S211	f76r	BIOLOGICAL	unbebilderter Textabschnitt A2	lkar	L+K+AR	FIRST	BOUNDARY	K	K	NONE	AR	NO	NO	NO	ACTION_RELATION	Führe den Stationsposten [wie zuvor] zu; über die sichtbare Verbindung und von der Ausgangsstation.	REGISTER_LOCAL_EXACT_RECIPE	1	KEEP_SELECTED_CORE
L	VERBINDUNG	G407-E1920	G407-S211	f76r	BIOLOGICAL	unbebilderter Textabschnitt A2	lkain	L+K+AIN	FIRST	BOUNDARY	K	K	AIN	NONE	NO	NO	NO	ACTION_ARGUMENT_RELATION	Führe den Stationsanteil zu; über die sichtbare Verbindung.	REGISTER_LOCAL_EXACT_RECIPE	1	KEEP_SELECTED_CORE
L	VERBINDUNG	G407-E1972	G407-S221	f76r	BIOLOGICAL	unbebilderter Textabschnitt A4	lchedy	L+CHD+DY	FIRST	BOUNDARY	CHD	CHD	NONE	NONE	NO	NO	YES	ACTION_RELATION	Bearbeite den Stationsposten [wie zuvor]; über die sichtbare Verbindung; schließe den Schritt.	REGISTER_LOCAL_EXACT_RECIPE	1	KEEP_SELECTED_CORE
L	VERBINDUNG	G407-E1992	G407-S224	f76r	BIOLOGICAL	unbebilderter Textabschnitt A4	lkain	L+K+AIN	FIRST	BOUNDARY	K	K	AIN	NONE	NO	NO	NO	ACTION_ARGUMENT_RELATION	Führe den Stationsanteil zu; über die sichtbare Verbindung.	REGISTER_LOCAL_EXACT_RECIPE	1	KEEP_SELECTED_CORE
L	VERBINDUNG	G407-E2007	G407-S230	f76r	BIOLOGICAL	unbebilderter Textabschnitt A5	lshedy	L+SH+E+DY	FIRST	BOUNDARY	SH	SH	NONE	NONE	NO	YES	YES	GRADED_ACTION	Halte den Stationsposten [wie zuvor]; über die sichtbare Verbindung; auf Grad I; schließe den Schritt.	REGISTER_LOCAL_EXACT_RECIPE	1	KEEP_SELECTED_CORE
L	VERBINDUNG	G407-E2009	G407-S232	f76r	BIOLOGICAL	unbebilderter Textabschnitt A5	otedyl	OT+E+DY+L	LAST	DY	BOUNDARY	NONE	NONE	NONE	YES	YES	YES	INHERITED_RELATION	Danach im laufenden Gang bearbeite den Stationsposten [wie zuvor]; über die sichtbare Verbindung; auf Grad I; schließe den Schritt.	REGISTER_LOCAL_EXACT_RECIPE	1	KEEP_SELECTED_CORE
L	VERBINDUNG	G407-E2013	G407-S234	f76r	BIOLOGICAL	unbebilderter Textabschnitt A5	lchedy	L+CHD+DY	FIRST	BOUNDARY	CHD	CHD	NONE	NONE	NO	NO	YES	ACTION_RELATION	Bearbeite den Stationsposten [wie zuvor]; über die sichtbare Verbindung; schließe den Schritt.	REGISTER_LOCAL_EXACT_RECIPE	1	KEEP_SELECTED_CORE
L	VERBINDUNG	G407-E2019	G407-S235	f76r	BIOLOGICAL	unbebilderter Textabschnitt A5	lchar	L+AR	FIRST	BOUNDARY	AR	NONE	NONE	AR	NO	NO	NO	INHERITED_RELATION	Im laufenden Gang führe den Stationsposten [wie zuvor] zu; über die sichtbare Verbindung und von der Ausgangsstation.	REGISTER_LOCAL_EXACT_RECIPE	1	KEEP_SELECTED_CORE
L	VERBINDUNG	G407-E2024	G407-S237	f76r	BIOLOGICAL	unbebilderter Textabschnitt A5	lchedy	L+CHD+DY	FIRST	BOUNDARY	CHD	CHD	NONE	NONE	NO	NO	YES	ACTION_RELATION	Bearbeite den Stationsposten [wie zuvor]; über die sichtbare Verbindung; schließe den Schritt.	REGISTER_LOCAL_EXACT_RECIPE	1	KEEP_SELECTED_CORE
L	VERBINDUNG	G407-E2041	G407-S243	f76r	BIOLOGICAL	unbebilderter Textabschnitt A6	l	L	ONLY	BOUNDARY	BOUNDARY	NONE	NONE	NONE	NO	NO	NO	INHERITED_RELATION	Im laufenden Gang entnimm den Stationsposten [wie zuvor]; über die sichtbare Verbindung.	THREE_REGISTERS	3	KEEP_SELECTED_CORE
P	EINSETZEN	G407-E2051	G407-S246	f76r	BIOLOGICAL	unbebilderter Textabschnitt A6	chepy	CH+E+P+Y	MIDDLE	E	Y	CH	Y	NONE	NO	YES	NO	MULTI_ACTION	Entnimm den Stationsposten und setze den Stationsposten ein; auf Grad I.	TWO_REGISTERS	2	KEEP_SELECTED_CORE
