unit_order	page	unit_id	unit_kind	owner_or_namespace	group_count	surface_sequence	atom_sequence	short_workshop_reading_de	fully_spoken_reading_de	memory_or_orientation_rule	local_boundary
30	f81v	B1-S011	PROSE_STATEMENT	dem gemeinsamen zweireihigen Becken	2	chckhy qoky	CKH+Y | OK+Y	[[LOKALER BESITZER: gemeinsames zweireihiges Figuren-/Beckenfeld]] Durch die verbundenen Läufe. Die Badecharge am vorgesehenen Waschplatz gebrauchen.	Der Text gehört zu dem gemeinsamen zweireihigen Becken; der laufende Gegenstand ist Arbeitsposten B1-3; die geltende Zieladresse ist Zielstelle B1-9; ‚das Vorige‘ bezeichnet Vorposten B1-2. [[LOKALER BESITZER: gemeinsames zweireihiges Figuren-/Beckenfeld]] Durch die verbundenen Läufe. Die Badecharge am vorgesehenen Waschplatz gebrauchen.	OWNER|ACTIVE|TARGET|PREVIOUS	OWNER_AND_EXEMPLAR_SUPPLY_CONCRETE_NOUNS
31	f81v	B1-S012	PROSE_STATEMENT	dem gemeinsamen zweireihigen Becken	3	lsho qokey lshedy	WASH+START | OK+E+Y | WASH+CLOSE	[[LOKALER BESITZER: gemeinsames zweireihiges Figuren-/Beckenfeld]] Beginne die Spülung. Warmes Wasser. Wasche einmal und beende diesen Durchgang.	Der Text gehört zu dem gemeinsamen zweireihigen Becken; der laufende Gegenstand ist Arbeitsposten B1-3; die geltende Zieladresse ist Zielstelle B1-10; ‚das Vorige‘ bezeichnet Vorposten B1-2. [[LOKALER BESITZER: gemeinsames zweireihiges Figuren-/Beckenfeld]] Beginne die Spülung. Warmes Wasser. Wasche einmal und beende diesen Durchgang.	OWNER|ACTIVE|TARGET|PREVIOUS	OWNER_AND_EXEMPLAR_SUPPLY_CONCRETE_NOUNS
32	f81v	B1-S013	PROSE_STATEMENT	dem gemeinsamen zweireihigen Becken	1	lshedy	WASH+CLOSE	[[LOKALER BESITZER: gemeinsames zweireihiges Figuren-/Beckenfeld]] Wasche einmal und beende diesen Durchgang.	Der Text gehört zu dem gemeinsamen zweireihigen Becken; der laufende Gegenstand ist Arbeitsposten B1-4; ‚das Vorige‘ bezeichnet Vorposten B1-3. [[LOKALER BESITZER: gemeinsames zweireihiges Figuren-/Beckenfeld]] Wasche einmal und beende diesen Durchgang.	OWNER|ACTIVE|PREVIOUS	OWNER_AND_EXEMPLAR_SUPPLY_CONCRETE_NOUNS
33	f81v	B1-S014	PROSE_STATEMENT	dem gemeinsamen zweireihigen Becken	5	chedy qolky lchedal qol otar	CHD+Y | OL | L+CHD+AL | OL | OT+AR	[[LOKALER BESITZER: gemeinsames zweireihiges Figuren-/Beckenfeld]] Rühre, bis alles gleichmäßig vermischt ist. Die betroffene Stelle. Das untere Becken. Den recordlokalen aktiven Posten im Arbeitsgang fortführen. Benutze danach den unteren Ablauf.	Der Text gehört zu dem gemeinsamen zweireihigen Becken; der laufende Gegenstand ist Arbeitsposten B1-4; die geltende Zieladresse ist Zielstelle B1-13; ‚das Vorige‘ bezeichnet Vorposten B1-3. [[LOKALER BESITZER: gemeinsames zweireihiges Figuren-/Beckenfeld]] Rühre, bis alles gleichmäßig vermischt ist. Die betroffene Stelle. Das untere Becken. Den recordlokalen aktiven Posten im Arbeitsgang fortführen. Benutze danach den unteren Ablauf.	OWNER|ACTIVE|TARGET|PREVIOUS	OWNER_AND_EXEMPLAR_SUPPLY_CONCRETE_NOUNS
34	f81v	B1-S015	PROSE_STATEMENT	dem gemeinsamen zweireihigen Becken	2	ytey okchedy	Y+E+TY | OK+CHD+CLOSE	[[LOKALER BESITZER: gemeinsames zweireihiges Figuren-/Beckenfeld]] Fülle danach das Gefäß. Lasse es abkühlen und beende den Schritt.	Der Text gehört zu dem gemeinsamen zweireihigen Becken; der laufende Gegenstand ist Arbeitsposten B1-4; die geltende Zieladresse ist Zielstelle B1-13; ‚das Vorige‘ bezeichnet Vorposten B1-3. [[LOKALER BESITZER: gemeinsames zweireihiges Figuren-/Beckenfeld]] Fülle danach das Gefäß. Lasse es abkühlen und beende den Schritt.	OWNER|ACTIVE|TARGET|PREVIOUS	OWNER_AND_EXEMPLAR_SUPPLY_CONCRETE_NOUNS
35	f81v	B1-S016	PROSE_STATEMENT	dem gemeinsamen zweireihigen Becken	4	qokal okeey qol cheedy	OK+AL | OK+EE+Y | OL | SHED+E+CLOSE	[[LOKALER BESITZER: gemeinsames zweireihiges Figuren-/Beckenfeld]] Den aktiven Posten an der örtlich bezeichneten Station führen. Die Charge für den vorgesehenen Gebrauch temperieren. Den recordlokalen aktiven Posten im Arbeitsgang fortführen. Lasse es bis zur Bereitschaft stehen und beende den Schritt.	Der Text gehört zu dem gemeinsamen zweireihigen Becken; der laufende Gegenstand ist Arbeitsposten B1-5; ‚das Vorige‘ bezeichnet Vorposten B1-4. [[LOKALER BESITZER: gemeinsames zweireihiges Figuren-/Beckenfeld]] Den aktiven Posten an der örtlich bezeichneten Station führen. Die Charge für den vorgesehenen Gebrauch temperieren. Den recordlokalen aktiven Posten im Arbeitsgang fortführen. Lasse es bis zur Bereitschaft stehen und beende den Schritt.	OWNER|ACTIVE|PREVIOUS	OWNER_AND_EXEMPLAR_SUPPLY_CONCRETE_NOUNS
36	f81v	B1-S017	PROSE_STATEMENT	dem gemeinsamen zweireihigen Becken	3	sal teol dchdy	AL | E+OL | CHD+CLOSE	[[LOKALER BESITZER: gemeinsames zweireihiges Figuren-/Beckenfeld]] Den aktiven Posten an der örtlich bezeichneten Station führen. Die erste Öffnung. Seihe es klar und beende den Schritt.	Der Text gehört zu dem gemeinsamen zweireihigen Becken; der laufende Gegenstand ist Arbeitsposten B1-5; die geltende Zieladresse ist Zielstelle B1-15; ‚das Vorige‘ bezeichnet Vorposten B1-4. [[LOKALER BESITZER: gemeinsames zweireihiges Figuren-/Beckenfeld]] Den aktiven Posten an der örtlich bezeichneten Station führen. Die erste Öffnung. Seihe es klar und beende den Schritt.	OWNER|ACTIVE|TARGET|PREVIOUS	OWNER_AND_EXEMPLAR_SUPPLY_CONCRETE_NOUNS
37	f81v	B1-S018	PROSE_STATEMENT	dem gemeinsamen zweireihigen Becken	4	ly dsheol oiiin olkeedy	L+Y | SH+E+OL | IIN | SOLK+EE+CLOSE	[[LOKALER BESITZER: gemeinsames zweireihiges Figuren-/Beckenfeld]] Fülle danach das Gefäß. Wende es an der markierten Stelle an. Bis es klar ist. Lasse die Flüssigkeit sich setzen und beende den Schritt.	Der Text gehört zu dem gemeinsamen zweireihigen Becken; der laufende Gegenstand ist Arbeitsposten B1-5; die geltende Zieladresse ist Zielstelle B1-15; ‚das Vorige‘ bezeichnet Vorposten B1-4. [[LOKALER BESITZER: gemeinsames zweireihiges Figuren-/Beckenfeld]] Fülle danach das Gefäß. Wende es an der markierten Stelle an. Bis es klar ist. Lasse die Flüssigkeit sich setzen und beende den Schritt.	OWNER|ACTIVE|TARGET|PREVIOUS	OWNER_AND_EXEMPLAR_SUPPLY_CONCRETE_NOUNS
38	f81v	B1-S019	PROSE_STATEMENT	dem gemeinsamen zweireihigen Becken	1	tedy	SHED+E+CLOSE	[[LOKALER BESITZER: gemeinsames zweireihiges Figuren-/Beckenfeld]] Lasse es bis zur Bereitschaft stehen und beende den Schritt.	Der Text gehört zu dem gemeinsamen zweireihigen Becken; der laufende Gegenstand ist Arbeitsposten B1-5; die geltende Zieladresse ist Zielstelle B1-16; ‚das Vorige‘ bezeichnet Vorposten B1-4. [[LOKALER BESITZER: gemeinsames zweireihiges Figuren-/Beckenfeld]] Lasse es bis zur Bereitschaft stehen und beende den Schritt.	OWNER|ACTIVE|TARGET|PREVIOUS	OWNER_AND_EXEMPLAR_SUPPLY_CONCRETE_NOUNS
39	f81v	B1-S020	PROSE_STATEMENT	dem gemeinsamen zweireihigen Becken	2	cheky shckhedy	CHK+E+Y | CKHE+CLOSE	[[LOKALER BESITZER: gemeinsames zweireihiges Figuren-/Beckenfeld]] Bei sanfter Wärme. Seihe es einmal durch ein Tuch und beende den Schritt.	Der Text gehört zu dem gemeinsamen zweireihigen Becken; der laufende Gegenstand ist Arbeitsposten B1-5; die geltende Zieladresse ist Zielstelle B1-16; ‚das Vorige‘ bezeichnet Vorposten B1-4. [[LOKALER BESITZER: gemeinsames zweireihiges Figuren-/Beckenfeld]] Bei sanfter Wärme. Seihe es einmal durch ein Tuch und beende den Schritt.	OWNER|ACTIVE|TARGET|PREVIOUS	OWNER_AND_EXEMPLAR_SUPPLY_CONCRETE_NOUNS
40	f81v	B1-S021	PROSE_STATEMENT	dem gemeinsamen zweireihigen Becken	1	chal	AL	[[LOKALER BESITZER: gemeinsames zweireihiges Figuren-/Beckenfeld]] Den aktiven Posten an der örtlich bezeichneten Station führen.	Der Text gehört zu dem gemeinsamen zweireihigen Becken; der laufende Gegenstand ist Arbeitsposten B1-5; die geltende Zieladresse ist Zielstelle B1-17; ‚das Vorige‘ bezeichnet Vorposten B1-4. [[LOKALER BESITZER: gemeinsames zweireihiges Figuren-/Beckenfeld]] Den aktiven Posten an der örtlich bezeichneten Station führen.	OWNER|ACTIVE|TARGET|PREVIOUS	OWNER_AND_EXEMPLAR_SUPPLY_CONCRETE_NOUNS
41	f82r	B2-S001	PROSE_STATEMENT	den oberen Paarbecken mit Zylinder	1	dchedy	CHD+CLOSE	[[LOKALER BESITZER: obere Paarbecken-/Zylinderstation]] Spüle das benutzte Gefäß oder den Lauf einmal aus und beende den Schritt.	Der Text gehört zu den oberen Paarbecken mit Zylinder; der laufende Gegenstand ist Arbeitsposten B2-1; die geltende Zieladresse ist Zielstelle B2-1. [[LOKALER BESITZER: obere Paarbecken-/Zylinderstation]] Spüle das benutzte Gefäß oder den Lauf einmal aus und beende den Schritt.	OWNER|ACTIVE|TARGET	OWNER_AND_EXEMPLAR_SUPPLY_CONCRETE_NOUNS
42	f82r	B2-S002	PROSE_STATEMENT	den oberen Paarbecken mit Zylinder	1	qolchedy	OL+CHD+CLOSE	[[LOKALER BESITZER: obere Paarbecken-/Zylinderstation]] Stelle die Mischung im bedeckten Auffanggefäß beiseite und beende den Schritt.	Der Text gehört zu den oberen Paarbecken mit Zylinder; der laufende Gegenstand ist Arbeitsposten B2-1; die geltende Zieladresse ist Zielstelle B2-1. [[LOKALER BESITZER: obere Paarbecken-/Zylinderstation]] Stelle die Mischung im bedeckten Auffanggefäß beiseite und beende den Schritt.	OWNER|ACTIVE|TARGET	OWNER_AND_EXEMPLAR_SUPPLY_CONCRETE_NOUNS
43	f82r	B2-S003	PROSE_STATEMENT	den oberen Paarbecken mit Zylinder	3	qokain dy qokeedy	OK+AIN | Y | OK+EE+CLOSE	[[LOKALER BESITZER: obere Paarbecken-/Zylinderstation]] Gib einen abgemessenen Anteil in das Gefäß. Diese aktive Portion. Lasse die Badende im temperierten Teilbad sitzen und beende den Schritt.	Der Text gehört zu den oberen Paarbecken mit Zylinder; der laufende Gegenstand ist Arbeitsposten B2-1; die geltende Zieladresse ist Zielstelle B2-2. [[LOKALER BESITZER: obere Paarbecken-/Zylinderstation]] Gib einen abgemessenen Anteil in das Gefäß. Diese aktive Portion. Lasse die Badende im temperierten Teilbad sitzen und beende den Schritt.	OWNER|ACTIVE|TARGET	OWNER_AND_EXEMPLAR_SUPPLY_CONCRETE_NOUNS
44	f82r	B2-S004	PROSE_STATEMENT	den oberen Paarbecken mit Zylinder	5	qokal lcheckhy lched qokeey lcheckhedy	OK+AL | L+CKH+Y | L+CHD | OK+EE+Y | L+CKHE+CLOSE	[[LOKALER BESITZER: obere Paarbecken-/Zylinderstation]] Den aktiven Posten an der örtlich bezeichneten Station führen. Die zweite Öffnung. Und gehe zum nächsten Becken weiter. Die Charge für den vorgesehenen Gebrauch temperieren. Seihe es klar und beende den Schritt.	Der Text gehört zu den oberen Paarbecken mit Zylinder; der laufende Gegenstand ist Arbeitsposten B2-1; die geltende Zieladresse ist Zielstelle B2-2; ‚das Vorige‘ bezeichnet Vorposten B2-2. [[LOKALER BESITZER: obere Paarbecken-/Zylinderstation]] Den aktiven Posten an der örtlich bezeichneten Station führen. Die zweite Öffnung. Und gehe zum nächsten Becken weiter. Die Charge für den vorgesehenen Gebrauch temperieren. Seihe es klar und beende den Schritt.	OWNER|ACTIVE|TARGET|PREVIOUS	OWNER_AND_EXEMPLAR_SUPPLY_CONCRETE_NOUNS
45	f82r	B2-S005	PROSE_STATEMENT	den oberen Paarbecken mit Zylinder	8	qokaly solkaiin chckhy qokaiin qokaiin octheol chkeey ldy	OK+AL+Y | SOLK+AIIN | CKH+Y | OK+AIIN | OK+AIIN | CTH+OL | CHK+EE+Y | L+CLOSE	[[LOKALER BESITZER: obere Paarbecken-/Zylinderstation]] Fahre am zweiten Lauf fort. Durch ein Tuch. Durch die verbundenen Läufe. Den aktiven Posten nach der örtlichen Vorschrift bemessen. Den aktiven Posten nach der örtlichen Vorschrift bemessen. Unter derselben Einstellung. Das breite Gefäß. Ziehe es ab und beende den Schritt.	Der Text gehört zu den oberen Paarbecken mit Zylinder; der laufende Gegenstand ist Arbeitsposten B2-1; die geltende Zieladresse ist Zielstelle B2-3; ‚das Vorige‘ bezeichnet Vorposten B2-2. [[LOKALER BESITZER: obere Paarbecken-/Zylinderstation]] Fahre am zweiten Lauf fort. Durch ein Tuch. Durch die verbundenen Läufe. Den aktiven Posten nach der örtlichen Vorschrift bemessen. Den aktiven Posten nach der örtlichen Vorschrift bemessen. Unter derselben Einstellung. Das breite Gefäß. Ziehe es ab und beende den Schritt.	OWNER|ACTIVE|TARGET|PREVIOUS	OWNER_AND_EXEMPLAR_SUPPLY_CONCRETE_NOUNS
46	f82r	B2-S006	PROSE_STATEMENT	den oberen Paarbecken mit Zylinder	4	oteey qokal sheckhy qoky	OT+EE+Y | OK+AL | CKH+E+Y | OK+Y	[[LOKALER BESITZER: obere Paarbecken-/Zylinderstation]] Der vorbereitete Bade- oder Waschzusatz. Den aktiven Posten an der örtlich bezeichneten Station führen. Über der örtlich bezeichneten Stelle. Die Badeflüssigkeit am bezeichneten Körper- oder Teilbadbereich gebrauchen.	Der Text gehört zu den oberen Paarbecken mit Zylinder; der laufende Gegenstand ist Arbeitsposten B2-1; die geltende Zieladresse ist Zielstelle B2-6; ‚das Vorige‘ bezeichnet Vorposten B2-2. [[LOKALER BESITZER: obere Paarbecken-/Zylinderstation]] Der vorbereitete Bade- oder Waschzusatz. Den aktiven Posten an der örtlich bezeichneten Station führen. Über der örtlich bezeichneten Stelle. Die Badeflüssigkeit am bezeichneten Körper- oder Teilbadbereich gebrauchen.	OWNER|ACTIVE|TARGET|PREVIOUS	OWNER_AND_EXEMPLAR_SUPPLY_CONCRETE_NOUNS
47	f82r	B2-S007	PROSE_STATEMENT	der mittleren linken Vorrichtung mit Zwischenknoten	1	dshedy	SHED+E+CLOSE	[[LOKALER BESITZER: mittlere linke Geräte-/Inline-Knotenstation]] Gib sauberes Wasser hinzu und beende den Schritt.	Der Text gehört zu der mittleren linken Vorrichtung mit Zwischenknoten; der laufende Gegenstand ist Arbeitsposten B2-1; die geltende Zieladresse ist Zielstelle B2-7; ‚das Vorige‘ bezeichnet Vorposten B2-2. [[LOKALER BESITZER: mittlere linke Geräte-/Inline-Knotenstation]] Gib sauberes Wasser hinzu und beende den Schritt.	OWNER|ACTIVE|TARGET|PREVIOUS	OWNER_AND_EXEMPLAR_SUPPLY_CONCRETE_NOUNS
48	f82r	B2-S008	PROSE_STATEMENT	der mittleren linken Vorrichtung mit Zwischenknoten	3	sotaiin qokar shedy	OT+AIIN | OK+AR | SHED+E+CLOSE	[[LOKALER BESITZER: mittlere linke Geräte-/Inline-Knotenstation]] Für dieselbe Dauer wie zuvor. Über der örtlich bezeichneten Stelle. Lasse es bis zur Bereitschaft stehen und beende den Schritt.	Der Text gehört zu der mittleren linken Vorrichtung mit Zwischenknoten; der laufende Gegenstand ist Arbeitsposten B2-3; die geltende Zieladresse ist Zielstelle B2-8; ‚das Vorige‘ bezeichnet Vorposten B2-1. [[LOKALER BESITZER: mittlere linke Geräte-/Inline-Knotenstation]] Für dieselbe Dauer wie zuvor. Über der örtlich bezeichneten Stelle. Lasse es bis zur Bereitschaft stehen und beende den Schritt.	OWNER|ACTIVE|TARGET|PREVIOUS	OWNER_AND_EXEMPLAR_SUPPLY_CONCRETE_NOUNS
49	f82r	B2-S009	PROSE_STATEMENT	der mittleren linken Vorrichtung mit Zwischenknoten	1	solshedy	OL+SHED+CLOSE	[[LOKALER BESITZER: mittlere linke Geräte-/Inline-Knotenstation]] Halte es warm und beende den Schritt.	Der Text gehört zu der mittleren linken Vorrichtung mit Zwischenknoten; der laufende Gegenstand ist Arbeitsposten B2-3; die geltende Zieladresse ist Zielstelle B2-8; ‚das Vorige‘ bezeichnet Vorposten B2-1. [[LOKALER BESITZER: mittlere linke Geräte-/Inline-Knotenstation]] Halte es warm und beende den Schritt.	OWNER|ACTIVE|TARGET|PREVIOUS	OWNER_AND_EXEMPLAR_SUPPLY_CONCRETE_NOUNS
50	f82r	B2-S010	PROSE_STATEMENT	der mittleren linken Vorrichtung mit Zwischenknoten	4	qokeey qoky ls cheey	OK+EE+Y | OK+Y | L | CHEEY	[[LOKALER BESITZER: mittlere linke Geräte-/Inline-Knotenstation]] Die Charge für den vorgesehenen Gebrauch temperieren. Die Badeflüssigkeit am bezeichneten Körper- oder Teilbadbereich gebrauchen. Die erste Öffnung. Den örtlichen Prüfzustand der Charge feststellen.	Der Text gehört zu der mittleren linken Vorrichtung mit Zwischenknoten; der laufende Gegenstand ist Arbeitsposten B2-3; die geltende Zieladresse ist Zielstelle B2-8; ‚das Vorige‘ bezeichnet Vorposten B2-1. [[LOKALER BESITZER: mittlere linke Geräte-/Inline-Knotenstation]] Die Charge für den vorgesehenen Gebrauch temperieren. Die Badeflüssigkeit am bezeichneten Körper- oder Teilbadbereich gebrauchen. Die erste Öffnung. Den örtlichen Prüfzustand der Charge feststellen.	OWNER|ACTIVE|TARGET|PREVIOUS	OWNER_AND_EXEMPLAR_SUPPLY_CONCRETE_NOUNS
51	f82r	B2-S011	PROSE_STATEMENT	der mittleren rechten Station	4	okain char okain qokeedy	OK+AIN | AR | OK+AIN | OK+EE+CLOSE	[[LOKALER BESITZER: ungelöste mittlere rechte Linie-/Liegepodeststation]] Gib einen abgemessenen Anteil in das Gefäß. Daraus, aus demselben Ansatz. Gib einen abgemessenen Anteil in das Gefäß. Lasse die Badende im temperierten Teilbad sitzen und beende den Schritt.	Der Text gehört zu der mittleren rechten Station; der laufende Gegenstand ist Arbeitsposten B2-3; die geltende Zieladresse ist Zielstelle B2-9; ‚das Vorige‘ bezeichnet Vorposten B2-1. [[LOKALER BESITZER: ungelöste mittlere rechte Linie-/Liegepodeststation]] Gib einen abgemessenen Anteil in das Gefäß. Daraus, aus demselben Ansatz. Gib einen abgemessenen Anteil in das Gefäß. Lasse die Badende im temperierten Teilbad sitzen und beende den Schritt.	OWNER|ACTIVE|TARGET|PREVIOUS	OWNER_AND_EXEMPLAR_SUPPLY_CONCRETE_NOUNS
52	f82r	B2-S012	PROSE_STATEMENT	dem unteren grünen Mehrfigurenbecken	8	lchy cheey qcthey qokeey lcheey daiin chey qokeeedy	L+Y | CHEEY | CTH+E+Y | OK+EE+Y | L+CHEEY | AIIN | Y | OK+EEE+CLOSE	[[LOKALER BESITZER: ungelöste mittlere rechte Linie-/Liegepodeststation]] Ziehe die klare Flüssigkeit ab. [[STATIONSWECHSEL: ungelöste mittlere rechte Linie-/Liegepodeststation -> unteres grünes Mehrfigurenfeld; STOFF, ZIEL UND RICHTUNG WERDEN NICHT VERERBT]] Den örtlichen Prüfzustand der Charge feststellen. Unter derselben Einstellung. Die Charge für den vorgesehenen Gebrauch temperieren. Der benetzte Körperbereich. Den aktiven Posten nach der örtlichen Vorschrift bemessen. Diese aktive Portion. Benetze den bezeichneten Körperbereich vollständig und beende den Schritt.	Der Text gehört zu dem unteren grünen Mehrfigurenbecken; der laufende Gegenstand ist Arbeitsposten B2-3; die geltende Zieladresse ist Zielstelle B2-9; ‚das Vorige‘ bezeichnet Vorposten B2-1. [[LOKALER BESITZER: ungelöste mittlere rechte Linie-/Liegepodeststation]] Ziehe die klare Flüssigkeit ab. [[STATIONSWECHSEL: ungelöste mittlere rechte Linie-/Liegepodeststation -> unteres grünes Mehrfigurenfeld; STOFF, ZIEL UND RICHTUNG WERDEN NICHT VERERBT]] Den örtlichen Prüfzustand der Charge feststellen. Unter derselben Einstellung. Die Charge für den vorgesehenen Gebrauch temperieren. Der benetzte Körperbereich. Den aktiven Posten nach der örtlichen Vorschrift bemessen. Diese aktive Portion. Benetze den bezeichneten Körperbereich vollständig und beende den Schritt.	OWNER|ACTIVE|TARGET|PREVIOUS	OWNER_AND_EXEMPLAR_SUPPLY_CONCRETE_NOUNS
53	f82r	B2-S013	PROSE_STATEMENT	dem unteren grünen Mehrfigurenbecken	1	lchedy	L+CHD+CLOSE	[[LOKALER BESITZER: unteres grünes Mehrfigurenfeld]] Die verbrauchte Flüssigkeit zum Auffang- oder Auslassbereich abführen.	Der Text gehört zu dem unteren grünen Mehrfigurenbecken; der laufende Gegenstand ist Arbeitsposten B2-3; die geltende Zieladresse ist Zielstelle B2-9; ‚das Vorige‘ bezeichnet Vorposten B2-1. [[LOKALER BESITZER: unteres grünes Mehrfigurenfeld]] Die verbrauchte Flüssigkeit zum Auffang- oder Auslassbereich abführen.	OWNER|ACTIVE|TARGET|PREVIOUS	OWNER_AND_EXEMPLAR_SUPPLY_CONCRETE_NOUNS
54	f82r	B2-S014	PROSE_STATEMENT	dem unteren grünen Mehrfigurenbecken	1	lar	L+AR	[[LOKALER BESITZER: unteres grünes Mehrfigurenfeld]] Schließe den unteren Ablauf.	Der Text gehört zu dem unteren grünen Mehrfigurenbecken; der laufende Gegenstand ist Arbeitsposten B2-3; die geltende Zieladresse ist Zielstelle B2-9; ‚das Vorige‘ bezeichnet Vorposten B2-1. [[LOKALER BESITZER: unteres grünes Mehrfigurenfeld]] Schließe den unteren Ablauf.	OWNER|ACTIVE|TARGET|PREVIOUS	OWNER_AND_EXEMPLAR_SUPPLY_CONCRETE_NOUNS
55	f82r	B2-S015	PROSE_STATEMENT	den Randstationen des unteren Beckens	2	tshey qokeedy	CHEEY | OK+EE+CLOSE	[[LOKALER BESITZER: lokale Randstationen des unteren Feldes]] Beginne die Spülung. Lasse die Badende im temperierten Teilbad sitzen und beende den Schritt.	Der Text gehört zu den Randstationen des unteren Beckens; der laufende Gegenstand ist Arbeitsposten B2-3; die geltende Zieladresse ist Zielstelle B2-10; ‚das Vorige‘ bezeichnet Vorposten B2-1. [[LOKALER BESITZER: lokale Randstationen des unteren Feldes]] Beginne die Spülung. Lasse die Badende im temperierten Teilbad sitzen und beende den Schritt.	OWNER|ACTIVE|TARGET|PREVIOUS	OWNER_AND_EXEMPLAR_SUPPLY_CONCRETE_NOUNS
56	f82r	B2-S016	PROSE_STATEMENT	den Randstationen des unteren Beckens	8	cheal lchedar ches aiin oteey qokaiin okey pchedy	AL | L+CHD+AR | PARTITION | AIIN | OT+EE+Y | OK+AIIN | OK+E+Y | P+CHD+CLOSE	[[LOKALER BESITZER: lokale Randstationen des unteren Feldes]] Den aktiven Posten an der örtlich bezeichneten Station führen. Kühles Wasser. Zu gleichen Anteilen. Den aktiven Posten nach der örtlichen Vorschrift bemessen. Der vorbereitete Bade- oder Waschzusatz. Den aktiven Posten nach der örtlichen Vorschrift bemessen. Warmes Wasser. Ziehe es ab und beende den Schritt.	Der Text gehört zu den Randstationen des unteren Beckens; der laufende Gegenstand ist Arbeitsposten B2-4; die geltende Zieladresse ist Zielstelle B2-11; ‚das Vorige‘ bezeichnet Vorposten B2-3. [[LOKALER BESITZER: lokale Randstationen des unteren Feldes]] Den aktiven Posten an der örtlich bezeichneten Station führen. Kühles Wasser. Zu gleichen Anteilen. Den aktiven Posten nach der örtlichen Vorschrift bemessen. Der vorbereitete Bade- oder Waschzusatz. Den aktiven Posten nach der örtlichen Vorschrift bemessen. Warmes Wasser. Ziehe es ab und beende den Schritt.	OWNER|ACTIVE|TARGET|PREVIOUS	OWNER_AND_EXEMPLAR_SUPPLY_CONCRETE_NOUNS
57	f82r	B2-S017	PROSE_STATEMENT	den Randstationen des unteren Beckens	2	rsheal daldy	SH+E+AL | AL+CLOSE	[[LOKALER BESITZER: lokale Randstationen des unteren Feldes]] Gieße das erwärmte Wasser ein. Wiederhole es an der zweiten Öffnung und beende den Schritt.	Der Text gehört zu den Randstationen des unteren Beckens; der laufende Gegenstand ist Arbeitsposten B2-4; die geltende Zieladresse ist Zielstelle B2-11; ‚das Vorige‘ bezeichnet Vorposten B2-3. [[LOKALER BESITZER: lokale Randstationen des unteren Feldes]] Gieße das erwärmte Wasser ein. Wiederhole es an der zweiten Öffnung und beende den Schritt.	OWNER|ACTIVE|TARGET|PREVIOUS	OWNER_AND_EXEMPLAR_SUPPLY_CONCRETE_NOUNS
58	f82r	B2-S018	PROSE_STATEMENT	den Randstationen des unteren Beckens	1	qokeedy	OK+EE+CLOSE	[[LOKALER BESITZER: lokale Randstationen des unteren Feldes]] Lasse die Badende im temperierten Teilbad sitzen und beende den Schritt.	Der Text gehört zu den Randstationen des unteren Beckens; der laufende Gegenstand ist Arbeitsposten B2-4; die geltende Zieladresse ist Zielstelle B2-12; ‚das Vorige‘ bezeichnet Vorposten B2-3. [[LOKALER BESITZER: lokale Randstationen des unteren Feldes]] Lasse die Badende im temperierten Teilbad sitzen und beende den Schritt.	OWNER|ACTIVE|TARGET|PREVIOUS	OWNER_AND_EXEMPLAR_SUPPLY_CONCRETE_NOUNS
59	f82r	B2-S019	PROSE_STATEMENT	den Randstationen des unteren Beckens	1	rshedy	WASH+CLOSE	[[LOKALER BESITZER: lokale Randstationen des unteren Feldes]] Verwende den Anteil als örtliche Waschung und beende den Schritt.	Der Text gehört zu den Randstationen des unteren Beckens; der laufende Gegenstand ist Arbeitsposten B2-4; die geltende Zieladresse ist Zielstelle B2-12; ‚das Vorige‘ bezeichnet Vorposten B2-3. [[LOKALER BESITZER: lokale Randstationen des unteren Feldes]] Verwende den Anteil als örtliche Waschung und beende den Schritt.	OWNER|ACTIVE|TARGET|PREVIOUS	OWNER_AND_EXEMPLAR_SUPPLY_CONCRETE_NOUNS
60	f82r	B2-S020	PROSE_STATEMENT	den Randstationen des unteren Beckens	1	qoteedy	OT+EE+CLOSE	[[LOKALER BESITZER: lokale Randstationen des unteren Feldes]] Lege ein warmes Tuch auf die bezeichnete äußere Stelle und beende den Schritt.	Der Text gehört zu den Randstationen des unteren Beckens; der laufende Gegenstand ist Arbeitsposten B2-4; die geltende Zieladresse ist Zielstelle B2-12; ‚das Vorige‘ bezeichnet Vorposten B2-3. [[LOKALER BESITZER: lokale Randstationen des unteren Feldes]] Lege ein warmes Tuch auf die bezeichnete äußere Stelle und beende den Schritt.	OWNER|ACTIVE|TARGET|PREVIOUS	OWNER_AND_EXEMPLAR_SUPPLY_CONCRETE_NOUNS
61	f82r	B2-S021	PROSE_STATEMENT	den Randstationen des unteren Beckens	1	qokeedy	OK+EE+CLOSE	[[LOKALER BESITZER: lokale Randstationen des unteren Feldes]] Lasse die Badende im temperierten Teilbad sitzen und beende den Schritt.	Der Text gehört zu den Randstationen des unteren Beckens; der laufende Gegenstand ist Arbeitsposten B2-4; die geltende Zieladresse ist Zielstelle B2-12; ‚das Vorige‘ bezeichnet Vorposten B2-3. [[LOKALER BESITZER: lokale Randstationen des unteren Feldes]] Lasse die Badende im temperierten Teilbad sitzen und beende den Schritt.	OWNER|ACTIVE|TARGET|PREVIOUS	OWNER_AND_EXEMPLAR_SUPPLY_CONCRETE_NOUNS
