ledger_serial	unified_id	section	unit_id	page	formal_recovery_confidence	occurrence_content_confidence	portable_word_confidence	global_purpose_confidence	strongest_local_rival	strongest_local_contradiction	global_counterevidence	containment	status
211	P:E211	BIOLOGICAL	B2	f82r	HIGH_EXACT_IDENTITY__NO_FUNCTION_OR_CONTENT_ROLE	0.34	NONE	NEAR_TIE_236_TO_235__WORKING_LEAD_ONLY	Badehaus-technischer Rivale am selben Besitzer: Rücklaufleitung öffnen; keine Vererbung über einen Stationswechsel.	keine Kontur trägt einen Pfeil oder eine Flussrichtung.	No target-visible link makes the celestial instruments medical, and no exact three-section period witness was found.	KEEP_CONTENT_OCCURRENCE_BOUND__KEEP_FORMAL_AND_SEMANTIC_LAYERS_SEPARATE	OPEN_WORKING_THEORY_NOT_DECIPHERMENT
212	P:E212	BIOLOGICAL	B2	f82r	HIGH_EXACT_IDENTITY__NO_FUNCTION_OR_CONTENT_ROLE	0.40	NONE	NEAR_TIE_236_TO_235__WORKING_LEAD_ONLY	Badehaus-technischer Rivale am selben Besitzer: Filtertuch oder Sieb einsetzen; keine Vererbung über einen Stationswechsel.	keine Kontur trägt einen Pfeil oder eine Flussrichtung.	No target-visible link makes the celestial instruments medical, and no exact three-section period witness was found.	KEEP_CONTENT_OCCURRENCE_BOUND__KEEP_FORMAL_AND_SEMANTIC_LAYERS_SEPARATE	OPEN_WORKING_THEORY_NOT_DECIPHERMENT
213	P:E213	BIOLOGICAL	B2	f82r	HIGH_EXACT_IDENTITY__NO_FUNCTION_OR_CONTENT_ROLE	0.40	NONE	NEAR_TIE_236_TO_235__WORKING_LEAD_ONLY	Badehaus-technischer Rivale am selben Besitzer: Charge durch den Filter führen; keine Vererbung über einen Stationswechsel.	eine nackte Figur ist nicht automatisch Patientin oder therapeutisches Ziel; die sichtbare Form beweist ihre Gefäß-, Becken- oder Leitungsfunktion nicht; Maß, Dauer, Wärme oder Zustand ist unbebilderter Quellenwert.	No target-visible link makes the celestial instruments medical, and no exact three-section period witness was found.	KEEP_CONTENT_OCCURRENCE_BOUND__KEEP_FORMAL_AND_SEMANTIC_LAYERS_SEPARATE	OPEN_WORKING_THEORY_NOT_DECIPHERMENT
214	P:E214	BIOLOGICAL	B2	f82r	HIGH_EXACT_IDENTITY__NO_FUNCTION_OR_CONTENT_ROLE	0.46	NONE	NEAR_TIE_236_TO_235__WORKING_LEAD_ONLY	Badehaus-technischer Rivale am selben Besitzer: Zieladresse=Teilbecken B mit Zugängen Z1-Z3, Wärmestelle W2, Filter F2 und Auslass A2; keine Vererbung über einen Stationswechsel.	Stoff oder Zubereitung ist nicht sichtbar bestimmt; die sichtbare Form beweist ihre Gefäß-, Becken- oder Leitungsfunktion nicht.	No target-visible link makes the celestial instruments medical, and no exact three-section period witness was found.	KEEP_CONTENT_OCCURRENCE_BOUND__KEEP_FORMAL_AND_SEMANTIC_LAYERS_SEPARATE	OPEN_WORKING_THEORY_NOT_DECIPHERMENT
215	P:E215	BIOLOGICAL	B2	f82r	HIGH_EXACT_IDENTITY__NO_FUNCTION_OR_CONTENT_ROLE	0.34	NONE	NEAR_TIE_236_TO_235__WORKING_LEAD_ONLY	Badehaus-technischer Rivale am selben Besitzer: Zuführung öffnen; keine Vererbung über einen Stationswechsel.	Stoff oder Zubereitung ist nicht sichtbar bestimmt.	No target-visible link makes the celestial instruments medical, and no exact three-section period witness was found.	KEEP_CONTENT_OCCURRENCE_BOUND__KEEP_FORMAL_AND_SEMANTIC_LAYERS_SEPARATE	OPEN_WORKING_THEORY_NOT_DECIPHERMENT
216	P:E216	BIOLOGICAL	B2	f82r	HIGH_EXACT_IDENTITY__NO_FUNCTION_OR_CONTENT_ROLE	0.34	NONE	NEAR_TIE_236_TO_235__WORKING_LEAD_ONLY	Badehaus-technischer Rivale am selben Besitzer: Wasser in das Becken einlassen; keine Vererbung über einen Stationswechsel.	Stoff oder Zubereitung ist nicht sichtbar bestimmt.	No target-visible link makes the celestial instruments medical, and no exact three-section period witness was found.	KEEP_CONTENT_OCCURRENCE_BOUND__KEEP_FORMAL_AND_SEMANTIC_LAYERS_SEPARATE	OPEN_WORKING_THEORY_NOT_DECIPHERMENT
217	P:E217	BIOLOGICAL	B2	f82r	HIGH__FROZEN_NONWORD_CHANNEL	0.46	NONE	NEAR_TIE_236_TO_235__WORKING_LEAD_ONLY	Badehaus-technischer Rivale am selben Besitzer: Mengenbuch=lokaler Posten; keine Vererbung über einen Stationswechsel.	Stoff oder Zubereitung ist nicht sichtbar bestimmt.	No target-visible link makes the celestial instruments medical, and no exact three-section period witness was found.	KEEP_CONTENT_OCCURRENCE_BOUND__KEEP_FORMAL_AND_SEMANTIC_LAYERS_SEPARATE	OPEN_WORKING_THEORY_NOT_DECIPHERMENT
218	P:E218	BIOLOGICAL	B2	f82r	HIGH_EXACT_IDENTITY__NO_FUNCTION_OR_CONTENT_ROLE	0.34	NONE	NEAR_TIE_236_TO_235__WORKING_LEAD_ONLY	Badehaus-technischer Rivale am selben Besitzer: Vorratscharge bereitstellen; keine Vererbung über einen Stationswechsel.	Stoff oder Zubereitung ist nicht sichtbar bestimmt; eine nackte Figur ist nicht automatisch Patientin oder therapeutisches Ziel; Maß, Dauer, Wärme oder Zustand ist unbebilderter Quellenwert.	No target-visible link makes the celestial instruments medical, and no exact three-section period witness was found.	KEEP_CONTENT_OCCURRENCE_BOUND__KEEP_FORMAL_AND_SEMANTIC_LAYERS_SEPARATE	OPEN_WORKING_THEORY_NOT_DECIPHERMENT
219	P:E219	BIOLOGICAL	B2	f82r	MEDIUM__V79_OPERATIONAL_SELECTION__SEMANTIC_GLOSS_UNIDENTIFIED	0.46	OPTIONAL_MASTER_QUESTION_GLOSS_ONLY	NEAR_TIE_236_TO_235__WORKING_LEAD_ONLY	Badehaus-technischer Rivale am selben Besitzer: Mengenbuch=lokaler Posten; keine Vererbung über einen Stationswechsel.	Stoff oder Zubereitung ist nicht sichtbar bestimmt.	No target-visible link makes the celestial instruments medical, and no exact three-section period witness was found.	KEEP_CONTENT_OCCURRENCE_BOUND__KEEP_FORMAL_AND_SEMANTIC_LAYERS_SEPARATE	OPEN_WORKING_THEORY_NOT_DECIPHERMENT
220	P:E220	BIOLOGICAL	B2	f82r	HIGH_EXACT_IDENTITY__NO_FUNCTION_OR_CONTENT_ROLE	0.34	NONE	NEAR_TIE_236_TO_235__WORKING_LEAD_ONLY	Badehaus-technischer Rivale am selben Besitzer: Wasser in das Becken einlassen; keine Vererbung über einen Stationswechsel.	Stoff oder Zubereitung ist nicht sichtbar bestimmt; Maß, Dauer, Wärme oder Zustand ist unbebilderter Quellenwert.	No target-visible link makes the celestial instruments medical, and no exact three-section period witness was found.	KEEP_CONTENT_OCCURRENCE_BOUND__KEEP_FORMAL_AND_SEMANTIC_LAYERS_SEPARATE	OPEN_WORKING_THEORY_NOT_DECIPHERMENT
221	P:E221	BIOLOGICAL	B2	f82r	HIGH_EXACT_IDENTITY__NO_FUNCTION_OR_CONTENT_ROLE	0.40	NONE	NEAR_TIE_236_TO_235__WORKING_LEAD_ONLY	Badehaus-technischer Rivale am selben Besitzer: Leitungszweig wählen; keine Vererbung über einen Stationswechsel.	keine Kontur trägt einen Pfeil oder eine Flussrichtung.	No target-visible link makes the celestial instruments medical, and no exact three-section period witness was found.	KEEP_CONTENT_OCCURRENCE_BOUND__KEEP_FORMAL_AND_SEMANTIC_LAYERS_SEPARATE	OPEN_WORKING_THEORY_NOT_DECIPHERMENT
222	P:E222	BIOLOGICAL	B2	f82r	HIGH_EXACT_IDENTITY__NO_FUNCTION_OR_CONTENT_ROLE	0.34	NONE	NEAR_TIE_236_TO_235__WORKING_LEAD_ONLY	Badehaus-technischer Rivale am selben Besitzer: Filtertuch oder Sieb einsetzen; keine Vererbung über einen Stationswechsel.	Stoff oder Zubereitung ist nicht sichtbar bestimmt; keine Kontur trägt einen Pfeil oder eine Flussrichtung; Maß, Dauer, Wärme oder Zustand ist unbebilderter Quellenwert.	No target-visible link makes the celestial instruments medical, and no exact three-section period witness was found.	KEEP_CONTENT_OCCURRENCE_BOUND__KEEP_FORMAL_AND_SEMANTIC_LAYERS_SEPARATE	OPEN_WORKING_THEORY_NOT_DECIPHERMENT
223	P:E223	BIOLOGICAL	B2	f82r	HIGH_EXACT_IDENTITY__NO_FUNCTION_OR_CONTENT_ROLE	0.40	NONE	NEAR_TIE_236_TO_235__WORKING_LEAD_ONLY	Badehaus-technischer Rivale am selben Besitzer: Charge durch den Filter führen; keine Vererbung über einen Stationswechsel.	die sichtbare Form beweist ihre Gefäß-, Becken- oder Leitungsfunktion nicht.	No target-visible link makes the celestial instruments medical, and no exact three-section period witness was found.	KEEP_CONTENT_OCCURRENCE_BOUND__KEEP_FORMAL_AND_SEMANTIC_LAYERS_SEPARATE	OPEN_WORKING_THEORY_NOT_DECIPHERMENT
224	P:E224	BIOLOGICAL	B2	f82r	HIGH_EXACT_IDENTITY__NO_FUNCTION_OR_CONTENT_ROLE	0.40	NONE	NEAR_TIE_236_TO_235__WORKING_LEAD_ONLY	Badehaus-technischer Rivale am selben Besitzer: Filter lösen; keine Vererbung über einen Stationswechsel.	eine nackte Figur ist nicht automatisch Patientin oder therapeutisches Ziel; die sichtbare Form beweist ihre Gefäß-, Becken- oder Leitungsfunktion nicht; Maß, Dauer, Wärme oder Zustand ist unbebilderter Quellenwert.	No target-visible link makes the celestial instruments medical, and no exact three-section period witness was found.	KEEP_CONTENT_OCCURRENCE_BOUND__KEEP_FORMAL_AND_SEMANTIC_LAYERS_SEPARATE	OPEN_WORKING_THEORY_NOT_DECIPHERMENT
225	P:E225	BIOLOGICAL	B2	f82r	HIGH_EXACT_IDENTITY__NO_FUNCTION_OR_CONTENT_ROLE	0.40	NONE	NEAR_TIE_236_TO_235__WORKING_LEAD_ONLY	Badehaus-technischer Rivale am selben Besitzer: Rücklaufleitung öffnen; keine Vererbung über einen Stationswechsel.	Stoff oder Zubereitung ist nicht sichtbar bestimmt; eine nackte Figur ist nicht automatisch Patientin oder therapeutisches Ziel.	No target-visible link makes the celestial instruments medical, and no exact three-section period witness was found.	KEEP_CONTENT_OCCURRENCE_BOUND__KEEP_FORMAL_AND_SEMANTIC_LAYERS_SEPARATE	OPEN_WORKING_THEORY_NOT_DECIPHERMENT
226	P:E226	BIOLOGICAL	B2	f82r	HIGH_EXACT_IDENTITY__NO_FUNCTION_OR_CONTENT_ROLE	0.40	NONE	NEAR_TIE_236_TO_235__WORKING_LEAD_ONLY	Badehaus-technischer Rivale am selben Besitzer: Spülwasser zuführen; keine Vererbung über einen Stationswechsel.	eine nackte Figur ist nicht automatisch Patientin oder therapeutisches Ziel; die sichtbare Form beweist ihre Gefäß-, Becken- oder Leitungsfunktion nicht; Maß, Dauer, Wärme oder Zustand ist unbebilderter Quellenwert.	No target-visible link makes the celestial instruments medical, and no exact three-section period witness was found.	KEEP_CONTENT_OCCURRENCE_BOUND__KEEP_FORMAL_AND_SEMANTIC_LAYERS_SEPARATE	OPEN_WORKING_THEORY_NOT_DECIPHERMENT
227	P:E227	BIOLOGICAL	B2	f82r	HIGH_EXACT_IDENTITY__NO_FUNCTION_OR_CONTENT_ROLE	0.40	NONE	NEAR_TIE_236_TO_235__WORKING_LEAD_ONLY	Badehaus-technischer Rivale am selben Besitzer: unteren Ablauf öffnen; keine Vererbung über einen Stationswechsel.	eine nackte Figur ist nicht automatisch Patientin oder therapeutisches Ziel; die sichtbare Form beweist ihre Gefäß-, Becken- oder Leitungsfunktion nicht; Maß, Dauer, Wärme oder Zustand ist unbebilderter Quellenwert.	No target-visible link makes the celestial instruments medical, and no exact three-section period witness was found.	KEEP_CONTENT_OCCURRENCE_BOUND__KEEP_FORMAL_AND_SEMANTIC_LAYERS_SEPARATE	OPEN_WORKING_THEORY_NOT_DECIPHERMENT
228	P:E228	BIOLOGICAL	B2	f82r	HIGH_EXACT_IDENTITY__NO_FUNCTION_OR_CONTENT_ROLE	0.40	NONE	NEAR_TIE_236_TO_235__WORKING_LEAD_ONLY	Badehaus-technischer Rivale am selben Besitzer: fertige Charge markieren; keine Vererbung über einen Stationswechsel.	Maß, Dauer, Wärme oder Zustand ist unbebilderter Quellenwert.	No target-visible link makes the celestial instruments medical, and no exact three-section period witness was found.	KEEP_CONTENT_OCCURRENCE_BOUND__KEEP_FORMAL_AND_SEMANTIC_LAYERS_SEPARATE	OPEN_WORKING_THEORY_NOT_DECIPHERMENT
229	P:E229	BIOLOGICAL	B3	f83r	HIGH_EXACT_IDENTITY__NO_FUNCTION_OR_CONTENT_ROLE	0.40	NONE	NEAR_TIE_236_TO_235__WORKING_LEAD_ONLY	Badehaus-technischer Rivale am selben Besitzer: Beckenrand und Fugen sichten; keine Vererbung über einen Stationswechsel.	Stoff oder Zubereitung ist nicht sichtbar bestimmt.	No target-visible link makes the celestial instruments medical, and no exact three-section period witness was found.	KEEP_CONTENT_OCCURRENCE_BOUND__KEEP_FORMAL_AND_SEMANTIC_LAYERS_SEPARATE	OPEN_WORKING_THEORY_NOT_DECIPHERMENT
230	P:E230	BIOLOGICAL	B3	f83r	HIGH_EXACT_IDENTITY__NO_FUNCTION_OR_CONTENT_ROLE	0.34	NONE	NEAR_TIE_236_TO_235__WORKING_LEAD_ONLY	Badehaus-technischer Rivale am selben Besitzer: Charge ruhig stehen lassen; keine Vererbung über einen Stationswechsel.	keine Kontur trägt einen Pfeil oder eine Flussrichtung.	No target-visible link makes the celestial instruments medical, and no exact three-section period witness was found.	KEEP_CONTENT_OCCURRENCE_BOUND__KEEP_FORMAL_AND_SEMANTIC_LAYERS_SEPARATE	OPEN_WORKING_THEORY_NOT_DECIPHERMENT
231	P:E231	BIOLOGICAL	B3	f83r	HIGH_EXACT_IDENTITY__NO_FUNCTION_OR_CONTENT_ROLE	0.40	NONE	NEAR_TIE_236_TO_235__WORKING_LEAD_ONLY	Badehaus-technischer Rivale am selben Besitzer: klaren Oberlauf abnehmen; keine Vererbung über einen Stationswechsel.	die konkrete Handlung ist nur occurrence-gebundener Exemplarwert, keine Kartenbedeutung.	No target-visible link makes the celestial instruments medical, and no exact three-section period witness was found.	KEEP_CONTENT_OCCURRENCE_BOUND__KEEP_FORMAL_AND_SEMANTIC_LAYERS_SEPARATE	OPEN_WORKING_THEORY_NOT_DECIPHERMENT
232	P:E232	BIOLOGICAL	B3	f83r	HIGH_EXACT_IDENTITY__NO_FUNCTION_OR_CONTENT_ROLE	0.34	NONE	NEAR_TIE_236_TO_235__WORKING_LEAD_ONLY	Badehaus-technischer Rivale am selben Besitzer: unteren Ablauf öffnen; keine Vererbung über einen Stationswechsel.	Stoff oder Zubereitung ist nicht sichtbar bestimmt.	No target-visible link makes the celestial instruments medical, and no exact three-section period witness was found.	KEEP_CONTENT_OCCURRENCE_BOUND__KEEP_FORMAL_AND_SEMANTIC_LAYERS_SEPARATE	OPEN_WORKING_THEORY_NOT_DECIPHERMENT
233	P:E233	BIOLOGICAL	B3	f83r	HIGH__FROZEN_NONWORD_CHANNEL	0.46	NONE	NEAR_TIE_236_TO_235__WORKING_LEAD_ONLY	Badehaus-technischer Rivale am selben Besitzer: Mengenbuch=lokaler Posten; keine Vererbung über einen Stationswechsel.	Stoff oder Zubereitung ist nicht sichtbar bestimmt.	No target-visible link makes the celestial instruments medical, and no exact three-section period witness was found.	KEEP_CONTENT_OCCURRENCE_BOUND__KEEP_FORMAL_AND_SEMANTIC_LAYERS_SEPARATE	OPEN_WORKING_THEORY_NOT_DECIPHERMENT
234	P:E234	BIOLOGICAL	B3	f83r	HIGH_EXACT_IDENTITY__NO_FUNCTION_OR_CONTENT_ROLE	0.34	NONE	NEAR_TIE_236_TO_235__WORKING_LEAD_ONLY	Badehaus-technischer Rivale am selben Besitzer: Restlauf am Auslass beobachten; keine Vererbung über einen Stationswechsel.	Stoff oder Zubereitung ist nicht sichtbar bestimmt.	No target-visible link makes the celestial instruments medical, and no exact three-section period witness was found.	KEEP_CONTENT_OCCURRENCE_BOUND__KEEP_FORMAL_AND_SEMANTIC_LAYERS_SEPARATE	OPEN_WORKING_THEORY_NOT_DECIPHERMENT
235	P:E235	BIOLOGICAL	B3	f83r	HIGH_EXACT_IDENTITY__NO_FUNCTION_OR_CONTENT_ROLE	0.46	NONE	NEAR_TIE_236_TO_235__WORKING_LEAD_ONLY	Badehaus-technischer Rivale am selben Besitzer: Unterlauf von Hauptbecken C mit Vorwärmer W3, Leitungen L1-L4, Filter F3, Unterlauf U3 und Rücklauf R3; keine Vererbung über einen Stationswechsel.	Stoff oder Zubereitung ist nicht sichtbar bestimmt; keine Kontur trägt einen Pfeil oder eine Flussrichtung.	No target-visible link makes the celestial instruments medical, and no exact three-section period witness was found.	KEEP_CONTENT_OCCURRENCE_BOUND__KEEP_FORMAL_AND_SEMANTIC_LAYERS_SEPARATE	OPEN_WORKING_THEORY_NOT_DECIPHERMENT
236	P:E236	BIOLOGICAL	B3	f83r	MEDIUM__V79_OPERATIONAL_SELECTION__SEMANTIC_GLOSS_UNIDENTIFIED	0.46	OPTIONAL_MASTER_QUESTION_GLOSS_ONLY	NEAR_TIE_236_TO_235__WORKING_LEAD_ONLY	Badehaus-technischer Rivale am selben Besitzer: Mengenbuch=lokaler Posten; keine Vererbung über einen Stationswechsel.	Stoff oder Zubereitung ist nicht sichtbar bestimmt.	No target-visible link makes the celestial instruments medical, and no exact three-section period witness was found.	KEEP_CONTENT_OCCURRENCE_BOUND__KEEP_FORMAL_AND_SEMANTIC_LAYERS_SEPARATE	OPEN_WORKING_THEORY_NOT_DECIPHERMENT
237	P:E237	BIOLOGICAL	B3	f83r	HIGH_EXACT_IDENTITY__NO_FUNCTION_OR_CONTENT_ROLE	0.34	NONE	NEAR_TIE_236_TO_235__WORKING_LEAD_ONLY	Badehaus-technischer Rivale am selben Besitzer: Zuführung öffnen; keine Vererbung über einen Stationswechsel.	keine Kontur trägt einen Pfeil oder eine Flussrichtung.	No target-visible link makes the celestial instruments medical, and no exact three-section period witness was found.	KEEP_CONTENT_OCCURRENCE_BOUND__KEEP_FORMAL_AND_SEMANTIC_LAYERS_SEPARATE	OPEN_WORKING_THEORY_NOT_DECIPHERMENT
238	P:E238	BIOLOGICAL	B3	f83r	HIGH_EXACT_IDENTITY__NO_FUNCTION_OR_CONTENT_ROLE	0.34	NONE	NEAR_TIE_236_TO_235__WORKING_LEAD_ONLY	Badehaus-technischer Rivale am selben Besitzer: Wasser in das Becken einlassen; keine Vererbung über einen Stationswechsel.	Stoff oder Zubereitung ist nicht sichtbar bestimmt.	No target-visible link makes the celestial instruments medical, and no exact three-section period witness was found.	KEEP_CONTENT_OCCURRENCE_BOUND__KEEP_FORMAL_AND_SEMANTIC_LAYERS_SEPARATE	OPEN_WORKING_THEORY_NOT_DECIPHERMENT
239	P:E239	BIOLOGICAL	B3	f83r	HIGH_EXACT_IDENTITY__NO_FUNCTION_OR_CONTENT_ROLE	0.40	NONE	NEAR_TIE_236_TO_235__WORKING_LEAD_ONLY	Badehaus-technischer Rivale am selben Besitzer: Vorratscharge bereitstellen; keine Vererbung über einen Stationswechsel.	keine Kontur trägt einen Pfeil oder eine Flussrichtung; die sichtbare Form beweist ihre Gefäß-, Becken- oder Leitungsfunktion nicht.	No target-visible link makes the celestial instruments medical, and no exact three-section period witness was found.	KEEP_CONTENT_OCCURRENCE_BOUND__KEEP_FORMAL_AND_SEMANTIC_LAYERS_SEPARATE	OPEN_WORKING_THEORY_NOT_DECIPHERMENT
240	P:E240	BIOLOGICAL	B3	f83r	HIGH_EXACT_IDENTITY__NO_FUNCTION_OR_CONTENT_ROLE	0.34	NONE	NEAR_TIE_236_TO_235__WORKING_LEAD_ONLY	Badehaus-technischer Rivale am selben Besitzer: Leitungszweig wählen; keine Vererbung über einen Stationswechsel.	Stoff oder Zubereitung ist nicht sichtbar bestimmt; keine Kontur trägt einen Pfeil oder eine Flussrichtung; Maß, Dauer, Wärme oder Zustand ist unbebilderter Quellenwert.	No target-visible link makes the celestial instruments medical, and no exact three-section period witness was found.	KEEP_CONTENT_OCCURRENCE_BOUND__KEEP_FORMAL_AND_SEMANTIC_LAYERS_SEPARATE	OPEN_WORKING_THEORY_NOT_DECIPHERMENT
241	P:E241	BIOLOGICAL	B3	f83r	HIGH__FROZEN_NONWORD_CHANNEL	0.46	NONE	NEAR_TIE_236_TO_235__WORKING_LEAD_ONLY	Badehaus-technischer Rivale am selben Besitzer: Zieladresse=Hauptbecken C mit Vorwärmer W3, Leitungen L1-L4, Filter F3, Unterlauf U3 und Rücklauf R3; keine Vererbung über einen Stationswechsel.	Stoff oder Zubereitung ist nicht sichtbar bestimmt; die sichtbare Form beweist ihre Gefäß-, Becken- oder Leitungsfunktion nicht.	No target-visible link makes the celestial instruments medical, and no exact three-section period witness was found.	KEEP_CONTENT_OCCURRENCE_BOUND__KEEP_FORMAL_AND_SEMANTIC_LAYERS_SEPARATE	OPEN_WORKING_THEORY_NOT_DECIPHERMENT
242	P:E242	BIOLOGICAL	B3	f83r	HIGH_EXACT_IDENTITY__NO_FUNCTION_OR_CONTENT_ROLE	0.40	NONE	NEAR_TIE_236_TO_235__WORKING_LEAD_ONLY	Badehaus-technischer Rivale am selben Besitzer: Fluss zur Zielstation führen; keine Vererbung über einen Stationswechsel.	Stoff oder Zubereitung ist nicht sichtbar bestimmt; die sichtbare Form beweist ihre Gefäß-, Becken- oder Leitungsfunktion nicht.	No target-visible link makes the celestial instruments medical, and no exact three-section period witness was found.	KEEP_CONTENT_OCCURRENCE_BOUND__KEEP_FORMAL_AND_SEMANTIC_LAYERS_SEPARATE	OPEN_WORKING_THEORY_NOT_DECIPHERMENT
243	P:E243	BIOLOGICAL	B3	f83r	MEDIUM__V79_OPERATIONAL_SELECTION__SEMANTIC_GLOSS_UNIDENTIFIED	0.46	OPTIONAL_MASTER_QUESTION_GLOSS_ONLY	NEAR_TIE_236_TO_235__WORKING_LEAD_ONLY	Badehaus-technischer Rivale am selben Besitzer: Mengenbuch=lokaler Posten; keine Vererbung über einen Stationswechsel.	Stoff oder Zubereitung ist nicht sichtbar bestimmt.	No target-visible link makes the celestial instruments medical, and no exact three-section period witness was found.	KEEP_CONTENT_OCCURRENCE_BOUND__KEEP_FORMAL_AND_SEMANTIC_LAYERS_SEPARATE	OPEN_WORKING_THEORY_NOT_DECIPHERMENT
244	P:E244	BIOLOGICAL	B3	f83r	HIGH_EXACT_IDENTITY__NO_FUNCTION_OR_CONTENT_ROLE	0.34	NONE	NEAR_TIE_236_TO_235__WORKING_LEAD_ONLY	Badehaus-technischer Rivale am selben Besitzer: Zuführung öffnen; keine Vererbung über einen Stationswechsel.	die konkrete Handlung ist nur occurrence-gebundener Exemplarwert, keine Kartenbedeutung.	No target-visible link makes the celestial instruments medical, and no exact three-section period witness was found.	KEEP_CONTENT_OCCURRENCE_BOUND__KEEP_FORMAL_AND_SEMANTIC_LAYERS_SEPARATE	OPEN_WORKING_THEORY_NOT_DECIPHERMENT
245	P:E245	BIOLOGICAL	B3	f83r	HIGH_EXACT_IDENTITY__NO_FUNCTION_OR_CONTENT_ROLE	0.40	NONE	NEAR_TIE_236_TO_235__WORKING_LEAD_ONLY	Badehaus-technischer Rivale am selben Besitzer: Wasser in das Becken einlassen; keine Vererbung über einen Stationswechsel.	eine nackte Figur ist nicht automatisch Patientin oder therapeutisches Ziel; die sichtbare Form beweist ihre Gefäß-, Becken- oder Leitungsfunktion nicht.	No target-visible link makes the celestial instruments medical, and no exact three-section period witness was found.	KEEP_CONTENT_OCCURRENCE_BOUND__KEEP_FORMAL_AND_SEMANTIC_LAYERS_SEPARATE	OPEN_WORKING_THEORY_NOT_DECIPHERMENT
246	P:E246	BIOLOGICAL	B3	f83r	HIGH_EXACT_IDENTITY__NO_FUNCTION_OR_CONTENT_ROLE	0.46	NONE	NEAR_TIE_236_TO_235__WORKING_LEAD_ONLY	Badehaus-technischer Rivale am selben Besitzer: Unterlauf von Hauptbecken C mit Vorwärmer W3, Leitungen L1-L4, Filter F3, Unterlauf U3 und Rücklauf R3; keine Vererbung über einen Stationswechsel.	Stoff oder Zubereitung ist nicht sichtbar bestimmt; keine Kontur trägt einen Pfeil oder eine Flussrichtung.	No target-visible link makes the celestial instruments medical, and no exact three-section period witness was found.	KEEP_CONTENT_OCCURRENCE_BOUND__KEEP_FORMAL_AND_SEMANTIC_LAYERS_SEPARATE	OPEN_WORKING_THEORY_NOT_DECIPHERMENT
247	P:E247	BIOLOGICAL	B3	f83r	HIGH_EXACT_IDENTITY__NO_FUNCTION_OR_CONTENT_ROLE	0.46	NONE	NEAR_TIE_236_TO_235__WORKING_LEAD_ONLY	Badehaus-technischer Rivale am selben Besitzer: aktive Charge an technischem Stationsziel F079; keine Vererbung über einen Stationswechsel.	Stoff oder Zubereitung ist nicht sichtbar bestimmt; eine nackte Figur ist nicht automatisch Patientin oder therapeutisches Ziel; die sichtbare Form beweist ihre Gefäß-, Becken- oder Leitungsfunktion nicht.	No target-visible link makes the celestial instruments medical, and no exact three-section period witness was found.	KEEP_CONTENT_OCCURRENCE_BOUND__KEEP_FORMAL_AND_SEMANTIC_LAYERS_SEPARATE	OPEN_WORKING_THEORY_NOT_DECIPHERMENT
248	P:E248	BIOLOGICAL	B3	f83r	HIGH_EXACT_IDENTITY__NO_FUNCTION_OR_CONTENT_ROLE	0.40	NONE	NEAR_TIE_236_TO_235__WORKING_LEAD_ONLY	Badehaus-technischer Rivale am selben Besitzer: obere Rinne füllen; keine Vererbung über einen Stationswechsel.	die sichtbare Form beweist ihre Gefäß-, Becken- oder Leitungsfunktion nicht.	No target-visible link makes the celestial instruments medical, and no exact three-section period witness was found.	KEEP_CONTENT_OCCURRENCE_BOUND__KEEP_FORMAL_AND_SEMANTIC_LAYERS_SEPARATE	OPEN_WORKING_THEORY_NOT_DECIPHERMENT
249	P:E249	BIOLOGICAL	B3	f83r	HIGH_EXACT_IDENTITY__NO_FUNCTION_OR_CONTENT_ROLE	0.40	NONE	NEAR_TIE_236_TO_235__WORKING_LEAD_ONLY	Badehaus-technischer Rivale am selben Besitzer: Charge über das Gefälle umlaufen lassen; keine Vererbung über einen Stationswechsel.	Maß, Dauer, Wärme oder Zustand ist unbebilderter Quellenwert.	No target-visible link makes the celestial instruments medical, and no exact three-section period witness was found.	KEEP_CONTENT_OCCURRENCE_BOUND__KEEP_FORMAL_AND_SEMANTIC_LAYERS_SEPARATE	OPEN_WORKING_THEORY_NOT_DECIPHERMENT
250	P:E250	BIOLOGICAL	B3	f83r	HIGH_EXACT_IDENTITY__NO_FUNCTION_OR_CONTENT_ROLE	0.34	NONE	NEAR_TIE_236_TO_235__WORKING_LEAD_ONLY	Badehaus-technischer Rivale am selben Besitzer: Arbeitsziel an der Station bereitstellen; keine Vererbung über einen Stationswechsel.	die sichtbare Form beweist ihre Gefäß-, Becken- oder Leitungsfunktion nicht.	No target-visible link makes the celestial instruments medical, and no exact three-section period witness was found.	KEEP_CONTENT_OCCURRENCE_BOUND__KEEP_FORMAL_AND_SEMANTIC_LAYERS_SEPARATE	OPEN_WORKING_THEORY_NOT_DECIPHERMENT
