seam_ordinal	statement_id	physical_page	register	left_event_id	right_event_id	direction	mixed_state_nonstate	state_endpoint_event_id	state_endpoint_changed	shared_action_contacts	shared_action_contact_count	full_action_frame_exact_before	full_action_frame_exact_after	action_head_exact_before	action_head_exact_after	left_gdt567_clause_de	right_gdt567_clause_de	left_action_voice_clause_de	right_action_voice_clause_de	guard
1153	G407-S067	f72r	CELESTIAL	G407-E1219	G407-E1220	STATE_TO_NONSTATE	YES	G407-E1219	NO	NONE	0	0	0	0	0	Danach: auf Grad I; zur Ausführung; an der bezeichneten Stelle.	Bezug: den Positionswert.	Danach: auf Grad I; zur Ausführung; an der bezeichneten Stelle.	Bezug: den Positionswert.	ADJACENCY_ONLY__ACTION_FRAME_DOES_NOT_MERGE_EVENTS
1154	G407-S067	f72r	CELESTIAL	G407-E1220	G407-E1221	NONSTATE_TO_NONSTATE	NO	NOT_APPLICABLE	NOT_APPLICABLE	NONE	0	0	0	0	0	Bezug: den Positionswert.	Setze den Positionswert [wie zuvor]; auf Grad I und als Ausführung.	Bezug: den Positionswert.	Setze den Positionswert [wie zuvor]; auf Grad I und als Ausführung.	ADJACENCY_ONLY__ACTION_FRAME_DOES_NOT_MERGE_EVENTS
1155	G407-S067	f72r	CELESTIAL	G407-E1221	G407-E1222	NONSTATE_TO_NONSTATE	NO	NOT_APPLICABLE	NOT_APPLICABLE	NONE	0	0	0	0	0	Setze den Positionswert [wie zuvor]; auf Grad I und als Ausführung.	Im laufenden Gang setze den Positionswert.	Setze den Positionswert [wie zuvor]; auf Grad I und als Ausführung.	Im laufenden Gang setze den Positionswert.	ADJACENCY_ONLY__ACTION_FRAME_DOES_NOT_MERGE_EVENTS
1156	G407-S067	f72r	CELESTIAL	G407-E1222	G407-E1223	NONSTATE_TO_NONSTATE	NO	NOT_APPLICABLE	NOT_APPLICABLE	NONE	0	0	0	0	0	Im laufenden Gang setze den Positionswert.	Setze den Positionsposten; auf Grad II.	Im laufenden Gang setze den Positionswert.	Setze den Positionsposten; auf Grad II.	ADJACENCY_ONLY__ACTION_FRAME_DOES_NOT_MERGE_EVENTS
1157	G407-S067	f72r	CELESTIAL	G407-E1223	G407-E1224	NONSTATE_TO_NONSTATE	NO	NOT_APPLICABLE	NOT_APPLICABLE	NONE	0	0	0	0	0	Setze den Positionsposten; auf Grad II.	Nimm den Positionsposten [wie zuvor] auf; auf Grad I und als Ausführung.	Setze den Positionsposten; auf Grad II.	Nimm den Positionsposten [wie zuvor] auf; auf Grad I und als Ausführung.	ADJACENCY_ONLY__ACTION_FRAME_DOES_NOT_MERGE_EVENTS
1158	G407-S067	f72r	CELESTIAL	G407-E1224	G407-E1225	NONSTATE_TO_NONSTATE	NO	NOT_APPLICABLE	NOT_APPLICABLE	NONE	0	0	0	0	0	Nimm den Positionsposten [wie zuvor] auf; auf Grad I und als Ausführung.	Ordne den Positionsposten [wie zuvor] zu; zur Zielposition; auf Grad I und als Ausführung.	Nimm den Positionsposten [wie zuvor] auf; auf Grad I und als Ausführung.	Ordne den Positionsposten [wie zuvor] zu; zur Zielposition; auf Grad I und als Ausführung.	ADJACENCY_ONLY__ACTION_FRAME_DOES_NOT_MERGE_EVENTS
1159	G407-S067	f72r	CELESTIAL	G407-E1225	G407-E1226	NONSTATE_TO_STATE	YES	G407-E1226	YES	K:ordne	1	0	1	0	1	Ordne den Positionsposten [wie zuvor] zu; zur Zielposition; auf Grad I und als Ausführung.	Weiter: gib den Positionsposten.	Ordne den Positionsposten [wie zuvor] zu; zur Zielposition; auf Grad I und als Ausführung.	Weiter: ordne den Positionsposten zu.	ADJACENCY_ONLY__ACTION_FRAME_DOES_NOT_MERGE_EVENTS
1160	G407-S067	f72r	CELESTIAL	G407-E1226	G407-E1227	STATE_TO_STATE	NO	NOT_APPLICABLE	NOT_APPLICABLE	NONE	0	0	0	0	0	Weiter: gib den Positionsposten.	Weiter: setze den Positionsposten; auf Grad I.	Weiter: ordne den Positionsposten zu.	Weiter: setze den Positionsposten; auf Grad I.	ADJACENCY_ONLY__ACTION_FRAME_DOES_NOT_MERGE_EVENTS
1161	G407-S067	f72r	CELESTIAL	G407-E1227	G407-E1228	STATE_TO_STATE	NO	NOT_APPLICABLE	NOT_APPLICABLE	NONE	0	0	0	0	0	Weiter: setze den Positionsposten; auf Grad I.	Weiter: setze den Positionsposten.	Weiter: setze den Positionsposten; auf Grad I.	Weiter: setze den Positionsposten.	ADJACENCY_ONLY__ACTION_FRAME_DOES_NOT_MERGE_EVENTS
1162	G407-S067	f72r	CELESTIAL	G407-E1228	G407-E1229	STATE_TO_STATE	NO	NOT_APPLICABLE	NOT_APPLICABLE	NONE	0	0	0	0	0	Weiter: setze den Positionsposten.	Danach: gib den Positionsposten; auf Grad I; zur Ausführung; auf Grad II.	Weiter: setze den Positionsposten.	Danach: ordne den Positionsposten zu; auf Grad I; zur Ausführung; auf Grad II.	ADJACENCY_ONLY__ACTION_FRAME_DOES_NOT_MERGE_EVENTS
1163	G407-S067	f72r	CELESTIAL	G407-E1229	G407-E1230	STATE_TO_NONSTATE	YES	G407-E1229	YES	NONE	0	0	0	0	0	Danach: gib den Positionsposten; auf Grad I; zur Ausführung; auf Grad II.	Stelle den Positionsposten ein; auf Grad I.	Danach: ordne den Positionsposten zu; auf Grad I; zur Ausführung; auf Grad II.	Stelle den Positionsposten ein; auf Grad I.	ADJACENCY_ONLY__ACTION_FRAME_DOES_NOT_MERGE_EVENTS
1164	G407-S067	f72r	CELESTIAL	G407-E1230	G407-E1231	NONSTATE_TO_NONSTATE	NO	NOT_APPLICABLE	NOT_APPLICABLE	NONE	0	0	0	0	0	Stelle den Positionsposten ein; auf Grad I.	Setze den Positionswert.	Stelle den Positionsposten ein; auf Grad I.	Setze den Positionswert.	ADJACENCY_ONLY__ACTION_FRAME_DOES_NOT_MERGE_EVENTS
1165	G407-S067	f72r	CELESTIAL	G407-E1231	G407-E1232	NONSTATE_TO_NONSTATE	NO	NOT_APPLICABLE	NOT_APPLICABLE	NONE	0	0	0	0	0	Setze den Positionswert.	Setze den Positionswert [wie zuvor] und nimm den Positionswert [wie zuvor] auf; zur Zielposition.	Setze den Positionswert.	Setze den Positionswert [wie zuvor] und nimm den Positionswert [wie zuvor] auf; zur Zielposition.	ADJACENCY_ONLY__ACTION_FRAME_DOES_NOT_MERGE_EVENTS
1166	G407-S067	f72r	CELESTIAL	G407-E1232	G407-E1233	NONSTATE_TO_NONSTATE	NO	NOT_APPLICABLE	NOT_APPLICABLE	NONE	0	0	0	0	0	Setze den Positionswert [wie zuvor] und nimm den Positionswert [wie zuvor] auf; zur Zielposition.	Im laufenden Gang nimm den Positionsposten auf.	Setze den Positionswert [wie zuvor] und nimm den Positionswert [wie zuvor] auf; zur Zielposition.	Im laufenden Gang nimm den Positionsposten auf.	ADJACENCY_ONLY__ACTION_FRAME_DOES_NOT_MERGE_EVENTS
1167	G407-S067	f72r	CELESTIAL	G407-E1233	G407-E1234	NONSTATE_TO_NONSTATE	NO	NOT_APPLICABLE	NOT_APPLICABLE	NONE	0	0	0	0	0	Im laufenden Gang nimm den Positionsposten auf.	Im laufenden Gang nimm den Positionsposten [wie zuvor] auf; zur Zielposition.	Im laufenden Gang nimm den Positionsposten auf.	Im laufenden Gang nimm den Positionsposten [wie zuvor] auf; zur Zielposition.	ADJACENCY_ONLY__ACTION_FRAME_DOES_NOT_MERGE_EVENTS
1168	G407-S067	f72r	CELESTIAL	G407-E1234	G407-E1235	NONSTATE_TO_NONSTATE	NO	NOT_APPLICABLE	NOT_APPLICABLE	NONE	0	0	0	0	0	Im laufenden Gang nimm den Positionsposten [wie zuvor] auf; zur Zielposition.	Im laufenden Gang nimm den Positionsposten [wie zuvor] auf; als Ausführung.	Im laufenden Gang nimm den Positionsposten [wie zuvor] auf; zur Zielposition.	Im laufenden Gang nimm den Positionsposten [wie zuvor] auf; als Ausführung.	ADJACENCY_ONLY__ACTION_FRAME_DOES_NOT_MERGE_EVENTS
1169	G407-S067	f72r	CELESTIAL	G407-E1235	G407-E1236	NONSTATE_TO_NONSTATE	NO	NOT_APPLICABLE	NOT_APPLICABLE	NONE	0	0	0	0	0	Im laufenden Gang nimm den Positionsposten [wie zuvor] auf; als Ausführung.	Ordne den Positionsposten zu; auf Grad II.	Im laufenden Gang nimm den Positionsposten [wie zuvor] auf; als Ausführung.	Ordne den Positionsposten zu; auf Grad II.	ADJACENCY_ONLY__ACTION_FRAME_DOES_NOT_MERGE_EVENTS
1170	G407-S067	f72r	CELESTIAL	G407-E1236	G407-E1237	NONSTATE_TO_NONSTATE	NO	NOT_APPLICABLE	NOT_APPLICABLE	NONE	0	0	0	0	0	Ordne den Positionsposten zu; auf Grad II.	Im laufenden Gang ordne den Positionswert zu.	Ordne den Positionsposten zu; auf Grad II.	Im laufenden Gang ordne den Positionswert zu.	ADJACENCY_ONLY__ACTION_FRAME_DOES_NOT_MERGE_EVENTS
1171	G407-S067	f72r	CELESTIAL	G407-E1237	G407-E1238	NONSTATE_TO_STATE	YES	G407-E1238	YES	K:ordne	1	0	1	0	1	Im laufenden Gang ordne den Positionswert zu.	Danach: gib den Positionswert; von der Ausgangsposition.	Im laufenden Gang ordne den Positionswert zu.	Danach: ordne den Positionswert zu; von der Ausgangsposition.	ADJACENCY_ONLY__ACTION_FRAME_DOES_NOT_MERGE_EVENTS
1172	G407-S067	f72r	CELESTIAL	G407-E1238	G407-E1239	STATE_TO_NONSTATE	YES	G407-E1238	YES	K:ordne	1	0	1	0	1	Danach: gib den Positionswert; von der Ausgangsposition.	Im laufenden Gang ordne den Positionswert [wie zuvor] zu; zur Zielposition.	Danach: ordne den Positionswert zu; von der Ausgangsposition.	Im laufenden Gang ordne den Positionswert [wie zuvor] zu; zur Zielposition.	ADJACENCY_ONLY__ACTION_FRAME_DOES_NOT_MERGE_EVENTS
1173	G407-S067	f72r	CELESTIAL	G407-E1239	G407-E1240	NONSTATE_TO_STATE	YES	G407-E1240	YES	K:ordne	1	0	1	0	1	Im laufenden Gang ordne den Positionswert [wie zuvor] zu; zur Zielposition.	Danach: gib den Positionswert.	Im laufenden Gang ordne den Positionswert [wie zuvor] zu; zur Zielposition.	Danach: ordne den Positionswert zu.	ADJACENCY_ONLY__ACTION_FRAME_DOES_NOT_MERGE_EVENTS
1174	G407-S067	f72r	CELESTIAL	G407-E1240	G407-E1241	STATE_TO_STATE	NO	NOT_APPLICABLE	NOT_APPLICABLE	NONE	0	0	0	0	0	Danach: gib den Positionswert.	Danach: gib den Positionsposten.	Danach: ordne den Positionswert zu.	Danach: ordne den Positionsposten zu.	ADJACENCY_ONLY__ACTION_FRAME_DOES_NOT_MERGE_EVENTS
1175	G407-S067	f72r	CELESTIAL	G407-E1241	G407-E1242	STATE_TO_NONSTATE	YES	G407-E1241	YES	K:ordne	1	0	1	0	1	Danach: gib den Positionsposten.	Im laufenden Gang ordne den Positionsposten zu; als Ausführung und auf Grad II.	Danach: ordne den Positionsposten zu.	Im laufenden Gang ordne den Positionsposten zu; als Ausführung und auf Grad II.	ADJACENCY_ONLY__ACTION_FRAME_DOES_NOT_MERGE_EVENTS
1176	G407-S067	f72r	CELESTIAL	G407-E1242	G407-E1243	NONSTATE_TO_NONSTATE	NO	NOT_APPLICABLE	NOT_APPLICABLE	NONE	0	0	0	0	0	Im laufenden Gang ordne den Positionsposten zu; als Ausführung und auf Grad II.	Wähle den Positionsposten [wie zuvor].	Im laufenden Gang ordne den Positionsposten zu; als Ausführung und auf Grad II.	Wähle den Positionsposten [wie zuvor].	ADJACENCY_ONLY__ACTION_FRAME_DOES_NOT_MERGE_EVENTS
1177	G407-S067	f72r	CELESTIAL	G407-E1243	G407-E1244	NONSTATE_TO_NONSTATE	NO	NOT_APPLICABLE	NOT_APPLICABLE	NONE	0	0	0	0	0	Wähle den Positionsposten [wie zuvor].	Nimm den Positionsposten [wie zuvor] auf und ordne den Positionsposten [wie zuvor] zu; zur Zielposition.	Wähle den Positionsposten [wie zuvor].	Nimm den Positionsposten [wie zuvor] auf und ordne den Positionsposten [wie zuvor] zu; zur Zielposition.	ADJACENCY_ONLY__ACTION_FRAME_DOES_NOT_MERGE_EVENTS
1178	G407-S067	f72r	CELESTIAL	G407-E1244	G407-E1245	NONSTATE_TO_NONSTATE	NO	NOT_APPLICABLE	NOT_APPLICABLE	NONE	0	0	0	0	0	Nimm den Positionsposten [wie zuvor] auf und ordne den Positionsposten [wie zuvor] zu; zur Zielposition.	Nimm den Positionswert auf und ordne den Positionswert zu.	Nimm den Positionsposten [wie zuvor] auf und ordne den Positionsposten [wie zuvor] zu; zur Zielposition.	Nimm den Positionswert auf und ordne den Positionswert zu.	ADJACENCY_ONLY__ACTION_FRAME_DOES_NOT_MERGE_EVENTS
1179	G407-S067	f72r	CELESTIAL	G407-E1245	G407-E1246	NONSTATE_TO_STATE	YES	G407-E1246	YES	K:ordne	1	0	1	0	1	Nimm den Positionswert auf und ordne den Positionswert zu.	Danach: gib den Positionswert.	Nimm den Positionswert auf und ordne den Positionswert zu.	Danach: ordne den Positionswert zu.	ADJACENCY_ONLY__ACTION_FRAME_DOES_NOT_MERGE_EVENTS
1180	G407-S067	f72r	CELESTIAL	G407-E1246	G407-E1247	STATE_TO_NONSTATE	YES	G407-E1246	YES	K:ordne	1	0	1	0	1	Danach: gib den Positionswert.	Im laufenden Gang ordne den Positionsposten zu.	Danach: ordne den Positionswert zu.	Im laufenden Gang ordne den Positionsposten zu.	ADJACENCY_ONLY__ACTION_FRAME_DOES_NOT_MERGE_EVENTS
1181	G407-S067	f72r	CELESTIAL	G407-E1247	G407-E1248	NONSTATE_TO_NONSTATE	NO	NOT_APPLICABLE	NOT_APPLICABLE	NONE	0	0	0	0	0	Im laufenden Gang ordne den Positionsposten zu.	Im laufenden Gang ordne den Positionsposten [wie zuvor] zu; an der bezeichneten Stelle.	Im laufenden Gang ordne den Positionsposten zu.	Im laufenden Gang ordne den Positionsposten [wie zuvor] zu; an der bezeichneten Stelle.	ADJACENCY_ONLY__ACTION_FRAME_DOES_NOT_MERGE_EVENTS
1182	G407-S067	f72r	CELESTIAL	G407-E1248	G407-E1249	NONSTATE_TO_NONSTATE	NO	NOT_APPLICABLE	NOT_APPLICABLE	NONE	0	0	0	0	0	Im laufenden Gang ordne den Positionsposten [wie zuvor] zu; an der bezeichneten Stelle.	Markiere den Positionsposten [wie zuvor].	Im laufenden Gang ordne den Positionsposten [wie zuvor] zu; an der bezeichneten Stelle.	Markiere den Positionsposten [wie zuvor].	ADJACENCY_ONLY__ACTION_FRAME_DOES_NOT_MERGE_EVENTS
1183	G407-S067	f72r	CELESTIAL	G407-E1249	G407-E1250	NONSTATE_TO_NONSTATE	NO	NOT_APPLICABLE	NOT_APPLICABLE	NONE	0	0	0	0	0	Markiere den Positionsposten [wie zuvor].	Im laufenden Gang markiere den Positionswert.	Markiere den Positionsposten [wie zuvor].	Im laufenden Gang markiere den Positionswert.	ADJACENCY_ONLY__ACTION_FRAME_DOES_NOT_MERGE_EVENTS
1184	G407-S067	f72r	CELESTIAL	G407-E1250	G407-E1251	NONSTATE_TO_NONSTATE	NO	NOT_APPLICABLE	NOT_APPLICABLE	NONE	0	0	0	0	0	Im laufenden Gang markiere den Positionswert.	Im laufenden Gang markiere den Positionswert [wie zuvor]; zur Zielposition.	Im laufenden Gang markiere den Positionswert.	Im laufenden Gang markiere den Positionswert [wie zuvor]; zur Zielposition.	ADJACENCY_ONLY__ACTION_FRAME_DOES_NOT_MERGE_EVENTS
1185	G407-S067	f72r	CELESTIAL	G407-E1251	G407-E1252	NONSTATE_TO_NONSTATE	NO	NOT_APPLICABLE	NOT_APPLICABLE	NONE	0	0	0	0	0	Im laufenden Gang markiere den Positionswert [wie zuvor]; zur Zielposition.	Im laufenden Gang markiere den Positionsposten.	Im laufenden Gang markiere den Positionswert [wie zuvor]; zur Zielposition.	Im laufenden Gang markiere den Positionsposten.	ADJACENCY_ONLY__ACTION_FRAME_DOES_NOT_MERGE_EVENTS
1186	G407-S067	f72r	CELESTIAL	G407-E1252	G407-E1253	NONSTATE_TO_NONSTATE	NO	NOT_APPLICABLE	NOT_APPLICABLE	NONE	0	0	0	0	0	Im laufenden Gang markiere den Positionsposten.	Im laufenden Gang markiere den Positionsposten [wie zuvor]; als Ausführung.	Im laufenden Gang markiere den Positionsposten.	Im laufenden Gang markiere den Positionsposten [wie zuvor]; als Ausführung.	ADJACENCY_ONLY__ACTION_FRAME_DOES_NOT_MERGE_EVENTS
1187	G407-S067	f72r	CELESTIAL	G407-E1253	G407-E1254	NONSTATE_TO_NONSTATE	NO	NOT_APPLICABLE	NOT_APPLICABLE	NONE	0	0	0	0	0	Im laufenden Gang markiere den Positionsposten [wie zuvor]; als Ausführung.	Nimm den Positionswert auf und ordne den Positionswert zu.	Im laufenden Gang markiere den Positionsposten [wie zuvor]; als Ausführung.	Nimm den Positionswert auf und ordne den Positionswert zu.	ADJACENCY_ONLY__ACTION_FRAME_DOES_NOT_MERGE_EVENTS
1188	G407-S067	f72r	CELESTIAL	G407-E1254	G407-E1255	NONSTATE_TO_NONSTATE	NO	NOT_APPLICABLE	NOT_APPLICABLE	NONE	0	0	0	0	0	Nimm den Positionswert auf und ordne den Positionswert zu.	Setze den Positionswert [wie zuvor]; zur Zielposition.	Nimm den Positionswert auf und ordne den Positionswert zu.	Setze den Positionswert [wie zuvor]; zur Zielposition.	ADJACENCY_ONLY__ACTION_FRAME_DOES_NOT_MERGE_EVENTS
1189	G407-S067	f72r	CELESTIAL	G407-E1255	G407-E1256	NONSTATE_TO_NONSTATE	NO	NOT_APPLICABLE	NOT_APPLICABLE	NONE	0	0	0	0	0	Setze den Positionswert [wie zuvor]; zur Zielposition.	Setze den Positionswert [wie zuvor]; zur Zielposition; auf Grad I und als Ausführung.	Setze den Positionswert [wie zuvor]; zur Zielposition.	Setze den Positionswert [wie zuvor]; zur Zielposition; auf Grad I und als Ausführung.	ADJACENCY_ONLY__ACTION_FRAME_DOES_NOT_MERGE_EVENTS
1190	G407-S067	f72r	CELESTIAL	G407-E1256	G407-E1257	NONSTATE_TO_NONSTATE	NO	NOT_APPLICABLE	NOT_APPLICABLE	NONE	0	0	0	0	0	Setze den Positionswert [wie zuvor]; zur Zielposition; auf Grad I und als Ausführung.	Wähle den Positionswert.	Setze den Positionswert [wie zuvor]; zur Zielposition; auf Grad I und als Ausführung.	Wähle den Positionswert.	ADJACENCY_ONLY__ACTION_FRAME_DOES_NOT_MERGE_EVENTS
1191	G407-S067	f72r	CELESTIAL	G407-E1257	G407-E1258	NONSTATE_TO_STATE	YES	G407-E1258	NO	S:wähle	1	1	1	1	1	Wähle den Positionswert.	Danach: wähle den Positionswert; zur Ausführung.	Wähle den Positionswert.	Danach: wähle den Positionswert; zur Ausführung.	ADJACENCY_ONLY__ACTION_FRAME_DOES_NOT_MERGE_EVENTS
1192	G407-S067	f72r	CELESTIAL	G407-E1258	G407-E1259	STATE_TO_STATE	NO	NOT_APPLICABLE	NOT_APPLICABLE	NONE	0	0	0	0	0	Danach: wähle den Positionswert; zur Ausführung.	Danach: wähle den Positionswert; auf Grad II.	Danach: wähle den Positionswert; zur Ausführung.	Danach: wähle den Positionswert; auf Grad II.	ADJACENCY_ONLY__ACTION_FRAME_DOES_NOT_MERGE_EVENTS
1193	G407-S068	f72r	CELESTIAL	G407-E1260	G407-E1261	STATE_TO_NONSTATE	YES	G407-E1260	NO	NONE	0	0	0	0	0	Danach: Bezug auf den Positionsposten; auf Grad II.	Stelle den Positionsposten ein; auf Grad I.	Danach: Bezug auf den Positionsposten; auf Grad II.	Stelle den Positionsposten ein; auf Grad I.	ADJACENCY_ONLY__ACTION_FRAME_DOES_NOT_MERGE_EVENTS
1194	G407-S068	f72r	CELESTIAL	G407-E1261	G407-E1262	NONSTATE_TO_NONSTATE	NO	NOT_APPLICABLE	NOT_APPLICABLE	NONE	0	0	0	0	0	Stelle den Positionsposten ein; auf Grad I.	Stelle den Positionsposten [wie zuvor] ein; zur Zielposition; auf Grad I und als Ausführung; an der bezeichneten Stelle.	Stelle den Positionsposten ein; auf Grad I.	Stelle den Positionsposten [wie zuvor] ein; zur Zielposition; auf Grad I und als Ausführung; an der bezeichneten Stelle.	ADJACENCY_ONLY__ACTION_FRAME_DOES_NOT_MERGE_EVENTS
1195	G407-S068	f72r	CELESTIAL	G407-E1262	G407-E1263	NONSTATE_TO_NONSTATE	NO	NOT_APPLICABLE	NOT_APPLICABLE	NONE	0	0	0	0	0	Stelle den Positionsposten [wie zuvor] ein; zur Zielposition; auf Grad I und als Ausführung; an der bezeichneten Stelle.	Setze den Positionsposten; zur Zielposition.	Stelle den Positionsposten [wie zuvor] ein; zur Zielposition; auf Grad I und als Ausführung; an der bezeichneten Stelle.	Setze den Positionsposten; zur Zielposition.	ADJACENCY_ONLY__ACTION_FRAME_DOES_NOT_MERGE_EVENTS
1196	G407-S068	f72r	CELESTIAL	G407-E1263	G407-E1264	NONSTATE_TO_STATE	YES	G407-E1264	NO	OK:setze	1	1	1	1	1	Setze den Positionsposten; zur Zielposition.	Weiter: setze den Positionsposten.	Setze den Positionsposten; zur Zielposition.	Weiter: setze den Positionsposten.	ADJACENCY_ONLY__ACTION_FRAME_DOES_NOT_MERGE_EVENTS
1197	G407-S068	f72r	CELESTIAL	G407-E1264	G407-E1265	STATE_TO_NONSTATE	YES	G407-E1264	NO	NONE	0	0	0	0	0	Weiter: setze den Positionsposten.	Nimm den Positionsposten [wie zuvor] auf; über die Ringverbindung; auf Grad I und als Ausführung.	Weiter: setze den Positionsposten.	Nimm den Positionsposten [wie zuvor] auf; über die Ringverbindung; auf Grad I und als Ausführung.	ADJACENCY_ONLY__ACTION_FRAME_DOES_NOT_MERGE_EVENTS
1198	G407-S068	f72r	CELESTIAL	G407-E1265	G407-E1266	NONSTATE_TO_STATE	YES	G407-E1266	YES	CH:nimm	1	0	1	1	1	Nimm den Positionsposten [wie zuvor] auf; über die Ringverbindung; auf Grad I und als Ausführung.	Weiter: nimm den Positionsposten.	Nimm den Positionsposten [wie zuvor] auf; über die Ringverbindung; auf Grad I und als Ausführung.	Weiter: nimm den Positionsposten auf.	ADJACENCY_ONLY__ACTION_FRAME_DOES_NOT_MERGE_EVENTS
1199	G407-S068	f72r	CELESTIAL	G407-E1266	G407-E1267	STATE_TO_NONSTATE	YES	G407-E1266	YES	CH:nimm	1	0	1	1	1	Weiter: nimm den Positionsposten.	Im laufenden Gang nimm den Positionswert auf.	Weiter: nimm den Positionsposten auf.	Im laufenden Gang nimm den Positionswert auf.	ADJACENCY_ONLY__ACTION_FRAME_DOES_NOT_MERGE_EVENTS
1200	G407-S068	f72r	CELESTIAL	G407-E1267	G407-E1268	NONSTATE_TO_STATE	YES	G407-E1268	YES	CH:nimm	1	0	1	1	1	Im laufenden Gang nimm den Positionswert auf.	Danach: nimm den Positionswert; auf Grad I; zur Ausführung.	Im laufenden Gang nimm den Positionswert auf.	Danach: nimm den Positionswert auf; auf Grad I; zur Ausführung.	ADJACENCY_ONLY__ACTION_FRAME_DOES_NOT_MERGE_EVENTS
1201	G407-S068	f72r	CELESTIAL	G407-E1268	G407-E1269	STATE_TO_NONSTATE	YES	G407-E1268	YES	CH:nimm	1	0	1	1	1	Danach: nimm den Positionswert; auf Grad I; zur Ausführung.	Im laufenden Gang nimm den Positionswert auf.	Danach: nimm den Positionswert auf; auf Grad I; zur Ausführung.	Im laufenden Gang nimm den Positionswert auf.	ADJACENCY_ONLY__ACTION_FRAME_DOES_NOT_MERGE_EVENTS
1202	G407-S068	f72r	CELESTIAL	G407-E1269	G407-E1270	NONSTATE_TO_NONSTATE	NO	NOT_APPLICABLE	NOT_APPLICABLE	NONE	0	0	0	0	0	Im laufenden Gang nimm den Positionswert auf.	Halte den Positionswert [wie zuvor] und setze den Positionswert [wie zuvor]; zur Zielposition.	Im laufenden Gang nimm den Positionswert auf.	Halte den Positionswert [wie zuvor] und setze den Positionswert [wie zuvor]; zur Zielposition.	ADJACENCY_ONLY__ACTION_FRAME_DOES_NOT_MERGE_EVENTS
1203	G407-S068	f72r	CELESTIAL	G407-E1270	G407-E1271	NONSTATE_TO_STATE	YES	G407-E1271	NO	OK:setze	1	1	1	1	1	Halte den Positionswert [wie zuvor] und setze den Positionswert [wie zuvor]; zur Zielposition.	Danach: setze den Positionsposten; auf Grad I.	Halte den Positionswert [wie zuvor] und setze den Positionswert [wie zuvor]; zur Zielposition.	Danach: setze den Positionsposten; auf Grad I.	ADJACENCY_ONLY__ACTION_FRAME_DOES_NOT_MERGE_EVENTS
1204	G407-S068	f72r	CELESTIAL	G407-E1271	G407-E1272	STATE_TO_STATE	NO	NOT_APPLICABLE	NOT_APPLICABLE	NONE	0	0	0	0	0	Danach: setze den Positionsposten; auf Grad I.	Danach: setze den Positionswert.	Danach: setze den Positionsposten; auf Grad I.	Danach: setze den Positionswert.	ADJACENCY_ONLY__ACTION_FRAME_DOES_NOT_MERGE_EVENTS
1205	G407-S068	f72r	CELESTIAL	G407-E1272	G407-E1273	STATE_TO_STATE	NO	NOT_APPLICABLE	NOT_APPLICABLE	NONE	0	0	0	0	0	Danach: setze den Positionswert.	Danach: setze den Positionsposten; zur Zielposition.	Danach: setze den Positionswert.	Danach: setze den Positionsposten; zur Zielposition.	ADJACENCY_ONLY__ACTION_FRAME_DOES_NOT_MERGE_EVENTS
1206	G407-S068	f72r	CELESTIAL	G407-E1273	G407-E1274	STATE_TO_NONSTATE	YES	G407-E1273	NO	OK:setze	1	1	1	1	1	Danach: setze den Positionsposten; zur Zielposition.	Im laufenden Gang setze den Positionsposten [wie zuvor]; zur Zielposition.	Danach: setze den Positionsposten; zur Zielposition.	Im laufenden Gang setze den Positionsposten [wie zuvor]; zur Zielposition.	ADJACENCY_ONLY__ACTION_FRAME_DOES_NOT_MERGE_EVENTS
1207	G407-S068	f72r	CELESTIAL	G407-E1274	G407-E1275	NONSTATE_TO_NONSTATE	NO	NOT_APPLICABLE	NOT_APPLICABLE	NONE	0	0	0	0	0	Im laufenden Gang setze den Positionsposten [wie zuvor]; zur Zielposition.	Setze den Positionsposten; zur Zielposition.	Im laufenden Gang setze den Positionsposten [wie zuvor]; zur Zielposition.	Setze den Positionsposten; zur Zielposition.	ADJACENCY_ONLY__ACTION_FRAME_DOES_NOT_MERGE_EVENTS
1208	G407-S068	f72r	CELESTIAL	G407-E1275	G407-E1276	NONSTATE_TO_STATE	YES	G407-E1276	NO	NONE	0	0	0	0	0	Setze den Positionsposten; zur Zielposition.	Bearbeite den Positionsposten; zur Zielposition; schließe den Schritt.	Setze den Positionsposten; zur Zielposition.	Bearbeite den Positionsposten; zur Zielposition; schließe den Schritt.	ADJACENCY_ONLY__ACTION_FRAME_DOES_NOT_MERGE_EVENTS
1209	G407-S069	f72r	CELESTIAL	G407-E1277	G407-E1278	NONSTATE_TO_NONSTATE	NO	NOT_APPLICABLE	NOT_APPLICABLE	NONE	0	0	0	0	0	Stelle den Positionsposten ein; auf Grad I und auf Grad III.	Setze den Positionsposten [wie zuvor]; zur Zielposition.	Stelle den Positionsposten ein; auf Grad I und auf Grad III.	Setze den Positionsposten [wie zuvor]; zur Zielposition.	ADJACENCY_ONLY__ACTION_FRAME_DOES_NOT_MERGE_EVENTS
1210	G407-S069	f72r	CELESTIAL	G407-E1278	G407-E1279	NONSTATE_TO_NONSTATE	NO	NOT_APPLICABLE	NOT_APPLICABLE	NONE	0	0	0	0	0	Setze den Positionsposten [wie zuvor]; zur Zielposition.	Halte den Positionsposten; auf Grad I.	Setze den Positionsposten [wie zuvor]; zur Zielposition.	Halte den Positionsposten; auf Grad I.	ADJACENCY_ONLY__ACTION_FRAME_DOES_NOT_MERGE_EVENTS
