state_edition_ordinal	event_id	statement_id	physical_page	register	owner_id	surface	final_context_recipe	gdt567_owner_voice_clause_de	action_voice_working_clause_de	owner_bound_control_clause_de	generic_action_chain_de	owner_action_chain_de	action_voice_changed	action_voice_equals_owner_bound	action_voice_card_count	action_voice_card_ids	state_atom_alignment	guard	effective_action_roots	action_topology	effective_argument_roots
151	G407-E0750	G407-S036	f55v	HERBAL	große aromatische Doldenpflanze	otar	OT+AR	Danach: setze den Arbeitswert; vom Ausgangsmaterial.	Danach: setze den Arbeitswert im Arbeitsgang an; vom Ausgangsmaterial.	Danach im laufenden Gang setze den Arbeitswert [wie zuvor] im Arbeitsgang an; vom Ausgangsmaterial.	setze den Arbeitswert	setze den Arbeitswert im Arbeitsgang an	YES	NO	1	GDT568-A02	1:OT=danach | 2:AR=vom Ausgang	EVENT_RECIPE_ROOTS_AND_BOUNDARY_UNCHANGED__ACTION_VOICE_SEPARATE	OK	A	AIIN
152	G407-E0765	G407-S036	f55v	HERBAL	große aromatische Doldenpflanze	otaky	OT+A_ADDR+K+Y	Danach: gib den Pflanzenposten; an der bezeichneten Stelle.	Danach: gib den Pflanzenposten zu; an der bezeichneten Stelle.	Danach gib den Pflanzenposten zu; an der bezeichneten Stelle.	gib den Pflanzenposten	gib den Pflanzenposten zu	YES	NO	1	GDT568-A12	1:OT=danach | 2:A_ADDR=hier | 3:K=geben | 4:Y=den Posten	EVENT_RECIPE_ROOTS_AND_BOUNDARY_UNCHANGED__ACTION_VOICE_SEPARATE	K	A	Y
153	G407-E0767	G407-S036	f55v	HERBAL	große aromatische Doldenpflanze	ol	OL	Weiter: gib den Arbeitswert.	Weiter: gib den Arbeitswert zu.	Weiter im laufenden Gang gib den Arbeitswert [wie zuvor] zu.	gib den Arbeitswert	gib den Arbeitswert zu	YES	NO	1	GDT568-A12	1:OL=weiter	EVENT_RECIPE_ROOTS_AND_BOUNDARY_UNCHANGED__ACTION_VOICE_SEPARATE	K	A	AIIN
154	G407-E0773	G407-S036	f55v	HERBAL	große aromatische Doldenpflanze	otar	OT+AR	Danach: stelle den Arbeitswert ein; vom Ausgangsmaterial.	Danach: stelle den Arbeitswert ein; vom Ausgangsmaterial.	Danach im laufenden Gang stelle den Arbeitswert [wie zuvor] ein; vom Ausgangsmaterial.	stelle den Arbeitswert ein	stelle den Arbeitswert ein	NO	NO	1	GDT568-A17	1:OT=danach | 2:AR=vom Ausgang	EVENT_RECIPE_ROOTS_AND_BOUNDARY_UNCHANGED__ACTION_VOICE_SEPARATE	T	A	AIIN
155	G407-E0777	G407-S036	f55v	HERBAL	große aromatische Doldenpflanze	ol	OL	Weiter: gib den Pflanzenposten.	Weiter: gib den Pflanzenposten zu.	Weiter im laufenden Gang gib den Pflanzenposten [wie zuvor] zu.	gib den Pflanzenposten	gib den Pflanzenposten zu	YES	NO	1	GDT568-A12	1:OL=weiter	EVENT_RECIPE_ROOTS_AND_BOUNDARY_UNCHANGED__ACTION_VOICE_SEPARATE	K	A	Y
156	G407-E0781	G407-S036	f55v	HERBAL	große aromatische Doldenpflanze	oldy	OL+DY	Weiter: gib den Pflanzenposten; schließe den Schritt.	Weiter: gib den Pflanzenposten zu; schließe den Schritt.	Weiter im laufenden Gang gib den Pflanzenposten [wie zuvor] zu; schließe den Schritt.	gib den Pflanzenposten	gib den Pflanzenposten zu	YES	NO	1	GDT568-A12	1:OL=weiter | 2:DY=abschließen	EVENT_RECIPE_ROOTS_AND_BOUNDARY_UNCHANGED__ACTION_VOICE_SEPARATE	K	A	Y
157	G407-E0784	G407-S037	f55v	HERBAL	große aromatische Doldenpflanze	oltchy	OL+T+Y	Weiter: stelle den Pflanzenposten ein.	Weiter: stelle den Pflanzenposten ein.	Weiter stelle den Pflanzenposten ein.	stelle den Pflanzenposten ein	stelle den Pflanzenposten ein	NO	NO	1	GDT568-A17	1:OL=weiter | 2:T=einstellen | 3:Y=den Posten	EVENT_RECIPE_ROOTS_AND_BOUNDARY_UNCHANGED__ACTION_VOICE_SEPARATE	T	A	Y
158	G407-E0791	G407-S037	f55v	HERBAL	große aromatische Doldenpflanze	olkeechy	OL+K+EE+CH+Y	Weiter: gib den Pflanzenposten und nimm den Pflanzenposten; auf Grad II.	Weiter: gib den Pflanzenposten zu und nimm den Pflanzenposten; auf Grad II.	Weiter gib den Pflanzenposten zu und nimm den Pflanzenposten; auf Grad II.	gib den Pflanzenposten und nimm den Pflanzenposten	gib den Pflanzenposten zu und nimm den Pflanzenposten	YES	NO	2	GDT568-A12|GDT568-A07	1:OL=weiter | 2:K=geben | 3:EE=auf Grad II | 4:CH=nehmen | 5:Y=den Posten	EVENT_RECIPE_ROOTS_AND_BOUNDARY_UNCHANGED__ACTION_VOICE_SEPARATE	K|CH	A+A	Y
159	G407-E0796	G407-S037	f55v	HERBAL	große aromatische Doldenpflanze	otam	OT+AM_ADDR	Danach: wähle den Arbeitswert; an der bezeichneten Stelle.	Danach: wähle den Arbeitswert; an der bezeichneten Stelle.	Danach im laufenden Gang wähle den Arbeitswert [wie zuvor]; an der bezeichneten Stelle.	wähle den Arbeitswert	wähle den Arbeitswert	NO	NO	1	GDT568-A14	1:OT=danach | 2:AM_ADDR=hier	EVENT_RECIPE_ROOTS_AND_BOUNDARY_UNCHANGED__ACTION_VOICE_SEPARATE	S	A	AIIN
160	G407-E0801	G407-S038	f56r	HERBAL	stachelköpfiges Kraut in mehreren Reifestufen	oty	OT+Y	Danach: wähle den Pflanzenposten.	Danach: wähle den Pflanzenposten.	Danach im laufenden Gang wähle den Pflanzenposten.	wähle den Pflanzenposten	wähle den Pflanzenposten	NO	NO	1	GDT568-A14	1:OT=danach | 2:Y=den Posten	EVENT_RECIPE_ROOTS_AND_BOUNDARY_UNCHANGED__ACTION_VOICE_SEPARATE	S	A	Y
161	G407-E0802	G407-S038	f56r	HERBAL	stachelköpfiges Kraut in mehreren Reifestufen	esedy	E+S+E+DY	Wähle den Pflanzenposten; auf Grad I; auf Grad I; schließe den Schritt.	Wähle den Pflanzenposten; auf Grad I; auf Grad I; schließe den Schritt.	Wähle den Pflanzenposten [wie zuvor]; auf Grad I und auf Grad I; schließe den Schritt.	wähle den Pflanzenposten	wähle den Pflanzenposten	NO	NO	1	GDT568-A14	1:E=auf Grad I | 2:S=wählen | 3:E=auf Grad I | 4:DY=abschließen	EVENT_RECIPE_ROOTS_AND_BOUNDARY_UNCHANGED__ACTION_VOICE_SEPARATE	S	A	Y
162	G407-E0808	G407-S039	f56r	HERBAL	stachelköpfiges Kraut in mehreren Reifestufen	chol	OL	Weiter: nimm den Pflanzenposten.	Weiter: nimm den Pflanzenposten.	Weiter im laufenden Gang nimm den Pflanzenposten [wie zuvor].	nimm den Pflanzenposten	nimm den Pflanzenposten	NO	NO	1	GDT568-A07	1:OL=weiter	EVENT_RECIPE_ROOTS_AND_BOUNDARY_UNCHANGED__ACTION_VOICE_SEPARATE	CH	A	Y
163	G407-E0809	G407-S039	f56r	HERBAL	stachelköpfiges Kraut in mehreren Reifestufen	choly	OL+Y	Weiter: nimm den Pflanzenposten.	Weiter: nimm den Pflanzenposten.	Weiter im laufenden Gang nimm den Pflanzenposten.	nimm den Pflanzenposten	nimm den Pflanzenposten	NO	NO	1	GDT568-A07	1:OL=weiter | 2:Y=den Posten	EVENT_RECIPE_ROOTS_AND_BOUNDARY_UNCHANGED__ACTION_VOICE_SEPARATE	CH	A	Y
164	G407-E0812	G407-S039	f56r	HERBAL	stachelköpfiges Kraut in mehreren Reifestufen	choty	CH+OT+Y	Danach: nimm den Pflanzenposten.	Danach: nimm den Pflanzenposten.	Danach nimm den Pflanzenposten.	nimm den Pflanzenposten	nimm den Pflanzenposten	NO	NO	1	GDT568-A07	1:CH=nehmen | 2:OT=danach | 3:Y=den Posten	EVENT_RECIPE_ROOTS_AND_BOUNDARY_UNCHANGED__ACTION_VOICE_SEPARATE	CH	A	Y
165	G407-E0814	G407-S039	f56r	HERBAL	stachelköpfiges Kraut in mehreren Reifestufen	olchey	OL+Y	Weiter: setze den Pflanzenposten.	Weiter: setze den Pflanzenposten im Arbeitsgang an.	Weiter im laufenden Gang setze den Pflanzenposten im Arbeitsgang an.	setze den Pflanzenposten	setze den Pflanzenposten im Arbeitsgang an	YES	NO	1	GDT568-A02	1:OL=weiter | 2:Y=den Posten	EVENT_RECIPE_ROOTS_AND_BOUNDARY_UNCHANGED__ACTION_VOICE_SEPARATE	OK	A	Y
166	G407-E0815	G407-S039	f56r	HERBAL	stachelköpfiges Kraut in mehreren Reifestufen	chokchol	OK+OL	Weiter: setze den Pflanzenposten.	Weiter: setze den Pflanzenposten im Arbeitsgang an.	Weiter setze den Pflanzenposten [wie zuvor] im Arbeitsgang an.	setze den Pflanzenposten	setze den Pflanzenposten im Arbeitsgang an	YES	NO	1	GDT568-A02	1:OK=setzen | 2:OL=weiter	EVENT_RECIPE_ROOTS_AND_BOUNDARY_UNCHANGED__ACTION_VOICE_SEPARATE	OK	A	Y
167	G407-E0821	G407-S039	f56r	HERBAL	stachelköpfiges Kraut in mehreren Reifestufen	qot	OT	Danach: wähle den Pflanzenposten.	Danach: wähle den Pflanzenposten.	Danach im laufenden Gang wähle den Pflanzenposten [wie zuvor].	wähle den Pflanzenposten	wähle den Pflanzenposten	NO	NO	1	GDT568-A14	1:OT=danach	EVENT_RECIPE_ROOTS_AND_BOUNDARY_UNCHANGED__ACTION_VOICE_SEPARATE	S	A	Y
168	G407-E0840	G407-S039	f56r	HERBAL	stachelköpfiges Kraut in mehreren Reifestufen	kchol	K+OL	Weiter: gib den Pflanzenposten.	Weiter: gib den Pflanzenposten zu.	Weiter gib den Pflanzenposten [wie zuvor] zu.	gib den Pflanzenposten	gib den Pflanzenposten zu	YES	NO	1	GDT568-A12	1:K=geben | 2:OL=weiter	EVENT_RECIPE_ROOTS_AND_BOUNDARY_UNCHANGED__ACTION_VOICE_SEPARATE	K	A	Y
169	G407-E0841	G407-S039	f56r	HERBAL	stachelköpfiges Kraut in mehreren Reifestufen	otchor	OT+CH+OR	Danach: nimm die Arbeitseinheit.	Danach: nimm die Arbeitseinheit.	Danach nimm die Arbeitseinheit.	nimm die Arbeitseinheit	nimm die Arbeitseinheit	NO	NO	1	GDT568-A07	1:OT=danach | 2:CH=nehmen | 3:OR=die Einheit	EVENT_RECIPE_ROOTS_AND_BOUNDARY_UNCHANGED__ACTION_VOICE_SEPARATE	CH	A	OR
170	G407-E0847	G407-S039	f56r	HERBAL	stachelköpfiges Kraut in mehreren Reifestufen	cheeckhody	CH+EE+CH+K+O+DY	Nimm den Pflanzenposten und nimm den Pflanzenposten und gib den Pflanzenposten; auf Grad II; zur Ausführung; schließe den Schritt.	Nimm den Pflanzenposten und nimm den Pflanzenposten und gib den Pflanzenposten zu; auf Grad II; zur Ausführung; schließe den Schritt.	Nimm den Pflanzenposten [wie zuvor], nimm den Pflanzenposten [wie zuvor] und gib den Pflanzenposten [wie zuvor] zu; auf Grad II und als Ausführung; schließe den Schritt.	nimm den Pflanzenposten und nimm den Pflanzenposten und gib den Pflanzenposten	nimm den Pflanzenposten und nimm den Pflanzenposten und gib den Pflanzenposten zu	YES	NO	2	GDT568-A07|GDT568-A12	1:CH=nehmen | 2:EE=auf Grad II | 3:CH=nehmen | 4:K=geben | 5:O=zur Ausführung | 6:DY=abschließen	EVENT_RECIPE_ROOTS_AND_BOUNDARY_UNCHANGED__ACTION_VOICE_SEPARATE	CH|CH|K	A+A+A	Y
171	G407-E0849	G407-S040	f56r	HERBAL	stachelköpfiges Kraut in mehreren Reifestufen	kchol	K+OL	Weiter: gib den Pflanzenposten.	Weiter: gib den Pflanzenposten zu.	Weiter gib den Pflanzenposten [wie zuvor] zu.	gib den Pflanzenposten	gib den Pflanzenposten zu	YES	NO	1	GDT568-A12	1:K=geben | 2:OL=weiter	EVENT_RECIPE_ROOTS_AND_BOUNDARY_UNCHANGED__ACTION_VOICE_SEPARATE	K	A	Y
172	G407-E0850	G407-S040	f56r	HERBAL	stachelköpfiges Kraut in mehreren Reifestufen	shol	SH+OL	Weiter: halte den Pflanzenposten.	Weiter: halte den Pflanzenposten.	Weiter halte den Pflanzenposten [wie zuvor].	halte den Pflanzenposten	halte den Pflanzenposten	NO	NO	1	GDT568-A10	1:SH=halten | 2:OL=weiter	EVENT_RECIPE_ROOTS_AND_BOUNDARY_UNCHANGED__ACTION_VOICE_SEPARATE	SH	A	Y
173	G407-E0851	G407-S040	f56r	HERBAL	stachelköpfiges Kraut in mehreren Reifestufen	chotchey	CH+OT+CH+E+Y	Danach: nimm den Pflanzenposten und nimm den Pflanzenposten; auf Grad I.	Danach: nimm den Pflanzenposten und nimm den Pflanzenposten; auf Grad I.	Danach nimm den Pflanzenposten und nimm den Pflanzenposten; auf Grad I.	nimm den Pflanzenposten und nimm den Pflanzenposten	nimm den Pflanzenposten und nimm den Pflanzenposten	NO	NO	1	GDT568-A07	1:CH=nehmen | 2:OT=danach | 3:CH=nehmen | 4:E=auf Grad I | 5:Y=den Posten	EVENT_RECIPE_ROOTS_AND_BOUNDARY_UNCHANGED__ACTION_VOICE_SEPARATE	CH|CH	A+A	Y
174	G407-E0852	G407-S040	f56r	HERBAL	stachelköpfiges Kraut in mehreren Reifestufen	tchol	T+OL	Weiter: stelle den Pflanzenposten ein.	Weiter: stelle den Pflanzenposten ein.	Weiter stelle den Pflanzenposten [wie zuvor] ein.	stelle den Pflanzenposten ein	stelle den Pflanzenposten ein	NO	NO	1	GDT568-A17	1:T=einstellen | 2:OL=weiter	EVENT_RECIPE_ROOTS_AND_BOUNDARY_UNCHANGED__ACTION_VOICE_SEPARATE	T	A	Y
175	G407-E0855	G407-S040	f56r	HERBAL	stachelköpfiges Kraut in mehreren Reifestufen	otchy	OT+CH+Y	Danach: nimm den Pflanzenposten.	Danach: nimm den Pflanzenposten.	Danach nimm den Pflanzenposten.	nimm den Pflanzenposten	nimm den Pflanzenposten	NO	NO	1	GDT568-A07	1:OT=danach | 2:CH=nehmen | 3:Y=den Posten	EVENT_RECIPE_ROOTS_AND_BOUNDARY_UNCHANGED__ACTION_VOICE_SEPARATE	CH	A	Y
176	G407-E0865	G407-S040	f56r	HERBAL	stachelköpfiges Kraut in mehreren Reifestufen	cthol	CH+T+OL	Weiter: nimm den Arbeitswert und stelle den Arbeitswert ein.	Weiter: nimm den Arbeitswert und stelle den Arbeitswert ein.	Weiter nimm den Arbeitswert [wie zuvor] und stelle den Arbeitswert [wie zuvor] ein.	nimm den Arbeitswert und stelle den Arbeitswert ein	nimm den Arbeitswert und stelle den Arbeitswert ein	NO	NO	2	GDT568-A07|GDT568-A17	1:CH=nehmen | 2:T=einstellen | 3:OL=weiter	EVENT_RECIPE_ROOTS_AND_BOUNDARY_UNCHANGED__ACTION_VOICE_SEPARATE	CH|T	A+A	AIIN
177	G407-E0876	G407-S040	f56r	HERBAL	stachelköpfiges Kraut in mehreren Reifestufen	chol	OL	Weiter: wähle den Pflanzenposten.	Weiter: wähle den Pflanzenposten.	Weiter im laufenden Gang wähle den Pflanzenposten [wie zuvor].	wähle den Pflanzenposten	wähle den Pflanzenposten	NO	NO	1	GDT568-A14	1:OL=weiter	EVENT_RECIPE_ROOTS_AND_BOUNDARY_UNCHANGED__ACTION_VOICE_SEPARATE	S	A	Y
178	G407-E0877	G407-S040	f56r	HERBAL	stachelköpfiges Kraut in mehreren Reifestufen	chotol	CH+OT+OL	Danach: nimm den Pflanzenposten; weiterführen.	Danach: nimm den Pflanzenposten; weiterführen.	Danach und weiter nimm den Pflanzenposten [wie zuvor].	nimm den Pflanzenposten	nimm den Pflanzenposten	NO	NO	1	GDT568-A07	1:CH=nehmen | 2:OT=danach | 3:OL=weiter	EVENT_RECIPE_ROOTS_AND_BOUNDARY_UNCHANGED__ACTION_VOICE_SEPARATE	CH	A	Y
179	G407-E0878	G407-S040	f56r	HERBAL	stachelköpfiges Kraut in mehreren Reifestufen	qotchy	OT+Y	Danach: nimm den Pflanzenposten.	Danach: nimm den Pflanzenposten.	Danach im laufenden Gang nimm den Pflanzenposten.	nimm den Pflanzenposten	nimm den Pflanzenposten	NO	NO	1	GDT568-A07	1:OT=danach | 2:Y=den Posten	EVENT_RECIPE_ROOTS_AND_BOUNDARY_UNCHANGED__ACTION_VOICE_SEPARATE	CH	A	Y
180	G407-E0880	G407-S040	f56r	HERBAL	stachelköpfiges Kraut in mehreren Reifestufen	tchol	T+OL	Weiter: stelle den Pflanzenposten ein.	Weiter: stelle den Pflanzenposten ein.	Weiter stelle den Pflanzenposten [wie zuvor] ein.	stelle den Pflanzenposten ein	stelle den Pflanzenposten ein	NO	NO	1	GDT568-A17	1:T=einstellen | 2:OL=weiter	EVENT_RECIPE_ROOTS_AND_BOUNDARY_UNCHANGED__ACTION_VOICE_SEPARATE	T	A	Y
181	G407-E0881	G407-S040	f56r	HERBAL	stachelköpfiges Kraut in mehreren Reifestufen	chol	OL	Weiter: stelle den Pflanzenposten ein.	Weiter: stelle den Pflanzenposten ein.	Weiter im laufenden Gang stelle den Pflanzenposten [wie zuvor] ein.	stelle den Pflanzenposten ein	stelle den Pflanzenposten ein	NO	NO	1	GDT568-A17	1:OL=weiter	EVENT_RECIPE_ROOTS_AND_BOUNDARY_UNCHANGED__ACTION_VOICE_SEPARATE	T	A	Y
182	G407-E0883	G407-S040	f56r	HERBAL	stachelköpfiges Kraut in mehreren Reifestufen	qotchy	OT+Y	Danach: stelle den Pflanzenposten ein.	Danach: stelle den Pflanzenposten ein.	Danach im laufenden Gang stelle den Pflanzenposten ein.	stelle den Pflanzenposten ein	stelle den Pflanzenposten ein	NO	NO	1	GDT568-A17	1:OT=danach | 2:Y=den Posten	EVENT_RECIPE_ROOTS_AND_BOUNDARY_UNCHANGED__ACTION_VOICE_SEPARATE	T	A	Y
183	G407-E0898	G407-S040	f56r	HERBAL	stachelköpfiges Kraut in mehreren Reifestufen	sotodan	S+OT+O+D_ADDR+AN	Danach: wähle den Pflanzenposten; zur Ausführung; an der bezeichneten Stelle; als Klasse.	Danach: wähle den Pflanzenposten; zur Ausführung; an der bezeichneten Stelle; als Klasse.	Danach wähle den Pflanzenposten [wie zuvor]; als Ausführung; an der bezeichneten Stelle und in der bezeichneten Klasse.	wähle den Pflanzenposten	wähle den Pflanzenposten	NO	NO	1	GDT568-A14	1:S=wählen | 2:OT=danach | 3:O=zur Ausführung | 4:D_ADDR=hier | 5:AN=als Klasse	EVENT_RECIPE_ROOTS_AND_BOUNDARY_UNCHANGED__ACTION_VOICE_SEPARATE	S	A	Y
184	G407-E0899	G407-S040	f56r	HERBAL	stachelköpfiges Kraut in mehreren Reifestufen	otchey	OT+Y	Danach: wähle den Pflanzenposten.	Danach: wähle den Pflanzenposten.	Danach im laufenden Gang wähle den Pflanzenposten.	wähle den Pflanzenposten	wähle den Pflanzenposten	NO	NO	1	GDT568-A14	1:OT=danach | 2:Y=den Posten	EVENT_RECIPE_ROOTS_AND_BOUNDARY_UNCHANGED__ACTION_VOICE_SEPARATE	S	A	Y
185	G407-E0900	G407-S040	f56r	HERBAL	stachelköpfiges Kraut in mehreren Reifestufen	keol	K+E+OL	Weiter: gib den Pflanzenposten; auf Grad I.	Weiter: gib den Pflanzenposten zu; auf Grad I.	Weiter gib den Pflanzenposten [wie zuvor] zu; auf Grad I.	gib den Pflanzenposten	gib den Pflanzenposten zu	YES	NO	1	GDT568-A12	1:K=geben | 2:E=auf Grad I | 3:OL=weiter	EVENT_RECIPE_ROOTS_AND_BOUNDARY_UNCHANGED__ACTION_VOICE_SEPARATE	K	A	Y
186	G407-E0902	G407-S041	f67r2	CELESTIAL	zwei getrennte Himmelsräder und Tabelle	opodchol	O+P+O+D_ADDR+OL	Weiter: setze ein; zur Ausführung; zur Ausführung; an der bezeichneten Stelle.	Weiter: setze ein; zur Ausführung; zur Ausführung; an der bezeichneten Stelle.	Weiter setze ein; als Ausführung und als Ausführung; an der bezeichneten Stelle.	setze ein	setze ein	NO	NO	1	GDT568-A20	1:O=zur Ausführung | 2:P=einsetzen | 3:O=zur Ausführung | 4:D_ADDR=hier | 5:OL=weiter	EVENT_RECIPE_ROOTS_AND_BOUNDARY_UNCHANGED__ACTION_VOICE_SEPARATE	P	A	NONE
187	G407-E0908	G407-S041	f67r2	CELESTIAL	zwei getrennte Himmelsräder und Tabelle	oldy	OL+DY	Weiter: wähle den Positionsposten; schließe den Schritt.	Weiter: wähle den Positionsposten; schließe den Schritt.	Weiter im laufenden Gang wähle den Positionsposten [wie zuvor]; schließe den Schritt.	wähle den Positionsposten	wähle den Positionsposten	NO	NO	1	GDT568-A14	1:OL=weiter | 2:DY=abschließen	EVENT_RECIPE_ROOTS_AND_BOUNDARY_UNCHANGED__ACTION_VOICE_SEPARATE	S	A	Y
188	G407-E0913	G407-S042	f67r2	CELESTIAL	zwei getrennte Himmelsräder und Tabelle	otchey	OT+Y	Danach: gib den Positionsposten.	Danach: ordne den Positionsposten zu.	Danach im laufenden Gang ordne den Positionsposten zu.	gib den Positionsposten	ordne den Positionsposten zu	YES	NO	1	GDT568-A11	1:OT=danach | 2:Y=den Posten	EVENT_RECIPE_ROOTS_AND_BOUNDARY_UNCHANGED__ACTION_VOICE_SEPARATE	K	A	Y
189	G407-E0941	G407-S044	f67r2	CELESTIAL	zwei getrennte Himmelsräder und Tabelle	ytody	Y+T+O+DY	Stelle den Positionsposten ein; zur Ausführung; schließe den Schritt.	Stelle den Positionsposten ein; zur Ausführung; schließe den Schritt.	Stelle den Positionsposten ein; als Ausführung; schließe den Schritt.	stelle den Positionsposten ein	stelle den Positionsposten ein	NO	NO	1	GDT568-A17	1:Y=den Posten | 2:T=einstellen | 3:O=zur Ausführung | 4:DY=abschließen	EVENT_RECIPE_ROOTS_AND_BOUNDARY_UNCHANGED__ACTION_VOICE_SEPARATE	T	A	Y
190	G407-E0943	G407-S045	f67r2	CELESTIAL	zwei getrennte Himmelsräder und Tabelle	ochol	O+OL	Weiter: wähle den Positionswert; zur Ausführung.	Weiter: wähle den Positionswert; zur Ausführung.	Weiter im laufenden Gang wähle den Positionswert [wie zuvor]; als Ausführung.	wähle den Positionswert	wähle den Positionswert	NO	NO	1	GDT568-A14	1:O=zur Ausführung | 2:OL=weiter	EVENT_RECIPE_ROOTS_AND_BOUNDARY_UNCHANGED__ACTION_VOICE_SEPARATE	S	A	AIIN
191	G407-E0944	G407-S045	f67r2	CELESTIAL	zwei getrennte Himmelsräder und Tabelle	olol	OL+OL	Weiter: wähle den Positionswert; nochmals weiterführen.	Weiter: wähle den Positionswert; nochmals weiterführen.	Weiter und weiter im laufenden Gang wähle den Positionswert [wie zuvor].	wähle den Positionswert	wähle den Positionswert	NO	NO	1	GDT568-A14	1:OL=weiter | 2:OL=weiter	EVENT_RECIPE_ROOTS_AND_BOUNDARY_UNCHANGED__ACTION_VOICE_SEPARATE	S	A	AIIN
192	G407-E0952	G407-S047	f67r2	CELESTIAL	zwei getrennte Himmelsräder und Tabelle	chol	OL	Weiter: setze den Positionswert.	Weiter: setze den Positionswert.	Weiter im laufenden Gang setze den Positionswert [wie zuvor].	setze den Positionswert	setze den Positionswert	NO	NO	1	GDT568-A03	1:OL=weiter	EVENT_RECIPE_ROOTS_AND_BOUNDARY_UNCHANGED__ACTION_VOICE_SEPARATE	OK	A	AIIN
193	G407-E0954	G407-S047	f67r2	CELESTIAL	zwei getrennte Himmelsräder und Tabelle	okol	OK+OL	Weiter: setze den Positionswert.	Weiter: setze den Positionswert.	Weiter setze den Positionswert [wie zuvor].	setze den Positionswert	setze den Positionswert	NO	NO	1	GDT568-A03	1:OK=setzen | 2:OL=weiter	EVENT_RECIPE_ROOTS_AND_BOUNDARY_UNCHANGED__ACTION_VOICE_SEPARATE	OK	A	AIIN
194	G407-E0958	G407-S048	f67r2	CELESTIAL	zwei getrennte Himmelsräder und Tabelle	otoldos	OT+OL+D_ADDR+O+S	Danach: wähle die Positionseinheit; an der bezeichneten Stelle; zur Ausführung; weiterführen.	Danach: wähle die Positionseinheit; an der bezeichneten Stelle; zur Ausführung; weiterführen.	Danach und weiter wähle die Positionseinheit [wie zuvor]; als Ausführung; an der bezeichneten Stelle.	wähle die Positionseinheit	wähle die Positionseinheit	NO	NO	1	GDT568-A14	1:OT=danach | 2:OL=weiter | 3:D_ADDR=hier | 4:O=zur Ausführung | 5:S=wählen	EVENT_RECIPE_ROOTS_AND_BOUNDARY_UNCHANGED__ACTION_VOICE_SEPARATE	S	A	OR
195	G407-E0959	G407-S048	f67r2	CELESTIAL	zwei getrennte Himmelsräder und Tabelle	octhole	O+CH+T+OL+E	Weiter: nimm die Positionseinheit und stelle die Positionseinheit ein; zur Ausführung; auf Grad I.	Weiter: nimm die Positionseinheit auf und stelle die Positionseinheit ein; zur Ausführung; auf Grad I.	Weiter nimm die Positionseinheit [wie zuvor] auf und stelle die Positionseinheit [wie zuvor] ein; als Ausführung und auf Grad I.	nimm die Positionseinheit und stelle die Positionseinheit ein	nimm die Positionseinheit auf und stelle die Positionseinheit ein	YES	NO	2	GDT568-A08|GDT568-A17	1:O=zur Ausführung | 2:CH=nehmen | 3:T=einstellen | 4:OL=weiter | 5:E=auf Grad I	EVENT_RECIPE_ROOTS_AND_BOUNDARY_UNCHANGED__ACTION_VOICE_SEPARATE	CH|T	A+A	OR
196	G407-E0975	G407-S048	f67r2	CELESTIAL	zwei getrennte Himmelsräder und Tabelle	ofydy	O+LOCAL_CHAR_F+Y+DY	Wähle den Positionsposten; zur Ausführung; an der bezeichneten Stelle; schließe den Schritt.	Wähle den Positionsposten; zur Ausführung; an der bezeichneten Stelle; schließe den Schritt.	Im laufenden Gang wähle den Positionsposten; als Ausführung; an der bezeichneten Stelle; schließe den Schritt.	wähle den Positionsposten	wähle den Positionsposten	NO	NO	1	GDT568-A14	1:O=zur Ausführung | 2:LOCAL_CHAR_F=hier | 3:Y=den Posten | 4:DY=abschließen	EVENT_RECIPE_ROOTS_AND_BOUNDARY_UNCHANGED__ACTION_VOICE_SEPARATE	S	A	Y
197	G407-E1000	G407-S051	f67r2	CELESTIAL	zwei getrennte Himmelsräder und Tabelle	ydoly	Y+D_ADDR+OL+Y	Weiter: gib die beiden Positionsposten; an der bezeichneten Stelle.	Weiter: ordne die beiden Positionsposten zu; an der bezeichneten Stelle.	Weiter im laufenden Gang ordne den Positionsposten [außen] und den Positionsposten [innen] zu; an der bezeichneten Stelle.	gib die beiden Positionsposten	ordne die beiden Positionsposten zu	YES	NO	1	GDT568-A11	1:Y=den Posten | 2:D_ADDR=hier | 3:OL=weiter | 4:Y=den Posten	EVENT_RECIPE_ROOTS_AND_BOUNDARY_UNCHANGED__ACTION_VOICE_SEPARATE	K	A	Y|Y
198	G407-E1002	G407-S051	f67r2	CELESTIAL	zwei getrennte Himmelsräder und Tabelle	oly	OL+Y	Weiter: wähle den Positionsposten.	Weiter: wähle den Positionsposten.	Weiter im laufenden Gang wähle den Positionsposten.	wähle den Positionsposten	wähle den Positionsposten	NO	NO	1	GDT568-A14	1:OL=weiter | 2:Y=den Posten	EVENT_RECIPE_ROOTS_AND_BOUNDARY_UNCHANGED__ACTION_VOICE_SEPARATE	S	A	Y
199	G407-E1012	G407-S051	f67r2	CELESTIAL	zwei getrennte Himmelsräder und Tabelle	okol	OK+OL	Weiter: setze den Positionswert.	Weiter: setze den Positionswert.	Weiter setze den Positionswert [wie zuvor].	setze den Positionswert	setze den Positionswert	NO	NO	1	GDT568-A03	1:OK=setzen | 2:OL=weiter	EVENT_RECIPE_ROOTS_AND_BOUNDARY_UNCHANGED__ACTION_VOICE_SEPARATE	OK	A	AIIN
