statement_id	page	record	events	component_tokens	pocket_core_tokens	specialist_tokens	distinct_specialist_types	statement_class	pocket_core_sequence	specialist_sequence	specialist_values_de	dictation_plan_de	owner_noun_de	surface_sequence	complete_owner_reading_de
B3-S005	f83r	B3	1	2	1	1	1	ONE_SPECIALIST_TYPE	DY	CHD	UMSETZEN	Taschenkern diktieren; Spezialkarte CHD an den belegten Stellen einsetzen.	das runde Mittelgefaess	schedy	Am runden Mittelgefaess: Umsetzen; den Schritt schliessen.
B3-S006	f83r	B3	3	7	5	2	1	ONE_SPECIALIST_TYPE	Y OK AL OL DY	CHD CHD	UMSETZEN · UMSETZEN	Taschenkern diktieren; Spezialkarte CHD an den belegten Stellen einsetzen.	das runde Mittelgefaess	chedchy qokal olchedy	Am runden Mittelgefaess: Den laufenden Posten umsetzen; dann zum Ziel ansetzen; dann weiter umsetzen; den Schritt schliessen.
B3-S007	f83r	B3	3	7	6	1	1	ONE_SPECIALIST_TYPE	OK AIIN Y OK EE DY	CHD	UMSETZEN	Taschenkern diktieren; Spezialkarte CHD an den belegten Stellen einsetzen.	das runde Mittelgefaess	qokaiin chedy qokeedy	Am runden Mittelgefaess: Nach Mass ansetzen; dann den laufenden Posten umsetzen; dann laenger ansetzen; den Schritt schliessen.
B3-S008	f83r	B3	1	3	1	2	2	MULTI_SPECIALIST	DY	L CHD	WEITERLEITEN · UMSETZEN	Taschenkern diktieren; lokale Spezialfolge L+CHD positionsgetreu einsetzen.	das runde Mittelgefaess	lchedy	Am runden Mittelgefaess: Weiterleiten und umsetzen; den Schritt schliessen.
B3-S009	f83r	B3	1	2	2	0	0	POCKET_ONLY	OK Y	NONE	NONE	Taschenkern allein diktieren und Karte nachschlagen.	das runde Mittelgefaess	qoky	Am runden Mittelgefaess: Den laufenden Posten ansetzen.
B3-S010	f83r	B3	2	6	4	2	2	MULTI_SPECIALIST	AL OT E DY	P CHD	EINFUELLEN · UMSETZEN	Taschenkern diktieren; lokale Spezialfolge P+CHD positionsgetreu einsetzen.	das untere Korbgefaess	pchedal otedy	Am unteren Korbgefaess: Am Ziel einfuellen und umsetzen; danach den kurzen Folgeschritt schliessen.
B3-S011	f83r	B3	4	11	7	4	3	MULTI_SPECIALIST	E Y OK Y Y AR Y	SH CTH CHD CHD	HALTEN · BEREIT · UMSETZEN · UMSETZEN	Taschenkern diktieren; lokale Spezialfolge SH+CTH+CHD positionsgetreu einsetzen.	das untere Korbgefaess	shecthedchy qoky chedy chary	Am unteren Korbgefaess: Kurz bis bereit den laufenden Posten halten und umsetzen; dann ihn ansetzen; dann ihn umsetzen; dann ihn aus der Quelle.
B3-S012	f83r	B3	2	3	2	1	1	ONE_SPECIALIST_TYPE	OR DY	SHED	ABSETZEN	Taschenkern diktieren; Spezialkarte SHED an den belegten Stellen einsetzen.	das untere Korbgefaess	sor shedy	Am unteren Korbgefaess: Den Ansatz absetzen lassen und den Schritt schliessen.
B3-S013	f83r	B3	4	10	8	2	2	MULTI_SPECIALIST	OK AIIN K E Y OK E DY	AIN CTH	PORTION · BEREIT	Taschenkern diktieren; lokale Spezialfolge AIN+CTH positionsgetreu einsetzen.	das untere Korbgefaess	qokaiin chkain shcthey qokedy	Am unteren Korbgefaess: Nach Mass ansetzen; dann als Portion zudosieren; dann kurz den laufenden Posten bereithalten; dann kurz ansetzen; den Schritt schliessen.
B3-S014	f83r	B3	2	5	3	2	2	MULTI_SPECIALIST	OK EE DY	AIR SH	LAUF · HALTEN	Taschenkern diktieren; lokale Spezialfolge AIR+SH positionsgetreu einsetzen.	das untere Korbgefaess	okair sheedy	Am unteren Korbgefaess: Die laufende Fluessigkeit ansetzen; dann laenger halten; den Schritt schliessen.
B3-S015	f83r	B3	1	3	1	2	2	MULTI_SPECIALIST	DY	L CHD	WEITERLEITEN · UMSETZEN	Taschenkern diktieren; lokale Spezialfolge L+CHD positionsgetreu einsetzen.	das untere Korbgefaess	lchedy	Am unteren Korbgefaess: Weiterleiten und umsetzen; den Schritt schliessen.
B3-S016	f83r	B3	2	5	3	2	2	MULTI_SPECIALIST	O OK DY	L CHD	WEITERLEITEN · UMSETZEN	Taschenkern diktieren; lokale Spezialfolge L+CHD positionsgetreu einsetzen.	das untere Korbgefaess und der bildlich unverbundene Zwischenabschnitt	lo qokchedy	Am unteren Korbgefaess und im bildlich unverbundenen Zwischenabschnitt: Im Gang weiterleiten; dann ansetzen und umsetzen; den Schritt schliessen.
B3-S017	f83r	B3	1	3	3	0	0	POCKET_ONLY	OK EE DY	NONE	NONE	Taschenkern allein diktieren und Karte nachschlagen.	der bildlich unverbundene Zwischenabschnitt	qokeedy	Im bildlich unverbundenen Zwischenabschnitt: Laenger ansetzen; den Schritt schliessen.
B3-S018	f83r	B3	1	2	1	1	1	ONE_SPECIALIST_TYPE	DY	SHED	ABSETZEN	Taschenkern diktieren; Spezialkarte SHED an den belegten Stellen einsetzen.	der bildlich unverbundene Zwischenabschnitt	shedy	Im bildlich unverbundenen Zwischenabschnitt: Absetzen lassen; den Schritt schliessen.
B3-S019	f83r	B3	1	4	3	1	1	ONE_SPECIALIST_TYPE	OK E DY	SH	HALTEN	Taschenkern diktieren; Spezialkarte SH an den belegten Stellen einsetzen.	der bildlich unverbundene Zwischenabschnitt	qokshedy	Im bildlich unverbundenen Zwischenabschnitt: Kurz ansetzen und halten; den Schritt schliessen.
B3-S020	f83r	B3	2	4	2	2	2	MULTI_SPECIALIST	AL DY	L CHD	WEITERLEITEN · UMSETZEN	Taschenkern diktieren; lokale Spezialfolge L+CHD positionsgetreu einsetzen.	der bildlich unverbundene Zwischenabschnitt	dal lchedy	Im bildlich unverbundenen Zwischenabschnitt: Am Ziel weiterleiten, umsetzen und den Schritt schliessen.
B3-S021	f83r	B3	11	20	14	6	4	MULTI_SPECIALIST	OK AIIN Y AL Y AIIN AL E Y Y AL Y AL DY	CTH SHED SH CTH CTH CHD	BEREIT · ABSETZEN · HALTEN · BEREIT · BEREIT · UMSETZEN	Taschenkern diktieren; lokale Spezialfolge CTH+SHED+SH+CHD positionsgetreu einsetzen.	der bildlich unverbundene Zwischenabschnitt	qokaiin shcthy dal sy saiin shedal shecthy chey tal shcthy dalchdy	Im bildlich unverbundenen Zwischenabschnitt: Nach Mass ansetzen und den Posten bereithalten. Am Ziel nach Mass absetzen und kurz bis zur Bereitschaft halten. Den Posten beibehalten, am Ziel erneut bereithalten, umsetzen und schliessen.
B3-S022	f83r	B3	1	3	2	1	1	ONE_SPECIALIST_TYPE	OT DY	CHD	UMSETZEN	Taschenkern diktieren; Spezialkarte CHD an den belegten Stellen einsetzen.	der bildlich unverbundene Zwischenabschnitt	qotchedy	Im bildlich unverbundenen Zwischenabschnitt: Danach umsetzen; den Schritt schliessen.
B3-S023	f83r	B3	1	3	1	2	2	MULTI_SPECIALIST	DY	L CHD	WEITERLEITEN · UMSETZEN	Taschenkern diktieren; lokale Spezialfolge L+CHD positionsgetreu einsetzen.	der bildlich unverbundene Zwischenabschnitt	lchedy	Im bildlich unverbundenen Zwischenabschnitt: Weiterleiten und umsetzen; den Schritt schliessen.
B3-S024	f83r	B3	1	2	1	1	1	ONE_SPECIALIST_TYPE	DY	CHD	UMSETZEN	Taschenkern diktieren; Spezialkarte CHD an den belegten Stellen einsetzen.	der bildlich unverbundene Zwischenabschnitt	tchedy	Im bildlich unverbundenen Zwischenabschnitt: Umsetzen; den Schritt schliessen.
B3-S025	f83r	B3	1	3	2	1	1	ONE_SPECIALIST_TYPE	OK DY	CHD	UMSETZEN	Taschenkern diktieren; Spezialkarte CHD an den belegten Stellen einsetzen.	der bildlich unverbundene Zwischenabschnitt	qokchdy	Im bildlich unverbundenen Zwischenabschnitt: Ansetzen und umsetzen; den Schritt schliessen.
B3-S026	f83r	B3	7	16	10	6	6	MULTI_SPECIALIST	EE AR AIIN Y OK Y AL OR EE DY	L CHD AIN CTH R SOLK	WEITERLEITEN · UMSETZEN · PORTION · BEREIT · KUEHLEN · AUFFANGEN	Taschenkern diktieren; lokale Spezialfolge L+CHD+AIN+CTH+R+SOLK positionsgetreu einsetzen.	der bildlich unverbundene Zwischenabschnitt und das durch den Bogen verbundene Hauptpaar	cheedar chldaiin chedy qokain checthy chealror solkeedy	Im bildlich unverbundenen Zwischenabschnitt und am durch den Bogen verbundenen Hauptpaar: Laenger aus der Quelle arbeiten; nach Mass weiterleiten, den Posten umsetzen, eine Portion ansetzen und bereithalten; den Ansatz am Ziel kuehlen, laenger auffangen und schliessen.
B3-S027	f83r	B3	1	3	3	0	0	POCKET_ONLY	OT EE DY	NONE	NONE	Taschenkern allein diktieren und Karte nachschlagen.	das durch den Bogen verbundene Hauptpaar	qoteedy	Am durch den Bogen verbundenen Hauptpaar: Danach laenger; den Schritt schliessen.
B3-S028	f83r	B3	2	6	6	0	0	POCKET_ONLY	OK EE Y OK E DY	NONE	NONE	Taschenkern allein diktieren und Karte nachschlagen.	das durch den Bogen verbundene Hauptpaar	qokeey qokedy	Am durch den Bogen verbundenen Hauptpaar: Laenger den laufenden Posten ansetzen; dann kurz ansetzen; den Schritt schliessen.
B3-S029	f83r	B3	3	7	5	2	2	MULTI_SPECIALIST	OL Y OK E DY	EEE T	VOLL · EINTRAGEN	Taschenkern diktieren; lokale Spezialfolge EEE+T positionsgetreu einsetzen.	das durch den Bogen verbundene Hauptpaar	sol cheeety qokedy	Am durch den Bogen verbundenen Hauptpaar: Fortsetzen; dann vollstaendig den laufenden Posten eintragen; dann kurz ansetzen; den Schritt schliessen.
B3-S030	f83r	B3	4	8	5	3	2	MULTI_SPECIALIST	OK Y AIIN OT DY	CHD AIR CHD	UMSETZEN · LAUF · UMSETZEN	Taschenkern diktieren; lokale Spezialfolge CHD+AIR positionsgetreu einsetzen.	das durch den Bogen verbundene Hauptpaar	qoky saiin schedair otchedy	Am durch den Bogen verbundenen Hauptpaar: Den Posten nach Mass ansetzen, die laufende Fluessigkeit umsetzen; danach nochmals umsetzen und schliessen.
B3-S031	f83r	B3	1	3	3	0	0	POCKET_ONLY	OK EE DY	NONE	NONE	Taschenkern allein diktieren und Karte nachschlagen.	das durch den Bogen verbundene Hauptpaar	qokeedy	Am durch den Bogen verbundenen Hauptpaar: Laenger ansetzen; den Schritt schliessen.
B3-S032	f83r	B3	5	12	9	3	2	MULTI_SPECIALIST	Y OT E AIIN OT AIIN OT E DY	CHD AIN CHD	UMSETZEN · PORTION · UMSETZEN	Taschenkern diktieren; lokale Spezialfolge CHD+AIN positionsgetreu einsetzen.	das durch den Bogen verbundene Hauptpaar	chedain chedy qotedaiin otaiin otedy	Am durch den Bogen verbundenen Hauptpaar: Eine Portion und dann den laufenden Posten umsetzen; danach kurz nach Mass, anschliessend nochmals nach Mass und den folgenden Kurzschritt schliessen.
B3-S033	f83r	B3	1	2	1	1	1	ONE_SPECIALIST_TYPE	DY	L	WEITERLEITEN	Taschenkern diktieren; Spezialkarte L an den belegten Stellen einsetzen.	das durch den Bogen verbundene Hauptpaar	ldy	Am durch den Bogen verbundenen Hauptpaar: Weiterleiten; den Schritt schliessen.
B3-S034	f83r	B3	6	13	9	4	4	MULTI_SPECIALIST	O Y Y OT AIIN OL AL Y DY	IIN CTH T SHED	STUFE · BEREIT · EINTRAGEN · ABSETZEN	Taschenkern diktieren; lokale Spezialfolge IIN+CTH+T+SHED positionsgetreu einsetzen.	das durch den Bogen verbundene Hauptpaar	soiiin checthy chety otaiin olsaly shedy	Am durch den Bogen verbundenen Hauptpaar: Den Gang bis zur Stufe fuehren; den Posten bereithalten und eintragen; danach nach Mass am Ziel weiterfuehren, absetzen und schliessen.
B4-S001	f83r	B4	1	3	3	0	0	POCKET_ONLY	OK EE DY	NONE	NONE	Taschenkern allein diktieren und Karte nachschlagen.	das zweite durch den Bogen verbundene Hauptpaar	qokeedy	Am zweiten durch den Bogen verbundenen Hauptpaar: Laenger ansetzen und den Schritt schliessen.
B4-S002	f83r	B4	3	8	8	0	0	POCKET_ONLY	OL Y OK EE Y OK E DY	NONE	NONE	Taschenkern allein diktieren und Karte nachschlagen.	das zweite durch den Bogen verbundene Hauptpaar	qolchey qokeey qokedy	Am zweiten durch den Bogen verbundenen Hauptpaar: Den laufenden Posten fortsetzen; dann ihn laenger ansetzen; dann kurz ansetzen; den Schritt schliessen.
B4-S003	f83r	B4	7	14	12	2	2	MULTI_SPECIALIST	Y OT AL OT Y OK EE Y OK Y OL DY	CHD SHED	UMSETZEN · ABSETZEN	Taschenkern diktieren; lokale Spezialfolge CHD+SHED positionsgetreu einsetzen.	das zweite durch den Bogen verbundene Hauptpaar	chedy otal otchey qokeey qoky tol shedy	Am zweiten durch den Bogen verbundenen Hauptpaar: Den Posten umsetzen; danach zum Ziel und zum naechsten Posten wechseln; diesen laenger ansetzen, weiter ansetzen, fortsetzen, absetzen und schliessen.
B4-S004	f83r	B4	1	4	3	1	1	ONE_SPECIALIST_TYPE	OK Y DY	LD	BEFESTIGEN	Taschenkern diktieren; Spezialkarte LD an den belegten Stellen einsetzen.	das zweite durch den Bogen verbundene Hauptpaar	qokylddy	Am zweiten durch den Bogen verbundenen Hauptpaar: Den laufenden Posten ansetzen und befestigen; den Schritt schliessen.
B4-S005	f83r	B4	3	6	4	2	2	MULTI_SPECIALIST	Y OK EE DY	AIN CHD	PORTION · UMSETZEN	Taschenkern diktieren; lokale Spezialfolge AIN+CHD positionsgetreu einsetzen.	das zweite durch den Bogen verbundene Hauptpaar	dain chedy qokeedy	Am zweiten durch den Bogen verbundenen Hauptpaar: Eine Portion als laufenden Posten umsetzen, laenger ansetzen und den Schritt schliessen.
B4-S006	f83r	B4	1	4	2	2	2	MULTI_SPECIALIST	E DY	SH CKH	HALTEN · DURCHLASS	Taschenkern diktieren; lokale Spezialfolge SH+CKH positionsgetreu einsetzen.	das zweite durch den Bogen verbundene Hauptpaar	shckhedy	Am zweiten durch den Bogen verbundenen Hauptpaar: Kurz durch den Durchlass halten; den Schritt schliessen.
B4-S007	f83r	B4	1	4	2	2	2	MULTI_SPECIALIST	E DY	SH CKH	HALTEN · DURCHLASS	Taschenkern diktieren; lokale Spezialfolge SH+CKH positionsgetreu einsetzen.	das zweite durch den Bogen verbundene Hauptpaar	shckhedy	Am zweiten durch den Bogen verbundenen Hauptpaar: Kurz durch den Durchlass halten; den Schritt schliessen.
B4-S008	f83r	B4	4	10	8	2	2	MULTI_SPECIALIST	AIIN EE Y EE Y OK E DY	CHK SH	WAERMEN · HALTEN	Taschenkern diktieren; lokale Spezialfolge CHK+SH positionsgetreu einsetzen.	das zweite durch den Bogen verbundene Hauptpaar	saiin cheeky sheey qokedy	Am zweiten durch den Bogen verbundenen Hauptpaar: Nach Mass den Posten laenger erwaermen, laenger halten, kurz ansetzen und schliessen.
B4-S009	f83r	B4	1	2	1	1	1	ONE_SPECIALIST_TYPE	DY	SHED	ABSETZEN	Taschenkern diktieren; Spezialkarte SHED an den belegten Stellen einsetzen.	das zweite durch den Bogen verbundene Hauptpaar	shedy	Am zweiten durch den Bogen verbundenen Hauptpaar: Absetzen lassen; den Schritt schliessen.
B4-S010	f83r	B4	1	2	2	0	0	POCKET_ONLY	OL DY	NONE	NONE	Taschenkern allein diktieren und Karte nachschlagen.	das zweite durch den Bogen verbundene Hauptpaar	oldy	Am zweiten durch den Bogen verbundenen Hauptpaar: Fortsetzen; den Schritt schliessen.
B4-S011	f83r	B4	7	16	12	4	4	MULTI_SPECIALIST	AIIN E Y OK EE OL OK Y OL K E DY	CHK AIN CHD L	WAERMEN · PORTION · UMSETZEN · WEITERLEITEN	Taschenkern diktieren; lokale Spezialfolge CHK+AIN+CHD+L positionsgetreu einsetzen.	die linke offene Randstation	saiin cheky okeeol okain chdy sol lkedy	An der linken offenen Randstation: Nach Mass den Posten kurz erwaermen, laenger weiter ansetzen, eine Portion ansetzen, den Posten umsetzen, fortsetzen, kurz weiterleiten und zudosieren, dann schliessen.
B4-S012	f83r	B4	1	3	1	2	2	MULTI_SPECIALIST	DY	L CHD	WEITERLEITEN · UMSETZEN	Taschenkern diktieren; lokale Spezialfolge L+CHD positionsgetreu einsetzen.	die linke offene Randstation	lchedy	An der linken offenen Randstation: Weiterleiten und umsetzen; den Schritt schliessen.
B4-S013	f83r	B4	2	4	3	1	1	ONE_SPECIALIST_TYPE	OK OL DY	SHED	ABSETZEN	Taschenkern diktieren; Spezialkarte SHED an den belegten Stellen einsetzen.	die linke offene Randstation	qokol shedy	An der linken offenen Randstation: Weiter ansetzen; dann absetzen lassen; den Schritt schliessen.
B4-S014	f83r	B4	4	9	7	2	2	MULTI_SPECIALIST	OR Y O E Y Y DY	CKH AIR	DURCHLASS · LAUF	Taschenkern diktieren; lokale Spezialfolge CKH+AIR positionsgetreu einsetzen.	die linke offene Randstation	or chey qockhey dairydy	An der linken offenen Randstation: Den Ansatz als laufenden Posten fuehren; ihn kurz im Gang am Durchlass halten, die laufende Fluessigkeit als aktuellen Posten fuehren und schliessen.
B4-S015	f83r	B4	6	16	8	8	7	MULTI_SPECIALIST	OK EE Y K AL E Y DY	AIN SH AIN CH CKH SOLK L CHD	PORTION · HALTEN · PORTION · ABNEHMEN · DURCHLASS · AUFFANGEN · WEITERLEITEN · UMSETZEN	Taschenkern diktieren; lokale Spezialfolge AIN+SH+CH+CKH+SOLK+L+CHD positionsgetreu einsetzen.	die linke offene Randstation und die rechte S-Lauf-Mehrfachstation	qokain shey kain chckhal solkey lchedy	An der linken offenen Randstation und an der rechten S-Lauf-Mehrfachstation: Eine Portion ansetzen, den Posten laenger halten, eine Portion zudosieren, durch den Durchlass am Ziel abnehmen, kurz auffangen, weiterleiten, umsetzen und schliessen.
B4-S016	f83r	B4	4	8	6	2	2	MULTI_SPECIALIST	OL K AL K AR DY	AIN SHED	PORTION · ABSETZEN	Taschenkern diktieren; lokale Spezialfolge AIN+SHED positionsgetreu einsetzen.	die rechte S-Lauf-Mehrfachstation	qolkain dal skar shedy	An der rechten S-Lauf-Mehrfachstation: Eine Portion weiter zudosieren, am Ziel aus der Quelle nachdosieren, absetzen lassen und schliessen.
B5-S001	f83r	B5	1	3	2	1	1	ONE_SPECIALIST_TYPE	OT DY	CHD	UMSETZEN	Taschenkern diktieren; Spezialkarte CHD an den belegten Stellen einsetzen.	die linke offene Nebenstation	otchdy	An der linken offenen Nebenstation: Danach umsetzen und den Schritt schliessen.
B5-S002	f83r	B5	1	3	2	1	1	ONE_SPECIALIST_TYPE	OK DY	CHD	UMSETZEN	Taschenkern diktieren; Spezialkarte CHD an den belegten Stellen einsetzen.	die linke offene Nebenstation	qokchdy	An der linken offenen Nebenstation: Ansetzen und umsetzen; den Schritt schliessen.
B5-S003	f83r	B5	9	14	8	6	5	MULTI_SPECIALIST	AL AL OL OL AL AIIN OL Y	SHED L CHD DA IIN CHD	ABSETZEN · WEITERLEITEN · UMSETZEN · ZWEIT · STUFE · UMSETZEN	Taschenkern diktieren; lokale Spezialfolge SHED+L+CHD+DA+IIN positionsgetreu einsetzen.	die linke offene Nebenstation	shedal dal cheol lol chdal aiin sol daiiin chedy	An der linken offenen Nebenstation: Am Ziel absetzen und dort weiterarbeiten; weiterleiten und fortsetzen, am Ziel umsetzen, nach Mass fortsetzen, fuer den zweiten Durchgang bis zur Stufe fuehren und den Posten umsetzen.
B6-S001	f83r	B6	9	18	14	4	4	MULTI_SPECIALIST	EE Y E K E Y AL Y OL AIIN OL Y AL OR	SOLK R AIN L	AUFFANGEN · KUEHLEN · PORTION · WEITERLEITEN	Taschenkern diktieren; lokale Spezialfolge SOLK+R+AIN+L positionsgetreu einsetzen.	die rechte S-Lauf-Nebenstation	solkeey qekey raly ol daiin ol dain chey ldalor	An der rechten S-Lauf-Nebenstation: Den Posten laenger auffangen, kurz zudosieren, am Ziel kuehlen, nach Mass weiterarbeiten, eine Portion nehmen und den Ansatz zum Ziel weiterleiten.
