locus_serial	unit_id	page	locus	group_count	local_owner	local_namespace	namespace_reset	apprentice_primitive_sequence	write_instruction_de	orientation	crosspage_key
58	A1	f67r2	f67r2.58	3	A1_LEFT_OUTER_STAR_STATION_07	A1_LEFT_WHEEL_ONLY	NO	SELECT_LOCAL_SLOT>COPY_OPAQUE_GROUPS>READ_WITH_LOCAL_KEY>PRESERVE_NO_ORIENTATION>NO_CROSSPAGE_JOIN	Zeige äußerer Sternplatz 07 des linken f67r2-Rades; kopiere alle 3 Gruppen; lies den Wert nur unter A1_LEFT_WHEEL_ONLY.	NONE	NONE
59	A1	f67r2	f67r2.59	1	A1_LEFT_OUTER_STAR_STATION_08	A1_LEFT_WHEEL_ONLY	NO	SELECT_LOCAL_SLOT>COPY_OPAQUE_GROUPS>READ_WITH_LOCAL_KEY>PRESERVE_NO_ORIENTATION>NO_CROSSPAGE_JOIN	Zeige äußerer Sternplatz 08 des linken f67r2-Rades; kopiere alle 1 Gruppen; lies den Wert nur unter A1_LEFT_WHEEL_ONLY.	NONE	NONE
60	A1	f67r2	f67r2.60	1	A1_LEFT_OUTER_STAR_STATION_09	A1_LEFT_WHEEL_ONLY	NO	SELECT_LOCAL_SLOT>COPY_OPAQUE_GROUPS>READ_WITH_LOCAL_KEY>PRESERVE_NO_ORIENTATION>NO_CROSSPAGE_JOIN	Zeige äußerer Sternplatz 09 des linken f67r2-Rades; kopiere alle 1 Gruppen; lies den Wert nur unter A1_LEFT_WHEEL_ONLY.	NONE	NONE
61	A1	f67r2	f67r2.61	1	A1_LEFT_OUTER_STAR_STATION_10	A1_LEFT_WHEEL_ONLY	NO	SELECT_LOCAL_SLOT>COPY_OPAQUE_GROUPS>READ_WITH_LOCAL_KEY>PRESERVE_NO_ORIENTATION>NO_CROSSPAGE_JOIN	Zeige äußerer Sternplatz 10 des linken f67r2-Rades; kopiere alle 1 Gruppen; lies den Wert nur unter A1_LEFT_WHEEL_ONLY.	NONE	NONE
62	A1	f67r2	f67r2.62	1	A1_LEFT_OUTER_STAR_STATION_11	A1_LEFT_WHEEL_ONLY	NO	SELECT_LOCAL_SLOT>COPY_OPAQUE_GROUPS>READ_WITH_LOCAL_KEY>PRESERVE_NO_ORIENTATION>NO_CROSSPAGE_JOIN	Zeige äußerer Sternplatz 11 des linken f67r2-Rades; kopiere alle 1 Gruppen; lies den Wert nur unter A1_LEFT_WHEEL_ONLY.	NONE	NONE
63	A1	f67r2	f67r2.63	1	A1_LEFT_OUTER_STAR_STATION_12	A1_LEFT_WHEEL_ONLY	NO	SELECT_LOCAL_SLOT>COPY_OPAQUE_GROUPS>READ_WITH_LOCAL_KEY>PRESERVE_NO_ORIENTATION>NO_CROSSPAGE_JOIN	Zeige äußerer Sternplatz 12 des linken f67r2-Rades; kopiere alle 1 Gruppen; lies den Wert nur unter A1_LEFT_WHEEL_ONLY.	NONE	NONE
64	A1	f67r2	f67r2.64	2	A1_RIGHT_PHASE_STATION_01	A1_RIGHT_WHEEL_ONLY	YES	RESET_AT_NAMESPACE_CHANGE>SELECT_NAMESPACE>SELECT_LOCAL_SLOT>COPY_OPAQUE_GROUPS>READ_WITH_LOCAL_KEY>PRESERVE_NO_ORIENTATION>NO_CROSSPAGE_JOIN	Zeige lokaler Scheiben-/Bedingungsplatz 01 des rechten f67r2-Rades; kopiere alle 2 Gruppen; lies den Wert nur unter A1_RIGHT_WHEEL_ONLY.	NONE	NONE
65	A1	f67r2	f67r2.65	1	A1_RIGHT_PHASE_STATION_02	A1_RIGHT_WHEEL_ONLY	NO	SELECT_LOCAL_SLOT>COPY_OPAQUE_GROUPS>READ_WITH_LOCAL_KEY>PRESERVE_NO_ORIENTATION>NO_CROSSPAGE_JOIN	Zeige lokaler Scheiben-/Bedingungsplatz 02 des rechten f67r2-Rades; kopiere alle 1 Gruppen; lies den Wert nur unter A1_RIGHT_WHEEL_ONLY.	NONE	NONE
66	A1	f67r2	f67r2.66	1	A1_RIGHT_PHASE_STATION_03	A1_RIGHT_WHEEL_ONLY	NO	SELECT_LOCAL_SLOT>COPY_OPAQUE_GROUPS>READ_WITH_LOCAL_KEY>PRESERVE_NO_ORIENTATION>NO_CROSSPAGE_JOIN	Zeige lokaler Scheiben-/Bedingungsplatz 03 des rechten f67r2-Rades; kopiere alle 1 Gruppen; lies den Wert nur unter A1_RIGHT_WHEEL_ONLY.	NONE	NONE
67	A1	f67r2	f67r2.67	1	A1_RIGHT_PHASE_STATION_04	A1_RIGHT_WHEEL_ONLY	NO	SELECT_LOCAL_SLOT>COPY_OPAQUE_GROUPS>READ_WITH_LOCAL_KEY>PRESERVE_NO_ORIENTATION>NO_CROSSPAGE_JOIN	Zeige lokaler Scheiben-/Bedingungsplatz 04 des rechten f67r2-Rades; kopiere alle 1 Gruppen; lies den Wert nur unter A1_RIGHT_WHEEL_ONLY.	NONE	NONE
68	A1	f67r2	f67r2.68	1	A1_RIGHT_PHASE_STATION_05	A1_RIGHT_WHEEL_ONLY	NO	SELECT_LOCAL_SLOT>COPY_OPAQUE_GROUPS>READ_WITH_LOCAL_KEY>PRESERVE_NO_ORIENTATION>NO_CROSSPAGE_JOIN	Zeige lokaler Scheiben-/Bedingungsplatz 05 des rechten f67r2-Rades; kopiere alle 1 Gruppen; lies den Wert nur unter A1_RIGHT_WHEEL_ONLY.	NONE	NONE
69	A1	f67r2	f67r2.69	2	A1_RIGHT_PHASE_STATION_06	A1_RIGHT_WHEEL_ONLY	NO	SELECT_LOCAL_SLOT>COPY_OPAQUE_GROUPS>READ_WITH_LOCAL_KEY>PRESERVE_NO_ORIENTATION>NO_CROSSPAGE_JOIN	Zeige lokaler Scheiben-/Bedingungsplatz 06 des rechten f67r2-Rades; kopiere alle 2 Gruppen; lies den Wert nur unter A1_RIGHT_WHEEL_ONLY.	NONE	NONE
70	A1	f67r2	f67r2.70	1	A1_RIGHT_PHASE_STATION_07	A1_RIGHT_WHEEL_ONLY	NO	SELECT_LOCAL_SLOT>COPY_OPAQUE_GROUPS>READ_WITH_LOCAL_KEY>PRESERVE_NO_ORIENTATION>NO_CROSSPAGE_JOIN	Zeige lokaler Scheiben-/Bedingungsplatz 07 des rechten f67r2-Rades; kopiere alle 1 Gruppen; lies den Wert nur unter A1_RIGHT_WHEEL_ONLY.	NONE	NONE
71	A1	f67r2	f67r2.71	1	A1_RIGHT_PHASE_STATION_08	A1_RIGHT_WHEEL_ONLY	NO	SELECT_LOCAL_SLOT>COPY_OPAQUE_GROUPS>READ_WITH_LOCAL_KEY>PRESERVE_NO_ORIENTATION>NO_CROSSPAGE_JOIN	Zeige lokaler Scheiben-/Bedingungsplatz 08 des rechten f67r2-Rades; kopiere alle 1 Gruppen; lies den Wert nur unter A1_RIGHT_WHEEL_ONLY.	NONE	NONE
72	A1	f67r2	f67r2.72	12	A1_LEFT_OUTER_RING_TEXT	A1_LEFT_WHEEL_ONLY	YES	RESET_AT_NAMESPACE_CHANGE>SELECT_NAMESPACE>SELECT_LOCAL_SLOT>COPY_OPAQUE_GROUPS>READ_WITH_LOCAL_KEY>PRESERVE_NO_ORIENTATION>NO_CROSSPAGE_JOIN	Zeige äußeres Textband des linken f67r2-Rades; kopiere alle 12 Gruppen; lies den Wert nur unter A1_LEFT_WHEEL_ONLY.	NONE	NONE
73	A1	f67r2	f67r2.73	11	A1_RIGHT_OUTER_RING_TEXT	A1_RIGHT_WHEEL_ONLY	YES	RESET_AT_NAMESPACE_CHANGE>SELECT_NAMESPACE>SELECT_LOCAL_SLOT>COPY_OPAQUE_GROUPS>READ_WITH_LOCAL_KEY>PRESERVE_NO_ORIENTATION>NO_CROSSPAGE_JOIN	Zeige äußeres Textband des rechten f67r2-Rades; kopiere alle 11 Gruppen; lies den Wert nur unter A1_RIGHT_WHEEL_ONLY.	NONE	NONE
74	A1	f67r2	f67r2.74	13	A1_PAIRED_WHEEL_LEGEND_UNRESOLVED	A1_OWNER_UNRESOLVED_NO_JOIN	YES	RESET_AT_NAMESPACE_CHANGE>SELECT_NAMESPACE>SELECT_LOCAL_SLOT>COPY_OPAQUE_GROUPS>READ_WITH_LOCAL_KEY>PRESERVE_NO_ORIENTATION>NO_CROSSPAGE_JOIN	Zeige seitenlokale Legende; das Exemplar entscheidet linkes oder rechtes Rad; kopiere alle 13 Gruppen; lies den Wert nur unter A1_OWNER_UNRESOLVED_NO_JOIN.	NONE	NONE
75	A2	f68r1	f68r1.1	9	A2_LEFT_PANEL_HEADER	A2_LEFT_PANEL_ONLY	YES	OPEN_INSTRUMENT>RESET_AT_NAMESPACE_CHANGE>SELECT_NAMESPACE>SELECT_LOCAL_SLOT>COPY_OPAQUE_GROUPS>READ_WITH_LOCAL_KEY>PRESERVE_NO_ORIENTATION>NO_CROSSPAGE_JOIN	Zeige lokale Kopf-/Legendenangabe des zugeordneten f68r1-Paneels; kopiere alle 9 Gruppen; lies den Wert nur unter A2_LEFT_PANEL_ONLY.	NONE	NONE
76	A2	f68r1	f68r1.2	9	A2_MIDDLE_PANEL_HEADER	A2_MIDDLE_PANEL_ONLY	YES	RESET_AT_NAMESPACE_CHANGE>SELECT_NAMESPACE>SELECT_LOCAL_SLOT>COPY_OPAQUE_GROUPS>READ_WITH_LOCAL_KEY>PRESERVE_NO_ORIENTATION>NO_CROSSPAGE_JOIN	Zeige lokale Kopf-/Legendenangabe des zugeordneten f68r1-Paneels; kopiere alle 9 Gruppen; lies den Wert nur unter A2_MIDDLE_PANEL_ONLY.	NONE	NONE
77	A2	f68r1	f68r1.3	8	A2_RIGHT_PANEL_HEADER	A2_RIGHT_PANEL_ONLY	YES	RESET_AT_NAMESPACE_CHANGE>SELECT_NAMESPACE>SELECT_LOCAL_SLOT>COPY_OPAQUE_GROUPS>READ_WITH_LOCAL_KEY>PRESERVE_NO_ORIENTATION>NO_CROSSPAGE_JOIN	Zeige lokale Kopf-/Legendenangabe des zugeordneten f68r1-Paneels; kopiere alle 8 Gruppen; lies den Wert nur unter A2_RIGHT_PANEL_ONLY.	NONE	NONE
78	A2	f68r1	f68r1.4	2	A2_MULTIPANEL_HEADER_FRAGMENT_04	A2_LOCAL_OWNER_UNRESOLVED	YES	RESET_AT_NAMESPACE_CHANGE>SELECT_NAMESPACE>SELECT_LOCAL_SLOT>COPY_OPAQUE_GROUPS>READ_WITH_LOCAL_KEY>PRESERVE_NO_ORIENTATION>NO_CROSSPAGE_JOIN	Zeige mehrpaneelige Seitenlegende laut Exemplar; kopiere alle 2 Gruppen; lies den Wert nur unter A2_LOCAL_OWNER_UNRESOLVED.	NONE	NONE
79	A2	f68r1	f68r1.5	1	A2_MULTIPANEL_HEADER_FRAGMENT_05	A2_LOCAL_OWNER_UNRESOLVED	NO	SELECT_LOCAL_SLOT>COPY_OPAQUE_GROUPS>READ_WITH_LOCAL_KEY>PRESERVE_NO_ORIENTATION>NO_CROSSPAGE_JOIN	Zeige mehrpaneelige Seitenlegende laut Exemplar; kopiere alle 1 Gruppen; lies den Wert nur unter A2_LOCAL_OWNER_UNRESOLVED.	NONE	NONE
80	A2	f68r1	f68r1.6	1	A2_MULTIPANEL_HEADER_FRAGMENT_06	A2_LOCAL_OWNER_UNRESOLVED	NO	SELECT_LOCAL_SLOT>COPY_OPAQUE_GROUPS>READ_WITH_LOCAL_KEY>PRESERVE_NO_ORIENTATION>NO_CROSSPAGE_JOIN	Zeige mehrpaneelige Seitenlegende laut Exemplar; kopiere alle 1 Gruppen; lies den Wert nur unter A2_LOCAL_OWNER_UNRESOLVED.	NONE	NONE
81	A2	f68r1	f68r1.7	1	A2_MULTIPANEL_HEADER_FRAGMENT_07	A2_LOCAL_OWNER_UNRESOLVED	NO	SELECT_LOCAL_SLOT>COPY_OPAQUE_GROUPS>READ_WITH_LOCAL_KEY>PRESERVE_NO_ORIENTATION>NO_CROSSPAGE_JOIN	Zeige mehrpaneelige Seitenlegende laut Exemplar; kopiere alle 1 Gruppen; lies den Wert nur unter A2_LOCAL_OWNER_UNRESOLVED.	NONE	NONE
82	A2	f68r1	f68r1.8	1	A2_CENTRE_KEY_UNRESOLVED	A2_LOCAL_OWNER_UNRESOLVED	NO	SELECT_LOCAL_SLOT>COPY_OPAQUE_GROUPS>READ_WITH_LOCAL_KEY>PRESERVE_NO_ORIENTATION>NO_CROSSPAGE_JOIN	Zeige eines der sichtbaren Gesichtmedaillons; genaue Wahl nur aus dem Exemplar; kopiere alle 1 Gruppen; lies den Wert nur unter A2_LOCAL_OWNER_UNRESOLVED.	NONE	NONE
83	A2	f68r1	f68r1.9	1	A2_STAR_STATION_01	A2_LOCAL_STAR_FIELD_ONLY__PANEL_NOT_INFERRED	YES	RESET_AT_NAMESPACE_CHANGE>SELECT_NAMESPACE>SELECT_LOCAL_SLOT>COPY_OPAQUE_GROUPS>READ_WITH_LOCAL_KEY>PRESERVE_NO_ORIENTATION>NO_CROSSPAGE_JOIN	Zeige sichtbarer lokal beschrifteter Sternplatz 01 im f68r1-Atlas; kopiere alle 1 Gruppen; lies den Wert nur unter A2_LOCAL_STAR_FIELD_ONLY__PANEL_NOT_INFERRED.	NONE	NONE
84	A2	f68r1	f68r1.10	1	A2_STAR_STATION_02	A2_LOCAL_STAR_FIELD_ONLY__PANEL_NOT_INFERRED	NO	SELECT_LOCAL_SLOT>COPY_OPAQUE_GROUPS>READ_WITH_LOCAL_KEY>PRESERVE_NO_ORIENTATION>NO_CROSSPAGE_JOIN	Zeige sichtbarer lokal beschrifteter Sternplatz 02 im f68r1-Atlas; kopiere alle 1 Gruppen; lies den Wert nur unter A2_LOCAL_STAR_FIELD_ONLY__PANEL_NOT_INFERRED.	NONE	NONE
85	A2	f68r1	f68r1.11	1	A2_STAR_STATION_03	A2_LOCAL_STAR_FIELD_ONLY__PANEL_NOT_INFERRED	NO	SELECT_LOCAL_SLOT>COPY_OPAQUE_GROUPS>READ_WITH_LOCAL_KEY>PRESERVE_NO_ORIENTATION>NO_CROSSPAGE_JOIN	Zeige sichtbarer lokal beschrifteter Sternplatz 03 im f68r1-Atlas; kopiere alle 1 Gruppen; lies den Wert nur unter A2_LOCAL_STAR_FIELD_ONLY__PANEL_NOT_INFERRED.	NONE	NONE
86	A2	f68r1	f68r1.12	1	A2_STAR_STATION_04	A2_LOCAL_STAR_FIELD_ONLY__PANEL_NOT_INFERRED	NO	SELECT_LOCAL_SLOT>COPY_OPAQUE_GROUPS>READ_WITH_LOCAL_KEY>PRESERVE_NO_ORIENTATION>NO_CROSSPAGE_JOIN	Zeige sichtbarer lokal beschrifteter Sternplatz 04 im f68r1-Atlas; kopiere alle 1 Gruppen; lies den Wert nur unter A2_LOCAL_STAR_FIELD_ONLY__PANEL_NOT_INFERRED.	NONE	NONE
87	A2	f68r1	f68r1.13	1	A2_STAR_STATION_05	A2_LOCAL_STAR_FIELD_ONLY__PANEL_NOT_INFERRED	NO	SELECT_LOCAL_SLOT>COPY_OPAQUE_GROUPS>READ_WITH_LOCAL_KEY>PRESERVE_NO_ORIENTATION>NO_CROSSPAGE_JOIN	Zeige sichtbarer lokal beschrifteter Sternplatz 05 im f68r1-Atlas; kopiere alle 1 Gruppen; lies den Wert nur unter A2_LOCAL_STAR_FIELD_ONLY__PANEL_NOT_INFERRED.	NONE	NONE
88	A2	f68r1	f68r1.14	1	A2_STAR_STATION_06	A2_LOCAL_STAR_FIELD_ONLY__PANEL_NOT_INFERRED	NO	SELECT_LOCAL_SLOT>COPY_OPAQUE_GROUPS>READ_WITH_LOCAL_KEY>PRESERVE_NO_ORIENTATION>NO_CROSSPAGE_JOIN	Zeige sichtbarer lokal beschrifteter Sternplatz 06 im f68r1-Atlas; kopiere alle 1 Gruppen; lies den Wert nur unter A2_LOCAL_STAR_FIELD_ONLY__PANEL_NOT_INFERRED.	NONE	NONE
89	A2	f68r1	f68r1.15	1	A2_STAR_STATION_07	A2_LOCAL_STAR_FIELD_ONLY__PANEL_NOT_INFERRED	NO	SELECT_LOCAL_SLOT>COPY_OPAQUE_GROUPS>READ_WITH_LOCAL_KEY>PRESERVE_NO_ORIENTATION>NO_CROSSPAGE_JOIN	Zeige sichtbarer lokal beschrifteter Sternplatz 07 im f68r1-Atlas; kopiere alle 1 Gruppen; lies den Wert nur unter A2_LOCAL_STAR_FIELD_ONLY__PANEL_NOT_INFERRED.	NONE	NONE
90	A2	f68r1	f68r1.16	1	A2_STAR_STATION_08	A2_LOCAL_STAR_FIELD_ONLY__PANEL_NOT_INFERRED	NO	SELECT_LOCAL_SLOT>COPY_OPAQUE_GROUPS>READ_WITH_LOCAL_KEY>PRESERVE_NO_ORIENTATION>NO_CROSSPAGE_JOIN	Zeige sichtbarer lokal beschrifteter Sternplatz 08 im f68r1-Atlas; kopiere alle 1 Gruppen; lies den Wert nur unter A2_LOCAL_STAR_FIELD_ONLY__PANEL_NOT_INFERRED.	NONE	NONE
91	A2	f68r1	f68r1.17	1	A2_STAR_STATION_09	A2_LOCAL_STAR_FIELD_ONLY__PANEL_NOT_INFERRED	NO	SELECT_LOCAL_SLOT>COPY_OPAQUE_GROUPS>READ_WITH_LOCAL_KEY>PRESERVE_NO_ORIENTATION>NO_CROSSPAGE_JOIN	Zeige sichtbarer lokal beschrifteter Sternplatz 09 im f68r1-Atlas; kopiere alle 1 Gruppen; lies den Wert nur unter A2_LOCAL_STAR_FIELD_ONLY__PANEL_NOT_INFERRED.	NONE	NONE
92	A2	f68r1	f68r1.18	1	A2_STAR_STATION_10	A2_LOCAL_STAR_FIELD_ONLY__PANEL_NOT_INFERRED	NO	SELECT_LOCAL_SLOT>COPY_OPAQUE_GROUPS>READ_WITH_LOCAL_KEY>PRESERVE_NO_ORIENTATION>NO_CROSSPAGE_JOIN	Zeige sichtbarer lokal beschrifteter Sternplatz 10 im f68r1-Atlas; kopiere alle 1 Gruppen; lies den Wert nur unter A2_LOCAL_STAR_FIELD_ONLY__PANEL_NOT_INFERRED.	NONE	NONE
93	A2	f68r1	f68r1.19	1	A2_STAR_STATION_11	A2_LOCAL_STAR_FIELD_ONLY__PANEL_NOT_INFERRED	NO	SELECT_LOCAL_SLOT>COPY_OPAQUE_GROUPS>READ_WITH_LOCAL_KEY>PRESERVE_NO_ORIENTATION>NO_CROSSPAGE_JOIN	Zeige sichtbarer lokal beschrifteter Sternplatz 11 im f68r1-Atlas; kopiere alle 1 Gruppen; lies den Wert nur unter A2_LOCAL_STAR_FIELD_ONLY__PANEL_NOT_INFERRED.	NONE	NONE
94	A2	f68r1	f68r1.20	1	A2_STAR_STATION_12	A2_LOCAL_STAR_FIELD_ONLY__PANEL_NOT_INFERRED	NO	SELECT_LOCAL_SLOT>COPY_OPAQUE_GROUPS>READ_WITH_LOCAL_KEY>PRESERVE_NO_ORIENTATION>NO_CROSSPAGE_JOIN	Zeige sichtbarer lokal beschrifteter Sternplatz 12 im f68r1-Atlas; kopiere alle 1 Gruppen; lies den Wert nur unter A2_LOCAL_STAR_FIELD_ONLY__PANEL_NOT_INFERRED.	NONE	NONE
95	A2	f68r1	f68r1.21	1	A2_STAR_STATION_13	A2_LOCAL_STAR_FIELD_ONLY__PANEL_NOT_INFERRED	NO	SELECT_LOCAL_SLOT>COPY_OPAQUE_GROUPS>READ_WITH_LOCAL_KEY>PRESERVE_NO_ORIENTATION>NO_CROSSPAGE_JOIN	Zeige sichtbarer lokal beschrifteter Sternplatz 13 im f68r1-Atlas; kopiere alle 1 Gruppen; lies den Wert nur unter A2_LOCAL_STAR_FIELD_ONLY__PANEL_NOT_INFERRED.	NONE	NONE
96	A2	f68r1	f68r1.22	1	A2_STAR_STATION_14	A2_LOCAL_STAR_FIELD_ONLY__PANEL_NOT_INFERRED	NO	SELECT_LOCAL_SLOT>COPY_OPAQUE_GROUPS>READ_WITH_LOCAL_KEY>PRESERVE_NO_ORIENTATION>NO_CROSSPAGE_JOIN	Zeige sichtbarer lokal beschrifteter Sternplatz 14 im f68r1-Atlas; kopiere alle 1 Gruppen; lies den Wert nur unter A2_LOCAL_STAR_FIELD_ONLY__PANEL_NOT_INFERRED.	NONE	NONE
97	A2	f68r1	f68r1.23	1	A2_STAR_STATION_15	A2_LOCAL_STAR_FIELD_ONLY__PANEL_NOT_INFERRED	NO	SELECT_LOCAL_SLOT>COPY_OPAQUE_GROUPS>READ_WITH_LOCAL_KEY>PRESERVE_NO_ORIENTATION>NO_CROSSPAGE_JOIN	Zeige sichtbarer lokal beschrifteter Sternplatz 15 im f68r1-Atlas; kopiere alle 1 Gruppen; lies den Wert nur unter A2_LOCAL_STAR_FIELD_ONLY__PANEL_NOT_INFERRED.	NONE	NONE
98	A2	f68r1	f68r1.24	1	A2_STAR_STATION_16	A2_LOCAL_STAR_FIELD_ONLY__PANEL_NOT_INFERRED	NO	SELECT_LOCAL_SLOT>COPY_OPAQUE_GROUPS>READ_WITH_LOCAL_KEY>PRESERVE_NO_ORIENTATION>NO_CROSSPAGE_JOIN	Zeige sichtbarer lokal beschrifteter Sternplatz 16 im f68r1-Atlas; kopiere alle 1 Gruppen; lies den Wert nur unter A2_LOCAL_STAR_FIELD_ONLY__PANEL_NOT_INFERRED.	NONE	NONE
99	A2	f68r1	f68r1.25	1	A2_STAR_STATION_17	A2_LOCAL_STAR_FIELD_ONLY__PANEL_NOT_INFERRED	NO	SELECT_LOCAL_SLOT>COPY_OPAQUE_GROUPS>READ_WITH_LOCAL_KEY>PRESERVE_NO_ORIENTATION>NO_CROSSPAGE_JOIN	Zeige sichtbarer lokal beschrifteter Sternplatz 17 im f68r1-Atlas; kopiere alle 1 Gruppen; lies den Wert nur unter A2_LOCAL_STAR_FIELD_ONLY__PANEL_NOT_INFERRED.	NONE	NONE
100	A2	f68r1	f68r1.26	1	A2_STAR_STATION_18	A2_LOCAL_STAR_FIELD_ONLY__PANEL_NOT_INFERRED	NO	SELECT_LOCAL_SLOT>COPY_OPAQUE_GROUPS>READ_WITH_LOCAL_KEY>PRESERVE_NO_ORIENTATION>NO_CROSSPAGE_JOIN	Zeige sichtbarer lokal beschrifteter Sternplatz 18 im f68r1-Atlas; kopiere alle 1 Gruppen; lies den Wert nur unter A2_LOCAL_STAR_FIELD_ONLY__PANEL_NOT_INFERRED.	NONE	NONE
101	A2	f68r1	f68r1.27	1	A2_STAR_STATION_19	A2_LOCAL_STAR_FIELD_ONLY__PANEL_NOT_INFERRED	NO	SELECT_LOCAL_SLOT>COPY_OPAQUE_GROUPS>READ_WITH_LOCAL_KEY>PRESERVE_NO_ORIENTATION>NO_CROSSPAGE_JOIN	Zeige sichtbarer lokal beschrifteter Sternplatz 19 im f68r1-Atlas; kopiere alle 1 Gruppen; lies den Wert nur unter A2_LOCAL_STAR_FIELD_ONLY__PANEL_NOT_INFERRED.	NONE	NONE
102	A2	f68r1	f68r1.28	1	A2_STAR_STATION_20	A2_LOCAL_STAR_FIELD_ONLY__PANEL_NOT_INFERRED	NO	SELECT_LOCAL_SLOT>COPY_OPAQUE_GROUPS>READ_WITH_LOCAL_KEY>PRESERVE_NO_ORIENTATION>NO_CROSSPAGE_JOIN	Zeige sichtbarer lokal beschrifteter Sternplatz 20 im f68r1-Atlas; kopiere alle 1 Gruppen; lies den Wert nur unter A2_LOCAL_STAR_FIELD_ONLY__PANEL_NOT_INFERRED.	NONE	NONE
103	A2	f68r1	f68r1.29	1	A2_STAR_STATION_21	A2_LOCAL_STAR_FIELD_ONLY__PANEL_NOT_INFERRED	NO	SELECT_LOCAL_SLOT>COPY_OPAQUE_GROUPS>READ_WITH_LOCAL_KEY>PRESERVE_NO_ORIENTATION>NO_CROSSPAGE_JOIN	Zeige sichtbarer lokal beschrifteter Sternplatz 21 im f68r1-Atlas; kopiere alle 1 Gruppen; lies den Wert nur unter A2_LOCAL_STAR_FIELD_ONLY__PANEL_NOT_INFERRED.	NONE	NONE
104	A2	f68r1	f68r1.30	1	A2_STAR_STATION_22	A2_LOCAL_STAR_FIELD_ONLY__PANEL_NOT_INFERRED	NO	SELECT_LOCAL_SLOT>COPY_OPAQUE_GROUPS>READ_WITH_LOCAL_KEY>PRESERVE_NO_ORIENTATION>NO_CROSSPAGE_JOIN	Zeige sichtbarer lokal beschrifteter Sternplatz 22 im f68r1-Atlas; kopiere alle 1 Gruppen; lies den Wert nur unter A2_LOCAL_STAR_FIELD_ONLY__PANEL_NOT_INFERRED.	NONE	NONE
105	A2	f68r1	f68r1.31	1	A2_STAR_STATION_23	A2_LOCAL_STAR_FIELD_ONLY__PANEL_NOT_INFERRED	NO	SELECT_LOCAL_SLOT>COPY_OPAQUE_GROUPS>READ_WITH_LOCAL_KEY>PRESERVE_NO_ORIENTATION>NO_CROSSPAGE_JOIN	Zeige sichtbarer lokal beschrifteter Sternplatz 23 im f68r1-Atlas; kopiere alle 1 Gruppen; lies den Wert nur unter A2_LOCAL_STAR_FIELD_ONLY__PANEL_NOT_INFERRED.	NONE	NONE
106	A2	f68r1	f68r1.32	1	A2_STAR_STATION_24	A2_LOCAL_STAR_FIELD_ONLY__PANEL_NOT_INFERRED	NO	SELECT_LOCAL_SLOT>COPY_OPAQUE_GROUPS>READ_WITH_LOCAL_KEY>PRESERVE_NO_ORIENTATION>NO_CROSSPAGE_JOIN	Zeige sichtbarer lokal beschrifteter Sternplatz 24 im f68r1-Atlas; kopiere alle 1 Gruppen; lies den Wert nur unter A2_LOCAL_STAR_FIELD_ONLY__PANEL_NOT_INFERRED.	NONE	NONE
107	A2	f68r1	f68r1.33	1	A2_STAR_STATION_25	A2_LOCAL_STAR_FIELD_ONLY__PANEL_NOT_INFERRED	NO	SELECT_LOCAL_SLOT>COPY_OPAQUE_GROUPS>READ_WITH_LOCAL_KEY>PRESERVE_NO_ORIENTATION>NO_CROSSPAGE_JOIN	Zeige sichtbarer lokal beschrifteter Sternplatz 25 im f68r1-Atlas; kopiere alle 1 Gruppen; lies den Wert nur unter A2_LOCAL_STAR_FIELD_ONLY__PANEL_NOT_INFERRED.	NONE	NONE
108	A2	f68r1	f68r1.34	1	A2_STAR_STATION_26	A2_LOCAL_STAR_FIELD_ONLY__PANEL_NOT_INFERRED	NO	SELECT_LOCAL_SLOT>COPY_OPAQUE_GROUPS>READ_WITH_LOCAL_KEY>PRESERVE_NO_ORIENTATION>NO_CROSSPAGE_JOIN	Zeige sichtbarer lokal beschrifteter Sternplatz 26 im f68r1-Atlas; kopiere alle 1 Gruppen; lies den Wert nur unter A2_LOCAL_STAR_FIELD_ONLY__PANEL_NOT_INFERRED.	NONE	NONE
109	A2	f68r1	f68r1.35	1	A2_STAR_STATION_27	A2_LOCAL_STAR_FIELD_ONLY__PANEL_NOT_INFERRED	NO	SELECT_LOCAL_SLOT>COPY_OPAQUE_GROUPS>READ_WITH_LOCAL_KEY>PRESERVE_NO_ORIENTATION>NO_CROSSPAGE_JOIN	Zeige sichtbarer lokal beschrifteter Sternplatz 27 im f68r1-Atlas; kopiere alle 1 Gruppen; lies den Wert nur unter A2_LOCAL_STAR_FIELD_ONLY__PANEL_NOT_INFERRED.	NONE	NONE
110	A2	f68r1	f68r1.36	1	A2_STAR_STATION_28	A2_LOCAL_STAR_FIELD_ONLY__PANEL_NOT_INFERRED	NO	SELECT_LOCAL_SLOT>COPY_OPAQUE_GROUPS>READ_WITH_LOCAL_KEY>PRESERVE_NO_ORIENTATION>NO_CROSSPAGE_JOIN	Zeige sichtbarer lokal beschrifteter Sternplatz 28 im f68r1-Atlas; kopiere alle 1 Gruppen; lies den Wert nur unter A2_LOCAL_STAR_FIELD_ONLY__PANEL_NOT_INFERRED.	NONE	NONE
