event_serial	event_id	record_unit_id	page	locus	field_id	statement_id	joint_tuple_id	surface_display	semantic_segmentation	stable_concrete_nucleus_de	concrete_word_reading_de	contextual_event_reading_de	statement_continuation	previous_semantic_segmentation	previous_stable_concrete_nucleus_de	previous_concrete_word_reading_de	previous_contextual_event_reading_de	paradigm_revision	revision_strength	component_completion_previous_segmentation	component_completion_previous_nucleus_de	component_completion_previous_gloss_de	component_completion_previous_context_de	component_completion_source	component_completion_strength	direction_previous_segmentation	direction_previous_nucleus_de	direction_previous_gloss_de	direction_previous_context_de	direction_revision_source	direction_revision_strength	quantity_previous_segmentation	quantity_previous_nucleus_de	quantity_previous_gloss_de	quantity_previous_context_de	quantity_revision_source	quantity_revision_strength	workshop_slots	state_endpoint_previous_segmentation	state_endpoint_previous_nucleus_de	state_endpoint_previous_gloss_de	state_endpoint_previous_context_de	state_endpoint_revision_family	state_endpoint_revision_strength	filtration_previous_segmentation	filtration_previous_nucleus_de	filtration_previous_gloss_de	filtration_previous_context_de	filtration_revision_family	filtration_revision_strength	application_previous_segmentation	application_previous_nucleus_de	application_previous_gloss_de	application_previous_context_de	application_revision_family	application_revision_strength	r3_previous_segmentation	r3_previous_nucleus_de	r3_previous_gloss_de	r3_previous_context_de	r3_revision_family	r3_revision_strength	r3_revision_note	selected_previous_segmentation	selected_previous_nucleus_de	selected_previous_gloss_de	selected_previous_context_de	selected_medium_family	selected_medium_rationale	r3_thermal_previous_segmentation	r3_thermal_previous_nucleus_de	r3_thermal_previous_gloss_de	r3_thermal_previous_context_de	r3_thermal_family	r3_thermal_status	r3_thermal_note	selected_thermal_previous_segmentation	selected_thermal_previous_nucleus_de	selected_thermal_previous_gloss_de	selected_thermal_previous_context_de	selected_thermal_source	selected_thermal_family	selected_thermal_reason
221	E221	B2	f82r	f82r.27	F064	B2-S016	65df3cd9e59060042d47	pchedy	P+CHED+DY_TERMINAL	P=hinein; CHED=führen; DY=Schluss	hineinführen; Schluss	Hineinführen; Schluss	CONTINUES_ACROSS_LINE	pche=abziehen + dy=Ende	abziehen + Ende	abziehen; Ende	Ziehe es ab und beende den Schritt	CHED_PARADIGM	LOW	P+CHED+TERMINAL_Y	CHD~CHED=umsetzen/in einen Arbeitsgang führen; P=ein oder zum Empfänger; provisorisch; umhüllte DY-Abschlusskonstruktion	in den Empfänger überführen; Schluss	In den Empfänger überführen; Schluss	TRANSFER_ORDER	SELECTED_CONTEXT_BOUND	P+CHED+DY_TERMINAL	P+CHED=in oder zum Empfänger führen; DY=Schlusskonstruktion	in den Empfänger einführen; Schluss	In den Empfänger einführen; Schluss	DIRECTION_WORKSHOP	SELECTED_THIN_CONTRAST					UNCHANGED	UNCHANGED	OPERATION+FLOW_TRANSFER+CLOSE					UNCHANGED	UNCHANGED					UNCHANGED	UNCHANGED					UNCHANGED	UNCHANGED	P+CHED+DY_TERMINAL	P=hinein; CHED=führen; DY=Schluss	hineinführen; Schluss	Hineinführen; Schluss	UNCHANGED	UNCHANGED	NOT_APPLICABLE	P+CHED+DY_TERMINAL	P=hinein; CHED=führen; DY=Schluss	hineinführen; Schluss	Hineinführen; Schluss	R3_ACCEPTED	R3 material/flow distinction accepted without central change.	P+CHED+DY_TERMINAL	P=hinein; CHED=führen; DY=Schluss	hineinführen; Schluss	Hineinführen; Schluss	UNCHANGED	UNCHANGED	NOT_APPLICABLE	P+CHED+DY_TERMINAL	P=hinein; CHED=führen; DY=Schluss	hineinführen; Schluss	Hineinführen; Schluss	R3_STRUCTURAL_BASE	UNCHANGED	R3 retained after four-role comparison.
222	E222	B2	f82r	f82r.27	F065	B2-S017	98bdc4244c84cbef3321	rsheal	RSHEAL_WARM_WATER_WHOLE_CARD	RSHEAL=Warmwasser	Warmwasser	Warmwasser einlassen	CONTINUES_ACROSS_LINE					UNCHANGED	UNCHANGED					UNCHANGED	UNCHANGED					UNCHANGED	UNCHANGED					UNCHANGED	UNCHANGED	MEDIUM					UNCHANGED	UNCHANGED					UNCHANGED	UNCHANGED					UNCHANGED	UNCHANGED	rsheal=warmes Wasser	warmes Wasser	warmes Wasser	Gieße das erwärmte Wasser ein	WATER_MEDIUM	SELECTED_SINGLETON_WHOLE_CARD	The lower-pool owner and following second opening make bathwater the concrete local choice.	RSHEAL_WARM_BATH_WATER_WHOLE_CARD	RSHEAL=warmes Badwasser	warmes Badwasser	Gieße warmes Badwasser ein	WATER_WHOLE_CARD	A learned warm-water card at the second opening.	RSHEAL_WARM_WATER_WHOLE_CARD	RSHEAL=Warmwasser	Warmwasser	Warmwasser einlassen	UNCHANGED	UNCHANGED	NOT_APPLICABLE	RSHEAL_WARM_WATER_WHOLE_CARD	RSHEAL=Warmwasser	Warmwasser	Warmwasser einlassen	R3_STRUCTURAL_BASE	UNCHANGED	R3 retained after four-role comparison.
223	E223	B2	f82r	f82r.27	F065	B2-S017	78b3b3140714da19090d	daldy	dal=zweite Öffnung + dy=Ende	zweite Öffnung + Ende	zweite Öffnung; Ende	Wiederhole es an der zweiten Öffnung und beende den Schritt	CONTINUES_ACROSS_LINE					UNCHANGED	UNCHANGED					UNCHANGED	UNCHANGED					UNCHANGED	UNCHANGED					UNCHANGED	UNCHANGED	CLOSE					UNCHANGED	UNCHANGED					UNCHANGED	UNCHANGED					UNCHANGED	UNCHANGED	dal=zweite Öffnung + dy=Ende	zweite Öffnung + Ende	zweite Öffnung; Ende	Wiederhole es an der zweiten Öffnung und beende den Schritt	UNCHANGED	UNCHANGED	NOT_APPLICABLE	dal=zweite Öffnung + dy=Ende	zweite Öffnung + Ende	zweite Öffnung; Ende	Wiederhole es an der zweiten Öffnung und beende den Schritt	R3_ACCEPTED	R3 material/flow distinction accepted without central change.	dal=zweite Öffnung + dy=Ende	zweite Öffnung + Ende	zweite Öffnung; Ende	Wiederhole es an der zweiten Öffnung und beende den Schritt	UNCHANGED	UNCHANGED	NOT_APPLICABLE	dal=zweite Öffnung + dy=Ende	zweite Öffnung + Ende	zweite Öffnung; Ende	Wiederhole es an der zweiten Öffnung und beende den Schritt	R3_STRUCTURAL_BASE	UNCHANGED	R3 retained after four-role comparison.
224	E224	B2	f82r	f82r.27	F066	B2-S018	7d25241b0e56c836372a	qokeedy	OK_SET+GRADE_2+DY_CLOSE	OK=ansetzen; EE=Stufe II; DY=Schluss	länger ansetzen; Schluss	Länger ansetzen; Schluss	CONTINUES_ACROSS_LINE	okee=baden + dy=Ende	baden + Ende	baden; Ende	Lasse die Badende im temperierten Teilbad sitzen und beende den Schritt	E_GRADE_PARADIGM	SELECTED_PRODUCTIVE					UNCHANGED	UNCHANGED					UNCHANGED	UNCHANGED					UNCHANGED	UNCHANGED	OPERATION+STATE_GRADE+CLOSE	OK+EE+DY	E-Grad=SUSTAINED_CONTACT; Zustand=CLOSED	eintauchen oder einweichen und den Schritt abschließen	Eintauchen oder einweichen und den Schritt abschließen	OK_STATE_GRID	SELECTED_PRODUCTIVE					UNCHANGED	UNCHANGED	OK+GRADE_2+DY_CLOSE	OK=einsetzen; EE=anhaltend; Endkarte=Schluss	länger einweichen; Schluss	Länger einweichen; Schluss	CONTACT_GRID	SELECTED_RECURRENT_GRID	OK+GRADE_2+DY_CLOSE	OK=ansetzen; EE=länger; Endkarte=Schluss	länger einwirken; Schluss	Länger einwirken; Schluss	UNCHANGED	UNCHANGED	NOT_APPLICABLE	OK+GRADE_2+DY_CLOSE	OK=ansetzen; EE=länger; Endkarte=Schluss	länger einwirken; Schluss	Länger einwirken; Schluss	R3_ACCEPTED	R3 material/flow distinction accepted without central change.	OK+GRADE_2+DY_CLOSE	OK=ansetzen; EE=länger; Endkarte=Schluss	länger einwirken; Schluss	Länger einwirken; Schluss	OK_GRID	REVISED_R3	Second ranked committed OK state.	OK_SET+GRADE_2+DY_CLOSE	OK=ansetzen; EE=Stufe II; DY=Schluss	länger ansetzen; Schluss	Länger ansetzen; Schluss	R3_STRUCTURAL_BASE	OK_GRID	R3 retained after four-role comparison.
225	E225	B2	f82r	f82r.27	F067	B2-S019	7f68f60279efe6b28cd7	rshedy	RSHE_WASH_WHOLE_CARD+DY_CLOSE	RSHE=Waschung; Endkarte=Schluss	Waschung; Schluss	Führe die Waschung aus; Schluss	CONTINUES_ACROSS_LINE					UNCHANGED	UNCHANGED					UNCHANGED	UNCHANGED					UNCHANGED	UNCHANGED	rshe=Teil als Waschung + dy=Ende	Teil als Waschung + Ende	Teil als Waschung	Verwende den Anteil als örtliche Waschung und beende den Schritt	SENTENCE_CLOSE_REPAIR	SELECTED_EXISTING_COMPONENT	OPERATION+CLOSE					UNCHANGED	UNCHANGED					UNCHANGED	UNCHANGED	RSHE_WASH_PART+DY_TERMINAL	RSHE=Teil als Waschung; DY=Schluss	Teil als Waschung; Schluss	Teil als Waschung; Schluss	APPLICATION_ACTION_DECK	SELECTED_SINGLETON_WHOLE_CARD	RSHE_WASH_WHOLE_CARD+DY_CLOSE	RSHE=Waschung; Endkarte=Schluss	Waschung; Schluss	Führe die Waschung aus; Schluss	UNCHANGED	UNCHANGED	NOT_APPLICABLE	RSHE_WASH_WHOLE_CARD+DY_CLOSE	RSHE=Waschung; Endkarte=Schluss	Waschung; Schluss	Führe die Waschung aus; Schluss	R3_ACCEPTED	R3 material/flow distinction accepted without central change.	RSHE_WASH_WHOLE_CARD+DY_CLOSE	RSHE=Waschung; Endkarte=Schluss	Waschung; Schluss	Führe die Waschung aus; Schluss	UNCHANGED	UNCHANGED	NOT_APPLICABLE	RSHE_WASH_WHOLE_CARD+DY_CLOSE	RSHE=Waschung; Endkarte=Schluss	Waschung; Schluss	Führe die Waschung aus; Schluss	R3_STRUCTURAL_BASE	UNCHANGED	R3 retained after four-role comparison.
226	E226	B2	f82r	f82r.27	F068	B2-S020	ff178343c18e287ce3b7	qoteedy	OT_FOLLOW+GRADE_2+DY_CLOSE	OT=Folge; EE=Stufe II; DY=Schluss	längerer Folgeschritt; Schluss	Längerer Folgeschritt; Schluss	CONTINUES_ACROSS_LINE	qotee=warmes Tuch auflegen + dy=Ende	warmes Tuch auflegen + Ende	warmes Tuch auflegen; Ende	Lege ein warmes Tuch auf die bezeichnete äußere Stelle und beende den Schritt	E_GRADE_PARADIGM	SELECTED_PROVISIONAL_COMPOSITION					UNCHANGED	UNCHANGED					UNCHANGED	UNCHANGED					UNCHANGED	UNCHANGED	ORDER+STATE_GRADE+CLOSE	OT+EE+DY	E-Grad=SUSTAINED_HOLD; Zustand=CLOSED	danach anhaltend einwirken lassen und abschließen	Danach anhaltend einwirken lassen und abschließen	OT_STATE_GRID	SELECTED_RECURRENT					UNCHANGED	UNCHANGED					UNCHANGED	UNCHANGED	OT_NEXT+GRADE_2+DY_CLOSE	OT=danach; EE=anhaltend; Endkarte=Schluss	danach länger einwirken lassen; Schluss	Danach länger einwirken lassen; Schluss	UNCHANGED	UNCHANGED	NOT_APPLICABLE	OT_NEXT+GRADE_2+DY_CLOSE	OT=danach; EE=anhaltend; Endkarte=Schluss	danach länger einwirken lassen; Schluss	Danach länger einwirken lassen; Schluss	R3_ACCEPTED	R3 material/flow distinction accepted without central change.	OT_NEXT+GRADE_2+DY_CLOSE	OT=danach; EE=anhaltend; Endkarte=Schluss	danach länger einwirken lassen; Schluss	Danach länger einwirken lassen; Schluss	OT_GRADE_GRID	REVISED_R3	Committed second-grade successor.	OT_FOLLOW+GRADE_2+DY_CLOSE	OT=Folge; EE=Stufe II; DY=Schluss	längerer Folgeschritt; Schluss	Längerer Folgeschritt; Schluss	R3_STRUCTURAL_BASE	OT_GRADE_GRID	R3 retained after four-role comparison.
227	E227	B2	f82r	f82r.27	F069	B2-S021	7d25241b0e56c836372a	qokeedy	OK_SET+GRADE_2+DY_CLOSE	OK=ansetzen; EE=Stufe II; DY=Schluss	länger ansetzen; Schluss	Länger ansetzen; Schluss	CONTINUES_ACROSS_LINE	okee=baden + dy=Ende	baden + Ende	baden; Ende	Lasse die Badende im temperierten Teilbad sitzen und beende den Schritt	E_GRADE_PARADIGM	SELECTED_PRODUCTIVE					UNCHANGED	UNCHANGED					UNCHANGED	UNCHANGED					UNCHANGED	UNCHANGED	OPERATION+STATE_GRADE+CLOSE	OK+EE+DY	E-Grad=SUSTAINED_CONTACT; Zustand=CLOSED	eintauchen oder einweichen und den Schritt abschließen	Eintauchen oder einweichen und den Schritt abschließen	OK_STATE_GRID	SELECTED_PRODUCTIVE					UNCHANGED	UNCHANGED	OK+GRADE_2+DY_CLOSE	OK=einsetzen; EE=anhaltend; Endkarte=Schluss	länger einweichen; Schluss	Länger einweichen; Schluss	CONTACT_GRID	SELECTED_RECURRENT_GRID	OK+GRADE_2+DY_CLOSE	OK=ansetzen; EE=länger; Endkarte=Schluss	länger einwirken; Schluss	Länger einwirken; Schluss	UNCHANGED	UNCHANGED	NOT_APPLICABLE	OK+GRADE_2+DY_CLOSE	OK=ansetzen; EE=länger; Endkarte=Schluss	länger einwirken; Schluss	Länger einwirken; Schluss	R3_ACCEPTED	R3 material/flow distinction accepted without central change.	OK+GRADE_2+DY_CLOSE	OK=ansetzen; EE=länger; Endkarte=Schluss	länger einwirken; Schluss	Länger einwirken; Schluss	OK_GRID	REVISED_R3	Second ranked committed OK state.	OK_SET+GRADE_2+DY_CLOSE	OK=ansetzen; EE=Stufe II; DY=Schluss	länger ansetzen; Schluss	Länger ansetzen; Schluss	R3_STRUCTURAL_BASE	OK_GRID	R3 retained after four-role comparison.
228	E228	B2	f82r	f82r.27	F070	B2-S022	f2af6326898fb5b490a4	lochedy	LO_LEARNED+CHED+DY_TERMINAL	local LO hull; CHED=hinausführen; DY=Schluss	den Rest hinausführen; Schluss	Den Rest hinausführen; Schluss	CONTINUES_ACROSS_LINE	loche=gleichteilig mischen + dy=Ende	gleichteilig mischen + Ende	gleichteilig mischen; Ende	Mische zu gleichen Teilen und beende den Schritt	CHED_PARADIGM	LOW					UNCHANGED	UNCHANGED	L+O+CHED+TERMINAL_Y	CHD~CHED=umsetzen/in einen Arbeitsgang führen; L=ab oder aus; O unbestimmt; umhüllte DY-Abschlusskonstruktion	abführen oder umsetzen; Schluss	Abführen oder umsetzen; Schluss	DIRECTION_EXTENSION	SELECTED_LOCAL_EXTENSION					UNCHANGED	UNCHANGED	OPERATION+FLOW_TRANSFER+CLOSE					UNCHANGED	UNCHANGED					UNCHANGED	UNCHANGED					UNCHANGED	UNCHANGED	LO_LEARNED+CHED+DY_TERMINAL	local LO hull; CHED=hinausführen; DY=Schluss	den Rest hinausführen; Schluss	Den Rest hinausführen; Schluss	UNCHANGED	UNCHANGED	NOT_APPLICABLE	LO_LEARNED+CHED+DY_TERMINAL	local LO hull; CHED=hinausführen; DY=Schluss	den Rest hinausführen; Schluss	Den Rest hinausführen; Schluss	R3_ACCEPTED	R3 material/flow distinction accepted without central change.	LO_LEARNED+CHED+DY_TERMINAL	local LO hull; CHED=hinausführen; DY=Schluss	den Rest hinausführen; Schluss	Den Rest hinausführen; Schluss	UNCHANGED	UNCHANGED	NOT_APPLICABLE	LO_LEARNED+CHED+DY_TERMINAL	local LO hull; CHED=hinausführen; DY=Schluss	den Rest hinausführen; Schluss	Den Rest hinausführen; Schluss	R3_STRUCTURAL_BASE	UNCHANGED	R3 retained after four-role comparison.
229	E229	B3	f83r	f83r.3	F071	B3-S001	3b70942557b3a40e8030	olkeedy	SOLK_COLLECT+GRADE_2+DY_CLOSE	SOLK=auffangen; EE=Stufe II; DY=Schluss	länger auffangen; Schluss	Länger auffangen; Schluss	CONTINUES_ACROSS_LINE					UNCHANGED	UNCHANGED	olkee=absetzen + dy=Ende	absetzen + Ende	absetzen; Ende	Lasse die Flüssigkeit sich setzen und beende den Schritt	HOLD_CORES	SELECTED_LOCAL_STATION					UNCHANGED	UNCHANGED					UNCHANGED	UNCHANGED	TARGET+STATE_GRADE+CLOSE	OLK~SOLK_COLLECTION_STATION+GRADE_2+DY_TERMINAL	gelernte lokale Sammelstellenfamilie; längerer Grad; Schluss	an der Sammelstelle stehen oder absetzen lassen; Schluss	An der Sammelstelle stehen oder absetzen lassen; Schluss	SOLK_STATE_GRID	SELECTED_LOCAL_RECURRENT	OLK_SOLK_COLLECTION+GRADE_2+DY_CLOSE	OLK~SOLK=Auffangstelle; EE=länger; Endkarte=Schluss	an der Auffangstelle länger halten; Schluss	An der Auffangstelle länger halten; Schluss	SOLK_COLLECTION	SELECTED_LOCAL_GRADED_FAMILY					UNCHANGED	UNCHANGED	OLK_SOLK_COLLECTION+GRADE_2+DY_CLOSE	OLK~SOLK=Auffangstelle; EE=länger; Endkarte=Schluss	länger auffangen; Schluss	Länger auffangen; Schluss	UNCHANGED	UNCHANGED	NOT_APPLICABLE	OLK_SOLK_COLLECTION+GRADE_2+DY_CLOSE	OLK~SOLK=Auffangstelle; EE=länger; Endkarte=Schluss	länger auffangen; Schluss	Länger auffangen; Schluss	R3_ACCEPTED	R3 material/flow distinction accepted without central change.	OLK_SOLK_COLLECTION+GRADE_2+DY_CLOSE	OLK~SOLK=Auffangstelle; EE=länger; Endkarte=Schluss	länger auffangen; Schluss	Länger auffangen; Schluss	SOLK_GRID	REVISED_R3	Second committed collection grade.	SOLK_COLLECT+GRADE_2+DY_CLOSE	SOLK=auffangen; EE=Stufe II; DY=Schluss	länger auffangen; Schluss	Länger auffangen; Schluss	R3_STRUCTURAL_BASE	SOLK_GRID	R3 retained after four-role comparison.
230	E230	B3	f83r	f83r.3	F072	B3-S002	90bcf0a9ec0ef56399e6	qotal	OT_FOLLOW+AL_SITE	OT=Folge; AL=Stelle	Folgestelle	Folgestelle	CONTINUES_ACROSS_LINE					UNCHANGED	UNCHANGED					UNCHANGED	UNCHANGED	ot=danach + al=Stelle	danach + Stelle	danach zur Ablaufstelle	Zum unteren Ablauf hin	DIRECTION_WORKSHOP	SELECTED_RECURRENT_COMPOSITION					UNCHANGED	UNCHANGED	TARGET					UNCHANGED	UNCHANGED					UNCHANGED	UNCHANGED	OT+AL_TARGET	OT=danach; AL=Zielstelle	danach zur Zielstelle	Danach zur Zielstelle	AL_SITE	SELECTED_RECURRENT_COMPOSITION	OT_NEXT+AL_SITE	OT=danach; AL=Stelle	danach zur Stelle	Danach zur Stelle	UNCHANGED	UNCHANGED	NOT_APPLICABLE	OT_NEXT+AL_SITE	OT=danach; AL=Stelle	danach zur Stelle	Danach zur Stelle	R3_ACCEPTED	R3 material/flow distinction accepted without central change.	OT_NEXT+AL_SITE	OT=danach; AL=Stelle	danach zur Stelle	Danach zur Stelle	UNCHANGED	UNCHANGED	NOT_APPLICABLE	OT_NEXT+AL_SITE	OT=danach; AL=Stelle	danach zur Stelle	Danach zur Stelle	FOUR_ROLE_LEXICAL_REPAIR	ORDER_OT	Nominal OT compound is more compositional than the phrase 'danach zur Stelle'.
231	E231	B3	f83r	f83r.3	F072	B3-S002	a84fbe3ad380df345b97	chkeedy	CHK_WARM+GRADE_2+DY_CLOSE	CHK=wärmen; EE=Stufe II; DY=Schluss	länger wärmen; Schluss	Länger wärmen; Schluss	CONTINUES_ACROSS_LINE					UNCHANGED	UNCHANGED					UNCHANGED	UNCHANGED					UNCHANGED	UNCHANGED					UNCHANGED	UNCHANGED	OPERATION+STATE_GRADE+CLOSE	chkee=vollständig benetzen + dy=Ende	vollständig benetzen + Ende	vollständig benetzen; Ende	Benetze den bezeichneten Bereich vollständig und beende den Schritt	CHK_STATE_GRID	SELECTED_SINGLETON_PREDICTION					UNCHANGED	UNCHANGED					UNCHANGED	UNCHANGED	CHK_WARM+GRADE_2+DY_CLOSE	CHK=wärmen; EE=länger; Endkarte=Schluss	länger warm halten; Schluss	Länger warm halten; Schluss	UNCHANGED	UNCHANGED	NOT_APPLICABLE	CHK_WARM+GRADE_2+DY_CLOSE	CHK=wärmen; EE=länger; Endkarte=Schluss	länger warm halten; Schluss	Länger warm halten; Schluss	R3_ACCEPTED	R3 material/flow distinction accepted without central change.	CHK_WARM+GRADE_2+DY_CLOSE	CHK=wärmen; EE=länger; Endkarte=Schluss	länger warm halten; Schluss	Länger warm halten; Schluss	CHK_GRID	REVISED_R3	Committed second warmth grade.	CHK_WARM+GRADE_2+DY_CLOSE	CHK=wärmen; EE=Stufe II; DY=Schluss	länger wärmen; Schluss	Länger wärmen; Schluss	R3_STRUCTURAL_BASE	CHK_GRID	R3 retained after four-role comparison.
232	E232	B3	f83r	f83r.3	F073	B3-S003	b921a237be883a820352	chey	Y_CURRENT_ITEM_CARD	Y=aktuell gemeinter Arbeitsposten; dies/es	dieser Arbeitsposten	Dieser Arbeitsposten	CONTINUES_ACROSS_LINE					UNCHANGED	UNCHANGED	y=Ansatz	Ansatz	Ansatz	Diese aktive Portion	Y_CHY	SELECTED_PRODUCTIVE					UNCHANGED	UNCHANGED					UNCHANGED	UNCHANGED	OWNER_ITEM	Y_REFERENT_CARD	Y=aktuell gemeinter Arbeitsposten; dies/es	der laufende Posten; dies oder es	Der laufende Posten; dies oder es	Y_REFERENT	SELECTED_STRONG					UNCHANGED	UNCHANGED					UNCHANGED	UNCHANGED	Y_CURRENT_ITEM_CARD	Y=aktuell gemeinter Arbeitsposten; dies/es	dieser Arbeitsposten	Dieser Arbeitsposten	UNCHANGED	UNCHANGED	NOT_APPLICABLE	Y_CURRENT_ITEM_CARD	Y=aktuell gemeinter Arbeitsposten; dies/es	dieser Arbeitsposten	Dieser Arbeitsposten	R3_ACCEPTED	R3 material/flow distinction accepted without central change.	Y_CURRENT_ITEM_CARD	Y=aktuell gemeinter Arbeitsposten; dies/es	dieser Arbeitsposten	Dieser Arbeitsposten	UNCHANGED	UNCHANGED	NOT_APPLICABLE	Y_CURRENT_ITEM_CARD	Y=aktuell gemeinter Arbeitsposten; dies/es	dieser Arbeitsposten	Dieser Arbeitsposten	R3_STRUCTURAL_BASE	UNCHANGED	R3 retained after four-role comparison.
233	E233	B3	f83r	f83r.3	F073	B3-S003	2f1c5e56e8f0ff459065	daiin	AIIN_TARGET_MEASURE	AIIN=Sollmaß	Sollmaß	Sollmaß	CONTINUES_ACROSS_LINE					UNCHANGED	UNCHANGED					UNCHANGED	UNCHANGED					UNCHANGED	UNCHANGED	aiin=Maß	Maß	Maß	Den aktiven Posten nach der örtlichen Vorschrift bemessen	MEASURE_CORE	SELECTED_STRONG	QUANTITY					UNCHANGED	UNCHANGED					UNCHANGED	UNCHANGED					UNCHANGED	UNCHANGED	AIIN_MEASURE	AIIN=vorgeschriebenes Maß	vorgeschriebenes Maß	Vorgeschriebenes Maß	UNCHANGED	UNCHANGED	NOT_APPLICABLE	AIIN_MEASURE	AIIN=vorgeschriebenes Maß	vorgeschriebenes Maß	Vorgeschriebenes Maß	R3_ACCEPTED	R3 material/flow distinction accepted without central change.	AIIN_MEASURE	AIIN=vorgeschriebenes Maß	vorgeschriebenes Maß	Vorgeschriebenes Maß	AIIN_MEASURE	REVISED_R3	AIIN records the prescribed measure; it is not itself a time word.	AIIN_TARGET_MEASURE	AIIN=Sollmaß	Sollmaß	Sollmaß	R3_STRUCTURAL_BASE	AIIN_MEASURE	R3 retained after four-role comparison.
234	E234	B3	f83r	f83r.3	F073	B3-S003	b921a237be883a820352	chey	Y_CURRENT_ITEM_CARD	Y=aktuell gemeinter Arbeitsposten; dies/es	dieser Arbeitsposten	Dieser Arbeitsposten	CONTINUES_ACROSS_LINE					UNCHANGED	UNCHANGED	y=Ansatz	Ansatz	Ansatz	Diese aktive Portion	Y_CHY	SELECTED_PRODUCTIVE					UNCHANGED	UNCHANGED					UNCHANGED	UNCHANGED	OWNER_ITEM	Y_REFERENT_CARD	Y=aktuell gemeinter Arbeitsposten; dies/es	der laufende Posten; dies oder es	Der laufende Posten; dies oder es	Y_REFERENT	SELECTED_STRONG					UNCHANGED	UNCHANGED					UNCHANGED	UNCHANGED	Y_CURRENT_ITEM_CARD	Y=aktuell gemeinter Arbeitsposten; dies/es	dieser Arbeitsposten	Dieser Arbeitsposten	UNCHANGED	UNCHANGED	NOT_APPLICABLE	Y_CURRENT_ITEM_CARD	Y=aktuell gemeinter Arbeitsposten; dies/es	dieser Arbeitsposten	Dieser Arbeitsposten	R3_ACCEPTED	R3 material/flow distinction accepted without central change.	Y_CURRENT_ITEM_CARD	Y=aktuell gemeinter Arbeitsposten; dies/es	dieser Arbeitsposten	Dieser Arbeitsposten	UNCHANGED	UNCHANGED	NOT_APPLICABLE	Y_CURRENT_ITEM_CARD	Y=aktuell gemeinter Arbeitsposten; dies/es	dieser Arbeitsposten	Dieser Arbeitsposten	R3_STRUCTURAL_BASE	UNCHANGED	R3 retained after four-role comparison.
235	E235	B3	f83r	f83r.3	F073	B3-S003	de7321bface5628e35d6	lchedy	L+CHED+DY_TERMINAL	L=hinaus; CHED=führen; DY=Schluss	hinausführen; Schluss	Hinausführen; Schluss	CONTINUES_ACROSS_LINE	lch=ablassen + dy=Ende	ablassen + Ende	Flüssigkeit ablassen; Ende	Die verbrauchte Flüssigkeit zum Auffang- oder Auslassbereich abführen	CHED_PARADIGM	HIGH_WITHIN_WORKING_MODEL					UNCHANGED	UNCHANGED	L+CHED+TERMINAL_Y	CHD~CHED=umsetzen/in einen Arbeitsgang führen; L=ab oder aus; umhüllte DY-Abschlusskonstruktion	abführen; Schluss	Abführen; Schluss	DIRECTION_WORKSHOP	SELECTED_STRONG					UNCHANGED	UNCHANGED	OPERATION+FLOW_TRANSFER+CLOSE					UNCHANGED	UNCHANGED					UNCHANGED	UNCHANGED					UNCHANGED	UNCHANGED	L+CHED+DY_TERMINAL	L=hinaus; CHED=führen; DY=Schluss	hinausführen; Schluss	Hinausführen; Schluss	UNCHANGED	UNCHANGED	NOT_APPLICABLE	L+CHED+DY_TERMINAL	L=hinaus; CHED=führen; DY=Schluss	hinausführen; Schluss	Hinausführen; Schluss	R3_ACCEPTED	R3 material/flow distinction accepted without central change.	L+CHED+DY_TERMINAL	L=hinaus; CHED=führen; DY=Schluss	hinausführen; Schluss	Hinausführen; Schluss	UNCHANGED	UNCHANGED	NOT_APPLICABLE	L+CHED+DY_TERMINAL	L=hinaus; CHED=führen; DY=Schluss	hinausführen; Schluss	Hinausführen; Schluss	R3_STRUCTURAL_BASE	UNCHANGED	R3 retained after four-role comparison.
