statement_id	record_unit_id	page	loci	event_count	original_surface_sequence	master_head_sequence	master_card_sequence	tuple_sequence	card_meaning_sequence_de	macro_sequence	fluent_workshop_reading_de	normalized_token_changes	reverse_reading_status
B2-S019	B2	f82r	f82r.27	1	rshedy	rshedy	MC084	7f68f60279efe6b28cd7	Waschgang	M07>M09	Führe den Waschgang aus und schließe.	0	DIRECT_SURFACE_TO_MASTER_CARD_TO_MEANING
B2-S020	B2	f82r	f82r.27	1	qoteedy	qoteedy	MC173	ff178343c18e287ce3b7	lange Folge; Schluss	M02>M09	Nimm die lange Folge und schließe	0	DIRECT_SURFACE_TO_MASTER_CARD_TO_MEANING
B2-S021	B2	f82r	f82r.27	1	qokeedy	qokeedy	MC082	7d25241b0e56c836372a	länger ansetzen; Schluss	M07>M09	Setze länger an und schließe	0	DIRECT_SURFACE_TO_MASTER_CARD_TO_MEANING
B2-S022	B2	f82r	f82r.27	1	lochedy	lochedy	MC167	f2af6326898fb5b490a4	Rest abfuehren; Schluss	M06>M09	Führe den Rest ab und schließe	0	DIRECT_SURFACE_TO_MASTER_CARD_TO_MEANING
B3-S001	B3	f83r	f83r.3	1	olkeedy	olkeedy	MC045	3b70942557b3a40e8030	länger sammeln; Schluss	M07>M09	Sammle länger und schließe	0	DIRECT_SURFACE_TO_MASTER_CARD_TO_MEANING
B3-S002	B3	f83r	f83r.3	2	qotal chkeedy	otal chkeedy	MC093 MC110	90bcf0a9ec0ef56399e6 a84fbe3ad380df345b97	danach dorthin -> länger wärmen; Schluss	M05>M07>M09	Führe danach dorthin, wärme länger und schließe	1	DIRECT_SURFACE_TO_MASTER_CARD_TO_MEANING
B3-S003	B3	f83r	f83r.3	4	chey daiin chey lchedy	chey aiin chey lchedy	MC123 MC039 MC123 MC155	b921a237be883a820352 2f1c5e56e8f0ff459065 b921a237be883a820352 de7321bface5628e35d6	dieser Posten -> Sollmaß -> dieser Posten -> abführen; Schluss	M02>M04>M02>M06>M09	Nimm den aktuellen Posten nach Sollmaß, führe ihn ab und schließe	1	DIRECT_SURFACE_TO_MASTER_CARD_TO_MEANING
B3-S004	B3	f83r	f83r.3	3	qokaiin qotal dar	okaiin otal char	MC120 MC093 MC055	b5fcea1eaed06b2f2291 90bcf0a9ec0ef56399e6 4d4559019a961b834aa1	auf Sollmaß einstellen -> danach dorthin -> daraus	M04>M05	Stelle das Sollmaß ein, führe danach dorthin und nimm daraus	3	DIRECT_SURFACE_TO_MASTER_CARD_TO_MEANING
B3-S005	B3	f83r	f83r.6	1	schedy	dchedy	MC025	259b2b3b0bf859882e2c	umsetzen; Schluss	M06>M09	Setze die entnommene Sollmaßportion um und schließe	1	DIRECT_SURFACE_TO_MASTER_CARD_TO_MEANING
B3-S006	B3	f83r	f83r.6	3	chedchy qokal olchedy	chedchy okal olchedy	MC064 MC040 MC028	5e8441397e7c0faf042b 308e8ea2d5d190c498e8 28ffbc88b97772a75f1e	umsetzen -> dort ansetzen -> fortsetzen; Schluss	M06>M07>M06>M09	Setze dorthin um, führe weiter und schließe	1	DIRECT_SURFACE_TO_MASTER_CARD_TO_MEANING
B3-S007	B3	f83r	f83r.6	3	qokaiin chedy qokeedy	okaiin chdy qokeedy	MC120 MC074 MC082	b5fcea1eaed06b2f2291 6f7ff8287eddf4da9fdb 7d25241b0e56c836372a	auf Sollmaß einstellen -> umsetzen -> länger ansetzen; Schluss	M04>M06>M07>M09	Stelle das Sollmaß ein, setze um, setze länger an und schließe	2	DIRECT_SURFACE_TO_MASTER_CARD_TO_MEANING
B3-S008	B3	f83r	f83r.6	1	lchedy	lchedy	MC155	de7321bface5628e35d6	abführen; Schluss	M06>M09	Führe ab und schließe	0	DIRECT_SURFACE_TO_MASTER_CARD_TO_MEANING
B3-S009	B3	f83r	f83r.6	1	qoky	choky	MC026	276a7c2d74d1143446f4	Posten ansetzen	M07	Setze den Posten an	1	DIRECT_SURFACE_TO_MASTER_CARD_TO_MEANING
B3-S010	B3	f83r	f83r.8	2	pchedal otedy	pchedal otedy	MC126 MC135	ba540da978ea132f6da5 c45ebac60774620561e2	Einlass -> kurze Folge; Schluss	M06>M02>M09	Führe den angesetzten Posten am Einlass zu, nimm die kurze Folge und schließe	0	DIRECT_SURFACE_TO_MASTER_CARD_TO_MEANING
B3-S011	B3	f83r	f83r.8	4	shecthedchy qoky chedy chary	shecthedchy choky chdy chary	MC043 MC026 MC074 MC009	348e81ba084c5acdb32b 276a7c2d74d1143446f4 6f7ff8287eddf4da9fdb 0bdc8b6db811b4e67a63	bereiten Posten umsetzen -> Posten ansetzen -> umsetzen -> daraus	M06>M07>M06>M05	Setze den bereiten Posten um, setze ihn an, setze erneut um und nimm daraus den folgenden Posten.	2	DIRECT_SURFACE_TO_MASTER_CARD_TO_MEANING
B3-S012	B3	f83r	f83r.11	2	sor shedy	chor cheedy	MC080 MC128	7a4bb8136330ee4e6e56 bc4f1f5c006c74a4d26d	Ansatz -> absetzen; Schluss	M03>M07>M09	Lass den aufgestrichenen und abgekühlten Ansatz absetzen und schließe	2	DIRECT_SURFACE_TO_MASTER_CARD_TO_MEANING
B3-S013	B3	f83r	f83r.11	4	qokaiin chkain shcthey qokedy	okaiin chkain qcthey qokedy	MC120 MC105 MC073 MC083	b5fcea1eaed06b2f2291 9da1b6ac2c929daea697 6b89d6dd70635bc60fe0 7db18b2f0fb7ed0fcfd3	auf Sollmaß einstellen -> eine Portion -> kurz bereithalten -> kurz ansetzen; Schluss	M04>M08>M07>M09	Stelle das Sollmaß ein, nimm eine Portion, halte kurz bereit, setze kurz an und schließe	2	DIRECT_SURFACE_TO_MASTER_CARD_TO_MEANING
B3-S014	B3	f83r	f83r.11	2	okair sheedy	okair sheedy	MC081 MC003	7d2404c835b10a2c06af 03626ca94cb17800d767	Wasser einlassen -> länger absetzen; Schluss	M06>M07>M09	Lass Wasser ein, lass länger absetzen und schließe	0	DIRECT_SURFACE_TO_MASTER_CARD_TO_MEANING
B3-S015	B3	f83r	f83r.11	1	lchedy	lchedy	MC155	de7321bface5628e35d6	abführen; Schluss	M06>M09	Führe ab und schließe	0	DIRECT_SURFACE_TO_MASTER_CARD_TO_MEANING
B3-S016	B3	f83r	f83r.11|f83r.14	2	lo qokchedy	lo okchedy	MC030 MC005	2b7fa918d1b2f5c656e3 07913ef9b1fb773cd325	abfuehren -> umsetzen; Schluss	M06>M09	Fuehre ab, setze den Posten um und schliesse.	1	DIRECT_SURFACE_TO_MASTER_CARD_TO_MEANING
B3-S017	B3	f83r	f83r.14	1	qokeedy	qokeedy	MC082	7d25241b0e56c836372a	länger ansetzen; Schluss	M07>M09	Setze länger an und schließe	0	DIRECT_SURFACE_TO_MASTER_CARD_TO_MEANING
B3-S018	B3	f83r	f83r.14	1	shedy	cheedy	MC128	bc4f1f5c006c74a4d26d	absetzen; Schluss	M07>M09	Lass absetzen und schließe	1	DIRECT_SURFACE_TO_MASTER_CARD_TO_MEANING
B3-S019	B3	f83r	f83r.14	1	qokshedy	qokshedy	MC151	db167f8e9b53eefb58f8	absetzen; Schluss	M07>M09	Lass absetzen und schließe	0	DIRECT_SURFACE_TO_MASTER_CARD_TO_MEANING
B3-S020	B3	f83r	f83r.14	2	dal lchedy	al lchedy	MC154 MC155	dd0ecaf5e27d81befffc de7321bface5628e35d6	dorthin -> abführen; Schluss	M05>M06>M09	Führe dorthin, führe ab und schließe	1	DIRECT_SURFACE_TO_MASTER_CARD_TO_MEANING
B3-S021	B3	f83r	f83r.14|f83r.15	11	qokaiin shcthy dal sy saiin shedal shecthy chey tal shcthy dalchdy	okaiin checthy al chey aiin shedal shecthy chey al checthy dalchdy	MC120 MC161 MC154 MC123 MC039 MC113 MC137 MC123 MC154 MC161 MC031	b5fcea1eaed06b2f2291 e0b630cb1b5df5e7105b dd0ecaf5e27d81befffc b921a237be883a820352 2f1c5e56e8f0ff459065 abb23e5e6936b4147f76 cb57b696b815fdef9cb7 b921a237be883a820352 dd0ecaf5e27d81befffc e0b630cb1b5df5e7105b 2bc2ed2630dbdaaa6b59	auf Sollmaß einstellen -> bereit -> dorthin -> dieser Posten -> Sollmaß -> dort absetzen -> kurz bereit halten -> dieser Posten -> dorthin -> bereit -> dorthin umsetzen; Schluss	M04>M08>M05>M02>M04>M07>M08>M02>M05>M08>M06>M09	Stelle das Sollmass ein, halte bereit, fuehre dorthin, lass dort absetzen, halte den Posten kurz bereit, fuehre ihn erneut dorthin, setze um und schliesse.	7	DIRECT_SURFACE_TO_MASTER_CARD_TO_MEANING
B3-S022	B3	f83r	f83r.15	1	qotchedy	otchedy	MC057	4de12cf322dfb76ded1e	Folgeumsetzung; Schluss	M06>M09	Führe die Folgeumsetzung aus und schließe	1	DIRECT_SURFACE_TO_MASTER_CARD_TO_MEANING
B3-S023	B3	f83r	f83r.15	1	lchedy	lchedy	MC155	de7321bface5628e35d6	abführen; Schluss	M06>M09	Führe ab und schließe	0	DIRECT_SURFACE_TO_MASTER_CARD_TO_MEANING
B3-S024	B3	f83r	f83r.16	1	tchedy	dchedy	MC025	259b2b3b0bf859882e2c	umsetzen; Schluss	M06>M09	Setze um und schließe	1	DIRECT_SURFACE_TO_MASTER_CARD_TO_MEANING
B3-S025	B3	f83r	f83r.16	1	qokchdy	qokchdy	MC088	87411f84689b4f93a303	umsetzen; Schluss	M06>M09	Setze um und schließe	0	DIRECT_SURFACE_TO_MASTER_CARD_TO_MEANING
B3-S026	B3	f83r	f83r.16|f83r.20	7	cheedar chldaiin chedy qokain checthy chealror solkeedy	cheedar chldaiin chdy okain checthy chealror olkeedy	MC042 MC144 MC074 MC017 MC161 MC146 MC045	342c3f0777337648f4b3 d72f71baff01cd0a0406 6f7ff8287eddf4da9fdb 1645e612504fcef59ced e0b630cb1b5df5e7105b d788d8d72d41b25a3c71 3b70942557b3a40e8030	von dort umsetzen -> Absetzmaß -> umsetzen -> eine Portion zugeben -> bereit -> Ansatz von dort zur Zielstelle -> länger sammeln; Schluss	M06>M04>M06>M04>M08>M03>M07>M09	Setze von dort um, warte bis zum Absetzmass, setze erneut um, gib eine Portion zu, halte bereit, fuehre den Ansatz von dort zur Zielstelle, sammle laenger und schliesse.	3	DIRECT_SURFACE_TO_MASTER_CARD_TO_MEANING
B3-S027	B3	f83r	f83r.20	1	qoteedy	qoteedy	MC173	ff178343c18e287ce3b7	lange Folge; Schluss	M02>M09	Nimm die lange Folge und schließe	0	DIRECT_SURFACE_TO_MASTER_CARD_TO_MEANING
B3-S028	B3	f83r	f83r.20	2	qokeey qokedy	okeey qokedy	MC002 MC083	0275fbf14e07935b0a45 7db18b2f0fb7ed0fcfd3	länger ansetzen -> kurz ansetzen; Schluss	M07>M09	Setze länger, dann kurz an und schließe	1	DIRECT_SURFACE_TO_MASTER_CARD_TO_MEANING
B3-S029	B3	f83r	f83r.20	3	sol cheeety qokedy	cheol cheeety qokedy	MC153 MC094 MC083	dcda95c81a5460feb191 9247e38d29c79a0d2fa5 7db18b2f0fb7ed0fcfd3	fortsetzen -> ganzen Teilposten -> kurz ansetzen; Schluss	M02>M04>M07>M09	Fuehre weiter, nimm den ganzen Teilposten, setze kurz an und schliesse.	1	DIRECT_SURFACE_TO_MASTER_CARD_TO_MEANING
B3-S030	B3	f83r	f83r.20|f83r.22	4	qoky saiin schedair otchedy	choky aiin schedair otchedy	MC026 MC039 MC116 MC057	276a7c2d74d1143446f4 2f1c5e56e8f0ff459065 b154ff779abe5f196c80 4de12cf322dfb76ded1e	Posten ansetzen -> Sollmaß -> Wasser weiterleiten -> Folgeumsetzung; Schluss	M07>M04>M06>M09	Setze den Posten nach Sollmaß an, leite Wasser weiter, führe die Folgeumsetzung aus und schließe	2	DIRECT_SURFACE_TO_MASTER_CARD_TO_MEANING
B3-S031	B3	f83r	f83r.22	1	qokeedy	qokeedy	MC082	7d25241b0e56c836372a	länger ansetzen; Schluss	M07>M09	Setze länger an und schließe	0	DIRECT_SURFACE_TO_MASTER_CARD_TO_MEANING
B3-S032	B3	f83r	f83r.22	5	chedain chedy qotedaiin otaiin otedy	chedain chdy qotedaiin otaiin otedy	MC145 MC074 MC018 MC060 MC135	d784b2abcaf1a3703de2 6f7ff8287eddf4da9fdb 1779decef17481ec2853 54d0e228ca346110af05 c45ebac60774620561e2	Portion umsetzen -> umsetzen -> kurzes Folgemass -> Folgemaß -> kurze Folge; Schluss	M04>M06>M04>M02>M09	Setze eine Portion um, stelle ein kurzes Folgemass und danach das Folgemass ein, fuehre die kurze Folge aus und schliesse.	1	DIRECT_SURFACE_TO_MASTER_CARD_TO_MEANING
B3-S033	B3	f83r	f83r.22	1	ldy	ldy	MC004	04a3877f0fc81b7597c9	abziehen; Ende	M06>M09	Ziehe ab und schließe	0	DIRECT_SURFACE_TO_MASTER_CARD_TO_MEANING
B3-S034	B3	f83r	f83r.24	6	soiiin checthy chety otaiin olsaly shedy	oiiin checthy chety otaiin olsaly cheedy	MC033 MC161 MC086 MC060 MC078 MC128	2c82523794dcb7d2b343 e0b630cb1b5df5e7105b 80ebbbbf238eee9f0aef 54d0e228ca346110af05 7811a7daff25d476e28d bc4f1f5c006c74a4d26d	Sollstufe -> bereit -> Teil abtrennen -> Folgemaß -> untere Zielstelle -> absetzen; Schluss	M04>M08>M04>M05>M07>M09	Bringe auf Sollstufe, halte bereit, trenne einen Teil ab, stelle das Folgemass ein, fuehre zur unteren Zielstelle, lass absetzen und schliesse.	2	DIRECT_SURFACE_TO_MASTER_CARD_TO_MEANING
B4-S001	B4	f83r	f83r.25	1	qokeedy	qokeedy	MC082	7d25241b0e56c836372a	länger ansetzen; Schluss	M07>M09	Setze länger an und schließe	0	DIRECT_SURFACE_TO_MASTER_CARD_TO_MEANING
B4-S002	B4	f83r	f83r.25	3	qolchey qokeey qokedy	qolchey okeey qokedy	MC162 MC002 MC083	e2eb77ca9d9e1a8ba29a 0275fbf14e07935b0a45 7db18b2f0fb7ed0fcfd3	diesen Posten weiterfuehren -> länger ansetzen -> kurz ansetzen; Schluss	M02>M07>M09	Fuehre diesen Posten weiter, setze ihn laenger und dann kurz an und schliesse.	1	DIRECT_SURFACE_TO_MASTER_CARD_TO_MEANING
B4-S003	B4	f83r	f83r.25|f83r.26	7	chedy otal otchey qokeey qoky tol shedy	chdy otal otchey okeey choky cheol cheedy	MC074 MC093 MC171 MC002 MC026 MC153 MC128	6f7ff8287eddf4da9fdb 90bcf0a9ec0ef56399e6 faf321940aed922846a9 0275fbf14e07935b0a45 276a7c2d74d1143446f4 dcda95c81a5460feb191 bc4f1f5c006c74a4d26d	umsetzen -> danach dorthin -> Folgeposten -> länger ansetzen -> Posten ansetzen -> fortsetzen -> absetzen; Schluss	M06>M05>M02>M07>M02>M07>M09	Setze um, führe danach dorthin, wähle den Folgeposten, setze länger an, führe weiter, lass absetzen und schließe	5	DIRECT_SURFACE_TO_MASTER_CARD_TO_MEANING
B4-S004	B4	f83r	f83r.26	1	qokylddy	qokylddy	MC164	eb2e4bc143f623ee03ac	befestigen	M07>M09	Befestige den Posten und schließe	0	DIRECT_SURFACE_TO_MASTER_CARD_TO_MEANING
B4-S005	B4	f83r	f83r.27	3	dain chedy qokeedy	dain chdy qokeedy	MC059 MC074 MC082	53cd0637c6820ba5e91f 6f7ff8287eddf4da9fdb 7d25241b0e56c836372a	Tuch -> umsetzen -> länger ansetzen; Schluss	M05>M06>M07>M09	Lege das Tuch ein, setze um, setze länger an und schließe	1	DIRECT_SURFACE_TO_MASTER_CARD_TO_MEANING
B4-S006	B4	f83r	f83r.27	1	shckhedy	shckhedy	MC143	d68bc8de3bcee09db23c	seihen; Schluss	M07>M09	Seih und schließe	0	DIRECT_SURFACE_TO_MASTER_CARD_TO_MEANING
B4-S007	B4	f83r	f83r.27	1	shckhedy	shckhedy	MC143	d68bc8de3bcee09db23c	seihen; Schluss	M07>M09	Seih und schließe	0	DIRECT_SURFACE_TO_MASTER_CARD_TO_MEANING
B4-S008	B4	f83r	f83r.28	4	saiin cheeky sheey qokedy	aiin cheeky sheey qokedy	MC039 MC032 MC095 MC083	2f1c5e56e8f0ff459065 2c1a5fd92b9e3c762242 92e43836d82f98bf02d3 7db18b2f0fb7ed0fcfd3	Sollmaß -> länger wärmen -> laenger ruhen -> kurz ansetzen; Schluss	M04>M07>M08>M07>M09	Stelle das Sollmass ein, waerme laenger, lass laenger ruhen, setze kurz an und schliesse.	1	DIRECT_SURFACE_TO_MASTER_CARD_TO_MEANING
B4-S009	B4	f83r	f83r.28	1	shedy	cheedy	MC128	bc4f1f5c006c74a4d26d	absetzen; Schluss	M07>M09	Lass absetzen und schließe	1	DIRECT_SURFACE_TO_MASTER_CARD_TO_MEANING
B4-S010	B4	f83r	f83r.28	1	oldy	oldy	MC019	1b1ffdd869fb1429ad03	fortsetzen; Schluss	M02>M09	Führe weiter und schließe	0	DIRECT_SURFACE_TO_MASTER_CARD_TO_MEANING
B4-S011	B4	f83r	f83r.35|f83r.37	7	saiin cheky okeeol okain chdy sol lkedy	aiin cheky okeeol okain chdy cheol lkedy	MC039 MC147 MC150 MC017 MC074 MC153 MC124	2f1c5e56e8f0ff459065 d904bf7b044dd3922781 daf32e6db9e04413ce7f 1645e612504fcef59ced 6f7ff8287eddf4da9fdb dcda95c81a5460feb191 b958a512ca6a3559e86e	Sollmaß -> kurz wärmen -> länger fortführen -> eine Portion zugeben -> umsetzen -> fortsetzen -> nachwaschen	M04>M07>M04>M06>M02>M07>M09	Stelle das Sollmaß ein, wärme kurz, führe länger fort, gib eine Portion zu, setze um, führe weiter, wasche nach und schließe	2	DIRECT_SURFACE_TO_MASTER_CARD_TO_MEANING
B4-S012	B4	f83r	f83r.37	1	lchedy	lchedy	MC155	de7321bface5628e35d6	abführen; Schluss	M06>M09	Führe ab und schließe	0	DIRECT_SURFACE_TO_MASTER_CARD_TO_MEANING
B4-S013	B4	f83r	f83r.37	2	qokol shedy	qokol cheedy	MC024 MC128	232195d6ff2f326322f7 bc4f1f5c006c74a4d26d	Fortsetzung einsetzen -> absetzen; Schluss	M07>M09	Setze die Fortsetzung ein, lass absetzen und schließe	1	DIRECT_SURFACE_TO_MASTER_CARD_TO_MEANING
B4-S014	B4	f83r	f83r.38	4	or chey qockhey dairydy	chor chey qockhey dairydy	MC080 MC123 MC165 MC091	7a4bb8136330ee4e6e56 b921a237be883a820352 ecce30bc8dcc400bf2c8 8aedd154964a78e555d6	Ansatz -> dieser Posten -> kurzen Durchlauf ansetzen -> Wasserlauf schliessen; Schluss	M03>M02>M06>M09	Setze den Ansatz in einen kurzen Durchlauf, schliesse den Wasserlauf und beende den Schritt.	1	DIRECT_SURFACE_TO_MASTER_CARD_TO_MEANING
B4-S015	B4	f83r	f83r.39|f83r.41	6	qokain shey kain chckhal solkey lchedy	okain cheey chkain chckhal solkey lchedy	MC017 MC119 MC105 MC022 MC050 MC155	1645e612504fcef59ced b5df9126607030b95175 9da1b6ac2c929daea697 21ed2873b71e57269c08 42cdc187d5b9ffc60063 de7321bface5628e35d6	eine Portion zugeben -> Klarlauf -> eine Portion -> zur Zielstelle durchleiten -> kurz sammeln -> abführen; Schluss	M04>M08>M04>M06>M07>M06>M09	Gib eine Portion zu, nimm den Klarlauf, leite die Portion zur Zielstelle, sammle kurz, fuehre ab und schliesse.	3	DIRECT_SURFACE_TO_MASTER_CARD_TO_MEANING
B4-S016	B4	f83r	f83r.41|f83r.44	4	qolkain dal skar shedy	olkain al skar cheedy	MC097 MC154 MC089 MC128	94df4847b7b16c98394a dd0ecaf5e27d81befffc 883a6708116c342cb10b bc4f1f5c006c74a4d26d	weitere Portion -> dorthin -> von dort ausgiessen -> absetzen; Schluss	M04>M05>M06>M07>M09	Gib eine weitere Portion dorthin, giesse sie von dort aus, lass absetzen und schliesse.	3	DIRECT_SURFACE_TO_MASTER_CARD_TO_MEANING
B5-S001	B5	f83r	f83r.47	1	otchdy	otchdy	MC067	601b77449028deed39de	Folgeumsetzung; Schluss	M06>M09	Führe die Folgeumsetzung aus und schließe	0	DIRECT_SURFACE_TO_MASTER_CARD_TO_MEANING
B5-S002	B5	f83r	f83r.47	1	qokchdy	qokchdy	MC088	87411f84689b4f93a303	umsetzen; Schluss	M06>M09	Setze um und schließe	0	DIRECT_SURFACE_TO_MASTER_CARD_TO_MEANING
B5-S003	B5	f83r	f83r.47|f83r.48|f83r.49	9	shedal dal cheol lol chdal aiin sol daiiin chedy	shedal al cheol lol chdal aiin cheol daiiin chdy	MC113 MC154 MC153 MC092 MC001 MC039 MC153 MC172 MC074	abb23e5e6936b4147f76 dd0ecaf5e27d81befffc dcda95c81a5460feb191 8c97dfde96fbc78e3355 00d8ebe3c68294eeac39 2f1c5e56e8f0ff459065 dcda95c81a5460feb191 fcc1deda9e24ec268eb0 6f7ff8287eddf4da9fdb	dort absetzen -> dorthin -> fortsetzen -> von dort weiterfuehren -> dort umsetzen -> Sollmaß -> fortsetzen -> Öffnungsstufe -> umsetzen	M07>M05>M02>M06>M04>M02>M04>M06	Lass dort absetzen, fuehre dorthin und weiter, fuehre von dort weiter, setze dort um, stelle das Sollmass ein und setze weiter um.	3	DIRECT_SURFACE_TO_MASTER_CARD_TO_MEANING
B6-S001	B6	f83r	f83r.52|f83r.54	9	solkeey qekey raly ol daiin ol dain chey ldalor	solkeey qekey raly cheol aiin cheol dain chey ldalor	MC020 MC052 MC046 MC153 MC039 MC153 MC059 MC123 MC101	1bfd786e6b8b63734a59 43eb9aa12959b4d5cdc9 3e9c7f217843b588489d dcda95c81a5460feb191 2f1c5e56e8f0ff459065 dcda95c81a5460feb191 53cd0637c6820ba5e91f b921a237be883a820352 97ddca78c9ebcc956d04	länger sammeln -> roh -> diesen Posten dorthin -> fortsetzen -> Sollmaß -> fortsetzen -> Tuch -> dieser Posten -> Endziel	M07>M08>M05>M02>M04>M02>M05>M02>M05	Sammle den rohen Posten laenger, fuehre diesen Posten dorthin, stelle das Sollmass ein, lege das Tuch ein und fuehre den Posten zum Endziel.	3	DIRECT_SURFACE_TO_MASTER_CARD_TO_MEANING
