visible_surface	master_card_id	joint_tuple_id	master_head_form	surface_role	short_meaning_de	component_reading	macro_id	observed_event_count	direct_lookup_unique	context_needed_for_card_identity
qotedaiin	MC018	1779decef17481ec2853	qotedaiin	FIXED_REGISTERED_FORM	kurzes Folgemass	OT_FOLLOW+E_SHORT+AIIN_MEASURE	M04	1	YES	NO
qoteedy	MC173	ff178343c18e287ce3b7	qoteedy	FIXED_REGISTERED_FORM	lange Folge; Schluss	OT_FOLLOW+GRADE_2+CLOSE	M02	2	YES	NO
ral	MC056	4da0f0f7b5fc7ac20067	ral	FIXED_REGISTERED_FORM	zur Zielstelle	R_FRAME+AL_TO	M05	1	YES	NO
raly	MC046	3e9c7f217843b588489d	raly	FIXED_REGISTERED_FORM	diesen Posten dorthin	AL_TO+Y_CURRENT	M05	1	YES	NO
rol	MC016	1496a731803a9f48d2e1	rol	FIXED_REGISTERED_FORM	weiterfuehren	R_FRAME+OL_CONTINUE	M02	1	YES	NO
rsheal	MC102	98bdc4244c84cbef3321	rsheal	FIXED_REGISTERED_FORM	kurz am Ziel ruhen	R_FRAME+SH_REST+E_SHORT+AL_TO	M08	1	YES	NO
rshedy	MC084	7f68f60279efe6b28cd7	rshedy	FIXED_REGISTERED_FORM	Waschgang	RSHE_WASH_WHOLE_CARD+DY_CLOSE	M07	1	YES	NO
saiin	MC039	2f1c5e56e8f0ff459065	aiin	S_LINE_VARIANT	Sollmaß	AIIN_TARGET_MEASURE	M04	4	YES	NO
sal	MC154	dd0ecaf5e27d81befffc	al	S_LINE_VARIANT	dorthin	AL_TO	M05	1	YES	NO
sar	MC055	4d4559019a961b834aa1	char	S_LINE_VARIANT	daraus	AR_FROM	M05	1	YES	NO
schedair	MC116	b154ff779abe5f196c80	schedair	FIXED_REGISTERED_FORM	Wasser weiterleiten	SCHED_LEAD+AIR_WATER	M06	1	YES	NO
schedy	MC025	259b2b3b0bf859882e2c	dchedy	S_LINE_VARIANT	umsetzen; Schluss	CHED_TRANSFER+TERMINAL	M06	2	YES	NO
schoal	MC049	428a5e3662aa57b4b256	schoal	FIXED_REGISTERED_FORM	Zutat dorthin	HO_INGREDIENT+AL_TO	M01	1	YES	NO
schol	MC142	d665560c8ff80799a82c	dchol	S_LINE_VARIANT	Voriges	DCHOL_SCHOL_PREVIOUS_ITEM_WHOLE	M02	1	YES	NO
sh	MC114	ad3581d3144f69a5912d	sh	FIXED_REGISTERED_FORM	Staengel	MEMORIZED_WHOLE_CARD	M07	1	YES	NO
shckhedy	MC143	d68bc8de3bcee09db23c	shckhedy	FIXED_REGISTERED_FORM	seihen; Schluss	CKHE_STRAIN+TERMINAL	M07	3	YES	NO
shckhy	MC035	2cc8bb3c2af19607888f	chckhy	S_LINE_VARIANT	durchleiten	CKH_THROUGH+Y_ITEM	M06	1	YES	NO
shcthey	MC073	6b89d6dd70635bc60fe0	qcthey	S_LINE_VARIANT	kurz bereithalten	CTH_READY+GRADE_1+Y_CURRENT	M08	1	YES	NO
shcthy	MC161	e0b630cb1b5df5e7105b	checthy	S_LINE_VARIANT	bereit	CTH_READY+Y_CURRENT	M08	2	YES	NO
sheckhal	MC058	4eab1841ed655c20a348	sheckhal	FIXED_REGISTERED_FORM	kurz zur Zielstelle durchleiten	CKH_THROUGH+E_SHORT+AL_TO	M06	1	YES	NO
sheckhy	MC132	c1913ec4ff84148da6d3	sheckhy	FIXED_REGISTERED_FORM	kurz durchleiten	CKH_THROUGH+E_SHORT+Y_CURRENT	M06	1	YES	NO
shecthedchy	MC043	348e81ba084c5acdb32b	shecthedchy	FIXED_REGISTERED_FORM	bereiten Posten umsetzen	CTH_READY+CHED_TRANSFER+Y_CURRENT	M06	1	YES	NO
shecthy	MC137	cb57b696b815fdef9cb7	shecthy	FIXED_REGISTERED_FORM	kurz bereit halten	CTH_READY+E_SHORT+Y_CURRENT	M08	1	YES	NO
shedal	MC113	abb23e5e6936b4147f76	shedal	FIXED_REGISTERED_FORM	dort absetzen	SHED_SETTLE+AL_TO	M07	2	YES	NO
shedy	MC128	bc4f1f5c006c74a4d26d	cheedy	S_LINE_VARIANT	absetzen; Schluss	SHED_SETTLE+GRADE_1+DY_CLOSE	M07	10	YES	NO
sheedy	MC003	03626ca94cb17800d767	sheedy	FIXED_REGISTERED_FORM	länger absetzen; Schluss	SHED_SETTLE+GRADE_2+DY_CLOSE	M07	1	YES	NO
sheey	MC095	92e43836d82f98bf02d3	sheey	FIXED_REGISTERED_FORM	laenger ruhen	SH_REST+EE_LONG+Y_CURRENT	M08	1	YES	NO
shey	MC119	b5df9126607030b95175	cheey	S_LINE_VARIANT	Klarlauf	SHEY_CLEAR_LIQUID_WHOLE	M08	2	YES	NO
shfydaiin	MC111	a8af08e69edab8e54f15	shfydaiin	FIXED_REGISTERED_FORM	Standmaß	SHFY_STAND+AIIN_MEASURE	M04	1	YES	NO
sho	MC034	2cc054357a929df85f64	cho	S_LINE_VARIANT	Zutat	HO_INGREDIENT	M01	2	YES	NO
shor	MC080	7a4bb8136330ee4e6e56	chor	S_LINE_VARIANT	Ansatz	OR_BATCH	M03	1	YES	NO
shoyty	MC062	577c03a928d674d420d7	shoyty	FIXED_REGISTERED_FORM	Zutatenteil	HO_INGREDIENT+Y_CURRENT+TY_PART	M04	1	YES	NO
shy	MC123	b921a237be883a820352	chey	S_LINE_VARIANT	dieser Posten	Y_CURRENT_ITEM_CARD	M02	1	YES	NO
skar	MC089	883a6708116c342cb10b	skar	FIXED_REGISTERED_FORM	von dort ausgiessen	SK_POUR+AR_FROM	M06	1	YES	NO
soiiin	MC033	2c82523794dcb7d2b343	oiiin	S_LINE_VARIANT	Sollstufe	IIN_TARGET_STAGE	M04	1	YES	NO
sol	MC153	dcda95c81a5460feb191	cheol	S_LINE_VARIANT	fortsetzen	OL_CONTINUE	M02	3	YES	NO
solkaiin	MC036	2d2e37ccb2dacc53ee5a	solkaiin	FIXED_REGISTERED_FORM	bis Sollmass sammeln	SOLK_COLLECT+AIIN_MEASURE	M04	1	YES	NO
solkeedy	MC045	3b70942557b3a40e8030	olkeedy	S_LINE_VARIANT	länger sammeln; Schluss	SOLK_COLLECT+EE_LONG+TERMINAL	M07	1	YES	NO
solkeey	MC020	1bfd786e6b8b63734a59	solkeey	FIXED_REGISTERED_FORM	länger sammeln	SOLK_COLLECT+EE_LONG+Y_ITEM	M07	1	YES	NO
solkey	MC050	42cdc187d5b9ffc60063	solkey	FIXED_REGISTERED_FORM	kurz sammeln	SOLK_COLLECT+E_SHORT+Y_ITEM	M07	1	YES	NO
solshedy	MC149	daa1347f456415fe8737	solshedy	FIXED_REGISTERED_FORM	weiter absetzen; Schluss	OL_CONTINUE+SHED_SETTLE+CLOSE	M07	1	YES	NO
sor	MC080	7a4bb8136330ee4e6e56	chor	S_LINE_VARIANT	Ansatz	OR_BATCH	M03	1	YES	NO
sotaiin	MC060	54d0e228ca346110af05	otaiin	S_LINE_VARIANT	Folgemaß	OT_FOLLOW+AIIN_MEASURE	M04	1	YES	NO
sotodan	MC068	61a075bc54793c1c781f	sotodan	FIXED_REGISTERED_FORM	danach anwenden	S_FRAME+OT_FOLLOW+DAN_APPLY	M07	1	YES	NO
sshkchdy	MC061	54e32e9c1414b20640e9	sshkchdy	FIXED_REGISTERED_FORM	schwenken	SSHK_SWIVEL_WHOLE+CLOSE	M07	1	YES	NO
sy	MC123	b921a237be883a820352	chey	S_LINE_VARIANT	dieser Posten	Y_CURRENT_ITEM_CARD	M02	1	YES	NO
taiin	MC039	2f1c5e56e8f0ff459065	aiin	OTHER_REGISTERED_ALLOGRAPH	Sollmaß	AIIN_TARGET_MEASURE	M04	1	YES	NO
tal	MC154	dd0ecaf5e27d81befffc	al	OTHER_REGISTERED_ALLOGRAPH	dorthin	AL_TO	M05	1	YES	NO
talam	MC160	e026af581c99322fbd46	talam	FIXED_REGISTERED_FORM	am Ziel verwahren	T_STORE_FRAME+AL_TO+AM_STORE	M05	1	YES	NO
tchedy	MC025	259b2b3b0bf859882e2c	dchedy	OTHER_REGISTERED_ALLOGRAPH	umsetzen; Schluss	CHED_TRANSFER+TERMINAL	M06	1	YES	NO
tchody	MC037	2e2027b1951d79911e24	tchody	FIXED_REGISTERED_FORM	kalt stellen	TCHO_COOL+DY_CLOSE	M07	1	YES	NO
tedy	MC128	bc4f1f5c006c74a4d26d	cheedy	OTHER_REGISTERED_ALLOGRAPH	absetzen; Schluss	SHED_SETTLE+GRADE_1+DY_CLOSE	M07	1	YES	NO
teol	MC106	a06244ef1f2b37ca44c1	teol	FIXED_REGISTERED_FORM	kurz weiterfuehren	E_SHORT+OL_CONTINUE	M02	1	YES	NO
tol	MC153	dcda95c81a5460feb191	cheol	OTHER_REGISTERED_ALLOGRAPH	fortsetzen	OL_CONTINUE	M02	1	YES	NO
tshey	MC141	d4a31dbcf1ed6d9e5aa9	tshey	FIXED_REGISTERED_FORM	Klarlauf	T_FRAME+SHEY_CLEAR_FLOW	M08	1	YES	NO
tshol	MC098	953ad19b79517fc8a211	tshol	FIXED_REGISTERED_FORM	Zutat entnehmen	T_FRAME+HO_INGREDIENT+L_OUT	M06	1	YES	NO
y	MC123	b921a237be883a820352	chey	OTHER_REGISTERED_ALLOGRAPH	dieser Posten	Y_CURRENT_ITEM_CARD	M02	1	YES	NO
ycheor	MC075	7249edc4df3419c26999	ycheor	FIXED_REGISTERED_FORM	Auszugsansatz	Y_ITEM+CHEO_EXTRACT+OR_BATCH	M03	1	YES	NO
ykaiin	MC170	f7dc90b2c31fd341f0a4	ykaiin	FIXED_REGISTERED_FORM	Postenmaß	Y_ITEM+AIIN_MEASURE	M04	1	YES	NO
ykain	MC047	403c1592f918c8f23b88	ykain	FIXED_REGISTERED_FORM	Postenportion	Y_ITEM+AIN_PORTION	M04	1	YES	NO
ykan	MC148	d929a14ec45749b2e805	ykan	FIXED_REGISTERED_FORM	dieser Anteil	Y_ITEM+AIN_PORTION	M04	1	YES	NO
ytey	MC109	a7af89ab31ce5e247395	ytey	FIXED_REGISTERED_FORM	fuellen	MEMORIZED_WHOLE_CARD	M07	1	YES	NO
