statement_id	record_unit_id	visible_owner	source_instruction_chain_de	encoded_master_sequence	rendered_visible_sequence	decoded_master_sequence	decoded_instruction_chain_de	roundtrip_status	complete_local_translation_de
B3-S019	B3	ungelöster Zwischenposten zwischen Randstapel und Hauptpaar	Einsatzabsetzen; Schluss	MC151	qokshedy	MC151	Einsatzabsetzen; Schluss	PASS	Nach dem Einsatz absetzen lassen; Schluss.
B3-S020	B3	ungelöster Zwischenposten zwischen Randstapel und Hauptpaar	dorthin | abführen; Schluss	MC154 MC155	dal lchedy	MC154 MC155	dorthin | abführen; Schluss	PASS	Dorthin führen und abführen; Schluss.
B3-S021	B3	ungelöster Zwischenposten zwischen Randstapel und Hauptpaar	bemessen | bereit | dorthin | dies | Sollmaß | am Ziel absetzen | Kurzvorbereitung | dies | dorthin | bereit | Zieltransfer; Schluss	MC120 MC161 MC154 MC123 MC039 MC113 MC137 MC123 MC154 MC161 MC031	qokaiin shcthy dal sy saiin shedal shecthy chey tal shcthy dalchdy	MC120 MC161 MC154 MC123 MC039 MC113 MC137 MC123 MC154 MC161 MC031	bemessen | bereit | dorthin | dies | Sollmaß | am Ziel absetzen | Kurzvorbereitung | dies | dorthin | bereit | Zieltransfer; Schluss	PASS	Den Posten bemessen und, sobald er bereit ist, dorthin bringen. Für den zweiten Zustand das Sollmaß am Ziel absetzen, kurz vorbereiten, den aktuellen Posten dorthin bringen, die Bereitschaft prüfen und den Zieltransfer schließen.
B3-S022	B3	ungelöster Zwischenposten zwischen Randstapel und Hauptpaar	Folgetransfer; Schluss	MC057	qotchedy	MC057	Folgetransfer; Schluss	PASS	Zur folgenden Station übertragen; Schluss.
B3-S023	B3	ungelöster Zwischenposten zwischen Randstapel und Hauptpaar	abführen; Schluss	MC155	lchedy	MC155	abführen; Schluss	PASS	Aus der Station abführen; Schluss.
B3-S024	B3	ungelöster Zwischenposten zwischen Randstapel und Hauptpaar	überführen; Schluss	MC025	tchedy	MC025	überführen; Schluss	PASS	Überführen; Schluss.
B3-S025	B3	ungelöster Zwischenposten zwischen Randstapel und Hauptpaar	neuen Posten einsetzen; Schluss	MC088	qokchdy	MC088	neuen Posten einsetzen; Schluss	PASS	Einen neuen Posten in die nächste Station einsetzen; Schluss.
B3-S026	B3	ungelöster Zwischenposten zwischen Randstapel und Hauptpaar	Quelltransfer | Sollabsetzung | überführen | Anteil zugeben | bereit | Zielbereitung | lange sammeln; Schluss	MC042 MC144 MC074 MC017 MC161 MC146 MC045	cheedar chldaiin chedy qokain checthy chealror solkeedy	MC042 MC144 MC074 MC017 MC161 MC146 MC045	Quelltransfer | Sollabsetzung | überführen | Anteil zugeben | bereit | Zielbereitung | lange sammeln; Schluss	PASS	Von der Quelle übertragen, auf den Sollabsetzstand bringen, weiterführen, einen Anteil zugeben, Bereitschaft prüfen, am Ziel vorbereiten und länger sammeln; Schluss.
B3-S027	B3	Hauptpaar am sichtbaren ungerichteten Bogen	lange Folgestufe; Schluss	MC173	qoteedy	MC173	lange Folgestufe; Schluss	PASS	Die folgende Stufe länger halten; Schluss.
B3-S028	B3	Hauptpaar am sichtbaren ungerichteten Bogen	LAENGER_SETZEN_ODER_HALTEN | kurz einwirken; Schluss	MC002 MC083	qokeey qokedy	MC002 MC083	LAENGER_SETZEN_ODER_HALTEN | kurz einwirken; Schluss	PASS	Länger einwirken lassen, dann den kurzen Einwirkpunkt schließen.
B3-S029	B3	Hauptpaar am sichtbaren ungerichteten Bogen	weiter | Vollteil | kurz einwirken; Schluss	MC153 MC094 MC083	sol cheeety qokedy	MC153 MC094 MC083	weiter | Vollteil | kurz einwirken; Schluss	PASS	Weiterführen, den vollen Anteil nehmen und kurz einwirken lassen; Schluss.
B3-S030	B3	Hauptpaar am sichtbaren ungerichteten Bogen	einsetzen | Sollmaß | Weiterlauf | Folgetransfer; Schluss	MC026 MC039 MC116 MC057	qoky saiin schedair otchedy	MC026 MC039 MC116 MC057	einsetzen | Sollmaß | Weiterlauf | Folgetransfer; Schluss	PASS	Einsetzen, auf Sollmaß bringen, im Lauf weiterführen und zur nächsten Station übertragen; Schluss.
B3-S031	B3	Hauptpaar am sichtbaren ungerichteten Bogen	lange einwirken; Schluss	MC082	qokeedy	MC082	lange einwirken; Schluss	PASS	Länger einwirken lassen; Schluss.
B3-S032	B3	Hauptpaar am sichtbaren ungerichteten Bogen	Anteilstransfer | überführen | Kurzsoll | Folgemaß | Kurzfolge; Schluss	MC145 MC074 MC018 MC060 MC135	chedain chedy qotedaiin otaiin otedy	MC145 MC074 MC018 MC060 MC135	Anteilstransfer | überführen | Kurzsoll | Folgemaß | Kurzfolge; Schluss	PASS	Einen Anteil übertragen, weiterführen, den kurzen Sollwert und das Folgemaß einstellen, dann kurz weiterführen; Schluss.
B3-S033	B3	Hauptpaar am sichtbaren ungerichteten Bogen	abziehen; Schluss	MC004	ldy	MC004	abziehen; Schluss	PASS	Abziehen; Schluss.
B3-S034	B3	Hauptpaar am sichtbaren ungerichteten Bogen	Arbeitsstufe | bereit | Teil | Folgemaß | Zwischenziel | kurz absetzen; Schluss	MC033 MC161 MC086 MC060 MC078 MC128	soiiin checthy chety otaiin olsaly shedy	MC033 MC161 MC086 MC060 MC078 MC128	Arbeitsstufe | bereit | Teil | Folgemaß | Zwischenziel | kurz absetzen; Schluss	PASS	Die Arbeitsstufe auf bereit stellen, einen Teil und das Folgemaß nehmen und am Zwischenziel kurz absetzen; Schluss.
B4-S001	B4	Hauptpaar am sichtbaren ungerichteten Bogen	lange einwirken; Schluss	MC082	qokeedy	MC082	lange einwirken; Schluss	PASS	Am Hauptpaar länger einwirken lassen; Schluss.
B4-S002	B4	Hauptpaar am sichtbaren ungerichteten Bogen	Weiterposten | LAENGER_SETZEN_ODER_HALTEN | kurz einwirken; Schluss	MC162 MC002 MC083	qolchey qokeey qokedy	MC162 MC002 MC083	Weiterposten | LAENGER_SETZEN_ODER_HALTEN | kurz einwirken; Schluss	PASS	Den Weiterposten zuerst länger, dann kurz einwirken lassen; Schluss.
B4-S003	B4	Hauptpaar am sichtbaren ungerichteten Bogen	überführen | danach dorthin | das nächste | LAENGER_SETZEN_ODER_HALTEN | einsetzen | weiter | kurz absetzen; Schluss	MC074 MC093 MC171 MC002 MC026 MC153 MC128	chedy otal otchey qokeey qoky tol shedy	MC074 MC093 MC171 MC002 MC026 MC153 MC128	überführen | danach dorthin | das nächste | LAENGER_SETZEN_ODER_HALTEN | einsetzen | weiter | kurz absetzen; Schluss	PASS	Überführen, danach den nächsten Posten dorthin bringen, länger einwirken lassen, einsetzen, weiterführen und kurz absetzen lassen; Schluss.
B4-S004	B4	Hauptpaar am sichtbaren ungerichteten Bogen	befestigen; Schluss	MC164	qokylddy	MC164	befestigen; Schluss	PASS	Den Posten befestigen; Schluss.
B4-S005	B4	Hauptpaar am sichtbaren ungerichteten Bogen	Einlage | überführen | lange einwirken; Schluss	MC059 MC074 MC082	dain chedy qokeedy	MC059 MC074 MC082	Einlage | überführen | lange einwirken; Schluss	PASS	Die Einlage überführen und länger einwirken lassen; Schluss.
B4-S006	B4	Hauptpaar am sichtbaren ungerichteten Bogen	durchlassen; Schluss	MC143	shckhedy	MC143	durchlassen; Schluss	PASS	Einmal durchlassen; Schluss.
B4-S007	B4	Hauptpaar am sichtbaren ungerichteten Bogen	durchlassen; Schluss	MC143	shckhedy	MC143	durchlassen; Schluss	PASS	Ein zweites Mal durchlassen; Schluss.
B4-S008	B4	Hauptpaar am sichtbaren ungerichteten Bogen	Sollmaß | länger bearbeiten | Langhalt | kurz einwirken; Schluss	MC039 MC032 MC095 MC083	saiin cheeky sheey qokedy	MC039 MC032 MC095 MC083	Sollmaß | länger bearbeiten | Langhalt | kurz einwirken; Schluss	PASS	Auf Sollmaß bringen, länger bearbeiten, länger halten und kurz einwirken lassen; Schluss.
B4-S009	B4	Hauptpaar am sichtbaren ungerichteten Bogen	kurz absetzen; Schluss	MC128	shedy	MC128	kurz absetzen; Schluss	PASS	Kurz absetzen lassen; Schluss.
B4-S010	B4	Hauptpaar am sichtbaren ungerichteten Bogen	fertig	MC019	oldy	MC019	fertig	PASS	Fertigstellen; Schluss.
B4-S011	B4	linke offene Fransen-/Unterlaufstation	Sollmaß | kurz wärmen | Langfortsetzung | Anteil zugeben | überführen | weiter | weiter abziehen; Schluss	MC039 MC147 MC150 MC017 MC074 MC153 MC124	saiin cheky okeeol okain chdy sol lkedy	MC039 MC147 MC150 MC017 MC074 MC153 MC124	Sollmaß | kurz wärmen | Langfortsetzung | Anteil zugeben | überführen | weiter | weiter abziehen; Schluss	PASS	An der linken Unterlaufstation das Sollmaß kurz wärmen, länger weiterführen, einen Anteil zugeben, überführen, fortsetzen und weiter abziehen; Schluss.
B4-S012	B4	linke offene Fransen-/Unterlaufstation	abführen; Schluss	MC155	lchedy	MC155	abführen; Schluss	PASS	Abführen; Schluss.
B4-S013	B4	linke offene Fransen-/Unterlaufstation	Weiter einsetzen | kurz absetzen; Schluss	MC024 MC128	qokol shedy	MC024 MC128	Weiter einsetzen | kurz absetzen; Schluss	PASS	Weiter einsetzen und kurz absetzen lassen; Schluss.
B4-S014	B4	linke offene Fransen-/Unterlaufstation	Ansatz | dies | Kurzdurchgang | Laufschluss	MC080 MC123 MC165 MC091	or chey qockhey dairydy	MC080 MC123 MC165 MC091	Ansatz | dies | Kurzdurchgang | Laufschluss	PASS	Diesen Ansatz durch den kurzen Gang führen und den Lauf schließen.
B4-S015	B4	linke offene Fransen-/Unterlaufstation	Anteil zugeben | Klarlauf | Portion | Zielpassage | Kurzsammlung | abführen; Schluss	MC017 MC119 MC105 MC022 MC050 MC155	qokain shey kain chckhal solkey lchedy	MC017 MC119 MC105 MC022 MC050 MC155	Anteil zugeben | Klarlauf | Portion | Zielpassage | Kurzsammlung | abführen; Schluss	PASS	Eine Portion zum Klarlauf geben, die Portion durch die Zielpassage führen, kurz auffangen und abführen; Schluss.
B4-S016	B4	rechte S-Lauf-/Mehrarmknotenstation	weiterer Anteil | dorthin | Quellausguss | kurz absetzen; Schluss	MC097 MC154 MC089 MC128	qolkain dal skar shedy	MC097 MC154 MC089 MC128	weiterer Anteil | dorthin | Quellausguss | kurz absetzen; Schluss	PASS	Einen weiteren Anteil dorthin bringen, aus der Quelle ausgießen und kurz absetzen lassen; Schluss.
B5-S001	B5	linker offener Fransen-Endposten	Nachtransfer; Schluss	MC067	otchdy	MC067	Nachtransfer; Schluss	PASS	Den Nachtransfer am linken Endposten ausführen; Schluss.
B5-S002	B5	linker offener Fransen-Endposten	neuen Posten einsetzen; Schluss	MC088	qokchdy	MC088	neuen Posten einsetzen; Schluss	PASS	Einen neuen Posten in den linken Endposten einsetzen; Schluss.
B5-S003	B5	linker offener Fransen-Endposten	am Ziel absetzen | dorthin | weiter | Weiterabzug | Zieltransfer | Sollmaß | weiter | Endstufe | überführen	MC113 MC154 MC153 MC092 MC001 MC039 MC153 MC172 MC074	shedal dal cheol lol chdal aiin sol daiiin chedy	MC113 MC154 MC153 MC092 MC001 MC039 MC153 MC172 MC074	am Ziel absetzen | dorthin | weiter | Weiterabzug | Zieltransfer | Sollmaß | weiter | Endstufe | überführen	PASS	Am Ziel absetzen, dorthin bringen, weiterführen und weiter abziehen; den Zieltransfer auf Sollmaß bringen, bis zur Endstufe fortsetzen und überführen.
B6-S001	B6	rechter S-Lauf-/Mehrarm-Endposten	Langsammlung | kurz bearbeiten | Endposten | weiter | Sollmaß | weiter | Einlage | dies | Endziel	MC020 MC052 MC046 MC153 MC039 MC153 MC059 MC123 MC101	solkeey qekey raly ol daiin ol dain chey ldalor	MC020 MC052 MC046 MC153 MC039 MC153 MC059 MC123 MC101	Langsammlung | kurz bearbeiten | Endposten | weiter | Sollmaß | weiter | Einlage | dies | Endziel	PASS	Am rechten Endposten länger auffangen, kurz bearbeiten, zum Endposten weiterführen, auf Sollmaß bringen, die Einlage als aktuellen Posten zum Endziel führen.
