transition_ordinal	event_id	statement_id	physical_page	register	surface	recipe	left_control	right_control	last_argument	last_argument_value_de	argument_sequence	current_carrier_reading_de	next_event_id	next_recipe	next_explicit_arguments	next_inherited_argument	successor_outcome	transition_reading_de	statement_final	guard
67	G407-E1177	G407-S063	f72r	CELESTIAL	oteey	OT+EE+Y	OT	END	Y	POSTEN	Y	danach den Posten als nächsten Träger eröffnen	G407-E1178	OK+AIIN	AIIN	NONE	NEXT_EXPLICIT_ARGUMENT_RESETS_CARRIER	Die nächste Karte setzt ein neues sichtbares Argument.	NO	EXPLICIT_NEXT_ARGUMENT_RESETS__OTHERWISE_INHERIT_CURRENT_CARRIER
68	G407-E1181	G407-S064	f72r	CELESTIAL	otey	OT+E+Y	OT	END	Y	POSTEN	Y	danach den Posten als nächsten Träger eröffnen	G407-E1182	SH+E+T+E+Y	Y	NONE	NEXT_EXPLICIT_ARGUMENT_RESETS_CARRIER	Die nächste Karte setzt ein neues sichtbares Argument.	NO	EXPLICIT_NEXT_ARGUMENT_RESETS__OTHERWISE_INHERIT_CURRENT_CARRIER
69	G407-E1185	G407-S064	f72r	CELESTIAL	otaiin	OT+AIIN	OT	END	AIIN	WERT	AIIN	danach den Wert als nächsten Träger eröffnen	G407-E1186	SH+E+OL+AIIN	AIIN	NONE	NEXT_EXPLICIT_ARGUMENT_RESETS_CARRIER	Die nächste Karte setzt ein neues sichtbares Argument.	NO	EXPLICIT_NEXT_ARGUMENT_RESETS__OTHERWISE_INHERIT_CURRENT_CARRIER
70	G407-E1186	G407-S064	f72r	CELESTIAL	sheolaiin	SH+E+OL+AIIN	OL	END	AIIN	WERT	AIIN	weiter mit dem Wert als aktuellem Träger	G407-E1187	OT+AIIN	AIIN	NONE	NEXT_EXPLICIT_ARGUMENT_RESETS_CARRIER	Die nächste Karte setzt ein neues sichtbares Argument.	NO	EXPLICIT_NEXT_ARGUMENT_RESETS__OTHERWISE_INHERIT_CURRENT_CARRIER
71	G407-E1187	G407-S064	f72r	CELESTIAL	otaiin	OT+AIIN	OT	END	AIIN	WERT	AIIN	danach den Wert als nächsten Träger eröffnen	G407-E1188	CH+E+T+E+Y	Y	NONE	NEXT_EXPLICIT_ARGUMENT_RESETS_CARRIER	Die nächste Karte setzt ein neues sichtbares Argument.	NO	EXPLICIT_NEXT_ARGUMENT_RESETS__OTHERWISE_INHERIT_CURRENT_CARRIER
72	G407-E1189	G407-S064	f72r	CELESTIAL	cheolor	OL+E+OR	OL	END	OR	EINHEIT	OR	weiter mit der Einheit als aktuellem Träger	G407-E1190	OT+E+O	NONE	OR	NEXT_INHERITS_CURRENT_ARGUMENT	Die nächste Karte verwendet weiter die Einheit.	NO	EXPLICIT_NEXT_ARGUMENT_RESETS__OTHERWISE_INHERIT_CURRENT_CARRIER
73	G407-E1207	G407-S066	f72r	CELESTIAL	aroly	AR+OL+Y	OL	END	Y	POSTEN	Y	weiter mit dem Posten als aktuellem Träger	G407-E1208	OK+EE+S	NONE	Y	NEXT_INHERITS_CURRENT_ARGUMENT	Die nächste Karte verwendet weiter den Posten.	NO	EXPLICIT_NEXT_ARGUMENT_RESETS__OTHERWISE_INHERIT_CURRENT_CARRIER
74	G407-E1216	G407-S066	f72r	CELESTIAL	otaiin	OT+AIIN	OT	END	AIIN	WERT	AIIN	danach den Wert als nächsten Träger eröffnen	G407-E1217	A_ADDR+T+CH+OR	OR	NONE	NEXT_EXPLICIT_ARGUMENT_RESETS_CARRIER	Die nächste Karte setzt ein neues sichtbares Argument.	NO	EXPLICIT_NEXT_ARGUMENT_RESETS__OTHERWISE_INHERIT_CURRENT_CARRIER
75	G407-E1228	G407-S067	f72r	CELESTIAL	oly	OL+Y	OL	END	Y	POSTEN	Y	weiter mit dem Posten als aktuellem Träger	G407-E1229	OT+E+O+K+EE+Y	Y	NONE	NEXT_EXPLICIT_ARGUMENT_RESETS_CARRIER	Die nächste Karte setzt ein neues sichtbares Argument.	NO	EXPLICIT_NEXT_ARGUMENT_RESETS__OTHERWISE_INHERIT_CURRENT_CARRIER
76	G407-E1229	G407-S067	f72r	CELESTIAL	oteeykeey	OT+E+O+K+EE+Y	OT	END	Y	POSTEN	Y	danach den Posten als nächsten Träger eröffnen	G407-E1230	T+E+Y	Y	NONE	NEXT_EXPLICIT_ARGUMENT_RESETS_CARRIER	Die nächste Karte setzt ein neues sichtbares Argument.	NO	EXPLICIT_NEXT_ARGUMENT_RESETS__OTHERWISE_INHERIT_CURRENT_CARRIER
77	G407-E1240	G407-S067	f72r	CELESTIAL	chotaiin	OT+AIIN	OT	END	AIIN	WERT	AIIN	danach den Wert als nächsten Träger eröffnen	G407-E1241	OT+Y	Y	NONE	NEXT_EXPLICIT_ARGUMENT_RESETS_CARRIER	Die nächste Karte setzt ein neues sichtbares Argument.	NO	EXPLICIT_NEXT_ARGUMENT_RESETS__OTHERWISE_INHERIT_CURRENT_CARRIER
78	G407-E1241	G407-S067	f72r	CELESTIAL	otchey	OT+Y	OT	END	Y	POSTEN	Y	danach den Posten als nächsten Träger eröffnen	G407-E1242	O+EE+Y	Y	NONE	NEXT_EXPLICIT_ARGUMENT_RESETS_CARRIER	Die nächste Karte setzt ein neues sichtbares Argument.	NO	EXPLICIT_NEXT_ARGUMENT_RESETS__OTHERWISE_INHERIT_CURRENT_CARRIER
79	G407-E1246	G407-S067	f72r	CELESTIAL	otaiin	OT+AIIN	OT	END	AIIN	WERT	AIIN	danach den Wert als nächsten Träger eröffnen	G407-E1247	Y	Y	NONE	NEXT_EXPLICIT_ARGUMENT_RESETS_CARRIER	Die nächste Karte setzt ein neues sichtbares Argument.	NO	EXPLICIT_NEXT_ARGUMENT_RESETS__OTHERWISE_INHERIT_CURRENT_CARRIER
80	G407-E1260	G407-S068	f72r	CELESTIAL	oteey	OT+EE+Y	OT	END	Y	POSTEN	Y	danach den Posten als nächsten Träger eröffnen	G407-E1261	T+E+Y	Y	NONE	NEXT_EXPLICIT_ARGUMENT_RESETS_CARRIER	Die nächste Karte setzt ein neues sichtbares Argument.	NO	EXPLICIT_NEXT_ARGUMENT_RESETS__OTHERWISE_INHERIT_CURRENT_CARRIER
81	G407-E1271	G407-S068	f72r	CELESTIAL	otey	OT+E+Y	OT	END	Y	POSTEN	Y	danach den Posten als nächsten Träger eröffnen	G407-E1272	OT+AIIN	AIIN	NONE	NEXT_EXPLICIT_ARGUMENT_RESETS_CARRIER	Die nächste Karte setzt ein neues sichtbares Argument.	NO	EXPLICIT_NEXT_ARGUMENT_RESETS__OTHERWISE_INHERIT_CURRENT_CARRIER
82	G407-E1272	G407-S068	f72r	CELESTIAL	otaiin	OT+AIIN	OT	END	AIIN	WERT	AIIN	danach den Wert als nächsten Träger eröffnen	G407-E1273	OT+AL+Y	Y	NONE	NEXT_EXPLICIT_ARGUMENT_RESETS_CARRIER	Die nächste Karte setzt ein neues sichtbares Argument.	NO	EXPLICIT_NEXT_ARGUMENT_RESETS__OTHERWISE_INHERIT_CURRENT_CARRIER
83	G407-E1273	G407-S068	f72r	CELESTIAL	otaly	OT+AL+Y	OT	END	Y	POSTEN	Y	danach den Posten als nächsten Träger eröffnen	G407-E1274	AL	NONE	Y	NEXT_INHERITS_CURRENT_ARGUMENT	Die nächste Karte verwendet weiter den Posten.	NO	EXPLICIT_NEXT_ARGUMENT_RESETS__OTHERWISE_INHERIT_CURRENT_CARRIER
84	G407-E1284	G407-S070	f72r	CELESTIAL	otoees	OT+EE+Y	OT	END	Y	POSTEN	Y	danach den Posten als nächsten Träger eröffnen	G407-E1285	AIIN	AIIN	NONE	NEXT_EXPLICIT_ARGUMENT_RESETS_CARRIER	Die nächste Karte setzt ein neues sichtbares Argument.	NO	EXPLICIT_NEXT_ARGUMENT_RESETS__OTHERWISE_INHERIT_CURRENT_CARRIER
85	G407-E1297	G407-S071	f72r	CELESTIAL	otchey	OT+Y	OT	END	Y	POSTEN	Y	danach den Posten als nächsten Träger eröffnen	G407-E1298	OK+AIIN	AIIN	NONE	NEXT_EXPLICIT_ARGUMENT_RESETS_CARRIER	Die nächste Karte setzt ein neues sichtbares Argument.	NO	EXPLICIT_NEXT_ARGUMENT_RESETS__OTHERWISE_INHERIT_CURRENT_CARRIER
86	G407-E1299	G407-S071	f72r	CELESTIAL	olaiin	OL+AIIN	OL	END	AIIN	WERT	AIIN	weiter mit dem Wert als aktuellem Träger	G407-E1300	Y	Y	NONE	NEXT_EXPLICIT_ARGUMENT_RESETS_CARRIER	Die nächste Karte setzt ein neues sichtbares Argument.	NO	EXPLICIT_NEXT_ARGUMENT_RESETS__OTHERWISE_INHERIT_CURRENT_CARRIER
87	G407-E1310	G407-S072	f72r	CELESTIAL	oteody	OT+E+O+Y	OT	END	Y	POSTEN	Y	danach den Posten als nächsten Träger eröffnen	G407-E1311	OT+EE+DY	NONE	Y	NEXT_INHERITS_CURRENT_ARGUMENT	Die nächste Karte verwendet weiter den Posten.	NO	EXPLICIT_NEXT_ARGUMENT_RESETS__OTHERWISE_INHERIT_CURRENT_CARRIER
88	G407-E1312	G407-S073	f72r	CELESTIAL	okeolaiin	OK+E+OL+AIIN	OL	END	AIIN	WERT	AIIN	weiter mit dem Wert als aktuellem Träger	G407-E1313	OT+EE+Y	Y	NONE	NEXT_EXPLICIT_ARGUMENT_RESETS_CARRIER	Die nächste Karte setzt ein neues sichtbares Argument.	NO	EXPLICIT_NEXT_ARGUMENT_RESETS__OTHERWISE_INHERIT_CURRENT_CARRIER
89	G407-E1313	G407-S073	f72r	CELESTIAL	oteey	OT+EE+Y	OT	END	Y	POSTEN	Y	danach den Posten als nächsten Träger eröffnen	G407-E1314	OK+AR+AR	NONE	Y	NEXT_INHERITS_CURRENT_ARGUMENT	Die nächste Karte verwendet weiter den Posten.	NO	EXPLICIT_NEXT_ARGUMENT_RESETS__OTHERWISE_INHERIT_CURRENT_CARRIER
90	G407-E1333	G407-S074	f72r	CELESTIAL	choly	OL+Y	OL	END	Y	POSTEN	Y	weiter mit dem Posten als aktuellem Träger	G407-E1334	CH+E+S	NONE	Y	NEXT_INHERITS_CURRENT_ARGUMENT	Die nächste Karte verwendet weiter den Posten.	NO	EXPLICIT_NEXT_ARGUMENT_RESETS__OTHERWISE_INHERIT_CURRENT_CARRIER
91	G407-E1343	G407-S074	f72r	CELESTIAL	choteey	CH+OT+EE+Y	OT	END	Y	POSTEN	Y	danach den Posten als nächsten Träger eröffnen	G407-E1344	SH+E+OL+Y	Y	NONE	NEXT_EXPLICIT_ARGUMENT_RESETS_CARRIER	Die nächste Karte setzt ein neues sichtbares Argument.	NO	EXPLICIT_NEXT_ARGUMENT_RESETS__OTHERWISE_INHERIT_CURRENT_CARRIER
92	G407-E1344	G407-S074	f72r	CELESTIAL	sheoly	SH+E+OL+Y	OL	END	Y	POSTEN	Y	weiter mit dem Posten als aktuellem Träger	G407-E1345	E+OL	NONE	Y	NEXT_INHERITS_CURRENT_ARGUMENT	Die nächste Karte verwendet weiter den Posten.	NO	EXPLICIT_NEXT_ARGUMENT_RESETS__OTHERWISE_INHERIT_CURRENT_CARRIER
93	G407-E1349	G407-S076	f72r	CELESTIAL	otey	OT+E+Y	OT	END	Y	POSTEN	Y	danach den Posten als nächsten Träger eröffnen	G407-E1350	O	NONE	Y	NEXT_INHERITS_CURRENT_ARGUMENT	Die nächste Karte verwendet weiter den Posten.	NO	EXPLICIT_NEXT_ARGUMENT_RESETS__OTHERWISE_INHERIT_CURRENT_CARRIER
94	G407-E1361	G407-S077	f72r	CELESTIAL	ykeeoly	Y+K+OL+Y	OL	END	Y	POSTEN	Y+Y	weiter mit dem Posten als aktuellem Träger	G407-E1362	OT+AIIN	AIIN	NONE	NEXT_EXPLICIT_ARGUMENT_RESETS_CARRIER	Die nächste Karte setzt ein neues sichtbares Argument.	NO	EXPLICIT_NEXT_ARGUMENT_RESETS__OTHERWISE_INHERIT_CURRENT_CARRIER
95	G407-E1362	G407-S077	f72r	CELESTIAL	otaiin	OT+AIIN	OT	END	AIIN	WERT	AIIN	danach den Wert als nächsten Träger eröffnen	G407-E1363	SH+E+AR	NONE	AIIN	NEXT_INHERITS_CURRENT_ARGUMENT	Die nächste Karte verwendet weiter den Wert.	NO	EXPLICIT_NEXT_ARGUMENT_RESETS__OTHERWISE_INHERIT_CURRENT_CARRIER
96	G407-E1369	G407-S077	f72r	CELESTIAL	oteody	OT+E+O+Y	OT	END	Y	POSTEN	Y	danach den Posten als nächsten Träger eröffnen	G407-E1370	OS	NONE	Y	NEXT_INHERITS_CURRENT_ARGUMENT	Die nächste Karte verwendet weiter den Posten.	NO	EXPLICIT_NEXT_ARGUMENT_RESETS__OTHERWISE_INHERIT_CURRENT_CARRIER
97	G407-E1373	G407-S077	f72r	CELESTIAL	doteey	D_ADDR+OT+EE+Y	OT	END	Y	POSTEN	Y	danach den Posten als nächsten Träger eröffnen	G407-E1374	S+OR	OR	NONE	NEXT_EXPLICIT_ARGUMENT_RESETS_CARRIER	Die nächste Karte setzt ein neues sichtbares Argument.	NO	EXPLICIT_NEXT_ARGUMENT_RESETS__OTHERWISE_INHERIT_CURRENT_CARRIER
98	G407-E1382	G407-S077	f72r	CELESTIAL	shoteey	SH+OT+EE+Y	OT	END	Y	POSTEN	Y	danach den Posten als nächsten Träger eröffnen	G407-E1383	CH+E+O+R	NONE	Y	NEXT_INHERITS_CURRENT_ARGUMENT	Die nächste Karte verwendet weiter den Posten.	NO	EXPLICIT_NEXT_ARGUMENT_RESETS__OTHERWISE_INHERIT_CURRENT_CARRIER
99	G407-E1388	G407-S077	f72r	CELESTIAL	ykoly	Y+K+OL+Y	OL	END	Y	POSTEN	Y+Y	weiter mit dem Posten als aktuellem Träger	NONE	NONE	NONE	NONE	NO_SUCCESSOR_STATEMENT_END	Die Aussage endet nach diesem Träger.	YES	EXPLICIT_NEXT_ARGUMENT_RESETS__OTHERWISE_INHERIT_CURRENT_CARRIER
100	G407-E1389	G407-S078	f72r	CELESTIAL	oteey	OT+EE+Y	OT	END	Y	POSTEN	Y	danach den Posten als nächsten Träger eröffnen	G407-E1390	P+AR+AR	NONE	Y	NEXT_INHERITS_CURRENT_ARGUMENT	Die nächste Karte verwendet weiter den Posten.	NO	EXPLICIT_NEXT_ARGUMENT_RESETS__OTHERWISE_INHERIT_CURRENT_CARRIER
101	G407-E1394	G407-S079	f72r	CELESTIAL	opcholalaiin	O+P+CH+OL+AL+AIIN	OL	END	AIIN	WERT	AIIN	weiter mit dem Wert als aktuellem Träger	G407-E1395	OT+EE+OR	OR	NONE	NEXT_EXPLICIT_ARGUMENT_RESETS_CARRIER	Die nächste Karte setzt ein neues sichtbares Argument.	NO	EXPLICIT_NEXT_ARGUMENT_RESETS__OTHERWISE_INHERIT_CURRENT_CARRIER
102	G407-E1395	G407-S079	f72r	CELESTIAL	oteeor	OT+EE+OR	OT	END	OR	EINHEIT	OR	danach die Einheit als nächsten Träger eröffnen	G407-E1396	AM_ADDR	NONE	OR	NEXT_INHERITS_CURRENT_ARGUMENT	Die nächste Karte verwendet weiter die Einheit.	NO	EXPLICIT_NEXT_ARGUMENT_RESETS__OTHERWISE_INHERIT_CURRENT_CARRIER
103	G407-E1402	G407-S079	f72r	CELESTIAL	olaiin	OL+AIIN	OL	END	AIIN	WERT	AIIN	weiter mit dem Wert als aktuellem Träger	G407-E1403	OT+E+D_ADDR+AR	NONE	AIIN	NEXT_INHERITS_CURRENT_ARGUMENT	Die nächste Karte verwendet weiter den Wert.	NO	EXPLICIT_NEXT_ARGUMENT_RESETS__OTHERWISE_INHERIT_CURRENT_CARRIER
104	G407-E1405	G407-S079	f72r	CELESTIAL	choty	CH+OT+Y	OT	END	Y	POSTEN	Y	danach den Posten als nächsten Träger eröffnen	G407-E1406	OT+E+OL	NONE	Y	NEXT_INHERITS_CURRENT_ARGUMENT	Die nächste Karte verwendet weiter den Posten.	NO	EXPLICIT_NEXT_ARGUMENT_RESETS__OTHERWISE_INHERIT_CURRENT_CARRIER
105	G407-E1418	G407-S081	f72r	CELESTIAL	olaiin	OL+AIIN	OL	END	AIIN	WERT	AIIN	weiter mit dem Wert als aktuellem Träger	G407-E1419	OR+AIIN	OR|AIIN	NONE	NEXT_EXPLICIT_ARGUMENT_RESETS_CARRIER	Die nächste Karte setzt ein neues sichtbares Argument.	NO	EXPLICIT_NEXT_ARGUMENT_RESETS__OTHERWISE_INHERIT_CURRENT_CARRIER
106	G407-E1424	G407-S081	f72r	CELESTIAL	koly	K+OL+Y	OL	END	Y	POSTEN	Y	weiter mit dem Posten als aktuellem Träger	NONE	NONE	NONE	NONE	NO_SUCCESSOR_STATEMENT_END	Die Aussage endet nach diesem Träger.	YES	EXPLICIT_NEXT_ARGUMENT_RESETS__OTHERWISE_INHERIT_CURRENT_CARRIER
107	G407-E1470	G407-S087	f75r	BIOLOGICAL	olky	OL+K+Y	OL	END	Y	POSTEN	Y	weiter mit dem Posten als aktuellem Träger	G407-E1471	D_ADDR+AR	NONE	Y	NEXT_INHERITS_CURRENT_ARGUMENT	Die nächste Karte verwendet weiter den Posten.	NO	EXPLICIT_NEXT_ARGUMENT_RESETS__OTHERWISE_INHERIT_CURRENT_CARRIER
108	G407-E1510	G407-S096	f75r	BIOLOGICAL	otey	OT+E+Y	OT	END	Y	POSTEN	Y	danach den Posten als nächsten Träger eröffnen	G407-E1511	T+E+DY	NONE	Y	NEXT_INHERITS_CURRENT_ARGUMENT	Die nächste Karte verwendet weiter den Posten.	NO	EXPLICIT_NEXT_ARGUMENT_RESETS__OTHERWISE_INHERIT_CURRENT_CARRIER
109	G407-E1515	G407-S099	f75r	BIOLOGICAL	oly	OL+Y	OL	END	Y	POSTEN	Y	weiter mit dem Posten als aktuellem Träger	G407-E1516	OK+EE+DY	NONE	Y	NEXT_INHERITS_CURRENT_ARGUMENT	Die nächste Karte verwendet weiter den Posten.	NO	EXPLICIT_NEXT_ARGUMENT_RESETS__OTHERWISE_INHERIT_CURRENT_CARRIER
110	G407-E1525	G407-S101	f75r	BIOLOGICAL	oly	OL+Y	OL	END	Y	POSTEN	Y	weiter mit dem Posten als aktuellem Träger	G407-E1526	SH+E+Y	Y	NONE	NEXT_EXPLICIT_ARGUMENT_RESETS_CARRIER	Die nächste Karte setzt ein neues sichtbares Argument.	NO	EXPLICIT_NEXT_ARGUMENT_RESETS__OTHERWISE_INHERIT_CURRENT_CARRIER
111	G407-E1555	G407-S110	f75r	BIOLOGICAL	qolkeeoly	OL+K+EE+OL+Y	OL	END	Y	POSTEN	Y	weiter mit dem Posten als aktuellem Träger	G407-E1556	S+AIIN	AIIN	NONE	NEXT_EXPLICIT_ARGUMENT_RESETS_CARRIER	Die nächste Karte setzt ein neues sichtbares Argument.	NO	EXPLICIT_NEXT_ARGUMENT_RESETS__OTHERWISE_INHERIT_CURRENT_CARRIER
112	G407-E1586	G407-S118	f75r	BIOLOGICAL	otain	OT+AIN	OT	END	AIN	ANTEIL	AIN	danach den Anteil als nächsten Träger eröffnen	G407-E1587	AR	NONE	AIN	NEXT_INHERITS_CURRENT_ARGUMENT	Die nächste Karte verwendet weiter den Anteil.	NO	EXPLICIT_NEXT_ARGUMENT_RESETS__OTHERWISE_INHERIT_CURRENT_CARRIER
113	G407-E1589	G407-S118	f75r	BIOLOGICAL	oly	OL+Y	OL	END	Y	POSTEN	Y	weiter mit dem Posten als aktuellem Träger	G407-E1590	OK+SH+E+DY	NONE	Y	NEXT_INHERITS_CURRENT_ARGUMENT	Die nächste Karte verwendet weiter den Posten.	NO	EXPLICIT_NEXT_ARGUMENT_RESETS__OTHERWISE_INHERIT_CURRENT_CARRIER
114	G407-E1632	G407-S119	f75r	BIOLOGICAL	olkeey	OL+K+EE+Y	OL	END	Y	POSTEN	Y	weiter mit dem Posten als aktuellem Träger	G407-E1633	OL+K+AR+Y	Y	NONE	NEXT_EXPLICIT_ARGUMENT_RESETS_CARRIER	Die nächste Karte setzt ein neues sichtbares Argument.	NO	EXPLICIT_NEXT_ARGUMENT_RESETS__OTHERWISE_INHERIT_CURRENT_CARRIER
115	G407-E1633	G407-S119	f75r	BIOLOGICAL	qolkary	OL+K+AR+Y	OL	END	Y	POSTEN	Y	weiter mit dem Posten als aktuellem Träger	G407-E1634	S+AIN	AIN	NONE	NEXT_EXPLICIT_ARGUMENT_RESETS_CARRIER	Die nächste Karte setzt ein neues sichtbares Argument.	NO	EXPLICIT_NEXT_ARGUMENT_RESETS__OTHERWISE_INHERIT_CURRENT_CARRIER
116	G407-E1651	G407-S122	f75r	BIOLOGICAL	qoly	OL+Y	OL	END	Y	POSTEN	Y	weiter mit dem Posten als aktuellem Träger	G407-E1652	D_ADDR+AR	NONE	Y	NEXT_INHERITS_CURRENT_ARGUMENT	Die nächste Karte verwendet weiter den Posten.	NO	EXPLICIT_NEXT_ARGUMENT_RESETS__OTHERWISE_INHERIT_CURRENT_CARRIER
117	G407-E1656	G407-S122	f75r	BIOLOGICAL	qoty	OT+Y	OT	END	Y	POSTEN	Y	danach den Posten als nächsten Träger eröffnen	G407-E1657	P+SH+AR	NONE	Y	NEXT_INHERITS_CURRENT_ARGUMENT	Die nächste Karte verwendet weiter den Posten.	NO	EXPLICIT_NEXT_ARGUMENT_RESETS__OTHERWISE_INHERIT_CURRENT_CARRIER
118	G407-E1684	G407-S129	f75r	BIOLOGICAL	olchey	OL+Y	OL	END	Y	POSTEN	Y	weiter mit dem Posten als aktuellem Träger	G407-E1685	OK+EE+DY	NONE	Y	NEXT_INHERITS_CURRENT_ARGUMENT	Die nächste Karte verwendet weiter den Posten.	NO	EXPLICIT_NEXT_ARGUMENT_RESETS__OTHERWISE_INHERIT_CURRENT_CARRIER
119	G407-E1711	G407-S135	f75r	BIOLOGICAL	polshy	P+OL+SH+Y	OL	END	Y	POSTEN	Y	weiter mit dem Posten als aktuellem Träger	G407-E1712	AL	NONE	Y	NEXT_INHERITS_CURRENT_ARGUMENT	Die nächste Karte verwendet weiter den Posten.	NO	EXPLICIT_NEXT_ARGUMENT_RESETS__OTHERWISE_INHERIT_CURRENT_CARRIER
120	G407-E1735	G407-S144	f75r	BIOLOGICAL	oty	OT+Y	OT	END	Y	POSTEN	Y	danach den Posten als nächsten Träger eröffnen	G407-E1736	OK+AR	NONE	Y	NEXT_INHERITS_CURRENT_ARGUMENT	Die nächste Karte verwendet weiter den Posten.	NO	EXPLICIT_NEXT_ARGUMENT_RESETS__OTHERWISE_INHERIT_CURRENT_CARRIER
121	G407-E1773	G407-S164	f75r	BIOLOGICAL	otey	OT+E+Y	OT	END	Y	POSTEN	Y	danach den Posten als nächsten Träger eröffnen	G407-E1774	K+OL+DY	NONE	Y	NEXT_INHERITS_CURRENT_ARGUMENT	Die nächste Karte verwendet weiter den Posten.	NO	EXPLICIT_NEXT_ARGUMENT_RESETS__OTHERWISE_INHERIT_CURRENT_CARRIER
122	G407-E1792	G407-S176	f75r	BIOLOGICAL	qoteey	OT+EE+Y	OT	END	Y	POSTEN	Y	danach den Posten als nächsten Träger eröffnen	G407-E1793	OT+EE+DY	NONE	Y	NEXT_INHERITS_CURRENT_ARGUMENT	Die nächste Karte verwendet weiter den Posten.	NO	EXPLICIT_NEXT_ARGUMENT_RESETS__OTHERWISE_INHERIT_CURRENT_CARRIER
123	G407-E1810	G407-S184	f75r	BIOLOGICAL	olaiin	OL+AIIN	OL	END	AIIN	WERT	AIIN	weiter mit dem Wert als aktuellem Träger	G407-E1811	CH	NONE	AIIN	NEXT_INHERITS_CURRENT_ARGUMENT	Die nächste Karte verwendet weiter den Wert.	NO	EXPLICIT_NEXT_ARGUMENT_RESETS__OTHERWISE_INHERIT_CURRENT_CARRIER
124	G407-E1819	G407-S186	f75r	BIOLOGICAL	oty	OT+Y	OT	END	Y	POSTEN	Y	danach den Posten als nächsten Träger eröffnen	G407-E1820	OT+E+DY	NONE	Y	NEXT_INHERITS_CURRENT_ARGUMENT	Die nächste Karte verwendet weiter den Posten.	NO	EXPLICIT_NEXT_ARGUMENT_RESETS__OTHERWISE_INHERIT_CURRENT_CARRIER
125	G407-E1832	G407-S192	f75r	BIOLOGICAL	olor	OL+OR	OL	END	OR	EINHEIT	OR	weiter mit der Einheit als aktuellem Träger	NONE	NONE	NONE	NONE	NO_SUCCESSOR_STATEMENT_END	Die Aussage endet nach diesem Träger.	YES	EXPLICIT_NEXT_ARGUMENT_RESETS__OTHERWISE_INHERIT_CURRENT_CARRIER
126	G407-E1833	G407-S193	f76r	BIOLOGICAL	potchokor	P+OT+CH+OK+OR	OT	END	OR	EINHEIT	OR	danach die Einheit als nächsten Träger eröffnen	G407-E1834	CH+O+CH+LOCAL_CHAR_F+Y	Y	NONE	NEXT_EXPLICIT_ARGUMENT_RESETS_CARRIER	Die nächste Karte setzt ein neues sichtbares Argument.	NO	EXPLICIT_NEXT_ARGUMENT_RESETS__OTHERWISE_INHERIT_CURRENT_CARRIER
127	G407-E1846	G407-S194	f76r	BIOLOGICAL	qotddyar	OT+D_ADDR+D_ADDR+Y+AR	OT	END	Y	POSTEN	Y	danach den Posten als nächsten Träger eröffnen	G407-E1847	CH+T+AR	NONE	Y	NEXT_INHERITS_CURRENT_ARGUMENT	Die nächste Karte verwendet weiter den Posten.	NO	EXPLICIT_NEXT_ARGUMENT_RESETS__OTHERWISE_INHERIT_CURRENT_CARRIER
128	G407-E1866	G407-S198	f76r	BIOLOGICAL	qoty	OT+Y	OT	END	Y	POSTEN	Y	danach den Posten als nächsten Träger eröffnen	G407-E1867	OL	NONE	Y	NEXT_INHERITS_CURRENT_ARGUMENT	Die nächste Karte verwendet weiter den Posten.	NO	EXPLICIT_NEXT_ARGUMENT_RESETS__OTHERWISE_INHERIT_CURRENT_CARRIER
129	G407-E1876	G407-S200	f76r	BIOLOGICAL	otey	OT+E+Y	OT	END	Y	POSTEN	Y	danach den Posten als nächsten Träger eröffnen	G407-E1877	OK+E+DY	NONE	Y	NEXT_INHERITS_CURRENT_ARGUMENT	Die nächste Karte verwendet weiter den Posten.	NO	EXPLICIT_NEXT_ARGUMENT_RESETS__OTHERWISE_INHERIT_CURRENT_CARRIER
130	G407-E1883	G407-S203	f76r	BIOLOGICAL	solchedy	S+OL+CHD+Y	OL	END	Y	POSTEN	Y	weiter mit dem Posten als aktuellem Träger	G407-E1884	OK+EE+DY	NONE	Y	NEXT_INHERITS_CURRENT_ARGUMENT	Die nächste Karte verwendet weiter den Posten.	NO	EXPLICIT_NEXT_ARGUMENT_RESETS__OTHERWISE_INHERIT_CURRENT_CARRIER
131	G407-E1916	G407-S211	f76r	BIOLOGICAL	olkeey	OL+K+EE+Y	OL	END	Y	POSTEN	Y	weiter mit dem Posten als aktuellem Träger	G407-E1917	L+K+AR	NONE	Y	NEXT_INHERITS_CURRENT_ARGUMENT	Die nächste Karte verwendet weiter den Posten.	NO	EXPLICIT_NEXT_ARGUMENT_RESETS__OTHERWISE_INHERIT_CURRENT_CARRIER
132	G407-E1919	G407-S211	f76r	BIOLOGICAL	otchy	OT+CH+Y	OT	END	Y	POSTEN	Y	danach den Posten als nächsten Träger eröffnen	G407-E1920	L+K+AIN	AIN	NONE	NEXT_EXPLICIT_ARGUMENT_RESETS_CARRIER	Die nächste Karte setzt ein neues sichtbares Argument.	NO	EXPLICIT_NEXT_ARGUMENT_RESETS__OTHERWISE_INHERIT_CURRENT_CARRIER
133	G407-E1935	G407-S214	f76r	BIOLOGICAL	oty	OT+Y	OT	END	Y	POSTEN	Y	danach den Posten als nächsten Träger eröffnen	G407-E1936	OL+SH+E+DY	NONE	Y	NEXT_INHERITS_CURRENT_ARGUMENT	Die nächste Karte verwendet weiter den Posten.	NO	EXPLICIT_NEXT_ARGUMENT_RESETS__OTHERWISE_INHERIT_CURRENT_CARRIER
