assignment_ordinal	cohort	event_id	statement_id	physical_page	register	surface	recipe	argument_state_projection	argument_occurrence_in_recipe	argument_multiplicity_in_recipe	argument_sequence	argument	argument_value_de	argument_atom_position	recipe_atom_count	left_control	right_control	carrier_envelope	carrier_role	content_block	argument_position_in_block	left_content_before_argument	right_content_after_argument	is_last_argument_in_recipe	compact_carrier_reading_de	envelope_template_de	complete_carrier_reading_de	literal_projection_reading_de	statement_position	statement_final	current_reading_de	y_dy_atom_distinction	guard	substitution_family_id
98	OLD26_GDT407	G407-E1297	G407-S071	f72r	CELESTIAL	otchey	OT+Y	OT+Y	1	1	Y	Y	POSTEN	2	2	OT	END	OT>A<END	NEXT_CARRIER_ARGUMENT	Y	1	NONE	NONE	YES	DANACH · POSTEN	danach ARG als nächsten Träger eröffnen	danach den Posten als nächsten Träger eröffnen	NÄCHSTEN TRÄGER ERÖFFNEN → POSTEN	STATEMENT_INTERNAL	NO	DANACH · AKTIVER POSTEN	Y_IS_ARGUMENT_ATOM__NOT_THE_DY_CONTROL	ARGUMENT_VALUE_INSIDE_WRITTEN_CONTROL_ENVELOPE__NO_ROOT_OR_RECIPE_CHANGE	G559-F01
99	OLD26_GDT407	G407-E1299	G407-S071	f72r	CELESTIAL	olaiin	OL+AIIN	OL+AIIN	1	1	AIIN	AIIN	WERT	2	2	OL	END	OL>A<END	CONTINUED_CARRIER_ARGUMENT	AIIN	1	NONE	NONE	YES	FORTSETZEN · WERT	weiter mit ARG als aktuellem Träger	weiter mit dem Wert als aktuellem Träger	TRÄGER FORTSETZEN → WERT	STATEMENT_INTERNAL	NO	FORTSETZEN · WERT	NOT_APPLICABLE	ARGUMENT_VALUE_INSIDE_WRITTEN_CONTROL_ENVELOPE__NO_ROOT_OR_RECIPE_CHANGE	G559-F02
100	OLD26_GDT407	G407-E1310	G407-S072	f72r	CELESTIAL	oteody	OT+E+O+Y	OT+Y	1	1	Y	Y	POSTEN	4	4	OT	END	OT>A<END	NEXT_CARRIER_ARGUMENT	E+O+Y	3	E+O	NONE	YES	DANACH · POSTEN	danach ARG als nächsten Träger eröffnen	danach den Posten als nächsten Träger eröffnen	NÄCHSTEN TRÄGER ERÖFFNEN → POSTEN	STATEMENT_INTERNAL	NO	DANACH · GRAD I · AUSFÜHRUNG · AKTIVER POSTEN	Y_IS_ARGUMENT_ATOM__NOT_THE_DY_CONTROL	ARGUMENT_VALUE_INSIDE_WRITTEN_CONTROL_ENVELOPE__NO_ROOT_OR_RECIPE_CHANGE	NONE
101	OLD26_GDT407	G407-E1312	G407-S073	f72r	CELESTIAL	okeolaiin	OK+E+OL+AIIN	OL+AIIN	1	1	AIIN	AIIN	WERT	4	4	OL	END	OL>A<END	CONTINUED_CARRIER_ARGUMENT	AIIN	1	NONE	NONE	YES	FORTSETZEN · WERT	weiter mit ARG als aktuellem Träger	weiter mit dem Wert als aktuellem Träger	TRÄGER FORTSETZEN → WERT	STATEMENT_INITIAL	NO	SETZEN · GRAD I · FORTSETZEN · WERT	NOT_APPLICABLE	ARGUMENT_VALUE_INSIDE_WRITTEN_CONTROL_ENVELOPE__NO_ROOT_OR_RECIPE_CHANGE	NONE
102	OLD26_GDT407	G407-E1313	G407-S073	f72r	CELESTIAL	oteey	OT+EE+Y	OT+Y	1	1	Y	Y	POSTEN	3	3	OT	END	OT>A<END	NEXT_CARRIER_ARGUMENT	EE+Y	2	EE	NONE	YES	DANACH · POSTEN	danach ARG als nächsten Träger eröffnen	danach den Posten als nächsten Träger eröffnen	NÄCHSTEN TRÄGER ERÖFFNEN → POSTEN	STATEMENT_INTERNAL	NO	DANACH · GRAD II · AKTIVER POSTEN	Y_IS_ARGUMENT_ATOM__NOT_THE_DY_CONTROL	ARGUMENT_VALUE_INSIDE_WRITTEN_CONTROL_ENVELOPE__NO_ROOT_OR_RECIPE_CHANGE	G559-F06
103	OLD26_GDT407	G407-E1333	G407-S074	f72r	CELESTIAL	choly	OL+Y	OL+Y	1	1	Y	Y	POSTEN	2	2	OL	END	OL>A<END	CONTINUED_CARRIER_ARGUMENT	Y	1	NONE	NONE	YES	FORTSETZEN · POSTEN	weiter mit ARG als aktuellem Träger	weiter mit dem Posten als aktuellem Träger	TRÄGER FORTSETZEN → POSTEN	STATEMENT_INTERNAL	NO	FORTSETZEN · AKTIVER POSTEN	Y_IS_ARGUMENT_ATOM__NOT_THE_DY_CONTROL	ARGUMENT_VALUE_INSIDE_WRITTEN_CONTROL_ENVELOPE__NO_ROOT_OR_RECIPE_CHANGE	G559-F02
104	OLD26_GDT407	G407-E1343	G407-S074	f72r	CELESTIAL	choteey	CH+OT+EE+Y	OT+Y	1	1	Y	Y	POSTEN	4	4	OT	END	OT>A<END	NEXT_CARRIER_ARGUMENT	EE+Y	2	EE	NONE	YES	DANACH · POSTEN	danach ARG als nächsten Träger eröffnen	danach den Posten als nächsten Träger eröffnen	NÄCHSTEN TRÄGER ERÖFFNEN → POSTEN	STATEMENT_INTERNAL	NO	NEHMEN · DANACH · GRAD II · AKTIVER POSTEN	Y_IS_ARGUMENT_ATOM__NOT_THE_DY_CONTROL	ARGUMENT_VALUE_INSIDE_WRITTEN_CONTROL_ENVELOPE__NO_ROOT_OR_RECIPE_CHANGE	NONE
105	OLD26_GDT407	G407-E1344	G407-S074	f72r	CELESTIAL	sheoly	SH+E+OL+Y	OL+Y	1	1	Y	Y	POSTEN	4	4	OL	END	OL>A<END	CONTINUED_CARRIER_ARGUMENT	Y	1	NONE	NONE	YES	FORTSETZEN · POSTEN	weiter mit ARG als aktuellem Träger	weiter mit dem Posten als aktuellem Träger	TRÄGER FORTSETZEN → POSTEN	STATEMENT_INTERNAL	NO	HALTEN · GRAD I · FORTSETZEN · AKTIVER POSTEN	Y_IS_ARGUMENT_ATOM__NOT_THE_DY_CONTROL	ARGUMENT_VALUE_INSIDE_WRITTEN_CONTROL_ENVELOPE__NO_ROOT_OR_RECIPE_CHANGE	G559-F11
106	OLD26_GDT407	G407-E1349	G407-S076	f72r	CELESTIAL	otey	OT+E+Y	OT+Y	1	1	Y	Y	POSTEN	3	3	OT	END	OT>A<END	NEXT_CARRIER_ARGUMENT	E+Y	2	E	NONE	YES	DANACH · POSTEN	danach ARG als nächsten Träger eröffnen	danach den Posten als nächsten Träger eröffnen	NÄCHSTEN TRÄGER ERÖFFNEN → POSTEN	STATEMENT_INITIAL	NO	DANACH · GRAD I · AKTIVER POSTEN	Y_IS_ARGUMENT_ATOM__NOT_THE_DY_CONTROL	ARGUMENT_VALUE_INSIDE_WRITTEN_CONTROL_ENVELOPE__NO_ROOT_OR_RECIPE_CHANGE	G559-F03
107	OLD26_GDT407	G407-E1354	G407-S077	f72r	CELESTIAL	ykeolol	Y+K+E+OL+OL	Y+OL+OL	1	1	Y	Y	POSTEN	1	5	START	OL	START>A<OL	RETAINED_ARGUMENT	Y+K+E	1	NONE	K+E	YES	POSTEN · FORTSETZEN	ARG weiterführen	den Posten weiterführen	POSTEN → TRÄGER FORTSETZEN → TRÄGER FORTSETZEN	STATEMENT_INTERNAL	NO	AKTIVER POSTEN · GEBEN · GRAD I · FORTSETZEN · FORTSETZEN	Y_IS_ARGUMENT_ATOM__NOT_THE_DY_CONTROL	ARGUMENT_VALUE_INSIDE_WRITTEN_CONTROL_ENVELOPE__NO_ROOT_OR_RECIPE_CHANGE	NONE
108	OLD26_GDT407	G407-E1361	G407-S077	f72r	CELESTIAL	ykeeoly	Y+K+OL+Y	Y+OL+Y	1	2	Y+Y	Y	POSTEN	1	4	START	OL	START>A<OL	RETAINED_ARGUMENT	Y+K	1	NONE	K	NO	POSTEN · FORTSETZEN	ARG weiterführen	den Posten weiterführen	POSTEN → TRÄGER FORTSETZEN → POSTEN	STATEMENT_INTERNAL	NO	AKTIVER POSTEN · GEBEN · FORTSETZEN · AKTIVER POSTEN	Y_IS_ARGUMENT_ATOM__NOT_THE_DY_CONTROL	ARGUMENT_VALUE_INSIDE_WRITTEN_CONTROL_ENVELOPE__NO_ROOT_OR_RECIPE_CHANGE	NONE
109	OLD26_GDT407	G407-E1361	G407-S077	f72r	CELESTIAL	ykeeoly	Y+K+OL+Y	Y+OL+Y	2	2	Y+Y	Y	POSTEN	4	4	OL	END	OL>A<END	CONTINUED_CARRIER_ARGUMENT	Y	1	NONE	NONE	YES	FORTSETZEN · POSTEN	weiter mit ARG als aktuellem Träger	weiter mit dem Posten als aktuellem Träger	POSTEN → TRÄGER FORTSETZEN → POSTEN	STATEMENT_INTERNAL	NO	AKTIVER POSTEN · GEBEN · FORTSETZEN · AKTIVER POSTEN	Y_IS_ARGUMENT_ATOM__NOT_THE_DY_CONTROL	ARGUMENT_VALUE_INSIDE_WRITTEN_CONTROL_ENVELOPE__NO_ROOT_OR_RECIPE_CHANGE	NONE
110	OLD26_GDT407	G407-E1362	G407-S077	f72r	CELESTIAL	otaiin	OT+AIIN	OT+AIIN	1	1	AIIN	AIIN	WERT	2	2	OT	END	OT>A<END	NEXT_CARRIER_ARGUMENT	AIIN	1	NONE	NONE	YES	DANACH · WERT	danach ARG als nächsten Träger eröffnen	danach den Wert als nächsten Träger eröffnen	NÄCHSTEN TRÄGER ERÖFFNEN → WERT	STATEMENT_INTERNAL	NO	DANACH · WERT	NOT_APPLICABLE	ARGUMENT_VALUE_INSIDE_WRITTEN_CONTROL_ENVELOPE__NO_ROOT_OR_RECIPE_CHANGE	G559-F01
111	OLD26_GDT407	G407-E1369	G407-S077	f72r	CELESTIAL	oteody	OT+E+O+Y	OT+Y	1	1	Y	Y	POSTEN	4	4	OT	END	OT>A<END	NEXT_CARRIER_ARGUMENT	E+O+Y	3	E+O	NONE	YES	DANACH · POSTEN	danach ARG als nächsten Träger eröffnen	danach den Posten als nächsten Träger eröffnen	NÄCHSTEN TRÄGER ERÖFFNEN → POSTEN	STATEMENT_INTERNAL	NO	DANACH · GRAD I · AUSFÜHRUNG · AKTIVER POSTEN	Y_IS_ARGUMENT_ATOM__NOT_THE_DY_CONTROL	ARGUMENT_VALUE_INSIDE_WRITTEN_CONTROL_ENVELOPE__NO_ROOT_OR_RECIPE_CHANGE	NONE
112	OLD26_GDT407	G407-E1373	G407-S077	f72r	CELESTIAL	doteey	D_ADDR+OT+EE+Y	OT+Y	1	1	Y	Y	POSTEN	4	4	OT	END	OT>A<END	NEXT_CARRIER_ARGUMENT	EE+Y	2	EE	NONE	YES	DANACH · POSTEN	danach ARG als nächsten Träger eröffnen	danach den Posten als nächsten Träger eröffnen	NÄCHSTEN TRÄGER ERÖFFNEN → POSTEN	STATEMENT_INTERNAL	NO	HIER · DANACH · GRAD II · AKTIVER POSTEN	Y_IS_ARGUMENT_ATOM__NOT_THE_DY_CONTROL	ARGUMENT_VALUE_INSIDE_WRITTEN_CONTROL_ENVELOPE__NO_ROOT_OR_RECIPE_CHANGE	NONE
113	OLD26_GDT407	G407-E1382	G407-S077	f72r	CELESTIAL	shoteey	SH+OT+EE+Y	OT+Y	1	1	Y	Y	POSTEN	4	4	OT	END	OT>A<END	NEXT_CARRIER_ARGUMENT	EE+Y	2	EE	NONE	YES	DANACH · POSTEN	danach ARG als nächsten Träger eröffnen	danach den Posten als nächsten Träger eröffnen	NÄCHSTEN TRÄGER ERÖFFNEN → POSTEN	STATEMENT_INTERNAL	NO	HALTEN · DANACH · GRAD II · AKTIVER POSTEN	Y_IS_ARGUMENT_ATOM__NOT_THE_DY_CONTROL	ARGUMENT_VALUE_INSIDE_WRITTEN_CONTROL_ENVELOPE__NO_ROOT_OR_RECIPE_CHANGE	NONE
114	OLD26_GDT407	G407-E1388	G407-S077	f72r	CELESTIAL	ykoly	Y+K+OL+Y	Y+OL+Y	1	2	Y+Y	Y	POSTEN	1	4	START	OL	START>A<OL	RETAINED_ARGUMENT	Y+K	1	NONE	K	NO	POSTEN · FORTSETZEN	ARG weiterführen	den Posten weiterführen	POSTEN → TRÄGER FORTSETZEN → POSTEN	STATEMENT_FINAL	YES	AKTIVER POSTEN · GEBEN · FORTSETZEN · AKTIVER POSTEN	Y_IS_ARGUMENT_ATOM__NOT_THE_DY_CONTROL	ARGUMENT_VALUE_INSIDE_WRITTEN_CONTROL_ENVELOPE__NO_ROOT_OR_RECIPE_CHANGE	NONE
115	OLD26_GDT407	G407-E1388	G407-S077	f72r	CELESTIAL	ykoly	Y+K+OL+Y	Y+OL+Y	2	2	Y+Y	Y	POSTEN	4	4	OL	END	OL>A<END	CONTINUED_CARRIER_ARGUMENT	Y	1	NONE	NONE	YES	FORTSETZEN · POSTEN	weiter mit ARG als aktuellem Träger	weiter mit dem Posten als aktuellem Träger	POSTEN → TRÄGER FORTSETZEN → POSTEN	STATEMENT_FINAL	YES	AKTIVER POSTEN · GEBEN · FORTSETZEN · AKTIVER POSTEN	Y_IS_ARGUMENT_ATOM__NOT_THE_DY_CONTROL	ARGUMENT_VALUE_INSIDE_WRITTEN_CONTROL_ENVELOPE__NO_ROOT_OR_RECIPE_CHANGE	NONE
116	OLD26_GDT407	G407-E1389	G407-S078	f72r	CELESTIAL	oteey	OT+EE+Y	OT+Y	1	1	Y	Y	POSTEN	3	3	OT	END	OT>A<END	NEXT_CARRIER_ARGUMENT	EE+Y	2	EE	NONE	YES	DANACH · POSTEN	danach ARG als nächsten Träger eröffnen	danach den Posten als nächsten Träger eröffnen	NÄCHSTEN TRÄGER ERÖFFNEN → POSTEN	STATEMENT_INITIAL	NO	DANACH · GRAD II · AKTIVER POSTEN	Y_IS_ARGUMENT_ATOM__NOT_THE_DY_CONTROL	ARGUMENT_VALUE_INSIDE_WRITTEN_CONTROL_ENVELOPE__NO_ROOT_OR_RECIPE_CHANGE	G559-F06
117	OLD26_GDT407	G407-E1394	G407-S079	f72r	CELESTIAL	opcholalaiin	O+P+CH+OL+AL+AIIN	OL+AIIN	1	1	AIIN	AIIN	WERT	6	6	OL	END	OL>A<END	CONTINUED_CARRIER_ARGUMENT	AL+AIIN	2	AL	NONE	YES	FORTSETZEN · WERT	weiter mit ARG als aktuellem Träger	weiter mit dem Wert als aktuellem Träger	TRÄGER FORTSETZEN → WERT	STATEMENT_INTERNAL	NO	AUSFÜHRUNG · EINSETZEN · NEHMEN · FORTSETZEN · ZIELORT · WERT	NOT_APPLICABLE	ARGUMENT_VALUE_INSIDE_WRITTEN_CONTROL_ENVELOPE__NO_ROOT_OR_RECIPE_CHANGE	NONE
118	OLD26_GDT407	G407-E1395	G407-S079	f72r	CELESTIAL	oteeor	OT+EE+OR	OT+OR	1	1	OR	OR	EINHEIT	3	3	OT	END	OT>A<END	NEXT_CARRIER_ARGUMENT	EE+OR	2	EE	NONE	YES	DANACH · EINHEIT	danach ARG als nächsten Träger eröffnen	danach die Einheit als nächsten Träger eröffnen	NÄCHSTEN TRÄGER ERÖFFNEN → EINHEIT	STATEMENT_INTERNAL	NO	DANACH · GRAD II · EINHEIT	NOT_APPLICABLE	ARGUMENT_VALUE_INSIDE_WRITTEN_CONTROL_ENVELOPE__NO_ROOT_OR_RECIPE_CHANGE	G559-F06
119	OLD26_GDT407	G407-E1402	G407-S079	f72r	CELESTIAL	olaiin	OL+AIIN	OL+AIIN	1	1	AIIN	AIIN	WERT	2	2	OL	END	OL>A<END	CONTINUED_CARRIER_ARGUMENT	AIIN	1	NONE	NONE	YES	FORTSETZEN · WERT	weiter mit ARG als aktuellem Träger	weiter mit dem Wert als aktuellem Träger	TRÄGER FORTSETZEN → WERT	STATEMENT_INTERNAL	NO	FORTSETZEN · WERT	NOT_APPLICABLE	ARGUMENT_VALUE_INSIDE_WRITTEN_CONTROL_ENVELOPE__NO_ROOT_OR_RECIPE_CHANGE	G559-F02
120	OLD26_GDT407	G407-E1405	G407-S079	f72r	CELESTIAL	choty	CH+OT+Y	OT+Y	1	1	Y	Y	POSTEN	3	3	OT	END	OT>A<END	NEXT_CARRIER_ARGUMENT	Y	1	NONE	NONE	YES	DANACH · POSTEN	danach ARG als nächsten Träger eröffnen	danach den Posten als nächsten Träger eröffnen	NÄCHSTEN TRÄGER ERÖFFNEN → POSTEN	STATEMENT_INTERNAL	NO	NEHMEN · DANACH · AKTIVER POSTEN	Y_IS_ARGUMENT_ATOM__NOT_THE_DY_CONTROL	ARGUMENT_VALUE_INSIDE_WRITTEN_CONTROL_ENVELOPE__NO_ROOT_OR_RECIPE_CHANGE	NONE
121	OLD26_GDT407	G407-E1418	G407-S081	f72r	CELESTIAL	olaiin	OL+AIIN	OL+AIIN	1	1	AIIN	AIIN	WERT	2	2	OL	END	OL>A<END	CONTINUED_CARRIER_ARGUMENT	AIIN	1	NONE	NONE	YES	FORTSETZEN · WERT	weiter mit ARG als aktuellem Träger	weiter mit dem Wert als aktuellem Träger	TRÄGER FORTSETZEN → WERT	STATEMENT_INTERNAL	NO	FORTSETZEN · WERT	NOT_APPLICABLE	ARGUMENT_VALUE_INSIDE_WRITTEN_CONTROL_ENVELOPE__NO_ROOT_OR_RECIPE_CHANGE	G559-F02
122	OLD26_GDT407	G407-E1424	G407-S081	f72r	CELESTIAL	koly	K+OL+Y	OL+Y	1	1	Y	Y	POSTEN	3	3	OL	END	OL>A<END	CONTINUED_CARRIER_ARGUMENT	Y	1	NONE	NONE	YES	FORTSETZEN · POSTEN	weiter mit ARG als aktuellem Träger	weiter mit dem Posten als aktuellem Träger	TRÄGER FORTSETZEN → POSTEN	STATEMENT_FINAL	YES	GEBEN · FORTSETZEN · AKTIVER POSTEN	Y_IS_ARGUMENT_ATOM__NOT_THE_DY_CONTROL	ARGUMENT_VALUE_INSIDE_WRITTEN_CONTROL_ENVELOPE__NO_ROOT_OR_RECIPE_CHANGE	NONE
123	OLD26_GDT407	G407-E1470	G407-S087	f75r	BIOLOGICAL	olky	OL+K+Y	OL+Y	1	1	Y	Y	POSTEN	3	3	OL	END	OL>A<END	CONTINUED_CARRIER_ARGUMENT	K+Y	2	K	NONE	YES	FORTSETZEN · POSTEN	weiter mit ARG als aktuellem Träger	weiter mit dem Posten als aktuellem Träger	TRÄGER FORTSETZEN → POSTEN	STATEMENT_INTERNAL	NO	FORTSETZEN · GEBEN · AKTIVER POSTEN	Y_IS_ARGUMENT_ATOM__NOT_THE_DY_CONTROL	ARGUMENT_VALUE_INSIDE_WRITTEN_CONTROL_ENVELOPE__NO_ROOT_OR_RECIPE_CHANGE	G559-F04
124	OLD26_GDT407	G407-E1510	G407-S096	f75r	BIOLOGICAL	otey	OT+E+Y	OT+Y	1	1	Y	Y	POSTEN	3	3	OT	END	OT>A<END	NEXT_CARRIER_ARGUMENT	E+Y	2	E	NONE	YES	DANACH · POSTEN	danach ARG als nächsten Träger eröffnen	danach den Posten als nächsten Träger eröffnen	NÄCHSTEN TRÄGER ERÖFFNEN → POSTEN	STATEMENT_INTERNAL	NO	DANACH · GRAD I · AKTIVER POSTEN	Y_IS_ARGUMENT_ATOM__NOT_THE_DY_CONTROL	ARGUMENT_VALUE_INSIDE_WRITTEN_CONTROL_ENVELOPE__NO_ROOT_OR_RECIPE_CHANGE	G559-F03
125	OLD26_GDT407	G407-E1515	G407-S099	f75r	BIOLOGICAL	oly	OL+Y	OL+Y	1	1	Y	Y	POSTEN	2	2	OL	END	OL>A<END	CONTINUED_CARRIER_ARGUMENT	Y	1	NONE	NONE	YES	FORTSETZEN · POSTEN	weiter mit ARG als aktuellem Träger	weiter mit dem Posten als aktuellem Träger	TRÄGER FORTSETZEN → POSTEN	STATEMENT_INTERNAL	NO	FORTSETZEN · AKTIVER POSTEN	Y_IS_ARGUMENT_ATOM__NOT_THE_DY_CONTROL	ARGUMENT_VALUE_INSIDE_WRITTEN_CONTROL_ENVELOPE__NO_ROOT_OR_RECIPE_CHANGE	G559-F02
126	OLD26_GDT407	G407-E1525	G407-S101	f75r	BIOLOGICAL	oly	OL+Y	OL+Y	1	1	Y	Y	POSTEN	2	2	OL	END	OL>A<END	CONTINUED_CARRIER_ARGUMENT	Y	1	NONE	NONE	YES	FORTSETZEN · POSTEN	weiter mit ARG als aktuellem Träger	weiter mit dem Posten als aktuellem Träger	TRÄGER FORTSETZEN → POSTEN	STATEMENT_INTERNAL	NO	FORTSETZEN · AKTIVER POSTEN	Y_IS_ARGUMENT_ATOM__NOT_THE_DY_CONTROL	ARGUMENT_VALUE_INSIDE_WRITTEN_CONTROL_ENVELOPE__NO_ROOT_OR_RECIPE_CHANGE	G559-F02
127	OLD26_GDT407	G407-E1555	G407-S110	f75r	BIOLOGICAL	qolkeeoly	OL+K+EE+OL+Y	OL+OL+Y	1	1	Y	Y	POSTEN	5	5	OL	END	OL>A<END	CONTINUED_CARRIER_ARGUMENT	Y	1	NONE	NONE	YES	FORTSETZEN · POSTEN	weiter mit ARG als aktuellem Träger	weiter mit dem Posten als aktuellem Träger	TRÄGER FORTSETZEN → TRÄGER FORTSETZEN → POSTEN	STATEMENT_INTERNAL	NO	FORTSETZEN · GEBEN · GRAD II · FORTSETZEN · AKTIVER POSTEN	Y_IS_ARGUMENT_ATOM__NOT_THE_DY_CONTROL	ARGUMENT_VALUE_INSIDE_WRITTEN_CONTROL_ENVELOPE__NO_ROOT_OR_RECIPE_CHANGE	NONE
128	OLD26_GDT407	G407-E1586	G407-S118	f75r	BIOLOGICAL	otain	OT+AIN	OT+AIN	1	1	AIN	AIN	ANTEIL	2	2	OT	END	OT>A<END	NEXT_CARRIER_ARGUMENT	AIN	1	NONE	NONE	YES	DANACH · ANTEIL	danach ARG als nächsten Träger eröffnen	danach den Anteil als nächsten Träger eröffnen	NÄCHSTEN TRÄGER ERÖFFNEN → ANTEIL	STATEMENT_INTERNAL	NO	DANACH · ANTEIL	NOT_APPLICABLE	ARGUMENT_VALUE_INSIDE_WRITTEN_CONTROL_ENVELOPE__NO_ROOT_OR_RECIPE_CHANGE	G559-F01
129	OLD26_GDT407	G407-E1589	G407-S118	f75r	BIOLOGICAL	oly	OL+Y	OL+Y	1	1	Y	Y	POSTEN	2	2	OL	END	OL>A<END	CONTINUED_CARRIER_ARGUMENT	Y	1	NONE	NONE	YES	FORTSETZEN · POSTEN	weiter mit ARG als aktuellem Träger	weiter mit dem Posten als aktuellem Träger	TRÄGER FORTSETZEN → POSTEN	STATEMENT_INTERNAL	NO	FORTSETZEN · AKTIVER POSTEN	Y_IS_ARGUMENT_ATOM__NOT_THE_DY_CONTROL	ARGUMENT_VALUE_INSIDE_WRITTEN_CONTROL_ENVELOPE__NO_ROOT_OR_RECIPE_CHANGE	G559-F02
130	OLD26_GDT407	G407-E1632	G407-S119	f75r	BIOLOGICAL	olkeey	OL+K+EE+Y	OL+Y	1	1	Y	Y	POSTEN	4	4	OL	END	OL>A<END	CONTINUED_CARRIER_ARGUMENT	K+EE+Y	3	K+EE	NONE	YES	FORTSETZEN · POSTEN	weiter mit ARG als aktuellem Träger	weiter mit dem Posten als aktuellem Träger	TRÄGER FORTSETZEN → POSTEN	STATEMENT_INTERNAL	NO	FORTSETZEN · GEBEN · GRAD II · AKTIVER POSTEN	Y_IS_ARGUMENT_ATOM__NOT_THE_DY_CONTROL	ARGUMENT_VALUE_INSIDE_WRITTEN_CONTROL_ENVELOPE__NO_ROOT_OR_RECIPE_CHANGE	NONE
131	OLD26_GDT407	G407-E1633	G407-S119	f75r	BIOLOGICAL	qolkary	OL+K+AR+Y	OL+Y	1	1	Y	Y	POSTEN	4	4	OL	END	OL>A<END	CONTINUED_CARRIER_ARGUMENT	K+AR+Y	3	K+AR	NONE	YES	FORTSETZEN · POSTEN	weiter mit ARG als aktuellem Träger	weiter mit dem Posten als aktuellem Träger	TRÄGER FORTSETZEN → POSTEN	STATEMENT_INTERNAL	NO	FORTSETZEN · GEBEN · AUSGANG · AKTIVER POSTEN	Y_IS_ARGUMENT_ATOM__NOT_THE_DY_CONTROL	ARGUMENT_VALUE_INSIDE_WRITTEN_CONTROL_ENVELOPE__NO_ROOT_OR_RECIPE_CHANGE	NONE
132	OLD26_GDT407	G407-E1651	G407-S122	f75r	BIOLOGICAL	qoly	OL+Y	OL+Y	1	1	Y	Y	POSTEN	2	2	OL	END	OL>A<END	CONTINUED_CARRIER_ARGUMENT	Y	1	NONE	NONE	YES	FORTSETZEN · POSTEN	weiter mit ARG als aktuellem Träger	weiter mit dem Posten als aktuellem Träger	TRÄGER FORTSETZEN → POSTEN	STATEMENT_INTERNAL	NO	FORTSETZEN · AKTIVER POSTEN	Y_IS_ARGUMENT_ATOM__NOT_THE_DY_CONTROL	ARGUMENT_VALUE_INSIDE_WRITTEN_CONTROL_ENVELOPE__NO_ROOT_OR_RECIPE_CHANGE	G559-F02
133	OLD26_GDT407	G407-E1656	G407-S122	f75r	BIOLOGICAL	qoty	OT+Y	OT+Y	1	1	Y	Y	POSTEN	2	2	OT	END	OT>A<END	NEXT_CARRIER_ARGUMENT	Y	1	NONE	NONE	YES	DANACH · POSTEN	danach ARG als nächsten Träger eröffnen	danach den Posten als nächsten Träger eröffnen	NÄCHSTEN TRÄGER ERÖFFNEN → POSTEN	STATEMENT_INTERNAL	NO	DANACH · AKTIVER POSTEN	Y_IS_ARGUMENT_ATOM__NOT_THE_DY_CONTROL	ARGUMENT_VALUE_INSIDE_WRITTEN_CONTROL_ENVELOPE__NO_ROOT_OR_RECIPE_CHANGE	G559-F01
134	OLD26_GDT407	G407-E1684	G407-S129	f75r	BIOLOGICAL	olchey	OL+Y	OL+Y	1	1	Y	Y	POSTEN	2	2	OL	END	OL>A<END	CONTINUED_CARRIER_ARGUMENT	Y	1	NONE	NONE	YES	FORTSETZEN · POSTEN	weiter mit ARG als aktuellem Träger	weiter mit dem Posten als aktuellem Träger	TRÄGER FORTSETZEN → POSTEN	STATEMENT_INTERNAL	NO	FORTSETZEN · AKTIVER POSTEN	Y_IS_ARGUMENT_ATOM__NOT_THE_DY_CONTROL	ARGUMENT_VALUE_INSIDE_WRITTEN_CONTROL_ENVELOPE__NO_ROOT_OR_RECIPE_CHANGE	G559-F02
135	OLD26_GDT407	G407-E1711	G407-S135	f75r	BIOLOGICAL	polshy	P+OL+SH+Y	OL+Y	1	1	Y	Y	POSTEN	4	4	OL	END	OL>A<END	CONTINUED_CARRIER_ARGUMENT	SH+Y	2	SH	NONE	YES	FORTSETZEN · POSTEN	weiter mit ARG als aktuellem Träger	weiter mit dem Posten als aktuellem Träger	TRÄGER FORTSETZEN → POSTEN	STATEMENT_INITIAL	NO	EINSETZEN · FORTSETZEN · HALTEN · AKTIVER POSTEN	Y_IS_ARGUMENT_ATOM__NOT_THE_DY_CONTROL	ARGUMENT_VALUE_INSIDE_WRITTEN_CONTROL_ENVELOPE__NO_ROOT_OR_RECIPE_CHANGE	NONE
136	OLD26_GDT407	G407-E1735	G407-S144	f75r	BIOLOGICAL	oty	OT+Y	OT+Y	1	1	Y	Y	POSTEN	2	2	OT	END	OT>A<END	NEXT_CARRIER_ARGUMENT	Y	1	NONE	NONE	YES	DANACH · POSTEN	danach ARG als nächsten Träger eröffnen	danach den Posten als nächsten Träger eröffnen	NÄCHSTEN TRÄGER ERÖFFNEN → POSTEN	STATEMENT_INTERNAL	NO	DANACH · AKTIVER POSTEN	Y_IS_ARGUMENT_ATOM__NOT_THE_DY_CONTROL	ARGUMENT_VALUE_INSIDE_WRITTEN_CONTROL_ENVELOPE__NO_ROOT_OR_RECIPE_CHANGE	G559-F01
