identity	surface	component_recipe	semantic_root_reading_de	renderer_skeleton	renderer_rules	attested_surface_family	allograph_choices	renderability	exact_surface_rule
PROC026	tshol	T+SH+OL	BEARBEITEN · HALTEN · FORTSETZEN	t-sh-ol/chol/qol/ls/sol	ROOT_ORDER_COPY | OL_FRAME_ALLOGRAPH	tshol	1	COMPOSITIONAL_SINGLE_ATTESTED_RENDERING	Choose the learned local/hand allograph from this attested family.
PROC027	schoal	SH+O+AL	HALTEN · ARBEITSGANG · ZIELSTELLE	sh-o-al	ROOT_ORDER_COPY | ARGUMENT_OR_ADDRESS_TAIL	schoal	1	COMPOSITIONAL_SINGLE_ATTESTED_RENDERING	Choose the learned local/hand allograph from this attested family.
PROC028	cfhy	CFH+Y	AUSPRESSEN · POSTEN	cfh-y/chy/chey/dy/shy/sy	ROOT_ORDER_COPY | Y_OPEN_ENDPOINT	cfhy	1	COMPOSITIONAL_SINGLE_ATTESTED_RENDERING	Choose the learned local/hand allograph from this attested family.
PROC029	shfydaiin	SH+Y+AIIN	HALTEN · POSTEN · MASS	sh-y/chy/chey/dy/shy/sy-aiin	ROOT_ORDER_COPY | ARGUMENT_OR_ADDRESS_TAIL	shfydaiin	1	COMPOSITIONAL_SINGLE_ATTESTED_RENDERING	Choose the learned local/hand allograph from this attested family.
PROC030	cphy	P+Y	EINBRINGEN · POSTEN	p-y/chy/chey/dy/shy/sy	ROOT_ORDER_COPY | Y_OPEN_ENDPOINT	cphy	1	COMPOSITIONAL_SINGLE_ATTESTED_RENDERING	Choose the learned local/hand allograph from this attested family.
PROC031	cheey	SH+EE+Y	HALTEN · LANG · POSTEN	sh-ee-y/chy/chey/dy/shy/sy	ROOT_ORDER_COPY | E_GRADE_LENGTH | Y_OPEN_ENDPOINT	sheey | cheey	2	COMPOSITIONAL_FAMILY__ALLOGRAPH_CHOICE	Choose the learned local/hand allograph from this attested family.
PROC032	tchody	T+CH+O+DY	BEARBEITEN · ENTNEHMEN · ARBEITSGANG · SCHLIESSEN	t-ch-o-dy	ROOT_ORDER_COPY | CH_BODY_ALLOGRAPH | DY_CLOSED_ENDPOINT	tchody	1	COMPOSITIONAL_SINGLE_ATTESTED_RENDERING	Choose the learned local/hand allograph from this attested family.
PROC033	shoyty	SH+O+Y+T+Y	HALTEN · ARBEITSGANG · POSTEN · BEARBEITEN · POSTEN	sh-o-y/chy/chey/dy/shy/sy-t-y/chy/chey/dy/shy/sy	ROOT_ORDER_COPY | Y_OPEN_ENDPOINT | REPEATED_ROOT_COPY	shoyty	1	COMPOSITIONAL_SINGLE_ATTESTED_RENDERING	Choose the learned local/hand allograph from this attested family.
PROC034	schol	RESUME_CARD	DAVON	schol	ROOT_ORDER_COPY	schol	1	COMPOSITIONAL_SINGLE_ATTESTED_RENDERING	Choose the learned local/hand allograph from this attested family.
PROC035	kchy	K+Y	ZUGEBEN · POSTEN	k-y/chy/chey/dy/shy/sy	ROOT_ORDER_COPY | Y_OPEN_ENDPOINT	kchy	1	COMPOSITIONAL_SINGLE_ATTESTED_RENDERING	Choose the learned local/hand allograph from this attested family.
PROC036	qotchy	OT+Y	DANACH · POSTEN	qot/ot-y/chy/chey/dy/shy/sy	ROOT_ORDER_COPY | OPTIONAL_Q_CARRIER | OT_FRAME_ALLOGRAPH | Y_OPEN_ENDPOINT	qotchy | otchey	2	COMPOSITIONAL_FAMILY__ALLOGRAPH_CHOICE	Choose the learned local/hand allograph from this attested family.
PROC037	okchol	OK+OL	ANSETZEN · FORTSETZEN	qok/ok/chok-ol/chol/qol/ls/sol	ROOT_ORDER_COPY | OK_FRAME_ALLOGRAPH | OL_FRAME_ALLOGRAPH	okchol | qokol	2	COMPOSITIONAL_FAMILY__ALLOGRAPH_CHOICE	Choose the learned local/hand allograph from this attested family.
PROC038	qokaiin	OK+AIIN	ANSETZEN · MASS	qok/ok/chok-aiin	ROOT_ORDER_COPY | OPTIONAL_Q_CARRIER | OK_FRAME_ALLOGRAPH | ARGUMENT_OR_ADDRESS_TAIL	qokaiin	1	COMPOSITIONAL_SINGLE_ATTESTED_RENDERING	Choose the learned local/hand allograph from this attested family.
PROC039	ykain	Y+K+AIN	POSTEN · ZUGEBEN · PORTION	y/chy/chey/dy/shy/sy-k-ain	ROOT_ORDER_COPY | ARGUMENT_OR_ADDRESS_TAIL	ykain	1	COMPOSITIONAL_SINGLE_ATTESTED_RENDERING	Choose the learned local/hand allograph from this attested family.
PROC040	ykan	Y+K+AN	POSTEN · ZUGEBEN · NACHGABE	y/chy/chey/dy/shy/sy-k-an	ROOT_ORDER_COPY	ykan	1	COMPOSITIONAL_SINGLE_ATTESTED_RENDERING	Choose the learned local/hand allograph from this attested family.
PROC041	ody	O+DY	ARBEITSGANG · SCHLIESSEN	o-dy	MEMORIZED_WHOLE_FORM | DY_CLOSED_ENDPOINT	ody	1	MEMORIZED_EXACT_FORM	Choose the learned local/hand allograph from this attested family.
PROC042	chedy	CHD+Y	UMSETZEN · POSTEN	chd/ched-y/chy/chey/dy/shy/sy	ROOT_ORDER_COPY | CH_BODY_ALLOGRAPH | Y_OPEN_ENDPOINT	chdy | chedy | chedchy	3	COMPOSITIONAL_FAMILY__ALLOGRAPH_CHOICE	Choose the learned local/hand allograph from this attested family.
PROC043	talam	TALAM	BEISEITESTELLEN	talam	MEMORIZED_WHOLE_FORM	talam	1	MEMORIZED_EXACT_FORM	Choose the learned local/hand allograph from this attested family.
PROC044	ykaiin	Y+K+AIIN	POSTEN · ZUGEBEN · MASS	y/chy/chey/dy/shy/sy-k-aiin	ROOT_ORDER_COPY | ARGUMENT_OR_ADDRESS_TAIL	ykaiin	1	COMPOSITIONAL_SINGLE_ATTESTED_RENDERING	Choose the learned local/hand allograph from this attested family.
PROC045	cheoar	CH+E+O+AR	ENTNEHMEN · KURZ · ARBEITSGANG · QUELLE	ch-e-o-ar	ROOT_ORDER_COPY | CH_BODY_ALLOGRAPH | E_GRADE_LENGTH | ARGUMENT_OR_ADDRESS_TAIL	cheoar	1	COMPOSITIONAL_SINGLE_ATTESTED_RENDERING	Choose the learned local/hand allograph from this attested family.
PROC046	cheeky	CHK+EE+Y	WAERMEN · LANG · POSTEN	chk/chek-ee-y/chy/chey/dy/shy/sy	ROOT_ORDER_COPY | CH_BODY_ALLOGRAPH | E_GRADE_LENGTH | Y_OPEN_ENDPOINT	cheeky | chkeey	2	COMPOSITIONAL_FAMILY__ALLOGRAPH_CHOICE	Choose the learned local/hand allograph from this attested family.
PROC047	oldy	OL+DY	FORTSETZEN · SCHLIESSEN	ol/chol/qol/ls/sol-dy	ROOT_ORDER_COPY | OL_FRAME_ALLOGRAPH | DY_CLOSED_ENDPOINT	oldy	1	COMPOSITIONAL_SINGLE_ATTESTED_RENDERING	Choose the learned local/hand allograph from this attested family.
PROC048	qokal	OK+AL	ANSETZEN · ZIELSTELLE	qok/ok/chok-al	ROOT_ORDER_COPY | OPTIONAL_Q_CARRIER | OK_FRAME_ALLOGRAPH | ARGUMENT_OR_ADDRESS_TAIL	qokal	1	COMPOSITIONAL_SINGLE_ATTESTED_RENDERING	Choose the learned local/hand allograph from this attested family.
PROC049	oltchy	OL+T+Y	FORTSETZEN · BEARBEITEN · POSTEN	ol/chol/qol/ls/sol-t-y/chy/chey/dy/shy/sy	ROOT_ORDER_COPY | OL_FRAME_ALLOGRAPH | Y_OPEN_ENDPOINT	oltchy	1	COMPOSITIONAL_SINGLE_ATTESTED_RENDERING	Choose the learned local/hand allograph from this attested family.
PROC050	orain	OR+AIN	ANSATZ · PORTION	or-ain	ROOT_ORDER_COPY | ARGUMENT_OR_ADDRESS_TAIL	orain	1	COMPOSITIONAL_SINGLE_ATTESTED_RENDERING	Choose the learned local/hand allograph from this attested family.
PROC051	chochor	HO+CH+OR	TEIL · ENTNEHMEN · ANSATZ	cho/sho-ch-or	ROOT_ORDER_COPY | CH_BODY_ALLOGRAPH	chochor	1	COMPOSITIONAL_SINGLE_ATTESTED_RENDERING	Choose the learned local/hand allograph from this attested family.
PROC052	cho	HO	TEIL	cho/sho	MEMORIZED_WHOLE_FORM	cho	1	MEMORIZED_EXACT_FORM	Choose the learned local/hand allograph from this attested family.
PROC053	chodaly	HO+AL+Y	TEIL · ZIELSTELLE · POSTEN	cho/sho-al-y/chy/chey/dy/shy/sy	ROOT_ORDER_COPY | Y_OPEN_ENDPOINT	chodaly	1	COMPOSITIONAL_SINGLE_ATTESTED_RENDERING	Choose the learned local/hand allograph from this attested family.
PROC054	kchol	K+OL	ZUGEBEN · FORTSETZEN	k-ol/chol/qol/ls/sol	ROOT_ORDER_COPY | OL_FRAME_ALLOGRAPH	kchol	1	COMPOSITIONAL_SINGLE_ATTESTED_RENDERING	Choose the learned local/hand allograph from this attested family.
PROC055	dal	AL	ZIELSTELLE	al	ROOT_ORDER_COPY | ARGUMENT_OR_ADDRESS_TAIL	dal | cheal	2	COMPOSITIONAL_FAMILY__ALLOGRAPH_CHOICE	Choose the learned local/hand allograph from this attested family.
PROC056	choy	HO+Y	TEIL · POSTEN	cho/sho-y/chy/chey/dy/shy/sy	ROOT_ORDER_COPY | Y_OPEN_ENDPOINT	choy	1	COMPOSITIONAL_SINGLE_ATTESTED_RENDERING	Choose the learned local/hand allograph from this attested family.
PROC057	cheeckhody	CH+EE+CKH+O+DY	ENTNEHMEN · LANG · DURCHLASS · ARBEITSGANG · SCHLIESSEN	ch-ee-ckh-o-dy	ROOT_ORDER_COPY | CH_BODY_ALLOGRAPH | E_GRADE_LENGTH | DY_CLOSED_ENDPOINT	cheeckhody	1	COMPOSITIONAL_SINGLE_ATTESTED_RENDERING	Choose the learned local/hand allograph from this attested family.
PROC065	otchey	OT+Y	DANACH · POSTEN	qot/ot-y/chy/chey/dy/shy/sy	ROOT_ORDER_COPY | OT_FRAME_ALLOGRAPH | Y_OPEN_ENDPOINT	qotchy | otchey	2	COMPOSITIONAL_FAMILY__ALLOGRAPH_CHOICE	Choose the learned local/hand allograph from this attested family.
PROC067	qokedy	OK+E+DY	ANSETZEN · KURZ · SCHLIESSEN	qok/ok/chok-e-dy	ROOT_ORDER_COPY | OPTIONAL_Q_CARRIER | OK_FRAME_ALLOGRAPH | E_GRADE_LENGTH | DY_CLOSED_ENDPOINT	qokedy	1	COMPOSITIONAL_SINGLE_ATTESTED_RENDERING	Choose the learned local/hand allograph from this attested family.
PROC068	kair	K+AIR	ZUGEBEN · LAUF	k-air	ROOT_ORDER_COPY | ARGUMENT_OR_ADDRESS_TAIL	kair	1	COMPOSITIONAL_SINGLE_ATTESTED_RENDERING	Choose the learned local/hand allograph from this attested family.
PROC069	kain	K+AIN	ZUGEBEN · PORTION	k-ain	ROOT_ORDER_COPY | ARGUMENT_OR_ADDRESS_TAIL	kain	1	COMPOSITIONAL_SINGLE_ATTESTED_RENDERING	Choose the learned local/hand allograph from this attested family.
PROC070	olkain	OL+K+AIN	FORTSETZEN · ZUGEBEN · PORTION	ol/chol/qol/ls/sol-k-ain	ROOT_ORDER_COPY | OL_FRAME_ALLOGRAPH | ARGUMENT_OR_ADDRESS_TAIL	olkain	1	COMPOSITIONAL_SINGLE_ATTESTED_RENDERING	Choose the learned local/hand allograph from this attested family.
PROC071	rol	R+OL	KUEHL · FORTSETZEN	r-ol/chol/qol/ls/sol	ROOT_ORDER_COPY | OL_FRAME_ALLOGRAPH | R_STATE_ONSET	rol	1	COMPOSITIONAL_SINGLE_ATTESTED_RENDERING	Choose the learned local/hand allograph from this attested family.
PROC072	dl	L	LEITEN	l	ROOT_ORDER_COPY | L_PATH_ONSET	dl	1	COMPOSITIONAL_SINGLE_ATTESTED_RENDERING	Choose the learned local/hand allograph from this attested family.
PROC073	sheckhal	SH+E+CKH+AL	HALTEN · KURZ · DURCHLASS · ZIELSTELLE	sh-e-ckh-al	ROOT_ORDER_COPY | CH_BODY_ALLOGRAPH | E_GRADE_LENGTH | ARGUMENT_OR_ADDRESS_TAIL	sheckhal	1	COMPOSITIONAL_SINGLE_ATTESTED_RENDERING	Choose the learned local/hand allograph from this attested family.
PROC074	qokeedal	OK+EE+AL	ANSETZEN · LANG · ZIELSTELLE	qok/ok/chok-ee-al	ROOT_ORDER_COPY | OPTIONAL_Q_CARRIER | OK_FRAME_ALLOGRAPH | E_GRADE_LENGTH | ARGUMENT_OR_ADDRESS_TAIL	qokeedal	1	COMPOSITIONAL_SINGLE_ATTESTED_RENDERING	Choose the learned local/hand allograph from this attested family.
PROC075	chckhy	CKH+Y	DURCHLASS · POSTEN	ckh-y/chy/chey/dy/shy/sy	ROOT_ORDER_COPY | CH_BODY_ALLOGRAPH | Y_OPEN_ENDPOINT	chckhy	1	COMPOSITIONAL_SINGLE_ATTESTED_RENDERING	Choose the learned local/hand allograph from this attested family.
PROC076	schedy	CHD+DY	UMSETZEN · SCHLIESSEN	chd/ched-dy	ROOT_ORDER_COPY | CH_BODY_ALLOGRAPH | DY_CLOSED_ENDPOINT	schedy | dchdy	2	COMPOSITIONAL_FAMILY__ALLOGRAPH_CHOICE	Choose the learned local/hand allograph from this attested family.
PROC077	sshkchdy	SH+K+CHD+DY	HALTEN · ZUGEBEN · UMSETZEN · SCHLIESSEN	sh-k-chd/ched-dy	ROOT_ORDER_COPY | CH_BODY_ALLOGRAPH | DY_CLOSED_ENDPOINT	sshkchdy	1	COMPOSITIONAL_SINGLE_ATTESTED_RENDERING	Choose the learned local/hand allograph from this attested family.
PROC078	shedy	SHED+DY	RUHEN · SCHLIESSEN	shed-dy	ROOT_ORDER_COPY | DY_CLOSED_ENDPOINT	shedy	1	COMPOSITIONAL_SINGLE_ATTESTED_RENDERING	Choose the learned local/hand allograph from this attested family.
PROC079	qolchedy	OL+CHD+DY	FORTSETZEN · UMSETZEN · SCHLIESSEN	ol/chol/qol/ls/sol-chd/ched-dy	ROOT_ORDER_COPY | OPTIONAL_Q_CARRIER | OL_FRAME_ALLOGRAPH | CH_BODY_ALLOGRAPH | DY_CLOSED_ENDPOINT	qolchedy	1	COMPOSITIONAL_SINGLE_ATTESTED_RENDERING	Choose the learned local/hand allograph from this attested family.
PROC080	qokain	OK+AIN	ANSETZEN · PORTION	qok/ok/chok-ain	ROOT_ORDER_COPY | OPTIONAL_Q_CARRIER | OK_FRAME_ALLOGRAPH | ARGUMENT_OR_ADDRESS_TAIL	qokain	1	COMPOSITIONAL_SINGLE_ATTESTED_RENDERING	Choose the learned local/hand allograph from this attested family.
PROC081	ral	R+AL	KUEHL · ZIELSTELLE	r-al	ROOT_ORDER_COPY | ARGUMENT_OR_ADDRESS_TAIL | R_STATE_ONSET	ral	1	COMPOSITIONAL_SINGLE_ATTESTED_RENDERING	Choose the learned local/hand allograph from this attested family.
PROC082	qokchdy	OK+CHD+DY	ANSETZEN · UMSETZEN · SCHLIESSEN	qok/ok/chok-chd/ched-dy	ROOT_ORDER_COPY | OPTIONAL_Q_CARRIER | OK_FRAME_ALLOGRAPH | CH_BODY_ALLOGRAPH | DY_CLOSED_ENDPOINT	qokchdy | okchedy	2	COMPOSITIONAL_FAMILY__ALLOGRAPH_CHOICE	Choose the learned local/hand allograph from this attested family.
PROC083	cheky	CHK+E+Y	WAERMEN · KURZ · POSTEN	chk/chek-e-y/chy/chey/dy/shy/sy	ROOT_ORDER_COPY | CH_BODY_ALLOGRAPH | E_GRADE_LENGTH | Y_OPEN_ENDPOINT	cheky	1	COMPOSITIONAL_SINGLE_ATTESTED_RENDERING	Choose the learned local/hand allograph from this attested family.
PROC084	lsho	LSH+O	SPUELEN · ARBEITSGANG	lsh-o	ROOT_ORDER_COPY	lsho	1	COMPOSITIONAL_SINGLE_ATTESTED_RENDERING	Choose the learned local/hand allograph from this attested family.
PROC085	okey	OK+E+Y	ANSETZEN · KURZ · POSTEN	qok/ok/chok-e-y/chy/chey/dy/shy/sy	ROOT_ORDER_COPY | OK_FRAME_ALLOGRAPH | E_GRADE_LENGTH | Y_OPEN_ENDPOINT	okey	1	COMPOSITIONAL_SINGLE_ATTESTED_RENDERING	Choose the learned local/hand allograph from this attested family.
PROC086	lshedy	LSH+E+DY	SPUELEN · KURZ · SCHLIESSEN	lsh-e-dy	ROOT_ORDER_COPY | E_GRADE_LENGTH | DY_CLOSED_ENDPOINT	lshedy	1	COMPOSITIONAL_SINGLE_ATTESTED_RENDERING	Choose the learned local/hand allograph from this attested family.
PROC087	qolky	SOLK+Y	SAMMELN · POSTEN	solk/qolk-y/chy/chey/dy/shy/sy	ROOT_ORDER_COPY | OPTIONAL_Q_CARRIER | Y_OPEN_ENDPOINT	qolky	1	COMPOSITIONAL_SINGLE_ATTESTED_RENDERING	Choose the learned local/hand allograph from this attested family.
PROC088	lchedal	L+CHD+AL	LEITEN · UMSETZEN · ZIELSTELLE	l-chd/ched-al	ROOT_ORDER_COPY | CH_BODY_ALLOGRAPH | ARGUMENT_OR_ADDRESS_TAIL | L_PATH_ONSET	lchedal	1	COMPOSITIONAL_SINGLE_ATTESTED_RENDERING	Choose the learned local/hand allograph from this attested family.
PROC089	otar	OT+AR	DANACH · QUELLE	qot/ot-ar	ROOT_ORDER_COPY | OT_FRAME_ALLOGRAPH | ARGUMENT_OR_ADDRESS_TAIL	otar	1	COMPOSITIONAL_SINGLE_ATTESTED_RENDERING	Choose the learned local/hand allograph from this attested family.
PROC090	ytey	T+E+Y	BEARBEITEN · KURZ · POSTEN	t-e-y/chy/chey/dy/shy/sy	ROOT_ORDER_COPY | E_GRADE_LENGTH | Y_OPEN_ENDPOINT	ytey	1	COMPOSITIONAL_SINGLE_ATTESTED_RENDERING	Choose the learned local/hand allograph from this attested family.
PROC091	okchedy	OK+CHD+DY	ANSETZEN · UMSETZEN · SCHLIESSEN	qok/ok/chok-chd/ched-dy	ROOT_ORDER_COPY | OK_FRAME_ALLOGRAPH | CH_BODY_ALLOGRAPH | DY_CLOSED_ENDPOINT	qokchdy | okchedy	2	COMPOSITIONAL_FAMILY__ALLOGRAPH_CHOICE	Choose the learned local/hand allograph from this attested family.
PROC092	qokeey	OK+EE+Y	ANSETZEN · LANG · POSTEN	qok/ok/chok-ee-y/chy/chey/dy/shy/sy	ROOT_ORDER_COPY | OPTIONAL_Q_CARRIER | OK_FRAME_ALLOGRAPH | E_GRADE_LENGTH | Y_OPEN_ENDPOINT	qokeey	1	COMPOSITIONAL_SINGLE_ATTESTED_RENDERING	Choose the learned local/hand allograph from this attested family.
PROC093	teol	E+OL	KURZ · FORTSETZEN	e-ol/chol/qol/ls/sol	ROOT_ORDER_COPY | OL_FRAME_ALLOGRAPH | E_GRADE_LENGTH	teol	1	COMPOSITIONAL_SINGLE_ATTESTED_RENDERING	Choose the learned local/hand allograph from this attested family.
PROC094	dchdy	CHD+DY	UMSETZEN · SCHLIESSEN	chd/ched-dy	ROOT_ORDER_COPY | CH_BODY_ALLOGRAPH | DY_CLOSED_ENDPOINT	schedy | dchdy	2	COMPOSITIONAL_FAMILY__ALLOGRAPH_CHOICE	Choose the learned local/hand allograph from this attested family.
PROC095	ly	L+Y	LEITEN · POSTEN	l-y/chy/chey/dy/shy/sy	ROOT_ORDER_COPY | L_PATH_ONSET | Y_OPEN_ENDPOINT	ly	1	COMPOSITIONAL_SINGLE_ATTESTED_RENDERING	Choose the learned local/hand allograph from this attested family.
PROC096	dsheol	SH+E+OL	HALTEN · KURZ · FORTSETZEN	sh-e-ol/chol/qol/ls/sol	ROOT_ORDER_COPY | OL_FRAME_ALLOGRAPH | E_GRADE_LENGTH	dsheol	1	COMPOSITIONAL_SINGLE_ATTESTED_RENDERING	Choose the learned local/hand allograph from this attested family.
PROC097	oiiin	O+IIN	ARBEITSGANG · STUFE	o-iin	ROOT_ORDER_COPY	oiiin	1	COMPOSITIONAL_SINGLE_ATTESTED_RENDERING	Choose the learned local/hand allograph from this attested family.
PROC098	olkeedy	SOLK+EE+DY	SAMMELN · LANG · SCHLIESSEN	solk/qolk-ee-dy	ROOT_ORDER_COPY | E_GRADE_LENGTH | DY_CLOSED_ENDPOINT	olkeedy	1	COMPOSITIONAL_SINGLE_ATTESTED_RENDERING	Choose the learned local/hand allograph from this attested family.
PROC099	shckhedy	SH+CKH+E+DY	HALTEN · DURCHLASS · KURZ · SCHLIESSEN	sh-ckh-e-dy	ROOT_ORDER_COPY | CH_BODY_ALLOGRAPH | E_GRADE_LENGTH | DY_CLOSED_ENDPOINT	shckhedy	1	COMPOSITIONAL_SINGLE_ATTESTED_RENDERING	Choose the learned local/hand allograph from this attested family.
PROC100	qokeedy	OK+EE+DY	ANSETZEN · LANG · SCHLIESSEN	qok/ok/chok-ee-dy	ROOT_ORDER_COPY | OPTIONAL_Q_CARRIER | OK_FRAME_ALLOGRAPH | E_GRADE_LENGTH | DY_CLOSED_ENDPOINT	qokeedy	1	COMPOSITIONAL_SINGLE_ATTESTED_RENDERING	Choose the learned local/hand allograph from this attested family.
PROC101	lcheckhy	L+CKH+Y	LEITEN · DURCHLASS · POSTEN	l-ckh-y/chy/chey/dy/shy/sy	ROOT_ORDER_COPY | CH_BODY_ALLOGRAPH | L_PATH_ONSET | Y_OPEN_ENDPOINT	lcheckhy	1	COMPOSITIONAL_SINGLE_ATTESTED_RENDERING	Choose the learned local/hand allograph from this attested family.
PROC102	lched	L+CHD	LEITEN · UMSETZEN	l-chd/ched	ROOT_ORDER_COPY | CH_BODY_ALLOGRAPH | L_PATH_ONSET	lched	1	COMPOSITIONAL_SINGLE_ATTESTED_RENDERING	Choose the learned local/hand allograph from this attested family.
PROC103	lcheckhedy	L+CKH+E+DY	LEITEN · DURCHLASS · KURZ · SCHLIESSEN	l-ckh-e-dy	ROOT_ORDER_COPY | CH_BODY_ALLOGRAPH | E_GRADE_LENGTH | L_PATH_ONSET | DY_CLOSED_ENDPOINT	lcheckhedy	1	COMPOSITIONAL_SINGLE_ATTESTED_RENDERING	Choose the learned local/hand allograph from this attested family.
PROC104	qokaly	OK+AL+Y	ANSETZEN · ZIELSTELLE · POSTEN	qok/ok/chok-al-y/chy/chey/dy/shy/sy	ROOT_ORDER_COPY | OPTIONAL_Q_CARRIER | OK_FRAME_ALLOGRAPH | Y_OPEN_ENDPOINT	qokaly	1	COMPOSITIONAL_SINGLE_ATTESTED_RENDERING	Choose the learned local/hand allograph from this attested family.
PROC105	solkaiin	SOLK+AIIN	SAMMELN · MASS	solk/qolk-aiin	ROOT_ORDER_COPY | ARGUMENT_OR_ADDRESS_TAIL	solkaiin	1	COMPOSITIONAL_SINGLE_ATTESTED_RENDERING	Choose the learned local/hand allograph from this attested family.
PROC106	octheol	O+CTH+E+OL	ARBEITSGANG · BEREIT · KURZ · FORTSETZEN	o-cth-e-ol/chol/qol/ls/sol	ROOT_ORDER_COPY | OL_FRAME_ALLOGRAPH | E_GRADE_LENGTH	octheol	1	COMPOSITIONAL_SINGLE_ATTESTED_RENDERING	Choose the learned local/hand allograph from this attested family.
PROC107	chkeey	CHK+EE+Y	WAERMEN · LANG · POSTEN	chk/chek-ee-y/chy/chey/dy/shy/sy	ROOT_ORDER_COPY | CH_BODY_ALLOGRAPH | E_GRADE_LENGTH | Y_OPEN_ENDPOINT	cheeky | chkeey	2	COMPOSITIONAL_FAMILY__ALLOGRAPH_CHOICE	Choose the learned local/hand allograph from this attested family.
PROC108	ldy	L+DY	LEITEN · SCHLIESSEN	l-dy	ROOT_ORDER_COPY | L_PATH_ONSET | DY_CLOSED_ENDPOINT	ldy	1	COMPOSITIONAL_SINGLE_ATTESTED_RENDERING	Choose the learned local/hand allograph from this attested family.
PROC109	oteey	OT+EE+Y	DANACH · LANG · POSTEN	qot/ot-ee-y/chy/chey/dy/shy/sy	MEMORIZED_WHOLE_FORM | OT_FRAME_ALLOGRAPH | E_GRADE_LENGTH | Y_OPEN_ENDPOINT	oteey	1	MEMORIZED_EXACT_FORM	Choose the learned local/hand allograph from this attested family.
PROC110	sheckhy	SH+E+CKH+Y	HALTEN · KURZ · DURCHLASS · POSTEN	sh-e-ckh-y/chy/chey/dy/shy/sy	ROOT_ORDER_COPY | CH_BODY_ALLOGRAPH | E_GRADE_LENGTH | Y_OPEN_ENDPOINT	sheckhy	1	COMPOSITIONAL_SINGLE_ATTESTED_RENDERING	Choose the learned local/hand allograph from this attested family.
PROC111	dshedy	SH+E+DY	HALTEN · KURZ · SCHLIESSEN	sh-e-dy	ROOT_ORDER_COPY | E_GRADE_LENGTH | DY_CLOSED_ENDPOINT	dshedy	1	COMPOSITIONAL_SINGLE_ATTESTED_RENDERING	Choose the learned local/hand allograph from this attested family.
PROC112	otaiin	OT+AIIN	DANACH · MASS	qot/ot-aiin	ROOT_ORDER_COPY | OT_FRAME_ALLOGRAPH | ARGUMENT_OR_ADDRESS_TAIL	otaiin	1	COMPOSITIONAL_SINGLE_ATTESTED_RENDERING	Choose the learned local/hand allograph from this attested family.
PROC113	qokar	OK+AR	ANSETZEN · QUELLE	qok/ok/chok-ar	ROOT_ORDER_COPY | OPTIONAL_Q_CARRIER | OK_FRAME_ALLOGRAPH | ARGUMENT_OR_ADDRESS_TAIL	qokar	1	COMPOSITIONAL_SINGLE_ATTESTED_RENDERING	Choose the learned local/hand allograph from this attested family.
PROC114	solshedy	OL+SH+E+DY	FORTSETZEN · HALTEN · KURZ · SCHLIESSEN	ol/chol/qol/ls/sol-sh-e-dy	ROOT_ORDER_COPY | OL_FRAME_ALLOGRAPH | E_GRADE_LENGTH | DY_CLOSED_ENDPOINT	solshedy	1	COMPOSITIONAL_SINGLE_ATTESTED_RENDERING	Choose the learned local/hand allograph from this attested family.
PROC115	ls	OL	FORTSETZEN	ol/chol/qol/ls/sol	ROOT_ORDER_COPY | OL_FRAME_ALLOGRAPH	chol | ol | ls	3	COMPOSITIONAL_FAMILY__ALLOGRAPH_CHOICE	Choose the learned local/hand allograph from this attested family.
PROC116	lchy	L+CH+Y	LEITEN · ENTNEHMEN · POSTEN	l-ch-y/chy/chey/dy/shy/sy	ROOT_ORDER_COPY | CH_BODY_ALLOGRAPH | L_PATH_ONSET | Y_OPEN_ENDPOINT	lchy	1	COMPOSITIONAL_SINGLE_ATTESTED_RENDERING	Choose the learned local/hand allograph from this attested family.
PROC117	qcthey	CTH+E+Y	BEREIT · KURZ · POSTEN	cth-e-y/chy/chey/dy/shy/sy	ROOT_ORDER_COPY | OPTIONAL_Q_CARRIER | E_GRADE_LENGTH | Y_OPEN_ENDPOINT	qcthey	1	COMPOSITIONAL_SINGLE_ATTESTED_RENDERING	Choose the learned local/hand allograph from this attested family.
PROC118	lcheey	L+EE+Y	LEITEN · LANG · POSTEN	l-ee-y/chy/chey/dy/shy/sy	ROOT_ORDER_COPY | E_GRADE_LENGTH | L_PATH_ONSET | Y_OPEN_ENDPOINT	lcheey	1	COMPOSITIONAL_SINGLE_ATTESTED_RENDERING	Choose the learned local/hand allograph from this attested family.
PROC119	qokeeedy	OK+EEE+DY	ANSETZEN · VOLLSTAENDIG · SCHLIESSEN	qok/ok/chok-eee-dy	ROOT_ORDER_COPY | OPTIONAL_Q_CARRIER | OK_FRAME_ALLOGRAPH | E_GRADE_LENGTH | DY_CLOSED_ENDPOINT	qokeeedy	1	COMPOSITIONAL_SINGLE_ATTESTED_RENDERING	Choose the learned local/hand allograph from this attested family.
PROC120	lchedy	L+CHD+DY	LEITEN · UMSETZEN · SCHLIESSEN	l-chd/ched-dy	ROOT_ORDER_COPY | CH_BODY_ALLOGRAPH | L_PATH_ONSET | DY_CLOSED_ENDPOINT	lchedy	1	COMPOSITIONAL_SINGLE_ATTESTED_RENDERING	Choose the learned local/hand allograph from this attested family.
