visible_surface	master_card_id	canonical_form	source_short_value_de	imperative_clause_de	terminal_scope	exact_identity_recipe	reverse_rule_de
schedy	MC025	dchedy	überführen	Führe den Posten über	TERMINAL	CHED_TRANSFER[LICENSED_CLOSE=YES]	Oberfläche eindeutig zur registrierten Karte; dann Kurzhandlung und Scope lesen.
shckhedy	MC143	shckhedy	durchlassen	Lass ihn hindurch	TERMINAL	CKHE[LICENSED_CLOSE=YES]	Oberfläche eindeutig zur registrierten Karte; dann Kurzhandlung und Scope lesen.
shckhy	MC035	chckhy	durchleiten	Leite den Posten hindurch	NONCLOSE	Y+CKH	Oberfläche eindeutig zur registrierten Karte; dann Kurzhandlung und Scope lesen.
shcthey	MC073	qcthey	kurz vorbereiten	Bereite ihn kurz vor	NONCLOSE	E_GRADE+Y+CTH[GRADE=E_SHORT][SUBTYPE=LOCAL_CTH_ALLOGRAPH][OWNER=VISIBLE_BOUNDED_STATION]	Oberfläche eindeutig zur registrierten Karte; dann Kurzhandlung und Scope lesen.
shcthy	MC161	checthy	bereit	Halte ihn bereit	NONCLOSE	Y+CTH	Oberfläche eindeutig zur registrierten Karte; dann Kurzhandlung und Scope lesen.
sheckhal	MC058	sheckhal	Kurze Zielpassage	Führe ihn kurz durch die Zielpassage	NONCLOSE	AL+E_GRADE+CKH[GRADE=E_SHORT]	Oberfläche eindeutig zur registrierten Karte; dann Kurzhandlung und Scope lesen.
sheckhy	MC132	sheckhy	Kurzpassage	Führe ihn kurz hindurch	NONCLOSE	E_GRADE+Y+CKH[GRADE=E_SHORT]	Oberfläche eindeutig zur registrierten Karte; dann Kurzhandlung und Scope lesen.
shecthedchy	MC043	shecthedchy	Vorbereitungstransfer	Führe die vorbereitete Portion über	NONCLOSE	Y+CHED_TRANSFER+CTH	Oberfläche eindeutig zur registrierten Karte; dann Kurzhandlung und Scope lesen.
shecthy	MC137	shecthy	Kurzvorbereitung	Bereite ihn kurz vor	NONCLOSE	E_GRADE+Y+CTH[GRADE=E_SHORT][SUBTYPE=LOCAL_CTH_ALLOGRAPH][OWNER=UNPICTURED_TRANSITION_ZONE]	Oberfläche eindeutig zur registrierten Karte; dann Kurzhandlung und Scope lesen.
shedal	MC113	shedal	am Ziel absetzen	Lass ihn am Ziel absetzen	NONCLOSE	AL+SHED	Oberfläche eindeutig zur registrierten Karte; dann Kurzhandlung und Scope lesen.
shedy	MC128	cheedy	kurz absetzen	Lass ihn kurz absetzen	TERMINAL	E_GRADE+DY+SHED[GRADE=E_SHORT]	Oberfläche eindeutig zur registrierten Karte; dann Kurzhandlung und Scope lesen.
sheedy	MC003	sheedy	Langabsetzen	Lass ihn lange absetzen	TERMINAL	E_GRADE+DY+SHED[GRADE=EE_LONG]	Oberfläche eindeutig zur registrierten Karte; dann Kurzhandlung und Scope lesen.
sheey	MC095	sheey	Langhalt	Halte ihn lange	NONCLOSE	E_GRADE+Y	Oberfläche eindeutig zur registrierten Karte; dann Kurzhandlung und Scope lesen.
shey	MC119	cheey	Klarlauf	Nimm den klaren Ablauf	NONCLOSE	W_MC119	Oberfläche eindeutig zur registrierten Karte; dann Kurzhandlung und Scope lesen.
shor	MC080	chor	Ansatz	Verwende den Ansatz	NONCLOSE	OR	Oberfläche eindeutig zur registrierten Karte; dann Kurzhandlung und Scope lesen.
shy	MC123	chey	dies	Halte diesen Posten aktiv	NONCLOSE	Y	Oberfläche eindeutig zur registrierten Karte; dann Kurzhandlung und Scope lesen.
skar	MC089	skar	Quellausguss	Gieße ihn von der Quellseite zu	NONCLOSE	AR[SUBTYPE=SOURCE_OUTFLOW]	Oberfläche eindeutig zur registrierten Karte; dann Kurzhandlung und Scope lesen.
soiiin	MC033	oiiin	Arbeitsstufe	Stelle die Arbeitsstufe ein	NONCLOSE	IIN[SUBTYPE=WORKING_STAGE]	Oberfläche eindeutig zur registrierten Karte; dann Kurzhandlung und Scope lesen.
sol	MC153	cheol	weiter	Arbeite weiter	NONCLOSE	OL[SUBTYPE=PLAIN_CONTINUATION]	Oberfläche eindeutig zur registrierten Karte; dann Kurzhandlung und Scope lesen.
solkaiin	MC036	solkaiin	Sollsammlung	Sammle ihn bis zur Sollmenge	NONCLOSE	AIIN+SOLK	Oberfläche eindeutig zur registrierten Karte; dann Kurzhandlung und Scope lesen.
solkeedy	MC045	olkeedy	lange sammeln	Sammle ihn lange	TERMINAL	E_GRADE+SOLK[LICENSED_CLOSE=YES]	Oberfläche eindeutig zur registrierten Karte; dann Kurzhandlung und Scope lesen.
solkeey	MC020	solkeey	Langsammlung	Sammle ihn lange	NONCLOSE	E_GRADE+Y+SOLK	Oberfläche eindeutig zur registrierten Karte; dann Kurzhandlung und Scope lesen.
solkey	MC050	solkey	Kurzsammlung	Sammle ihn kurz	NONCLOSE	E_GRADE+Y+SOLK[GRADE=E_SHORT]	Oberfläche eindeutig zur registrierten Karte; dann Kurzhandlung und Scope lesen.
solshedy	MC149	solshedy	Folgeabsetzen	Lass danach den nächsten Posten absetzen	TERMINAL	OL+DY+SHED	Oberfläche eindeutig zur registrierten Karte; dann Kurzhandlung und Scope lesen.
sor	MC080	chor	Ansatz	Verwende den Ansatz	NONCLOSE	OR	Oberfläche eindeutig zur registrierten Karte; dann Kurzhandlung und Scope lesen.
sotaiin	MC060	otaiin	Folgemaß	Arbeite danach nach dem nächsten Maß	NONCLOSE	OT+AIIN	Oberfläche eindeutig zur registrierten Karte; dann Kurzhandlung und Scope lesen.
sshkchdy	MC061	sshkchdy	übertragen	Übertrage ihn	TERMINAL	W_MC061	Oberfläche eindeutig zur registrierten Karte; dann Kurzhandlung und Scope lesen.
sy	MC123	chey	dies	Halte diesen Posten aktiv	NONCLOSE	Y	Oberfläche eindeutig zur registrierten Karte; dann Kurzhandlung und Scope lesen.
taiin	MC039	aiin	Sollmaß	Arbeite nach dem vorgeschriebenen Maß	NONCLOSE	AIIN[SUBTYPE=GENERAL_MEASURE]	Oberfläche eindeutig zur registrierten Karte; dann Kurzhandlung und Scope lesen.
tal	MC154	al	dorthin	Führe ihn dorthin	NONCLOSE	AL[SUBTYPE=TARGET_ADDRESS]	Oberfläche eindeutig zur registrierten Karte; dann Kurzhandlung und Scope lesen.
tchedy	MC025	dchedy	überführen	Führe den Posten über	TERMINAL	CHED_TRANSFER[LICENSED_CLOSE=YES]	Oberfläche eindeutig zur registrierten Karte; dann Kurzhandlung und Scope lesen.
tedy	MC128	cheedy	kurz absetzen	Lass ihn kurz absetzen	TERMINAL	E_GRADE+DY+SHED[GRADE=E_SHORT]	Oberfläche eindeutig zur registrierten Karte; dann Kurzhandlung und Scope lesen.
teol	MC106	teol	kurz weiterführen	Führe ihn kurz weiter	NONCLOSE	OL+E_GRADE[GRADE=E_SHORT][SUBTYPE=SHORT_CONTINUATION]	Oberfläche eindeutig zur registrierten Karte; dann Kurzhandlung und Scope lesen.
tol	MC153	cheol	weiter	Arbeite weiter	NONCLOSE	OL[SUBTYPE=PLAIN_CONTINUATION]	Oberfläche eindeutig zur registrierten Karte; dann Kurzhandlung und Scope lesen.
tshey	MC141	tshey	Folgeklarlauf	Nimm danach den klaren Ablauf	NONCLOSE	W_MC141	Oberfläche eindeutig zur registrierten Karte; dann Kurzhandlung und Scope lesen.
y	MC123	chey	dies	Halte diesen Posten aktiv	NONCLOSE	Y	Oberfläche eindeutig zur registrierten Karte; dann Kurzhandlung und Scope lesen.
ytey	MC109	ytey	Kurzteil	Nimm einen kleinen Teil	NONCLOSE	W_MC109	Oberfläche eindeutig zur registrierten Karte; dann Kurzhandlung und Scope lesen.
