statement_order	statement_id	record_unit_id	page	visible_surface_sequence	shared_master_forms	revised_shared_kernel_de	old_current_reading_de	revised_continuous_reading_de	revision_actions	revision_status
68	B3-S006	B3	f83r	chedchy qokal olchedy	okal	dorthin einsetzen	Für die Charge des runden Randgefäßes: Setze dorthin um, führe weiter und schließe.	Für die Charge des runden Randgefäßes: Übertrage dorthin, führe weiter und schließe.	Setze dorthin um->Übertrage dorthin	FLUENT_TEXT_REVISED
69	B3-S007	B3	f83r	qokaiin chedy qokeedy	okaiin chdy	auf Sollmaß stellen diesen Posten übertragen	Für die Charge des runden Randgefäßes: Stelle das Sollmaß ein, setze um, setze länger an und schließe.	Für die Charge des runden Randgefäßes: Stelle auf Sollmaß, übertrage, setze länger an und schließe.	Stelle das Sollmaß ein->Stelle auf Sollmaß | setze um->übertrage	FLUENT_TEXT_REVISED
70	B3-S008	B3	f83r	lchedy	NONE	NONE	Für die Charge des runden Randgefäßes: Führe ab und schließe.	Für die Charge des runden Randgefäßes: Führe ab und schließe.	NONE	NO_SHARED_CARD__UNCHANGED
71	B3-S009	B3	f83r	qoky	choky	diesen Posten einsetzen	Für die Charge des runden Randgefäßes: Setze den Posten an.	Für die Charge des runden Randgefäßes: Setze diesen Posten ein.	Setze den Posten an->Setze diesen Posten ein	FLUENT_TEXT_REVISED
72	B3-S010	B3	f83r	pchedal otedy	NONE	NONE	Für die Charge des unteren Korb-/Randgefäßes: Führe den angesetzten Posten am Einlass zu, nimm die kurze Folge und schließe.	Für die Charge des unteren Korb-/Randgefäßes: Führe den angesetzten Posten am Einlass zu, nimm die kurze Folge und schließe.	NONE	NO_SHARED_CARD__UNCHANGED
73	B3-S011	B3	f83r	shecthedchy qoky chedy chary	choky chdy	diesen Posten einsetzen diesen Posten übertragen	Für die Charge des unteren Korb-/Randgefäßes: Setze den bereiten Posten um, setze ihn an, setze erneut um und nimm daraus den folgenden Posten.	Für die Charge des unteren Korb-/Randgefäßes: Übertrage den bereiten Posten, setze ihn ein, setze erneut um und nimm daraus den folgenden Posten.	setze ihn an->setze ihn ein | Setze den bereiten Posten um->Übertrage den bereiten Posten	FLUENT_TEXT_REVISED
74	B3-S012	B3	f83r	sor shedy	chor	Arbeitsansatz	Für die Charge des unteren Korb-/Randgefäßes: Lass den aufgestrichenen und abgekühlten Ansatz absetzen und schließe.	Für die Charge des unteren Korb-/Randgefäßes: Lass den aufgestrichenen und abgekühlten Ansatz absetzen und schließe.	NONE	FLUENT_TEXT_ALREADY_COMPATIBLE
75	B3-S013	B3	f83r	qokaiin chkain shcthey qokedy	okaiin	auf Sollmaß stellen	Für die Charge des unteren Korb-/Randgefäßes: Stelle das Sollmaß ein, nimm eine Portion, halte kurz bereit, setze kurz an und schließe.	Für die Charge des unteren Korb-/Randgefäßes: Stelle auf Sollmaß, nimm eine Portion, halte kurz bereit, setze kurz an und schließe.	Stelle das Sollmaß ein->Stelle auf Sollmaß	FLUENT_TEXT_REVISED
76	B3-S014	B3	f83r	okair sheedy	NONE	NONE	Für die Charge des unteren Korb-/Randgefäßes: Lass Wasser ein, lass länger absetzen und schließe.	Für die Charge des unteren Korb-/Randgefäßes: Lass Wasser ein, lass länger absetzen und schließe.	NONE	NO_SHARED_CARD__UNCHANGED
77	B3-S015	B3	f83r	lchedy	NONE	NONE	Für die Charge des unteren Korb-/Randgefäßes: Führe ab und schließe.	Für die Charge des unteren Korb-/Randgefäßes: Führe ab und schließe.	NONE	NO_SHARED_CARD__UNCHANGED
78	B3-S016	B3	f83r	lo qokchedy	NONE	NONE	Führe die Charge des unteren Korbgefäßes ab. Beginne jenseits der Bildlücke einen eigenen Übergangsansatz, setze ihn um und schließe; die Lücke ist keine Leitung.	Führe die Charge des unteren Korbgefäßes ab. Beginne jenseits der Bildlücke einen eigenen Übergangsansatz, setze ihn um und schließe; die Lücke ist keine Leitung.	NONE	NO_SHARED_CARD__UNCHANGED
79	B3-S017	B3	f83r	qokeedy	NONE	NONE	Den örtlichen Übergangsansatz länger ansetzen und schließen.	Den örtlichen Übergangsansatz länger ansetzen und schließen.	NONE	NO_SHARED_CARD__UNCHANGED
80	B3-S018	B3	f83r	shedy	NONE	NONE	Den örtlichen Übergangsansatz kurz absetzen lassen und schließen.	Den örtlichen Übergangsansatz kurz absetzen lassen und schließen.	NONE	NO_SHARED_CARD__UNCHANGED
81	B3-S019	B3	f83r	qokshedy	NONE	NONE	Den örtlichen Übergangsansatz ansetzen, absetzen lassen und schließen.	Den örtlichen Übergangsansatz ansetzen, absetzen lassen und schließen.	NONE	NO_SHARED_CARD__UNCHANGED
82	B3-S020	B3	f83r	dal lchedy	al	dorthin	Den örtlichen Übergangsansatz zur im Exemplar bezeichneten Stelle führen, dort abführen und schließen.	Den örtlichen Übergangsansatz zur im Exemplar bezeichneten Stelle führen, dort abführen und schließen.	NONE	FLUENT_TEXT_ALREADY_COMPATIBLE
83	B3-S021	B3	f83r	qokaiin shcthy dal sy saiin shedal shecthy chey tal shcthy dalchdy	okaiin checthy al chey aiin chey al checthy	auf Sollmaß stellen diesen Posten bereitstellen dorthin dieser Posten Sollmaß dieser Posten dorthin diesen Posten bereitstellen	Am örtlichen Übergangsansatz das Sollmaß einstellen, ihn am bezeichneten Platz bereithalten, dort absetzen lassen, kurz prüfen, erneut bereitstellen, umsetzen und schließen.	Am örtlichen Übergangsansatz das Sollmaß einstellen, ihn am bezeichneten Platz bereithalten, dort absetzen lassen, kurz prüfen, erneut bereitstellen, umsetzen und schließen.	NONE	FLUENT_TEXT_ALREADY_COMPATIBLE
84	B3-S022	B3	f83r	qotchedy	NONE	NONE	Danach den nächsten Übergangsansatz umsetzen und schließen.	Danach den nächsten Übergangsansatz umsetzen und schließen.	NONE	NO_SHARED_CARD__UNCHANGED
85	B3-S023	B3	f83r	lchedy	NONE	NONE	Den Übergangsansatz abführen und schließen.	Den Übergangsansatz abführen und schließen.	NONE	NO_SHARED_CARD__UNCHANGED
86	B3-S024	B3	f83r	tchedy	NONE	NONE	Den Übergangsansatz umsetzen und schließen.	Den Übergangsansatz umsetzen und schließen.	NONE	NO_SHARED_CARD__UNCHANGED
87	B3-S025	B3	f83r	qokchdy	NONE	NONE	Den nächsten Übergangsansatz ansetzen, umsetzen und schließen.	Den nächsten Übergangsansatz ansetzen, umsetzen und schließen.	NONE	NO_SHARED_CARD__UNCHANGED
88	B3-S026	B3	f83r	cheedar chldaiin chedy qokain checthy chealror solkeedy	chdy checthy	diesen Posten übertragen diesen Posten bereitstellen	Den vorbereiteter Badansatz von seinem gesetzten Ort umsetzen, bis zum Sollmaß absetzen lassen, erneut umsetzen, eine Portion zugeben und bereit halten. Dann ohne behauptete Leitung zum sichtbar gekoppelten behandelte Hauptpaar wechseln, den eingehenden Ansatz dort länger sammeln und schließen.	Den vorbereiteter Badansatz von seinem gesetzten Ort umsetzen, bis zum Sollmaß absetzen lassen, erneut umsetzen, eine Portion zugeben und bereit halten. Dann ohne behauptete Leitung zum sichtbar gekoppelten behandelte Hauptpaar wechseln, den eingehenden Ansatz dort länger sammeln und schließen.	NONE	FLUENT_TEXT_ALREADY_COMPATIBLE
89	B3-S027	B3	f83r	qoteedy	NONE	NONE	Für den Ansatz des sichtbar gekoppelten behandelten behandelte Hauptpaars: Nimm die lange Folge und schließe.	Für den Ansatz des sichtbar gekoppelten behandelten behandelte Hauptpaars: Nimm die lange Folge und schließe.	NONE	NO_SHARED_CARD__UNCHANGED
90	B3-S028	B3	f83r	qokeey qokedy	NONE	NONE	Für den Ansatz des sichtbar gekoppelten behandelten behandelte Hauptpaars: Setze länger, dann kurz an und schließe.	Für den Ansatz des sichtbar gekoppelten behandelten behandelte Hauptpaars: Setze länger, dann kurz an und schließe.	NONE	NO_SHARED_CARD__UNCHANGED
91	B3-S029	B3	f83r	sol cheeety qokedy	cheol	weiter	Für den Ansatz des sichtbar gekoppelten behandelten behandelte Hauptpaars: Führe weiter, nimm den ganzen Teilposten, setze kurz an und schließe.	Für den Ansatz des sichtbar gekoppelten behandelten behandelte Hauptpaars: Führe weiter, nimm den ganzen Teilposten, setze kurz an und schließe.	NONE	FLUENT_TEXT_ALREADY_COMPATIBLE
92	B3-S030	B3	f83r	qoky saiin schedair otchedy	choky aiin	diesen Posten einsetzen Sollmaß	Für den Ansatz des sichtbar gekoppelten behandelten behandelte Hauptpaars: Setze den Posten nach Sollmaß an, leite Wasser weiter, führe die Folgeumsetzung aus und schließe.	Für den Ansatz des sichtbar gekoppelten behandelten behandelte Hauptpaars: Setze den Posten nach Sollmaß an, leite Wasser weiter, führe die Folgeumsetzung aus und schließe.	NONE	FLUENT_TEXT_ALREADY_COMPATIBLE
93	B3-S031	B3	f83r	qokeedy	NONE	NONE	Für den Ansatz des sichtbar gekoppelten behandelten behandelte Hauptpaars: Setze länger an und schließe.	Für den Ansatz des sichtbar gekoppelten behandelten behandelte Hauptpaars: Setze länger an und schließe.	NONE	NO_SHARED_CARD__UNCHANGED
94	B3-S032	B3	f83r	chedain chedy qotedaiin otaiin otedy	chdy	diesen Posten übertragen	Für den Ansatz des sichtbar gekoppelten behandelten behandelte Hauptpaars: Setze eine Portion um, stelle ein kurzes Folgemaß und danach das Folgemaß ein, führe die kurze Folge aus und schließe.	Für den Ansatz des sichtbar gekoppelten behandelten behandelte Hauptpaars: Übertrage eine Portion, stelle ein kurzes Folgemaß und danach das Folgemaß ein, führe die kurze Folge aus und schließe.	Setze eine Portion um->Übertrage eine Portion	FLUENT_TEXT_REVISED
95	B3-S033	B3	f83r	ldy	NONE	NONE	Für den Ansatz des sichtbar gekoppelten behandelten behandelte Hauptpaars: Ziehe ab und schließe.	Für den Ansatz des sichtbar gekoppelten behandelten behandelte Hauptpaars: Ziehe ab und schließe.	NONE	NO_SHARED_CARD__UNCHANGED
96	B3-S034	B3	f83r	soiiin checthy chety otaiin olsaly shedy	checthy chety	diesen Posten bereitstellen einen Teil abtrennen	Für den Ansatz des sichtbar gekoppelten behandelten behandelte Hauptpaars: Bringe auf Sollstufe, halte bereit, trenne einen Teil ab, stelle das Folgemaß ein, führe zur unteren Zielstelle, lass absetzen und schließe.	Für den Ansatz des sichtbar gekoppelten behandelten behandelte Hauptpaars: Bringe auf Sollstufe, halte bereit, trenne einen Teil ab, stelle das Folgemaß ein, führe zur unteren Zielstelle, lass absetzen und schließe.	NONE	FLUENT_TEXT_ALREADY_COMPATIBLE
97	B4-S001	B4	f83r	qokeedy	NONE	NONE	Am Hauptpaar mit Tuchanwendung und getrennten Dienstläufen: Setze länger an und schließe	Am Hauptpaar mit Tuchanwendung und getrennten Dienstläufen: Setze länger an und schließe	NONE	NO_SHARED_CARD__UNCHANGED
98	B4-S002	B4	f83r	qolchey qokeey qokedy	NONE	NONE	Am Hauptpaar mit Tuchanwendung und getrennten Dienstläufen: Führe diesen Posten weiter, setze ihn länger und dann kurz an und schließe.	Am Hauptpaar mit Tuchanwendung und getrennten Dienstläufen: Führe diesen Posten weiter, setze ihn länger und dann kurz an und schließe.	NONE	NO_SHARED_CARD__UNCHANGED
99	B4-S003	B4	f83r	chedy otal otchey qokeey qoky tol shedy	chdy otchey choky cheol	diesen Posten übertragen der nächste Posten diesen Posten einsetzen weiter	Am Hauptpaar mit Tuchanwendung und getrennten Dienstläufen: Setze um, führe danach dorthin, wähle den Folgeposten, setze länger an, führe weiter, lass absetzen und schließe	Am Hauptpaar mit Tuchanwendung und getrennten Dienstläufen: Übertrage, führe danach dorthin, wähle den Folgeposten, setze länger an, führe weiter, lass absetzen und schließe	Setze um->Übertrage	FLUENT_TEXT_REVISED
100	B4-S004	B4	f83r	qokylddy	NONE	NONE	Am Hauptpaar mit Tuchanwendung und getrennten Dienstläufen: Befestige den Posten und schließe	Am Hauptpaar mit Tuchanwendung und getrennten Dienstläufen: Befestige den Posten und schließe	NONE	NO_SHARED_CARD__UNCHANGED
101	B4-S005	B4	f83r	dain chedy qokeedy	chdy	diesen Posten übertragen	Am Hauptpaar mit Tuchanwendung und getrennten Dienstläufen: Lege das Tuch ein, setze um, setze länger an und schließe	Am Hauptpaar mit Tuchanwendung und getrennten Dienstläufen: Lege das Tuch ein, übertrage, setze länger an und schließe	setze um->übertrage	FLUENT_TEXT_REVISED
102	B4-S006	B4	f83r	shckhedy	NONE	NONE	Am Hauptpaar mit Tuchanwendung und getrennten Dienstläufen: Seih und schließe	Am Hauptpaar mit Tuchanwendung und getrennten Dienstläufen: Seih und schließe	NONE	NO_SHARED_CARD__UNCHANGED
103	B4-S007	B4	f83r	shckhedy	NONE	NONE	Am Hauptpaar mit Tuchanwendung und getrennten Dienstläufen: Seih und schließe	Am Hauptpaar mit Tuchanwendung und getrennten Dienstläufen: Seih und schließe	NONE	NO_SHARED_CARD__UNCHANGED
104	B4-S008	B4	f83r	saiin cheeky sheey qokedy	aiin cheeky	Sollmaß länger bearbeiten	Am Hauptpaar mit Tuchanwendung und getrennten Dienstläufen: Stelle das Sollmaß ein, wärme länger, lass länger ruhen, setze kurz an und schließe.	Am Hauptpaar mit Tuchanwendung und getrennten Dienstläufen: Stelle das Sollmaß ein, bearbeite länger, lass länger ruhen, setze kurz an und schließe.	wärme länger->bearbeite länger	FLUENT_TEXT_REVISED
105	B4-S009	B4	f83r	shedy	NONE	NONE	Am Hauptpaar mit Tuchanwendung und getrennten Dienstläufen: Lass absetzen und schließe	Am Hauptpaar mit Tuchanwendung und getrennten Dienstläufen: Lass absetzen und schließe	NONE	NO_SHARED_CARD__UNCHANGED
106	B4-S010	B4	f83r	oldy	oldy	fortsetzen; abschließen	Am Hauptpaar mit Tuchanwendung und getrennten Dienstläufen: Führe weiter und schließe	Am Hauptpaar mit Tuchanwendung und getrennten Dienstläufen: Führe weiter und schließe	NONE	FLUENT_TEXT_ALREADY_COMPATIBLE
107	B4-S011	B4	f83r	saiin cheky okeeol okain chdy sol lkedy	aiin chdy cheol	Sollmaß diesen Posten übertragen weiter	Am Hauptpaar mit Tuchanwendung und getrennten Dienstläufen: Stelle das Sollmaß ein, wärme kurz, führe länger fort, gib eine Portion zu, setze um, führe weiter, wasche nach und schließe	Am Hauptpaar mit Tuchanwendung und getrennten Dienstläufen: Stelle das Sollmaß ein, wärme kurz, führe länger fort, gib eine Portion zu, übertrage, führe weiter, wasche nach und schließe	setze um->übertrage	FLUENT_TEXT_REVISED
108	B4-S012	B4	f83r	lchedy	NONE	NONE	Am Hauptpaar mit Tuchanwendung und getrennten Dienstläufen: Führe ab und schließe	Am Hauptpaar mit Tuchanwendung und getrennten Dienstläufen: Führe ab und schließe	NONE	NO_SHARED_CARD__UNCHANGED
109	B4-S013	B4	f83r	qokol shedy	NONE	NONE	Am Hauptpaar mit Tuchanwendung und getrennten Dienstläufen: Setze die Fortsetzung ein, lass absetzen und schließe	Am Hauptpaar mit Tuchanwendung und getrennten Dienstläufen: Setze die Fortsetzung ein, lass absetzen und schließe	NONE	NO_SHARED_CARD__UNCHANGED
110	B4-S014	B4	f83r	or chey qockhey dairydy	chor chey	Arbeitsansatz dieser Posten	Am Hauptpaar mit Tuchanwendung und getrennten Dienstläufen: Setze den Ansatz in einen kurzen Durchlauf, schließe den Wasserlauf und beende den Schritt.	Am Hauptpaar mit Tuchanwendung und getrennten Dienstläufen: Setze den Ansatz in einen kurzen Durchlauf, schließe den Wasserlauf und beende den Schritt.	NONE	FLUENT_TEXT_ALREADY_COMPATIBLE
111	B4-S015	B4	f83r	qokain shey kain chckhal solkey lchedy	cheey	Klarlauf	Am Hauptpaar mit Tuchanwendung und getrennten Dienstläufen: Gib eine Portion zu, nimm den Klarlauf, leite die Portion zur Zielstelle, sammle kurz, führe ab und schließe.	Am Hauptpaar mit Tuchanwendung und getrennten Dienstläufen: Gib eine Portion zu, nimm den Klarlauf, leite die Portion zur Zielstelle, sammle kurz, führe ab und schließe.	NONE	FLUENT_TEXT_ALREADY_COMPATIBLE
112	B4-S016	B4	f83r	qolkain dal skar shedy	al	dorthin	Am Hauptpaar mit Tuchanwendung und getrennten Dienstläufen: Gib eine weitere Portion dorthin, giesse sie von dort aus, lass absetzen und schließe.	Am Hauptpaar mit Tuchanwendung und getrennten Dienstläufen: Gib eine weitere Portion dorthin, giesse sie von dort aus, lass absetzen und schließe.	NONE	FLUENT_TEXT_ALREADY_COMPATIBLE
113	B5-S001	B5	f83r	otchdy	NONE	NONE	An der linken figurenlosen Dienststation: Führe die Folgeumsetzung aus und schließe	An der linken figurenlosen Dienststation: Führe die Folgeumsetzung aus und schließe	NONE	NO_SHARED_CARD__UNCHANGED
114	B5-S002	B5	f83r	qokchdy	NONE	NONE	An der linken figurenlosen Dienststation: Setze um und schließe	An der linken figurenlosen Dienststation: Setze um und schließe	NONE	NO_SHARED_CARD__UNCHANGED
115	B5-S003	B5	f83r	shedal dal cheol lol chdal aiin sol daiiin chedy	al cheol aiin cheol chdy	dorthin weiter Sollmaß weiter diesen Posten übertragen	An der linken figurenlosen Dienststation: Lass dort absetzen, führe dorthin und weiter, führe von dort weiter, setze dort um, stelle das Sollmaß ein und setze weiter um.	An der linken figurenlosen Dienststation: Lass dort absetzen, führe dorthin und weiter, führe von dort weiter, setze dort um, stelle das Sollmaß ein und setze weiter um.	NONE	FLUENT_TEXT_ALREADY_COMPATIBLE
116	B6-S001	B6	f83r	solkeey qekey raly ol daiin ol dain chey ldalor	cheol aiin cheol chey	weiter Sollmaß weiter dieser Posten	An der rechten figurenlosen Dienststation: Sammle den rohen Posten länger, führe diesen Posten dorthin, stelle das Sollmaß ein, lege das Tuch ein und führe den Posten zum Endziel.	An der rechten figurenlosen Dienststation: Sammle den rohen Posten länger, führe diesen Posten dorthin, stelle das Sollmaß ein, lege das Tuch ein und führe den Posten zum Endziel.	NONE	FLUENT_TEXT_ALREADY_COMPATIBLE
