recipe_address	first_tab	recipe_length	component_recipe	compact_reading_de	historical_layers	exact_card_variants	card_nos	surfaces_to_copy	surface_exemplars	page_record_selector	lookup_result	total_events
A134	SH	3	SH+E+OL	HALTEN · KURZ · FORTSETZEN	OPERATION_SIGN+BOUND_GRADE+RELATION_ADDRESS_SIGN	1	PROC096	dsheol	1	f81v::B1	DIRECT_CARD	1
A135	SH	3	SH+E+Y	HALTEN · KURZ · DIES	OPERATION_SIGN+BOUND_GRADE+DEICTIC_REFERENCE	1	PROC122	tshey	1	f82r::B2	DIRECT_CARD	1
A136	SH	3	SH+EE+DY	HALTEN · LANG · SCHLUSS	OPERATION_SIGN+BOUND_GRADE+BOUND_ENDPOINT	1	PROC139	sheedy	1	f83r::B3	DIRECT_CARD	1
A137	SH	3	SH+EE+Y	HALTEN · LANG · DIES	OPERATION_SIGN+BOUND_GRADE+DEICTIC_REFERENCE	2	PROC031|PROC157	cheey|shey; sheey	3	f11r|f82r|f83r::B2|B4|H3; f83r::B4	CHOOSE_LOCAL_CARD_VARIANT	5
A138	SH	3	SH+O+AL	HALTEN · GANG · ZIEL	OPERATION_SIGN+STATE_OBJECT_SIGN+RELATION_ADDRESS_SIGN	1	PROC027	schoal	1	f11r::H3	DIRECT_CARD	1
A139	SH	3	SH+Y+AIIN	HALTEN · DIES · MASS	OPERATION_SIGN+DEICTIC_REFERENCE+MEASURE_STAGE_SIGN	1	PROC029	shfydaiin	1	f11r::H3	DIRECT_CARD	1
A140	SH	4	SH+CKH+E+DY	HALTEN · DURCHLASS · KURZ · SCHLUSS	OPERATION_SIGN+STATE_OBJECT_SIGN+BOUND_GRADE+BOUND_ENDPOINT	1	PROC099	shckhedy	1	f81v|f83r::B1|B4	DIRECT_CARD	3
A141	SH	4	SH+E+CKH+AL	HALTEN · KURZ · DURCHLASS · ZIEL	OPERATION_SIGN+BOUND_GRADE+STATE_OBJECT_SIGN+RELATION_ADDRESS_SIGN	1	PROC073	sheckhal	1	f81v::B1	DIRECT_CARD	1
A142	SH	4	SH+E+CKH+Y	HALTEN · KURZ · DURCHLASS · DIES	OPERATION_SIGN+BOUND_GRADE+STATE_OBJECT_SIGN+DEICTIC_REFERENCE	1	PROC110	sheckhy	1	f82r::B2	DIRECT_CARD	1
A143	SH	4	SH+E+CTH+Y	HALTEN · KURZ · BEREIT · DIES	OPERATION_SIGN+BOUND_GRADE+STATE_OBJECT_SIGN+DEICTIC_REFERENCE	1	PROC143	shecthy	1	f83r::B3	DIRECT_CARD	1
A144	SH	4	SH+K+CHD+DY	HALTEN · ZUDOSIEREN · UMSETZEN · SCHLUSS	OPERATION_SIGN+BOUND_ENDPOINT	1	PROC077	sshkchdy	1	f81v::B1	DIRECT_CARD	1
A145	SH	5	SH+E+CTH+CHD+Y	HALTEN · KURZ · BEREIT · UMSETZEN · DIES	OPERATION_SIGN+BOUND_GRADE+STATE_OBJECT_SIGN+DEICTIC_REFERENCE	1	PROC136	shecthedchy	1	f83r::B3	DIRECT_CARD	1
A146	SH	5	SH+O+Y+T+Y	HALTEN · GANG · DIES · EINTRAGEN · DIES	OPERATION_SIGN+STATE_OBJECT_SIGN+DEICTIC_REFERENCE	1	PROC033	shoyty	1	f11r::H3	DIRECT_CARD	1
A147	SHED	2	SHED+AL	ABSETZEN · ZIEL	OPERATION_SIGN+RELATION_ADDRESS_SIGN	1	PROC142	shedal	1	f83r::B3|B5	DIRECT_CARD	2
A148	SHED	2	SHED+DY	ABSETZEN · SCHLUSS	OPERATION_SIGN+BOUND_ENDPOINT	1	PROC078	cheedy|shedy|tedy	3	f81v|f82r|f83r::B1|B2|B3|B4	DIRECT_CARD	12
A149	SOLK	2	SOLK+AIIN	AUFFANGEN · MASS	OPERATION_SIGN+MEASURE_STAGE_SIGN	1	PROC105	solkaiin	1	f82r::B2	DIRECT_CARD	1
A150	SOLK	2	SOLK+Y	AUFFANGEN · DIES	OPERATION_SIGN+DEICTIC_REFERENCE	1	PROC087	qolky	1	f81v::B1	DIRECT_CARD	1
A151	SOLK	3	SOLK+E+Y	AUFFANGEN · KURZ · DIES	OPERATION_SIGN+BOUND_GRADE+DEICTIC_REFERENCE	1	PROC164	solkey	1	f83r::B4	DIRECT_CARD	1
A152	SOLK	3	SOLK+EE+DY	AUFFANGEN · LANG · SCHLUSS	OPERATION_SIGN+BOUND_GRADE+BOUND_ENDPOINT	1	PROC098	olkeedy|solkeedy	2	f81v|f83r::B1|B3	DIRECT_CARD	3
A153	SOLK	3	SOLK+EE+Y	AUFFANGEN · LANG · DIES	OPERATION_SIGN+BOUND_GRADE+DEICTIC_REFERENCE	1	PROC170	solkeey	1	f83r::B6	DIRECT_CARD	1
A154	T	2	T+Y	EINTRAGEN · DIES	OPERATION_SIGN+DEICTIC_REFERENCE	1	PROC004	chety|chty	2	f10r|f83r::B3|H1	DIRECT_CARD	2
A155	T	3	T+E+Y	EINTRAGEN · KURZ · DIES	OPERATION_SIGN+BOUND_GRADE+DEICTIC_REFERENCE	1	PROC090	ytey	1	f81v::B1	DIRECT_CARD	1
A156	T	3	T+SH+OL	EINTRAGEN · HALTEN · FORTSETZEN	OPERATION_SIGN+RELATION_ADDRESS_SIGN	1	PROC026	tshol	1	f11r::H3	DIRECT_CARD	1
A157	T	4	T+CH+O+DY	EINTRAGEN · ABNEHMEN · GANG · SCHLUSS	OPERATION_SIGN+STATE_OBJECT_SIGN+BOUND_ENDPOINT	1	PROC032	tchody	1	f11r::H3	DIRECT_CARD	1
A158	TALAM	1	TALAM	VERWAHREN	WHOLE_NOMENCLATOR	1	PROC043	talam	1	f55v::H4	DIRECT_CARD	1
A159	Y	1	Y	DIES	DEICTIC_REFERENCE	1	PROC019	chey|chy|dy|shy|sy|y	6	f10r|f11r|f55v|f81v|f82r|f83r::B1|B2|B3|B4|B6|H2|H3|H4	DIRECT_CARD	18
A160	Y	3	Y+K+AIIN	DIES · ZUDOSIEREN · MASS	DEICTIC_REFERENCE+OPERATION_SIGN+MEASURE_STAGE_SIGN	1	PROC044	ykaiin	1	f55v::H4	DIRECT_CARD	1
A161	Y	3	Y+K+AIN	DIES · ZUDOSIEREN · PORTION	DEICTIC_REFERENCE+OPERATION_SIGN+MEASURE_STAGE_SIGN	1	PROC039	ykain	1	f55v::H4	DIRECT_CARD	1
A162	Y	3	Y+K+AN	DIES · ZUDOSIEREN · NACHGABE	DEICTIC_REFERENCE+OPERATION_SIGN+MEASURE_STAGE_SIGN	1	PROC040	ykan	1	f55v::H4	DIRECT_CARD	1
A163	Y	4	Y+CH+E+OR	DIES · ABNEHMEN · KURZ · ANSATZ	DEICTIC_REFERENCE+OPERATION_SIGN+BOUND_GRADE+STATE_OBJECT_SIGN	1	PROC015	ycheor	1	f10r::H2	DIRECT_CARD	1
