rank	page	locus	section	language	hand	token_count	unknown_tokens	complete_v48	target_count	target_ordinals	target_surfaces	zl3b_line	v99r3_token_glosses_de	v99r4_token_glosses_de	v99r3_target_glosses_de	v99r4_target_glosses_de	v99r3_render_de	v99r4_render_de	old_slash_occurrences	new_slash_occurrences	old_standalone_oder_occurrences	new_standalone_oder_occurrences	old_casefold_menge_occurrences	new_casefold_menge_occurrences	non_target_cells_unchanged	exact_tokens_and_ordinals_retained
28	f24r	f24r.3	H	A	1	5	0	1	2	1|2	ycthar|cthal	ycthar cthal okol qotar ckhy	nimm hiervon die erste Kraut- oder Blattdrogenfraktion | Kraut- oder Blattdroge aus Rohdroge I | heißer Ansatzstoff | kalte Drogenfraktion I | Arzneikompositum am Gradanfang	hiervon Pflanzenanteil I nehmen | Pflanzendroge aus Rohdroge I | heißer Ansatzstoff | kalte Drogenfraktion I | Arzneikompositum am Gradanfang	nimm hiervon die erste Kraut- oder Blattdrogenfraktion | Kraut- oder Blattdroge aus Rohdroge I	hiervon Pflanzenanteil I nehmen | Pflanzendroge aus Rohdroge I	nimm hiervon die erste Kraut- oder Blattdrogenfraktion; Kraut- oder Blattdroge aus Rohdroge I; heißer Ansatzstoff; kalte Drogenfraktion I; Arzneikompositum am Gradanfang	hiervon Pflanzenanteil I nehmen; Pflanzendroge aus Rohdroge I; heißer Ansatzstoff; kalte Drogenfraktion I; Arzneikompositum am Gradanfang	0	0	2	0	0	0	3	1
29	f2r	f2r.10	H	A	1	9	0	1	2	6|8	cthey|saiin	qoky cholaiin shol sheky daiin cthey keol saiin eaiin	heiß am Anfang des Grades | trocken, Grad III | feucht; nominal feuchtes Gut/Material | bis zur Mittelstufe einweichen, erhitzen und abschließen | Grad-/Maßwert III | CTH-Drogenmaterial, Form I; im Herbal Blatt-/Krautdroge, Form I | heißer Drogenstoff | Samen/Saatgut, Typ/Charge III | drei Teile auf Mittelstufe	heiß am Anfang des Grades | trocken, Grad III | feucht; nominal feuchtes Gut/Material | bis zur Mittelstufe einweichen, erhitzen und abschließen | Grad-/Maßwert III | Pflanzendroge, Form I | heißer Drogenstoff | Samencharge III | drei Teile auf Mittelstufe	CTH-Drogenmaterial, Form I; im Herbal Blatt-/Krautdroge, Form I | Samen/Saatgut, Typ/Charge III	Pflanzendroge, Form I | Samencharge III	heiß am Anfang des Grades; trocken, Grad III; feucht; nominal feuchtes Gut/Material; bis zur Mittelstufe einweichen, erhitzen und abschließen; Grad-/Maßwert III; CTH-Drogenmaterial, Form I; im Herbal Blatt-/Krautdroge, Form I; heißer Drogenstoff; Samen/Saatgut, Typ/Charge III; drei Teile auf Mittelstufe	heiß am Anfang des Grades; trocken, Grad III; feucht; nominal feuchtes Gut/Material; bis zur Mittelstufe einweichen, erhitzen und abschließen; Grad-/Maßwert III; Pflanzendroge, Form I; heißer Drogenstoff; Samencharge III; drei Teile auf Mittelstufe	2	0	0	0	0	0	7	1
30	f2r	f2r.3	H	A	1	7	0	1	2	2|6	cthey|ydy	qotaiin cthey y chor chy ydy chaiin	kalt, Grad III | CTH-Drogenmaterial, Form I; im Herbal Blatt-/Krautdroge, Form I | hierzu: | Pflanzen-/Reproduktionsteil | trocken am Anfang des Grades | Wertfeldwechsel/-schluss | trocken, Grad III	kalt, Grad III | Pflanzendroge, Form I | hierzu: | Pflanzen-/Reproduktionsteil | trocken am Anfang des Grades | Wertfeldgrenze | trocken, Grad III	CTH-Drogenmaterial, Form I; im Herbal Blatt-/Krautdroge, Form I | Wertfeldwechsel/-schluss	Pflanzendroge, Form I | Wertfeldgrenze	kalt, Grad III; CTH-Drogenmaterial, Form I; im Herbal Blatt-/Krautdroge, Form I; hierzu: Pflanzen-/Reproduktionsteil; trocken am Anfang des Grades; Wertfeldwechsel/-schluss; trocken, Grad III	kalt, Grad III; Pflanzendroge, Form I; hierzu: Pflanzen-/Reproduktionsteil; trocken am Anfang des Grades; Wertfeldgrenze; trocken, Grad III	2	0	0	0	0	0	5	1
31	f31r	f31r.7	H	B	2	8	0	1	2	2|6	saiin|ykeedy	ykeedar saiin checkhey sheol qokedy ykeedy chedy ldy	erhitze hiervon die erste Fraktion vollständig | Samen/Saatgut, Typ/Charge III | trockenes Arzneikompositum in der Gradmitte | feuchtes Material | heiß in der Mitte des Grades, abgeschlossen | Eintrag/Bezug: heiß am Gradende, abgeschlossen | trocken in der Mitte des Grades, abgeschlossen | Holzdroge, fertig aufbereitet	erhitze hiervon die erste Fraktion vollständig | Samencharge III | trockenes Arzneikompositum in der Gradmitte | feuchtes Material | heiß in der Mitte des Grades, abgeschlossen | Eintrag: heiß am Gradende, abgeschlossen | trocken in der Mitte des Grades, abgeschlossen | Holzdroge, fertig aufbereitet	Samen/Saatgut, Typ/Charge III | Eintrag/Bezug: heiß am Gradende, abgeschlossen	Samencharge III | Eintrag: heiß am Gradende, abgeschlossen	erhitze hiervon die erste Fraktion vollständig; Samen/Saatgut, Typ/Charge III; trockenes Arzneikompositum in der Gradmitte; feuchtes Material; heiß in der Mitte des Grades, abgeschlossen; Eintrag/Bezug: heiß am Gradende, abgeschlossen; trocken in der Mitte des Grades, abgeschlossen; Holzdroge, fertig aufbereitet	erhitze hiervon die erste Fraktion vollständig; Samencharge III; trockenes Arzneikompositum in der Gradmitte; feuchtes Material; heiß in der Mitte des Grades, abgeschlossen; Eintrag: heiß am Gradende, abgeschlossen; trocken in der Mitte des Grades, abgeschlossen; Holzdroge, fertig aufbereitet	2	0	0	0	0	0	6	1
32	f35r	f35r.3	H	A	1	5	0	1	2	2|5	cthey|cthory	dchaiin cthey qotchey taiin cthory	abgemessene Trockendroge, Grad III | CTH-Drogenmaterial, Form I; im Herbal Blatt-/Krautdroge, Form I | kalt und trocken in der Mitte des Grades | kalt, Grad III | Portion Blatt- oder Krautdroge	abgemessene Trockendroge, Grad III | Pflanzendroge, Form I | kalt und trocken in der Mitte des Grades | kalt, Grad III | eine Portion Pflanzendroge	CTH-Drogenmaterial, Form I; im Herbal Blatt-/Krautdroge, Form I | Portion Blatt- oder Krautdroge	Pflanzendroge, Form I | eine Portion Pflanzendroge	abgemessene Trockendroge, Grad III; CTH-Drogenmaterial, Form I; im Herbal Blatt-/Krautdroge, Form I; kalt und trocken in der Mitte des Grades; kalt, Grad III; Portion Blatt- oder Krautdroge	abgemessene Trockendroge, Grad III; Pflanzendroge, Form I; kalt und trocken in der Mitte des Grades; kalt, Grad III; eine Portion Pflanzendroge	1	0	1	0	0	0	3	1
33	f36r	f36r.6	H	A	1	8	0	1	2	2|7	cthor|an	okaiin cthor y kaiiin s dain an dan	heiß, Grad III, im Ansatzrahmen | Drogenteil/-portion; im Herbal Portion Blatt-/Krautdroge | Eintragsteil abgeschlossen | heiß, Grad IV | Samen-/Saatgutposten | Grad-/Maßwert II | Menge-/Klassenwert I | Grad-/Maßwert I	heiß, Grad III, im Ansatzrahmen | eine Portion Pflanzendroge | Eintragsteil abgeschlossen | heiß, Grad IV | Samen-/Saatgutposten | Grad-/Maßwert II | Wertstufe I | Grad-/Maßwert I	Drogenteil/-portion; im Herbal Portion Blatt-/Krautdroge | Menge-/Klassenwert I	eine Portion Pflanzendroge | Wertstufe I	heiß, Grad III, im Ansatzrahmen; Drogenteil/-portion; im Herbal Portion Blatt-/Krautdroge; Eintragsteil abgeschlossen; heiß, Grad IV; Samen-/Saatgutposten; Grad-/Maßwert II; Menge-/Klassenwert I; Grad-/Maßwert I	heiß, Grad III, im Ansatzrahmen; eine Portion Pflanzendroge; Eintragsteil abgeschlossen; heiß, Grad IV; Samen-/Saatgutposten; Grad-/Maßwert II; Wertstufe I; Grad-/Maßwert I	2	0	0	0	1	0	6	1
34	f37v	f37v.11	H	A	1	4	0	1	2	2|3	choror|cthol	qotoiin choror cthol daiin	kalte Zubereitung, Form III | Portion Blüten- oder Fruchtdroge | CTH-Drogenstoff; im Kräuterbuch Blatt- oder Krautdroge | Qualitätsgrad III	kalte Zubereitung, Form III | eine Portion Blütendroge | Pflanzendrogenstoff | Qualitätsgrad III	Portion Blüten- oder Fruchtdroge | CTH-Drogenstoff; im Kräuterbuch Blatt- oder Krautdroge	eine Portion Blütendroge | Pflanzendrogenstoff	kalte Zubereitung, Form III; Portion Blüten- oder Fruchtdroge; CTH-Drogenstoff; im Kräuterbuch Blatt- oder Krautdroge; Qualitätsgrad III	kalte Zubereitung, Form III; eine Portion Blütendroge; Pflanzendrogenstoff; Qualitätsgrad III	0	0	2	0	0	0	2	1
35	f42r	f42r.10	H	A	1	9	0	1	2	4|6	cthor|cthol	choty dol ksheo cthor otol cthol chol shol dain	kalter Trockenansatz | Materialmaß | heißer Feuchtansatz | Drogenteil/-portion; im Herbal Portion Blatt-/Krautdroge | kaltes Zubereitungsgut | CTH-Drogenstoff; im Kräuterbuch Blatt- oder Krautdroge | trocken; nominal trockenes Gut/Material | feucht; nominal feuchtes Gut/Material | Qualitätsgrad II	kalter Trockenansatz | Materialmaß | heißer Feuchtansatz | eine Portion Pflanzendroge | kaltes Zubereitungsgut | Pflanzendrogenstoff | trocken; nominal trockenes Gut/Material | feucht; nominal feuchtes Gut/Material | Qualitätsgrad II	Drogenteil/-portion; im Herbal Portion Blatt-/Krautdroge | CTH-Drogenstoff; im Kräuterbuch Blatt- oder Krautdroge	eine Portion Pflanzendroge | Pflanzendrogenstoff	kalter Trockenansatz; Materialmaß; heißer Feuchtansatz; Drogenteil/-portion; im Herbal Portion Blatt-/Krautdroge; kaltes Zubereitungsgut; CTH-Drogenstoff; im Kräuterbuch Blatt- oder Krautdroge; trocken; nominal trockenes Gut/Material; feucht; nominal feuchtes Gut/Material; Qualitätsgrad II	kalter Trockenansatz; Materialmaß; heißer Feuchtansatz; eine Portion Pflanzendroge; kaltes Zubereitungsgut; Pflanzendrogenstoff; trocken; nominal trockenes Gut/Material; feucht; nominal feuchtes Gut/Material; Qualitätsgrad II	1	0	1	0	0	0	7	1
36	f42v	f42v.8	H	A	1	2	0	1	2	1|2	sodal|saiin	sodal saiin	abgemessene Saat-Rohstoffmenge I im Ansatz | Samen/Saatgut, Typ/Charge III	abgewogener Samenposten I im Ansatz | Samencharge III	abgemessene Saat-Rohstoffmenge I im Ansatz | Samen/Saatgut, Typ/Charge III	abgewogener Samenposten I im Ansatz | Samencharge III	abgemessene Saat-Rohstoffmenge I im Ansatz; Samen/Saatgut, Typ/Charge III	abgewogener Samenposten I im Ansatz; Samencharge III	1	0	0	0	1	0	0	1
37	f43v	f43v.4	H	B	2	10	0	1	2	2|4	ykeedy|ain	dey ykeedy chees ain shy qocthedy chey qokar checkhy okam	miss eine Dosis auf Mittelstufe ab und schließe den Posten | Eintrag/Bezug: heiß am Gradende, abgeschlossen | vollständig getrocknete Kräutermischung | Menge-/Klassenwert II | feucht am Anfang des Grades | Krautdroge bis zur Mittelstufe aufbereiten und abschließen | trocken in der Mitte des Grades | heiße Drogenfraktion I | trockenes Arzneikompositum am Gradanfang | ein Maß heißen Ansatzes	miss eine Dosis auf Mittelstufe ab und schließe den Posten | Eintrag: heiß am Gradende, abgeschlossen | vollständig getrocknete Kräutermischung | Wertstufe II | feucht am Anfang des Grades | Krautdroge bis zur Mittelstufe aufbereiten und abschließen | trocken in der Mitte des Grades | heiße Drogenfraktion I | trockenes Arzneikompositum am Gradanfang | ein Maß heißen Ansatzes	Eintrag/Bezug: heiß am Gradende, abgeschlossen | Menge-/Klassenwert II	Eintrag: heiß am Gradende, abgeschlossen | Wertstufe II	miss eine Dosis auf Mittelstufe ab und schließe den Posten; Eintrag/Bezug: heiß am Gradende, abgeschlossen; vollständig getrocknete Kräutermischung; Menge-/Klassenwert II; feucht am Anfang des Grades; Krautdroge bis zur Mittelstufe aufbereiten und abschließen; trocken in der Mitte des Grades; heiße Drogenfraktion I; trockenes Arzneikompositum am Gradanfang; ein Maß heißen Ansatzes	miss eine Dosis auf Mittelstufe ab und schließe den Posten; Eintrag: heiß am Gradende, abgeschlossen; vollständig getrocknete Kräutermischung; Wertstufe II; feucht am Anfang des Grades; Krautdroge bis zur Mittelstufe aufbereiten und abschließen; trocken in der Mitte des Grades; heiße Drogenfraktion I; trockenes Arzneikompositum am Gradanfang; ein Maß heißen Ansatzes	2	0	0	0	1	0	8	1
38	f44v	f44v.12	H	A	1	6	0	1	2	4|6	chcthy|cthol	ychey teol chaiin chcthy ctho cthol	trockne hiervon bis zur Mittelstufe und schließe ab | Drogenstoff auf mittlerer Kühlstufe | trocken, Grad III | trockene CTH-Materialform; im Herbal trockenes Blatt-/Krautgut | Krautansatz | CTH-Drogenstoff; im Kräuterbuch Blatt- oder Krautdroge	trockne hiervon bis zur Mittelstufe und schließe ab | Drogenstoff auf mittlerer Kühlstufe | trocken, Grad III | trockenes Pflanzenmaterial | Krautansatz | Pflanzendrogenstoff	trockene CTH-Materialform; im Herbal trockenes Blatt-/Krautgut | CTH-Drogenstoff; im Kräuterbuch Blatt- oder Krautdroge	trockenes Pflanzenmaterial | Pflanzendrogenstoff	trockne hiervon bis zur Mittelstufe und schließe ab; Drogenstoff auf mittlerer Kühlstufe; trocken, Grad III; trockene CTH-Materialform; im Herbal trockenes Blatt-/Krautgut; Krautansatz; CTH-Drogenstoff; im Kräuterbuch Blatt- oder Krautdroge	trockne hiervon bis zur Mittelstufe und schließe ab; Drogenstoff auf mittlerer Kühlstufe; trocken, Grad III; trockenes Pflanzenmaterial; Krautansatz; Pflanzendrogenstoff	1	0	1	0	0	0	4	1
39	f45r	f45r.3	H	A	1	9	0	1	2	2|9	chcthy|cthom	qo chcthy kchol daiin qoaiin cthy chaiin ykeey cthom	nehmen | trockene CTH-Materialform; im Herbal trockenes Blatt-/Krautgut | erhitztes Trockengut | Qualitätsgrad III | nimm drei Teile | CTH-Drogenmaterial | trocken, Grad III | erhitze hiervon bis zur Endstufe und schließe ab | eine Handvoll Blatt- oder Krautansatz	nehmen | trockenes Pflanzenmaterial | erhitztes Trockengut | Qualitätsgrad III | nimm drei Teile | CTH-Drogenmaterial | trocken, Grad III | erhitze hiervon bis zur Endstufe und schließe ab | eine Handvoll Pflanzenansatz	trockene CTH-Materialform; im Herbal trockenes Blatt-/Krautgut | eine Handvoll Blatt- oder Krautansatz	trockenes Pflanzenmaterial | eine Handvoll Pflanzenansatz	nehmen; trockene CTH-Materialform; im Herbal trockenes Blatt-/Krautgut; erhitztes Trockengut; Qualitätsgrad III; nimm drei Teile; CTH-Drogenmaterial; trocken, Grad III; erhitze hiervon bis zur Endstufe und schließe ab; eine Handvoll Blatt- oder Krautansatz	nehmen; trockenes Pflanzenmaterial; erhitztes Trockengut; Qualitätsgrad III; nimm drei Teile; CTH-Drogenmaterial; trocken, Grad III; erhitze hiervon bis zur Endstufe und schließe ab; eine Handvoll Pflanzenansatz	1	0	1	0	0	0	7	1
40	f49v	f49v.6	H	A	1	4	0	1	2	2|3	chcthy|cthey	chotchy chcthy cthey koddy	Trockenansatz aus kalt getrockneter Droge in Grundform | trockene CTH-Materialform; im Herbal trockenes Blatt-/Krautgut | CTH-Drogenmaterial, Form I; im Herbal Blatt-/Krautdroge, Form I | erhitzten Ansatz abmessen und fertigstellen	Trockenansatz aus kalt getrockneter Droge in Grundform | trockenes Pflanzenmaterial | Pflanzendroge, Form I | erhitzten Ansatz abmessen und fertigstellen	trockene CTH-Materialform; im Herbal trockenes Blatt-/Krautgut | CTH-Drogenmaterial, Form I; im Herbal Blatt-/Krautdroge, Form I	trockenes Pflanzenmaterial | Pflanzendroge, Form I	Trockenansatz aus kalt getrockneter Droge in Grundform; trockene CTH-Materialform; im Herbal trockenes Blatt-/Krautgut; CTH-Drogenmaterial, Form I; im Herbal Blatt-/Krautdroge, Form I; erhitzten Ansatz abmessen und fertigstellen	Trockenansatz aus kalt getrockneter Droge in Grundform; trockenes Pflanzenmaterial; Pflanzendroge, Form I; erhitzten Ansatz abmessen und fertigstellen	2	0	0	0	0	0	2	1
41	f4r	f4r.7	H	A	1	4	0	1	2	2|4	cthol|cthom	qotaiin cthol daiin cthom	kalt, Grad III | CTH-Drogenstoff; im Kräuterbuch Blatt- oder Krautdroge | Qualitätsgrad III | eine Handvoll Blatt- oder Krautansatz	kalt, Grad III | Pflanzendrogenstoff | Qualitätsgrad III | eine Handvoll Pflanzenansatz	CTH-Drogenstoff; im Kräuterbuch Blatt- oder Krautdroge | eine Handvoll Blatt- oder Krautansatz	Pflanzendrogenstoff | eine Handvoll Pflanzenansatz	kalt, Grad III; CTH-Drogenstoff; im Kräuterbuch Blatt- oder Krautdroge; Qualitätsgrad III; eine Handvoll Blatt- oder Krautansatz	kalt, Grad III; Pflanzendrogenstoff; Qualitätsgrad III; eine Handvoll Pflanzenansatz	0	0	2	0	0	0	2	1
42	f4v	f4v.8	H	A	1	6	0	1	2	3|6	cthol|cthory	oleeeb chor cthol sho otor cthory	stark eingedickter Holzdrogenauszug | Pflanzen-/Reproduktionsteil | CTH-Drogenstoff; im Kräuterbuch Blatt- oder Krautdroge | feuchter Ansatz | kalte Drogenportion im Ansatz | Portion Blatt- oder Krautdroge	stark eingedickter Holzdrogenauszug | Pflanzen-/Reproduktionsteil | Pflanzendrogenstoff | feuchter Ansatz | kalte Drogenportion im Ansatz | eine Portion Pflanzendroge	CTH-Drogenstoff; im Kräuterbuch Blatt- oder Krautdroge | Portion Blatt- oder Krautdroge	Pflanzendrogenstoff | eine Portion Pflanzendroge	stark eingedickter Holzdrogenauszug; Pflanzen-/Reproduktionsteil; CTH-Drogenstoff; im Kräuterbuch Blatt- oder Krautdroge; feuchter Ansatz; kalte Drogenportion im Ansatz; Portion Blatt- oder Krautdroge	stark eingedickter Holzdrogenauszug; Pflanzen-/Reproduktionsteil; Pflanzendrogenstoff; feuchter Ansatz; kalte Drogenportion im Ansatz; eine Portion Pflanzendroge	0	0	2	0	0	0	4	1
43	f75r	f75r.15	B	B	2	10	0	1	2	4|6	saiin|sol	sain qokain qolkeeoly saiin chedy sol or shedy okchdy qoky	Saatgut, Typ/Charge II | heiß, Grad II | erhitzte Drogenbasis; danach abseihen | Samen/Saatgut, Typ/Charge III | trocken in der Mitte des Grades, abgeschlossen | Samenmaterial/Saatgut | Drogenportion | feucht in der Mitte des Grades, abgeschlossen | heiß-trockener Ansatz am Anfang des Grades, abgeschlossen | heiß am Anfang des Grades	Saatgut, Typ/Charge II | heiß, Grad II | erhitzte Drogenbasis; danach abseihen | Samencharge III | trocken in der Mitte des Grades, abgeschlossen | Samenmaterial | Drogenportion | feucht in der Mitte des Grades, abgeschlossen | heiß-trockener Ansatz am Anfang des Grades, abgeschlossen | heiß am Anfang des Grades	Samen/Saatgut, Typ/Charge III | Samenmaterial/Saatgut	Samencharge III | Samenmaterial	Saatgut, Typ/Charge II; heiß, Grad II; erhitzte Drogenbasis; danach abseihen; Samen/Saatgut, Typ/Charge III; trocken in der Mitte des Grades, abgeschlossen; Samenmaterial/Saatgut; Drogenportion; feucht in der Mitte des Grades, abgeschlossen; heiß-trockener Ansatz am Anfang des Grades, abgeschlossen; heiß am Anfang des Grades	Saatgut, Typ/Charge II; heiß, Grad II; erhitzte Drogenbasis; danach abseihen; Samencharge III; trocken in der Mitte des Grades, abgeschlossen; Samenmaterial; Drogenportion; feucht in der Mitte des Grades, abgeschlossen; heiß-trockener Ansatz am Anfang des Grades, abgeschlossen; heiß am Anfang des Grades	2	0	0	0	0	0	8	1
44	f76r	f76r.35	T	B	2	12	0	1	2	5|11	chcthy|chcthy	sain shedy lshey qokal chcthy okeolor cheol otar chedy qol chcthy chckhy	Saatgut, Typ/Charge II | feucht in der Mitte des Grades, abgeschlossen | eingeweichtes Drogenholz, Form I | Rohstoffklasse I, heiß am Gradanfang | trockene CTH-Materialform; im Herbal trockenes Blatt-/Krautgut | erwärmte Drogenstoffportion | trockener Drogenstoff | kalte Drogenfraktion I im Ansatz | trocken in der Mitte des Grades, abgeschlossen | Drogenstoff zugeben | trockene CTH-Materialform; im Herbal trockenes Blatt-/Krautgut | Arzneikompositum: trocken, Gradanfang	Saatgut, Typ/Charge II | feucht in der Mitte des Grades, abgeschlossen | eingeweichtes Drogenholz, Form I | Rohstoffklasse I, heiß am Gradanfang | trockenes Pflanzenmaterial | erwärmte Drogenstoffportion | trockener Drogenstoff | kalte Drogenfraktion I im Ansatz | trocken in der Mitte des Grades, abgeschlossen | Drogenstoff zugeben | trockenes Pflanzenmaterial | Arzneikompositum: trocken, Gradanfang	trockene CTH-Materialform; im Herbal trockenes Blatt-/Krautgut | trockene CTH-Materialform; im Herbal trockenes Blatt-/Krautgut	trockenes Pflanzenmaterial | trockenes Pflanzenmaterial	Saatgut, Typ/Charge II; feucht in der Mitte des Grades, abgeschlossen; eingeweichtes Drogenholz, Form I; Rohstoffklasse I, heiß am Gradanfang; trockene CTH-Materialform; im Herbal trockenes Blatt-/Krautgut; erwärmte Drogenstoffportion; trockener Drogenstoff; kalte Drogenfraktion I im Ansatz; trocken in der Mitte des Grades, abgeschlossen; Drogenstoff zugeben; trockene CTH-Materialform; im Herbal trockenes Blatt-/Krautgut; Arzneikompositum: trocken, Gradanfang	Saatgut, Typ/Charge II; feucht in der Mitte des Grades, abgeschlossen; eingeweichtes Drogenholz, Form I; Rohstoffklasse I, heiß am Gradanfang; trockenes Pflanzenmaterial; erwärmte Drogenstoffportion; trockener Drogenstoff; kalte Drogenfraktion I im Ansatz; trocken in der Mitte des Grades, abgeschlossen; Drogenstoff zugeben; trockenes Pflanzenmaterial; Arzneikompositum: trocken, Gradanfang	2	0	0	0	0	0	10	1
45	f79v	f79v.4	B	B	2	8	0	1	2	4|6	sol|rchey	qokeedy qokeedy qotain sol chedy rchey qoky lchedy	heiß am Ende des Grades, abgeschlossen | heiß am Ende des Grades, abgeschlossen | kalt im qo-Rahmen, Grad II | Samenmaterial/Saatgut | trocken in der Mitte des Grades, abgeschlossen | Wurzel/Wurzeldroge, trocken gebunden, Form I | heiß am Anfang des Grades | getrocknetes Drogenholz	heiß am Ende des Grades, abgeschlossen | heiß am Ende des Grades, abgeschlossen | kalt im qo-Rahmen, Grad II | Samenmaterial | trocken in der Mitte des Grades, abgeschlossen | trocken gebundene Wurzeldroge, Form I | heiß am Anfang des Grades | getrocknetes Drogenholz	Samenmaterial/Saatgut | Wurzel/Wurzeldroge, trocken gebunden, Form I	Samenmaterial | trocken gebundene Wurzeldroge, Form I	heiß am Ende des Grades, abgeschlossen; heiß am Ende des Grades, abgeschlossen; kalt im qo-Rahmen, Grad II; Samenmaterial/Saatgut; trocken in der Mitte des Grades, abgeschlossen; Wurzel/Wurzeldroge, trocken gebunden, Form I; heiß am Anfang des Grades; getrocknetes Drogenholz	heiß am Ende des Grades, abgeschlossen; heiß am Ende des Grades, abgeschlossen; kalt im qo-Rahmen, Grad II; Samenmaterial; trocken in der Mitte des Grades, abgeschlossen; trocken gebundene Wurzeldroge, Form I; heiß am Anfang des Grades; getrocknetes Drogenholz	2	0	0	0	0	0	6	1
46	f80v	f80v.3	B	B	2	7	0	1	2	1|4	schedy|chcthy	schedy qolchedy qokaiin chcthy otaiin sheeky qol	getrocknete Samen/Saat | gib die bis zur Mittelstufe getrocknete Droge hinzu und schließe die Zugabe ab | heiß, Grad III | trockene CTH-Materialform; im Herbal trockenes Blatt-/Krautgut | kalt im Zubereitungsrahmen, Grad III | vollständig einweichen, erhitzen und abschließen | Drogenstoff zugeben	getrocknete Samen | gib die bis zur Mittelstufe getrocknete Droge hinzu und schließe die Zugabe ab | heiß, Grad III | trockenes Pflanzenmaterial | kalt im Zubereitungsrahmen, Grad III | vollständig einweichen, erhitzen und abschließen | Drogenstoff zugeben	getrocknete Samen/Saat | trockene CTH-Materialform; im Herbal trockenes Blatt-/Krautgut	getrocknete Samen | trockenes Pflanzenmaterial	getrocknete Samen/Saat; gib die bis zur Mittelstufe getrocknete Droge hinzu und schließe die Zugabe ab; heiß, Grad III; trockene CTH-Materialform; im Herbal trockenes Blatt-/Krautgut; kalt im Zubereitungsrahmen, Grad III; vollständig einweichen, erhitzen und abschließen; Drogenstoff zugeben	getrocknete Samen; gib die bis zur Mittelstufe getrocknete Droge hinzu und schließe die Zugabe ab; heiß, Grad III; trockenes Pflanzenmaterial; kalt im Zubereitungsrahmen, Grad III; vollständig einweichen, erhitzen und abschließen; Drogenstoff zugeben	2	0	0	0	0	0	5	1
47	f81r	f81r.4	B	B	2	7	0	1	2	5|6	chcthy|ykeedy	dchedy qokain ol ol chcthy ykeedy al	abgemessene Trockendroge, fertig | heiß, Grad II | Eigenschafts-/Zustands-/Materialträger; als nacktes Wort Gut/Ansatz | Eigenschafts-/Zustands-/Materialträger; als nacktes Wort Gut/Ansatz | trockene CTH-Materialform; im Herbal trockenes Blatt-/Krautgut | Eintrag/Bezug: heiß am Gradende, abgeschlossen | Rohstoffklasse I	abgemessene Trockendroge, fertig | heiß, Grad II | Eigenschafts-/Zustands-/Materialträger; als nacktes Wort Gut/Ansatz | Eigenschafts-/Zustands-/Materialträger; als nacktes Wort Gut/Ansatz | trockenes Pflanzenmaterial | Eintrag: heiß am Gradende, abgeschlossen | Rohstoffklasse I	trockene CTH-Materialform; im Herbal trockenes Blatt-/Krautgut | Eintrag/Bezug: heiß am Gradende, abgeschlossen	trockenes Pflanzenmaterial | Eintrag: heiß am Gradende, abgeschlossen	abgemessene Trockendroge, fertig; heiß, Grad II; Eigenschafts-/Zustands-/Materialträger; als nacktes Wort Gut/Ansatz; Eigenschafts-/Zustands-/Materialträger; als nacktes Wort Gut/Ansatz; trockene CTH-Materialform; im Herbal trockenes Blatt-/Krautgut; Eintrag/Bezug: heiß am Gradende, abgeschlossen; Rohstoffklasse I	abgemessene Trockendroge, fertig; heiß, Grad II; Eigenschafts-/Zustands-/Materialträger; als nacktes Wort Gut/Ansatz; Eigenschafts-/Zustands-/Materialträger; als nacktes Wort Gut/Ansatz; trockenes Pflanzenmaterial; Eintrag: heiß am Gradende, abgeschlossen; Rohstoffklasse I	2	0	0	0	0	0	5	1
48	f82r	f82r.5	B	B	2	8	0	1	2	1|5	sol|cthol	sol lkchedy qokeedy qokal cthol chedy qoteedy qokal	Samenmaterial/Saatgut | Holzdroge erhitzen, bis zur Mittelstufe trocknen und abschließen | heiß am Ende des Grades, abgeschlossen | Rohstoffklasse I, heiß am Gradanfang | CTH-Drogenstoff; im Kräuterbuch Blatt- oder Krautdroge | trocken in der Mitte des Grades, abgeschlossen | kalt am Ende des Grades, abgeschlossen | Rohstoffklasse I, heiß am Gradanfang	Samenmaterial | Holzdroge erhitzen, bis zur Mittelstufe trocknen und abschließen | heiß am Ende des Grades, abgeschlossen | Rohstoffklasse I, heiß am Gradanfang | Pflanzendrogenstoff | trocken in der Mitte des Grades, abgeschlossen | kalt am Ende des Grades, abgeschlossen | Rohstoffklasse I, heiß am Gradanfang	Samenmaterial/Saatgut | CTH-Drogenstoff; im Kräuterbuch Blatt- oder Krautdroge	Samenmaterial | Pflanzendrogenstoff	Samenmaterial/Saatgut; Holzdroge erhitzen, bis zur Mittelstufe trocknen und abschließen; heiß am Ende des Grades, abgeschlossen; Rohstoffklasse I, heiß am Gradanfang; CTH-Drogenstoff; im Kräuterbuch Blatt- oder Krautdroge; trocken in der Mitte des Grades, abgeschlossen; kalt am Ende des Grades, abgeschlossen; Rohstoffklasse I, heiß am Gradanfang	Samenmaterial; Holzdroge erhitzen, bis zur Mittelstufe trocknen und abschließen; heiß am Ende des Grades, abgeschlossen; Rohstoffklasse I, heiß am Gradanfang; Pflanzendrogenstoff; trocken in der Mitte des Grades, abgeschlossen; kalt am Ende des Grades, abgeschlossen; Rohstoffklasse I, heiß am Gradanfang	1	0	1	0	0	0	6	1
