visible_surface	occurrences	pages	owners	detected_literal_atoms	residual_string	residual_family	new_local_core	new_local_core_value_de	revised_short_reading_de	decision
giin	1	f67r2	A1_LEFT_LOCAL_FIELD_35	NONE	giin	LOCAL_RESIDUAL	NONE	LOKALER NOMENKLATORREST	Sternplatz A1_LEFT_LOCAL_FIELD_35: Grad- oder Bedingungsstufe; lokaler Namensrest g.	KEEP_LOCAL
iokeeor	1	f69v	A3_MIDDLE_WHEEL_RING_TEXT	OK+OR	iee	GRADE_OR_SELECTION_RESIDUE	NONE	FAMILIENGEBUNDENER GRAD/WAHL	lokaler Himmels- oder Kalenderplatz A3_MIDDLE_WHEEL_RING_TEXT: Diagrammposten setzen oder aktivieren + lange oder volle Diagrammstufe + Bedingungs-, Tabellen- oder Wahlansatz; lokaler Namensrest i.	KEEP_BOUND_OR_LOCAL
kchey	1	f67r2	A1_RIGHT_SECTOR_SLOT_07	KCH	ey	GRADE_OR_SELECTION_RESIDUE	NONE	FAMILIENGEBUNDENER GRAD/WAHL	Sektorplatz A1_RIGHT_SECTOR_SLOT_07: diesen Diagrammplatz kurz bearbeiten.	KEEP_BOUND_OR_LOCAL
kchy	1	f67r2	A1_RIGHT_SECTOR_SLOT_10	KCH	y	GRADE_OR_SELECTION_RESIDUE	NONE	FAMILIENGEBUNDENER GRAD/WAHL	Sektorplatz A1_RIGHT_SECTOR_SLOT_10: diesen Diagrammplatz bearbeiten.	KEEP_BOUND_OR_LOCAL
lkshy	1	f67r2	A1_RIGHT_SECTOR_SLOT_10	NONE	lkshy	LOCAL_RESIDUAL	NONE	LOKALER NOMENKLATORREST	Sektorplatz A1_RIGHT_SECTOR_SLOT_10: Position oder Bedingung halten; lokaler Namensrest lk/y.	KEEP_LOCAL
o	2	f69v	A3_LEFT_WHEEL_RING_TEXT	NONE	o	RENDERER_FRAME	NONE	KEIN SACHWERT	A3_LEFT_WHEEL_RING_TEXT: Grundwert.	KEEP_RENDERER
oaiin	1	f67r2	A1_RIGHT_OUTER_RING_TEXT	AIIN	o	RENDERER_FRAME	NONE	KEIN SACHWERT	Ring- oder Bandstelle A1_RIGHT_OUTER_RING_TEXT: Sollwert oder Grad eines Diagrammplatzes; lokaler Namensrest o.	KEEP_RENDERER
oar	1	f69v	A3_LEFT_RADIAL_SLOT_28	AR	o	RENDERER_FRAME	NONE	KEIN SACHWERT	Radstelle A3_LEFT_RADIAL_SLOT_28: Ausgangssektor, Ursprung oder Bezugswert; lokaler Namensrest o.	KEEP_RENDERER
oaram	1	f69v	A3_MIDDLE_WHEEL_RING_TEXT	AR	oam	LOCAL_RESIDUAL	NONE	LOKALER NOMENKLATORREST	lokaler Himmels- oder Kalenderplatz A3_MIDDLE_WHEEL_RING_TEXT: Ausgangssektor, Ursprung oder Bezugswert; lokaler Namensrest o/am.	KEEP_LOCAL
ochol	1	f67r2	A1_LEFT_LOCAL_FIELD_30	HO	ol	LOCAL_RESIDUAL	NONE	LOKALER NOMENKLATORREST	Sternplatz A1_LEFT_LOCAL_FIELD_30: im selben Ring, Band oder Satz fortsetzen; lokaler Namensrest och.	KEEP_LOCAL
ochoyk	1	f69v	A3_LEFT_RADIAL_SLOT_03	HO	oyk	GRADE_OR_SELECTION_RESIDUE	NONE	FAMILIENGEBUNDENER GRAD/WAHL	Radstelle A3_LEFT_RADIAL_SLOT_03: Himmelsobjekt oder Eingangsbedingung; lokaler Namensrest oc/yk.	KEEP_BOUND_OR_LOCAL
ockhy	3	f67r2|f68r1|f69v	A1_LEFT_LOCAL_FIELD_42|A2_STAR_STATION_13|A3_MIDDLE_WHEEL_RING_TEXT	CKH	oy	GRADE_OR_SELECTION_RESIDUE	NONE	FAMILIENGEBUNDENER GRAD/WAHL	Sternplatz A1_LEFT_LOCAL_FIELD_42: durch Sektor, Ring oder Pruefweg fuehren; lokaler Namensrest o/y.	KEEP_BOUND_OR_LOCAL
ocphy	1	f68r1	A2_STAR_STATION_23	NONE	ocphy	LOCAL_RESIDUAL	NONE	LOKALER NOMENKLATORREST	A2_STAR_STATION_23: Grundauswahl.	KEEP_LOCAL
octhey	1	f68r1	A2_STAR_STATION_05	CTH	oey	GRADE_OR_SELECTION_RESIDUE	NONE	FAMILIENGEBUNDENER GRAD/WAHL	A2_STAR_STATION_05: ausgewählte Grundbedingung.	KEEP_BOUND_OR_LOCAL
octhole	1	f67r2	A1_LEFT_LOCAL_FIELD_38	CTH+OL	oe	GRADE_OR_SELECTION_RESIDUE	NONE	FAMILIENGEBUNDENER GRAD/WAHL	Sternplatz A1_LEFT_LOCAL_FIELD_38: im selben Ring, Band oder Satz fortsetzen; lokaler Namensrest octh/e.	KEEP_BOUND_OR_LOCAL
octhys	1	f67r2	A1_LEFT_OUTER_STAR_STATION_09	CTH	oys	GRADE_OR_SELECTION_RESIDUE	NONE	FAMILIENGEBUNDENER GRAD/WAHL	A1_LEFT_OUTER_STAR_STATION_09: sekundäre Grundbedingung.	KEEP_BOUND_OR_LOCAL
odaeiin	1	f67r2	A1_LEFT_LOCAL_FIELD_16	NONE	odaeiin	LOCAL_RESIDUAL	NONE	LOKALER NOMENKLATORREST	Sternplatz A1_LEFT_LOCAL_FIELD_16: Grad- oder Bedingungsstufe; lokaler Namensrest odae.	KEEP_LOCAL
odaiiin	1	f67r2	A1_LEFT_LOCAL_FIELD_45	IIN	oda	LOCAL_RESIDUAL	NONE	LOKALER NOMENKLATORREST	Sternplatz A1_LEFT_LOCAL_FIELD_45: Grad- oder Bedingungsstufe; lokaler Namensrest odai.	KEEP_LOCAL
odain	1	f67r2	A1_PAIRED_WHEEL_LEGEND_UNRESOLVED	AIN	od	LOCAL_RESIDUAL	NONE	LOKALER NOMENKLATORREST	Legendenstelle A1_PAIRED_WHEEL_LEGEND_UNRESOLVED: gezaehlter Teil oder Unterabschnitt; lokaler Namensrest od.	KEEP_LOCAL
odair	1	f69v	A3_LEFT_WHEEL_RING_TEXT	AIR	od	LOCAL_RESIDUAL	NONE	LOKALER NOMENKLATORREST	Radstelle A3_LEFT_WHEEL_RING_TEXT: Himmels-, Ring- oder Zeigerlauf; lokaler Namensrest od.	KEEP_LOCAL
odal	1	f67r2	A1_LEFT_LOCAL_FIELD_33	AL	od	LOCAL_RESIDUAL	NONE	LOKALER NOMENKLATORREST	Sternplatz A1_LEFT_LOCAL_FIELD_33: Zielsektor, Zielstern oder Zielfeld; lokaler Namensrest od.	KEEP_LOCAL
odas	1	f67r2	A1_LEFT_LOCAL_FIELD_32	NONE	odas	LOCAL_RESIDUAL	NONE	LOKALER NOMENKLATORREST	A1_LEFT_LOCAL_FIELD_32: fester Nebenwert.	KEEP_LOCAL
odchecthy	1	f68r1	A2_STAR_STATION_01	CTH	odchey	GRADE_OR_SELECTION_RESIDUE	NONE	FAMILIENGEBUNDENER GRAD/WAHL	A2_STAR_STATION_01: feste abgeleitete Bedingung.	KEEP_BOUND_OR_LOCAL
ody	1	f69v	A3_MIDDLE_WHEEL_RING_TEXT	NONE	ody	LOCAL_RESIDUAL	NONE	LOKALER NOMENKLATORREST	lokaler Himmels- oder Kalenderplatz A3_MIDDLE_WHEEL_RING_TEXT: diesen Diagrammposten zuruecknehmen.	KEEP_LOCAL
oear	1	f67r2	A1_LEFT_LOCAL_FIELD_33	AR	oe	GRADE_OR_SELECTION_RESIDUE	NONE	FAMILIENGEBUNDENER GRAD/WAHL	Sternplatz A1_LEFT_LOCAL_FIELD_33: Ausgangssektor, Ursprung oder Bezugswert; lokaler Namensrest oe.	KEEP_BOUND_OR_LOCAL
oeeody	1	f68r1	A2_STAR_STATION_22	NONE	oeeody	LOCAL_RESIDUAL	NONE	LOKALER NOMENKLATORREST	Sternplatz A2_STAR_STATION_22: lange oder volle Diagrammstufe; lokaler Namensrest o/ody.	KEEP_LOCAL
oeeos	1	f67r2	A1_PAIRED_WHEEL_LEGEND_UNRESOLVED	NONE	oeeos	LOCAL_RESIDUAL	NONE	LOKALER NOMENKLATORREST	Legendenstelle A1_PAIRED_WHEEL_LEGEND_UNRESOLVED: lange oder volle Diagrammstufe; lokaler Namensrest o/os.	KEEP_LOCAL
oeesy	1	f69v	A3_LEFT_RADIAL_SLOT_06	NONE	oeesy	LOCAL_RESIDUAL	NONE	LOKALER NOMENKLATORREST	Radstelle A3_LEFT_RADIAL_SLOT_06: lange oder volle Diagrammstufe; lokaler Namensrest o/sy.	KEEP_LOCAL
oekain	1	f67r2	A1_LEFT_LOCAL_FIELD_16	AIN	oek	GRADE_OR_SELECTION_RESIDUE	NONE	FAMILIENGEBUNDENER GRAD/WAHL	Sternplatz A1_LEFT_LOCAL_FIELD_16: gezaehlter Teil oder Unterabschnitt; lokaler Namensrest oek.	KEEP_BOUND_OR_LOCAL
oeoldan	1	f67r2	A1_LEFT_LOCAL_FIELD_34	OL	oedan	GRADE_OR_SELECTION_RESIDUE	NONE	FAMILIENGEBUNDENER GRAD/WAHL	Sternplatz A1_LEFT_LOCAL_FIELD_34: im selben Ring, Band oder Satz fortsetzen + Bedingung oder Tabellenwert anwenden; lokaler Namensrest oe.	KEEP_BOUND_OR_LOCAL
oepchod	1	f67r2	A1_RIGHT_PHASE_STATION_05	HO	oepd	GRADE_OR_SELECTION_RESIDUE	NONE	FAMILIENGEBUNDENER GRAD/WAHL	Radstelle A1_RIGHT_PHASE_STATION_05: Himmelsobjekt oder Eingangsbedingung; lokaler Namensrest oepc/d.	KEEP_BOUND_OR_LOCAL
ofar	2	f67r2	A1_LEFT_LOCAL_FIELD_24|A1_LEFT_LOCAL_FIELD_34	AR	of	LOCAL_RESIDUAL	NONE	LOKALER NOMENKLATORREST	Sternplatz A1_LEFT_LOCAL_FIELD_24: Ausgangssektor, Ursprung oder Bezugswert; lokaler Namensrest of.	KEEP_LOCAL
ofcheor	1	f68r1	A2_STAR_STATION_14	CHEO	ofr	LOCAL_RESIDUAL	NONE	LOKALER NOMENKLATORREST	Sternplatz A2_STAR_STATION_14: Bedingungs-, Tabellen- oder Wahlansatz; lokaler Namensrest ofche.	KEEP_LOCAL
ofydy	1	f67r2	A1_LEFT_LOCAL_FIELD_44	NONE	ofydy	LOCAL_RESIDUAL	NONE	LOKALER NOMENKLATORREST	A1_LEFT_LOCAL_FIELD_44: fester Grundlichtwert.	KEEP_LOCAL
og	1	f67r2	A1_LEFT_LOCAL_FIELD_40	NONE	og	LOCAL_RESIDUAL	NONE	LOKALER NOMENKLATORREST	A1_LEFT_LOCAL_FIELD_40: Grundgrad.	KEEP_LOCAL
oiin	1	f67r2	A1_LEFT_LOCAL_FIELD_40	NONE	oiin	LOCAL_RESIDUAL	NONE	LOKALER NOMENKLATORREST	Sternplatz A1_LEFT_LOCAL_FIELD_40: Grad- oder Bedingungsstufe; lokaler Namensrest o.	KEEP_LOCAL
oiinar	1	f68r1	A2_STAR_STATION_19	AR	oiin	LOCAL_RESIDUAL	NONE	LOKALER NOMENKLATORREST	Sternplatz A2_STAR_STATION_19: Grad- oder Bedingungsstufe + Ausgangssektor, Ursprung oder Bezugswert; lokaler Namensrest o.	KEEP_LOCAL
okaiiin	1	f68r1	A2_MULTIPANEL_HEADER_FRAGMENT_04	OK+IIN	a	LOCAL_RESIDUAL	NONE	LOKALER NOMENKLATORREST	Tafelkopf A2_MULTIPANEL_HEADER_FRAGMENT_04: Diagrammposten setzen oder aktivieren + Grad- oder Bedingungsstufe; lokaler Namensrest ai.	KEEP_LOCAL
okain	1	f67r2	A1_LEFT_LOCAL_FIELD_28	OK+AIN	NONE	LOCAL_RESIDUAL	NONE	LOKALER NOMENKLATORREST	Sternplatz A1_LEFT_LOCAL_FIELD_28: einen gezaehlten Teilwert zugeben.	KEEP_LOCAL
okal	1	f67r2	A1_LEFT_LOCAL_FIELD_22	OK+AL	NONE	LOCAL_RESIDUAL	NONE	LOKALER NOMENKLATORREST	Sternplatz A1_LEFT_LOCAL_FIELD_22: am Zielplatz setzen.	KEEP_LOCAL
okar	4	f67r2|f69v	A1_RIGHT_SECTOR_SLOT_03|A1_RIGHT_SECTOR_SLOT_10|A3_LEFT_WHEEL_RING_TEXT	OK+AR	NONE	LOCAL_RESIDUAL	NONE	LOKALER NOMENKLATORREST	Sektorplatz A1_RIGHT_SECTOR_SLOT_03: Diagrammposten setzen oder aktivieren + Ausgangssektor, Ursprung oder Bezugswert.	KEEP_LOCAL
okardy	1	f68r1	A2_CENTRAL_LEGEND_UNRESOLVED	OK+AR	dy	GRADE_OR_SELECTION_RESIDUE	NONE	FAMILIENGEBUNDENER GRAD/WAHL	Legendenstelle A2_CENTRAL_LEGEND_UNRESOLVED: Diagrammposten setzen oder aktivieren + Ausgangssektor, Ursprung oder Bezugswert; lokaler Namensrest dy.	KEEP_BOUND_OR_LOCAL
okchdy	1	f68r1	A2_CENTRAL_LEGEND_UNRESOLVED	KCH	ody	GRADE_OR_SELECTION_RESIDUE	NONE	FAMILIENGEBUNDENER GRAD/WAHL	Legendenstelle A2_CENTRAL_LEGEND_UNRESOLVED: Diagrammposten setzen oder aktivieren + Wert oder Platzbezug uebertragen; lokaler Namensrest y.	KEEP_BOUND_OR_LOCAL
okcheys	1	f69v	A3_LEFT_RADIAL_SLOT_27	KCH	oeys	GRADE_OR_SELECTION_RESIDUE	NONE	FAMILIENGEBUNDENER GRAD/WAHL	Radstelle A3_LEFT_RADIAL_SLOT_27: Diagrammplatz berechnen oder bearbeiten; lokaler Namensrest o/eys.	KEEP_BOUND_OR_LOCAL
okchoal	1	f68r1	A2_LEFT_PANEL_HEADER	KCH+AL	oo	LOCAL_RESIDUAL	NONE	LOKALER NOMENKLATORREST	Sternplatz A2_LEFT_PANEL_HEADER: Diagrammposten setzen oder aktivieren + Himmelsobjekt oder Eingangsbedingung + Zielsektor, Zielstern oder Zielfeld; lokaler Namensrest c.	KEEP_LOCAL
okchy	1	f67r2	A1_RIGHT_SECTOR_SLOT_05	KCH	oy	GRADE_OR_SELECTION_RESIDUE	NONE	FAMILIENGEBUNDENER GRAD/WAHL	Sektorplatz A1_RIGHT_SECTOR_SLOT_05: diesen Diagrammposten setzen.	KEEP_BOUND_OR_LOCAL
okeal	1	f69v	A3_LEFT_RADIAL_SLOT_10	OK+AL	e	GRADE_OR_SELECTION_RESIDUE	NONE	FAMILIENGEBUNDENER GRAD/WAHL	Radstelle A3_LEFT_RADIAL_SLOT_10: Diagrammposten setzen oder aktivieren + Zielsektor, Zielstern oder Zielfeld; lokaler Namensrest e.	KEEP_BOUND_OR_LOCAL
okear	1	f68r1	A2_STAR_STATION_08	OK+AR	e	GRADE_OR_SELECTION_RESIDUE	NONE	FAMILIENGEBUNDENER GRAD/WAHL	Sternplatz A2_STAR_STATION_08: Diagrammposten setzen oder aktivieren + Ausgangssektor, Ursprung oder Bezugswert; lokaler Namensrest e.	KEEP_BOUND_OR_LOCAL
okedy	1	f69v	A3_LEFT_WHEEL_RING_TEXT	OK	edy	GRADE_OR_SELECTION_RESIDUE	NONE	FAMILIENGEBUNDENER GRAD/WAHL	Radstelle A3_LEFT_WHEEL_RING_TEXT: Diagrammposten setzen oder aktivieren; lokaler Namensrest edy.	KEEP_BOUND_OR_LOCAL
okeeodal	1	f68r1	A2_STAR_STATION_24	OK+AL	eeod	GRADE_OR_SELECTION_RESIDUE	NONE	FAMILIENGEBUNDENER GRAD/WAHL	Sternplatz A2_STAR_STATION_24: Diagrammposten setzen oder aktivieren + lange oder volle Diagrammstufe + Zielsektor, Zielstern oder Zielfeld; lokaler Namensrest od.	KEEP_BOUND_OR_LOCAL
okeeody	2	f67r2|f69v	A1_PAIRED_WHEEL_LEGEND_UNRESOLVED|A3_LEFT_WHEEL_RING_TEXT	OK	eeody	GRADE_OR_SELECTION_RESIDUE	NONE	FAMILIENGEBUNDENER GRAD/WAHL	Legendenstelle A1_PAIRED_WHEEL_LEGEND_UNRESOLVED: Diagrammposten setzen oder aktivieren + lange oder volle Diagrammstufe; lokaler Namensrest ody.	KEEP_BOUND_OR_LOCAL
okeeos	1	f69v	A3_LEFT_WHEEL_RING_TEXT	OK	eeos	GRADE_OR_SELECTION_RESIDUE	NONE	FAMILIENGEBUNDENER GRAD/WAHL	Radstelle A3_LEFT_WHEEL_RING_TEXT: Diagrammposten setzen oder aktivieren + lange oder volle Diagrammstufe; lokaler Namensrest os.	KEEP_BOUND_OR_LOCAL
okeey	4	f68r1|f69v	A2_RIGHT_PANEL_HEADER|A3_LEFT_RADIAL_SLOT_01|A3_LEFT_RADIAL_SLOT_22|A3_LEFT_WHEEL_RING_TEXT	OK	eey	GRADE_OR_SELECTION_RESIDUE	NONE	FAMILIENGEBUNDENER GRAD/WAHL	Sektorplatz A2_RIGHT_PANEL_HEADER: in langer Stufe setzen.	KEEP_BOUND_OR_LOCAL
okeo	2	f67r2|f69v	A1_LEFT_LOCAL_FIELD_27|A3_LEFT_RADIAL_SLOT_02	OK	eo	GRADE_OR_SELECTION_RESIDUE	NONE	FAMILIENGEBUNDENER GRAD/WAHL	Sternplatz A1_LEFT_LOCAL_FIELD_27: Diagrammposten setzen oder aktivieren; lokaler Namensrest eo.	KEEP_BOUND_OR_LOCAL
okeod	4	f69v	A3_LEFT_RADIAL_SLOT_11|A3_LEFT_RADIAL_SLOT_15|A3_LEFT_RADIAL_SLOT_24|A3_LEFT_WHEEL_RING_TEXT	OK	eod	GRADE_OR_SELECTION_RESIDUE	NONE	FAMILIENGEBUNDENER GRAD/WAHL	Radstelle A3_LEFT_WHEEL_RING_TEXT: Diagrammposten setzen oder aktivieren; lokaler Namensrest eod.	KEEP_BOUND_OR_LOCAL
okeodal	1	f69v	A3_RIGHT_WHEEL_RING_TEXT	OK+AL	eod	GRADE_OR_SELECTION_RESIDUE	NONE	FAMILIENGEBUNDENER GRAD/WAHL	lokaler Himmels- oder Kalenderplatz A3_RIGHT_WHEEL_RING_TEXT: Diagrammposten setzen oder aktivieren + Zielsektor, Zielstern oder Zielfeld; lokaler Namensrest eod.	KEEP_BOUND_OR_LOCAL
okeody	1	f69v	A3_LEFT_RADIAL_SLOT_26	OK	eody	GRADE_OR_SELECTION_RESIDUE	NONE	FAMILIENGEBUNDENER GRAD/WAHL	Radstelle A3_LEFT_RADIAL_SLOT_26: Diagrammposten setzen oder aktivieren; lokaler Namensrest eody.	KEEP_BOUND_OR_LOCAL
okey	2	f67r2|f69v	A1_LEFT_OUTER_RING_TEXT|A3_LEFT_RADIAL_SLOT_23	OK	ey	GRADE_OR_SELECTION_RESIDUE	NONE	FAMILIENGEBUNDENER GRAD/WAHL	Ring- oder Bandstelle A1_LEFT_OUTER_RING_TEXT: in kurzer Stufe setzen.	KEEP_BOUND_OR_LOCAL
okoaly	1	f68r1	A2_STAR_STATION_03	OK+AL	oy	GRADE_OR_SELECTION_RESIDUE	NONE	FAMILIENGEBUNDENER GRAD/WAHL	Sternplatz A2_STAR_STATION_03: Diagrammposten setzen oder aktivieren + Zielsektor, Zielstern oder Zielfeld; lokaler Namensrest o/y.	KEEP_BOUND_OR_LOCAL
okodaly	1	f68r1	A2_CENTRE_KEY_UNRESOLVED	OK+AL	ody	GRADE_OR_SELECTION_RESIDUE	NONE	FAMILIENGEBUNDENER GRAD/WAHL	Zentrumsmarke A2_CENTRE_KEY_UNRESOLVED: Diagrammposten setzen oder aktivieren + Zielsektor, Zielstern oder Zielfeld; lokaler Namensrest od/y.	KEEP_BOUND_OR_LOCAL
okodar	2	f67r2	A1_LEFT_OUTER_STAR_STATION_12|A1_RIGHT_PHASE_STATION_04	OK+AR	od	LOCAL_RESIDUAL	NONE	LOKALER NOMENKLATORREST	Sternplatz A1_LEFT_OUTER_STAR_STATION_12: Diagrammposten setzen oder aktivieren + Ausgangssektor, Ursprung oder Bezugswert; lokaler Namensrest od.	KEEP_LOCAL
okodchy	1	f69v	A3_LEFT_RADIAL_SLOT_25	OK	odchy	GRADE_OR_SELECTION_RESIDUE	NONE	FAMILIENGEBUNDENER GRAD/WAHL	Radstelle A3_LEFT_RADIAL_SLOT_25: Diagrammposten setzen oder aktivieren; lokaler Namensrest odchy.	KEEP_BOUND_OR_LOCAL
okody	2	f69v	A3_LEFT_RADIAL_SLOT_08|A3_RIGHT_WHEEL_RING_TEXT	OK	ody	GRADE_OR_SELECTION_RESIDUE	NONE	FAMILIENGEBUNDENER GRAD/WAHL	lokaler Himmels- oder Kalenderplatz A3_RIGHT_WHEEL_RING_TEXT: Diagrammposten setzen oder aktivieren; lokaler Namensrest ody.	KEEP_BOUND_OR_LOCAL
okoes	1	f67r2	A1_LEFT_LOCAL_FIELD_16	OK	oes	GRADE_OR_SELECTION_RESIDUE	NONE	FAMILIENGEBUNDENER GRAD/WAHL	Sternplatz A1_LEFT_LOCAL_FIELD_16: Diagrammposten setzen oder aktivieren; lokaler Namensrest oes.	KEEP_BOUND_OR_LOCAL
okoirsh	1	f69v	A3_LEFT_WHEEL_RING_TEXT	OK	oirsh	LOCAL_RESIDUAL	NONE	LOKALER NOMENKLATORREST	Radstelle A3_LEFT_WHEEL_RING_TEXT: Diagrammposten setzen oder aktivieren + Position oder Bedingung halten; lokaler Namensrest oir.	KEEP_LOCAL
okol	2	f67r2	A1_LEFT_LOCAL_FIELD_35|A1_RIGHT_OUTER_RING_TEXT	OK+OL	NONE	LOCAL_RESIDUAL	NONE	LOKALER NOMENKLATORREST	Sternplatz A1_LEFT_LOCAL_FIELD_35: Diagrammposten setzen oder aktivieren + im selben Ring, Band oder Satz fortsetzen.	KEEP_LOCAL
okolar	1	f69v	A3_LEFT_RADIAL_SLOT_18	OK+OL+AR	NONE	LOCAL_RESIDUAL	NONE	LOKALER NOMENKLATORREST	Radstelle A3_LEFT_RADIAL_SLOT_18: Diagrammposten setzen oder aktivieren + im selben Ring, Band oder Satz fortsetzen + Ausgangssektor, Ursprung oder Bezugswert.	KEEP_LOCAL
okoldy	1	f68r1	A2_STAR_STATION_20	OK+OL	dy	GRADE_OR_SELECTION_RESIDUE	NONE	FAMILIENGEBUNDENER GRAD/WAHL	Sternplatz A2_STAR_STATION_20: Diagrammposten setzen oder aktivieren + im selben Ring, Band oder Satz fortsetzen; lokaler Namensrest dy.	KEEP_BOUND_OR_LOCAL
okshor	1	f68r1	A2_STAR_STATION_25	OK+HO	r	LOCAL_RESIDUAL	NONE	LOKALER NOMENKLATORREST	Sternplatz A2_STAR_STATION_25: Diagrammposten setzen oder aktivieren + Position oder Bedingung halten + Bedingungs-, Tabellen- oder Wahlansatz.	KEEP_LOCAL
oky	1	f68r1	A2_CENTRAL_LEGEND_UNRESOLVED	OK	y	GRADE_OR_SELECTION_RESIDUE	NONE	FAMILIENGEBUNDENER GRAD/WAHL	Legendenstelle A2_CENTRAL_LEGEND_UNRESOLVED: diesen Diagrammposten setzen.	KEEP_BOUND_OR_LOCAL
ol	1	f69v	A3_MIDDLE_WHEEL_RING_TEXT	OL	NONE	LOCAL_RESIDUAL	NONE	LOKALER NOMENKLATORREST	lokaler Himmels- oder Kalenderplatz A3_MIDDLE_WHEEL_RING_TEXT: im selben Ring oder Band fortsetzen.	KEEP_LOCAL
olar	1	f67r2	A1_RIGHT_OUTER_RING_TEXT	OL+AR	NONE	LOCAL_RESIDUAL	NONE	LOKALER NOMENKLATORREST	Ring- oder Bandstelle A1_RIGHT_OUTER_RING_TEXT: im selben Ring, Band oder Satz fortsetzen + Ausgangssektor, Ursprung oder Bezugswert.	KEEP_LOCAL
oldy	1	f67r2	A1_RIGHT_RING_BAND_02	OL	dy	GRADE_OR_SELECTION_RESIDUE	NONE	FAMILIENGEBUNDENER GRAD/WAHL	Ring- oder Bandstelle A1_RIGHT_RING_BAND_02: fortsetzen und den Eintrag schliessen.	KEEP_BOUND_OR_LOCAL
olol	1	f67r2	A1_LEFT_LOCAL_FIELD_30	OL+OL	NONE	LOCAL_RESIDUAL	NONE	LOKALER NOMENKLATORREST	Sternplatz A1_LEFT_LOCAL_FIELD_30: im selben Ring, Band oder Satz fortsetzen + im selben Ring, Band oder Satz fortsetzen.	KEEP_LOCAL
olor	1	f68r1	A2_STAR_STATION_12	OL+OR	NONE	LOCAL_RESIDUAL	NONE	LOKALER NOMENKLATORREST	Sternplatz A2_STAR_STATION_12: fortgesetzter Bedingungs- oder Tabellensatz.	KEEP_LOCAL
ols	1	f67r2	A1_RIGHT_SECTOR_SLOT_02	OL	s	RENDERER_FRAME	NONE	KEIN SACHWERT	Sektorplatz A1_RIGHT_SECTOR_SLOT_02: im selben Ring, Band oder Satz fortsetzen; lokaler Namensrest s.	KEEP_RENDERER
oly	1	f67r2	A1_LEFT_OUTER_RING_TEXT	OL	y	GRADE_OR_SELECTION_RESIDUE	NONE	FAMILIENGEBUNDENER GRAD/WAHL	Ring- oder Bandstelle A1_LEFT_OUTER_RING_TEXT: im selben Ring, Band oder Satz fortsetzen; lokaler Namensrest y.	KEEP_BOUND_OR_LOCAL
oparchy	1	f67r2	A1_LEFT_LOCAL_FIELD_23	AR	opchy	GRADE_OR_SELECTION_RESIDUE	NONE	FAMILIENGEBUNDENER GRAD/WAHL	Sternplatz A1_LEFT_LOCAL_FIELD_23: Ausgangssektor, Ursprung oder Bezugswert; lokaler Namensrest op/chy.	KEEP_BOUND_OR_LOCAL
opcheeol	1	f68r1	A2_LEFT_PANEL_HEADER	OL	opchee	GRADE_OR_SELECTION_RESIDUE	NONE	FAMILIENGEBUNDENER GRAD/WAHL	Sternplatz A2_LEFT_PANEL_HEADER: lange oder volle Diagrammstufe + im selben Ring, Band oder Satz fortsetzen; lokaler Namensrest opch.	KEEP_BOUND_OR_LOCAL
opcholdy	1	f67r2	A1_LEFT_LOCAL_FIELD_31	HO	opldy	GRADE_OR_SELECTION_RESIDUE	NONE	FAMILIENGEBUNDENER GRAD/WAHL	Sternplatz A1_LEFT_LOCAL_FIELD_31: im selben Ring, Band oder Satz fortsetzen; lokaler Namensrest opch/dy.	KEEP_BOUND_OR_LOCAL
opodchol	1	f67r2	A1_RIGHT_RING_BAND_01	HO	opodl	LOCAL_RESIDUAL	NONE	LOKALER NOMENKLATORREST	Ring- oder Bandstelle A1_RIGHT_RING_BAND_01: im selben Ring, Band oder Satz fortsetzen; lokaler Namensrest opodch.	KEEP_LOCAL
or	1	f67r2	A1_LEFT_LOCAL_FIELD_36	OR	NONE	LOCAL_RESIDUAL	NONE	LOKALER NOMENKLATORREST	Sternplatz A1_LEFT_LOCAL_FIELD_36: Bedingungs- oder Tabellensatz.	KEEP_LOCAL
oraly	1	f67r2	A1_LEFT_LOCAL_FIELD_46	OR+AL	y	GRADE_OR_SELECTION_RESIDUE	NONE	FAMILIENGEBUNDENER GRAD/WAHL	Sternplatz A1_LEFT_LOCAL_FIELD_46: Bedingungs-, Tabellen- oder Wahlansatz + Zielsektor, Zielstern oder Zielfeld; lokaler Namensrest y.	KEEP_BOUND_OR_LOCAL
oran	1	f67r2	A1_RIGHT_PHASE_STATION_08	OR	an	LOCAL_RESIDUAL	NONE	LOKALER NOMENKLATORREST	Radstelle A1_RIGHT_PHASE_STATION_08: Bedingungs-, Tabellen- oder Wahlansatz; lokaler Namensrest an.	KEEP_LOCAL
os	2	f67r2	A1_LEFT_LOCAL_FIELD_43|A1_LEFT_LOCAL_FIELD_49	NONE	os	LOCAL_RESIDUAL	NONE	LOKALER NOMENKLATORREST	Sternplatz A1_LEFT_LOCAL_FIELD_43: umschliessendes Diagrammfeld.	KEEP_LOCAL
osar	1	f67r2	A1_RIGHT_PHASE_STATION_07	AR	os	LOCAL_RESIDUAL	NONE	LOKALER NOMENKLATORREST	Radstelle A1_RIGHT_PHASE_STATION_07: Ausgangssektor, Ursprung oder Bezugswert; lokaler Namensrest os.	KEEP_LOCAL
