card_no	surfaces	component_parse	component_count	short_card_default_de	spoken_as_de	old_portable_role_reading_de	old_role_word_count	old_sentence_sized	case_expansion_policy	composition_status	occurrences	sections	records	recitation_kind	spoken_recitation_de	scope_note_de	scope_repair_cost	component_order_preserved	new_whole_card_semantic_value	semantic_component_parse	consolidated_short_default_de	graphic_alias_used
PROC061	chokcheo	OK+CH+E+O	4	ANSETZEN·ABZIEHEN·KURZ·GANG	ansetzen abziehen kurz gang	den Arbeitsgang kurz ansetzen und abziehen	6	YES	USE_OWNER_AND_CASE_LEDGER__NOT_CARD_DICTIONARY	COMPOSITIONAL	1	HERBAL	H5	STRAIGHT_TELEGRAPH_CHAIN	ANSETZEN · ABZIEHEN · KURZ · GANG	Komponenten in sichtbarer Reihenfolge sprechen; nur vor SCHLUSS pausieren.	0	YES	NO	OK+CH+E+O	ANSETZEN·ABZIEHEN·KURZ·GANG	NONE
PROC062	kchal	K+AL	2	ZUFUEHREN·ZIEL	zufuehren ziel	den laufenden Posten an bezeichnete Stelle zuführen	7	YES	USE_OWNER_AND_CASE_LEDGER__NOT_CARD_DICTIONARY	COMPOSITIONAL	1	HERBAL	H5	SHORT_LEFT_TO_RIGHT	ZUFUEHREN · ZIEL	Kurze Karte direkt von links nach rechts sprechen.	0	YES	NO	K+AL	ZUFUEHREN·ZIEL	NONE
PROC063	kchoar	K+HO+AR	3	ZUFUEHREN·GABE·QUELLE	zufuehren gabe quelle	den Gabe von dort zuführen	5	NO	USE_OWNER_AND_CASE_LEDGER__NOT_CARD_DICTIONARY	COMPOSITIONAL	1	HERBAL	H5	SHORT_LEFT_TO_RIGHT	ZUFUEHREN · GABE · QUELLE	Kurze Karte direkt von links nach rechts sprechen.	0	YES	NO	K+HO+AR	ZUFUEHREN·GABE·QUELLE	NONE
PROC064	sotodan	OT+O+AIN	3	DANACH·GANG·PORTION	danach gang portion	danach · Arbeitsgang · Portion	5	NO	USE_OWNER_AND_CASE_LEDGER__NOT_CARD_DICTIONARY	COMPOSITIONAL	1	HERBAL	H5	SHORT_LEFT_TO_RIGHT	DANACH · GANG · PORTION	Kurze Karte direkt von links nach rechts sprechen.	0	YES	NO	OT+O+AIN	DANACH·GANG·PORTION	NONE
PROC065	otchey	OT+Y	2	DANACH·DIES	danach dies	danach · dieser Posten	4	NO	USE_OWNER_AND_CASE_LEDGER__NOT_CARD_DICTIONARY	COMPOSITIONAL	2	HERBAL|BIOLOGICAL	H5|B4	SHORT_LEFT_TO_RIGHT	DANACH · DIES	Kurze Karte direkt von links nach rechts sprechen.	0	YES	NO	OT+Y	DANACH·DIES	NONE
PROC066	keol	K+E+OL	3	ZUFUEHREN·KURZ·FORTSETZEN	zufuehren kurz fortsetzen	fortsetzen den laufenden Posten kurz zuführen	6	YES	USE_OWNER_AND_CASE_LEDGER__NOT_CARD_DICTIONARY	COMPOSITIONAL	1	HERBAL	H5	SHORT_LEFT_TO_RIGHT	ZUFUEHREN · KURZ · FORTSETZEN	Kurze Karte direkt von links nach rechts sprechen.	0	YES	NO	K+E+OL	ZUFUEHREN·KURZ·FORTSETZEN	NONE
PROC067	qokedy	OK+E+DY	3	ANSETZEN·KURZ·SCHLUSS	ansetzen kurz schluss	den laufenden Posten kurz ansetzen; Schritt schließen	7	YES	USE_OWNER_AND_CASE_LEDGER__NOT_CARD_DICTIONARY	COMPOSITIONAL	8	BIOLOGICAL	B1|B3|B4	SHORT_LEFT_TO_RIGHT	ANSETZEN · KURZ; SCHLUSS	Kurze Karte direkt von links nach rechts sprechen.	0	YES	NO	OK+E+DY	ANSETZEN·KURZ·SCHLUSS	NONE
PROC068	kair	K+AIR	2	ZUFUEHREN·LAUF	zufuehren lauf	den laufenden Posten durch laufender Bestand zuführen	7	YES	USE_OWNER_AND_CASE_LEDGER__NOT_CARD_DICTIONARY	COMPOSITIONAL	1	BIOLOGICAL	B1	SHORT_LEFT_TO_RIGHT	ZUFUEHREN · LAUF	Kurze Karte direkt von links nach rechts sprechen.	0	YES	NO	K+AIR	ZUFUEHREN·LAUF	NONE
PROC069	chkain|kain	K+AIN	2	ZUFUEHREN·PORTION	zufuehren portion	den laufenden Posten nach Portion zuführen	6	YES	USE_OWNER_AND_CASE_LEDGER__NOT_CARD_DICTIONARY	COMPOSITIONAL	3	BIOLOGICAL	B1|B3|B4	SHORT_LEFT_TO_RIGHT	ZUFUEHREN · PORTION	Kurze Karte direkt von links nach rechts sprechen.	0	YES	NO	K+AIN	ZUFUEHREN·PORTION	NONE
PROC070	olkain|qolkain	OL+K+AIN	3	FORTSETZEN·ZUFUEHREN·PORTION	fortsetzen zufuehren portion	fortsetzen den laufenden Posten nach Portion zuführen	7	YES	USE_OWNER_AND_CASE_LEDGER__NOT_CARD_DICTIONARY	COMPOSITIONAL	2	BIOLOGICAL	B1|B4	SHORT_LEFT_TO_RIGHT	FORTSETZEN · ZUFUEHREN · PORTION	Kurze Karte direkt von links nach rechts sprechen.	0	YES	NO	OL+K+AIN	FORTSETZEN·ZUFUEHREN·PORTION	NONE
PROC071	rol	R+OL	2	KUEHLEN·FORTSETZEN	kuehlen fortsetzen	fortsetzen den laufenden Posten abkühlen	5	NO	USE_OWNER_AND_CASE_LEDGER__NOT_CARD_DICTIONARY	COMPOSITIONAL	1	BIOLOGICAL	B1	SHORT_LEFT_TO_RIGHT	KUEHLEN · FORTSETZEN	Kurze Karte direkt von links nach rechts sprechen.	0	YES	NO	R+OL	KUEHLEN·FORTSETZEN	NONE
PROC072	dl	L	1	FUEHREN	fuehren	den laufenden Posten führen	4	NO	USE_OWNER_AND_CASE_LEDGER__NOT_CARD_DICTIONARY	COMPOSITIONAL	2	BIOLOGICAL	B1	SHORT_LEFT_TO_RIGHT	FUEHREN	Kurze Karte direkt von links nach rechts sprechen.	0	YES	NO	L	FUEHREN	NONE
PROC073	sheckhal	SH+E+CKH+AL	4	HALTEN·KURZ·DURCHLASS·ZIEL	halten kurz durchlass ziel	den laufenden Posten an bezeichnete Stelle durch Durchlass kurz halten	10	YES	USE_OWNER_AND_CASE_LEDGER__NOT_CARD_DICTIONARY	COMPOSITIONAL	1	BIOLOGICAL	B1	STRAIGHT_TELEGRAPH_CHAIN	HALTEN · KURZ · DURCHLASS · ZIEL	Komponenten in sichtbarer Reihenfolge sprechen; nur vor SCHLUSS pausieren.	0	YES	NO	SH+E+CKH+AL	HALTEN·KURZ·DURCHLASS·ZIEL	NONE
PROC074	qokeedal	OK+EE+AL	3	ANSETZEN·LANG·ZIEL	ansetzen lang ziel	den laufenden Posten an bezeichnete Stelle länger ansetzen	8	YES	USE_OWNER_AND_CASE_LEDGER__NOT_CARD_DICTIONARY	COMPOSITIONAL	1	BIOLOGICAL	B1	SHORT_LEFT_TO_RIGHT	ANSETZEN · LANG · ZIEL	Kurze Karte direkt von links nach rechts sprechen.	0	YES	NO	OK+EE+AL	ANSETZEN·LANG·ZIEL	NONE
PROC075	chckhy|shckhy	CKH+Y	2	DURCHLASS·DIES	durchlass dies	Durchlass · dieser Posten	4	NO	USE_OWNER_AND_CASE_LEDGER__NOT_CARD_DICTIONARY	COMPOSITIONAL	4	BIOLOGICAL	B1|B2	SHORT_LEFT_TO_RIGHT	DURCHLASS · DIES	Kurze Karte direkt von links nach rechts sprechen.	0	YES	NO	CKH+Y	DURCHLASS·DIES	NONE
PROC076	dchedy|schedy|tchedy	CHD+DY	2	UMSETZEN·SCHLUSS	umsetzen schluss	den laufenden Posten umsetzen; Schritt schließen	6	YES	USE_OWNER_AND_CASE_LEDGER__NOT_CARD_DICTIONARY	COMPOSITIONAL	4	BIOLOGICAL	B1|B2|B3	SHORT_LEFT_TO_RIGHT	UMSETZEN; SCHLUSS	Kurze Karte direkt von links nach rechts sprechen.	0	YES	NO	CHD+DY	UMSETZEN·SCHLUSS	NONE
PROC077	sshkchdy	SH+K+CHD+DY	4	HALTEN·ZUFUEHREN·UMSETZEN·SCHLUSS	halten zufuehren umsetzen schluss	den laufenden Posten halten und zuführen und umsetzen; Schritt schließen	10	YES	USE_OWNER_AND_CASE_LEDGER__NOT_CARD_DICTIONARY	COMPOSITIONAL	1	BIOLOGICAL	B1	STRAIGHT_TELEGRAPH_CHAIN	HALTEN · ZUFUEHREN · UMSETZEN; SCHLUSS	Komponenten in sichtbarer Reihenfolge sprechen; nur vor SCHLUSS pausieren.	0	YES	NO	SH+K+CHD+DY	HALTEN·ZUFUEHREN·UMSETZEN·SCHLUSS	NONE
PROC078	cheedy|shedy|tedy	SHED+DY	2	ABSETZEN·SCHLUSS	absetzen schluss	den laufenden Posten absetzen; Schritt schließen	6	YES	USE_OWNER_AND_CASE_LEDGER__NOT_CARD_DICTIONARY	COMPOSITIONAL	12	BIOLOGICAL	B1|B2|B3|B4	SHORT_LEFT_TO_RIGHT	ABSETZEN; SCHLUSS	Kurze Karte direkt von links nach rechts sprechen.	0	YES	NO	SHED+DY	ABSETZEN·SCHLUSS	NONE
PROC079	olchedy|qolchedy	OL+CHD+DY	3	FORTSETZEN·UMSETZEN·SCHLUSS	fortsetzen umsetzen schluss	fortsetzen den laufenden Posten umsetzen; Schritt schließen	7	YES	USE_OWNER_AND_CASE_LEDGER__NOT_CARD_DICTIONARY	COMPOSITIONAL	3	BIOLOGICAL	B1|B2|B3	SHORT_LEFT_TO_RIGHT	FORTSETZEN · UMSETZEN; SCHLUSS	Kurze Karte direkt von links nach rechts sprechen.	0	YES	NO	OL+CHD+DY	FORTSETZEN·UMSETZEN·SCHLUSS	NONE
PROC080	okain|qokain	OK+AIN	2	ANSETZEN·PORTION	ansetzen portion	den laufenden Posten nach Portion ansetzen	6	YES	USE_OWNER_AND_CASE_LEDGER__NOT_CARD_DICTIONARY	COMPOSITIONAL	7	BIOLOGICAL	B1|B2|B3|B4	SHORT_LEFT_TO_RIGHT	ANSETZEN · PORTION	Kurze Karte direkt von links nach rechts sprechen.	0	YES	NO	OK+AIN	ANSETZEN·PORTION	NONE
PROC081	ral	R+AL	2	KUEHLEN·ZIEL	kuehlen ziel	den laufenden Posten an bezeichnete Stelle abkühlen	7	YES	USE_OWNER_AND_CASE_LEDGER__NOT_CARD_DICTIONARY	COMPOSITIONAL	1	BIOLOGICAL	B1	SHORT_LEFT_TO_RIGHT	KUEHLEN · ZIEL	Kurze Karte direkt von links nach rechts sprechen.	0	YES	NO	R+AL	KUEHLEN·ZIEL	NONE
PROC082	qokchdy	OK+CHD+DY	3	ANSETZEN·UMSETZEN·SCHLUSS	ansetzen umsetzen schluss	den laufenden Posten ansetzen und umsetzen; Schritt schließen	8	YES	USE_OWNER_AND_CASE_LEDGER__NOT_CARD_DICTIONARY	COMPOSITIONAL	3	BIOLOGICAL	B1|B3|B5	SHORT_LEFT_TO_RIGHT	ANSETZEN · UMSETZEN; SCHLUSS	Kurze Karte direkt von links nach rechts sprechen.	0	YES	NO	OK+CHD+DY	ANSETZEN·UMSETZEN·SCHLUSS	NONE
PROC083	cheky	CHK+E+Y	3	WAERMEN·KURZ·DIES	waermen kurz dies	diesen Posten kurz wärmen	4	NO	USE_OWNER_AND_CASE_LEDGER__NOT_CARD_DICTIONARY	COMPOSITIONAL	3	BIOLOGICAL	B1|B4	SHORT_LEFT_TO_RIGHT	WAERMEN · KURZ · DIES	Kurze Karte direkt von links nach rechts sprechen.	0	YES	NO	CHK+E+Y	WAERMEN·KURZ·DIES	NONE
PROC084	lsho	LSH+O	2	WASCHEN·GANG	waschen gang	den Arbeitsgang waschen	3	NO	USE_OWNER_AND_CASE_LEDGER__NOT_CARD_DICTIONARY	COMPOSITIONAL	1	BIOLOGICAL	B1	SHORT_LEFT_TO_RIGHT	WASCHEN · GANG	Kurze Karte direkt von links nach rechts sprechen.	0	YES	NO	LSH+O	WASCHEN·GANG	NONE
PROC085	okey|qokey	OK+E+Y	3	ANSETZEN·KURZ·DIES	ansetzen kurz dies	diesen Posten kurz ansetzen	4	NO	USE_OWNER_AND_CASE_LEDGER__NOT_CARD_DICTIONARY	COMPOSITIONAL	2	BIOLOGICAL	B1|B2	SHORT_LEFT_TO_RIGHT	ANSETZEN · KURZ · DIES	Kurze Karte direkt von links nach rechts sprechen.	0	YES	NO	OK+E+Y	ANSETZEN·KURZ·DIES	NONE
PROC086	lshedy	LSH+E+DY	3	WASCHEN·KURZ·SCHLUSS	waschen kurz schluss	den laufenden Posten kurz waschen; Schritt schließen	7	YES	USE_OWNER_AND_CASE_LEDGER__NOT_CARD_DICTIONARY	COMPOSITIONAL	2	BIOLOGICAL	B1	SHORT_LEFT_TO_RIGHT	WASCHEN · KURZ; SCHLUSS	Kurze Karte direkt von links nach rechts sprechen.	0	YES	NO	LSH+E+DY	WASCHEN·KURZ·SCHLUSS	NONE
PROC087	qolky	SOLK+Y	2	AUFFANGEN·DIES	auffangen dies	diesen Posten auffangen	3	NO	USE_OWNER_AND_CASE_LEDGER__NOT_CARD_DICTIONARY	COMPOSITIONAL	1	BIOLOGICAL	B1	SHORT_LEFT_TO_RIGHT	AUFFANGEN · DIES	Kurze Karte direkt von links nach rechts sprechen.	0	YES	NO	SOLK+Y	AUFFANGEN·DIES	NONE
PROC088	lchedal	L+CHD+AL	3	FUEHREN·UMSETZEN·ZIEL	fuehren umsetzen ziel	den laufenden Posten an bezeichnete Stelle führen und umsetzen	9	YES	USE_OWNER_AND_CASE_LEDGER__NOT_CARD_DICTIONARY	COMPOSITIONAL	1	BIOLOGICAL	B1	SHORT_LEFT_TO_RIGHT	FUEHREN · UMSETZEN · ZIEL	Kurze Karte direkt von links nach rechts sprechen.	0	YES	NO	L+CHD+AL	FUEHREN·UMSETZEN·ZIEL	NONE
PROC089	otar	OT+AR	2	DANACH·QUELLE	danach quelle	danach · von dort	4	NO	USE_OWNER_AND_CASE_LEDGER__NOT_CARD_DICTIONARY	COMPOSITIONAL	1	BIOLOGICAL	B1	SHORT_LEFT_TO_RIGHT	DANACH · QUELLE	Kurze Karte direkt von links nach rechts sprechen.	0	YES	NO	OT+AR	DANACH·QUELLE	NONE
PROC090	ytey	T+E+Y	3	EINTRAGEN·KURZ·DIES	eintragen kurz dies	diesen Posten kurz eintragen	4	NO	USE_OWNER_AND_CASE_LEDGER__NOT_CARD_DICTIONARY	COMPOSITIONAL	1	BIOLOGICAL	B1	SHORT_LEFT_TO_RIGHT	EINTRAGEN · KURZ · DIES	Kurze Karte direkt von links nach rechts sprechen.	0	YES	NO	T+E+Y	EINTRAGEN·KURZ·DIES	NONE
PROC091	okchedy|qokchedy	OK+CHD+DY	3	ANSETZEN·UMSETZEN·SCHLUSS	ansetzen umsetzen schluss	den laufenden Posten ansetzen und umsetzen; Schritt schließen	8	YES	USE_OWNER_AND_CASE_LEDGER__NOT_CARD_DICTIONARY	COMPOSITIONAL	2	BIOLOGICAL	B1|B3	SHORT_LEFT_TO_RIGHT	ANSETZEN · UMSETZEN; SCHLUSS	Kurze Karte direkt von links nach rechts sprechen.	0	YES	NO	OK+CHD+DY	ANSETZEN·UMSETZEN·SCHLUSS	NONE
PROC092	okeey|qokeey	OK+EE+Y	3	ANSETZEN·LANG·DIES	ansetzen lang dies	diesen Posten länger ansetzen	4	NO	USE_OWNER_AND_CASE_LEDGER__NOT_CARD_DICTIONARY	COMPOSITIONAL	7	BIOLOGICAL	B1|B2|B3|B4	SHORT_LEFT_TO_RIGHT	ANSETZEN · LANG · DIES	Kurze Karte direkt von links nach rechts sprechen.	0	YES	NO	OK+EE+Y	ANSETZEN·LANG·DIES	NONE
PROC093	teol	E+OL	2	KURZ·FORTSETZEN	kurz fortsetzen	kurz · fortsetzen	3	NO	USE_OWNER_AND_CASE_LEDGER__NOT_CARD_DICTIONARY	COMPOSITIONAL	1	BIOLOGICAL	B1	SHORT_LEFT_TO_RIGHT	KURZ · FORTSETZEN	Kurze Karte direkt von links nach rechts sprechen.	0	YES	NO	E+OL	KURZ·FORTSETZEN	NONE
PROC094	dchdy	CHD+DY	2	UMSETZEN·SCHLUSS	umsetzen schluss	den laufenden Posten umsetzen; Schritt schließen	6	YES	USE_OWNER_AND_CASE_LEDGER__NOT_CARD_DICTIONARY	COMPOSITIONAL	1	BIOLOGICAL	B1	SHORT_LEFT_TO_RIGHT	UMSETZEN; SCHLUSS	Kurze Karte direkt von links nach rechts sprechen.	0	YES	NO	CHD+DY	UMSETZEN·SCHLUSS	NONE
PROC095	ly	L+Y	2	FUEHREN·DIES	fuehren dies	diesen Posten führen	3	NO	USE_OWNER_AND_CASE_LEDGER__NOT_CARD_DICTIONARY	COMPOSITIONAL	1	BIOLOGICAL	B1	SHORT_LEFT_TO_RIGHT	FUEHREN · DIES	Kurze Karte direkt von links nach rechts sprechen.	0	YES	NO	L+Y	FUEHREN·DIES	NONE
PROC096	dsheol	SH+E+OL	3	HALTEN·KURZ·FORTSETZEN	halten kurz fortsetzen	fortsetzen den laufenden Posten kurz halten	6	YES	USE_OWNER_AND_CASE_LEDGER__NOT_CARD_DICTIONARY	COMPOSITIONAL	1	BIOLOGICAL	B1	SHORT_LEFT_TO_RIGHT	HALTEN · KURZ · FORTSETZEN	Kurze Karte direkt von links nach rechts sprechen.	0	YES	NO	SH+E+OL	HALTEN·KURZ·FORTSETZEN	NONE
PROC097	oiiin|soiiin	O+IIN	2	GANG·STUFE	gang stufe	Arbeitsgang · Sollstufe	3	NO	USE_OWNER_AND_CASE_LEDGER__NOT_CARD_DICTIONARY	COMPOSITIONAL	2	BIOLOGICAL	B1|B3	SHORT_LEFT_TO_RIGHT	GANG · STUFE	Kurze Karte direkt von links nach rechts sprechen.	0	YES	NO	O+IIN	GANG·STUFE	NONE
PROC098	olkeedy|solkeedy	SOLK+EE+DY	3	AUFFANGEN·LANG·SCHLUSS	auffangen lang schluss	den laufenden Posten länger auffangen; Schritt schließen	7	YES	USE_OWNER_AND_CASE_LEDGER__NOT_CARD_DICTIONARY	COMPOSITIONAL	3	BIOLOGICAL	B1|B3	SHORT_LEFT_TO_RIGHT	AUFFANGEN · LANG; SCHLUSS	Kurze Karte direkt von links nach rechts sprechen.	0	YES	NO	SOLK+EE+DY	AUFFANGEN·LANG·SCHLUSS	NONE
PROC099	shckhedy	SH+CKH+E+DY	4	HALTEN·DURCHLASS·KURZ·SCHLUSS	halten durchlass kurz schluss	den laufenden Posten durch Durchlass kurz halten; Schritt schließen	9	YES	USE_OWNER_AND_CASE_LEDGER__NOT_CARD_DICTIONARY	COMPOSITIONAL	3	BIOLOGICAL	B1|B4	STRAIGHT_TELEGRAPH_CHAIN	HALTEN · DURCHLASS · KURZ; SCHLUSS	Komponenten in sichtbarer Reihenfolge sprechen; nur vor SCHLUSS pausieren.	0	YES	NO	SH+CKH+E+DY	HALTEN·DURCHLASS·KURZ·SCHLUSS	NONE
PROC100	qokeedy	OK+EE+DY	3	ANSETZEN·LANG·SCHLUSS	ansetzen lang schluss	den laufenden Posten länger ansetzen; Schritt schließen	7	YES	USE_OWNER_AND_CASE_LEDGER__NOT_CARD_DICTIONARY	COMPOSITIONAL	10	BIOLOGICAL	B2|B3|B4	SHORT_LEFT_TO_RIGHT	ANSETZEN · LANG; SCHLUSS	Kurze Karte direkt von links nach rechts sprechen.	0	YES	NO	OK+EE+DY	ANSETZEN·LANG·SCHLUSS	NONE
PROC101	lcheckhy	L+CKH+Y	3	FUEHREN·DURCHLASS·DIES	fuehren durchlass dies	diesen Posten durch Durchlass führen	5	NO	USE_OWNER_AND_CASE_LEDGER__NOT_CARD_DICTIONARY	COMPOSITIONAL	1	BIOLOGICAL	B2	SHORT_LEFT_TO_RIGHT	FUEHREN · DURCHLASS · DIES	Kurze Karte direkt von links nach rechts sprechen.	0	YES	NO	L+CKH+Y	FUEHREN·DURCHLASS·DIES	NONE
PROC102	lched	L+CHD	2	FUEHREN·UMSETZEN	fuehren umsetzen	den laufenden Posten führen und umsetzen	6	YES	USE_OWNER_AND_CASE_LEDGER__NOT_CARD_DICTIONARY	COMPOSITIONAL	1	BIOLOGICAL	B2	SHORT_LEFT_TO_RIGHT	FUEHREN · UMSETZEN	Kurze Karte direkt von links nach rechts sprechen.	0	YES	NO	L+CHD	FUEHREN·UMSETZEN	NONE
PROC103	lcheckhedy	L+CKH+E+DY	4	FUEHREN·DURCHLASS·KURZ·SCHLUSS	fuehren durchlass kurz schluss	den laufenden Posten durch Durchlass kurz führen; Schritt schließen	9	YES	USE_OWNER_AND_CASE_LEDGER__NOT_CARD_DICTIONARY	COMPOSITIONAL	1	BIOLOGICAL	B2	STRAIGHT_TELEGRAPH_CHAIN	FUEHREN · DURCHLASS · KURZ; SCHLUSS	Komponenten in sichtbarer Reihenfolge sprechen; nur vor SCHLUSS pausieren.	0	YES	NO	L+CKH+E+DY	FUEHREN·DURCHLASS·KURZ·SCHLUSS	NONE
PROC104	qokaly	OK+AL+Y	3	ANSETZEN·ZIEL·DIES	ansetzen ziel dies	diesen Posten an bezeichnete Stelle ansetzen	6	YES	USE_OWNER_AND_CASE_LEDGER__NOT_CARD_DICTIONARY	COMPOSITIONAL	1	BIOLOGICAL	B2	SHORT_LEFT_TO_RIGHT	ANSETZEN · ZIEL · DIES	Kurze Karte direkt von links nach rechts sprechen.	0	YES	NO	OK+AL+Y	ANSETZEN·ZIEL·DIES	NONE
PROC105	solkaiin	SOLK+AIIN	2	AUFFANGEN·MASS	auffangen mass	den laufenden Posten nach vorgeschriebenes Maß auffangen	7	YES	USE_OWNER_AND_CASE_LEDGER__NOT_CARD_DICTIONARY	COMPOSITIONAL	1	BIOLOGICAL	B2	SHORT_LEFT_TO_RIGHT	AUFFANGEN · MASS	Kurze Karte direkt von links nach rechts sprechen.	0	YES	NO	SOLK+AIIN	AUFFANGEN·MASS	NONE
PROC106	octheol	O+CTH+E+OL	4	GANG·BEREIT·KURZ·FORTSETZEN	gang bereit kurz fortsetzen	Arbeitsgang · bereit · kurz · fortsetzen	7	YES	USE_OWNER_AND_CASE_LEDGER__NOT_CARD_DICTIONARY	COMPOSITIONAL	1	BIOLOGICAL	B2	STRAIGHT_TELEGRAPH_CHAIN	GANG · BEREIT · KURZ · FORTSETZEN	Komponenten in sichtbarer Reihenfolge sprechen; nur vor SCHLUSS pausieren.	0	YES	NO	O+CTH+E+OL	GANG·BEREIT·KURZ·FORTSETZEN	NONE
PROC107	chkeey	CHK+EE+Y	3	WAERMEN·LANG·DIES	waermen lang dies	diesen Posten länger wärmen	4	NO	USE_OWNER_AND_CASE_LEDGER__NOT_CARD_DICTIONARY	COMPOSITIONAL	1	BIOLOGICAL	B2	SHORT_LEFT_TO_RIGHT	WAERMEN · LANG · DIES	Kurze Karte direkt von links nach rechts sprechen.	0	YES	NO	CHK+EE+Y	WAERMEN·LANG·DIES	NONE
PROC108	ldy	L+DY	2	FUEHREN·SCHLUSS	fuehren schluss	den laufenden Posten führen; Schritt schließen	6	YES	USE_OWNER_AND_CASE_LEDGER__NOT_CARD_DICTIONARY	COMPOSITIONAL	2	BIOLOGICAL	B2|B3	SHORT_LEFT_TO_RIGHT	FUEHREN; SCHLUSS	Kurze Karte direkt von links nach rechts sprechen.	0	YES	NO	L+DY	FUEHREN·SCHLUSS	NONE
PROC109	oteey	OT+EE+Y	3	DANACH·LANG·DIES	danach lang dies	danach · länger · dieser Posten	6	YES	USE_OWNER_AND_CASE_LEDGER__NOT_CARD_DICTIONARY	COMPOSITIONAL	2	BIOLOGICAL	B2	SHORT_LEFT_TO_RIGHT	DANACH · LANG · DIES	Kurze Karte direkt von links nach rechts sprechen.	0	YES	NO	OT+EE+Y	DANACH·LANG·DIES	NONE
PROC110	sheckhy	SH+E+CKH+Y	4	HALTEN·KURZ·DURCHLASS·DIES	halten kurz durchlass dies	diesen Posten durch Durchlass kurz halten	6	YES	USE_OWNER_AND_CASE_LEDGER__NOT_CARD_DICTIONARY	COMPOSITIONAL	1	BIOLOGICAL	B2	STRAIGHT_TELEGRAPH_CHAIN	HALTEN · KURZ · DURCHLASS · DIES	Komponenten in sichtbarer Reihenfolge sprechen; nur vor SCHLUSS pausieren.	0	YES	NO	SH+E+CKH+Y	HALTEN·KURZ·DURCHLASS·DIES	NONE
PROC111	dshedy	SH+E+DY	3	HALTEN·KURZ·SCHLUSS	halten kurz schluss	den laufenden Posten kurz halten; Schritt schließen	7	YES	USE_OWNER_AND_CASE_LEDGER__NOT_CARD_DICTIONARY	COMPOSITIONAL	1	BIOLOGICAL	B2	SHORT_LEFT_TO_RIGHT	HALTEN · KURZ; SCHLUSS	Kurze Karte direkt von links nach rechts sprechen.	0	YES	NO	SH+E+DY	HALTEN·KURZ·SCHLUSS	NONE
PROC112	otaiin|sotaiin	OT+AIIN	2	DANACH·MASS	danach mass	danach · vorgeschriebenes Maß	4	NO	USE_OWNER_AND_CASE_LEDGER__NOT_CARD_DICTIONARY	COMPOSITIONAL	3	BIOLOGICAL	B2|B3	SHORT_LEFT_TO_RIGHT	DANACH · MASS	Kurze Karte direkt von links nach rechts sprechen.	0	YES	NO	OT+AIIN	DANACH·MASS	NONE
PROC113	qokar	OK+AR	2	ANSETZEN·QUELLE	ansetzen quelle	den laufenden Posten von dort ansetzen	6	YES	USE_OWNER_AND_CASE_LEDGER__NOT_CARD_DICTIONARY	COMPOSITIONAL	1	BIOLOGICAL	B2	SHORT_LEFT_TO_RIGHT	ANSETZEN · QUELLE	Kurze Karte direkt von links nach rechts sprechen.	0	YES	NO	OK+AR	ANSETZEN·QUELLE	NONE
PROC114	solshedy	OL+SH+E+DY	4	FORTSETZEN·HALTEN·KURZ·SCHLUSS	fortsetzen halten kurz schluss	fortsetzen den laufenden Posten kurz halten; Schritt schließen	8	YES	USE_OWNER_AND_CASE_LEDGER__NOT_CARD_DICTIONARY	COMPOSITIONAL	1	BIOLOGICAL	B2	STRAIGHT_TELEGRAPH_CHAIN	FORTSETZEN · HALTEN · KURZ; SCHLUSS	Komponenten in sichtbarer Reihenfolge sprechen; nur vor SCHLUSS pausieren.	0	YES	NO	OL+SH+E+DY	FORTSETZEN·HALTEN·KURZ·SCHLUSS	NONE
PROC115	ls	LS	1	WEITER	weiter	weiter	1	NO	USE_OWNER_AND_CASE_LEDGER__NOT_CARD_DICTIONARY	LEARNED_WHOLE_CARD	1	BIOLOGICAL	B2	SHORT_LEFT_TO_RIGHT	WEITER	Kurze Karte direkt von links nach rechts sprechen.	0	YES	NO	OL	FORTSETZEN	LS_TO_OL
PROC116	lchy	L+CH+Y	3	FUEHREN·ABZIEHEN·DIES	fuehren abziehen dies	diesen Posten führen und abziehen	5	NO	USE_OWNER_AND_CASE_LEDGER__NOT_CARD_DICTIONARY	COMPOSITIONAL	1	BIOLOGICAL	B2	SHORT_LEFT_TO_RIGHT	FUEHREN · ABZIEHEN · DIES	Kurze Karte direkt von links nach rechts sprechen.	0	YES	NO	L+CH+Y	FUEHREN·ABZIEHEN·DIES	NONE
PROC117	qcthey|shcthey	CTH+E+Y	3	BEREIT·KURZ·DIES	bereit kurz dies	bereit · kurz · dieser Posten	6	YES	USE_OWNER_AND_CASE_LEDGER__NOT_CARD_DICTIONARY	COMPOSITIONAL	2	BIOLOGICAL	B2|B3	SHORT_LEFT_TO_RIGHT	BEREIT · KURZ · DIES	Kurze Karte direkt von links nach rechts sprechen.	0	YES	NO	CTH+E+Y	BEREIT·KURZ·DIES	NONE
PROC118	lcheey	L+EE+Y	3	FUEHREN·LANG·DIES	fuehren lang dies	diesen Posten länger führen	4	NO	USE_OWNER_AND_CASE_LEDGER__NOT_CARD_DICTIONARY	COMPOSITIONAL	1	BIOLOGICAL	B2	SHORT_LEFT_TO_RIGHT	FUEHREN · LANG · DIES	Kurze Karte direkt von links nach rechts sprechen.	0	YES	NO	L+EE+Y	FUEHREN·LANG·DIES	NONE
