unified_serial	register	page	unit_or_locus	source_group_identity	visible_identity	owner_or_namespace	construction_or_address	current_short_reading	content_layer
115	BIOLOGICAL_PROSE	f81v	B1-S002	E115	sheckhal	B1_SHARED_TWO_ROW_POOL	C03	Führe aus und beachte Dauer oder Endpunkt: kurz zur Zielstelle durchleiten.	VISIBLE_LOCAL_STATION_PLUS_WORKSHOP_DICTIONARY_PLUS_MASTER_ACTION
116	BIOLOGICAL_PROSE	f81v	B1-S002	E116	daiin	B1_SHARED_TWO_ROW_POOL	C10	Setze Maß, Portion oder Stufe: Sollmaß.	VISIBLE_LOCAL_STATION_PLUS_WORKSHOP_DICTIONARY_PLUS_MASTER_ACTION
117	BIOLOGICAL_PROSE	f81v	B1-S002	E117	qokeedal	B1_SHARED_TWO_ROW_POOL	C03	Führe aus und beachte Dauer oder Endpunkt: dort länger halten.	VISIBLE_LOCAL_STATION_PLUS_WORKSHOP_DICTIONARY_PLUS_MASTER_ACTION
118	BIOLOGICAL_PROSE	f81v	B1-S002	E118	daiin	B1_SHARED_TWO_ROW_POOL	C10	Setze Maß, Portion oder Stufe: Sollmaß.	VISIBLE_LOCAL_STATION_PLUS_WORKSHOP_DICTIONARY_PLUS_MASTER_ACTION
119	BIOLOGICAL_PROSE	f81v	B1-S002	E119	chckhy	B1_SHARED_TWO_ROW_POOL	C07	Führe es mit diesem laufenden Posten aus: durchleiten.	VISIBLE_LOCAL_STATION_PLUS_WORKSHOP_DICTIONARY_PLUS_MASTER_ACTION
120	BIOLOGICAL_PROSE	f81v	B1-S002	E120	schedy	B1_SHARED_TWO_ROW_POOL	C08	Führe die Handlung aus; schließe nur bei Endkarte: Posten überführen; Schluss.	VISIBLE_LOCAL_STATION_PLUS_WORKSHOP_DICTIONARY_PLUS_MASTER_ACTION
121	BIOLOGICAL_PROSE	f81v	B1-S003	E121	qol	B1_SHARED_TWO_ROW_POOL	C02	Danach oder in demselben Gang: fortsetzen.	VISIBLE_LOCAL_STATION_PLUS_WORKSHOP_DICTIONARY_PLUS_MASTER_ACTION
122	BIOLOGICAL_PROSE	f81v	B1-S003	E122	sshkchdy	B1_SHARED_TWO_ROW_POOL	C08	Führe die Handlung aus; schließe nur bei Endkarte: im Arbeitsgang schwenken; Schluss.	VISIBLE_LOCAL_STATION_PLUS_WORKSHOP_DICTIONARY_PLUS_MASTER_ACTION
123	BIOLOGICAL_PROSE	f81v	B1-S004	E123	chedy	B1_SHARED_TWO_ROW_POOL	C07	Führe es mit diesem laufenden Posten aus: laufenden Posten umsetzen.	VISIBLE_LOCAL_STATION_PLUS_WORKSHOP_DICTIONARY_PLUS_MASTER_ACTION
124	BIOLOGICAL_PROSE	f81v	B1-S004	E124	ol	B1_SHARED_TWO_ROW_POOL	C02	Danach oder in demselben Gang: fortsetzen.	VISIBLE_LOCAL_STATION_PLUS_WORKSHOP_DICTIONARY_PLUS_MASTER_ACTION
125	BIOLOGICAL_PROSE	f81v	B1-S004	E125	shedy	B1_SHARED_TWO_ROW_POOL	C03	Führe aus und beachte Dauer oder Endpunkt: kurz absetzen lassen; Schluss.	VISIBLE_LOCAL_STATION_PLUS_WORKSHOP_DICTIONARY_PLUS_MASTER_ACTION
126	BIOLOGICAL_PROSE	f81v	B1-S005	E126	qolchedy	B1_SHARED_TWO_ROW_POOL	C02	Danach oder in demselben Gang: weiterüberführen; Schluss.	VISIBLE_LOCAL_STATION_PLUS_WORKSHOP_DICTIONARY_PLUS_MASTER_ACTION
127	BIOLOGICAL_PROSE	f81v	B1-S006	E127	qokain	B1_SHARED_TWO_ROW_POOL	C06	Führe es in der angegebenen Portion oder Stufe aus: eine Portion zugeben.	VISIBLE_LOCAL_STATION_PLUS_WORKSHOP_DICTIONARY_PLUS_MASTER_ACTION
128	BIOLOGICAL_PROSE	f81v	B1-S006	E128	shckhy	B1_SHARED_TWO_ROW_POOL	C07	Führe es mit diesem laufenden Posten aus: durchleiten.	VISIBLE_LOCAL_STATION_PLUS_WORKSHOP_DICTIONARY_PLUS_MASTER_ACTION
129	BIOLOGICAL_PROSE	f81v	B1-S006	E129	dl	B1_SHARED_TWO_ROW_POOL	C01	Setze die gelernte Fachkarte: Zusatz.	VISIBLE_LOCAL_STATION_PLUS_WORKSHOP_DICTIONARY_PLUS_MASTER_ACTION
130	BIOLOGICAL_PROSE	f81v	B1-S006	E130	ral	B1_SHARED_TWO_ROW_POOL	C11	Setze die bezeichnete Zielstelle: zur Zielstelle.	VISIBLE_LOCAL_STATION_PLUS_WORKSHOP_DICTIONARY_PLUS_MASTER_ACTION
131	BIOLOGICAL_PROSE	f81v	B1-S007	E131	qokchdy	B1_SHARED_TWO_ROW_POOL	C08	Führe die Handlung aus; schließe nur bei Endkarte: Umsetzung ansetzen; Schluss.	VISIBLE_LOCAL_STATION_PLUS_WORKSHOP_DICTIONARY_PLUS_MASTER_ACTION
132	BIOLOGICAL_PROSE	f81v	B1-S008	E132	chey	B1_SHARED_TWO_ROW_POOL	C12	Nimm diesen Posten wieder auf: dieser Posten.	VISIBLE_LOCAL_STATION_PLUS_WORKSHOP_DICTIONARY_PLUS_MASTER_ACTION
133	BIOLOGICAL_PROSE	f81v	B1-S008	E133	ol	B1_SHARED_TWO_ROW_POOL	C02	Danach oder in demselben Gang: fortsetzen.	VISIBLE_LOCAL_STATION_PLUS_WORKSHOP_DICTIONARY_PLUS_MASTER_ACTION
134	BIOLOGICAL_PROSE	f81v	B1-S008	E134	cheky	B1_SHARED_TWO_ROW_POOL	C03	Führe aus und beachte Dauer oder Endpunkt: kurz wärmen.	VISIBLE_LOCAL_STATION_PLUS_WORKSHOP_DICTIONARY_PLUS_MASTER_ACTION
135	BIOLOGICAL_PROSE	f81v	B1-S008	E135	ol	B1_SHARED_TWO_ROW_POOL	C02	Danach oder in demselben Gang: fortsetzen.	VISIBLE_LOCAL_STATION_PLUS_WORKSHOP_DICTIONARY_PLUS_MASTER_ACTION
136	BIOLOGICAL_PROSE	f81v	B1-S008	E136	shedy	B1_SHARED_TWO_ROW_POOL	C03	Führe aus und beachte Dauer oder Endpunkt: kurz absetzen lassen; Schluss.	VISIBLE_LOCAL_STATION_PLUS_WORKSHOP_DICTIONARY_PLUS_MASTER_ACTION
137	BIOLOGICAL_PROSE	f81v	B1-S009	E137	qokedy	B1_SHARED_TWO_ROW_POOL	C03	Führe aus und beachte Dauer oder Endpunkt: kurz ansetzen; Schluss.	VISIBLE_LOCAL_STATION_PLUS_WORKSHOP_DICTIONARY_PLUS_MASTER_ACTION
138	BIOLOGICAL_PROSE	f81v	B1-S010	E138	qokedy	B1_SHARED_TWO_ROW_POOL	C03	Führe aus und beachte Dauer oder Endpunkt: kurz ansetzen; Schluss.	VISIBLE_LOCAL_STATION_PLUS_WORKSHOP_DICTIONARY_PLUS_MASTER_ACTION
139	BIOLOGICAL_PROSE	f81v	B1-S011	E139	chckhy	B1_SHARED_TWO_ROW_POOL	C07	Führe es mit diesem laufenden Posten aus: durchleiten.	VISIBLE_LOCAL_STATION_PLUS_WORKSHOP_DICTIONARY_PLUS_MASTER_ACTION
140	BIOLOGICAL_PROSE	f81v	B1-S011	E140	qoky	B1_SHARED_TWO_ROW_POOL	C07	Führe es mit diesem laufenden Posten aus: aktuellen Posten ansetzen.	VISIBLE_LOCAL_STATION_PLUS_WORKSHOP_DICTIONARY_PLUS_MASTER_ACTION
141	BIOLOGICAL_PROSE	f81v	B1-S012	E141	lsho	B1_SHARED_TWO_ROW_POOL	C01	Setze die gelernte Fachkarte: Waschgang beginnen.	VISIBLE_LOCAL_STATION_PLUS_WORKSHOP_DICTIONARY_PLUS_MASTER_ACTION
142	BIOLOGICAL_PROSE	f81v	B1-S012	E142	qokey	B1_SHARED_TWO_ROW_POOL	C03	Führe aus und beachte Dauer oder Endpunkt: kurz ansetzen.	VISIBLE_LOCAL_STATION_PLUS_WORKSHOP_DICTIONARY_PLUS_MASTER_ACTION
143	BIOLOGICAL_PROSE	f81v	B1-S012	E143	lshedy	B1_SHARED_TWO_ROW_POOL	C08	Führe die Handlung aus; schließe nur bei Endkarte: waschen; Schluss.	VISIBLE_LOCAL_STATION_PLUS_WORKSHOP_DICTIONARY_PLUS_MASTER_ACTION
144	BIOLOGICAL_PROSE	f81v	B1-S013	E144	lshedy	B1_SHARED_TWO_ROW_POOL	C08	Führe die Handlung aus; schließe nur bei Endkarte: waschen; Schluss.	VISIBLE_LOCAL_STATION_PLUS_WORKSHOP_DICTIONARY_PLUS_MASTER_ACTION
145	BIOLOGICAL_PROSE	f81v	B1-S014	E145	chedy	B1_SHARED_TWO_ROW_POOL	C07	Führe es mit diesem laufenden Posten aus: laufenden Posten umsetzen.	VISIBLE_LOCAL_STATION_PLUS_WORKSHOP_DICTIONARY_PLUS_MASTER_ACTION
146	BIOLOGICAL_PROSE	f81v	B1-S014	E146	qolky	B1_SHARED_TWO_ROW_POOL	C02	Danach oder in demselben Gang: auf dem Arbeitsweg weiterleiten.	VISIBLE_LOCAL_STATION_PLUS_WORKSHOP_DICTIONARY_PLUS_MASTER_ACTION
147	BIOLOGICAL_PROSE	f81v	B1-S014	E147	lchedal	B1_SHARED_TWO_ROW_POOL	C01	Setze die gelernte Fachkarte: zur Ablaufstelle führen.	VISIBLE_LOCAL_STATION_PLUS_WORKSHOP_DICTIONARY_PLUS_MASTER_ACTION
148	BIOLOGICAL_PROSE	f81v	B1-S014	E148	qol	B1_SHARED_TWO_ROW_POOL	C02	Danach oder in demselben Gang: fortsetzen.	VISIBLE_LOCAL_STATION_PLUS_WORKSHOP_DICTIONARY_PLUS_MASTER_ACTION
149	BIOLOGICAL_PROSE	f81v	B1-S014	E149	otar	B1_SHARED_TWO_ROW_POOL	C02	Danach oder in demselben Gang: danach von dort.	VISIBLE_LOCAL_STATION_PLUS_WORKSHOP_DICTIONARY_PLUS_MASTER_ACTION
150	BIOLOGICAL_PROSE	f81v	B1-S015	E150	ytey	B1_SHARED_TWO_ROW_POOL	C10	Setze Maß, Portion oder Stufe: kurzen Teil des aktuellen Postens nehmen.	VISIBLE_LOCAL_STATION_PLUS_WORKSHOP_DICTIONARY_PLUS_MASTER_ACTION
151	BIOLOGICAL_PROSE	f81v	B1-S015	E151	okchedy	B1_SHARED_TWO_ROW_POOL	C08	Führe die Handlung aus; schließe nur bei Endkarte: angesetzten Inhalt überführen; Schluss.	VISIBLE_LOCAL_STATION_PLUS_WORKSHOP_DICTIONARY_PLUS_MASTER_ACTION
152	BIOLOGICAL_PROSE	f81v	B1-S016	E152	qokal	B1_SHARED_TWO_ROW_POOL	C04	Führe es an der bezeichneten Stelle aus: dort ansetzen.	VISIBLE_LOCAL_STATION_PLUS_WORKSHOP_DICTIONARY_PLUS_MASTER_ACTION
153	BIOLOGICAL_PROSE	f81v	B1-S016	E153	okeey	B1_SHARED_TWO_ROW_POOL	C03	Führe aus und beachte Dauer oder Endpunkt: länger ansetzen.	VISIBLE_LOCAL_STATION_PLUS_WORKSHOP_DICTIONARY_PLUS_MASTER_ACTION
154	BIOLOGICAL_PROSE	f81v	B1-S016	E154	qol	B1_SHARED_TWO_ROW_POOL	C02	Danach oder in demselben Gang: fortsetzen.	VISIBLE_LOCAL_STATION_PLUS_WORKSHOP_DICTIONARY_PLUS_MASTER_ACTION
155	BIOLOGICAL_PROSE	f81v	B1-S016	E155	cheedy	B1_SHARED_TWO_ROW_POOL	C03	Führe aus und beachte Dauer oder Endpunkt: kurz absetzen lassen; Schluss.	VISIBLE_LOCAL_STATION_PLUS_WORKSHOP_DICTIONARY_PLUS_MASTER_ACTION
156	BIOLOGICAL_PROSE	f81v	B1-S017	E156	sal	B1_SHARED_TWO_ROW_POOL	C11	Setze die bezeichnete Zielstelle: dorthin.	VISIBLE_LOCAL_STATION_PLUS_WORKSHOP_DICTIONARY_PLUS_MASTER_ACTION
157	BIOLOGICAL_PROSE	f81v	B1-S017	E157	teol	B1_SHARED_TWO_ROW_POOL	C02	Danach oder in demselben Gang: kurz weiterleiten.	VISIBLE_LOCAL_STATION_PLUS_WORKSHOP_DICTIONARY_PLUS_MASTER_ACTION
158	BIOLOGICAL_PROSE	f81v	B1-S017	E158	dchdy	B1_SHARED_TWO_ROW_POOL	C08	Führe die Handlung aus; schließe nur bei Endkarte: weitergeführten Posten überführen; Schluss.	VISIBLE_LOCAL_STATION_PLUS_WORKSHOP_DICTIONARY_PLUS_MASTER_ACTION
159	BIOLOGICAL_PROSE	f81v	B1-S018	E159	ly	B1_SHARED_TWO_ROW_POOL	C01	Setze die gelernte Fachkarte: aktuellen Posten abführen.	VISIBLE_LOCAL_STATION_PLUS_WORKSHOP_DICTIONARY_PLUS_MASTER_ACTION
160	BIOLOGICAL_PROSE	f81v	B1-S018	E160	dsheol	B1_SHARED_TWO_ROW_POOL	C02	Danach oder in demselben Gang: kurz weiter ruhen lassen.	VISIBLE_LOCAL_STATION_PLUS_WORKSHOP_DICTIONARY_PLUS_MASTER_ACTION
161	BIOLOGICAL_PROSE	f81v	B1-S018	E161	oiiin	B1_SHARED_TWO_ROW_POOL	C10	Setze Maß, Portion oder Stufe: Sollstufe.	VISIBLE_LOCAL_STATION_PLUS_WORKSHOP_DICTIONARY_PLUS_MASTER_ACTION
162	BIOLOGICAL_PROSE	f81v	B1-S018	E162	olkeedy	B1_SHARED_TWO_ROW_POOL	C03	Führe aus und beachte Dauer oder Endpunkt: länger sammeln; Schluss.	VISIBLE_LOCAL_STATION_PLUS_WORKSHOP_DICTIONARY_PLUS_MASTER_ACTION
163	BIOLOGICAL_PROSE	f81v	B1-S019	E163	tedy	B1_SHARED_TWO_ROW_POOL	C03	Führe aus und beachte Dauer oder Endpunkt: kurz absetzen lassen; Schluss.	VISIBLE_LOCAL_STATION_PLUS_WORKSHOP_DICTIONARY_PLUS_MASTER_ACTION
164	BIOLOGICAL_PROSE	f81v	B1-S020	E164	cheky	B1_SHARED_TWO_ROW_POOL	C03	Führe aus und beachte Dauer oder Endpunkt: kurz wärmen.	VISIBLE_LOCAL_STATION_PLUS_WORKSHOP_DICTIONARY_PLUS_MASTER_ACTION
165	BIOLOGICAL_PROSE	f81v	B1-S020	E165	shckhedy	B1_SHARED_TWO_ROW_POOL	C08	Führe die Handlung aus; schließe nur bei Endkarte: seihen; Schluss.	VISIBLE_LOCAL_STATION_PLUS_WORKSHOP_DICTIONARY_PLUS_MASTER_ACTION
166	BIOLOGICAL_PROSE	f81v	B1-S021	E166	chal	B1_SHARED_TWO_ROW_POOL	C11	Setze die bezeichnete Zielstelle: dorthin.	VISIBLE_LOCAL_STATION_PLUS_WORKSHOP_DICTIONARY_PLUS_MASTER_ACTION
167	BIOLOGICAL_PROSE	f82r	B2-S001	E167	dchedy	B2_UPPER_PAIRED_BASINS_AND_CYLINDER	C08	Führe die Handlung aus; schließe nur bei Endkarte: Posten überführen; Schluss.	VISIBLE_LOCAL_STATION_PLUS_WORKSHOP_DICTIONARY_PLUS_MASTER_ACTION
168	BIOLOGICAL_PROSE	f82r	B2-S002	E168	qolchedy	B2_UPPER_PAIRED_BASINS_AND_CYLINDER	C02	Danach oder in demselben Gang: weiterüberführen; Schluss.	VISIBLE_LOCAL_STATION_PLUS_WORKSHOP_DICTIONARY_PLUS_MASTER_ACTION
169	BIOLOGICAL_PROSE	f82r	B2-S003	E169	qokain	B2_UPPER_PAIRED_BASINS_AND_CYLINDER	C06	Führe es in der angegebenen Portion oder Stufe aus: eine Portion zugeben.	VISIBLE_LOCAL_STATION_PLUS_WORKSHOP_DICTIONARY_PLUS_MASTER_ACTION
170	BIOLOGICAL_PROSE	f82r	B2-S003	E170	dy	B2_UPPER_PAIRED_BASINS_AND_CYLINDER	C12	Nimm diesen Posten wieder auf: dieser Posten.	VISIBLE_LOCAL_STATION_PLUS_WORKSHOP_DICTIONARY_PLUS_MASTER_ACTION
171	BIOLOGICAL_PROSE	f82r	B2-S003	E171	qokeedy	B2_UPPER_PAIRED_BASINS_AND_CYLINDER	C03	Führe aus und beachte Dauer oder Endpunkt: länger ansetzen; Schluss.	VISIBLE_LOCAL_STATION_PLUS_WORKSHOP_DICTIONARY_PLUS_MASTER_ACTION
172	BIOLOGICAL_PROSE	f82r	B2-S004	E172	qokal	B2_UPPER_PAIRED_BASINS_AND_CYLINDER	C04	Führe es an der bezeichneten Stelle aus: dort ansetzen.	VISIBLE_LOCAL_STATION_PLUS_WORKSHOP_DICTIONARY_PLUS_MASTER_ACTION
173	BIOLOGICAL_PROSE	f82r	B2-S004	E173	lcheckhy	B2_UPPER_PAIRED_BASINS_AND_CYLINDER	C01	Setze die gelernte Fachkarte: Ausgangsdurchlass.	VISIBLE_LOCAL_STATION_PLUS_WORKSHOP_DICTIONARY_PLUS_MASTER_ACTION
174	BIOLOGICAL_PROSE	f82r	B2-S004	E174	lched	B2_UPPER_PAIRED_BASINS_AND_CYLINDER	C01	Setze die gelernte Fachkarte: abführen.	VISIBLE_LOCAL_STATION_PLUS_WORKSHOP_DICTIONARY_PLUS_MASTER_ACTION
175	BIOLOGICAL_PROSE	f82r	B2-S004	E175	qokeey	B2_UPPER_PAIRED_BASINS_AND_CYLINDER	C03	Führe aus und beachte Dauer oder Endpunkt: länger ansetzen.	VISIBLE_LOCAL_STATION_PLUS_WORKSHOP_DICTIONARY_PLUS_MASTER_ACTION
176	BIOLOGICAL_PROSE	f82r	B2-S004	E176	lcheckhedy	B2_UPPER_PAIRED_BASINS_AND_CYLINDER	C01	Setze die gelernte Fachkarte: abseihen; Schluss.	VISIBLE_LOCAL_STATION_PLUS_WORKSHOP_DICTIONARY_PLUS_MASTER_ACTION
177	BIOLOGICAL_PROSE	f82r	B2-S005	E177	qokaly	B2_UPPER_PAIRED_BASINS_AND_CYLINDER	C04	Führe es an der bezeichneten Stelle aus: dies dort ansetzen.	VISIBLE_LOCAL_STATION_PLUS_WORKSHOP_DICTIONARY_PLUS_MASTER_ACTION
178	BIOLOGICAL_PROSE	f82r	B2-S005	E178	solkaiin	B2_UPPER_PAIRED_BASINS_AND_CYLINDER	C06	Führe es in der angegebenen Portion oder Stufe aus: bis Sollmass sammeln.	VISIBLE_LOCAL_STATION_PLUS_WORKSHOP_DICTIONARY_PLUS_MASTER_ACTION
179	BIOLOGICAL_PROSE	f82r	B2-S005	E179	chckhy	B2_UPPER_PAIRED_BASINS_AND_CYLINDER	C07	Führe es mit diesem laufenden Posten aus: durchleiten.	VISIBLE_LOCAL_STATION_PLUS_WORKSHOP_DICTIONARY_PLUS_MASTER_ACTION
180	BIOLOGICAL_PROSE	f82r	B2-S005	E180	qokaiin	B2_UPPER_PAIRED_BASINS_AND_CYLINDER	C06	Führe es in der angegebenen Portion oder Stufe aus: auf Sollmaß einstellen.	VISIBLE_LOCAL_STATION_PLUS_WORKSHOP_DICTIONARY_PLUS_MASTER_ACTION
181	BIOLOGICAL_PROSE	f82r	B2-S005	E181	qokaiin	B2_UPPER_PAIRED_BASINS_AND_CYLINDER	C06	Führe es in der angegebenen Portion oder Stufe aus: auf Sollmaß einstellen.	VISIBLE_LOCAL_STATION_PLUS_WORKSHOP_DICTIONARY_PLUS_MASTER_ACTION
182	BIOLOGICAL_PROSE	f82r	B2-S005	E182	octheol	B2_UPPER_PAIRED_BASINS_AND_CYLINDER	C02	Danach oder in demselben Gang: bereitgestellten Gang fortsetzen.	VISIBLE_LOCAL_STATION_PLUS_WORKSHOP_DICTIONARY_PLUS_MASTER_ACTION
183	BIOLOGICAL_PROSE	f82r	B2-S005	E183	chkeey	B2_UPPER_PAIRED_BASINS_AND_CYLINDER	C03	Führe aus und beachte Dauer oder Endpunkt: diesen Posten länger warm halten.	VISIBLE_LOCAL_STATION_PLUS_WORKSHOP_DICTIONARY_PLUS_MASTER_ACTION
184	BIOLOGICAL_PROSE	f82r	B2-S005	E184	ldy	B2_UPPER_PAIRED_BASINS_AND_CYLINDER	C01	Setze die gelernte Fachkarte: abziehen; Ende.	VISIBLE_LOCAL_STATION_PLUS_WORKSHOP_DICTIONARY_PLUS_MASTER_ACTION
185	BIOLOGICAL_PROSE	f82r	B2-S006	E185	oteey	B2_UPPER_PAIRED_BASINS_AND_CYLINDER	C02	Danach oder in demselben Gang: langer Folgeposten.	VISIBLE_LOCAL_STATION_PLUS_WORKSHOP_DICTIONARY_PLUS_MASTER_ACTION
186	BIOLOGICAL_PROSE	f82r	B2-S006	E186	qokal	B2_UPPER_PAIRED_BASINS_AND_CYLINDER	C04	Führe es an der bezeichneten Stelle aus: dort ansetzen.	VISIBLE_LOCAL_STATION_PLUS_WORKSHOP_DICTIONARY_PLUS_MASTER_ACTION
187	BIOLOGICAL_PROSE	f82r	B2-S006	E187	sheckhy	B2_UPPER_PAIRED_BASINS_AND_CYLINDER	C03	Führe aus und beachte Dauer oder Endpunkt: kurz durchleiten.	VISIBLE_LOCAL_STATION_PLUS_WORKSHOP_DICTIONARY_PLUS_MASTER_ACTION
188	BIOLOGICAL_PROSE	f82r	B2-S006	E188	qoky	B2_UPPER_PAIRED_BASINS_AND_CYLINDER	C07	Führe es mit diesem laufenden Posten aus: aktuellen Posten ansetzen.	VISIBLE_LOCAL_STATION_PLUS_WORKSHOP_DICTIONARY_PLUS_MASTER_ACTION
189	BIOLOGICAL_PROSE	f82r	B2-S007	E189	dshedy	B2_MIDDLE_LEFT_DEVICE_AND_INLINE_NODE	C03	Führe aus und beachte Dauer oder Endpunkt: kurz absetzen; Schluss.	VISIBLE_LOCAL_STATION_PLUS_WORKSHOP_DICTIONARY_PLUS_MASTER_ACTION
190	BIOLOGICAL_PROSE	f82r	B2-S008	E190	sotaiin	B2_MIDDLE_LEFT_DEVICE_AND_INLINE_NODE	C02	Danach oder in demselben Gang: Folgemaß.	VISIBLE_LOCAL_STATION_PLUS_WORKSHOP_DICTIONARY_PLUS_MASTER_ACTION
191	BIOLOGICAL_PROSE	f82r	B2-S008	E191	qokar	B2_MIDDLE_LEFT_DEVICE_AND_INLINE_NODE	C05	Führe es aus dem Vorrat oder am Ansatz aus: daraus ansetzen.	VISIBLE_LOCAL_STATION_PLUS_WORKSHOP_DICTIONARY_PLUS_MASTER_ACTION
192	BIOLOGICAL_PROSE	f82r	B2-S008	E192	shedy	B2_MIDDLE_LEFT_DEVICE_AND_INLINE_NODE	C03	Führe aus und beachte Dauer oder Endpunkt: kurz absetzen lassen; Schluss.	VISIBLE_LOCAL_STATION_PLUS_WORKSHOP_DICTIONARY_PLUS_MASTER_ACTION
193	BIOLOGICAL_PROSE	f82r	B2-S009	E193	solshedy	B2_MIDDLE_LEFT_DEVICE_AND_INLINE_NODE	C02	Danach oder in demselben Gang: weiter absetzen; Schluss.	VISIBLE_LOCAL_STATION_PLUS_WORKSHOP_DICTIONARY_PLUS_MASTER_ACTION
194	BIOLOGICAL_PROSE	f82r	B2-S010	E194	qokeey	B2_MIDDLE_LEFT_DEVICE_AND_INLINE_NODE	C03	Führe aus und beachte Dauer oder Endpunkt: länger ansetzen.	VISIBLE_LOCAL_STATION_PLUS_WORKSHOP_DICTIONARY_PLUS_MASTER_ACTION
195	BIOLOGICAL_PROSE	f82r	B2-S010	E195	qoky	B2_MIDDLE_LEFT_DEVICE_AND_INLINE_NODE	C07	Führe es mit diesem laufenden Posten aus: aktuellen Posten ansetzen.	VISIBLE_LOCAL_STATION_PLUS_WORKSHOP_DICTIONARY_PLUS_MASTER_ACTION
196	BIOLOGICAL_PROSE	f82r	B2-S010	E196	ls	B2_MIDDLE_LEFT_DEVICE_AND_INLINE_NODE	C01	Setze die gelernte Fachkarte: Durchlassöffnung.	VISIBLE_LOCAL_STATION_PLUS_WORKSHOP_DICTIONARY_PLUS_MASTER_ACTION
197	BIOLOGICAL_PROSE	f82r	B2-S010	E197	cheey	B2_MIDDLE_LEFT_DEVICE_AND_INLINE_NODE	C01	Setze die gelernte Fachkarte: klarer Auszug.	VISIBLE_LOCAL_STATION_PLUS_WORKSHOP_DICTIONARY_PLUS_MASTER_ACTION
198	BIOLOGICAL_PROSE	f82r	B2-S011	E198	okain	B2_MIDDLE_RIGHT_AMBIGUOUS_STATION	C06	Führe es in der angegebenen Portion oder Stufe aus: eine Portion zugeben.	VISIBLE_LOCAL_STATION_PLUS_WORKSHOP_DICTIONARY_PLUS_MASTER_ACTION
199	BIOLOGICAL_PROSE	f82r	B2-S011	E199	char	B2_MIDDLE_RIGHT_AMBIGUOUS_STATION	C09	Nenne Quelle, Lauf, Auszug oder Ansatz: aus dem Ansatz.	VISIBLE_LOCAL_STATION_PLUS_WORKSHOP_DICTIONARY_PLUS_MASTER_ACTION
200	BIOLOGICAL_PROSE	f82r	B2-S011	E200	okain	B2_MIDDLE_RIGHT_AMBIGUOUS_STATION	C06	Führe es in der angegebenen Portion oder Stufe aus: eine Portion zugeben.	VISIBLE_LOCAL_STATION_PLUS_WORKSHOP_DICTIONARY_PLUS_MASTER_ACTION
201	BIOLOGICAL_PROSE	f82r	B2-S011	E201	qokeedy	B2_MIDDLE_RIGHT_AMBIGUOUS_STATION	C03	Führe aus und beachte Dauer oder Endpunkt: länger ansetzen; Schluss.	VISIBLE_LOCAL_STATION_PLUS_WORKSHOP_DICTIONARY_PLUS_MASTER_ACTION
202	BIOLOGICAL_PROSE	f82r	B2-S012	E202	lchy	B2_MIDDLE_RIGHT_AMBIGUOUS_STATION|B2_LOWER_GREEN_MULTI_FIGURE_POOL	C01	Setze die gelernte Fachkarte: abziehen.	VISIBLE_LOCAL_STATION_PLUS_WORKSHOP_DICTIONARY_PLUS_MASTER_ACTION
203	BIOLOGICAL_PROSE	f82r	B2-S012	E203	cheey	B2_MIDDLE_RIGHT_AMBIGUOUS_STATION|B2_LOWER_GREEN_MULTI_FIGURE_POOL	C01	Setze die gelernte Fachkarte: klarer Auszug.	VISIBLE_LOCAL_STATION_PLUS_WORKSHOP_DICTIONARY_PLUS_MASTER_ACTION
204	BIOLOGICAL_PROSE	f82r	B2-S012	E204	qcthey	B2_MIDDLE_RIGHT_AMBIGUOUS_STATION|B2_LOWER_GREEN_MULTI_FIGURE_POOL	C03	Führe aus und beachte Dauer oder Endpunkt: kurz bereithalten.	VISIBLE_LOCAL_STATION_PLUS_WORKSHOP_DICTIONARY_PLUS_MASTER_ACTION
205	BIOLOGICAL_PROSE	f82r	B2-S012	E205	qokeey	B2_MIDDLE_RIGHT_AMBIGUOUS_STATION|B2_LOWER_GREEN_MULTI_FIGURE_POOL	C03	Führe aus und beachte Dauer oder Endpunkt: länger ansetzen.	VISIBLE_LOCAL_STATION_PLUS_WORKSHOP_DICTIONARY_PLUS_MASTER_ACTION
206	BIOLOGICAL_PROSE	f82r	B2-S012	E206	lcheey	B2_MIDDLE_RIGHT_AMBIGUOUS_STATION|B2_LOWER_GREEN_MULTI_FIGURE_POOL	C01	Setze die gelernte Fachkarte: Klarlauf abfuehren.	VISIBLE_LOCAL_STATION_PLUS_WORKSHOP_DICTIONARY_PLUS_MASTER_ACTION
207	BIOLOGICAL_PROSE	f82r	B2-S012	E207	daiin	B2_MIDDLE_RIGHT_AMBIGUOUS_STATION|B2_LOWER_GREEN_MULTI_FIGURE_POOL	C10	Setze Maß, Portion oder Stufe: Sollmaß.	VISIBLE_LOCAL_STATION_PLUS_WORKSHOP_DICTIONARY_PLUS_MASTER_ACTION
208	BIOLOGICAL_PROSE	f82r	B2-S012	E208	chey	B2_MIDDLE_RIGHT_AMBIGUOUS_STATION|B2_LOWER_GREEN_MULTI_FIGURE_POOL	C12	Nimm diesen Posten wieder auf: dieser Posten.	VISIBLE_LOCAL_STATION_PLUS_WORKSHOP_DICTIONARY_PLUS_MASTER_ACTION
