statement_order	statement_id	record_unit_id	page	event_count	equal_distance_resolutions	resolved_attachment_trace	card_near_workshop_reading_de	concrete_source_expansion_de
80	B3-S018	B3	f83r	1	0	shedy[absetzen+kurz+Schluss→E266]	Lass absetzen und schließe	An den drei Randbecken und danach am sichtbar gekoppelten Hauptpaar: Lass absetzen und schließe
81	B3-S019	B3	f83r	1	0	qokshedy[ansetzen+absetzen+Schluss→E267]	Lass absetzen und schließe	An den drei Randbecken und danach am sichtbar gekoppelten Hauptpaar: Lass absetzen und schließe
82	B3-S020	B3	f83r	2	0	dal[Ziel→E269] | lchedy[abführen+umsetzen+Schluss→E269]	Führe dorthin, führe ab und schließe	An den drei Randbecken und danach am sichtbar gekoppelten Hauptpaar: Führe dorthin, führe ab und schließe
83	B3-S021	B3	f83r	11	1	qokaiin[ansetzen+Sollmaß→E270] | shcthy[bereit+Posten→E271] | dal[Ziel→E271] | sy[Posten→E271] | saiin[Sollmaß→E275] | shedal[absetzen+Ziel→E275] | shecthy[bereit+kurz+Posten→E276] | chey[Posten→E276] | tal[Ziel→E279] | shcthy[bereit+Posten→E279] | dalchdy[Ziel+umsetzen+Schluss→E280]	Stelle das Sollmaß ein, halte bereit, führe dorthin, lass dort absetzen, halte den Posten kurz bereit, führe ihn erneut dorthin, setze um und schließe.	An den drei Randbecken und danach am sichtbar gekoppelten Hauptpaar: Stelle das Sollmaß ein, halte bereit, führe dorthin, lass dort absetzen, halte den Posten kurz bereit, führe ihn erneut dorthin, setze um und schließe.
84	B3-S022	B3	f83r	1	0	qotchedy[danach+umsetzen+Schluss→E281]	Führe die Folgeumsetzung aus und schließe	An den drei Randbecken und danach am sichtbar gekoppelten Hauptpaar: Führe die Folgeumsetzung aus und schließe
85	B3-S023	B3	f83r	1	0	lchedy[abführen+umsetzen+Schluss→E282]	Führe ab und schließe	An den drei Randbecken und danach am sichtbar gekoppelten Hauptpaar: Führe ab und schließe
86	B3-S024	B3	f83r	1	0	tchedy[umsetzen+Schluss→E283]	Setze um und schließe	An den drei Randbecken und danach am sichtbar gekoppelten Hauptpaar: Setze um und schließe
87	B3-S025	B3	f83r	1	0	qokchdy[ansetzen+umsetzen+Schluss→E284]	Setze um und schließe	An den drei Randbecken und danach am sichtbar gekoppelten Hauptpaar: Setze um und schließe
88	B3-S026	B3	f83r	7	1	cheedar[umsetzen+Quelle→E285] | chldaiin[absetzen+Sollmaß→E286] | chedy[umsetzen+Posten→E287] | qokain[ansetzen+Anteil→E288] | checthy[bereit+Posten→E289] | chealror[Ziel+Ansatz→E291] | solkeedy[sammeln+länger+Schluss→E291]	Setze von dort um, warte bis zum Absetzmaß, setze erneut um, gib eine Portion zu, halte bereit, führe den Ansatz von dort zur Zielstelle, sammle länger und schließe.	An den drei Randbecken und danach am sichtbar gekoppelten Hauptpaar: Setze von dort um, warte bis zum Absetzmaß, setze erneut um, gib eine Portion zu, halte bereit, führe den Ansatz von dort zur Zielstelle, sammle länger und schließe.
89	B3-S027	B3	f83r	1	0	qoteedy[danach+länger+Schluss→E292]	Nimm die lange Folge und schließe	An den drei Randbecken und danach am sichtbar gekoppelten Hauptpaar: Nimm die lange Folge und schließe
90	B3-S028	B3	f83r	2	0	qokeey[ansetzen+länger+Posten→E293] | qokedy[ansetzen+kurz+Schluss→E294]	Setze länger, dann kurz an und schließe	An den drei Randbecken und danach am sichtbar gekoppelten Hauptpaar: Setze länger, dann kurz an und schließe
91	B3-S029	B3	f83r	3	1	sol[weiter→E295] | cheeety[vollständig+Teil→E295] | qokedy[ansetzen+kurz+Schluss→E297]	Führe weiter, nimm den ganzen Teilposten, setze kurz an und schließe.	An den drei Randbecken und danach am sichtbar gekoppelten Hauptpaar: Führe weiter, nimm den ganzen Teilposten, setze kurz an und schließe.
92	B3-S030	B3	f83r	4	0	qoky[ansetzen+Posten→E298] | saiin[Sollmaß→E298] | schedair[Lauf→E301] | otchedy[danach+umsetzen+Schluss→E301]	Setze den Posten nach Sollmaß an, leite Wasser weiter, führe die Folgeumsetzung aus und schließe	An den drei Randbecken und danach am sichtbar gekoppelten Hauptpaar: Setze den Posten nach Sollmaß an, leite Wasser weiter, führe die Folgeumsetzung aus und schließe
93	B3-S031	B3	f83r	1	0	qokeedy[ansetzen+länger+Schluss→E302]	Setze länger an und schließe	An den drei Randbecken und danach am sichtbar gekoppelten Hauptpaar: Setze länger an und schließe
94	B3-S032	B3	f83r	5	0	chedain[umsetzen+Anteil→E303] | chedy[umsetzen+Posten→E304] | qotedaiin[danach+kurz+Sollmaß→E304] | otaiin[danach+Sollmaß→E304] | otedy[danach+kurz+Schluss→E304]	Setze eine Portion um, stelle ein kurzes Folgemaß und danach das Folgemaß ein, führe die kurze Folge aus und schließe.	An den drei Randbecken und danach am sichtbar gekoppelten Hauptpaar: Setze eine Portion um, stelle ein kurzes Folgemaß und danach das Folgemaß ein, führe die kurze Folge aus und schließe.
95	B3-S033	B3	f83r	1	0	ldy[abführen+Schluss→E308]	Ziehe ab und schließe	An den drei Randbecken und danach am sichtbar gekoppelten Hauptpaar: Ziehe ab und schließe
96	B3-S034	B3	f83r	6	0	soiiin[Stufe→E310] | checthy[bereit+Posten→E310] | chety[teilen+Teil→E311] | otaiin[danach+Sollmaß→E314] | olsaly[Ziel+Posten→E314] | shedy[absetzen+kurz+Schluss→E314]	Bringe auf Sollstufe, halte bereit, trenne einen Teil ab, stelle das Folgemaß ein, führe zur unteren Zielstelle, lass absetzen und schließe.	An den drei Randbecken und danach am sichtbar gekoppelten Hauptpaar: Bringe auf Sollstufe, halte bereit, trenne einen Teil ab, stelle das Folgemaß ein, führe zur unteren Zielstelle, lass absetzen und schließe.
97	B4-S001	B4	f83r	1	0	qokeedy[ansetzen+länger+Schluss→E315]	Setze länger an und schließe	Am Hauptpaar mit Tuchanwendung und getrennten Dienstläufen: Setze länger an und schließe
98	B4-S002	B4	f83r	3	0	qolchey[weiter+Posten→E316] | qokeey[ansetzen+länger+Posten→E317] | qokedy[ansetzen+kurz+Schluss→E318]	Führe diesen Posten weiter, setze ihn länger und dann kurz an und schließe.	Am Hauptpaar mit Tuchanwendung und getrennten Dienstläufen: Führe diesen Posten weiter, setze ihn länger und dann kurz an und schließe.
99	B4-S003	B4	f83r	7	0	chedy[umsetzen+Posten→E319] | otal[danach+Ziel→E322] | otchey[danach+Posten→E322] | qokeey[ansetzen+länger+Posten→E322] | qoky[ansetzen+Posten→E323] | tol[weiter→E324] | shedy[absetzen+kurz+Schluss→E325]	Setze um, führe danach dorthin, wähle den Folgeposten, setze länger an, führe weiter, lass absetzen und schließe	Am Hauptpaar mit Tuchanwendung und getrennten Dienstläufen: Setze um, führe danach dorthin, wähle den Folgeposten, setze länger an, führe weiter, lass absetzen und schließe
100	B4-S004	B4	f83r	1	0	qokylddy[ansetzen+Posten+festbinden→E326]	Befestige den Posten und schließe	Am Hauptpaar mit Tuchanwendung und getrennten Dienstläufen: Befestige den Posten und schließe
101	B4-S005	B4	f83r	3	0	dain[Tuch→E328] | chedy[umsetzen+Posten→E328] | qokeedy[ansetzen+länger+Schluss→E329]	Lege das Tuch ein, setze um, setze länger an und schließe	Am Hauptpaar mit Tuchanwendung und getrennten Dienstläufen: Lege das Tuch ein, setze um, setze länger an und schließe
102	B4-S006	B4	f83r	1	0	shckhedy[trennen+Schluss→E330]	Seih und schließe	Am Hauptpaar mit Tuchanwendung und getrennten Dienstläufen: Seih und schließe
103	B4-S007	B4	f83r	1	0	shckhedy[trennen+Schluss→E331]	Seih und schließe	Am Hauptpaar mit Tuchanwendung und getrennten Dienstläufen: Seih und schließe
104	B4-S008	B4	f83r	4	0	saiin[Sollmaß→E333] | cheeky[wärmen+länger+Posten→E333] | sheey[halten+länger+Posten→E334] | qokedy[ansetzen+kurz+Schluss→E335]	Stelle das Sollmaß ein, wärme länger, lass länger ruhen, setze kurz an und schließe.	Am Hauptpaar mit Tuchanwendung und getrennten Dienstläufen: Stelle das Sollmaß ein, wärme länger, lass länger ruhen, setze kurz an und schließe.
105	B4-S009	B4	f83r	1	0	shedy[absetzen+kurz+Schluss→E336]	Lass absetzen und schließe	Am Hauptpaar mit Tuchanwendung und getrennten Dienstläufen: Lass absetzen und schließe
106	B4-S010	B4	f83r	1	0	oldy[weiter+Schluss→E337]	Führe weiter und schließe	Am Hauptpaar mit Tuchanwendung und getrennten Dienstläufen: Führe weiter und schließe
107	B4-S011	B4	f83r	7	0	saiin[Sollmaß→E339] | cheky[wärmen+kurz+Posten→E339] | okeeol[ansetzen+länger+weiter→E340] | okain[ansetzen+Anteil→E341] | chdy[umsetzen+Posten→E342] | sol[weiter→E343] | lkedy[abführen+kurz+Schluss→E344]	Stelle das Sollmaß ein, wärme kurz, führe länger fort, gib eine Portion zu, setze um, führe weiter, wasche nach und schließe	Am Hauptpaar mit Tuchanwendung und getrennten Dienstläufen: Stelle das Sollmaß ein, wärme kurz, führe länger fort, gib eine Portion zu, setze um, führe weiter, wasche nach und schließe
108	B4-S012	B4	f83r	1	0	lchedy[abführen+umsetzen+Schluss→E345]	Führe ab und schließe	Am Hauptpaar mit Tuchanwendung und getrennten Dienstläufen: Führe ab und schließe
109	B4-S013	B4	f83r	2	0	qokol[ansetzen+weiter→E346] | shedy[absetzen+kurz+Schluss→E347]	Setze die Fortsetzung ein, lass absetzen und schließe	Am Hauptpaar mit Tuchanwendung und getrennten Dienstläufen: Setze die Fortsetzung ein, lass absetzen und schließe
110	B4-S014	B4	f83r	4	0	or[Ansatz→E350] | chey[Posten→E350] | qockhey[ansetzen+Durchlass+kurz+Posten→E350] | dairydy[Lauf+Posten+Schluss→E350]	Setze den Ansatz in einen kurzen Durchlauf, schließe den Wasserlauf und beende den Schritt.	Am Hauptpaar mit Tuchanwendung und getrennten Dienstläufen: Setze den Ansatz in einen kurzen Durchlauf, schließe den Wasserlauf und beende den Schritt.
111	B4-S015	B4	f83r	6	0	qokain[ansetzen+Anteil→E352] | shey[Ergebnis→E352] | kain[Anteil→E355] | chckhal[Durchlass+Ziel→E355] | solkey[sammeln+kurz+Posten→E356] | lchedy[abführen+umsetzen+Schluss→E357]	Gib eine Portion zu, nimm den Klarlauf, leite die Portion zur Zielstelle, sammle kurz, führe ab und schließe.	Am Hauptpaar mit Tuchanwendung und getrennten Dienstläufen: Gib eine Portion zu, nimm den Klarlauf, leite die Portion zur Zielstelle, sammle kurz, führe ab und schließe.
112	B4-S016	B4	f83r	4	1	qolkain[weiter+Anteil→E358] | dal[Ziel→E358] | skar[ausgießen+Quelle→E360] | shedy[absetzen+kurz+Schluss→E361]	Gib eine weitere Portion dorthin, giesse sie von dort aus, lass absetzen und schließe.	Am Hauptpaar mit Tuchanwendung und getrennten Dienstläufen: Gib eine weitere Portion dorthin, giesse sie von dort aus, lass absetzen und schließe.
113	B5-S001	B5	f83r	1	0	otchdy[danach+umsetzen+Schluss→E362]	Führe die Folgeumsetzung aus und schließe	An der linken figurenlosen Dienststation: Führe die Folgeumsetzung aus und schließe
114	B5-S002	B5	f83r	1	0	qokchdy[ansetzen+umsetzen+Schluss→E363]	Setze um und schließe	An der linken figurenlosen Dienststation: Setze um und schließe
115	B5-S003	B5	f83r	9	3	shedal[absetzen+Ziel→E364] | dal[Ziel→E364] | cheol[weiter→E366] | lol[abführen+weiter→E367] | chdal[umsetzen+Ziel→E368] | aiin[Sollmaß→E368] | sol[weiter→E370] | daiiin[Stufe→E370] | chedy[umsetzen+Posten→E372]	Lass dort absetzen, führe dorthin und weiter, führe von dort weiter, setze dort um, stelle das Sollmaß ein und setze weiter um.	An der linken figurenlosen Dienststation: Lass dort absetzen, führe dorthin und weiter, führe von dort weiter, setze dort um, stelle das Sollmaß ein und setze weiter um.
116	B6-S001	B6	f83r	9	2	solkeey[sammeln+länger+Posten→E373] | qekey[bearbeiten+kurz+Posten→E374] | raly[Ziel+Posten→E374] | ol[weiter→E376] | daiin[Sollmaß→E376] | ol[weiter→E378] | dain[Tuch→E378] | chey[Posten→E378] | ldalor[Ziel→E378]	Sammle den rohen Posten länger, führe diesen Posten dorthin, stelle das Sollmaß ein, lege das Tuch ein und führe den Posten zum Endziel.	An der rechten figurenlosen Dienststation: Sammle den rohen Posten länger, führe diesen Posten dorthin, stelle das Sollmaß ein, lege das Tuch ein und führe den Posten zum Endziel.
