event_serial	event_id	statement_id	record_unit_id	page	surface	master_card_id	semantic_atoms	atomic_default_de	syntactic_role	selected_host_event	selected_direction	selection_rule	was_equal_distance
150	E150	B1-S015	B1	f81v	ytey	MC109	Y+E+TY	Posten+kurz+Teil	ARGUMENT_OR_MODIFIER	E151	FORWARD	KEEP_UNAMBIGUOUS_ATTACHMENT	NO
151	E151	B1-S015	B1	f81v	okchedy	MC005	OK+CHD+CLOSE	ansetzen+umsetzen+Schluss	ACTION_HEAD	E151	SELF	KEEP_UNAMBIGUOUS_ATTACHMENT	NO
152	E152	B1-S016	B1	f81v	qokal	MC040	OK+AL	ansetzen+Ziel	ACTION_HEAD	E152	SELF	KEEP_UNAMBIGUOUS_ATTACHMENT	NO
153	E153	B1-S016	B1	f81v	okeey	MC002	OK+EE+Y	ansetzen+länger+Posten	ACTION_HEAD	E153	SELF	KEEP_UNAMBIGUOUS_ATTACHMENT	NO
154	E154	B1-S016	B1	f81v	qol	MC153	OL	weiter	ACTION_HEAD	E154	SELF	KEEP_UNAMBIGUOUS_ATTACHMENT	NO
155	E155	B1-S016	B1	f81v	cheedy	MC128	SHED+E+CLOSE	absetzen+kurz+Schluss	ACTION_HEAD	E155	SELF	KEEP_UNAMBIGUOUS_ATTACHMENT	NO
156	E156	B1-S017	B1	f81v	sal	MC154	AL	Ziel	ARGUMENT_OR_MODIFIER	E157	FORWARD	KEEP_UNAMBIGUOUS_ATTACHMENT	NO
157	E157	B1-S017	B1	f81v	teol	MC106	E+OL	kurz+weiter	ACTION_HEAD	E157	SELF	KEEP_UNAMBIGUOUS_ATTACHMENT	NO
158	E158	B1-S017	B1	f81v	dchdy	MC139	CHD+CLOSE	umsetzen+Schluss	ACTION_HEAD	E158	SELF	KEEP_UNAMBIGUOUS_ATTACHMENT	NO
159	E159	B1-S018	B1	f81v	ly	MC118	L+Y	abführen+Posten	ACTION_HEAD	E159	SELF	KEEP_UNAMBIGUOUS_ATTACHMENT	NO
160	E160	B1-S018	B1	f81v	dsheol	MC076	SH+E+OL	halten+kurz+weiter	ACTION_HEAD	E160	SELF	KEEP_UNAMBIGUOUS_ATTACHMENT	NO
161	E161	B1-S018	B1	f81v	oiiin	MC033	IIN	Stufe	ARGUMENT_OR_MODIFIER	E160	BACKWARD	SOURCE_QUANTITY_TARGET_OR_FINAL_RESULT_MODIFIES_COMPLETED_ACTION	YES
162	E162	B1-S018	B1	f81v	olkeedy	MC045	SOLK+EE+CLOSE	sammeln+länger+Schluss	ACTION_HEAD	E162	SELF	KEEP_UNAMBIGUOUS_ATTACHMENT	NO
163	E163	B1-S019	B1	f81v	tedy	MC128	SHED+E+CLOSE	absetzen+kurz+Schluss	ACTION_HEAD	E163	SELF	KEEP_UNAMBIGUOUS_ATTACHMENT	NO
164	E164	B1-S020	B1	f81v	cheky	MC147	CHK+E+Y	wärmen+kurz+Posten	ACTION_HEAD	E164	SELF	KEEP_UNAMBIGUOUS_ATTACHMENT	NO
165	E165	B1-S020	B1	f81v	shckhedy	MC143	CKHE+CLOSE	trennen+Schluss	ACTION_HEAD	E165	SELF	KEEP_UNAMBIGUOUS_ATTACHMENT	NO
166	E166	B1-S021	B1	f81v	chal	MC154	AL	Ziel	ELLIPTIC_HEAD	E166	SELF	KEEP_UNAMBIGUOUS_ATTACHMENT	NO
167	E167	B2-S001	B2	f82r	dchedy	MC025	CHD+CLOSE	umsetzen+Schluss	ACTION_HEAD	E167	SELF	KEEP_UNAMBIGUOUS_ATTACHMENT	NO
168	E168	B2-S002	B2	f82r	qolchedy	MC028	OL+CHD+CLOSE	weiter+umsetzen+Schluss	ACTION_HEAD	E168	SELF	KEEP_UNAMBIGUOUS_ATTACHMENT	NO
169	E169	B2-S003	B2	f82r	qokain	MC017	OK+AIN	ansetzen+Anteil	ACTION_HEAD	E169	SELF	KEEP_UNAMBIGUOUS_ATTACHMENT	NO
170	E170	B2-S003	B2	f82r	dy	MC123	Y	Posten	ARGUMENT_OR_MODIFIER	E169	BACKWARD	SOURCE_QUANTITY_TARGET_OR_FINAL_RESULT_MODIFIES_COMPLETED_ACTION	YES
171	E171	B2-S003	B2	f82r	qokeedy	MC082	OK+EE+CLOSE	ansetzen+länger+Schluss	ACTION_HEAD	E171	SELF	KEEP_UNAMBIGUOUS_ATTACHMENT	NO
172	E172	B2-S004	B2	f82r	qokal	MC040	OK+AL	ansetzen+Ziel	ACTION_HEAD	E172	SELF	KEEP_UNAMBIGUOUS_ATTACHMENT	NO
173	E173	B2-S004	B2	f82r	lcheckhy	MC168	L+CKH+Y	abführen+Durchlass+Posten	ACTION_HEAD	E173	SELF	KEEP_UNAMBIGUOUS_ATTACHMENT	NO
174	E174	B2-S004	B2	f82r	lched	MC127	L+CHD	abführen+umsetzen	ACTION_HEAD	E174	SELF	KEEP_UNAMBIGUOUS_ATTACHMENT	NO
175	E175	B2-S004	B2	f82r	qokeey	MC002	OK+EE+Y	ansetzen+länger+Posten	ACTION_HEAD	E175	SELF	KEEP_UNAMBIGUOUS_ATTACHMENT	NO
176	E176	B2-S004	B2	f82r	lcheckhedy	MC133	L+CKHE+CLOSE	abführen+trennen+Schluss	ACTION_HEAD	E176	SELF	KEEP_UNAMBIGUOUS_ATTACHMENT	NO
177	E177	B2-S005	B2	f82r	qokaly	MC054	OK+AL+Y	ansetzen+Ziel+Posten	ACTION_HEAD	E177	SELF	KEEP_UNAMBIGUOUS_ATTACHMENT	NO
178	E178	B2-S005	B2	f82r	solkaiin	MC036	SOLK+AIIN	sammeln+Sollmaß	ACTION_HEAD	E178	SELF	KEEP_UNAMBIGUOUS_ATTACHMENT	NO
179	E179	B2-S005	B2	f82r	chckhy	MC035	CKH+Y	Durchlass+Posten	ACTION_HEAD	E179	SELF	KEEP_UNAMBIGUOUS_ATTACHMENT	NO
180	E180	B2-S005	B2	f82r	qokaiin	MC120	OK+AIIN	ansetzen+Sollmaß	ACTION_HEAD	E180	SELF	KEEP_UNAMBIGUOUS_ATTACHMENT	NO
181	E181	B2-S005	B2	f82r	qokaiin	MC120	OK+AIIN	ansetzen+Sollmaß	ACTION_HEAD	E181	SELF	KEEP_UNAMBIGUOUS_ATTACHMENT	NO
182	E182	B2-S005	B2	f82r	octheol	MC112	CTH+OL	bereit+weiter	ACTION_HEAD	E182	SELF	KEEP_UNAMBIGUOUS_ATTACHMENT	NO
183	E183	B2-S005	B2	f82r	chkeey	MC166	CHK+EE+Y	wärmen+länger+Posten	ACTION_HEAD	E183	SELF	KEEP_UNAMBIGUOUS_ATTACHMENT	NO
184	E184	B2-S005	B2	f82r	ldy	MC004	L+CLOSE	abführen+Schluss	ACTION_HEAD	E184	SELF	KEEP_UNAMBIGUOUS_ATTACHMENT	NO
185	E185	B2-S006	B2	f82r	oteey	MC063	OT+EE+Y	danach+länger+Posten	ORDER_MARKER	E186	FORWARD	KEEP_UNAMBIGUOUS_ATTACHMENT	NO
186	E186	B2-S006	B2	f82r	qokal	MC040	OK+AL	ansetzen+Ziel	ACTION_HEAD	E186	SELF	KEEP_UNAMBIGUOUS_ATTACHMENT	NO
187	E187	B2-S006	B2	f82r	sheckhy	MC132	CKH+E+Y	Durchlass+kurz+Posten	ACTION_HEAD	E187	SELF	KEEP_UNAMBIGUOUS_ATTACHMENT	NO
188	E188	B2-S006	B2	f82r	qoky	MC026	OK+Y	ansetzen+Posten	ACTION_HEAD	E188	SELF	KEEP_UNAMBIGUOUS_ATTACHMENT	NO
189	E189	B2-S007	B2	f82r	dshedy	MC138	SHED+E+CLOSE	absetzen+kurz+Schluss	ACTION_HEAD	E189	SELF	KEEP_UNAMBIGUOUS_ATTACHMENT	NO
190	E190	B2-S008	B2	f82r	sotaiin	MC060	OT+AIIN	danach+Sollmaß	ORDER_MARKER	E191	FORWARD	KEEP_UNAMBIGUOUS_ATTACHMENT	NO
191	E191	B2-S008	B2	f82r	qokar	MC044	OK+AR	ansetzen+Quelle	ACTION_HEAD	E191	SELF	KEEP_UNAMBIGUOUS_ATTACHMENT	NO
192	E192	B2-S008	B2	f82r	shedy	MC128	SHED+E+CLOSE	absetzen+kurz+Schluss	ACTION_HEAD	E192	SELF	KEEP_UNAMBIGUOUS_ATTACHMENT	NO
193	E193	B2-S009	B2	f82r	solshedy	MC149	OL+SHED+CLOSE	weiter+absetzen+Schluss	ACTION_HEAD	E193	SELF	KEEP_UNAMBIGUOUS_ATTACHMENT	NO
194	E194	B2-S010	B2	f82r	qokeey	MC002	OK+EE+Y	ansetzen+länger+Posten	ACTION_HEAD	E194	SELF	KEEP_UNAMBIGUOUS_ATTACHMENT	NO
195	E195	B2-S010	B2	f82r	qoky	MC026	OK+Y	ansetzen+Posten	ACTION_HEAD	E195	SELF	KEEP_UNAMBIGUOUS_ATTACHMENT	NO
196	E196	B2-S010	B2	f82r	ls	MC065	L	abführen	ACTION_HEAD	E196	SELF	KEEP_UNAMBIGUOUS_ATTACHMENT	NO
197	E197	B2-S010	B2	f82r	cheey	MC119	CHEEY	Ergebnis	CONTENT_OR_STATE	E196	BACKWARD	KEEP_UNAMBIGUOUS_ATTACHMENT	NO
198	E198	B2-S011	B2	f82r	okain	MC017	OK+AIN	ansetzen+Anteil	ACTION_HEAD	E198	SELF	KEEP_UNAMBIGUOUS_ATTACHMENT	NO
199	E199	B2-S011	B2	f82r	char	MC055	AR	Quelle	ARGUMENT_OR_MODIFIER	E198	BACKWARD	SOURCE_QUANTITY_TARGET_OR_FINAL_RESULT_MODIFIES_COMPLETED_ACTION	YES
200	E200	B2-S011	B2	f82r	okain	MC017	OK+AIN	ansetzen+Anteil	ACTION_HEAD	E200	SELF	KEEP_UNAMBIGUOUS_ATTACHMENT	NO
201	E201	B2-S011	B2	f82r	qokeedy	MC082	OK+EE+CLOSE	ansetzen+länger+Schluss	ACTION_HEAD	E201	SELF	KEEP_UNAMBIGUOUS_ATTACHMENT	NO
202	E202	B2-S012	B2	f82r	lchy	MC008	L+Y	abführen+Posten	ACTION_HEAD	E202	SELF	KEEP_UNAMBIGUOUS_ATTACHMENT	NO
203	E203	B2-S012	B2	f82r	cheey	MC119	CHEEY	Ergebnis	CONTENT_OR_STATE	E204	FORWARD	MATERIAL_OR_STATE_BETWEEN_ACTIONS_FEEDS_NEXT_ACTION	YES
204	E204	B2-S012	B2	f82r	qcthey	MC073	CTH+E+Y	bereit+kurz+Posten	ACTION_HEAD	E204	SELF	KEEP_UNAMBIGUOUS_ATTACHMENT	NO
205	E205	B2-S012	B2	f82r	qokeey	MC002	OK+EE+Y	ansetzen+länger+Posten	ACTION_HEAD	E205	SELF	KEEP_UNAMBIGUOUS_ATTACHMENT	NO
206	E206	B2-S012	B2	f82r	lcheey	MC066	L+CHEEY	abführen+Ergebnis	ACTION_HEAD	E206	SELF	KEEP_UNAMBIGUOUS_ATTACHMENT	NO
207	E207	B2-S012	B2	f82r	daiin	MC039	AIIN	Sollmaß	ARGUMENT_OR_MODIFIER	E206	BACKWARD	KEEP_UNAMBIGUOUS_ATTACHMENT	NO
208	E208	B2-S012	B2	f82r	chey	MC123	Y	Posten	ARGUMENT_OR_MODIFIER	E209	FORWARD	KEEP_UNAMBIGUOUS_ATTACHMENT	NO
209	E209	B2-S012	B2	f82r	qokeeedy	MC140	OK+EEE+CLOSE	ansetzen+vollständig+Schluss	ACTION_HEAD	E209	SELF	KEEP_UNAMBIGUOUS_ATTACHMENT	NO
210	E210	B2-S013	B2	f82r	lchedy	MC155	L+CHD+CLOSE	abführen+umsetzen+Schluss	ACTION_HEAD	E210	SELF	KEEP_UNAMBIGUOUS_ATTACHMENT	NO
211	E211	B2-S014	B2	f82r	lar	MC029	L+AR	abführen+Quelle	ACTION_HEAD	E211	SELF	KEEP_UNAMBIGUOUS_ATTACHMENT	NO
212	E212	B2-S015	B2	f82r	tshey	MC141	CHEEY	Ergebnis	CONTENT_OR_STATE	E213	FORWARD	KEEP_UNAMBIGUOUS_ATTACHMENT	NO
213	E213	B2-S015	B2	f82r	qokeedy	MC082	OK+EE+CLOSE	ansetzen+länger+Schluss	ACTION_HEAD	E213	SELF	KEEP_UNAMBIGUOUS_ATTACHMENT	NO
214	E214	B2-S016	B2	f82r	cheal	MC154	AL	Ziel	ARGUMENT_OR_MODIFIER	E215	FORWARD	KEEP_UNAMBIGUOUS_ATTACHMENT	NO
215	E215	B2-S016	B2	f82r	lchedar	MC011	L+CHD+AR	abführen+umsetzen+Quelle	ACTION_HEAD	E215	SELF	KEEP_UNAMBIGUOUS_ATTACHMENT	NO
216	E216	B2-S016	B2	f82r	ches	MC152	PARTITION	teilen	ACTION_HEAD	E216	SELF	KEEP_UNAMBIGUOUS_ATTACHMENT	NO
217	E217	B2-S016	B2	f82r	aiin	MC039	AIIN	Sollmaß	ARGUMENT_OR_MODIFIER	E216	BACKWARD	KEEP_UNAMBIGUOUS_ATTACHMENT	NO
218	E218	B2-S016	B2	f82r	oteey	MC063	OT+EE+Y	danach+länger+Posten	ORDER_MARKER	E219	FORWARD	KEEP_UNAMBIGUOUS_ATTACHMENT	NO
219	E219	B2-S016	B2	f82r	qokaiin	MC120	OK+AIIN	ansetzen+Sollmaß	ACTION_HEAD	E219	SELF	KEEP_UNAMBIGUOUS_ATTACHMENT	NO
220	E220	B2-S016	B2	f82r	okey	MC007	OK+E+Y	ansetzen+kurz+Posten	ACTION_HEAD	E220	SELF	KEEP_UNAMBIGUOUS_ATTACHMENT	NO
221	E221	B2-S016	B2	f82r	pchedy	MC070	P+CHD+CLOSE	zuführen+umsetzen+Schluss	ACTION_HEAD	E221	SELF	KEEP_UNAMBIGUOUS_ATTACHMENT	NO
222	E222	B2-S017	B2	f82r	rsheal	MC102	SH+E+AL	halten+kurz+Ziel	ACTION_HEAD	E222	SELF	KEEP_UNAMBIGUOUS_ATTACHMENT	NO
223	E223	B2-S017	B2	f82r	daldy	MC079	AL+CLOSE	Ziel+Schluss	ENDPOINT_ONLY	E222	BACKWARD	KEEP_UNAMBIGUOUS_ATTACHMENT	NO
224	E224	B2-S018	B2	f82r	qokeedy	MC082	OK+EE+CLOSE	ansetzen+länger+Schluss	ACTION_HEAD	E224	SELF	KEEP_UNAMBIGUOUS_ATTACHMENT	NO
225	E225	B2-S019	B2	f82r	rshedy	MC084	WASH+CLOSE	waschen+Schluss	ACTION_HEAD	E225	SELF	KEEP_UNAMBIGUOUS_ATTACHMENT	NO
226	E226	B2-S020	B2	f82r	qoteedy	MC173	OT+EE+CLOSE	danach+länger+Schluss	ELLIPTIC_HEAD	E226	SELF	KEEP_UNAMBIGUOUS_ATTACHMENT	NO
227	E227	B2-S021	B2	f82r	qokeedy	MC082	OK+EE+CLOSE	ansetzen+länger+Schluss	ACTION_HEAD	E227	SELF	KEEP_UNAMBIGUOUS_ATTACHMENT	NO
228	E228	B2-S022	B2	f82r	lochedy	MC167	L+CHD+CLOSE	abführen+umsetzen+Schluss	ACTION_HEAD	E228	SELF	KEEP_UNAMBIGUOUS_ATTACHMENT	NO
229	E229	B3-S001	B3	f83r	olkeedy	MC045	SOLK+EE+CLOSE	sammeln+länger+Schluss	ACTION_HEAD	E229	SELF	KEEP_UNAMBIGUOUS_ATTACHMENT	NO
230	E230	B3-S002	B3	f83r	qotal	MC093	OT+AL	danach+Ziel	ORDER_MARKER	E231	FORWARD	KEEP_UNAMBIGUOUS_ATTACHMENT	NO
231	E231	B3-S002	B3	f83r	chkeedy	MC110	CHK+EE+CLOSE	wärmen+länger+Schluss	ACTION_HEAD	E231	SELF	KEEP_UNAMBIGUOUS_ATTACHMENT	NO
232	E232	B3-S003	B3	f83r	chey	MC123	Y	Posten	ARGUMENT_OR_MODIFIER	E235	FORWARD	KEEP_UNAMBIGUOUS_ATTACHMENT	NO
233	E233	B3-S003	B3	f83r	daiin	MC039	AIIN	Sollmaß	ARGUMENT_OR_MODIFIER	E235	FORWARD	KEEP_UNAMBIGUOUS_ATTACHMENT	NO
234	E234	B3-S003	B3	f83r	chey	MC123	Y	Posten	ARGUMENT_OR_MODIFIER	E235	FORWARD	KEEP_UNAMBIGUOUS_ATTACHMENT	NO
235	E235	B3-S003	B3	f83r	lchedy	MC155	L+CHD+CLOSE	abführen+umsetzen+Schluss	ACTION_HEAD	E235	SELF	KEEP_UNAMBIGUOUS_ATTACHMENT	NO
236	E236	B3-S004	B3	f83r	qokaiin	MC120	OK+AIIN	ansetzen+Sollmaß	ACTION_HEAD	E236	SELF	KEEP_UNAMBIGUOUS_ATTACHMENT	NO
237	E237	B3-S004	B3	f83r	qotal	MC093	OT+AL	danach+Ziel	ORDER_MARKER	E236	BACKWARD	KEEP_UNAMBIGUOUS_ATTACHMENT	NO
238	E238	B3-S004	B3	f83r	dar	MC055	AR	Quelle	ARGUMENT_OR_MODIFIER	E236	BACKWARD	KEEP_UNAMBIGUOUS_ATTACHMENT	NO
239	E239	B3-S005	B3	f83r	schedy	MC025	CHD+CLOSE	umsetzen+Schluss	ACTION_HEAD	E239	SELF	KEEP_UNAMBIGUOUS_ATTACHMENT	NO
240	E240	B3-S006	B3	f83r	chedchy	MC064	CHD+Y	umsetzen+Posten	ACTION_HEAD	E240	SELF	KEEP_UNAMBIGUOUS_ATTACHMENT	NO
241	E241	B3-S006	B3	f83r	qokal	MC040	OK+AL	ansetzen+Ziel	ACTION_HEAD	E241	SELF	KEEP_UNAMBIGUOUS_ATTACHMENT	NO
242	E242	B3-S006	B3	f83r	olchedy	MC028	OL+CHD+CLOSE	weiter+umsetzen+Schluss	ACTION_HEAD	E242	SELF	KEEP_UNAMBIGUOUS_ATTACHMENT	NO
243	E243	B3-S007	B3	f83r	qokaiin	MC120	OK+AIIN	ansetzen+Sollmaß	ACTION_HEAD	E243	SELF	KEEP_UNAMBIGUOUS_ATTACHMENT	NO
244	E244	B3-S007	B3	f83r	chedy	MC074	CHD+Y	umsetzen+Posten	ACTION_HEAD	E244	SELF	KEEP_UNAMBIGUOUS_ATTACHMENT	NO
245	E245	B3-S007	B3	f83r	qokeedy	MC082	OK+EE+CLOSE	ansetzen+länger+Schluss	ACTION_HEAD	E245	SELF	KEEP_UNAMBIGUOUS_ATTACHMENT	NO
246	E246	B3-S008	B3	f83r	lchedy	MC155	L+CHD+CLOSE	abführen+umsetzen+Schluss	ACTION_HEAD	E246	SELF	KEEP_UNAMBIGUOUS_ATTACHMENT	NO
247	E247	B3-S009	B3	f83r	qoky	MC026	OK+Y	ansetzen+Posten	ACTION_HEAD	E247	SELF	KEEP_UNAMBIGUOUS_ATTACHMENT	NO
248	E248	B3-S010	B3	f83r	pchedal	MC126	P+CHD+AL	zuführen+umsetzen+Ziel	ACTION_HEAD	E248	SELF	KEEP_UNAMBIGUOUS_ATTACHMENT	NO
249	E249	B3-S010	B3	f83r	otedy	MC135	OT+E+CLOSE	danach+kurz+Schluss	ORDER_MARKER	E248	BACKWARD	KEEP_UNAMBIGUOUS_ATTACHMENT	NO
250	E250	B3-S011	B3	f83r	shecthedchy	MC043	CTH+CHD+Y	bereit+umsetzen+Posten	ACTION_HEAD	E250	SELF	KEEP_UNAMBIGUOUS_ATTACHMENT	NO
251	E251	B3-S011	B3	f83r	qoky	MC026	OK+Y	ansetzen+Posten	ACTION_HEAD	E251	SELF	KEEP_UNAMBIGUOUS_ATTACHMENT	NO
252	E252	B3-S011	B3	f83r	chedy	MC074	CHD+Y	umsetzen+Posten	ACTION_HEAD	E252	SELF	KEEP_UNAMBIGUOUS_ATTACHMENT	NO
253	E253	B3-S011	B3	f83r	chary	MC009	AR+Y	Quelle+Posten	ARGUMENT_OR_MODIFIER	E252	BACKWARD	KEEP_UNAMBIGUOUS_ATTACHMENT	NO
254	E254	B3-S012	B3	f83r	sor	MC080	OR	Ansatz	CONTENT_OR_STATE	E255	FORWARD	KEEP_UNAMBIGUOUS_ATTACHMENT	NO
255	E255	B3-S012	B3	f83r	shedy	MC128	SHED+E+CLOSE	absetzen+kurz+Schluss	ACTION_HEAD	E255	SELF	KEEP_UNAMBIGUOUS_ATTACHMENT	NO
256	E256	B3-S013	B3	f83r	qokaiin	MC120	OK+AIIN	ansetzen+Sollmaß	ACTION_HEAD	E256	SELF	KEEP_UNAMBIGUOUS_ATTACHMENT	NO
257	E257	B3-S013	B3	f83r	chkain	MC105	AIN	Anteil	ARGUMENT_OR_MODIFIER	E256	BACKWARD	SOURCE_QUANTITY_TARGET_OR_FINAL_RESULT_MODIFIES_COMPLETED_ACTION	YES
258	E258	B3-S013	B3	f83r	shcthey	MC073	CTH+E+Y	bereit+kurz+Posten	ACTION_HEAD	E258	SELF	KEEP_UNAMBIGUOUS_ATTACHMENT	NO
259	E259	B3-S013	B3	f83r	qokedy	MC083	OK+E+CLOSE	ansetzen+kurz+Schluss	ACTION_HEAD	E259	SELF	KEEP_UNAMBIGUOUS_ATTACHMENT	NO
260	E260	B3-S014	B3	f83r	okair	MC081	OK+AIR	ansetzen+Lauf	ACTION_HEAD	E260	SELF	KEEP_UNAMBIGUOUS_ATTACHMENT	NO
261	E261	B3-S014	B3	f83r	sheedy	MC003	SHED+EE+CLOSE	absetzen+länger+Schluss	ACTION_HEAD	E261	SELF	KEEP_UNAMBIGUOUS_ATTACHMENT	NO
262	E262	B3-S015	B3	f83r	lchedy	MC155	L+CHD+CLOSE	abführen+umsetzen+Schluss	ACTION_HEAD	E262	SELF	KEEP_UNAMBIGUOUS_ATTACHMENT	NO
263	E263	B3-S016	B3	f83r	lo	MC030	L	abführen	ACTION_HEAD	E263	SELF	KEEP_UNAMBIGUOUS_ATTACHMENT	NO
264	E264	B3-S016	B3	f83r	qokchedy	MC005	OK+CHD+CLOSE	ansetzen+umsetzen+Schluss	ACTION_HEAD	E264	SELF	KEEP_UNAMBIGUOUS_ATTACHMENT	NO
265	E265	B3-S017	B3	f83r	qokeedy	MC082	OK+EE+CLOSE	ansetzen+länger+Schluss	ACTION_HEAD	E265	SELF	KEEP_UNAMBIGUOUS_ATTACHMENT	NO
266	E266	B3-S018	B3	f83r	shedy	MC128	SHED+E+CLOSE	absetzen+kurz+Schluss	ACTION_HEAD	E266	SELF	KEEP_UNAMBIGUOUS_ATTACHMENT	NO
267	E267	B3-S019	B3	f83r	qokshedy	MC151	OK+SHED+CLOSE	ansetzen+absetzen+Schluss	ACTION_HEAD	E267	SELF	KEEP_UNAMBIGUOUS_ATTACHMENT	NO
268	E268	B3-S020	B3	f83r	dal	MC154	AL	Ziel	ARGUMENT_OR_MODIFIER	E269	FORWARD	KEEP_UNAMBIGUOUS_ATTACHMENT	NO
269	E269	B3-S020	B3	f83r	lchedy	MC155	L+CHD+CLOSE	abführen+umsetzen+Schluss	ACTION_HEAD	E269	SELF	KEEP_UNAMBIGUOUS_ATTACHMENT	NO
270	E270	B3-S021	B3	f83r	qokaiin	MC120	OK+AIIN	ansetzen+Sollmaß	ACTION_HEAD	E270	SELF	KEEP_UNAMBIGUOUS_ATTACHMENT	NO
271	E271	B3-S021	B3	f83r	shcthy	MC161	CTH+Y	bereit+Posten	ACTION_HEAD	E271	SELF	KEEP_UNAMBIGUOUS_ATTACHMENT	NO
272	E272	B3-S021	B3	f83r	dal	MC154	AL	Ziel	ARGUMENT_OR_MODIFIER	E271	BACKWARD	KEEP_UNAMBIGUOUS_ATTACHMENT	NO
273	E273	B3-S021	B3	f83r	sy	MC123	Y	Posten	ARGUMENT_OR_MODIFIER	E271	BACKWARD	SOURCE_QUANTITY_TARGET_OR_FINAL_RESULT_MODIFIES_COMPLETED_ACTION	YES
274	E274	B3-S021	B3	f83r	saiin	MC039	AIIN	Sollmaß	ARGUMENT_OR_MODIFIER	E275	FORWARD	KEEP_UNAMBIGUOUS_ATTACHMENT	NO
275	E275	B3-S021	B3	f83r	shedal	MC113	SHED+AL	absetzen+Ziel	ACTION_HEAD	E275	SELF	KEEP_UNAMBIGUOUS_ATTACHMENT	NO
276	E276	B3-S021	B3	f83r	shecthy	MC137	CTH+E+Y	bereit+kurz+Posten	ACTION_HEAD	E276	SELF	KEEP_UNAMBIGUOUS_ATTACHMENT	NO
277	E277	B3-S021	B3	f83r	chey	MC123	Y	Posten	ARGUMENT_OR_MODIFIER	E276	BACKWARD	KEEP_UNAMBIGUOUS_ATTACHMENT	NO
278	E278	B3-S021	B3	f83r	tal	MC154	AL	Ziel	ARGUMENT_OR_MODIFIER	E279	FORWARD	KEEP_UNAMBIGUOUS_ATTACHMENT	NO
279	E279	B3-S021	B3	f83r	shcthy	MC161	CTH+Y	bereit+Posten	ACTION_HEAD	E279	SELF	KEEP_UNAMBIGUOUS_ATTACHMENT	NO
280	E280	B3-S021	B3	f83r	dalchdy	MC031	AL+CHD+CLOSE	Ziel+umsetzen+Schluss	ACTION_HEAD	E280	SELF	KEEP_UNAMBIGUOUS_ATTACHMENT	NO
281	E281	B3-S022	B3	f83r	qotchedy	MC057	OT+CHD+CLOSE	danach+umsetzen+Schluss	ACTION_HEAD	E281	SELF	KEEP_UNAMBIGUOUS_ATTACHMENT	NO
282	E282	B3-S023	B3	f83r	lchedy	MC155	L+CHD+CLOSE	abführen+umsetzen+Schluss	ACTION_HEAD	E282	SELF	KEEP_UNAMBIGUOUS_ATTACHMENT	NO
283	E283	B3-S024	B3	f83r	tchedy	MC025	CHD+CLOSE	umsetzen+Schluss	ACTION_HEAD	E283	SELF	KEEP_UNAMBIGUOUS_ATTACHMENT	NO
284	E284	B3-S025	B3	f83r	qokchdy	MC088	OK+CHD+CLOSE	ansetzen+umsetzen+Schluss	ACTION_HEAD	E284	SELF	KEEP_UNAMBIGUOUS_ATTACHMENT	NO
285	E285	B3-S026	B3	f83r	cheedar	MC042	CHD+AR	umsetzen+Quelle	ACTION_HEAD	E285	SELF	KEEP_UNAMBIGUOUS_ATTACHMENT	NO
286	E286	B3-S026	B3	f83r	chldaiin	MC144	SHED+AIIN	absetzen+Sollmaß	ACTION_HEAD	E286	SELF	KEEP_UNAMBIGUOUS_ATTACHMENT	NO
287	E287	B3-S026	B3	f83r	chedy	MC074	CHD+Y	umsetzen+Posten	ACTION_HEAD	E287	SELF	KEEP_UNAMBIGUOUS_ATTACHMENT	NO
288	E288	B3-S026	B3	f83r	qokain	MC017	OK+AIN	ansetzen+Anteil	ACTION_HEAD	E288	SELF	KEEP_UNAMBIGUOUS_ATTACHMENT	NO
289	E289	B3-S026	B3	f83r	checthy	MC161	CTH+Y	bereit+Posten	ACTION_HEAD	E289	SELF	KEEP_UNAMBIGUOUS_ATTACHMENT	NO
290	E290	B3-S026	B3	f83r	chealror	MC146	AL+OR	Ziel+Ansatz	CONTENT_OR_STATE	E291	FORWARD	MATERIAL_OR_STATE_BETWEEN_ACTIONS_FEEDS_NEXT_ACTION	YES
291	E291	B3-S026	B3	f83r	solkeedy	MC045	SOLK+EE+CLOSE	sammeln+länger+Schluss	ACTION_HEAD	E291	SELF	KEEP_UNAMBIGUOUS_ATTACHMENT	NO
292	E292	B3-S027	B3	f83r	qoteedy	MC173	OT+EE+CLOSE	danach+länger+Schluss	ELLIPTIC_HEAD	E292	SELF	KEEP_UNAMBIGUOUS_ATTACHMENT	NO
293	E293	B3-S028	B3	f83r	qokeey	MC002	OK+EE+Y	ansetzen+länger+Posten	ACTION_HEAD	E293	SELF	KEEP_UNAMBIGUOUS_ATTACHMENT	NO
294	E294	B3-S028	B3	f83r	qokedy	MC083	OK+E+CLOSE	ansetzen+kurz+Schluss	ACTION_HEAD	E294	SELF	KEEP_UNAMBIGUOUS_ATTACHMENT	NO
295	E295	B3-S029	B3	f83r	sol	MC153	OL	weiter	ACTION_HEAD	E295	SELF	KEEP_UNAMBIGUOUS_ATTACHMENT	NO
