frontier_priority_rank	frontier_tier_rank	frontier_support_tier	frontier_support_reason	source_matrix_cell_id	frozen_frame	action_root	action_recipe	register	portable_component_trace_de	owner_local_component_trace_de	current_default_phrase_de	gdt500_editorial_status	component_count	partial_candidate_count	exact_partial_witness_count	same_register_action_partial_count	same_register_action_partial_recipes	same_register_action_partial_event_count	same_register_near_deletion_count	same_register_near_deletion_recipes	same_register_near_deletion_event_count	longest_same_register_action_partial_length	same_register_frame_backbone_count	same_register_frame_backbone_recipes	same_register_frame_backbone_event_count	cross_register_action_partial_count	cross_register_action_partial_event_count	cross_register_near_deletion_count	cross_register_near_deletion_event_count	longest_cross_register_action_partial_length	ordered_action_pair	ordered_pair_attested	ordered_pair_attested_in_target_register	ordered_pair_event_count	ordered_pair_register_count	all_component_value_cells_old	evidence_status_retained	working_root_meaning_changed	current_phrase_changed	surface_prediction_made	occurrence_prediction_made	guard
37	18	C_STRUCTURAL_PARTIAL_OR_ACTION_PAIR	CROSS_REGISTER_PARTIAL_OR_ATTESTED_PAIR_OR_LOCAL_BACKBONE	G498-M191	@ACTION+AL+Y	SH	SH+AL+Y	SOURCE_SECTION_T	HALTEN · ZIELORT · POSTEN	FESTHALTEN · ZIELSPALTE · LAUFENDER EINTRAG	Halte den laufenden Eintrag fest; zur Zielspalte.	UNCHANGED	3	3	5	0	NONE	0	0	NONE	0	0	0	NONE	0	2	2	2	2	2	NONE	NO	NO	0	0	YES	COMPOSED_WORKING	NO	NO	NO	NO	PARTIAL_SUPPORT_RANKING_ONLY__CURRENT_PHRASES_AND_COMPOSED_LABELS_RETAINED
38	19	C_STRUCTURAL_PARTIAL_OR_ACTION_PAIR	CROSS_REGISTER_PARTIAL_OR_ATTESTED_PAIR_OR_LOCAL_BACKBONE	G498-M222	@ACTION+AL+Y	P	P+AL+Y	HERBAL	EINSETZEN · ZIELORT · POSTEN	MATERIAL EINSETZEN · ZIELSTELLE · PFLANZENPOSTEN	Setze den Pflanzenposten ein; zur Zielstelle.	UNCHANGED	3	3	4	0	NONE	0	0	NONE	0	0	0	NONE	0	1	1	1	1	2	NONE	NO	NO	0	0	YES	COMPOSED_WORKING	NO	NO	NO	NO	PARTIAL_SUPPORT_RANKING_ONLY__CURRENT_PHRASES_AND_COMPOSED_LABELS_RETAINED
39	20	C_STRUCTURAL_PARTIAL_OR_ACTION_PAIR	CROSS_REGISTER_PARTIAL_OR_ATTESTED_PAIR_OR_LOCAL_BACKBONE	G498-M221	@ACTION+AL+Y	P	P+AL+Y	SOURCE_SECTION_T	EINSETZEN · ZIELORT · POSTEN	IN EINTRAG EINSETZEN · ZIELSPALTE · LAUFENDER EINTRAG	Setze den laufenden Eintrag ein; zur Zielspalte.	UNCHANGED	3	3	4	0	NONE	0	0	NONE	0	0	0	NONE	0	1	1	1	1	2	NONE	NO	NO	0	0	YES	COMPOSED_WORKING	NO	NO	NO	NO	PARTIAL_SUPPORT_RANKING_ONLY__CURRENT_PHRASES_AND_COMPOSED_LABELS_RETAINED
40	21	C_STRUCTURAL_PARTIAL_OR_ACTION_PAIR	CROSS_REGISTER_PARTIAL_OR_ATTESTED_PAIR_OR_LOCAL_BACKBONE	G498-M404	@ACTION+OR+Y	P	P+OR+Y	CELESTIAL	EINSETZEN · EINHEIT · POSTEN	EINTRAG EINSETZEN · POSITIONSEINHEIT · POSITIONSPOSTEN	Setze die Positionseinheit und den Positionsposten ein.	UNCHANGED	3	3	3	0	NONE	0	0	NONE	0	0	0	NONE	0	1	1	1	1	2	NONE	NO	NO	0	0	YES	COMPOSED_WORKING	NO	NO	NO	NO	PARTIAL_SUPPORT_RANKING_ONLY__CURRENT_PHRASES_AND_COMPOSED_LABELS_RETAINED
41	22	C_STRUCTURAL_PARTIAL_OR_ACTION_PAIR	CROSS_REGISTER_PARTIAL_OR_ATTESTED_PAIR_OR_LOCAL_BACKBONE	G498-M495	CH+@ACTION	P	CH+P	PHARMA	NEHMEN · EINSETZEN	DROGENPOSTEN NEHMEN · ZUTAT EINSETZEN	Nimm das zuvor Genannte und setze es ein.	UNCHANGED	2	0	0	0	NONE	0	0	NONE	0	0	0	NONE	0	0	0	0	0	0	CH+P	YES	YES	25	5	YES	COMPOSED_WORKING	NO	NO	NO	NO	PARTIAL_SUPPORT_RANKING_ONLY__CURRENT_PHRASES_AND_COMPOSED_LABELS_RETAINED
42	23	C_STRUCTURAL_PARTIAL_OR_ACTION_PAIR	CROSS_REGISTER_PARTIAL_OR_ATTESTED_PAIR_OR_LOCAL_BACKBONE	G498-M491	CH+@ACTION	P	CH+P	SOURCE_SECTION_T	NEHMEN · EINSETZEN	ENTNEHMEN · IN EINTRAG EINSETZEN	Entnimm das zuvor Genannte und setze es ein.	UNCHANGED	2	0	0	0	NONE	0	0	NONE	0	0	0	NONE	0	0	0	0	0	0	CH+P	YES	YES	25	5	YES	COMPOSED_WORKING	NO	NO	NO	NO	PARTIAL_SUPPORT_RANKING_ONLY__CURRENT_PHRASES_AND_COMPOSED_LABELS_RETAINED
43	24	C_STRUCTURAL_PARTIAL_OR_ACTION_PAIR	CROSS_REGISTER_PARTIAL_OR_ATTESTED_PAIR_OR_LOCAL_BACKBONE	G498-M460	CH+@ACTION	CH	CH+CH	PHARMA	NEHMEN · NEHMEN	DROGENPOSTEN NEHMEN · DROGENPOSTEN NEHMEN	Nimm das zuvor Genannte zweimal.	REPEATED_ACTION_COMPRESSED	2	0	0	0	NONE	0	0	NONE	0	0	0	NONE	0	0	0	0	0	0	CH+CH	YES	NO	7	3	YES	COMPOSED_WORKING	NO	NO	NO	NO	PARTIAL_SUPPORT_RANKING_ONLY__CURRENT_PHRASES_AND_COMPOSED_LABELS_RETAINED
44	25	C_STRUCTURAL_PARTIAL_OR_ACTION_PAIR	CROSS_REGISTER_PARTIAL_OR_ATTESTED_PAIR_OR_LOCAL_BACKBONE	G498-M456	CH+@ACTION	CH	CH+CH	SOURCE_SECTION_T	NEHMEN · NEHMEN	ENTNEHMEN · ENTNEHMEN	Entnimm das zuvor Genannte zweimal.	REPEATED_ACTION_COMPRESSED	2	0	0	0	NONE	0	0	NONE	0	0	0	NONE	0	0	0	0	0	0	CH+CH	YES	NO	7	3	YES	COMPOSED_WORKING	NO	NO	NO	NO	PARTIAL_SUPPORT_RANKING_ONLY__CURRENT_PHRASES_AND_COMPOSED_LABELS_RETAINED
45	26	C_STRUCTURAL_PARTIAL_OR_ACTION_PAIR	CROSS_REGISTER_PARTIAL_OR_ATTESTED_PAIR_OR_LOCAL_BACKBONE	G498-M465	CH+@ACTION	SH	CH+SH	PHARMA	NEHMEN · HALTEN	DROGENPOSTEN NEHMEN · ANSATZ HALTEN	Nimm das zuvor Genannte und halte es.	UNCHANGED	2	0	0	0	NONE	0	0	NONE	0	0	0	NONE	0	0	0	0	0	0	CH+SH	YES	NO	3	2	YES	COMPOSED_WORKING	NO	NO	NO	NO	PARTIAL_SUPPORT_RANKING_ONLY__CURRENT_PHRASES_AND_COMPOSED_LABELS_RETAINED
46	27	C_STRUCTURAL_PARTIAL_OR_ACTION_PAIR	CROSS_REGISTER_PARTIAL_OR_ATTESTED_PAIR_OR_LOCAL_BACKBONE	G498-M461	CH+@ACTION	SH	CH+SH	SOURCE_SECTION_T	NEHMEN · HALTEN	ENTNEHMEN · FESTHALTEN	Entnimm das zuvor Genannte und halte es fest.	UNCHANGED	2	0	0	0	NONE	0	0	NONE	0	0	0	NONE	0	0	0	0	0	0	CH+SH	YES	NO	3	2	YES	COMPOSED_WORKING	NO	NO	NO	NO	PARTIAL_SUPPORT_RANKING_ONLY__CURRENT_PHRASES_AND_COMPOSED_LABELS_RETAINED
47	1	D_ATOMIC_VALUES_ONLY	NO_EXACT_MULTIATOM_PARTIAL_OR_ATTESTED_ACTION_PAIR	G498-M480	CH+@ACTION	CHD	CH+CHD	PHARMA	NEHMEN · BEARBEITEN	DROGENPOSTEN NEHMEN · ANSATZ BEARBEITEN	Nimm das zuvor Genannte und bearbeite es.	UNCHANGED	2	0	0	0	NONE	0	0	NONE	0	0	0	NONE	0	0	0	0	0	0	CH+CHD	NO	NO	0	0	YES	COMPOSED_WORKING	NO	NO	NO	NO	PARTIAL_SUPPORT_RANKING_ONLY__CURRENT_PHRASES_AND_COMPOSED_LABELS_RETAINED
48	2	D_ATOMIC_VALUES_ONLY	NO_EXACT_MULTIATOM_PARTIAL_OR_ATTESTED_ACTION_PAIR	G498-M476	CH+@ACTION	CHD	CH+CHD	SOURCE_SECTION_T	NEHMEN · BEARBEITEN	ENTNEHMEN · EINTRAG BEARBEITEN	Entnimm das zuvor Genannte und bearbeite es.	UNCHANGED	2	0	0	0	NONE	0	0	NONE	0	0	0	NONE	0	0	0	0	0	0	CH+CHD	NO	NO	0	0	YES	COMPOSED_WORKING	NO	NO	NO	NO	PARTIAL_SUPPORT_RANKING_ONLY__CURRENT_PHRASES_AND_COMPOSED_LABELS_RETAINED
49	3	D_ATOMIC_VALUES_ONLY	NO_EXACT_MULTIATOM_PARTIAL_OR_ATTESTED_ACTION_PAIR	G498-M455	CH+@ACTION	OK	CH+OK	PHARMA	NEHMEN · SETZEN	DROGENPOSTEN NEHMEN · ANSATZ ANSETZEN	Nimm das zuvor Genannte und setze es als Ansatz an.	UNCHANGED	2	0	0	0	NONE	0	0	NONE	0	0	0	NONE	0	0	0	0	0	0	CH+OK	NO	NO	0	0	YES	COMPOSED_WORKING	NO	NO	NO	NO	PARTIAL_SUPPORT_RANKING_ONLY__CURRENT_PHRASES_AND_COMPOSED_LABELS_RETAINED
50	4	D_ATOMIC_VALUES_ONLY	NO_EXACT_MULTIATOM_PARTIAL_OR_ATTESTED_ACTION_PAIR	G498-M451	CH+@ACTION	OK	CH+OK	SOURCE_SECTION_T	NEHMEN · SETZEN	ENTNEHMEN · EINTRAGEN	Entnimm das zuvor Genannte und trage es ein.	UNCHANGED	2	0	0	0	NONE	0	0	NONE	0	0	0	NONE	0	0	0	0	0	0	CH+OK	NO	NO	0	0	YES	COMPOSED_WORKING	NO	NO	NO	NO	PARTIAL_SUPPORT_RANKING_ONLY__CURRENT_PHRASES_AND_COMPOSED_LABELS_RETAINED
