statement_id	record_unit_id	page	visible_surface_sequence	revised_literal_chain_de	shared_skeleton_de	formula_expansion_de	spoken_clause_de	previous_clause_de
B4-S002	B4	f83r	qolchey qokeey qokedy	weiter · Posten | lange einwirken | kurz einwirken; Schluss	KEINE GEMEINSAME KARTE	KEINE KLAMMERFORMEL	weiter · Posten; lange einwirken; kurz einwirken; Schluss.	weiter · Posten; lange einwirken; kurz einwirken; Schluss.
B4-S003	B4	f83r	chedy otal otchey qokeey qoky tol shedy	überführen | danach dorthin | das nächste | lange einwirken | einsetzen | weiter | kurz absetzen; Schluss	überführen | das nächste | einsetzen | weiter	KEINE KLAMMERFORMEL	überführen; danach dorthin; das nächste; lange einwirken; einsetzen; weiter; kurz absetzen; Schluss.	überführen; danach dorthin; das nächste; lange einwirken; einsetzen; weiter; kurz absetzen; Schluss.
B4-S004	B4	f83r	qokylddy	einsetzen · Posten · festbinden	KEINE GEMEINSAME KARTE	KEINE KLAMMERFORMEL	einsetzen · Posten · festbinden.	einsetzen · Posten · festbinden.
B4-S005	B4	f83r	dain chedy qokeedy	Tuch | überführen | lange einwirken; Schluss	überführen	KEINE KLAMMERFORMEL	Tuch; überführen; lange einwirken; Schluss.	Tuch; überführen; lange einwirken; Schluss.
B4-S006	B4	f83r	shckhedy	seihen; Schluss	KEINE GEMEINSAME KARTE	KEINE KLAMMERFORMEL	seihen; Schluss.	seihen; Schluss.
B4-S007	B4	f83r	shckhedy	seihen; Schluss	KEINE GEMEINSAME KARTE	KEINE KLAMMERFORMEL	seihen; Schluss.	seihen; Schluss.
B4-S008	B4	f83r	saiin cheeky sheey qokedy	Sollmaß | länger bearbeiten | halten · länger · Posten | kurz einwirken; Schluss	Sollmaß | länger bearbeiten	KEINE KLAMMERFORMEL	Sollmaß; länger bearbeiten; halten · länger · Posten; kurz einwirken; Schluss.	Sollmaß; länger bearbeiten; halten · länger · Posten; kurz einwirken; Schluss.
B4-S009	B4	f83r	shedy	kurz absetzen; Schluss	KEINE GEMEINSAME KARTE	KEINE KLAMMERFORMEL	kurz absetzen; Schluss.	kurz absetzen; Schluss.
B4-S010	B4	f83r	oldy	fertig	fertig	KEINE KLAMMERFORMEL	fertig.	fertig.
B4-S011	B4	f83r	saiin cheky okeeol okain chdy sol lkedy	Sollmaß | kurz wärmen | einsetzen · länger · weiter | Anteil zugeben | überführen | weiter | abführen · kurz; schließen	Sollmaß | überführen | weiter	KEINE KLAMMERFORMEL	Sollmaß; kurz wärmen; einsetzen · länger · weiter; Anteil zugeben; überführen; weiter; abführen · kurz; schließen.	Sollmaß; kurz wärmen; einsetzen · länger · weiter; Anteil zugeben; überführen; weiter; abführen · kurz; schließen.
B4-S012	B4	f83r	lchedy	abführen; Schluss	KEINE GEMEINSAME KARTE	KEINE KLAMMERFORMEL	abführen; Schluss.	abführen; Schluss.
B4-S013	B4	f83r	qokol shedy	einsetzen · weiter | kurz absetzen; Schluss	KEINE GEMEINSAME KARTE	KEINE KLAMMERFORMEL	einsetzen · weiter; kurz absetzen; Schluss.	einsetzen · weiter; kurz absetzen; Schluss.
B4-S014	B4	f83r	or chey qockhey dairydy	Ansatz | dies | einsetzen · Durchgang · kurz · Posten | Flüssigkeitslauf · Posten; schließen	Ansatz | dies	KEINE KLAMMERFORMEL	Ansatz; dies; einsetzen · Durchgang · kurz · Posten; Flüssigkeitslauf · Posten; schließen.	Ansatz; dies; einsetzen · Durchgang · kurz · Posten; Flüssigkeitslauf · Posten; schließen.
B4-S015	B4	f83r	qokain shey kain chckhal solkey lchedy	Anteil zugeben | Klarauszug | Anteil | Durchgang · Zielstelle | auffangen · kurz · Posten | abführen; Schluss	Klarauszug	KEINE KLAMMERFORMEL	Anteil zugeben; Klarauszug; Anteil; Durchgang · Zielstelle; auffangen · kurz · Posten; abführen; Schluss.	Anteil zugeben; Klarauszug; Anteil; Durchgang · Zielstelle; auffangen · kurz · Posten; abführen; Schluss.
B4-S016	B4	f83r	qolkain dal skar shedy	weiter · Anteil | dorthin | ausgießen · Ausgang | kurz absetzen; Schluss	dorthin	KEINE KLAMMERFORMEL	weiter · Anteil; dorthin; ausgießen · Ausgang; kurz absetzen; Schluss.	weiter · Anteil; dorthin; ausgießen · Ausgang; kurz absetzen; Schluss.
B5-S001	B5	f83r	otchdy	danach · übertragen; schließen	KEINE GEMEINSAME KARTE	KEINE KLAMMERFORMEL	danach · übertragen; schließen.	danach · übertragen; schließen.
B5-S002	B5	f83r	qokchdy	einführen; Schluss	KEINE GEMEINSAME KARTE	KEINE KLAMMERFORMEL	einführen; Schluss.	einführen; Schluss.
B5-S003	B5	f83r	shedal dal cheol lol chdal aiin sol daiiin chedy	absetzen · Zielstelle | dorthin | weiter | abführen · weiter | übertragen · Zielstelle | Sollmaß | weiter | Arbeitsstufe | überführen	dorthin | weiter | Sollmaß | weiter | überführen	KEINE KLAMMERFORMEL	absetzen · Zielstelle; dorthin; weiter; abführen · weiter; übertragen · Zielstelle; Sollmaß; weiter; Arbeitsstufe; überführen.	absetzen · Zielstelle; dorthin; weiter; abführen · weiter; übertragen · Zielstelle; Sollmaß; weiter; Arbeitsstufe; überführen.
B6-S001	B6	f83r	solkeey qekey raly ol daiin ol dain chey ldalor	auffangen · länger · Posten | bearbeiten · kurz · Posten | Zielstelle · Posten | weiter | Sollmaß | weiter | Tuch | dies | Zielstelle	weiter | Sollmaß | weiter | dies	KEINE KLAMMERFORMEL	auffangen · länger · Posten; bearbeiten · kurz · Posten; Zielstelle · Posten; weiter; Sollmaß; weiter; Tuch; dies; Zielstelle.	auffangen · länger · Posten; bearbeiten · kurz · Posten; Zielstelle · Posten; weiter; Sollmaß; weiter; Tuch; dies; Zielstelle.
