type_template_ordinal	ordered_type_signature	event_count	recipe_count	physical_page_count	register_count	slot_count	typed_slot_template_de	example_recipes	example_default_phrases_de	composition_rule	historical_status
52	STATE_CONTROL+ACTION_HEAD	3	2	3	2	2	ZUSTANDSSTEUERUNG → HANDLUNG	OL+P | OL+S	weiter; wählen | weiter; einsetzen	FILL_EACH_SLOT_WITH_ATOM_VALUE_AND_READ_LEFT_TO_RIGHT	EDITORIAL_WORKING_TEMPLATE__NOT_CONFIRMED_SYNTAX
53	STATE_CONTROL+ACTION_HEAD+GRADE+FORMAL_CONTROL+STATE_CONTROL	3	1	3	2	5	ZUSTANDSSTEUERUNG → HANDLUNG → GRAD → FORMSTEUERUNG → ZUSTANDSSTEUERUNG	OL+CH+E+O+DY	weiter; nehmen; auf Grad I; zur Ausführung; abschließen	FILL_EACH_SLOT_WITH_ATOM_VALUE_AND_READ_LEFT_TO_RIGHT	EDITORIAL_WORKING_TEMPLATE__NOT_CONFIRMED_SYNTAX
54	STATE_CONTROL+ACTION_HEAD+GRADE+LOCAL_OR_CLASS_SIGN+ARGUMENT	3	1	2	1	5	ZUSTANDSSTEUERUNG → HANDLUNG → GRAD → LOKAL-/KLASSENZEICHEN → ARGUMENT	OL+K+EE+D_ADDR+Y	weiter; geben; auf Grad II; hier; den Posten	FILL_EACH_SLOT_WITH_ATOM_VALUE_AND_READ_LEFT_TO_RIGHT	EDITORIAL_WORKING_TEMPLATE__NOT_CONFIRMED_SYNTAX
55	STATE_CONTROL+GRADE+FORMAL_CONTROL+ACTION_HEAD+GRADE+ARGUMENT	3	2	3	2	6	ZUSTANDSSTEUERUNG → GRAD → FORMSTEUERUNG → HANDLUNG → GRAD → ARGUMENT	OT+E+O+CH+E+Y | OT+E+O+K+EE+Y	danach; auf Grad I; zur Ausführung; geben; auf Grad II; den Posten | danach; auf Grad I; zur Ausführung; nehmen; auf Grad I; den Posten	FILL_EACH_SLOT_WITH_ATOM_VALUE_AND_READ_LEFT_TO_RIGHT	EDITORIAL_WORKING_TEMPLATE__NOT_CONFIRMED_SYNTAX
56	STATE_CONTROL+GRADE+FORMAL_CONTROL+LOCAL_OR_CLASS_SIGN+RELATION	3	1	2	1	5	ZUSTANDSSTEUERUNG → GRAD → FORMSTEUERUNG → LOKAL-/KLASSENZEICHEN → RELATION	OT+E+O+D_ADDR+AR	danach; auf Grad I; zur Ausführung; hier; vom Ausgang	FILL_EACH_SLOT_WITH_ATOM_VALUE_AND_READ_LEFT_TO_RIGHT	EDITORIAL_WORKING_TEMPLATE__NOT_CONFIRMED_SYNTAX
57	STATE_CONTROL+GRADE+FORMAL_CONTROL+STATE_CONTROL	3	2	2	2	4	ZUSTANDSSTEUERUNG → GRAD → FORMSTEUERUNG → ZUSTANDSSTEUERUNG	OT+E+O+DY | OT+EE+O+DY	danach; auf Grad II; zur Ausführung; abschließen | danach; auf Grad I; zur Ausführung; abschließen	FILL_EACH_SLOT_WITH_ATOM_VALUE_AND_READ_LEFT_TO_RIGHT	EDITORIAL_WORKING_TEMPLATE__NOT_CONFIRMED_SYNTAX
58	STATE_CONTROL+LOCAL_OR_CLASS_SIGN+ARGUMENT	3	1	2	1	3	ZUSTANDSSTEUERUNG → LOKAL-/KLASSENZEICHEN → ARGUMENT	OL+D_ADDR+AIIN	weiter; hier; den Wert	FILL_EACH_SLOT_WITH_ATOM_VALUE_AND_READ_LEFT_TO_RIGHT	EDITORIAL_WORKING_TEMPLATE__NOT_CONFIRMED_SYNTAX
59	ACTION_HEAD+ACTION_HEAD+FORMAL_CONTROL+LOCAL_OR_CLASS_SIGN+STATE_CONTROL	2	2	2	2	5	HANDLUNG → HANDLUNG → FORMSTEUERUNG → LOKAL-/KLASSENZEICHEN → ZUSTANDSSTEUERUNG	P+CH+O+D_ADDR+OL | T+CH+O+D_ADDR+OL	einsetzen; nehmen; zur Ausführung; hier; weiter | einstellen; nehmen; zur Ausführung; hier; weiter	FILL_EACH_SLOT_WITH_ATOM_VALUE_AND_READ_LEFT_TO_RIGHT	EDITORIAL_WORKING_TEMPLATE__NOT_CONFIRMED_SYNTAX
60	ACTION_HEAD+ACTION_HEAD+GRADE+FORMAL_CONTROL+STATE_CONTROL	2	2	2	2	5	HANDLUNG → HANDLUNG → GRAD → FORMSTEUERUNG → ZUSTANDSSTEUERUNG	CH+K+E+O+DY | CH+P+E+O+DY	nehmen; einsetzen; auf Grad I; zur Ausführung; abschließen | nehmen; geben; auf Grad I; zur Ausführung; abschließen	FILL_EACH_SLOT_WITH_ATOM_VALUE_AND_READ_LEFT_TO_RIGHT	EDITORIAL_WORKING_TEMPLATE__NOT_CONFIRMED_SYNTAX
61	ACTION_HEAD+GRADE+FORMAL_CONTROL+STATE_CONTROL	2	2	2	2	4	HANDLUNG → GRAD → FORMSTEUERUNG → ZUSTANDSSTEUERUNG	T+E+O+DY | T+EE+O+DY	einstellen; auf Grad I; zur Ausführung; abschließen | einstellen; auf Grad II; zur Ausführung; abschließen	FILL_EACH_SLOT_WITH_ATOM_VALUE_AND_READ_LEFT_TO_RIGHT	EDITORIAL_WORKING_TEMPLATE__NOT_CONFIRMED_SYNTAX
62	ACTION_HEAD+GRADE+STATE_CONTROL+ACTION_HEAD+GRADE+ARGUMENT	2	2	2	2	6	HANDLUNG → GRAD → ZUSTANDSSTEUERUNG → HANDLUNG → GRAD → ARGUMENT	CH+E+OL+CH+E+Y | SH+E+OL+T+E+Y	halten; auf Grad I; weiter; einstellen; auf Grad I; den Posten | nehmen; auf Grad I; weiter; nehmen; auf Grad I; den Posten	FILL_EACH_SLOT_WITH_ATOM_VALUE_AND_READ_LEFT_TO_RIGHT	EDITORIAL_WORKING_TEMPLATE__NOT_CONFIRMED_SYNTAX
63	ACTION_HEAD+STATE_CONTROL+ACTION_HEAD	2	2	2	1	3	HANDLUNG → ZUSTANDSSTEUERUNG → HANDLUNG	P+OL+CHD | T+OL+CHD	einstellen; weiter; bearbeiten | einsetzen; weiter; bearbeiten	FILL_EACH_SLOT_WITH_ATOM_VALUE_AND_READ_LEFT_TO_RIGHT	EDITORIAL_WORKING_TEMPLATE__NOT_CONFIRMED_SYNTAX
64	ACTION_HEAD+STATE_CONTROL+ACTION_HEAD+GRADE+ARGUMENT	2	2	2	1	5	HANDLUNG → ZUSTANDSSTEUERUNG → HANDLUNG → GRAD → ARGUMENT	CH+OT+CH+E+Y | SH+OT+SH+E+Y	nehmen; danach; nehmen; auf Grad I; den Posten | halten; danach; halten; auf Grad I; den Posten	FILL_EACH_SLOT_WITH_ATOM_VALUE_AND_READ_LEFT_TO_RIGHT	EDITORIAL_WORKING_TEMPLATE__NOT_CONFIRMED_SYNTAX
65	ACTION_HEAD+STATE_CONTROL+ACTION_HEAD+STATE_CONTROL	2	2	2	2	4	HANDLUNG → ZUSTANDSSTEUERUNG → HANDLUNG → ZUSTANDSSTEUERUNG	P+OL+CHD+DY | T+OL+CHD+DY	einsetzen; weiter; bearbeiten; abschließen | einstellen; weiter; bearbeiten; abschließen	FILL_EACH_SLOT_WITH_ATOM_VALUE_AND_READ_LEFT_TO_RIGHT	EDITORIAL_WORKING_TEMPLATE__NOT_CONFIRMED_SYNTAX
66	ACTION_HEAD+STATE_CONTROL+LOCAL_OR_CLASS_SIGN	2	1	2	2	3	HANDLUNG → ZUSTANDSSTEUERUNG → LOKAL-/KLASSENZEICHEN	CH+OT+AM_ADDR	nehmen; danach; hier	FILL_EACH_SLOT_WITH_ATOM_VALUE_AND_READ_LEFT_TO_RIGHT	EDITORIAL_WORKING_TEMPLATE__NOT_CONFIRMED_SYNTAX
67	ACTION_HEAD+STATE_CONTROL+LOCAL_OR_CLASS_SIGN+ACTION_HEAD+ARGUMENT	2	2	2	2	5	HANDLUNG → ZUSTANDSSTEUERUNG → LOKAL-/KLASSENZEICHEN → HANDLUNG → ARGUMENT	CH+OL+D_ADDR+SH+Y | SH+OL+LOCAL_CHAR_F+CH+OR	nehmen; weiter; hier; halten; den Posten | halten; weiter; hier; nehmen; die Einheit	FILL_EACH_SLOT_WITH_ATOM_VALUE_AND_READ_LEFT_TO_RIGHT	EDITORIAL_WORKING_TEMPLATE__NOT_CONFIRMED_SYNTAX
68	ARGUMENT+ACTION_HEAD+ACTION_HEAD+GRADE+STATE_CONTROL	2	2	2	2	5	ARGUMENT → HANDLUNG → HANDLUNG → GRAD → ZUSTANDSSTEUERUNG	Y+K+SH+E+DY | Y+T+SH+E+DY	den Posten; einstellen; halten; auf Grad I; abschließen | den Posten; geben; halten; auf Grad I; abschließen	FILL_EACH_SLOT_WITH_ATOM_VALUE_AND_READ_LEFT_TO_RIGHT	EDITORIAL_WORKING_TEMPLATE__NOT_CONFIRMED_SYNTAX
69	ARGUMENT+LOCAL_OR_CLASS_SIGN+STATE_CONTROL+ARGUMENT	2	2	2	2	4	ARGUMENT → LOKAL-/KLASSENZEICHEN → ZUSTANDSSTEUERUNG → ARGUMENT	Y+D_ADDR+OL+Y | Y+LOCAL_CHAR_F+OL+AIIN	den Posten; hier; weiter; den Posten | den Posten; hier; weiter; den Wert	FILL_EACH_SLOT_WITH_ATOM_VALUE_AND_READ_LEFT_TO_RIGHT	EDITORIAL_WORKING_TEMPLATE__NOT_CONFIRMED_SYNTAX
70	ARGUMENT+STATE_CONTROL	2	2	2	2	2	ARGUMENT → ZUSTANDSSTEUERUNG	Y+DY | Y+OL	den Posten; weiter | den Posten; abschließen	FILL_EACH_SLOT_WITH_ATOM_VALUE_AND_READ_LEFT_TO_RIGHT	EDITORIAL_WORKING_TEMPLATE__NOT_CONFIRMED_SYNTAX
71	FORMAL_CONTROL+ACTION_HEAD+ARGUMENT+STATE_CONTROL	2	1	2	1	4	FORMSTEUERUNG → HANDLUNG → ARGUMENT → ZUSTANDSSTEUERUNG	O+P+Y+DY	zur Ausführung; einsetzen; den Posten; abschließen	FILL_EACH_SLOT_WITH_ATOM_VALUE_AND_READ_LEFT_TO_RIGHT	EDITORIAL_WORKING_TEMPLATE__NOT_CONFIRMED_SYNTAX
72	FORMAL_CONTROL+ACTION_HEAD+GRADE+STATE_CONTROL	2	2	2	1	4	FORMSTEUERUNG → HANDLUNG → GRAD → ZUSTANDSSTEUERUNG	O+P+E+DY | O+SH+EE+DY	zur Ausführung; halten; auf Grad II; abschließen | zur Ausführung; einsetzen; auf Grad I; abschließen	FILL_EACH_SLOT_WITH_ATOM_VALUE_AND_READ_LEFT_TO_RIGHT	EDITORIAL_WORKING_TEMPLATE__NOT_CONFIRMED_SYNTAX
73	FORMAL_CONTROL+FORMAL_CONTROL+ACTION_HEAD+ACTION_HEAD+STATE_CONTROL+ARGUMENT	2	1	2	2	6	FORMSTEUERUNG → FORMSTEUERUNG → HANDLUNG → HANDLUNG → ZUSTANDSSTEUERUNG → ARGUMENT	CARRIER_Q+O+CH+T+OL+Y	am Beginn; zur Ausführung; nehmen; einstellen; weiter; den Posten	FILL_EACH_SLOT_WITH_ATOM_VALUE_AND_READ_LEFT_TO_RIGHT	EDITORIAL_WORKING_TEMPLATE__NOT_CONFIRMED_SYNTAX
74	FORMAL_CONTROL+FORMAL_CONTROL+GRADE+ACTION_HEAD+GRADE+STATE_CONTROL	2	2	2	2	6	FORMSTEUERUNG → FORMSTEUERUNG → GRAD → HANDLUNG → GRAD → ZUSTANDSSTEUERUNG	CARRIER_Q+O+E+K+E+DY | CARRIER_Q+O+E+S+E+DY	am Beginn; zur Ausführung; auf Grad I; wählen; auf Grad I; abschließen | am Beginn; zur Ausführung; auf Grad I; geben; auf Grad I; abschließen	FILL_EACH_SLOT_WITH_ATOM_VALUE_AND_READ_LEFT_TO_RIGHT	EDITORIAL_WORKING_TEMPLATE__NOT_CONFIRMED_SYNTAX
75	FORMAL_CONTROL+FORMAL_CONTROL+GRADE+ACTION_HEAD+STATE_CONTROL	2	1	1	1	5	FORMSTEUERUNG → FORMSTEUERUNG → GRAD → HANDLUNG → ZUSTANDSSTEUERUNG	CARRIER_Q+O+E+K+OL	am Beginn; zur Ausführung; auf Grad I; geben; weiter	FILL_EACH_SLOT_WITH_ATOM_VALUE_AND_READ_LEFT_TO_RIGHT	EDITORIAL_WORKING_TEMPLATE__NOT_CONFIRMED_SYNTAX
76	FORMAL_CONTROL+GRADE+STATE_CONTROL	2	2	2	1	3	FORMSTEUERUNG → GRAD → ZUSTANDSSTEUERUNG	CARRIER_Q+E+DY | O+EEE+DY	zur Ausführung; auf Grad III; abschließen | am Beginn; auf Grad I; abschließen	FILL_EACH_SLOT_WITH_ATOM_VALUE_AND_READ_LEFT_TO_RIGHT	EDITORIAL_WORKING_TEMPLATE__NOT_CONFIRMED_SYNTAX
77	LOCAL_OR_CLASS_SIGN+ACTION_HEAD+FORMAL_CONTROL+STATE_CONTROL	2	2	2	1	4	LOKAL-/KLASSENZEICHEN → HANDLUNG → FORMSTEUERUNG → ZUSTANDSSTEUERUNG	D_ADDR+CH+O+DY | LOCAL_CHAR_F+SH+O+DY	hier; halten; zur Ausführung; abschließen | hier; nehmen; zur Ausführung; abschließen	FILL_EACH_SLOT_WITH_ATOM_VALUE_AND_READ_LEFT_TO_RIGHT	EDITORIAL_WORKING_TEMPLATE__NOT_CONFIRMED_SYNTAX
78	LOCAL_OR_CLASS_SIGN+STATE_CONTROL+ACTION_HEAD+ARGUMENT	2	2	1	1	4	LOKAL-/KLASSENZEICHEN → ZUSTANDSSTEUERUNG → HANDLUNG → ARGUMENT	D_ADDR+OL+K+AIN | D_ADDR+OL+K+Y	hier; weiter; geben; den Anteil | hier; weiter; geben; den Posten	FILL_EACH_SLOT_WITH_ATOM_VALUE_AND_READ_LEFT_TO_RIGHT	EDITORIAL_WORKING_TEMPLATE__NOT_CONFIRMED_SYNTAX
79	LOCAL_OR_CLASS_SIGN+STATE_CONTROL+GRADE+ARGUMENT	2	2	2	2	4	LOKAL-/KLASSENZEICHEN → ZUSTANDSSTEUERUNG → GRAD → ARGUMENT	D_ADDR+OL+EEE+Y | D_ADDR+OT+EE+Y	hier; danach; auf Grad II; den Posten | hier; weiter; auf Grad III; den Posten	FILL_EACH_SLOT_WITH_ATOM_VALUE_AND_READ_LEFT_TO_RIGHT	EDITORIAL_WORKING_TEMPLATE__NOT_CONFIRMED_SYNTAX
80	RELATION+STATE_CONTROL+STATE_CONTROL	2	1	2	1	3	RELATION → ZUSTANDSSTEUERUNG → ZUSTANDSSTEUERUNG	L+OL+OL	über die Verbindung; weiter; weiter	FILL_EACH_SLOT_WITH_ATOM_VALUE_AND_READ_LEFT_TO_RIGHT	EDITORIAL_WORKING_TEMPLATE__NOT_CONFIRMED_SYNTAX
81	STATE_CONTROL+ACTION_HEAD+ACTION_HEAD	2	2	2	2	3	ZUSTANDSSTEUERUNG → HANDLUNG → HANDLUNG	OL+P+CHD | OT+CH+R	danach; nehmen; markieren | weiter; einsetzen; bearbeiten	FILL_EACH_SLOT_WITH_ATOM_VALUE_AND_READ_LEFT_TO_RIGHT	EDITORIAL_WORKING_TEMPLATE__NOT_CONFIRMED_SYNTAX
82	STATE_CONTROL+ACTION_HEAD+ACTION_HEAD+LOCAL_OR_CLASS_SIGN+ARGUMENT	2	2	2	1	5	ZUSTANDSSTEUERUNG → HANDLUNG → HANDLUNG → LOKAL-/KLASSENZEICHEN → ARGUMENT	OL+CH+T+D_ADDR+Y | OL+K+SH+D_ADDR+Y	weiter; geben; halten; hier; den Posten | weiter; nehmen; einstellen; hier; den Posten	FILL_EACH_SLOT_WITH_ATOM_VALUE_AND_READ_LEFT_TO_RIGHT	EDITORIAL_WORKING_TEMPLATE__NOT_CONFIRMED_SYNTAX
83	STATE_CONTROL+ACTION_HEAD+ACTION_HEAD+STATE_CONTROL	2	1	1	1	4	ZUSTANDSSTEUERUNG → HANDLUNG → HANDLUNG → ZUSTANDSSTEUERUNG	OL+P+CHD+DY	weiter; einsetzen; bearbeiten; abschließen	FILL_EACH_SLOT_WITH_ATOM_VALUE_AND_READ_LEFT_TO_RIGHT	EDITORIAL_WORKING_TEMPLATE__NOT_CONFIRMED_SYNTAX
84	STATE_CONTROL+FORMAL_CONTROL	2	1	2	1	2	ZUSTANDSSTEUERUNG → FORMSTEUERUNG	OT+O	danach; zur Ausführung	FILL_EACH_SLOT_WITH_ATOM_VALUE_AND_READ_LEFT_TO_RIGHT	EDITORIAL_WORKING_TEMPLATE__NOT_CONFIRMED_SYNTAX
85	STATE_CONTROL+FORMAL_CONTROL+ACTION_HEAD	2	2	2	2	3	ZUSTANDSSTEUERUNG → FORMSTEUERUNG → HANDLUNG	OT+IIN+R | OT+O+S	danach; auf der Stufe; markieren | danach; zur Ausführung; wählen	FILL_EACH_SLOT_WITH_ATOM_VALUE_AND_READ_LEFT_TO_RIGHT	EDITORIAL_WORKING_TEMPLATE__NOT_CONFIRMED_SYNTAX
86	STATE_CONTROL+FORMAL_CONTROL+FORMAL_CONTROL	2	2	2	1	3	ZUSTANDSSTEUERUNG → FORMSTEUERUNG → FORMSTEUERUNG	OL+CARRIER_Q+O | OL+O+IIN	weiter; zur Ausführung; auf der Stufe | weiter; am Beginn; zur Ausführung	FILL_EACH_SLOT_WITH_ATOM_VALUE_AND_READ_LEFT_TO_RIGHT	EDITORIAL_WORKING_TEMPLATE__NOT_CONFIRMED_SYNTAX
87	STATE_CONTROL+FORMAL_CONTROL+LOCAL_OR_CLASS_SIGN	2	1	2	2	3	ZUSTANDSSTEUERUNG → FORMSTEUERUNG → LOKAL-/KLASSENZEICHEN	OL+O+AM_ADDR	weiter; zur Ausführung; hier	FILL_EACH_SLOT_WITH_ATOM_VALUE_AND_READ_LEFT_TO_RIGHT	EDITORIAL_WORKING_TEMPLATE__NOT_CONFIRMED_SYNTAX
88	STATE_CONTROL+FORMAL_CONTROL+RELATION	2	2	2	2	3	ZUSTANDSSTEUERUNG → FORMSTEUERUNG → RELATION	OL+DA+L | OT+O+AR	danach; zur Ausführung; vom Ausgang | weiter; auf der zweiten Stufe; über die Verbindung	FILL_EACH_SLOT_WITH_ATOM_VALUE_AND_READ_LEFT_TO_RIGHT	EDITORIAL_WORKING_TEMPLATE__NOT_CONFIRMED_SYNTAX
89	STATE_CONTROL+GRADE+LOCAL_OR_CLASS_SIGN	2	2	2	2	3	ZUSTANDSSTEUERUNG → GRAD → LOKAL-/KLASSENZEICHEN	OL+EEE+D_ADDR | OT+EEE+S_ADDR	danach; auf Grad III; hier | weiter; auf Grad III; hier	FILL_EACH_SLOT_WITH_ATOM_VALUE_AND_READ_LEFT_TO_RIGHT	EDITORIAL_WORKING_TEMPLATE__NOT_CONFIRMED_SYNTAX
90	STATE_CONTROL+GRADE+RELATION	2	2	2	2	3	ZUSTANDSSTEUERUNG → GRAD → RELATION	OT+E+AL | OT+E+AR	danach; auf Grad I; vom Ausgang | danach; auf Grad I; zum Zielort	FILL_EACH_SLOT_WITH_ATOM_VALUE_AND_READ_LEFT_TO_RIGHT	EDITORIAL_WORKING_TEMPLATE__NOT_CONFIRMED_SYNTAX
91	STATE_CONTROL+LOCAL_OR_CLASS_SIGN+RELATION	2	1	2	1	3	ZUSTANDSSTEUERUNG → LOKAL-/KLASSENZEICHEN → RELATION	OL+D_ADDR+AIR	weiter; hier; entlang der Bahn	FILL_EACH_SLOT_WITH_ATOM_VALUE_AND_READ_LEFT_TO_RIGHT	EDITORIAL_WORKING_TEMPLATE__NOT_CONFIRMED_SYNTAX
92	STATE_CONTROL+RELATION+STATE_CONTROL	2	2	1	1	3	ZUSTANDSSTEUERUNG → RELATION → ZUSTANDSSTEUERUNG	OT+AL+DY | OT+AR+DY	danach; zum Zielort; abschließen | danach; vom Ausgang; abschließen	FILL_EACH_SLOT_WITH_ATOM_VALUE_AND_READ_LEFT_TO_RIGHT	EDITORIAL_WORKING_TEMPLATE__NOT_CONFIRMED_SYNTAX
93	ACTION_HEAD+ACTION_HEAD+ACTION_HEAD+ARGUMENT+ACTION_HEAD+GRADE+STATE_CONTROL	1	1	1	1	7	HANDLUNG → HANDLUNG → HANDLUNG → ARGUMENT → HANDLUNG → GRAD → ZUSTANDSSTEUERUNG	CH+CH+T+Y+K+E+DY	nehmen; nehmen; einstellen; den Posten; geben; auf Grad I; abschließen	FILL_EACH_SLOT_WITH_ATOM_VALUE_AND_READ_LEFT_TO_RIGHT	EDITORIAL_WORKING_TEMPLATE__NOT_CONFIRMED_SYNTAX
94	ACTION_HEAD+ACTION_HEAD+ACTION_HEAD+ARGUMENT+ACTION_HEAD+STATE_CONTROL+ARGUMENT	1	1	1	1	7	HANDLUNG → HANDLUNG → HANDLUNG → ARGUMENT → HANDLUNG → ZUSTANDSSTEUERUNG → ARGUMENT	CH+K+CH+Y+K+OL+Y	nehmen; geben; nehmen; den Posten; geben; weiter; den Posten	FILL_EACH_SLOT_WITH_ATOM_VALUE_AND_READ_LEFT_TO_RIGHT	EDITORIAL_WORKING_TEMPLATE__NOT_CONFIRMED_SYNTAX
95	ACTION_HEAD+ACTION_HEAD+ACTION_HEAD+GRADE+FORMAL_CONTROL+STATE_CONTROL	1	1	1	1	6	HANDLUNG → HANDLUNG → HANDLUNG → GRAD → FORMSTEUERUNG → ZUSTANDSSTEUERUNG	SH+CH+K+E+O+DY	halten; nehmen; geben; auf Grad I; zur Ausführung; abschließen	FILL_EACH_SLOT_WITH_ATOM_VALUE_AND_READ_LEFT_TO_RIGHT	EDITORIAL_WORKING_TEMPLATE__NOT_CONFIRMED_SYNTAX
96	ACTION_HEAD+ACTION_HEAD+GRADE+LOCAL_OR_CLASS_SIGN+STATE_CONTROL	1	1	1	1	5	HANDLUNG → HANDLUNG → GRAD → LOKAL-/KLASSENZEICHEN → ZUSTANDSSTEUERUNG	CH+P+EEE+D_ADDR+OL	nehmen; einsetzen; auf Grad III; hier; weiter	FILL_EACH_SLOT_WITH_ATOM_VALUE_AND_READ_LEFT_TO_RIGHT	EDITORIAL_WORKING_TEMPLATE__NOT_CONFIRMED_SYNTAX
97	ACTION_HEAD+ACTION_HEAD+LOCAL_OR_CLASS_SIGN+STATE_CONTROL	1	1	1	1	4	HANDLUNG → HANDLUNG → LOKAL-/KLASSENZEICHEN → ZUSTANDSSTEUERUNG	CH+P+A_ADDR+DY	nehmen; einsetzen; hier; abschließen	FILL_EACH_SLOT_WITH_ATOM_VALUE_AND_READ_LEFT_TO_RIGHT	EDITORIAL_WORKING_TEMPLATE__NOT_CONFIRMED_SYNTAX
98	ACTION_HEAD+ACTION_HEAD+RELATION+STATE_CONTROL	1	1	1	1	4	HANDLUNG → HANDLUNG → RELATION → ZUSTANDSSTEUERUNG	CH+P+AL+DY	nehmen; einsetzen; zum Zielort; abschließen	FILL_EACH_SLOT_WITH_ATOM_VALUE_AND_READ_LEFT_TO_RIGHT	EDITORIAL_WORKING_TEMPLATE__NOT_CONFIRMED_SYNTAX
99	ACTION_HEAD+ACTION_HEAD+STATE_CONTROL+ACTION_HEAD	1	1	1	1	4	HANDLUNG → HANDLUNG → ZUSTANDSSTEUERUNG → HANDLUNG	CH+T+OL+S	nehmen; einstellen; weiter; wählen	FILL_EACH_SLOT_WITH_ATOM_VALUE_AND_READ_LEFT_TO_RIGHT	EDITORIAL_WORKING_TEMPLATE__NOT_CONFIRMED_SYNTAX
100	ACTION_HEAD+ACTION_HEAD+STATE_CONTROL+LOCAL_OR_CLASS_SIGN+RELATION	1	1	1	1	5	HANDLUNG → HANDLUNG → ZUSTANDSSTEUERUNG → LOKAL-/KLASSENZEICHEN → RELATION	CH+T+OL+D_ADDR+AR	nehmen; einstellen; weiter; hier; vom Ausgang	FILL_EACH_SLOT_WITH_ATOM_VALUE_AND_READ_LEFT_TO_RIGHT	EDITORIAL_WORKING_TEMPLATE__NOT_CONFIRMED_SYNTAX
101	ACTION_HEAD+ACTION_HEAD+STATE_CONTROL+RELATION	1	1	1	1	4	HANDLUNG → HANDLUNG → ZUSTANDSSTEUERUNG → RELATION	OK+CHD+DY+L	setzen; bearbeiten; abschließen; über die Verbindung	FILL_EACH_SLOT_WITH_ATOM_VALUE_AND_READ_LEFT_TO_RIGHT	EDITORIAL_WORKING_TEMPLATE__NOT_CONFIRMED_SYNTAX
102	ACTION_HEAD+ACTION_HEAD+STATE_CONTROL+STATE_CONTROL	1	1	1	1	4	HANDLUNG → HANDLUNG → ZUSTANDSSTEUERUNG → ZUSTANDSSTEUERUNG	CH+P+OL+DY	nehmen; einsetzen; weiter; abschließen	FILL_EACH_SLOT_WITH_ATOM_VALUE_AND_READ_LEFT_TO_RIGHT	EDITORIAL_WORKING_TEMPLATE__NOT_CONFIRMED_SYNTAX
103	ACTION_HEAD+ARGUMENT+ACTION_HEAD+GRADE+STATE_CONTROL	1	1	1	1	5	HANDLUNG → ARGUMENT → HANDLUNG → GRAD → ZUSTANDSSTEUERUNG	CH+OR+SH+E+DY	nehmen; die Einheit; halten; auf Grad I; abschließen	FILL_EACH_SLOT_WITH_ATOM_VALUE_AND_READ_LEFT_TO_RIGHT	EDITORIAL_WORKING_TEMPLATE__NOT_CONFIRMED_SYNTAX
104	ACTION_HEAD+ARGUMENT+ACTION_HEAD+STATE_CONTROL	1	1	1	1	4	HANDLUNG → ARGUMENT → HANDLUNG → ZUSTANDSSTEUERUNG	SH+Y+SH+OL	halten; den Posten; halten; weiter	FILL_EACH_SLOT_WITH_ATOM_VALUE_AND_READ_LEFT_TO_RIGHT	EDITORIAL_WORKING_TEMPLATE__NOT_CONFIRMED_SYNTAX
105	ACTION_HEAD+ARGUMENT+RELATION+LOCAL_OR_CLASS_SIGN+STATE_CONTROL	1	1	1	1	5	HANDLUNG → ARGUMENT → RELATION → LOKAL-/KLASSENZEICHEN → ZUSTANDSSTEUERUNG	OK+Y+L+D_ADDR+DY	setzen; den Posten; über die Verbindung; hier; abschließen	FILL_EACH_SLOT_WITH_ATOM_VALUE_AND_READ_LEFT_TO_RIGHT	EDITORIAL_WORKING_TEMPLATE__NOT_CONFIRMED_SYNTAX
106	ACTION_HEAD+ARGUMENT+STATE_CONTROL	1	1	1	1	3	HANDLUNG → ARGUMENT → ZUSTANDSSTEUERUNG	T+Y+DY	einstellen; den Posten; abschließen	FILL_EACH_SLOT_WITH_ATOM_VALUE_AND_READ_LEFT_TO_RIGHT	EDITORIAL_WORKING_TEMPLATE__NOT_CONFIRMED_SYNTAX
107	ACTION_HEAD+ARGUMENT+STATE_CONTROL+ACTION_HEAD+RELATION	1	1	1	1	5	HANDLUNG → ARGUMENT → ZUSTANDSSTEUERUNG → HANDLUNG → RELATION	CH+OR+OL+S+AL	nehmen; die Einheit; weiter; wählen; zum Zielort	FILL_EACH_SLOT_WITH_ATOM_VALUE_AND_READ_LEFT_TO_RIGHT	EDITORIAL_WORKING_TEMPLATE__NOT_CONFIRMED_SYNTAX
108	ACTION_HEAD+FORMAL_CONTROL+ACTION_HEAD+ACTION_HEAD+GRADE+STATE_CONTROL	1	1	1	1	6	HANDLUNG → FORMSTEUERUNG → HANDLUNG → HANDLUNG → GRAD → ZUSTANDSSTEUERUNG	SH+O+CH+P+E+DY	halten; zur Ausführung; nehmen; einsetzen; auf Grad I; abschließen	FILL_EACH_SLOT_WITH_ATOM_VALUE_AND_READ_LEFT_TO_RIGHT	EDITORIAL_WORKING_TEMPLATE__NOT_CONFIRMED_SYNTAX
