state_card_ordinal	cohort	event_id	source_event_id	statement_id	physical_page	register	card_ordinal_in_statement	statement_event_count	statement_position	statement_final	surface	recipe	recipe_atom_count	ordered_type_signature	state_marker_sequence	ordered_typed_atom_trace	ordered_all_atom_reading_de	all_atom_default_phrase_de	state_scope_reading_de	source_context_layer	context_template	contextual_clause_de	explicit_action_roots	inherited_action_root	explicit_argument_roots	inherited_argument_root	action_atom_count	grade_atom_count	argument_atom_count	relation_atom_count	state_control_atom_count	formal_control_atom_count	local_or_class_sign_count	specialized_carrier_layers	specialized_carrier_link_count	specialized_carrier_readings_de	every_atom_mapped	written_order_preserved	sequence_default_status	guard
194	OLD26_GDT407	G407-E0958	P912-E1841	G407-S048	f67r2	CELESTIAL	1	18	STATEMENT_INITIAL	NO	otoldos	OT+OL+D_ADDR+O+S	5	STATE_CONTROL+STATE_CONTROL+LOCAL_OR_CLASS_SIGN+FORMAL_CONTROL+ACTION_HEAD	OT+OL	OT{ZUSTANDSSTEUERUNG=DANACH} > OL{ZUSTANDSSTEUERUNG=FORTSETZEN} > D_ADDR{LOKAL-/KLASSENZEICHEN=HIER} > O{FORMSTEUERUNG=AUSFÜHRUNG} > S{HANDLUNG=WÄHLEN}	DANACH → FORTSETZEN → HIER → AUSFÜHRUNG → WÄHLEN	danach; weiter; hier; zur Ausführung; wählen	DANACH · FORTSETZEN · HIER · AUSFÜHRUNG · WÄHLEN	GDT416_OLD26_IMPERATIVE	ORDERED_ACTION	Danach und weiter wähle die Positionseinheit [wie zuvor]; als Ausführung; an der bezeichneten Stelle.	S	NONE	NONE	OR	1	0	0	0	2	1	1	NONE	0	NONE	YES	YES	EXACT_RECIPE_DEFAULT__NO_LEARNED_WHOLE_CARD_VALUE	WORKING_COMPOSITION_ONLY__STRUCTURAL_TYPES_NOT_PLAINTEXT_WORDS
195	OLD26_GDT407	G407-E0959	P912-E1842	G407-S048	f67r2	CELESTIAL	2	18	STATEMENT_INTERNAL	NO	octhole	O+CH+T+OL+E	5	FORMAL_CONTROL+ACTION_HEAD+ACTION_HEAD+STATE_CONTROL+GRADE	OL	O{FORMSTEUERUNG=AUSFÜHRUNG} > CH{HANDLUNG=NEHMEN} > T{HANDLUNG=EINSTELLEN} > OL{ZUSTANDSSTEUERUNG=FORTSETZEN} > E{GRAD=GRAD I}	AUSFÜHRUNG → NEHMEN → EINSTELLEN → FORTSETZEN → GRAD I	zur Ausführung; nehmen; einstellen; weiter; auf Grad I	AUSFÜHRUNG · NEHMEN · EINSTELLEN · FORTSETZEN · GRAD I	GDT416_OLD26_IMPERATIVE	MULTI_ACTION	Weiter nimm die Positionseinheit [wie zuvor] auf und stelle die Positionseinheit [wie zuvor] ein; als Ausführung und auf Grad I.	CH|T	NONE	NONE	OR	2	1	0	0	1	1	0	GRADE	1	GRADE:weiter mit Träger auf Grad I	YES	YES	EXACT_RECIPE_DEFAULT__NO_LEARNED_WHOLE_CARD_VALUE	WORKING_COMPOSITION_ONLY__STRUCTURAL_TYPES_NOT_PLAINTEXT_WORDS
196	OLD26_GDT407	G407-E0975	P912-E1858	G407-S048	f67r2	CELESTIAL	18	18	STATEMENT_FINAL	YES	ofydy	O+LOCAL_CHAR_F+Y+DY	4	FORMAL_CONTROL+LOCAL_OR_CLASS_SIGN+ARGUMENT+STATE_CONTROL	DY	O{FORMSTEUERUNG=AUSFÜHRUNG} > LOCAL_CHAR_F{LOKAL-/KLASSENZEICHEN=HIER} > Y{ARGUMENT=POSTEN} > DY{ZUSTANDSSTEUERUNG=ABSCHLIESSEN}	AUSFÜHRUNG → HIER → POSTEN → ABSCHLIESSEN	zur Ausführung; hier; den Posten; abschließen	AUSFÜHRUNG · HIER · AKTIVER POSTEN · SCHLUSS	GDT416_OLD26_IMPERATIVE	INHERITED_ARGUMENT_OR_CONTROL	Im laufenden Gang wähle den Positionsposten; als Ausführung; an der bezeichneten Stelle; schließe den Schritt.	NONE	S	Y	NONE	0	0	1	0	1	1	1	ARGUMENT	1	ARGUMENT:den Posten führen und den Schritt abschließen	YES	YES	EXACT_RECIPE_DEFAULT__NO_LEARNED_WHOLE_CARD_VALUE	WORKING_COMPOSITION_ONLY__STRUCTURAL_TYPES_NOT_PLAINTEXT_WORDS
197	OLD26_GDT407	G407-E1000	P912-E1911	G407-S051	f67r2	CELESTIAL	9	36	STATEMENT_INTERNAL	NO	ydoly	Y+D_ADDR+OL+Y	4	ARGUMENT+LOCAL_OR_CLASS_SIGN+STATE_CONTROL+ARGUMENT	OL	Y{ARGUMENT=POSTEN} > D_ADDR{LOKAL-/KLASSENZEICHEN=HIER} > OL{ZUSTANDSSTEUERUNG=FORTSETZEN} > Y{ARGUMENT=POSTEN}	POSTEN → HIER → FORTSETZEN → POSTEN	den Posten; hier; weiter; den Posten	AKTIVER POSTEN · HIER · FORTSETZEN · AKTIVER POSTEN	GDT416_OLD26_IMPERATIVE	INHERITED_ARGUMENT_OR_CONTROL	Weiter im laufenden Gang ordne den Positionsposten [außen] und den Positionsposten [innen] zu; an der bezeichneten Stelle.	NONE	K	Y|Y	NONE	0	0	2	0	1	0	1	ARGUMENT	2	ARGUMENT:den Posten weiterführen || ARGUMENT:weiter mit dem Posten als aktuellem Träger	YES	YES	EXACT_RECIPE_DEFAULT__NO_LEARNED_WHOLE_CARD_VALUE	WORKING_COMPOSITION_ONLY__STRUCTURAL_TYPES_NOT_PLAINTEXT_WORDS
198	OLD26_GDT407	G407-E1002	P912-E1913	G407-S051	f67r2	CELESTIAL	11	36	STATEMENT_INTERNAL	NO	oly	OL+Y	2	STATE_CONTROL+ARGUMENT	OL	OL{ZUSTANDSSTEUERUNG=FORTSETZEN} > Y{ARGUMENT=POSTEN}	FORTSETZEN → POSTEN	weiter; den Posten	FORTSETZEN · AKTIVER POSTEN	GDT416_OLD26_IMPERATIVE	INHERITED_ARGUMENT_OR_CONTROL	Weiter im laufenden Gang wähle den Positionsposten.	NONE	S	Y	NONE	0	0	1	0	1	0	0	ARGUMENT	1	ARGUMENT:weiter mit dem Posten als aktuellem Träger	YES	YES	EXACT_RECIPE_DEFAULT__NO_LEARNED_WHOLE_CARD_VALUE	WORKING_COMPOSITION_ONLY__STRUCTURAL_TYPES_NOT_PLAINTEXT_WORDS
199	OLD26_GDT407	G407-E1012	P912-E1923	G407-S051	f67r2	CELESTIAL	21	36	STATEMENT_INTERNAL	NO	okol	OK+OL	2	ACTION_HEAD+STATE_CONTROL	OL	OK{HANDLUNG=SETZEN} > OL{ZUSTANDSSTEUERUNG=FORTSETZEN}	SETZEN → FORTSETZEN	setzen; weiter	SETZEN · FORTSETZEN	GDT416_OLD26_IMPERATIVE	ORDERED_ACTION	Weiter setze den Positionswert [wie zuvor].	OK	NONE	NONE	AIIN	1	0	0	0	1	0	0	NONE	0	NONE	YES	YES	EXACT_RECIPE_DEFAULT__NO_LEARNED_WHOLE_CARD_VALUE	WORKING_COMPOSITION_ONLY__STRUCTURAL_TYPES_NOT_PLAINTEXT_WORDS
200	OLD26_GDT407	G407-E1014	P912-E1925	G407-S051	f67r2	CELESTIAL	23	36	STATEMENT_INTERNAL	NO	olar	OL+AR	2	STATE_CONTROL+RELATION	OL	OL{ZUSTANDSSTEUERUNG=FORTSETZEN} > AR{RELATION=AUSGANG}	FORTSETZEN → AUSGANG	weiter; vom Ausgang	FORTSETZEN · AUSGANG	GDT416_OLD26_IMPERATIVE	INHERITED_RELATION	Weiter im laufenden Gang setze den Positionswert [wie zuvor]; von der Ausgangsposition.	NONE	OK	NONE	AIIN	0	0	0	1	1	0	0	RELATION	1	RELATION:FORTSETZEN · AUSGANG	YES	YES	EXACT_RECIPE_DEFAULT__NO_LEARNED_WHOLE_CARD_VALUE	WORKING_COMPOSITION_ONLY__STRUCTURAL_TYPES_NOT_PLAINTEXT_WORDS
201	OLD26_GDT407	G407-E1030	P912-E1941	G407-S052	f68r1	CELESTIAL	3	12	STATEMENT_INTERNAL	NO	choteey	CH+OT+EE+Y	4	ACTION_HEAD+STATE_CONTROL+GRADE+ARGUMENT	OT	CH{HANDLUNG=NEHMEN} > OT{ZUSTANDSSTEUERUNG=DANACH} > EE{GRAD=GRAD II} > Y{ARGUMENT=POSTEN}	NEHMEN → DANACH → GRAD II → POSTEN	nehmen; danach; auf Grad II; den Posten	NEHMEN · DANACH · GRAD II · AKTIVER POSTEN	GDT416_OLD26_IMPERATIVE	ORDERED_ACTION	Danach nimm den Positionsposten auf; auf Grad II.	CH	NONE	Y	NONE	1	1	1	0	1	0	0	ARGUMENT|GRADE	2	GRADE:danach Träger auf Grad II || ARGUMENT:danach den Posten als nächsten Träger eröffnen	YES	YES	EXACT_RECIPE_DEFAULT__NO_LEARNED_WHOLE_CARD_VALUE	WORKING_COMPOSITION_ONLY__STRUCTURAL_TYPES_NOT_PLAINTEXT_WORDS
202	OLD26_GDT407	G407-E1031	P912-E1942	G407-S052	f68r1	CELESTIAL	4	12	STATEMENT_INTERNAL	NO	cphol	CH+P+OL	3	ACTION_HEAD+ACTION_HEAD+STATE_CONTROL	OL	CH{HANDLUNG=NEHMEN} > P{HANDLUNG=EINSETZEN} > OL{ZUSTANDSSTEUERUNG=FORTSETZEN}	NEHMEN → EINSETZEN → FORTSETZEN	nehmen; einsetzen; weiter	NEHMEN · EINSETZEN · FORTSETZEN	GDT416_OLD26_IMPERATIVE	MULTI_ACTION	Weiter nimm den Positionsposten [wie zuvor] auf und setze den Positionsposten [wie zuvor] ein.	CH|P	NONE	NONE	Y	2	0	0	0	1	0	0	NONE	0	NONE	YES	YES	EXACT_RECIPE_DEFAULT__NO_LEARNED_WHOLE_CARD_VALUE	WORKING_COMPOSITION_ONLY__STRUCTURAL_TYPES_NOT_PLAINTEXT_WORDS
203	OLD26_GDT407	G407-E1033	P912-E1944	G407-S052	f68r1	CELESTIAL	6	12	STATEMENT_INTERNAL	NO	opcheeol	O+P+CH+EE+OL	5	FORMAL_CONTROL+ACTION_HEAD+ACTION_HEAD+GRADE+STATE_CONTROL	OL	O{FORMSTEUERUNG=AUSFÜHRUNG} > P{HANDLUNG=EINSETZEN} > CH{HANDLUNG=NEHMEN} > EE{GRAD=GRAD II} > OL{ZUSTANDSSTEUERUNG=FORTSETZEN}	AUSFÜHRUNG → EINSETZEN → NEHMEN → GRAD II → FORTSETZEN	zur Ausführung; einsetzen; nehmen; auf Grad II; weiter	AUSFÜHRUNG · EINSETZEN · NEHMEN · GRAD II · FORTSETZEN	GDT416_OLD26_IMPERATIVE	MULTI_ACTION	Weiter setze den Positionsposten [wie zuvor] ein und nimm den Positionsposten [wie zuvor] auf; als Ausführung und auf Grad II.	P|CH	NONE	NONE	Y	2	1	0	0	1	1	0	GRADE	1	GRADE:einsetzen und nehmen auf Grad II; den Träger weiterführen	YES	YES	EXACT_RECIPE_DEFAULT__NO_LEARNED_WHOLE_CARD_VALUE	WORKING_COMPOSITION_ONLY__STRUCTURAL_TYPES_NOT_PLAINTEXT_WORDS
204	OLD26_GDT407	G407-E1034	P912-E1945	G407-S052	f68r1	CELESTIAL	7	12	STATEMENT_INTERNAL	NO	otor	OT+OR	2	STATE_CONTROL+ARGUMENT	OT	OT{ZUSTANDSSTEUERUNG=DANACH} > OR{ARGUMENT=EINHEIT}	DANACH → EINHEIT	danach; die Einheit	DANACH · EINHEIT	GDT416_OLD26_IMPERATIVE	INHERITED_ARGUMENT_OR_CONTROL	Danach im laufenden Gang nimm die Positionseinheit auf.	NONE	CH	OR	NONE	0	0	1	0	1	0	0	ARGUMENT	1	ARGUMENT:danach die Einheit als nächsten Träger eröffnen	YES	YES	EXACT_RECIPE_DEFAULT__NO_LEARNED_WHOLE_CARD_VALUE	WORKING_COMPOSITION_ONLY__STRUCTURAL_TYPES_NOT_PLAINTEXT_WORDS
205	OLD26_GDT407	G407-E1038	P912-E1949	G407-S052	f68r1	CELESTIAL	11	12	STATEMENT_INTERNAL	NO	otchl	OT+CH+L	3	STATE_CONTROL+ACTION_HEAD+RELATION	OT	OT{ZUSTANDSSTEUERUNG=DANACH} > CH{HANDLUNG=NEHMEN} > L{RELATION=VERBINDUNG}	DANACH → NEHMEN → VERBINDUNG	danach; nehmen; über die Verbindung	DANACH · NEHMEN · VERBINDUNG	GDT416_OLD26_IMPERATIVE	ORDERED_ACTION	Danach nimm den Positionsposten [wie zuvor] auf; über die Ringverbindung.	CH	NONE	NONE	Y	1	0	0	1	1	0	0	RELATION	1	RELATION:DANACH · VERBINDUNG	YES	YES	EXACT_RECIPE_DEFAULT__NO_LEARNED_WHOLE_CARD_VALUE	WORKING_COMPOSITION_ONLY__STRUCTURAL_TYPES_NOT_PLAINTEXT_WORDS
206	OLD26_GDT407	G407-E1039	P912-E1950	G407-S052	f68r1	CELESTIAL	12	12	STATEMENT_FINAL	YES	qokeeedy	OK+EEE+DY	3	ACTION_HEAD+GRADE+STATE_CONTROL	DY	OK{HANDLUNG=SETZEN} > EEE{GRAD=GRAD III} > DY{ZUSTANDSSTEUERUNG=ABSCHLIESSEN}	SETZEN → GRAD III → ABSCHLIESSEN	setzen; auf Grad III; abschließen	SETZEN · GRAD III · SCHLUSS	GDT416_OLD26_IMPERATIVE	GRADED_ACTION	Setze den Positionsposten [wie zuvor]; auf Grad III; schließe den Schritt.	OK	NONE	NONE	Y	1	1	0	0	1	0	0	NONE	0	NONE	YES	YES	EXACT_RECIPE_DEFAULT__NO_LEARNED_WHOLE_CARD_VALUE	WORKING_COMPOSITION_ONLY__STRUCTURAL_TYPES_NOT_PLAINTEXT_WORDS
207	OLD26_GDT407	G407-E1042	P912-E1953	G407-S053	f68r1	CELESTIAL	3	3	STATEMENT_FINAL	YES	yteody	Y+T+E+O+DY	5	ARGUMENT+ACTION_HEAD+GRADE+FORMAL_CONTROL+STATE_CONTROL	DY	Y{ARGUMENT=POSTEN} > T{HANDLUNG=EINSTELLEN} > E{GRAD=GRAD I} > O{FORMSTEUERUNG=AUSFÜHRUNG} > DY{ZUSTANDSSTEUERUNG=ABSCHLIESSEN}	POSTEN → EINSTELLEN → GRAD I → AUSFÜHRUNG → ABSCHLIESSEN	den Posten; einstellen; auf Grad I; zur Ausführung; abschließen	AKTIVER POSTEN · EINSTELLEN · GRAD I · AUSFÜHRUNG · SCHLUSS	GDT416_OLD26_IMPERATIVE	GRADED_ACTION	Stelle den Positionsposten ein; auf Grad I und als Ausführung; schließe den Schritt.	T	NONE	Y	NONE	1	1	1	0	1	1	0	ARGUMENT	1	ARGUMENT:den Posten führen und den Schritt abschließen	YES	YES	EXACT_RECIPE_DEFAULT__NO_LEARNED_WHOLE_CARD_VALUE	WORKING_COMPOSITION_ONLY__STRUCTURAL_TYPES_NOT_PLAINTEXT_WORDS
208	OLD26_GDT407	G407-E1058	P912-E1969	G407-S054	f68r1	CELESTIAL	16	16	STATEMENT_FINAL	YES	chkchykoly	CH+K+CH+Y+K+OL+Y	7	ACTION_HEAD+ACTION_HEAD+ACTION_HEAD+ARGUMENT+ACTION_HEAD+STATE_CONTROL+ARGUMENT	OL	CH{HANDLUNG=NEHMEN} > K{HANDLUNG=GEBEN} > CH{HANDLUNG=NEHMEN} > Y{ARGUMENT=POSTEN} > K{HANDLUNG=GEBEN} > OL{ZUSTANDSSTEUERUNG=FORTSETZEN} > Y{ARGUMENT=POSTEN}	NEHMEN → GEBEN → NEHMEN → POSTEN → GEBEN → FORTSETZEN → POSTEN	nehmen; geben; nehmen; den Posten; geben; weiter; den Posten	NEHMEN · GEBEN · NEHMEN · AKTIVER POSTEN · GEBEN · FORTSETZEN · AKTIVER POSTEN	GDT416_OLD26_IMPERATIVE	MULTI_ACTION	Weiter nimm den Positionsposten [außen] und den Positionsposten [innen] auf, ordne den Positionsposten [außen] und den Positionsposten [innen] zu, nimm den Positionsposten [außen] und den Positionsposten [innen] auf und ordne den Positionsposten [außen] und den Positionsposten [innen] zu.	CH|K|CH|K	NONE	Y|Y	NONE	4	0	2	0	1	0	0	ARGUMENT	2	ARGUMENT:den Posten weiterführen || ARGUMENT:weiter mit dem Posten als aktuellem Träger	YES	YES	EXACT_RECIPE_DEFAULT__NO_LEARNED_WHOLE_CARD_VALUE	WORKING_COMPOSITION_ONLY__STRUCTURAL_TYPES_NOT_PLAINTEXT_WORDS
209	OLD26_GDT407	G407-E1061	P1003-E0560	G407-S055	f71v	CELESTIAL	3	19	STATEMENT_INTERNAL	NO	oteeodaiin	OT+EE+O+D_ADDR+AIIN	5	STATE_CONTROL+GRADE+FORMAL_CONTROL+LOCAL_OR_CLASS_SIGN+ARGUMENT	OT	OT{ZUSTANDSSTEUERUNG=DANACH} > EE{GRAD=GRAD II} > O{FORMSTEUERUNG=AUSFÜHRUNG} > D_ADDR{LOKAL-/KLASSENZEICHEN=HIER} > AIIN{ARGUMENT=WERT}	DANACH → GRAD II → AUSFÜHRUNG → HIER → WERT	danach; auf Grad II; zur Ausführung; hier; den Wert	DANACH · GRAD II · AUSFÜHRUNG · HIER · WERT	GDT416_OLD26_IMPERATIVE	INHERITED_GRADE	Danach im laufenden Gang setze den Positionswert ein; auf Grad II und als Ausführung; an der bezeichneten Stelle.	NONE	P	AIIN	NONE	0	1	1	0	1	1	1	ARGUMENT|GRADE	2	GRADE:danach Träger auf Grad II || ARGUMENT:danach den Wert als nächsten Träger eröffnen	YES	YES	EXACT_RECIPE_DEFAULT__NO_LEARNED_WHOLE_CARD_VALUE	WORKING_COMPOSITION_ONLY__STRUCTURAL_TYPES_NOT_PLAINTEXT_WORDS
210	OLD26_GDT407	G407-E1065	P1003-E0564	G407-S055	f71v	CELESTIAL	7	19	STATEMENT_INTERNAL	NO	oteokeey	OT+E+O+K+EE+Y	6	STATE_CONTROL+GRADE+FORMAL_CONTROL+ACTION_HEAD+GRADE+ARGUMENT	OT	OT{ZUSTANDSSTEUERUNG=DANACH} > E{GRAD=GRAD I} > O{FORMSTEUERUNG=AUSFÜHRUNG} > K{HANDLUNG=GEBEN} > EE{GRAD=GRAD II} > Y{ARGUMENT=POSTEN}	DANACH → GRAD I → AUSFÜHRUNG → GEBEN → GRAD II → POSTEN	danach; auf Grad I; zur Ausführung; geben; auf Grad II; den Posten	DANACH · GRAD I · AUSFÜHRUNG · GEBEN · GRAD II · AKTIVER POSTEN	GDT416_OLD26_IMPERATIVE	ORDERED_ACTION	Danach ordne den Positionsposten zu; auf Grad I, als Ausführung und auf Grad II.	K	NONE	Y	NONE	1	2	1	0	1	1	0	ARGUMENT|GRADE	3	GRADE:danach Träger auf Grad I || GRADE:danach geben auf Grad II || ARGUMENT:danach den Posten als nächsten Träger eröffnen	YES	YES	EXACT_RECIPE_DEFAULT__NO_LEARNED_WHOLE_CARD_VALUE	WORKING_COMPOSITION_ONLY__STRUCTURAL_TYPES_NOT_PLAINTEXT_WORDS
211	OLD26_GDT407	G407-E1068	P1003-E0567	G407-S055	f71v	CELESTIAL	10	19	STATEMENT_INTERNAL	NO	oteey	OT+EE+Y	3	STATE_CONTROL+GRADE+ARGUMENT	OT	OT{ZUSTANDSSTEUERUNG=DANACH} > EE{GRAD=GRAD II} > Y{ARGUMENT=POSTEN}	DANACH → GRAD II → POSTEN	danach; auf Grad II; den Posten	DANACH · GRAD II · AKTIVER POSTEN	GDT416_OLD26_IMPERATIVE	INHERITED_GRADE	Danach im laufenden Gang ordne den Positionsposten zu; auf Grad II.	NONE	K	Y	NONE	0	1	1	0	1	0	0	ARGUMENT|GRADE	2	GRADE:danach Träger auf Grad II || ARGUMENT:danach den Posten als nächsten Träger eröffnen	YES	YES	EXACT_RECIPE_DEFAULT__NO_LEARNED_WHOLE_CARD_VALUE	WORKING_COMPOSITION_ONLY__STRUCTURAL_TYPES_NOT_PLAINTEXT_WORDS
212	OLD26_GDT407	G407-E1071	P1003-E0570	G407-S055	f71v	CELESTIAL	13	19	STATEMENT_INTERNAL	NO	otchy	OT+CH+Y	3	STATE_CONTROL+ACTION_HEAD+ARGUMENT	OT	OT{ZUSTANDSSTEUERUNG=DANACH} > CH{HANDLUNG=NEHMEN} > Y{ARGUMENT=POSTEN}	DANACH → NEHMEN → POSTEN	danach; nehmen; den Posten	DANACH · NEHMEN · AKTIVER POSTEN	GDT416_OLD26_IMPERATIVE	ORDERED_ACTION	Danach nimm den Positionsposten auf.	CH	NONE	Y	NONE	1	0	1	0	1	0	0	ARGUMENT	1	ARGUMENT:danach den Posten als nächsten Träger eröffnen	YES	YES	EXACT_RECIPE_DEFAULT__NO_LEARNED_WHOLE_CARD_VALUE	WORKING_COMPOSITION_ONLY__STRUCTURAL_TYPES_NOT_PLAINTEXT_WORDS
213	OLD26_GDT407	G407-E1076	P1003-E0575	G407-S055	f71v	CELESTIAL	18	19	STATEMENT_INTERNAL	NO	otcheodal	OT+CH+E+O+D_ADDR+AL	6	STATE_CONTROL+ACTION_HEAD+GRADE+FORMAL_CONTROL+LOCAL_OR_CLASS_SIGN+RELATION	OT	OT{ZUSTANDSSTEUERUNG=DANACH} > CH{HANDLUNG=NEHMEN} > E{GRAD=GRAD I} > O{FORMSTEUERUNG=AUSFÜHRUNG} > D_ADDR{LOKAL-/KLASSENZEICHEN=HIER} > AL{RELATION=ZIELORT}	DANACH → NEHMEN → GRAD I → AUSFÜHRUNG → HIER → ZIELORT	danach; nehmen; auf Grad I; zur Ausführung; hier; zum Zielort	DANACH · NEHMEN · GRAD I · AUSFÜHRUNG · HIER · ZIELORT	GDT416_OLD26_IMPERATIVE	ORDERED_ACTION	Danach nimm den Positionsposten [wie zuvor] auf; zur Zielposition; auf Grad I und als Ausführung; an der bezeichneten Stelle.	CH	NONE	NONE	Y	1	1	0	1	1	1	1	GRADE|RELATION	2	GRADE:danach nehmen auf Grad I || RELATION:DANACH · ZIELORT	YES	YES	EXACT_RECIPE_DEFAULT__NO_LEARNED_WHOLE_CARD_VALUE	WORKING_COMPOSITION_ONLY__STRUCTURAL_TYPES_NOT_PLAINTEXT_WORDS
214	OLD26_GDT407	G407-E1077	P1003-E0576	G407-S055	f71v	CELESTIAL	19	19	STATEMENT_FINAL	YES	sheealody	SH+EE+AL+O+DY	5	ACTION_HEAD+GRADE+RELATION+FORMAL_CONTROL+STATE_CONTROL	DY	SH{HANDLUNG=HALTEN} > EE{GRAD=GRAD II} > AL{RELATION=ZIELORT} > O{FORMSTEUERUNG=AUSFÜHRUNG} > DY{ZUSTANDSSTEUERUNG=ABSCHLIESSEN}	HALTEN → GRAD II → ZIELORT → AUSFÜHRUNG → ABSCHLIESSEN	halten; auf Grad II; zum Zielort; zur Ausführung; abschließen	HALTEN · GRAD II · ZIELORT · AUSFÜHRUNG · SCHLUSS	GDT416_OLD26_IMPERATIVE	GRADED_ACTION	Halte den Positionsposten [wie zuvor]; zur Zielposition; auf Grad II und als Ausführung; schließe den Schritt.	SH	NONE	NONE	Y	1	1	0	1	1	1	0	RELATION	1	RELATION:ZIELORT · ABSCHLIESSEN	YES	YES	EXACT_RECIPE_DEFAULT__NO_LEARNED_WHOLE_CARD_VALUE	WORKING_COMPOSITION_ONLY__STRUCTURAL_TYPES_NOT_PLAINTEXT_WORDS
215	OLD26_GDT407	G407-E1079	P1003-E0578	G407-S056	f71v	CELESTIAL	2	18	STATEMENT_INTERNAL	NO	otar	OT+AR	2	STATE_CONTROL+RELATION	OT	OT{ZUSTANDSSTEUERUNG=DANACH} > AR{RELATION=AUSGANG}	DANACH → AUSGANG	danach; vom Ausgang	DANACH · AUSGANG	GDT416_OLD26_IMPERATIVE	INHERITED_RELATION	Danach im laufenden Gang nimm den Positionsposten [wie zuvor] auf; von der Ausgangsposition.	NONE	CH	NONE	Y	0	0	0	1	1	0	0	RELATION	1	RELATION:DANACH · AUSGANG	YES	YES	EXACT_RECIPE_DEFAULT__NO_LEARNED_WHOLE_CARD_VALUE	WORKING_COMPOSITION_ONLY__STRUCTURAL_TYPES_NOT_PLAINTEXT_WORDS
216	OLD26_GDT407	G407-E1081	P1003-E0580	G407-S056	f71v	CELESTIAL	4	18	STATEMENT_INTERNAL	NO	oteodar	OT+E+O+D_ADDR+AR	5	STATE_CONTROL+GRADE+FORMAL_CONTROL+LOCAL_OR_CLASS_SIGN+RELATION	OT	OT{ZUSTANDSSTEUERUNG=DANACH} > E{GRAD=GRAD I} > O{FORMSTEUERUNG=AUSFÜHRUNG} > D_ADDR{LOKAL-/KLASSENZEICHEN=HIER} > AR{RELATION=AUSGANG}	DANACH → GRAD I → AUSFÜHRUNG → HIER → AUSGANG	danach; auf Grad I; zur Ausführung; hier; vom Ausgang	DANACH · GRAD I · AUSFÜHRUNG · HIER · AUSGANG	GDT416_OLD26_IMPERATIVE	INHERITED_RELATION	Danach im laufenden Gang setze den Positionsposten [wie zuvor]; von der Ausgangsposition; auf Grad I und als Ausführung; an der bezeichneten Stelle.	NONE	OK	NONE	Y	0	1	0	1	1	1	1	GRADE|RELATION	2	GRADE:danach Träger auf Grad I || RELATION:DANACH · AUSGANG	YES	YES	EXACT_RECIPE_DEFAULT__NO_LEARNED_WHOLE_CARD_VALUE	WORKING_COMPOSITION_ONLY__STRUCTURAL_TYPES_NOT_PLAINTEXT_WORDS
217	OLD26_GDT407	G407-E1086	P1003-E0585	G407-S056	f71v	CELESTIAL	9	18	STATEMENT_INTERNAL	NO	oteoshar	OT+E+O+SH+AR	5	STATE_CONTROL+GRADE+FORMAL_CONTROL+ACTION_HEAD+RELATION	OT	OT{ZUSTANDSSTEUERUNG=DANACH} > E{GRAD=GRAD I} > O{FORMSTEUERUNG=AUSFÜHRUNG} > SH{HANDLUNG=HALTEN} > AR{RELATION=AUSGANG}	DANACH → GRAD I → AUSFÜHRUNG → HALTEN → AUSGANG	danach; auf Grad I; zur Ausführung; halten; vom Ausgang	DANACH · GRAD I · AUSFÜHRUNG · HALTEN · AUSGANG	GDT416_OLD26_IMPERATIVE	ORDERED_ACTION	Danach halte den Positionswert [wie zuvor]; von der Ausgangsposition; auf Grad I und als Ausführung.	SH	NONE	NONE	AIIN	1	1	0	1	1	1	0	GRADE|RELATION	2	GRADE:danach Träger auf Grad I || RELATION:DANACH · AUSGANG	YES	YES	EXACT_RECIPE_DEFAULT__NO_LEARNED_WHOLE_CARD_VALUE	WORKING_COMPOSITION_ONLY__STRUCTURAL_TYPES_NOT_PLAINTEXT_WORDS
218	OLD26_GDT407	G407-E1088	P1003-E0587	G407-S056	f71v	CELESTIAL	11	18	STATEMENT_INTERNAL	NO	oteey	OT+EE+Y	3	STATE_CONTROL+GRADE+ARGUMENT	OT	OT{ZUSTANDSSTEUERUNG=DANACH} > EE{GRAD=GRAD II} > Y{ARGUMENT=POSTEN}	DANACH → GRAD II → POSTEN	danach; auf Grad II; den Posten	DANACH · GRAD II · AKTIVER POSTEN	GDT416_OLD26_IMPERATIVE	INHERITED_GRADE	Danach im laufenden Gang setze den Positionsposten; auf Grad II.	NONE	OK	Y	NONE	0	1	1	0	1	0	0	ARGUMENT|GRADE	2	GRADE:danach Träger auf Grad II || ARGUMENT:danach den Posten als nächsten Träger eröffnen	YES	YES	EXACT_RECIPE_DEFAULT__NO_LEARNED_WHOLE_CARD_VALUE	WORKING_COMPOSITION_ONLY__STRUCTURAL_TYPES_NOT_PLAINTEXT_WORDS
