recipe_default_ordinal	recipe	event_count	physical_page_count	statement_count	surface_count	cohorts	registers	example_surfaces	example_event_ids	recipe_atom_count	atom_multiset	ordered_type_signature	ordered_typed_atom_trace	ordered_all_atom_reading_de	all_atom_default_phrase_de	specialized_carrier_layers	every_atom_mapped	written_order_preserved	default_scope
44	OL+K+E+DY	6	4	6	1	OLD26_GDT407	BIOLOGICAL	olkedy	G407-E1732|G407-E2331|G407-E2400|G407-E2782|G407-E2886|G407-E2919	4	DY+E+K+OL	STATE_CONTROL+ACTION_HEAD+GRADE+STATE_CONTROL	OL{ZUSTANDSSTEUERUNG=FORTSETZEN} > K{HANDLUNG=GEBEN} > E{GRAD=GRAD I} > DY{ZUSTANDSSTEUERUNG=ABSCHLIESSEN}	FORTSETZEN → GEBEN → GRAD I → ABSCHLIESSEN	weiter; geben; auf Grad I; abschließen	GRADE	YES	YES	EXACT_RECIPE_ONLY__OWNER_CONTEXT_REMAINS_EVENT_LOCAL
45	OL+K+EE+DY	6	4	6	2	OLD26_GDT407	BIOLOGICAL|PHARMA	cholkeedy|olkeedy	G407-E1772|G407-E2949|G407-E3168|G407-E3172|G407-E3473|G407-E4190	4	DY+EE+K+OL	STATE_CONTROL+ACTION_HEAD+GRADE+STATE_CONTROL	OL{ZUSTANDSSTEUERUNG=FORTSETZEN} > K{HANDLUNG=GEBEN} > EE{GRAD=GRAD II} > DY{ZUSTANDSSTEUERUNG=ABSCHLIESSEN}	FORTSETZEN → GEBEN → GRAD II → ABSCHLIESSEN	weiter; geben; auf Grad II; abschließen	GRADE	YES	YES	EXACT_RECIPE_ONLY__OWNER_CONTEXT_REMAINS_EVENT_LOCAL
46	OL+OR	6	5	6	3	OLD26_GDT407	BIOLOGICAL|HERBAL	alolor|cholor|olor	G407-E0281|G407-E1832|G407-E2053|G407-E2986|G407-E3009|G407-E4413	2	OL+OR	STATE_CONTROL+ARGUMENT	OL{ZUSTANDSSTEUERUNG=FORTSETZEN} > OR{ARGUMENT=EINHEIT}	FORTSETZEN → EINHEIT	weiter; die Einheit	ARGUMENT	YES	YES	EXACT_RECIPE_ONLY__OWNER_CONTEXT_REMAINS_EVENT_LOCAL
47	OL+SH+E+DY	6	4	6	2	OLD26_GDT407	BIOLOGICAL	olshedy|solshedy	G407-E1532|G407-E1541|G407-E1547|G407-E1936|G407-E2524|G407-E3228	4	DY+E+OL+SH	STATE_CONTROL+ACTION_HEAD+GRADE+STATE_CONTROL	OL{ZUSTANDSSTEUERUNG=FORTSETZEN} > SH{HANDLUNG=HALTEN} > E{GRAD=GRAD I} > DY{ZUSTANDSSTEUERUNG=ABSCHLIESSEN}	FORTSETZEN → HALTEN → GRAD I → ABSCHLIESSEN	weiter; halten; auf Grad I; abschließen	GRADE	YES	YES	EXACT_RECIPE_ONLY__OWNER_CONTEXT_REMAINS_EVENT_LOCAL
48	OT+E+OL	6	5	6	2	OLD26_GDT407	BIOLOGICAL|CELESTIAL|PHARMA|SOURCE_SECTION_T	oteol|qoteol	G407-E0083|G407-E1375|G407-E1406|G407-E2878|G407-E4012|G407-E4233	3	E+OL+OT	STATE_CONTROL+GRADE+STATE_CONTROL	OT{ZUSTANDSSTEUERUNG=DANACH} > E{GRAD=GRAD I} > OL{ZUSTANDSSTEUERUNG=FORTSETZEN}	DANACH → GRAD I → FORTSETZEN	danach; auf Grad I; weiter	GRADE	YES	YES	EXACT_RECIPE_ONLY__OWNER_CONTEXT_REMAINS_EVENT_LOCAL
49	AL+CHD+DY	5	5	5	4	OLD26_GDT407	BIOLOGICAL|CELESTIAL|PHARMA	alchdy|dalchdy|dalchedy|dalchom	G407-E1276|G407-E2021|G407-E2501|G407-E3594|G407-E4121	3	AL+CHD+DY	RELATION+ACTION_HEAD+STATE_CONTROL	AL{RELATION=ZIELORT} > CHD{HANDLUNG=BEARBEITEN} > DY{ZUSTANDSSTEUERUNG=ABSCHLIESSEN}	ZIELORT → BEARBEITEN → ABSCHLIESSEN	zum Zielort; bearbeiten; abschließen	RELATION	YES	YES	EXACT_RECIPE_ONLY__OWNER_CONTEXT_REMAINS_EVENT_LOCAL
50	CH+K+OL	5	4	5	3	OLD26_GDT407	CELESTIAL|HERBAL|PHARMA	chckhol|chekol|ckhol	G407-E0572|G407-E0588|G407-E1415|G407-E3967|G407-E4095	3	CH+K+OL	ACTION_HEAD+ACTION_HEAD+STATE_CONTROL	CH{HANDLUNG=NEHMEN} > K{HANDLUNG=GEBEN} > OL{ZUSTANDSSTEUERUNG=FORTSETZEN}	NEHMEN → GEBEN → FORTSETZEN	nehmen; geben; weiter	NONE	YES	YES	EXACT_RECIPE_ONLY__OWNER_CONTEXT_REMAINS_EVENT_LOCAL
51	CH+OT+Y	5	5	5	1	CURRENT4_GDT539|OLD26_GDT407	CELESTIAL|HERBAL|SOURCE_SECTION_T	choty	G407-E0212|G407-E0329|G407-E0812|G407-E1405|G515-E0371	3	CH+OT+Y	ACTION_HEAD+STATE_CONTROL+ARGUMENT	CH{HANDLUNG=NEHMEN} > OT{ZUSTANDSSTEUERUNG=DANACH} > Y{ARGUMENT=POSTEN}	NEHMEN → DANACH → POSTEN	nehmen; danach; den Posten	ARGUMENT	YES	YES	EXACT_RECIPE_ONLY__OWNER_CONTEXT_REMAINS_EVENT_LOCAL
52	L+K+E+DY	5	3	5	1	OLD26_GDT407	BIOLOGICAL	lkedy	G407-E1878|G407-E2350|G407-E3340|G407-E3645|G407-E3737	4	DY+E+K+L	RELATION+ACTION_HEAD+GRADE+STATE_CONTROL	L{RELATION=VERBINDUNG} > K{HANDLUNG=GEBEN} > E{GRAD=GRAD I} > DY{ZUSTANDSSTEUERUNG=ABSCHLIESSEN}	VERBINDUNG → GEBEN → GRAD I → ABSCHLIESSEN	über die Verbindung; geben; auf Grad I; abschließen	RELATION	YES	YES	EXACT_RECIPE_ONLY__OWNER_CONTEXT_REMAINS_EVENT_LOCAL
53	O+DY	5	4	5	1	OLD26_GDT407	BIOLOGICAL|HERBAL	ody	G407-E0253|G407-E0720|G407-E0725|G407-E2862|G407-E4565	2	DY+O	FORMAL_CONTROL+STATE_CONTROL	O{FORMSTEUERUNG=AUSFÜHRUNG} > DY{ZUSTANDSSTEUERUNG=ABSCHLIESSEN}	AUSFÜHRUNG → ABSCHLIESSEN	zur Ausführung; abschließen	NONE	YES	YES	EXACT_RECIPE_ONLY__OWNER_CONTEXT_REMAINS_EVENT_LOCAL
54	OK+EE+OL	5	3	5	2	OLD26_GDT407	BIOLOGICAL|CELESTIAL|PHARMA	okeeol|qokeeol	G407-E1306|G407-E1385|G407-E3727|G407-E4131|G407-E4251	3	EE+OK+OL	ACTION_HEAD+GRADE+STATE_CONTROL	OK{HANDLUNG=SETZEN} > EE{GRAD=GRAD II} > OL{ZUSTANDSSTEUERUNG=FORTSETZEN}	SETZEN → GRAD II → FORTSETZEN	setzen; auf Grad II; weiter	GRADE	YES	YES	EXACT_RECIPE_ONLY__OWNER_CONTEXT_REMAINS_EVENT_LOCAL
55	OK+SH+E+DY	5	3	5	2	OLD26_GDT407	BIOLOGICAL	okshedy|qokshedy	G407-E1569|G407-E1590|G407-E3017|G407-E3483|G407-E3581	4	DY+E+OK+SH	ACTION_HEAD+ACTION_HEAD+GRADE+STATE_CONTROL	OK{HANDLUNG=SETZEN} > SH{HANDLUNG=HALTEN} > E{GRAD=GRAD I} > DY{ZUSTANDSSTEUERUNG=ABSCHLIESSEN}	SETZEN → HALTEN → GRAD I → ABSCHLIESSEN	setzen; halten; auf Grad I; abschließen	NONE	YES	YES	EXACT_RECIPE_ONLY__OWNER_CONTEXT_REMAINS_EVENT_LOCAL
56	OL+K+AIN	5	4	5	2	OLD26_GDT407	BIOLOGICAL|HERBAL	olkain|qolkain	G407-E2570|G407-E2942|G407-E3133|G407-E3754|G407-E4429	3	AIN+K+OL	STATE_CONTROL+ACTION_HEAD+ARGUMENT	OL{ZUSTANDSSTEUERUNG=FORTSETZEN} > K{HANDLUNG=GEBEN} > AIN{ARGUMENT=ANTEIL}	FORTSETZEN → GEBEN → ANTEIL	weiter; geben; den Anteil	ARGUMENT	YES	YES	EXACT_RECIPE_ONLY__OWNER_CONTEXT_REMAINS_EVENT_LOCAL
57	OL+K+E+OL	5	5	5	2	CURRENT4_GDT539|OLD26_GDT407	BIOLOGICAL|HERBAL|SOURCE_SECTION_T	olkeol|olsheol	G407-E2198|G407-E2781|G407-E3167|G515-E0223|G515-E0554	4	E+K+OL+OL	STATE_CONTROL+ACTION_HEAD+GRADE+STATE_CONTROL	OL{ZUSTANDSSTEUERUNG=FORTSETZEN} > K{HANDLUNG=GEBEN} > E{GRAD=GRAD I} > OL{ZUSTANDSSTEUERUNG=FORTSETZEN}	FORTSETZEN → GEBEN → GRAD I → FORTSETZEN	weiter; geben; auf Grad I; weiter	GRADE	YES	YES	EXACT_RECIPE_ONLY__OWNER_CONTEXT_REMAINS_EVENT_LOCAL
58	OT+CH+Y	5	5	5	1	CURRENT4_GDT539|OLD26_GDT407	BIOLOGICAL|CELESTIAL|HERBAL	otchy	G407-E0450|G407-E0855|G407-E1071|G407-E1919|G515-E0105	3	CH+OT+Y	STATE_CONTROL+ACTION_HEAD+ARGUMENT	OT{ZUSTANDSSTEUERUNG=DANACH} > CH{HANDLUNG=NEHMEN} > Y{ARGUMENT=POSTEN}	DANACH → NEHMEN → POSTEN	danach; nehmen; den Posten	ARGUMENT	YES	YES	EXACT_RECIPE_ONLY__OWNER_CONTEXT_REMAINS_EVENT_LOCAL
59	OT+E+O+Y	5	3	5	1	CURRENT4_GDT539|OLD26_GDT407	CELESTIAL|PHARMA|SOURCE_SECTION_T	oteody	G407-E1310|G407-E1369|G407-E3988|G407-E4008|G515-E0533	4	E+O+OT+Y	STATE_CONTROL+GRADE+FORMAL_CONTROL+ARGUMENT	OT{ZUSTANDSSTEUERUNG=DANACH} > E{GRAD=GRAD I} > O{FORMSTEUERUNG=AUSFÜHRUNG} > Y{ARGUMENT=POSTEN}	DANACH → GRAD I → AUSFÜHRUNG → POSTEN	danach; auf Grad I; zur Ausführung; den Posten	ARGUMENT|GRADE	YES	YES	EXACT_RECIPE_ONLY__OWNER_CONTEXT_REMAINS_EVENT_LOCAL
60	AL+DY	4	4	4	1	OLD26_GDT407	BIOLOGICAL|HERBAL	daldy	G407-E0439|G407-E1710|G407-E2985|G407-E3397	2	AL+DY	RELATION+STATE_CONTROL	AL{RELATION=ZIELORT} > DY{ZUSTANDSSTEUERUNG=ABSCHLIESSEN}	ZIELORT → ABSCHLIESSEN	zum Zielort; abschließen	RELATION	YES	YES	EXACT_RECIPE_ONLY__OWNER_CONTEXT_REMAINS_EVENT_LOCAL
61	AR+OL	4	4	4	2	OLD26_GDT407	BIOLOGICAL|CELESTIAL|PHARMA	arol|darolg	G407-E1093|G407-E2660|G407-E2801|G407-E4115	2	AR+OL	RELATION+STATE_CONTROL	AR{RELATION=AUSGANG} > OL{ZUSTANDSSTEUERUNG=FORTSETZEN}	AUSGANG → FORTSETZEN	vom Ausgang; weiter	RELATION	YES	YES	EXACT_RECIPE_ONLY__OWNER_CONTEXT_REMAINS_EVENT_LOCAL
62	CHD+DY	4	3	4	2	OLD26_GDT407	BIOLOGICAL|HERBAL	dchdy|schedy	G407-E2993|G407-E3147|G407-E3502|G407-E4506	2	CHD+DY	ACTION_HEAD+STATE_CONTROL	CHD{HANDLUNG=BEARBEITEN} > DY{ZUSTANDSSTEUERUNG=ABSCHLIESSEN}	BEARBEITEN → ABSCHLIESSEN	bearbeiten; abschließen	NONE	YES	YES	EXACT_RECIPE_ONLY__OWNER_CONTEXT_REMAINS_EVENT_LOCAL
63	E+OL	4	3	4	2	OLD26_GDT407	BIOLOGICAL|CELESTIAL|PHARMA	eol|teol	G407-E1345|G407-E1379|G407-E3146|G407-E3868	2	E+OL	GRADE+STATE_CONTROL	E{GRAD=GRAD I} > OL{ZUSTANDSSTEUERUNG=FORTSETZEN}	GRAD I → FORTSETZEN	auf Grad I; weiter	GRADE	YES	YES	EXACT_RECIPE_ONLY__OWNER_CONTEXT_REMAINS_EVENT_LOCAL
64	K+E+OL	4	4	4	1	OLD26_GDT407	HERBAL|PHARMA	keol	G407-E0661|G407-E0900|G407-E3806|G407-E4309	3	E+K+OL	ACTION_HEAD+GRADE+STATE_CONTROL	K{HANDLUNG=GEBEN} > E{GRAD=GRAD I} > OL{ZUSTANDSSTEUERUNG=FORTSETZEN}	GEBEN → GRAD I → FORTSETZEN	geben; auf Grad I; weiter	GRADE	YES	YES	EXACT_RECIPE_ONLY__OWNER_CONTEXT_REMAINS_EVENT_LOCAL
65	OL+CH+Y	4	4	4	2	OLD26_GDT407	BIOLOGICAL	olchy|qolchy	G407-E2040|G407-E2534|G407-E3028|G407-E3274	3	CH+OL+Y	STATE_CONTROL+ACTION_HEAD+ARGUMENT	OL{ZUSTANDSSTEUERUNG=FORTSETZEN} > CH{HANDLUNG=NEHMEN} > Y{ARGUMENT=POSTEN}	FORTSETZEN → NEHMEN → POSTEN	weiter; nehmen; den Posten	ARGUMENT	YES	YES	EXACT_RECIPE_ONLY__OWNER_CONTEXT_REMAINS_EVENT_LOCAL
66	OT+E+O	4	2	4	2	OLD26_GDT407	CELESTIAL|PHARMA	oteo|qoteo	G407-E1190|G407-E1268|G407-E1303|G407-E4027	3	E+O+OT	STATE_CONTROL+GRADE+FORMAL_CONTROL	OT{ZUSTANDSSTEUERUNG=DANACH} > E{GRAD=GRAD I} > O{FORMSTEUERUNG=AUSFÜHRUNG}	DANACH → GRAD I → AUSFÜHRUNG	danach; auf Grad I; zur Ausführung	GRADE	YES	YES	EXACT_RECIPE_ONLY__OWNER_CONTEXT_REMAINS_EVENT_LOCAL
67	OT+O+DY	4	3	4	2	OLD26_GDT407	BIOLOGICAL|HERBAL|PHARMA	otody|qotody	G407-E1662|G407-E3970|G407-E3998|G407-E4575	3	DY+O+OT	STATE_CONTROL+FORMAL_CONTROL+STATE_CONTROL	OT{ZUSTANDSSTEUERUNG=DANACH} > O{FORMSTEUERUNG=AUSFÜHRUNG} > DY{ZUSTANDSSTEUERUNG=ABSCHLIESSEN}	DANACH → AUSFÜHRUNG → ABSCHLIESSEN	danach; zur Ausführung; abschließen	NONE	YES	YES	EXACT_RECIPE_ONLY__OWNER_CONTEXT_REMAINS_EVENT_LOCAL
68	R+OL	4	3	4	1	OLD26_GDT407	BIOLOGICAL	rol	G407-E1664|G407-E1887|G407-E2945|G407-E3137	2	OL+R	ACTION_HEAD+STATE_CONTROL	R{HANDLUNG=MARKIEREN} > OL{ZUSTANDSSTEUERUNG=FORTSETZEN}	MARKIEREN → FORTSETZEN	markieren; weiter	NONE	YES	YES	EXACT_RECIPE_ONLY__OWNER_CONTEXT_REMAINS_EVENT_LOCAL
69	SH+OL+D_ADDR+Y	4	4	4	1	CURRENT4_GDT539|OLD26_GDT407	HERBAL|PHARMA|SOURCE_SECTION_T	sholdy	G407-E0010|G407-E0568|G407-E4300|G515-E0388	4	D_ADDR+OL+SH+Y	ACTION_HEAD+STATE_CONTROL+LOCAL_OR_CLASS_SIGN+ARGUMENT	SH{HANDLUNG=HALTEN} > OL{ZUSTANDSSTEUERUNG=FORTSETZEN} > D_ADDR{LOKAL-/KLASSENZEICHEN=HIER} > Y{ARGUMENT=POSTEN}	HALTEN → FORTSETZEN → HIER → POSTEN	halten; weiter; hier; den Posten	ARGUMENT	YES	YES	EXACT_RECIPE_ONLY__OWNER_CONTEXT_REMAINS_EVENT_LOCAL
70	T+E+DY	4	4	4	1	OLD26_GDT407	BIOLOGICAL	tedy	G407-E1511|G407-E2433|G407-E2786|G407-E3173	3	DY+E+T	ACTION_HEAD+GRADE+STATE_CONTROL	T{HANDLUNG=EINSTELLEN} > E{GRAD=GRAD I} > DY{ZUSTANDSSTEUERUNG=ABSCHLIESSEN}	EINSTELLEN → GRAD I → ABSCHLIESSEN	einstellen; auf Grad I; abschließen	NONE	YES	YES	EXACT_RECIPE_ONLY__OWNER_CONTEXT_REMAINS_EVENT_LOCAL
71	Y+K+OL	4	3	3	2	CURRENT4_GDT539|OLD26_GDT407	BIOLOGICAL|HERBAL|SOURCE_SECTION_T	ykchol|ykol	G407-E0524|G407-E0549|G407-E2995|G515-E0375	3	K+OL+Y	ARGUMENT+ACTION_HEAD+STATE_CONTROL	Y{ARGUMENT=POSTEN} > K{HANDLUNG=GEBEN} > OL{ZUSTANDSSTEUERUNG=FORTSETZEN}	POSTEN → GEBEN → FORTSETZEN	den Posten; geben; weiter	ARGUMENT	YES	YES	EXACT_RECIPE_ONLY__OWNER_CONTEXT_REMAINS_EVENT_LOCAL
72	Y+T+E+DY	4	1	4	1	OLD26_GDT407	BIOLOGICAL	ytedy	G407-E3036|G407-E3039|G407-E3042|G407-E3043	4	DY+E+T+Y	ARGUMENT+ACTION_HEAD+GRADE+STATE_CONTROL	Y{ARGUMENT=POSTEN} > T{HANDLUNG=EINSTELLEN} > E{GRAD=GRAD I} > DY{ZUSTANDSSTEUERUNG=ABSCHLIESSEN}	POSTEN → EINSTELLEN → GRAD I → ABSCHLIESSEN	den Posten; einstellen; auf Grad I; abschließen	ARGUMENT	YES	YES	EXACT_RECIPE_ONLY__OWNER_CONTEXT_REMAINS_EVENT_LOCAL
73	CARRIER_Q+O+CH+K+OL	3	3	3	1	OLD26_GDT407	BIOLOGICAL|PHARMA	qockhol	G407-E3559|G407-E3855|G407-E3989	5	CARRIER_Q+CH+K+O+OL	FORMAL_CONTROL+FORMAL_CONTROL+ACTION_HEAD+ACTION_HEAD+STATE_CONTROL	CARRIER_Q{FORMSTEUERUNG=BEGINNMARKER} > O{FORMSTEUERUNG=AUSFÜHRUNG} > CH{HANDLUNG=NEHMEN} > K{HANDLUNG=GEBEN} > OL{ZUSTANDSSTEUERUNG=FORTSETZEN}	BEGINNMARKER → AUSFÜHRUNG → NEHMEN → GEBEN → FORTSETZEN	am Beginn; zur Ausführung; nehmen; geben; weiter	NONE	YES	YES	EXACT_RECIPE_ONLY__OWNER_CONTEXT_REMAINS_EVENT_LOCAL
74	CARRIER_Q+O+DY	3	3	3	1	OLD26_GDT407	BIOLOGICAL|HERBAL|PHARMA	qody	G407-E0486|G407-E3699|G407-E4224	3	CARRIER_Q+DY+O	FORMAL_CONTROL+FORMAL_CONTROL+STATE_CONTROL	CARRIER_Q{FORMSTEUERUNG=BEGINNMARKER} > O{FORMSTEUERUNG=AUSFÜHRUNG} > DY{ZUSTANDSSTEUERUNG=ABSCHLIESSEN}	BEGINNMARKER → AUSFÜHRUNG → ABSCHLIESSEN	am Beginn; zur Ausführung; abschließen	NONE	YES	YES	EXACT_RECIPE_ONLY__OWNER_CONTEXT_REMAINS_EVENT_LOCAL
75	L+OL+Y	3	2	3	1	OLD26_GDT407	BIOLOGICAL	loly	G407-E2401|G407-E2683|G407-E2790	3	L+OL+Y	RELATION+STATE_CONTROL+ARGUMENT	L{RELATION=VERBINDUNG} > OL{ZUSTANDSSTEUERUNG=FORTSETZEN} > Y{ARGUMENT=POSTEN}	VERBINDUNG → FORTSETZEN → POSTEN	über die Verbindung; weiter; den Posten	ARGUMENT|RELATION	YES	YES	EXACT_RECIPE_ONLY__OWNER_CONTEXT_REMAINS_EVENT_LOCAL
76	O+P+CHD+DY	3	3	3	1	CURRENT4_GDT539|OLD26_GDT407	BIOLOGICAL|SOURCE_SECTION_T	opchedy	G407-E2203|G407-E2717|G515-E0302	4	CHD+DY+O+P	FORMAL_CONTROL+ACTION_HEAD+ACTION_HEAD+STATE_CONTROL	O{FORMSTEUERUNG=AUSFÜHRUNG} > P{HANDLUNG=EINSETZEN} > CHD{HANDLUNG=BEARBEITEN} > DY{ZUSTANDSSTEUERUNG=ABSCHLIESSEN}	AUSFÜHRUNG → EINSETZEN → BEARBEITEN → ABSCHLIESSEN	zur Ausführung; einsetzen; bearbeiten; abschließen	NONE	YES	YES	EXACT_RECIPE_ONLY__OWNER_CONTEXT_REMAINS_EVENT_LOCAL
77	OL+AL	3	2	3	2	OLD26_GDT407	BIOLOGICAL	qolal|qoolkal	G407-E2067|G407-E2158|G407-E2437	2	AL+OL	STATE_CONTROL+RELATION	OL{ZUSTANDSSTEUERUNG=FORTSETZEN} > AL{RELATION=ZIELORT}	FORTSETZEN → ZIELORT	weiter; zum Zielort	RELATION	YES	YES	EXACT_RECIPE_ONLY__OWNER_CONTEXT_REMAINS_EVENT_LOCAL
78	OL+CH+E+O+DY	3	3	3	3	OLD26_GDT407	CELESTIAL|PHARMA	olcheody|olcheol|olcheor	G407-E1141|G407-E3949|G407-E4261	5	CH+DY+E+O+OL	STATE_CONTROL+ACTION_HEAD+GRADE+FORMAL_CONTROL+STATE_CONTROL	OL{ZUSTANDSSTEUERUNG=FORTSETZEN} > CH{HANDLUNG=NEHMEN} > E{GRAD=GRAD I} > O{FORMSTEUERUNG=AUSFÜHRUNG} > DY{ZUSTANDSSTEUERUNG=ABSCHLIESSEN}	FORTSETZEN → NEHMEN → GRAD I → AUSFÜHRUNG → ABSCHLIESSEN	weiter; nehmen; auf Grad I; zur Ausführung; abschließen	GRADE	YES	YES	EXACT_RECIPE_ONLY__OWNER_CONTEXT_REMAINS_EVENT_LOCAL
79	OL+D_ADDR+AIIN	3	2	2	1	OLD26_GDT407	PHARMA	oldaiin	G407-E3972|G407-E4234|G407-E4238	3	AIIN+D_ADDR+OL	STATE_CONTROL+LOCAL_OR_CLASS_SIGN+ARGUMENT	OL{ZUSTANDSSTEUERUNG=FORTSETZEN} > D_ADDR{LOKAL-/KLASSENZEICHEN=HIER} > AIIN{ARGUMENT=WERT}	FORTSETZEN → HIER → WERT	weiter; hier; den Wert	ARGUMENT	YES	YES	EXACT_RECIPE_ONLY__OWNER_CONTEXT_REMAINS_EVENT_LOCAL
80	OL+K+AIIN	3	3	3	2	OLD26_GDT407	BIOLOGICAL|HERBAL	olkaiin|solkaiin	G407-E2903|G407-E3196|G407-E4442	3	AIIN+K+OL	STATE_CONTROL+ACTION_HEAD+ARGUMENT	OL{ZUSTANDSSTEUERUNG=FORTSETZEN} > K{HANDLUNG=GEBEN} > AIIN{ARGUMENT=WERT}	FORTSETZEN → GEBEN → WERT	weiter; geben; den Wert	ARGUMENT	YES	YES	EXACT_RECIPE_ONLY__OWNER_CONTEXT_REMAINS_EVENT_LOCAL
81	OL+K+AR	3	3	3	1	OLD26_GDT407	BIOLOGICAL|HERBAL	olkar	G407-E1447|G407-E2909|G407-E4517	3	AR+K+OL	STATE_CONTROL+ACTION_HEAD+RELATION	OL{ZUSTANDSSTEUERUNG=FORTSETZEN} > K{HANDLUNG=GEBEN} > AR{RELATION=AUSGANG}	FORTSETZEN → GEBEN → AUSGANG	weiter; geben; vom Ausgang	RELATION	YES	YES	EXACT_RECIPE_ONLY__OWNER_CONTEXT_REMAINS_EVENT_LOCAL
82	OL+K+EE+D_ADDR+Y	3	2	3	2	OLD26_GDT407	BIOLOGICAL	qolkeedy|solkeedy	G407-E2999|G407-E3631|G407-E3640	5	D_ADDR+EE+K+OL+Y	STATE_CONTROL+ACTION_HEAD+GRADE+LOCAL_OR_CLASS_SIGN+ARGUMENT	OL{ZUSTANDSSTEUERUNG=FORTSETZEN} > K{HANDLUNG=GEBEN} > EE{GRAD=GRAD II} > D_ADDR{LOKAL-/KLASSENZEICHEN=HIER} > Y{ARGUMENT=POSTEN}	FORTSETZEN → GEBEN → GRAD II → HIER → POSTEN	weiter; geben; auf Grad II; hier; den Posten	ARGUMENT|GRADE	YES	YES	EXACT_RECIPE_ONLY__OWNER_CONTEXT_REMAINS_EVENT_LOCAL
83	OL+K+Y	3	3	3	2	OLD26_GDT407	BIOLOGICAL	olky|qolky	G407-E1470|G407-E2123|G407-E3118	3	K+OL+Y	STATE_CONTROL+ACTION_HEAD+ARGUMENT	OL{ZUSTANDSSTEUERUNG=FORTSETZEN} > K{HANDLUNG=GEBEN} > Y{ARGUMENT=POSTEN}	FORTSETZEN → GEBEN → POSTEN	weiter; geben; den Posten	ARGUMENT	YES	YES	EXACT_RECIPE_ONLY__OWNER_CONTEXT_REMAINS_EVENT_LOCAL
84	OL+SH+EE+DY	3	3	3	3	OLD26_GDT407	BIOLOGICAL	olsheedy|qolcheedy|qolsheedy	G407-E1466|G407-E2462|G407-E2798	4	DY+EE+OL+SH	STATE_CONTROL+ACTION_HEAD+GRADE+STATE_CONTROL	OL{ZUSTANDSSTEUERUNG=FORTSETZEN} > SH{HANDLUNG=HALTEN} > EE{GRAD=GRAD II} > DY{ZUSTANDSSTEUERUNG=ABSCHLIESSEN}	FORTSETZEN → HALTEN → GRAD II → ABSCHLIESSEN	weiter; halten; auf Grad II; abschließen	GRADE	YES	YES	EXACT_RECIPE_ONLY__OWNER_CONTEXT_REMAINS_EVENT_LOCAL
85	OT+AL+Y	3	3	3	2	OLD26_GDT407	BIOLOGICAL|CELESTIAL	otaly|qotaly	G407-E1123|G407-E1273|G407-E2029	3	AL+OT+Y	STATE_CONTROL+RELATION+ARGUMENT	OT{ZUSTANDSSTEUERUNG=DANACH} > AL{RELATION=ZIELORT} > Y{ARGUMENT=POSTEN}	DANACH → ZIELORT → POSTEN	danach; zum Zielort; den Posten	ARGUMENT|RELATION	YES	YES	EXACT_RECIPE_ONLY__OWNER_CONTEXT_REMAINS_EVENT_LOCAL
86	OT+CH+OR	3	3	3	2	OLD26_GDT407	HERBAL	otchor|qotchor	G407-E0277|G407-E0399|G407-E0841	3	CH+OR+OT	STATE_CONTROL+ACTION_HEAD+ARGUMENT	OT{ZUSTANDSSTEUERUNG=DANACH} > CH{HANDLUNG=NEHMEN} > OR{ARGUMENT=EINHEIT}	DANACH → NEHMEN → EINHEIT	danach; nehmen; die Einheit	ARGUMENT	YES	YES	EXACT_RECIPE_ONLY__OWNER_CONTEXT_REMAINS_EVENT_LOCAL
87	OT+E+O+D_ADDR+AR	3	2	3	1	OLD26_GDT407	CELESTIAL	oteodar	G407-E1081|G407-E1179|G407-E1353	5	AR+D_ADDR+E+O+OT	STATE_CONTROL+GRADE+FORMAL_CONTROL+LOCAL_OR_CLASS_SIGN+RELATION	OT{ZUSTANDSSTEUERUNG=DANACH} > E{GRAD=GRAD I} > O{FORMSTEUERUNG=AUSFÜHRUNG} > D_ADDR{LOKAL-/KLASSENZEICHEN=HIER} > AR{RELATION=AUSGANG}	DANACH → GRAD I → AUSFÜHRUNG → HIER → AUSGANG	danach; auf Grad I; zur Ausführung; hier; vom Ausgang	GRADE|RELATION	YES	YES	EXACT_RECIPE_ONLY__OWNER_CONTEXT_REMAINS_EVENT_LOCAL
88	OT+E+OR	3	3	3	2	CURRENT4_GDT539|OLD26_GDT407	BIOLOGICAL|HERBAL|PHARMA	oteor|qoteor	G407-E3242|G407-E3865|G515-E0252	3	E+OR+OT	STATE_CONTROL+GRADE+ARGUMENT	OT{ZUSTANDSSTEUERUNG=DANACH} > E{GRAD=GRAD I} > OR{ARGUMENT=EINHEIT}	DANACH → GRAD I → EINHEIT	danach; auf Grad I; die Einheit	ARGUMENT|GRADE	YES	YES	EXACT_RECIPE_ONLY__OWNER_CONTEXT_REMAINS_EVENT_LOCAL
89	OT+EE+S	3	1	3	1	OLD26_GDT407	CELESTIAL	otees	G407-E1259|G407-E1290|G407-E1371	3	EE+OT+S	STATE_CONTROL+GRADE+ACTION_HEAD	OT{ZUSTANDSSTEUERUNG=DANACH} > EE{GRAD=GRAD II} > S{HANDLUNG=WÄHLEN}	DANACH → GRAD II → WÄHLEN	danach; auf Grad II; wählen	GRADE	YES	YES	EXACT_RECIPE_ONLY__OWNER_CONTEXT_REMAINS_EVENT_LOCAL
