page_host	occurrences	physical_folios	dominant_wrapper	dominant_frame	dominant_right_family	mean_position_quartile
ykee	19	17	NONE	NONE	NONE	1.26315789474
ykeed	2	2	NONE	NONE	aiin	0
ykeee	3	3	NONE	NONE	NONE	0.333333333333
ykeeey	5	5	NONE	NONE	NONE	0.6
ykeeo	9	7	NONE	NONE	NONE	0.777777777778
ykeeol	6	4	NONE	NONE	NONE	0.5
ykeeor	2	2	NONE	NONE	NONE	1
ykees	2	2	NONE	NONE	NONE	1
ykeey	25	20	NONE	NONE	NONE	0.72
ykeo	4	4	NONE	NONE	NONE	1
ykeod	2	2	NONE	NONE	NONE	0
ykeol	5	5	NONE	NONE	NONE	0.8
ykeos	2	2	NONE	NONE	NONE	1
ykey	2	2	NONE	NONE	NONE	1.5
ykoiin	2	2	NONE	NONE	NONE	0.5
ykol	5	5	NONE	NONE	NONE	1
yky	12	9	NONE	NONE	NONE	1.33333333333
yl	2	2	NONE	NONE	ar	1
yor	2	2	NONE	NONE	NONE	0.5
yp	4	3	NONE	NONE	ar	2
ypch	3	3	NONE	NONE	NONE	1.33333333333
ypchd	2	2	NONE	NONE	ar	1
ypche	6	5	NONE	NONE	NONE	1.16666666667
ypchey	3	2	NONE	NONE	NONE	1
ypchol	2	2	NONE	NONE	NONE	1
ypchor	2	2	NONE	NONE	NONE	1
ypchy	2	2	d	NONE	NONE	2
ys	4	4	NONE	NONE	aiin	2
yshe	9	7	NONE	NONE	NONE	0
yshee	3	3	NONE	NONE	NONE	0.666666666667
ysheey	4	4	NONE	NONE	NONE	0
ysheo	2	2	NONE	NONE	NONE	0
ysheod	2	2	NONE	NONE	NONE	0
yshey	8	7	NONE	NONE	NONE	0
ysho	3	3	NONE	NONE	NONE	0
yshol	3	3	NONE	NONE	NONE	0.666666666667
yt	55	28	NONE	NONE	aiin	1.67272727273
yta	8	7	NONE	NONE	NONE	3.125
ytch	8	7	NONE	NONE	NONE	2
ytche	5	5	NONE	NONE	NONE	0.4
ytchey	2	2	NONE	NONE	NONE	2
ytcho	3	3	NONE	NONE	NONE	1.66666666667
ytchol	3	3	NONE	NONE	NONE	1.66666666667
ytchor	8	7	NONE	NONE	NONE	1.125
ytchy	12	10	NONE	NONE	NONE	1.16666666667
yte	13	9	NONE	NONE	NONE	1.38461538462
ytee	13	10	NONE	NONE	NONE	1
yteeey	2	2	NONE	NONE	NONE	0.5
yteey	11	7	NONE	NONE	NONE	0.909090909091
yteo	7	6	NONE	NONE	NONE	1.28571428571
yteol	2	2	NONE	NONE	NONE	2.5
yteor	2	2	NONE	NONE	NONE	0
ytey	8	8	NONE	NONE	NONE	1.875
yto	5	3	NONE	NONE	NONE	1.6
ytod	2	2	NONE	NONE	aiin	1.5
ytol	9	8	NONE	NONE	NONE	1.88888888889
ytor	7	7	NONE	NONE	NONE	0.714285714286
ytshe	2	2	NONE	NONE	NONE	1
yty	11	10	ch	NONE	NONE	2.09090909091
