left_free_group	right_free_group	joined_form	candidate_segmentation	editions_present	split_loci_count	joined_loci_count	separator_states	representative_split_loci	representative_joined_loci	claim_state
cho	dar	chodar	cho | dar ↔ chodar	IT2a;RF1b;ZL3b	1	14	DEFINITE_SPACE	f67r1.6	f104v.26;f106r.17;f106v.7;f114r.15;f115r.16;f1v.10;f34r.8;f68r2.28;f89v1.16;f8r.3	MANUAL_GROUP_SPLIT_JOIN_ANALOGY_NOT_MORPHEME
chol	tar	choltar	chol | tar ↔ choltar	IT2a;RF1b;ZL3b	1	1	DEFINITE_SPACE	f95r1.9	f113v.8	MANUAL_GROUP_SPLIT_JOIN_ANALOGY_NOT_MORPHEME
cphol	dy	cpholdy	cphol | dy ↔ cpholdy	IT2a;RF1b;ZL3b	1	2	DEFINITE_SPACE	f9v.2	f25r.1;f4r.8	MANUAL_GROUP_SPLIT_JOIN_ANALOGY_NOT_MORPHEME
cthol	dar	ctholdar	cthol | dar ↔ ctholdar	IT2a;RF1b;ZL3b	1	1	DEFINITE_SPACE	f8v.5	f1r.24	MANUAL_GROUP_SPLIT_JOIN_ANALOGY_NOT_MORPHEME
dal	sy	dalsy	dal | sy ↔ dalsy	IT2a;RF1b;ZL3b	1	1	DEFINITE_SPACE	f83r.14	f100v.9	MANUAL_GROUP_SPLIT_JOIN_ANALOGY_NOT_MORPHEME
dar	chy	darchy	dar | chy ↔ darchy	IT2a;RF1b;ZL3b	1	1	DRAWING_INTERRUPTION	f42r.11	f84v.49	MANUAL_GROUP_SPLIT_JOIN_ANALOGY_NOT_MORPHEME
dar	shody	darshody	dar | shody ↔ darshody	IT2a;RF1b;ZL3b	1	1	DEFINITE_SPACE	f1v.9	f89v1.4	MANUAL_GROUP_SPLIT_JOIN_ANALOGY_NOT_MORPHEME
d	oldy	doldy	d | oldy ↔ doldy	IT2a;RF1b;ZL3b	1	2	DEFINITE_SPACE;UNCERTAIN_SMALL_SPACE	f13r.7	f18r.7;f83v.4	MANUAL_GROUP_SPLIT_JOIN_ANALOGY_NOT_MORPHEME
dol	dy	doldy	dol | dy ↔ doldy	IT2a;RF1b;ZL3b	1	2	DEFINITE_SPACE;UNCERTAIN_SMALL_SPACE	f14r.10	f18r.7;f83v.4	MANUAL_GROUP_SPLIT_JOIN_ANALOGY_NOT_MORPHEME
dy	teey	dyteey	dy | teey ↔ dyteey	IT2a;RF1b;ZL3b	1	2	DEFINITE_SPACE;UNCERTAIN_SMALL_SPACE	f79v.15	f105r.13;f105r.36	MANUAL_GROUP_SPLIT_JOIN_ANALOGY_NOT_MORPHEME
kol	chdy	kolchdy	kol | chdy ↔ kolchdy	IT2a;RF1b;ZL3b	1	1	DEFINITE_SPACE;UNCERTAIN_SMALL_SPACE	f95r1.2	f82r.11	MANUAL_GROUP_SPLIT_JOIN_ANALOGY_NOT_MORPHEME
od	ar	odar	od | ar ↔ odar	IT2a;RF1b;ZL3b	1	29	DEFINITE_SPACE	f35v.13	f101r.9;f101v.23;f104r.8;f104v.33;f105r.2;f105r.20;f105v.10;f105v.14;f105v.8;f107v.12	MANUAL_GROUP_SPLIT_JOIN_ANALOGY_NOT_MORPHEME
okees	odar	okeesodar	okees | odar ↔ okeesodar	IT2a;RF1b;ZL3b	1	1	DEFINITE_SPACE	f105r.2	f107r.1	MANUAL_GROUP_SPLIT_JOIN_ANALOGY_NOT_MORPHEME
okeol	dy	okeoldy	okeol | dy ↔ okeoldy	IT2a;RF1b;ZL3b	1	2	DEFINITE_SPACE	f100v.16	f72v2.16;f99v.23	MANUAL_GROUP_SPLIT_JOIN_ANALOGY_NOT_MORPHEME
okol	dy	okoldy	okol | dy ↔ okoldy	IT2a;RF1b;ZL3b	1	9	DEFINITE_SPACE;UNCERTAIN_SMALL_SPACE	f36r.7	f105v.3;f40r.4;f68r1.28;f75r.44;f82r.37;f82v.45;f88r.26;f99r.30;f99v.11	MANUAL_GROUP_SPLIT_JOIN_ANALOGY_NOT_MORPHEME
o	lkedy	olkedy	o | lkedy ↔ olkedy	IT2a;RF1b;ZL3b	1	24	DEFINITE_SPACE	f31v.3	f103v.16;f108r.28;f108v.41;f112r.37;f114v.22;f40r.1;f75r.34;f75v.43;f75v.69;f76r.50	MANUAL_GROUP_SPLIT_JOIN_ANALOGY_NOT_MORPHEME
ol	pchedy	olpchedy	ol | pchedy ↔ olpchedy	IT2a;RF1b;ZL3b	1	4	DEFINITE_SPACE;UNCERTAIN_SMALL_SPACE	f81v.1	f105v.1;f105v.14;f81r.1;f81r.16	MANUAL_GROUP_SPLIT_JOIN_ANALOGY_NOT_MORPHEME
ol	tchdy	oltchdy	ol | tchdy ↔ oltchdy	IT2a;RF1b;ZL3b	1	1	DEFINITE_SPACE	f113v.15	f105v.18	MANUAL_GROUP_SPLIT_JOIN_ANALOGY_NOT_MORPHEME
ol	tedy	oltedy	ol | tedy ↔ oltedy	IT2a;RF1b;ZL3b	1	6	DEFINITE_SPACE	f78r.12	f104v.12;f115r.16;f33v.7;f75r.34;f77v.31;f81r.11	MANUAL_GROUP_SPLIT_JOIN_ANALOGY_NOT_MORPHEME
ol	teedy	olteedy	ol | teedy ↔ olteedy	IT2a;RF1b;ZL3b	1	3	DEFINITE_SPACE;UNCERTAIN_SMALL_SPACE	f94v.2	f79r.26;f80v.8;f86v6.26	MANUAL_GROUP_SPLIT_JOIN_ANALOGY_NOT_MORPHEME
ol	teody	olteody	ol | teody ↔ olteody	IT2a;RF1b;ZL3b	1	2	DEFINITE_SPACE	f86v5.32	f114v.23;f86v6.21	MANUAL_GROUP_SPLIT_JOIN_ANALOGY_NOT_MORPHEME
or	chedar	orchedar	or | chedar ↔ orchedar	IT2a;RF1b;ZL3b	1	1	DEFINITE_SPACE;UNCERTAIN_SMALL_SPACE	f112r.3	f115r.4	MANUAL_GROUP_SPLIT_JOIN_ANALOGY_NOT_MORPHEME
otar	aldy	otaraldy	otar | aldy ↔ otaraldy	IT2a;RF1b;ZL3b	1	2	DEFINITE_SPACE	f58r.10	f72r1.8;f72r2.7	MANUAL_GROUP_SPLIT_JOIN_ANALOGY_NOT_MORPHEME
oteey	keey	oteeykeey	oteey | keey ↔ oteeykeey	IT2a;RF1b;ZL3b	1	1	DEFINITE_SPACE	f67r1.2	f72r2.6	MANUAL_GROUP_SPLIT_JOIN_ANALOGY_NOT_MORPHEME
oteol	ar	oteolar	oteol | ar ↔ oteolar	IT2a;RF1b;ZL3b	1	1	DEFINITE_SPACE	f113v.2	f71r.5	MANUAL_GROUP_SPLIT_JOIN_ANALOGY_NOT_MORPHEME
oto	dar	otodar	oto | dar ↔ otodar	IT2a;RF1b;ZL3b	1	7	DEFINITE_SPACE	f69r.7	f57v.5;f85r2.1;f86v3.26;f93r.5;fRos.102;fRos.87;fRos.94	MANUAL_GROUP_SPLIT_JOIN_ANALOGY_NOT_MORPHEME
qod	ar	qodar	qod | ar ↔ qodar	IT2a;RF1b;ZL3b	1	11	DRAWING_INTERRUPTION	f34r.9	f101r.9;f17r.2;f24r.5;f3v.4;f41r.8;f85r2.10;f86v6.10;f86v6.25;f90r1.8;f90v2.5	MANUAL_GROUP_SPLIT_JOIN_ANALOGY_NOT_MORPHEME
qokchd	ar	qokchdar	qokchd | ar ↔ qokchdar	IT2a;RF1b;ZL3b	1	1	DEFINITE_SPACE	f40r.5	f68r2.3	MANUAL_GROUP_SPLIT_JOIN_ANALOGY_NOT_MORPHEME
qol	chdy	qolchdy	qol | chdy ↔ qolchdy	IT2a;RF1b;ZL3b	1	1	DEFINITE_SPACE	f77v.12	f83v.14	MANUAL_GROUP_SPLIT_JOIN_ANALOGY_NOT_MORPHEME
qol	dy	qoldy	qol | dy ↔ qoldy	IT2a;RF1b;ZL3b	1	2	DEFINITE_SPACE	f75v.64	f28r.1;f81v.20	MANUAL_GROUP_SPLIT_JOIN_ANALOGY_NOT_MORPHEME
sheol	dy	sheoldy	sheol | dy ↔ sheoldy	IT2a;RF1b;ZL3b	1	3	DEFINITE_SPACE	f78v.32	f30v.10;f58v.19;f83v.4	MANUAL_GROUP_SPLIT_JOIN_ANALOGY_NOT_MORPHEME
sol	kedy	solkedy	sol | kedy ↔ solkedy	IT2a;RF1b;ZL3b	1	3	DEFINITE_SPACE;UNCERTAIN_SMALL_SPACE	f84v.36	f108r.33;f75r.34;f75v.58	MANUAL_GROUP_SPLIT_JOIN_ANALOGY_NOT_MORPHEME
tedy	ol	tedyol	tedy | ol ↔ tedyol	IT2a;RF1b;ZL3b	1	1	DEFINITE_SPACE	f81r.12	f79v.8	MANUAL_GROUP_SPLIT_JOIN_ANALOGY_NOT_MORPHEME
tol	dy	toldy	tol | dy ↔ toldy	IT2a;RF1b;ZL3b	1	2	DEFINITE_SPACE;UNCERTAIN_SMALL_SPACE	f78r.13	f43r.11;f9v.4	MANUAL_GROUP_SPLIT_JOIN_ANALOGY_NOT_MORPHEME
ar	oteey	aroteey	ar | oteey ↔ aroteey	IT2a;RF1b	3	1	DEFINITE_SPACE	f107r.6;f31v.1;f70v2.32	f115v.16	MANUAL_GROUP_SPLIT_JOIN_ANALOGY_NOT_MORPHEME
dar	chdy	darchdy	dar | chdy ↔ darchdy	RF1b;ZL3b	3	1	DEFINITE_SPACE	f39v.2;f81v.16;f84v.1	fRos.93	MANUAL_GROUP_SPLIT_JOIN_ANALOGY_NOT_MORPHEME
otcho	dar	otchodar	otcho | dar ↔ otchodar	IT2a;RF1b	3	2	DEFINITE_SPACE	f1v.9;f69v.1;f70r1.6	f106r.24;f49v.32	MANUAL_GROUP_SPLIT_JOIN_ANALOGY_NOT_MORPHEME
y	dar	ydar	y | dar ↔ ydar	RF1b;ZL3b	3	5	DEFINITE_SPACE;UNCERTAIN_SMALL_SPACE	f101r.9;f3r.10;f57v.5	f101r.8;f102r1.17;f116r.43;f17r.1;f3r.10	MANUAL_GROUP_SPLIT_JOIN_ANALOGY_NOT_MORPHEME
ar	chol	archol	ar | chol ↔ archol	IT2a;RF1b	2	1	DEFINITE_SPACE	f116r.12;f41v.5	f69r.7	MANUAL_GROUP_SPLIT_JOIN_ANALOGY_NOT_MORPHEME
lol	chedy	lolchedy	lol | chedy ↔ lolchedy	RF1b;ZL3b	2	1	DEFINITE_SPACE	f115r.23;f75r.7	f75r.28	MANUAL_GROUP_SPLIT_JOIN_ANALOGY_NOT_MORPHEME
ol	kchedy	olkchedy	ol | kchedy ↔ olkchedy	RF1b;ZL3b	2	6	DEFINITE_SPACE;UNCERTAIN_SMALL_SPACE	f50r.6;f86v6.32	f104r.19;f104r.21;f107r.5;f115v.7;f50r.6;fRos.122	MANUAL_GROUP_SPLIT_JOIN_ANALOGY_NOT_MORPHEME
ol	keeody	olkeeody	ol | keeody ↔ olkeeody	RF1b;ZL3b	2	7	UNCERTAIN_SMALL_SPACE	f85r1.29;f86v5.37	f104r.17;f105r.15;f115v.25;f51v.8;f71r.1;f85r1.29;f86v5.37	MANUAL_GROUP_SPLIT_JOIN_ANALOGY_NOT_MORPHEME
oteed	aiin	oteedaiin	oteed | aiin ↔ oteedaiin	RF1b;ZL3b	2	5	UNCERTAIN_SMALL_SPACE	f111v.6;f114r.33	f111r.11;f111v.6;f114r.33;fRos.47;fRos.62	MANUAL_GROUP_SPLIT_JOIN_ANALOGY_NOT_MORPHEME
qoteeo	s	qoteeos	qoteeo | s ↔ qoteeos	RF1b;ZL3b	2	2	DEFINITE_SPACE;UNCERTAIN_SMALL_SPACE	f114v.13;f115r.26	f104r.3;f86v6.9	MANUAL_GROUP_SPLIT_JOIN_ANALOGY_NOT_MORPHEME
s	olar	solar	s | olar ↔ solar	RF1b;ZL3b	2	1	DEFINITE_SPACE	f58r.17;f70v2.1	f72v3.33	MANUAL_GROUP_SPLIT_JOIN_ANALOGY_NOT_MORPHEME
y	chedar	ychedar	y | chedar ↔ ychedar	RF1b;ZL3b	2	3	DEFINITE_SPACE;UNCERTAIN_SMALL_SPACE	f114r.30;f79r.20	f114r.30;f114r.36;f114v.22	MANUAL_GROUP_SPLIT_JOIN_ANALOGY_NOT_MORPHEME
yteeo	dy	yteeody	yteeo | dy ↔ yteeody	IT2a;ZL3b	2	9	DEFINITE_SPACE;UNCERTAIN_SMALL_SPACE	f105r.12;f86v3.34	f104r.2;f104r.3;f105r.12;f106r.1;f73r.4;f86v3.11;f86v4.2;f93v.2;f96v.6	MANUAL_GROUP_SPLIT_JOIN_ANALOGY_NOT_MORPHEME
alol	dy	aloldy	alol | dy ↔ aloldy	IT2a;RF1b	1	1	DEFINITE_SPACE	f50r.2	f46r.10	MANUAL_GROUP_SPLIT_JOIN_ANALOGY_NOT_MORPHEME
ar	odar	arodar	ar | odar ↔ arodar	RF1b;ZL3b	1	1	DEFINITE_SPACE	f104v.33	fRos.36	MANUAL_GROUP_SPLIT_JOIN_ANALOGY_NOT_MORPHEME
ar	olkeey	arolkeey	ar | olkeey ↔ arolkeey	IT2a;RF1b	1	2	DEFINITE_SPACE	f111r.33	f107r.34;f108r.28	MANUAL_GROUP_SPLIT_JOIN_ANALOGY_NOT_MORPHEME
ch	dar	chdar	ch | dar ↔ chdar	RF1b;ZL3b	1	25	DRAWING_INTERRUPTION	f75r.44	f103r.4;f104r.19;f104v.20;f107v.22;f108r.24;f108r.35;f108r.50;f108r.6;f114r.34;f114r.45	MANUAL_GROUP_SPLIT_JOIN_ANALOGY_NOT_MORPHEME
cheol	kedy	cheolkedy	cheol | kedy ↔ cheolkedy	IT2a;RF1b	1	1	DEFINITE_SPACE	f111v.13	f55r.7	MANUAL_GROUP_SPLIT_JOIN_ANALOGY_NOT_MORPHEME
chkar	ol	chkarol	chkar | ol ↔ chkarol	IT2a;RF1b	1	1	DEFINITE_SPACE	f95r2.3	f76r.5	MANUAL_GROUP_SPLIT_JOIN_ANALOGY_NOT_MORPHEME
dar	aldy	daraldy	dar | aldy ↔ daraldy	RF1b;ZL3b	1	1	DEFINITE_SPACE	f67r1.6	fRos.19	MANUAL_GROUP_SPLIT_JOIN_ANALOGY_NOT_MORPHEME
dar	chd	darchd	dar | chd ↔ darchd	RF1b;ZL3b	1	1	DEFINITE_SPACE	f34r.3	f55r.10	MANUAL_GROUP_SPLIT_JOIN_ANALOGY_NOT_MORPHEME
dar	ody	darody	dar | ody ↔ darody	IT2a;ZL3b	1	2	DEFINITE_SPACE;UNCERTAIN_SMALL_SPACE	f75v.10	f14v.4;f43v.15	MANUAL_GROUP_SPLIT_JOIN_ANALOGY_NOT_MORPHEME
dol	chedy	dolchedy	dol | chedy ↔ dolchedy	IT2a;ZL3b	1	3	DEFINITE_SPACE	f78r.5	f106r.14;f68r1.36;f82v.14	MANUAL_GROUP_SPLIT_JOIN_ANALOGY_NOT_MORPHEME
okar	chedy	okarchedy	okar | chedy ↔ okarchedy	RF1b;ZL3b	1	1	DEFINITE_SPACE	f76r.46	f82r.12	MANUAL_GROUP_SPLIT_JOIN_ANALOGY_NOT_MORPHEME
o	keodar	okeodar	o | keodar ↔ okeodar	RF1b;ZL3b	1	3	UNCERTAIN_SMALL_SPACE	f72r3.1	f69r.23;f70r1.3;f71r.1	MANUAL_GROUP_SPLIT_JOIN_ANALOGY_NOT_MORPHEME
okeo	ldy	okeoldy	okeo | ldy ↔ okeoldy	RF1b;ZL3b	1	2	DEFINITE_SPACE	fRos.20	f72v2.16;f99v.23	MANUAL_GROUP_SPLIT_JOIN_ANALOGY_NOT_MORPHEME
oko	dar	okodar	oko | dar ↔ okodar	IT2a;RF1b	1	3	DEFINITE_SPACE;UNCERTAIN_SMALL_SPACE	f70r2.18	f1v.2;f67r2.63;fRos.62	MANUAL_GROUP_SPLIT_JOIN_ANALOGY_NOT_MORPHEME
ol	cheody	olcheody	ol | cheody ↔ olcheody	IT2a;ZL3b	1	2	DEFINITE_SPACE	f86v5.37	f111r.17;f88v.8	MANUAL_GROUP_SPLIT_JOIN_ANALOGY_NOT_MORPHEME
otedy	ar	otedyar	otedy | ar ↔ otedyar	RF1b;ZL3b	1	1	DEFINITE_SPACE	f112r.35	f113v.10	MANUAL_GROUP_SPLIT_JOIN_ANALOGY_NOT_MORPHEME
oteed	y	oteedy	oteed | y ↔ oteedy	IT2a;ZL3b	1	107	DEFINITE_SPACE	f48v.4	f103r.10;f103r.16;f103r.26;f103r.41;f103r.45;f103v.14;f103v.17;f103v.18;f103v.21;f103v.25	MANUAL_GROUP_SPLIT_JOIN_ANALOGY_NOT_MORPHEME
oteeo	dar	oteeodar	oteeo | dar ↔ oteeodar	RF1b;ZL3b	1	2	DEFINITE_SPACE	f69v.1	f69r.43;f70r2.16	MANUAL_GROUP_SPLIT_JOIN_ANALOGY_NOT_MORPHEME
oteey	ar	oteeyar	oteey | ar ↔ oteeyar	RF1b;ZL3b	1	1	DEFINITE_SPACE	f113v.40	f71r.1	MANUAL_GROUP_SPLIT_JOIN_ANALOGY_NOT_MORPHEME
oteey	lshedy	oteeylshedy	oteey | lshedy ↔ oteeylshedy	RF1b;ZL3b	1	1	DEFINITE_SPACE	f103v.26	f103r.18	MANUAL_GROUP_SPLIT_JOIN_ANALOGY_NOT_MORPHEME
oteo	l	oteol	oteo | l ↔ oteol	RF1b;ZL3b	1	37	DEFINITE_SPACE;UNCERTAIN_SMALL_SPACE	f104r.43	f100r.20;f101r.5;f101r.8;f102r1.8;f102v1.14;f103r.19;f105r.19;f106v.39;f111r.15;f112v.45	MANUAL_GROUP_SPLIT_JOIN_ANALOGY_NOT_MORPHEME
oy	teedy	oyteedy	oy | teedy ↔ oyteedy	RF1b;ZL3b	1	1	DEFINITE_SPACE	f105r.4	f73r.25	MANUAL_GROUP_SPLIT_JOIN_ANALOGY_NOT_MORPHEME
pol	chedy	polchedy	pol | chedy ↔ polchedy	IT2a;RF1b	1	6	DEFINITE_SPACE;UNCERTAIN_SMALL_SPACE	f79r.35	f103r.18;f107v.35;f108r.29;f115r.19;f41r.6;f79r.7	MANUAL_GROUP_SPLIT_JOIN_ANALOGY_NOT_MORPHEME
qokar	dy	qokardy	qokar | dy ↔ qokardy	RF1b;ZL3b	1	1	DEFINITE_SPACE	f58r.33	f75r.8	MANUAL_GROUP_SPLIT_JOIN_ANALOGY_NOT_MORPHEME
qokeeo	dar	qokeeodar	qokeeo | dar ↔ qokeeodar	RF1b;ZL3b	1	1	DEFINITE_SPACE;UNCERTAIN_SMALL_SPACE	f108v.9	f111r.19	MANUAL_GROUP_SPLIT_JOIN_ANALOGY_NOT_MORPHEME
qoteed	y	qoteedy	qoteed | y ↔ qoteedy	RF1b;ZL3b	1	75	DEFINITE_SPACE	f76v.5	f103r.45;f103v.4;f104v.10;f104v.4;f105r.28;f105v.11;f106r.2;f106r.8;f106v.41;f106v.42	MANUAL_GROUP_SPLIT_JOIN_ANALOGY_NOT_MORPHEME
qoteo	ar	qoteoar	qoteo | ar ↔ qoteoar	RF1b;ZL3b	1	1	DEFINITE_SPACE	f112v.19	f113r.10	MANUAL_GROUP_SPLIT_JOIN_ANALOGY_NOT_MORPHEME
rol	keedy	rolkeedy	rol | keedy ↔ rolkeedy	IT2a;ZL3b	1	1	DEFINITE_SPACE;UNCERTAIN_SMALL_SPACE	f107v.37	f83v.8	MANUAL_GROUP_SPLIT_JOIN_ANALOGY_NOT_MORPHEME
s	arol	sarol	s | arol ↔ sarol	RF1b;ZL3b	1	5	DEFINITE_SPACE	f77r.41	f102v2.14;f112r.33;f39v.11;f75r.45;f77v.37	MANUAL_GROUP_SPLIT_JOIN_ANALOGY_NOT_MORPHEME
shol	ar	sholar	shol | ar ↔ sholar	RF1b;ZL3b	1	1	DEFINITE_SPACE;UNCERTAIN_SMALL_SPACE	f58r.35	f58r.4	MANUAL_GROUP_SPLIT_JOIN_ANALOGY_NOT_MORPHEME
s	olkedy	solkedy	s | olkedy ↔ solkedy	RF1b;ZL3b	1	2	DEFINITE_SPACE;UNCERTAIN_SMALL_SPACE	f75r.34	f108r.33;f75v.58	MANUAL_GROUP_SPLIT_JOIN_ANALOGY_NOT_MORPHEME
s	olkeedy	solkeedy	s | olkeedy ↔ solkeedy	RF1b;ZL3b	1	5	DEFINITE_SPACE;UNCERTAIN_SMALL_SPACE	f83v.18	f112r.21;f76v.21;f78r.31;f83r.20;f83r.21	MANUAL_GROUP_SPLIT_JOIN_ANALOGY_NOT_MORPHEME
s	oteees	soteees	s | oteees ↔ soteees	RF1b;ZL3b	1	1	DEFINITE_SPACE	f67r1.7	f73r.5	MANUAL_GROUP_SPLIT_JOIN_ANALOGY_NOT_MORPHEME
s	ydy	sydy	s | ydy ↔ sydy	RF1b;ZL3b	1	1	DEFINITE_SPACE;UNCERTAIN_SMALL_SPACE	f101v.23	f58v.38	MANUAL_GROUP_SPLIT_JOIN_ANALOGY_NOT_MORPHEME
yteeo	r	yteeor	yteeo | r ↔ yteeor	RF1b;ZL3b	1	2	DEFINITE_SPACE	f112r.43	f87r.16;f87v.3	MANUAL_GROUP_SPLIT_JOIN_ANALOGY_NOT_MORPHEME
y	teey	yteey	y | teey ↔ yteey	RF1b;ZL3b	1	31	DEFINITE_SPACE;UNCERTAIN_SMALL_SPACE	f105r.30	f103v.26;f103v.40;f105r.3;f105r.4;f106r.38;f114r.33;f1v.2;f33r.6;f40v.16;f43v.11	MANUAL_GROUP_SPLIT_JOIN_ANALOGY_NOT_MORPHEME
qokol	chedy	qokolchedy	qokol | chedy ↔ qokolchedy	ZL3b	6	1	DEFINITE_SPACE;UNCERTAIN_SMALL_SPACE	f108r.18;f40v.11;f40v.7;f76v.12;f82v.19;f82v.8	f83v.6	MANUAL_GROUP_SPLIT_JOIN_ANALOGY_NOT_MORPHEME
ar	shedy	arshedy	ar | shedy ↔ arshedy	ZL3b	3	1	DEFINITE_SPACE	f112r.42;f76r.12;f85r2.22	f106v.11	MANUAL_GROUP_SPLIT_JOIN_ANALOGY_NOT_MORPHEME
qotal	dar	qotaldar	qotal | dar ↔ qotaldar	ZL3b	3	1	DEFINITE_SPACE	f41v.2;f77v.39;f83r.3	f81r.24	MANUAL_GROUP_SPLIT_JOIN_ANALOGY_NOT_MORPHEME
d	ar	dar	d | ar ↔ dar	RF1b	2	296	UNCERTAIN_SMALL_SPACE	f57v.5;fRos.114	f101r.3;f101r.9;f101v.20;f101v.23;f102v1.9;f103r.11;f103r.25;f103v.3;f103v.37;f104r.41	MANUAL_GROUP_SPLIT_JOIN_ANALOGY_NOT_MORPHEME
dar	ary	darary	dar | ary ↔ darary	ZL3b	2	1	DRAWING_INTERRUPTION;UNCERTAIN_SMALL_SPACE	f80r.29;f99v.5	f82r.38	MANUAL_GROUP_SPLIT_JOIN_ANALOGY_NOT_MORPHEME
ol	chedar	olchedar	ol | chedar ↔ olchedar	RF1b	2	1	DEFINITE_SPACE	f78v.19;f81r.22	f111v.25	MANUAL_GROUP_SPLIT_JOIN_ANALOGY_NOT_MORPHEME
otal	dar	otaldar	otal | dar ↔ otaldar	RF1b	2	1	DEFINITE_SPACE;UNCERTAIN_SMALL_SPACE	f105v.15;f71r.17	f70v2.11	MANUAL_GROUP_SPLIT_JOIN_ANALOGY_NOT_MORPHEME
oteey	daiin	oteeydaiin	oteey | daiin ↔ oteeydaiin	RF1b	2	1	DEFINITE_SPACE	f100v.14;f68r3.8	f72r3.9	MANUAL_GROUP_SPLIT_JOIN_ANALOGY_NOT_MORPHEME
al	oldy	aloldy	al | oldy ↔ aloldy	IT2a	1	1	DEFINITE_SPACE	f107v.26	f46r.10	MANUAL_GROUP_SPLIT_JOIN_ANALOGY_NOT_MORPHEME
ar	chedal	archedal	ar | chedal ↔ archedal	RF1b	1	1	DEFINITE_SPACE	f70r2.16	f77v.5	MANUAL_GROUP_SPLIT_JOIN_ANALOGY_NOT_MORPHEME
ar	cheol	archeol	ar | cheol ↔ archeol	RF1b	1	1	DEFINITE_SPACE	f104r.44	f104r.38	MANUAL_GROUP_SPLIT_JOIN_ANALOGY_NOT_MORPHEME
ar	dar	ardar	ar | dar ↔ ardar	RF1b	1	1	DEFINITE_SPACE	f70r2.15	fRos.150	MANUAL_GROUP_SPLIT_JOIN_ANALOGY_NOT_MORPHEME
aro	dy	arody	aro | dy ↔ arody	RF1b	1	10	UNCERTAIN_SMALL_SPACE	f86v6.3	f102r1.17;f105r.1;f105r.6;f107v.44;f112r.44;f113r.24;f114v.37;f40v.19;f85r2.14;f88v.4	MANUAL_GROUP_SPLIT_JOIN_ANALOGY_NOT_MORPHEME
aro	lkeey	arolkeey	aro | lkeey ↔ arolkeey	IT2a	1	1	DEFINITE_SPACE	f107r.34	f108r.28	MANUAL_GROUP_SPLIT_JOIN_ANALOGY_NOT_MORPHEME
ar	oly	aroly	ar | oly ↔ aroly	ZL3b	1	1	DEFINITE_SPACE	f70v1.1	f72r1.18	MANUAL_GROUP_SPLIT_JOIN_ANALOGY_NOT_MORPHEME
chdal	dy	chdaldy	chdal | dy ↔ chdaldy	ZL3b	1	1	UNCERTAIN_SMALL_SPACE	f105v.36	f106r.40	MANUAL_GROUP_SPLIT_JOIN_ANALOGY_NOT_MORPHEME
chd	ar	chdar	chd | ar ↔ chdar	IT2a	1	20	DEFINITE_SPACE	f77r.10	f104r.19;f104v.20;f107v.22;f108r.24;f108r.35;f108r.50;f108r.6;f114r.34;f114r.45;f115v.2	MANUAL_GROUP_SPLIT_JOIN_ANALOGY_NOT_MORPHEME
chety	dar	chetydar	chety | dar ↔ chetydar	ZL3b	1	1	DEFINITE_SPACE	f43r.2	f103v.37	MANUAL_GROUP_SPLIT_JOIN_ANALOGY_NOT_MORPHEME
cho	lchedy	cholchedy	cho | lchedy ↔ cholchedy	ZL3b	1	2	UNCERTAIN_SMALL_SPACE	f106v.3	f106r.41;f34r.15	MANUAL_GROUP_SPLIT_JOIN_ANALOGY_NOT_MORPHEME
chol	kedy	cholkedy	chol | kedy ↔ cholkedy	RF1b	1	1	DEFINITE_SPACE	f112v.37	f111r.42	MANUAL_GROUP_SPLIT_JOIN_ANALOGY_NOT_MORPHEME
chol	ody	cholody	chol | ody ↔ cholody	ZL3b	1	4	UNCERTAIN_SMALL_SPACE	f20r.11	f100r.26;f29v.8;f39v.14;f96r.6	MANUAL_GROUP_SPLIT_JOIN_ANALOGY_NOT_MORPHEME
chol	sheody	cholsheody	chol | sheody ↔ cholsheody	ZL3b	1	1	DEFINITE_SPACE	f104v.31	f100r.24	MANUAL_GROUP_SPLIT_JOIN_ANALOGY_NOT_MORPHEME
dar	air	darair	dar | air ↔ darair	IT2a	1	1	DEFINITE_SPACE	f86v4.4	f77r.9	MANUAL_GROUP_SPLIT_JOIN_ANALOGY_NOT_MORPHEME
dar	cheedy	darcheedy	dar | cheedy ↔ darcheedy	RF1b	1	1	DEFINITE_SPACE	f33r.4	f68r3.1	MANUAL_GROUP_SPLIT_JOIN_ANALOGY_NOT_MORPHEME
dar	cheor	darcheor	dar | cheor ↔ darcheor	ZL3b	1	1	DEFINITE_SPACE	f102v2.32	f89v2.3	MANUAL_GROUP_SPLIT_JOIN_ANALOGY_NOT_MORPHEME
dar	otedy	darotedy	dar | otedy ↔ darotedy	ZL3b	1	1	DEFINITE_SPACE	f86v4.4	f82v.6	MANUAL_GROUP_SPLIT_JOIN_ANALOGY_NOT_MORPHEME
do	dar	dodar	do | dar ↔ dodar	IT2a	1	2	DEFINITE_SPACE	f101v.23	f49r.4;f86v4.3	MANUAL_GROUP_SPLIT_JOIN_ANALOGY_NOT_MORPHEME
dol	ar	dolar	dol | ar ↔ dolar	RF1b	1	1	DEFINITE_SPACE	f85r1.2	f8v.3	MANUAL_GROUP_SPLIT_JOIN_ANALOGY_NOT_MORPHEME
