page_host	length	occurrences	pages	folios	sections	neighbor_degree	mean_outer_component_entropy	claim_state
epy	3	1	1	1	H	7	0.000000000000	SHORT_FORMAL_HOST_IDENTITY_NO_LEXICAL_OR_SEMANTIC_ASSIGNMENT
ese	3	1	1	1	H	5	0.000000000000	SHORT_FORMAL_HOST_IDENTITY_NO_LEXICAL_OR_SEMANTIC_ASSIGNMENT
esy	3	1	1	1	S	9	0.000000000000	SHORT_FORMAL_HOST_IDENTITY_NO_LEXICAL_OR_SEMANTIC_ASSIGNMENT
ete	3	1	1	1	B	9	0.000000000000	SHORT_FORMAL_HOST_IDENTITY_NO_LEXICAL_OR_SEMANTIC_ASSIGNMENT
ets	3	1	1	1	B	6	0.000000000000	SHORT_FORMAL_HOST_IDENTITY_NO_LEXICAL_OR_SEMANTIC_ASSIGNMENT
eyk	3	1	1	1	S	3	0.000000000000	SHORT_FORMAL_HOST_IDENTITY_NO_LEXICAL_OR_SEMANTIC_ASSIGNMENT
eyr	3	1	1	1	B	2	0.000000000000	SHORT_FORMAL_HOST_IDENTITY_NO_LEXICAL_OR_SEMANTIC_ASSIGNMENT
for	3	1	1	1	H	8	0.000000000000	SHORT_FORMAL_HOST_IDENTITY_NO_LEXICAL_OR_SEMANTIC_ASSIGNMENT
fyd	3	1	1	1	H	2	0.000000000000	SHORT_FORMAL_HOST_IDENTITY_NO_LEXICAL_OR_SEMANTIC_ASSIGNMENT
iin	3	1	1	1	H	2	0.000000000000	SHORT_FORMAL_HOST_IDENTITY_NO_LEXICAL_OR_SEMANTIC_ASSIGNMENT
kai	3	1	1	1	S	2	0.000000000000	SHORT_FORMAL_HOST_IDENTITY_NO_LEXICAL_OR_SEMANTIC_ASSIGNMENT
kar	3	1	1	1	T	5	0.000000000000	SHORT_FORMAL_HOST_IDENTITY_NO_LEXICAL_OR_SEMANTIC_ASSIGNMENT
kas	3	1	1	1	B	4	0.000000000000	SHORT_FORMAL_HOST_IDENTITY_NO_LEXICAL_OR_SEMANTIC_ASSIGNMENT
kea	3	1	1	1	S	5	0.000000000000	SHORT_FORMAL_HOST_IDENTITY_NO_LEXICAL_OR_SEMANTIC_ASSIGNMENT
kos	3	1	1	1	H	6	0.000000000000	SHORT_FORMAL_HOST_IDENTITY_NO_LEXICAL_OR_SEMANTIC_ASSIGNMENT
ksa	3	1	1	1	S	2	0.000000000000	SHORT_FORMAL_HOST_IDENTITY_NO_LEXICAL_OR_SEMANTIC_ASSIGNMENT
kyd	3	1	1	1	H	4	0.000000000000	SHORT_FORMAL_HOST_IDENTITY_NO_LEXICAL_OR_SEMANTIC_ASSIGNMENT
lg	2	1	1	1	S	10	0.000000000000	SHORT_FORMAL_HOST_IDENTITY_NO_LEXICAL_OR_SEMANTIC_ASSIGNMENT
llo	3	1	1	1	S	3	0.000000000000	SHORT_FORMAL_HOST_IDENTITY_NO_LEXICAL_OR_SEMANTIC_ASSIGNMENT
lls	3	1	1	1	S	4	0.000000000000	SHORT_FORMAL_HOST_IDENTITY_NO_LEXICAL_OR_SEMANTIC_ASSIGNMENT
lok	3	1	1	1	H	6	0.000000000000	SHORT_FORMAL_HOST_IDENTITY_NO_LEXICAL_OR_SEMANTIC_ASSIGNMENT
lsh	3	1	1	1	B	5	0.000000000000	SHORT_FORMAL_HOST_IDENTITY_NO_LEXICAL_OR_SEMANTIC_ASSIGNMENT
lte	3	1	1	1	S	3	0.000000000000	SHORT_FORMAL_HOST_IDENTITY_NO_LEXICAL_OR_SEMANTIC_ASSIGNMENT
odo	3	1	1	1	H	7	0.000000000000	SHORT_FORMAL_HOST_IDENTITY_NO_LEXICAL_OR_SEMANTIC_ASSIGNMENT
ogo	3	1	1	1	S	6	0.000000000000	SHORT_FORMAL_HOST_IDENTITY_NO_LEXICAL_OR_SEMANTIC_ASSIGNMENT
oir	3	1	1	1	H	3	0.000000000000	SHORT_FORMAL_HOST_IDENTITY_NO_LEXICAL_OR_SEMANTIC_ASSIGNMENT
olf	3	1	1	1	C	8	0.000000000000	SHORT_FORMAL_HOST_IDENTITY_NO_LEXICAL_OR_SEMANTIC_ASSIGNMENT
on	2	1	1	1	H	8	0.000000000000	SHORT_FORMAL_HOST_IDENTITY_NO_LEXICAL_OR_SEMANTIC_ASSIGNMENT
oqo	3	1	1	1	B	6	0.000000000000	SHORT_FORMAL_HOST_IDENTITY_NO_LEXICAL_OR_SEMANTIC_ASSIGNMENT
ore	3	1	1	1	S	5	0.000000000000	SHORT_FORMAL_HOST_IDENTITY_NO_LEXICAL_OR_SEMANTIC_ASSIGNMENT
orl	3	1	1	1	H	7	0.000000000000	SHORT_FORMAL_HOST_IDENTITY_NO_LEXICAL_OR_SEMANTIC_ASSIGNMENT
osy	3	1	1	1	H	6	0.000000000000	SHORT_FORMAL_HOST_IDENTITY_NO_LEXICAL_OR_SEMANTIC_ASSIGNMENT
pad	3	1	1	1	S	4	0.000000000000	SHORT_FORMAL_HOST_IDENTITY_NO_LEXICAL_OR_SEMANTIC_ASSIGNMENT
pal	3	1	1	1	S	3	0.000000000000	SHORT_FORMAL_HOST_IDENTITY_NO_LEXICAL_OR_SEMANTIC_ASSIGNMENT
par	3	1	1	1	S	5	0.000000000000	SHORT_FORMAL_HOST_IDENTITY_NO_LEXICAL_OR_SEMANTIC_ASSIGNMENT
psh	3	1	1	1	B	5	0.000000000000	SHORT_FORMAL_HOST_IDENTITY_NO_LEXICAL_OR_SEMANTIC_ASSIGNMENT
rky	3	1	1	1	S	5	0.000000000000	SHORT_FORMAL_HOST_IDENTITY_NO_LEXICAL_OR_SEMANTIC_ASSIGNMENT
rl	2	1	1	1	S	8	0.000000000000	SHORT_FORMAL_HOST_IDENTITY_NO_LEXICAL_OR_SEMANTIC_ASSIGNMENT
rod	3	1	1	1	S	8	0.000000000000	SHORT_FORMAL_HOST_IDENTITY_NO_LEXICAL_OR_SEMANTIC_ASSIGNMENT
rot	3	1	1	1	T	5	0.000000000000	SHORT_FORMAL_HOST_IDENTITY_NO_LEXICAL_OR_SEMANTIC_ASSIGNMENT
sd	2	1	1	1	S	7	0.000000000000	SHORT_FORMAL_HOST_IDENTITY_NO_LEXICAL_OR_SEMANTIC_ASSIGNMENT
so	2	1	1	1	H	10	0.000000000000	SHORT_FORMAL_HOST_IDENTITY_NO_LEXICAL_OR_SEMANTIC_ASSIGNMENT
sy	2	1	1	1	B	11	0.000000000000	SHORT_FORMAL_HOST_IDENTITY_NO_LEXICAL_OR_SEMANTIC_ASSIGNMENT
ta	2	1	1	1	S	8	0.000000000000	SHORT_FORMAL_HOST_IDENTITY_NO_LEXICAL_OR_SEMANTIC_ASSIGNMENT
tas	3	1	1	1	B	1	0.000000000000	SHORT_FORMAL_HOST_IDENTITY_NO_LEXICAL_OR_SEMANTIC_ASSIGNMENT
te	2	1	1	1	B	5	0.000000000000	SHORT_FORMAL_HOST_IDENTITY_NO_LEXICAL_OR_SEMANTIC_ASSIGNMENT
to	2	1	1	1	H	10	0.000000000000	SHORT_FORMAL_HOST_IDENTITY_NO_LEXICAL_OR_SEMANTIC_ASSIGNMENT
tor	3	1	1	1	T	9	0.000000000000	SHORT_FORMAL_HOST_IDENTITY_NO_LEXICAL_OR_SEMANTIC_ASSIGNMENT
tsh	3	1	1	1	H	5	0.000000000000	SHORT_FORMAL_HOST_IDENTITY_NO_LEXICAL_OR_SEMANTIC_ASSIGNMENT
yda	3	1	1	1	H	6	0.000000000000	SHORT_FORMAL_HOST_IDENTITY_NO_LEXICAL_OR_SEMANTIC_ASSIGNMENT
ydl	3	1	1	1	H	4	0.000000000000	SHORT_FORMAL_HOST_IDENTITY_NO_LEXICAL_OR_SEMANTIC_ASSIGNMENT
ydy	3	1	1	1	H	6	0.000000000000	SHORT_FORMAL_HOST_IDENTITY_NO_LEXICAL_OR_SEMANTIC_ASSIGNMENT
yef	3	1	1	1	B	1	0.000000000000	SHORT_FORMAL_HOST_IDENTITY_NO_LEXICAL_OR_SEMANTIC_ASSIGNMENT
yey	3	1	1	1	S	8	0.000000000000	SHORT_FORMAL_HOST_IDENTITY_NO_LEXICAL_OR_SEMANTIC_ASSIGNMENT
yfo	3	1	1	1	H	2	0.000000000000	SHORT_FORMAL_HOST_IDENTITY_NO_LEXICAL_OR_SEMANTIC_ASSIGNMENT
yh	2	1	1	1	S	9	0.000000000000	SHORT_FORMAL_HOST_IDENTITY_NO_LEXICAL_OR_SEMANTIC_ASSIGNMENT
ykd	3	1	1	1	T	6	0.000000000000	SHORT_FORMAL_HOST_IDENTITY_NO_LEXICAL_OR_SEMANTIC_ASSIGNMENT
ykl	3	1	1	1	S	8	0.000000000000	SHORT_FORMAL_HOST_IDENTITY_NO_LEXICAL_OR_SEMANTIC_ASSIGNMENT
yko	3	1	1	1	H	8	0.000000000000	SHORT_FORMAL_HOST_IDENTITY_NO_LEXICAL_OR_SEMANTIC_ASSIGNMENT
ylg	3	1	1	1	H	1	0.000000000000	SHORT_FORMAL_HOST_IDENTITY_NO_LEXICAL_OR_SEMANTIC_ASSIGNMENT
yod	3	1	1	1	H	8	0.000000000000	SHORT_FORMAL_HOST_IDENTITY_NO_LEXICAL_OR_SEMANTIC_ASSIGNMENT
yot	3	1	1	1	P	4	0.000000000000	SHORT_FORMAL_HOST_IDENTITY_NO_LEXICAL_OR_SEMANTIC_ASSIGNMENT
yry	3	1	1	1	B	6	0.000000000000	SHORT_FORMAL_HOST_IDENTITY_NO_LEXICAL_OR_SEMANTIC_ASSIGNMENT
ysh	3	1	1	1	H	5	0.000000000000	SHORT_FORMAL_HOST_IDENTITY_NO_LEXICAL_OR_SEMANTIC_ASSIGNMENT
yy	2	1	1	1	C	15	0.000000000000	SHORT_FORMAL_HOST_IDENTITY_NO_LEXICAL_OR_SEMANTIC_ASSIGNMENT
