segment_origin	closure	collapsed_state_template	occurrences	physical_folios	sections	example_locus	example_tokens	claim_state
POST_DY	CLOSED_WITH_DY	OTHER > AL_STATE > DY_RESOLUTION	4	4	S:3;T:1	f108r.26	oteor | al | qokedy	RECURRENT_HIERARCHICAL_FORMAL_TEMPLATE
POST_DY	CLOSED_WITH_DY	OTHER > ENTRY_STATE > DY_RESOLUTION	4	4	B:2;H:1;T:1	f76r.40	oty | dy | lchedy	RECURRENT_HIERARCHICAL_FORMAL_TEMPLATE
POST_DY	OPEN_TAIL	CARRIER_STATE > ENTRY_STATE	4	4	H:4	f20r.10	choky | dchy | toy	RECURRENT_HIERARCHICAL_FORMAL_TEMPLATE
POST_DY	OPEN_TAIL	CARRIER_STATE > Q_OUTER_STATE	4	4	B:2;S:2	f103r.43	shokey | qokaiin	RECURRENT_HIERARCHICAL_FORMAL_TEMPLATE
POST_DY	OPEN_TAIL	OTHER > CARRIER_STATE > OTHER	4	4	H:2;P:1;S:1	f113v.31	okaiin | chckhaiin | otaiin | otaiin	RECURRENT_HIERARCHICAL_FORMAL_TEMPLATE
POST_DY	OPEN_TAIL	OTHER > OL_STATE	4	4	B:1;H:1;S:1;T:1	f114r.26	airoy | olam	RECURRENT_HIERARCHICAL_FORMAL_TEMPLATE
POST_DY	OPEN_TAIL	Q_OUTER_STATE > OTHER > CARRIER_STATE	4	4	B:2;H:1;T:1	f37r.9	qotchy | ykaiin | chy	RECURRENT_HIERARCHICAL_FORMAL_TEMPLATE
LINE_INITIAL	CLOSED_WITH_DY	AR_REFERENCE > CARRIER_STATE > AR_REFERENCE > DY_RESOLUTION	3	2	B:1;S:2	f104r.1	pchdar | chedy | char | qopchedy	RECURRENT_HIERARCHICAL_FORMAL_TEMPLATE
LINE_INITIAL	CLOSED_WITH_DY	CARRIER_STATE > AL_STATE > DY_RESOLUTION	3	3	H:1;S:2	f108v.43	shodain | cheal | shedy	RECURRENT_HIERARCHICAL_FORMAL_TEMPLATE
LINE_INITIAL	CLOSED_WITH_DY	ED_MEDIUM > OTHER > DY_RESOLUTION	3	3	C:1;S:2	f111v.5	qokeed | o | aiin | otedy	RECURRENT_HIERARCHICAL_FORMAL_TEMPLATE
LINE_INITIAL	CLOSED_WITH_DY	ENTRY_STATE > OTHER > CARRIER_STATE > DY_RESOLUTION	3	3	B:1;S:2	f111r.19	saiin | lchey | lcheoekam | cheky | checthdy	RECURRENT_HIERARCHICAL_FORMAL_TEMPLATE
LINE_INITIAL	CLOSED_WITH_DY	ENTRY_STATE > Q_OUTER_STATE > DY_RESOLUTION	3	3	B:1;C:1;S:1	f104v.25	dsheey | qoykeey | lchedy	RECURRENT_HIERARCHICAL_FORMAL_TEMPLATE
LINE_INITIAL	CLOSED_WITH_DY	OL_STATE > OTHER > OL_STATE > OTHER > DY_RESOLUTION	3	3	H:1;S:2	f105v.1	polairy | oair | olpcheey | ykaiin | olpchedy	RECURRENT_HIERARCHICAL_FORMAL_TEMPLATE
LINE_INITIAL	CLOSED_WITH_DY	OTHER > AL_STATE > DY_RESOLUTION	3	3	B:2;H:1	f54v.15	or | alchy | ytal | chodoldy	RECURRENT_HIERARCHICAL_FORMAL_TEMPLATE
LINE_INITIAL	CLOSED_WITH_DY	OTHER > CARRIER_STATE > OL_STATE > DY_RESOLUTION	3	3	H:1;P:1;S:1	f104v.27	pchoror | shor | sheol | sheol | sheol | qokchedy	RECURRENT_HIERARCHICAL_FORMAL_TEMPLATE
LINE_INITIAL	CLOSED_WITH_DY	OTHER > CARRIER_STATE > OTHER > DY_RESOLUTION	3	3	H:2;S:1	f115v.18	pchodain | chotain | choky | lchain | lpchdain | dalchedy	RECURRENT_HIERARCHICAL_FORMAL_TEMPLATE
LINE_INITIAL	CLOSED_WITH_DY	OTHER > OL_STATE > OTHER > DY_RESOLUTION	3	3	H:1;S:2	f105r.15	lksheey | ol | r | aiin | okeedy	RECURRENT_HIERARCHICAL_FORMAL_TEMPLATE
LINE_INITIAL	CLOSED_WITH_DY	Q_OUTER_STATE > OTHER > DY_RESOLUTION	3	3	B:1;H:1;S:1	f104r.41	qoteey | qokeor | qoty | qokl | lkaiin | yteedy	RECURRENT_HIERARCHICAL_FORMAL_TEMPLATE
LINE_INITIAL	OPEN_TAIL	AL_STATE > ENTRY_STATE	3	3	B:2;H:1	f42v.8	sodal | saiin	RECURRENT_HIERARCHICAL_FORMAL_TEMPLATE
LINE_INITIAL	OPEN_TAIL	AL_STATE > OTHER	3	3	B:1;S:2	f103r.52	pchedal | oteey	RECURRENT_HIERARCHICAL_FORMAL_TEMPLATE
LINE_INITIAL	OPEN_TAIL	AR_REFERENCE > OL_STATE	3	3	B:2;S:1	f105v.8	kedar | olpchesd	RECURRENT_HIERARCHICAL_FORMAL_TEMPLATE
LINE_INITIAL	OPEN_TAIL	CARRIER_STATE > ENTRY_STATE	3	3	H:3	f37v.3	shy | chon | daiin | dy	RECURRENT_HIERARCHICAL_FORMAL_TEMPLATE
LINE_INITIAL	OPEN_TAIL	CARRIER_STATE > ENTRY_STATE > Q_OUTER_STATE	3	3	H:3	f29r.6	chokshy | shocthy | shor | shor | daiin | qokaiiin	RECURRENT_HIERARCHICAL_FORMAL_TEMPLATE
LINE_INITIAL	OPEN_TAIL	CARRIER_STATE > Q_OUTER_STATE	3	3	H:1;S:1;T:1	f112v.29	sheey | qoeekain	RECURRENT_HIERARCHICAL_FORMAL_TEMPLATE
LINE_INITIAL	OPEN_TAIL	CARRIER_STATE > Q_OUTER_STATE > OL_STATE	3	2	H:3	f10v.6	shoiin | chor | shcthy | qoty | qotoiin | qokol	RECURRENT_HIERARCHICAL_FORMAL_TEMPLATE
LINE_INITIAL	OPEN_TAIL	ENTRY_STATE > CARRIER_STATE > ENTRY_STATE	3	2	H:3	f35v.3	dchor | choty | chyty | daiin	RECURRENT_HIERARCHICAL_FORMAL_TEMPLATE
LINE_INITIAL	OPEN_TAIL	ENTRY_STATE > CARRIER_STATE > OTHER	3	3	H:3	f33r.4	taiin | chekey | or	RECURRENT_HIERARCHICAL_FORMAL_TEMPLATE
LINE_INITIAL	OPEN_TAIL	ENTRY_STATE > OL_STATE > OTHER	3	3	H:2;S:1	f107v.24	dain | olaiin | chol | olkain | lkaiin	RECURRENT_HIERARCHICAL_FORMAL_TEMPLATE
LINE_INITIAL	OPEN_TAIL	ENTRY_STATE > OTHER > AR_REFERENCE	3	3	H:2;S:1	f40r.6	tor | or | ar	RECURRENT_HIERARCHICAL_FORMAL_TEMPLATE
LINE_INITIAL	OPEN_TAIL	OL_STATE > OTHER > OL_STATE	3	3	B:2;P:1	f79v.32	olkeey | ol | or | ocheey | ol | ol	RECURRENT_HIERARCHICAL_FORMAL_TEMPLATE
LINE_INITIAL	OPEN_TAIL	OTHER > AL_STATE	3	3	B:1;H:2	f39v.12	paiin | alaiin	RECURRENT_HIERARCHICAL_FORMAL_TEMPLATE
LINE_INITIAL	OPEN_TAIL	OTHER > CARRIER_STATE > OL_STATE > OTHER	3	3	H:2;S:1	f106v.8	oraiin | cheo | rol | aiin | otaiin	RECURRENT_HIERARCHICAL_FORMAL_TEMPLATE
LINE_INITIAL	OPEN_TAIL	OTHER > OL_STATE > CARRIER_STATE > OTHER	3	3	H:3	f19v.6	ychoy | kchor | cthol | chocthy | s	RECURRENT_HIERARCHICAL_FORMAL_TEMPLATE
LINE_INITIAL	OPEN_TAIL	OTHER > OL_STATE > ENTRY_STATE	3	3	H:3	f37v.23	yto | chol | daiin	RECURRENT_HIERARCHICAL_FORMAL_TEMPLATE
LINE_INITIAL	OPEN_TAIL	OTHER > OL_STATE > OTHER	3	3	H:3	f23v.3	ycho | okaiin | okeol | eees	RECURRENT_HIERARCHICAL_FORMAL_TEMPLATE
LINE_INITIAL	OPEN_TAIL	OTHER > Q_OUTER_STATE	3	3	H:3	f3r.12	okadaiin | qokchor	RECURRENT_HIERARCHICAL_FORMAL_TEMPLATE
LINE_INITIAL	OPEN_TAIL	OTHER > Q_OUTER_STATE > OTHER	3	3	B:1;H:2	f24v.11	ydaiin | qodom | okodaiin	RECURRENT_HIERARCHICAL_FORMAL_TEMPLATE
POST_DY	CLOSED_WITH_DY	AL_STATE > OL_STATE > DY_RESOLUTION	3	3	B:1;S:1;T:1	f113v.7	lchealaim | shockhol | opchedy	RECURRENT_HIERARCHICAL_FORMAL_TEMPLATE
POST_DY	CLOSED_WITH_DY	CARRIER_STATE > Q_OUTER_STATE > OTHER > DY_RESOLUTION	3	3	S:3	f103r.30	sheckhy | qokey | okaiin | shedy	RECURRENT_HIERARCHICAL_FORMAL_TEMPLATE
POST_DY	CLOSED_WITH_DY	ED_MEDIUM > OTHER > DY_RESOLUTION	3	3	B:1;S:2	f111r.12	otchedey | lshey | lkeedy	RECURRENT_HIERARCHICAL_FORMAL_TEMPLATE
POST_DY	CLOSED_WITH_DY	ENTRY_STATE > OL_STATE > DY_RESOLUTION	3	3	B:3	f75v.48	saino | ol | cheedy	RECURRENT_HIERARCHICAL_FORMAL_TEMPLATE
POST_DY	CLOSED_WITH_DY	OT_AL_LOCAL > DY_RESOLUTION	3	3	B:2;H:1	f78r.31	otal | shedy	RECURRENT_HIERARCHICAL_FORMAL_TEMPLATE
POST_DY	CLOSED_WITH_DY	Q_OUTER_STATE > AL_STATE > DY_RESOLUTION	3	3	B:2;S:1	f58r.17	qoky | dal | ytchody	RECURRENT_HIERARCHICAL_FORMAL_TEMPLATE
POST_DY	CLOSED_WITH_DY	Q_OUTER_STATE > AR_REFERENCE > AL_STATE > DY_RESOLUTION	3	3	S:3	f108v.45	qokeey | chedar | sheal | qokeedy	RECURRENT_HIERARCHICAL_FORMAL_TEMPLATE
POST_DY	CLOSED_WITH_DY	Q_OUTER_STATE > AR_REFERENCE > DY_RESOLUTION	3	3	S:3	f104r.21	qokaiin | chear | olkchedy	RECURRENT_HIERARCHICAL_FORMAL_TEMPLATE
POST_DY	CLOSED_WITH_DY	Q_OUTER_STATE > CARRIER_STATE > Q_OUTER_STATE > DY_RESOLUTION	3	3	B:2;S:1	f106v.28	qokor | sheos | choty | qotaiin | oteody	RECURRENT_HIERARCHICAL_FORMAL_TEMPLATE
POST_DY	OPEN_TAIL	AL_STATE > CARRIER_STATE > AL_STATE	3	3	B:1;H:1;P:1	f46r.4	chekal | chckhy | sheky | sheky | dalocthhy	RECURRENT_HIERARCHICAL_FORMAL_TEMPLATE
POST_DY	OPEN_TAIL	AL_STATE > ENTRY_STATE	3	3	B:3	f76v.10	lsheetal | daiin | dy	RECURRENT_HIERARCHICAL_FORMAL_TEMPLATE
POST_DY	OPEN_TAIL	AL_STATE > OTHER	3	3	B:1;S:2	f108v.49	qokal | oam	RECURRENT_HIERARCHICAL_FORMAL_TEMPLATE
POST_DY	OPEN_TAIL	AR_REFERENCE > ENTRY_STATE	3	3	B:1;H:1;S:1	f114v.1	qotedar | daiin	RECURRENT_HIERARCHICAL_FORMAL_TEMPLATE
POST_DY	OPEN_TAIL	CARRIER_STATE > AL_STATE	3	3	B:1;H:2	f39r.4	chees | aly | okalcheg	RECURRENT_HIERARCHICAL_FORMAL_TEMPLATE
POST_DY	OPEN_TAIL	CARRIER_STATE > AR_REFERENCE > OTHER	3	3	B:1;H:1;S:1	f104r.19	cheokeey | kary | opair | airod | lshd	RECURRENT_HIERARCHICAL_FORMAL_TEMPLATE
POST_DY	OPEN_TAIL	CARRIER_STATE > OL_STATE > CARRIER_STATE	3	3	S:1;T:2	f112v.34	chkaiin | checkhol | chdam	RECURRENT_HIERARCHICAL_FORMAL_TEMPLATE
POST_DY	OPEN_TAIL	CARRIER_STATE > OTHER > CARRIER_STATE	3	3	H:1;S:2	f105r.21	chedy | okaiin | chekaim	RECURRENT_HIERARCHICAL_FORMAL_TEMPLATE
POST_DY	OPEN_TAIL	OL_STATE > CARRIER_STATE > AR_REFERENCE	3	3	H:1;S:2	f108v.43	cheol | chedytey | okeearam	RECURRENT_HIERARCHICAL_FORMAL_TEMPLATE
POST_DY	OPEN_TAIL	OL_STATE > CARRIER_STATE > OL_STATE	3	3	B:2;P:1	f102r1.11	qokeodol | shockhey | oleeol	RECURRENT_HIERARCHICAL_FORMAL_TEMPLATE
POST_DY	OPEN_TAIL	OL_STATE > OTHER > Q_OUTER_STATE	3	3	B:1;C:1;T:1	f76r.2	qol | ain | qokeey	RECURRENT_HIERARCHICAL_FORMAL_TEMPLATE
POST_DY	OPEN_TAIL	OL_STATE > Q_OUTER_STATE	3	3	B:1;P:1;S:1	f103v.11	olkeeshy | qoky	RECURRENT_HIERARCHICAL_FORMAL_TEMPLATE
POST_DY	OPEN_TAIL	Q_OUTER_STATE > AL_STATE	3	3	B:1;S:2	f108v.37	qokain | dalam	RECURRENT_HIERARCHICAL_FORMAL_TEMPLATE
POST_DY	OPEN_TAIL	Q_OUTER_STATE > AR_REFERENCE > OTHER	3	3	B:1;S:1;T:1	f108r.6	qotey | qokchey | chdar | aiin | y	RECURRENT_HIERARCHICAL_FORMAL_TEMPLATE
POST_DY	OPEN_TAIL	Q_OUTER_STATE > ENTRY_STATE	3	3	B:1;H:1;S:1	f114r.18	qodaiin | daildain	RECURRENT_HIERARCHICAL_FORMAL_TEMPLATE
POST_DY	OPEN_TAIL	Q_OUTER_STATE > OTHER > AL_STATE	3	3	S:3	f105v.36	qoaiin | ytaiin | otair | chdal	RECURRENT_HIERARCHICAL_FORMAL_TEMPLATE
