parse_no	formal_parse	atomic_default_de	canonical_surface	canonical_occurrences	total_occurrences	surface_types	all_attested_surfaces	surface_counts	writer_rule
213	OK+EE+O+S_ADDR	ansetzen + laenger + Arbeitsgang + Sternbezug	okeeos	1	1	1	okeeos	okeeos:1	WRITE_CANONICAL
214	OK+EE+O+Y	ansetzen + laenger + Arbeitsgang + dies	okeeody	2	3	2	okeeody|qokeeody	okeeody:2|qokeeody:1	WRITE_CANONICAL_UNLESS_RENDERER_CALLS_ALLOGRAPH
215	OK+EE+OL	länger fortsetzen	okeeol	1	1	1	okeeol	okeeol:1	WRITE_CANONICAL
216	OK+EE+Y	länger ansetzen	qokeey	6	11	2	okeey|qokeey	okeey:5|qokeey:6	WRITE_CANONICAL_UNLESS_RENDERER_CALLS_ALLOGRAPH
217	OK+EEE+DY	vollständig ansetzen; Schluss	qokeeedy	2	2	1	qokeeedy	qokeeedy:2	WRITE_CANONICAL
218	OK+HO+AL	ansetzen + Gabe + Stelle	okchoal	1	1	1	okchoal	okchoal:1	WRITE_CANONICAL
219	OK+O+AIIN	ansetzen + Arbeitsgang + Mass	qokoaiin	1	1	1	qokoaiin	qokoaiin:1	WRITE_CANONICAL
220	OK+O+AL+Y	ansetzen + Arbeitsgang + Stelle + dies	okoaly	1	2	2	okoaly|okodaly	okoaly:1|okodaly:1	WRITE_CANONICAL_UNLESS_RENDERER_CALLS_ALLOGRAPH
221	OK+O+AR	ansetzen + Arbeitsgang + von dort	okodar	2	2	1	okodar	okodar:2	WRITE_CANONICAL
222	OK+O+DY	ansetzen + Arbeitsgang + Schluss	okody	1	1	1	okody	okody:1	WRITE_CANONICAL
223	OK+O+D_ADDR+Y	ansetzen + Arbeitsgang + Teiladresse + dies	okodchy	1	1	1	okodchy	okodchy:1	WRITE_CANONICAL
224	OK+O+E+S_ADDR	ansetzen + Arbeitsgang + kurz + Sternbezug	okoes	1	1	1	okoes	okoes:1	WRITE_CANONICAL
225	OK+O+I_COUNT+R+SH	ansetzen + Arbeitsgang + Zaehlstrich + senken + halten	okoirsh	1	1	1	okoirsh	okoirsh:1	WRITE_CANONICAL
226	OK+O+Y	ansetzen + Arbeitsgang + dies	okody	1	1	1	okody	okody:1	WRITE_CANONICAL
227	OK+OK+Y	dies erneut ansetzen	qokokchy	1	1	1	qokokchy	qokokchy:1	WRITE_CANONICAL
228	OK+OL	weiter ansetzen	okol	2	4	3	okchol|okol|qokol	okchol:1|okol:2|qokol:1	WRITE_CANONICAL_UNLESS_RENDERER_CALLS_ALLOGRAPH
229	OK+OL+AR	ansetzen + fortsetzen + von dort	okolar	1	1	1	okolar	okolar:1	WRITE_CANONICAL
230	OK+OL+DY	ansetzen + fortsetzen + Schluss	okoldy	1	1	1	okoldy	okoldy:1	WRITE_CANONICAL
231	OK+OR	ansetzen + Ansatz	okshor	1	1	1	okshor	okshor:1	WRITE_CANONICAL
232	OK+SH+E+DY	kurz absetzen; Schluss	qokshedy	1	1	1	qokshedy	qokshedy:1	WRITE_CANONICAL
233	OK+Y	verwende dies	qoky	7	16	6	chokchy|choky|okchy|oky|qokchy|qoky	chokchy:1|choky:3|okchy:2|oky:2|qokchy:1|qoky:7	WRITE_CANONICAL_UNLESS_RENDERER_CALLS_ALLOGRAPH
234	OK+Y+LDDY	dies befestigen; Schluss	qokylddy	1	1	1	qokylddy	qokylddy:1	WRITE_CANONICAL
235	OK+Y+S_ADDR	ansetzen + dies + Sternbezug	okcheys	1	1	1	okcheys	okcheys:1	WRITE_CANONICAL
236	OL	fortsetzen	ol	9	27	8	cheol|chol|dchol|ol|qol|schol|sol|tol	cheol:1|chol:7|dchol:1|ol:9|qol:3|schol:1|sol:3|tol:2	WRITE_CANONICAL_UNLESS_RENDERER_CALLS_ALLOGRAPH
237	OL+AL+Y	dies an der Stelle fortsetzen	olsaly	1	1	1	olsaly	olsaly:1	WRITE_CANONICAL
238	OL+AR	fortsetzen + von dort	olar	1	1	1	olar	olar:1	WRITE_CANONICAL
239	OL+CHD+DY	weiterführen; Schluss	qolchedy	2	3	2	olchedy|qolchedy	olchedy:1|qolchedy:2	WRITE_CANONICAL_UNLESS_RENDERER_CALLS_ALLOGRAPH
240	OL+DY	fortsetzen; Schluss	oldy	3	3	1	oldy	oldy:3	WRITE_CANONICAL
241	OL+K+AIN	weitere Portion	olkain	1	2	2	olkain|qolkain	olkain:1|qolkain:1	WRITE_CANONICAL_UNLESS_RENDERER_CALLS_ALLOGRAPH
242	OL+OL	fortsetzen + fortsetzen	olol	1	1	1	olol	olol:1	WRITE_CANONICAL
243	OL+OR	weiterer Ansatz	olor	2	3	2	cholor|olor	cholor:1|olor:2	WRITE_CANONICAL_UNLESS_RENDERER_CALLS_ALLOGRAPH
244	OL+SH+E+DY	mit dem Vorigen kurz absetzen; Schluss	solshedy	1	1	1	solshedy	solshedy:1	WRITE_CANONICAL
245	OL+T+Y	dies weiter eintragen	oltchy	1	1	1	oltchy	oltchy:1	WRITE_CANONICAL
246	OL+Y	dies weiterführen	oly	1	3	3	choly|oly|qolchey	choly:1|oly:1|qolchey:1	WRITE_CANONICAL_UNLESS_RENDERER_CALLS_ALLOGRAPH
247	OR	Ansatz	or	3	9	4	chor|or|shor|sor	chor:3|or:3|shor:1|sor:2	WRITE_CANONICAL_UNLESS_RENDERER_CALLS_ALLOGRAPH
248	OR+AIN	Ansatzportion	orain	1	1	1	orain	orain:1	WRITE_CANONICAL
249	OR+AL+Y	Ansatz + Stelle + dies	oraly	1	1	1	oraly	oraly:1	WRITE_CANONICAL
250	OR+AN_SECTION	Ansatz + Abschnitt	oran	1	1	1	oran	oran:1	WRITE_CANONICAL
251	OR+A_ADDR+I_COUNT+I_COUNT+R	Ansatz + Nebenadresse + Zaehlstrich + Zaehlstrich + senken	soraiir	1	1	1	soraiir	soraiir:1	WRITE_CANONICAL
252	OS	Fach	os	3	3	1	os	os:3	WRITE_CANONICAL
253	OT	danach	ot	1	1	1	ot	ot:1	WRITE_CANONICAL
254	OT+AIIN	nächstes Maß	otaiin	2	3	2	otaiin|sotaiin	otaiin:2|sotaiin:1	WRITE_CANONICAL_UNLESS_RENDERER_CALLS_ALLOGRAPH
255	OT+AIR	danach + Lauf	qotair	1	1	1	qotair	qotair:1	WRITE_CANONICAL
256	OT+AL	Folgestelle	qotal	2	3	2	otal|qotal	otal:1|qotal:2	WRITE_CANONICAL_UNLESS_RENDERER_CALLS_ALLOGRAPH
257	OT+AL+AL	danach + Stelle + Stelle	otaldal	1	1	1	otaldal	otaldal:1	WRITE_CANONICAL
258	OT+AR	danach von dort	otar	2	2	1	otar	otar:2	WRITE_CANONICAL
259	OT+CH+L	danach + entnehmen + fuehren	otchl	1	1	1	otchl	otchl:1	WRITE_CANONICAL
260	OT+CH+OL	danach weiter entnehmen	qotchol	1	1	1	qotchol	qotchol:1	WRITE_CANONICAL
261	OT+CH+OR	danach Ansatz entnehmen	otchor	1	2	2	otchor|qotchor	otchor:1|qotchor:1	WRITE_CANONICAL_UNLESS_RENDERER_CALLS_ALLOGRAPH
262	OT+CHD+DY	danach umsetzen; Schluss	otchdy	2	4	3	otchdy|otchedy|qotchedy	otchdy:2|otchedy:1|qotchedy:1	WRITE_CANONICAL_UNLESS_RENDERER_CALLS_ALLOGRAPH
263	OT+CHEO+DY	danach + Entnahme + Schluss	otcheody	1	1	1	otcheody	otcheody:1	WRITE_CANONICAL
264	OT+E+AIIN	kurzes Folgemaß	qotedaiin	1	1	1	qotedaiin	qotedaiin:1	WRITE_CANONICAL
265	OT+E+DY	kurzer Folgeschritt; Schluss	otedy	2	2	1	otedy	otedy:2	WRITE_CANONICAL
266	OT+E+O+AR+AR	danach + kurz + Arbeitsgang + von dort + von dort	oteoarar	1	1	1	oteoarar	oteoarar:1	WRITE_CANONICAL
267	OT+E+O+Y	danach + kurz + Arbeitsgang + dies	oteody	1	1	1	oteody	oteody:1	WRITE_CANONICAL
268	OT+E+OL	danach + kurz + fortsetzen	oteol	1	1	1	oteol	oteol:1	WRITE_CANONICAL
269	OT+E+OR	danach + kurz + Ansatz	qoteor	1	1	1	qoteor	qoteor:1	WRITE_CANONICAL
270	OT+EE+AL	danach + laenger + Stelle	oteeal	1	1	1	oteeal	oteeal:1	WRITE_CANONICAL
271	OT+EE+DY	nächsten Schritt länger halten; Schluss	qoteedy	2	2	1	qoteedy	qoteedy:2	WRITE_CANONICAL
272	OT+EE+O	danach + laenger + Arbeitsgang	oteeo	1	1	1	oteeo	oteeo:1	WRITE_CANONICAL
273	OT+EE+Y	nächsten Posten länger halten	oteey	4	4	1	oteey	oteey:4	WRITE_CANONICAL
274	OT+EE+Y+S_ADDR	danach + laenger + dies + Sternbezug	oteeys	1	1	1	oteeys	oteeys:1	WRITE_CANONICAL
275	OT+O+AIN	danach eine Portion	sotodan	1	1	1	sotodan	sotodan:1	WRITE_CANONICAL
276	OT+O+AR	danach + Arbeitsgang + von dort	otoar	1	1	1	otoar	otoar:1	WRITE_CANONICAL
277	OT+O+CHD+Y	danach + Arbeitsgang + umsetzen + dies	otochedy	1	1	1	otochedy	otochedy:1	WRITE_CANONICAL
278	OT+O+DY	danach + Arbeitsgang + Schluss	otody	1	1	1	otody	otody:1	WRITE_CANONICAL
279	OT+O+E+AR	danach + Arbeitsgang + kurz + von dort	qotoear	1	1	1	qotoear	qotoear:1	WRITE_CANONICAL
280	OT+OK+EEE+Y	danach + ansetzen + vollstaendig + dies	otokeeey	1	1	1	otokeeey	otokeeey:1	WRITE_CANONICAL
281	OT+OL	danach fortsetzen	otol	2	2	1	otol	otol:2	WRITE_CANONICAL
282	OT+OL+D_ADDR+O+S_ADDR	danach + fortsetzen + Teiladresse + Arbeitsgang + Sternbezug	otoldos	1	1	1	otoldos	otoldos:1	WRITE_CANONICAL
283	OT+OL+OR	danach + fortsetzen + Ansatz	otolor	1	1	1	otolor	otolor:1	WRITE_CANONICAL
284	OT+OL+Y	danach + fortsetzen + dies	otoly	1	1	1	otoly	otoly:1	WRITE_CANONICAL
285	OT+OR	danach + Ansatz	otor	2	2	1	otor	otor:2	WRITE_CANONICAL
286	OT+SH+E+Y	danach + halten + kurz + dies	otshey	1	1	1	otshey	otshey:1	WRITE_CANONICAL
287	OT+Y	nächster Posten	otchey	3	6	4	otchey|otchy|oty|qotchy	otchey:3|otchy:1|oty:1|qotchy:1	WRITE_CANONICAL_UNLESS_RENDERER_CALLS_ALLOGRAPH
288	OT+Y+DY	danach + dies + Schluss	otydy	1	1	1	otydy	otydy:1	WRITE_CANONICAL
289	OT+Y+K+CH+S_ADDR	danach + dies + zufuehren + entnehmen + Sternbezug	otykchs	1	1	1	otykchs	otykchs:1	WRITE_CANONICAL
290	OT+Y+S_ADDR	danach + dies + Sternbezug	otys	1	1	1	otys	otys:1	WRITE_CANONICAL
291	OT+Y+T+CH+OL	danach dies eintragen und weiter entnehmen	otytchol	1	1	1	otytchol	otytchol:1	WRITE_CANONICAL
292	P+CHD+AL	an der Stelle hineinführen	pchedal	1	1	1	pchedal	pchedal:1	WRITE_CANONICAL
293	P+CHD+DY	hineinführen; Schluss	pchedy	1	1	1	pchedy	pchedy:1	WRITE_CANONICAL
294	P+Y	dies hineinführen	cphy	1	1	1	cphy	cphy:1	WRITE_CANONICAL
295	R	senken	r	1	1	1	r	r:1	WRITE_CANONICAL
296	R+AL	an der Stelle senken	ral	1	1	1	ral	ral:1	WRITE_CANONICAL
297	R+AL+Y	dies senken	raly	1	1	1	raly	raly:1	WRITE_CANONICAL
298	R+OL	weiter senken	rol	1	1	1	rol	rol:1	WRITE_CANONICAL
299	R+OR	senken + Ansatz	ror	1	1	1	ror	ror:1	WRITE_CANONICAL
300	R+SH+E+AL	an der Stelle kurz senken	rsheal	1	1	1	rsheal	rsheal:1	WRITE_CANONICAL
301	R+SHED+DY	senken und absetzen; Schluss	rshedy	1	1	1	rshedy	rshedy:1	WRITE_CANONICAL
302	SH	halten	sh	1	1	1	sh	sh:1	WRITE_CANONICAL
303	SH+CKHE+DY	trennen; Schluss	shckhedy	3	3	1	shckhedy	shckhedy:3	WRITE_CANONICAL
304	SH+E+CKH+AL	kurz an der Durchgangstelle	sheckhal	1	1	1	sheckhal	sheckhal:1	WRITE_CANONICAL
305	SH+E+CKH+Y	dies kurz im Durchgang halten	sheckhy	1	1	1	sheckhy	sheckhy:1	WRITE_CANONICAL
306	SH+E+CTH+CHD+Y	dies kurz bereit umsetzen	shecthedchy	1	1	1	shecthedchy	shecthedchy:1	WRITE_CANONICAL
307	SH+E+CTH+Y	dies kurz bereit halten	shecthy	1	1	1	shecthy	shecthy:1	WRITE_CANONICAL
308	SH+E+DY	kurz halten; Schluss	dshedy	1	1	1	dshedy	dshedy:1	WRITE_CANONICAL
309	SH+E+K+Y	halten + kurz + zufuehren + dies	shekchy	1	1	1	shekchy	shekchy:1	WRITE_CANONICAL
310	SH+E+O+Y	halten + kurz + Arbeitsgang + dies	sheody	1	1	1	sheody	sheody:1	WRITE_CANONICAL
311	SH+E+OL	kurz halten	dsheol	1	1	1	dsheol	dsheol:1	WRITE_CANONICAL
312	SH+E+Y	dies kurz halten	tshey	1	1	1	tshey	tshey:1	WRITE_CANONICAL
313	SH+EE+DY	länger absetzen; Schluss	sheedy	1	1	1	sheedy	sheedy:1	WRITE_CANONICAL
314	SH+EE+S_ADDR	halten + laenger + Sternbezug	shees	1	1	1	shees	shees:1	WRITE_CANONICAL
315	SH+EE+Y	dies länger halten	sheey	2	2	1	sheey	sheey:2	WRITE_CANONICAL
316	SH+K+CHD+DY	gebuendelt umsetzen; Schluss	sshkchdy	1	1	1	sshkchdy	sshkchdy:1	WRITE_CANONICAL
317	SH+O+AL	an der Stelle halten	schoal	1	1	1	schoal	schoal:1	WRITE_CANONICAL
318	SH+O+Y+T+Y	dies halten und eintragen	shoyty	1	1	1	shoyty	shoyty:1	WRITE_CANONICAL
319	SH+S_ADDR	halten + Sternbezug	shs	1	1	1	shs	shs:1	WRITE_CANONICAL
320	SH+Y+AIIN	dies bis zum Maß halten	shfydaiin	1	1	1	shfydaiin	shfydaiin:1	WRITE_CANONICAL
321	SHED+AL	an der Stelle absetzen	shedal	2	2	1	shedal	shedal:2	WRITE_CANONICAL
322	SHED+DY	absetzen; Schluss	shedy	10	12	3	cheedy|shedy|tedy	cheedy:1|shedy:10|tedy:1	WRITE_CANONICAL_UNLESS_RENDERER_CALLS_ALLOGRAPH
323	SOLK+AIIN	Auffangmass	solkaiin	1	1	1	solkaiin	solkaiin:1	WRITE_CANONICAL
324	SOLK+E+Y	kurz auffangen	solkey	1	1	1	solkey	solkey:1	WRITE_CANONICAL
325	SOLK+EE+DY	länger auffangen; Schluss	olkeedy	2	3	2	olkeedy|solkeedy	olkeedy:2|solkeedy:1	WRITE_CANONICAL_UNLESS_RENDERER_CALLS_ALLOGRAPH
326	SOLK+EE+Y	laenger auffangen	solkeey	1	1	1	solkeey	solkeey:1	WRITE_CANONICAL
327	SOLK+Y	dies auffangen	qolky	1	1	1	qolky	qolky:1	WRITE_CANONICAL
328	S_ADDR	Sternbezug	s	4	4	1	s	s:4	WRITE_CANONICAL
329	S_ADDR+AIN	Sternbezug + Portion	sain	1	1	1	sain	sain:1	WRITE_CANONICAL
330	S_ADDR+A_ADDR+I_COUNT+I_COUNT+R	Sternbezug + Nebenadresse + Zaehlstrich + Zaehlstrich + senken	saiir	1	1	1	saiir	saiir:1	WRITE_CANONICAL
331	S_ADDR+G_ADDR	Sternbezug + Strahlmarke	qsg	1	1	1	qsg	qsg:1	WRITE_CANONICAL
332	S_ADDR+O+AR	Sternbezug + Arbeitsgang + von dort	sodar	1	1	1	sodar	sodar:1	WRITE_CANONICAL
333	S_ADDR+O+E+AR	Sternbezug + Arbeitsgang + kurz + von dort	soear	1	1	1	soear	soear:1	WRITE_CANONICAL
334	S_ADDR+O+EE+Y	Sternbezug + Arbeitsgang + laenger + dies	soeey	1	1	1	soeey	soeey:1	WRITE_CANONICAL
335	S_ADDR+O+HO	Sternbezug + Arbeitsgang + Gabe	sosho	1	1	1	sosho	sosho:1	WRITE_CANONICAL
336	S_ADDR+SH+E+Y	Sternbezug + halten + kurz + dies	sshey	1	1	1	sshey	sshey:1	WRITE_CANONICAL
337	T+CH+O+DY	eintragen und entnehmen; Schluss	tchody	1	1	1	tchody	tchody:1	WRITE_CANONICAL
338	T+E+Y	dies kurz eintragen	tey	1	2	2	tey|ytey	tey:1|ytey:1	WRITE_CANONICAL_UNLESS_RENDERER_CALLS_ALLOGRAPH
339	T+EE+O	eintragen + laenger + Arbeitsgang	teeo	1	1	1	teeo	teeo:1	WRITE_CANONICAL
340	T+O+AIIN	eintragen + Arbeitsgang + Mass	todaiin	1	1	1	todaiin	todaiin:1	WRITE_CANONICAL
341	T+O+CH+S_ADDR+O	eintragen + Arbeitsgang + entnehmen + Sternbezug + Arbeitsgang	tochso	1	1	1	tochso	tochso:1	WRITE_CANONICAL
342	T+SH+OL	weiter eingetragen halten	tshol	1	1	1	tshol	tshol:1	WRITE_CANONICAL
343	T+Y	dies eintragen	chty	1	2	2	chety|chty	chety:1|chty:1	WRITE_CANONICAL_UNLESS_RENDERER_CALLS_ALLOGRAPH
344	TALAM	verwahren	talam	1	1	1	talam	talam:1	WRITE_CANONICAL
345	WHOLE[cheey|shey]	Ergebnis	cheey	4	7	2	cheey|shey	cheey:4|shey:3	WRITE_CANONICAL_UNLESS_RENDERER_CALLS_ALLOGRAPH
346	WHOLE[ches]	teilen	ches	1	1	1	ches	ches:1	WRITE_CANONICAL
347	WHOLE[daiiin]	zweite Stufe	daiiin	1	1	1	daiiin	daiiin:1	WRITE_CANONICAL
348	Y	dies	dy	14	43	6	chey|chy|dy|shy|sy|y	chey:11|chy:5|dy:14|shy:1|sy:2|y:10	WRITE_CANONICAL_UNLESS_RENDERER_CALLS_ALLOGRAPH
349	Y+AIIN	dies + Mass	ydaiin	2	2	1	ydaiin	ydaiin:2	WRITE_CANONICAL
350	Y+AL+HO+S_ADDR	dies + Stelle + Gabe + Sternbezug	ytalchos	1	1	1	ytalchos	ytalchos:1	WRITE_CANONICAL
351	Y+CH+E+OR	diesen Ansatz kurz entnehmen	ycheor	1	1	1	ycheor	ycheor:1	WRITE_CANONICAL
352	Y+CHEO+Y	dies + Entnahme + dies	ycheody	1	1	1	ycheody	ycheody:1	WRITE_CANONICAL
353	Y+D_ADDR+AM_ADDR	dies + Teiladresse + Gegenfeld	ydam	1	1	1	ydam	ydam:1	WRITE_CANONICAL
354	Y+D_ADDR+HO+S_ADDR	dies + Teiladresse + Gabe + Sternbezug	ydchos	1	1	1	ydchos	ydchos:1	WRITE_CANONICAL
355	Y+D_ADDR+OL+Y	dies + Teiladresse + fortsetzen + dies	ydoly	1	1	1	ydoly	ydoly:1	WRITE_CANONICAL
356	Y+E+K+EE+S_ADDR	dies + kurz + zufuehren + laenger + Sternbezug	yekees	1	1	1	yekees	yekees:1	WRITE_CANONICAL
357	Y+E+T+E+Y	dies + kurz + eintragen + kurz + dies	yetey	1	1	1	yetey	yetey:1	WRITE_CANONICAL
358	Y+F_ADDR+AIN	dies + Aussenbezug + Portion	yfain	1	1	1	yfain	yfain:1	WRITE_CANONICAL
359	Y+K+AIIN	dies auf Maß zuführen	ykaiin	1	1	1	ykaiin	ykaiin:1	WRITE_CANONICAL
360	Y+K+AIN	eine Portion davon zuführen	ykan	1	2	2	ykain|ykan	ykain:1|ykan:1	WRITE_CANONICAL_UNLESS_RENDERER_CALLS_ALLOGRAPH
361	Y+K+AL+Y	dies + zufuehren + Stelle + dies	ykaly	1	1	1	ykaly	ykaly:1	WRITE_CANONICAL
362	Y+K+AR	dies + zufuehren + von dort	ykar	3	4	2	chykar|ykar	chykar:1|ykar:3	WRITE_CANONICAL_UNLESS_RENDERER_CALLS_ALLOGRAPH
363	Y+K+A_ADDR	dies + zufuehren + Nebenadresse	yka	1	1	1	yka	yka:1	WRITE_CANONICAL
364	Y+K+A_ADDR+Y	dies + zufuehren + Nebenadresse + dies	ykady	1	1	1	ykady	ykady:1	WRITE_CANONICAL
365	Y+K+CH+S_ADDR	dies + zufuehren + entnehmen + Sternbezug	chykchs	1	1	1	chykchs	chykchs:1	WRITE_CANONICAL
366	Y+K+CHD+Y	dies + zufuehren + umsetzen + dies	ykchdy	1	1	1	ykchdy	ykchdy:1	WRITE_CANONICAL
367	Y+K+E+HO	dies + zufuehren + kurz + Gabe	ykecho	1	1	1	ykecho	ykecho:1	WRITE_CANONICAL
368	Y+K+E+O+DY	dies + zufuehren + kurz + Arbeitsgang + Schluss	ykeody	1	1	1	ykeody	ykeody:1	WRITE_CANONICAL
369	Y+K+E+O+Y	dies + zufuehren + kurz + Arbeitsgang + dies	ykeody	1	1	1	ykeody	ykeody:1	WRITE_CANONICAL
370	Y+K+E+Y	dies + zufuehren + kurz + dies	ykey	1	1	1	ykey	ykey:1	WRITE_CANONICAL
371	Y+K+E+Y+DY	dies + zufuehren + kurz + dies + Schluss	ykeydy	1	1	1	ykeydy	ykeydy:1	WRITE_CANONICAL
372	Y+K+EE+AL	dies + zufuehren + laenger + Stelle	ykeeal	1	1	1	ykeeal	ykeeal:1	WRITE_CANONICAL
373	Y+K+EE+O+Y	dies + zufuehren + laenger + Arbeitsgang + dies	ykeeody	1	1	1	ykeeody	ykeeody:1	WRITE_CANONICAL
374	Y+K+EE+S_ADDR	dies + zufuehren + laenger + Sternbezug	ykees	1	1	1	ykees	ykees:1	WRITE_CANONICAL
375	Y+K+EE+Y	dies + zufuehren + laenger + dies	ykeey	1	1	1	ykeey	ykeey:1	WRITE_CANONICAL
376	Y+K+HO+S_ADDR	dies + zufuehren + Gabe + Sternbezug	ykchos	1	1	1	ykchos	ykchos:1	WRITE_CANONICAL
377	Y+K+O+AIIN	dies + zufuehren + Arbeitsgang + Mass	ykoaiin	1	1	1	ykoaiin	ykoaiin:1	WRITE_CANONICAL
378	Y+K+O+S_ADDR	dies + zufuehren + Arbeitsgang + Sternbezug	sykos	1	1	1	sykos	sykos:1	WRITE_CANONICAL
379	Y+K+OR	dies + zufuehren + Ansatz	ykor	2	2	1	ykor	ykor:2	WRITE_CANONICAL
380	Y+K+Y	dies + zufuehren + dies	ykchey	2	6	5	cheyky|ykchey|ykchy|ykshy|yky	cheyky:1|ykchey:2|ykchy:1|ykshy:1|yky:1	WRITE_CANONICAL_UNLESS_RENDERER_CALLS_ALLOGRAPH
381	Y+K+Y+S_ADDR	dies + zufuehren + dies + Sternbezug	ykchys	1	1	1	ykchys	ykchys:1	WRITE_CANONICAL
382	Y+P+AIR	dies + hinein + Lauf	ypair	1	1	1	ypair	ypair:1	WRITE_CANONICAL
383	Y+SH+E+Y	dies + halten + kurz + dies	yshey	1	1	1	yshey	yshey:1	WRITE_CANONICAL
384	Y+T+E+O+OR	dies + eintragen + kurz + Arbeitsgang + Ansatz	yteoor	1	1	1	yteoor	yteoor:1	WRITE_CANONICAL
385	Y+T+E+O+S_ADDR	dies + eintragen + kurz + Arbeitsgang + Sternbezug	yteos	1	1	1	yteos	yteos:1	WRITE_CANONICAL
386	Y+T+E+O+Y	dies + eintragen + kurz + Arbeitsgang + dies	yteody	1	1	1	yteody	yteody:1	WRITE_CANONICAL
387	Y+T+HO+DY	dies + eintragen + Gabe + Schluss	ytchody	1	1	1	ytchody	ytchody:1	WRITE_CANONICAL
388	Y+T+HO+L+Y	dies + eintragen + Gabe + fuehren + dies	ytchodly	1	1	1	ytchodly	ytchodly:1	WRITE_CANONICAL
389	Y+T+O	dies + eintragen + Arbeitsgang	yto	2	2	1	yto	yto:2	WRITE_CANONICAL
390	Y+T+O+AIIN	dies + eintragen + Arbeitsgang + Mass	ytoaiin	1	1	1	ytoaiin	ytoaiin:1	WRITE_CANONICAL
391	Y+T+O+AL	dies + eintragen + Arbeitsgang + Stelle	ytodal	1	1	1	ytodal	ytodal:1	WRITE_CANONICAL
392	Y+T+O+DY	dies + eintragen + Arbeitsgang + Schluss	ytody	1	1	1	ytody	ytody:1	WRITE_CANONICAL
393	Y+T+O+E+O+P+Y	dies + eintragen + Arbeitsgang + kurz + Arbeitsgang + hinein + dies	ytoeopchey	1	1	1	ytoeopchey	ytoeopchey:1	WRITE_CANONICAL
394	Y+T+O+Y	dies + eintragen + Arbeitsgang + dies	ytody	1	1	1	ytody	ytody:1	WRITE_CANONICAL
395	Y+T+OK+AR	dies + eintragen + ansetzen + von dort	ytokar	1	1	1	ytokar	ytokar:1	WRITE_CANONICAL
396	Y+T+OR	dies + eintragen + Ansatz	ytor	1	1	1	ytor	ytor:1	WRITE_CANONICAL
397	Y+T+OR+Y	dies + eintragen + Ansatz + dies	ytory	1	1	1	ytory	ytory:1	WRITE_CANONICAL
398	Y+T+Y+D_ADDR	dies + eintragen + dies + Teiladresse	ytyd	1	1	1	ytyd	ytyd:1	WRITE_CANONICAL
399	Y+Y	dies + dies	ychey	1	1	1	ychey	ychey:1	WRITE_CANONICAL
