dy_surface	y_surface	dy_event_count	y_event_count	dy_pages	y_pages	dy_recipes	y_recipes	recipe_relation	interpretive_rule	guard
qolchedy	qolchey	5	5	f76r|f77r|f81v|f82r	f76r|f77r|f83r	OL+CHD+DY	OL+Y	DIFFERENT_RECIPE	VISIBLE_D_CARRIES_A_RECIPE_CONTRAST_IN_THIS_PAIR	EXPLORATORY_WORKING_COMPOSITION__NO_CONFIRMED_LEXEME_OR_PLAINTEXT
qoldy	qoly	2	2	f75r|f81v	f75r|f82r	OL+DY	OL+Y	DIFFERENT_RECIPE	VISIBLE_D_CARRIES_A_RECIPE_CONTRAST_IN_THIS_PAIR	EXPLORATORY_WORKING_COMPOSITION__NO_CONFIRMED_LEXEME_OR_PLAINTEXT
qopchedy	qopchey	6	1	f76r|f77r|f81r|f83r	f76r	CARRIER_Q+O+P+CHD+Y	O+P+E+Y	DIFFERENT_RECIPE	VISIBLE_D_CARRIES_A_RECIPE_CONTRAST_IN_THIS_PAIR	EXPLORATORY_WORKING_COMPOSITION__NO_CONFIRMED_LEXEME_OR_PLAINTEXT
qotchedy	qotchey	3	1	f66r|f83r	f95v	OT+CHD+DY	OT+CHD+Y	DIFFERENT_RECIPE	VISIBLE_D_CARRIES_A_RECIPE_CONTRAST_IN_THIS_PAIR	EXPLORATORY_WORKING_COMPOSITION__NO_CONFIRMED_LEXEME_OR_PLAINTEXT
qotedy	qotey	19	7	f31r|f66r|f75r|f76r|f77r|f81r|f81v|f82r|f83r	f4r|f66r|f76r|f77r|f81r|f89r	OT+E+DY	OT+E+Y	DIFFERENT_RECIPE	VISIBLE_D_CARRIES_A_RECIPE_CONTRAST_IN_THIS_PAIR	EXPLORATORY_WORKING_COMPOSITION__NO_CONFIRMED_LEXEME_OR_PLAINTEXT
qoteedy	qoteey	19	5	f75r|f76r|f77r|f81r|f82r|f83r	f75r|f77r|f82r	OT+EE+DY	OT+EE+Y	DIFFERENT_RECIPE	VISIBLE_D_CARRIES_A_RECIPE_CONTRAST_IN_THIS_PAIR	EXPLORATORY_WORKING_COMPOSITION__NO_CONFIRMED_LEXEME_OR_PLAINTEXT
rchedy	rchey	2	1	f82r|f83r	f82r	R+CHD+Y	R+CH+E+Y	DIFFERENT_RECIPE	VISIBLE_D_CARRIES_A_RECIPE_CONTRAST_IN_THIS_PAIR	EXPLORATORY_WORKING_COMPOSITION__NO_CONFIRMED_LEXEME_OR_PLAINTEXT
schedy	schey	2	1	f81v|f83r	f56r	CHD+DY	S+CH+E+Y	DIFFERENT_RECIPE	VISIBLE_D_CARRIES_A_RECIPE_CONTRAST_IN_THIS_PAIR	EXPLORATORY_WORKING_COMPOSITION__NO_CONFIRMED_LEXEME_OR_PLAINTEXT
shckhedy	shckhey	3	3	f81v|f83r	f1r|f82r|f83r	SH+CH+K+E+DY	SH+CH+K+E+Y	DIFFERENT_RECIPE	VISIBLE_D_CARRIES_A_RECIPE_CONTRAST_IN_THIS_PAIR	EXPLORATORY_WORKING_COMPOSITION__NO_CONFIRMED_LEXEME_OR_PLAINTEXT
shddy	shdy	1	7	f66r	f66r|f76r|f83r	SH+D_ADDR+DY	SH+D_ADDR+Y	DIFFERENT_RECIPE	VISIBLE_D_CARRIES_A_RECIPE_CONTRAST_IN_THIS_PAIR	EXPLORATORY_WORKING_COMPOSITION__NO_CONFIRMED_LEXEME_OR_PLAINTEXT
shdy	shy	7	16	f66r|f76r|f83r	f10r|f13r|f20v|f24v|f56r|f72r|f75r|f76r|f81r|f83r|f88r|f88v	SH+D_ADDR+Y	Y	DIFFERENT_RECIPE	VISIBLE_D_CARRIES_A_RECIPE_CONTRAST_IN_THIS_PAIR	EXPLORATORY_WORKING_COMPOSITION__NO_CONFIRMED_LEXEME_OR_PLAINTEXT
sheckhdy	sheckhy	1	4	f83r	f81r|f82r|f83r	SH+E+CH+K+D_ADDR+Y	SH+E+CH+K+Y	DIFFERENT_RECIPE	VISIBLE_D_CARRIES_A_RECIPE_CONTRAST_IN_THIS_PAIR	EXPLORATORY_WORKING_COMPOSITION__NO_CONFIRMED_LEXEME_OR_PLAINTEXT
sheckhedy	sheckhey	2	2	f77r|f81r	f76r|f77r	SH+E+CH+K+E+DY	SH+E+CH+K+E+Y	DIFFERENT_RECIPE	VISIBLE_D_CARRIES_A_RECIPE_CONTRAST_IN_THIS_PAIR	EXPLORATORY_WORKING_COMPOSITION__NO_CONFIRMED_LEXEME_OR_PLAINTEXT
shedy	shey	109	43	f31r|f66r|f75r|f76r|f77r|f81r|f81v|f82r|f83r|f88v|f95v	f11r|f13r|f1r|f66r|f68r1|f72r|f75r|f76r|f77r|f81r|f81v|f82r|f83r|f89r	SH+E+DY	SH+E+Y	DIFFERENT_RECIPE	VISIBLE_D_CARRIES_A_RECIPE_CONTRAST_IN_THIS_PAIR	EXPLORATORY_WORKING_COMPOSITION__NO_CONFIRMED_LEXEME_OR_PLAINTEXT
sheedy	sheey	18	20	f66r|f72r|f75r|f76r|f77r|f81r|f81v|f82r|f83r|f88v	f31r|f4r|f72r|f76r|f77r|f81v|f82r|f83r|f89r	SH+EE+DY	SH+EE+Y	DIFFERENT_RECIPE	VISIBLE_D_CARRIES_A_RECIPE_CONTRAST_IN_THIS_PAIR	EXPLORATORY_WORKING_COMPOSITION__NO_CONFIRMED_LEXEME_OR_PLAINTEXT
sheody	sheoy	6	1	f66r|f67r2|f88v|f89r|f95v	f20v	SH+E+O+D_ADDR+Y	SH+E+O+Y	DIFFERENT_RECIPE	VISIBLE_D_CARRIES_A_RECIPE_CONTRAST_IN_THIS_PAIR	EXPLORATORY_WORKING_COMPOSITION__NO_CONFIRMED_LEXEME_OR_PLAINTEXT
shody	shoy	6	3	f1r|f77r|f89r|f95v	f1r|f88r|f88v	SH+O+DY	SH+O+Y	DIFFERENT_RECIPE	VISIBLE_D_CARRIES_A_RECIPE_CONTRAST_IN_THIS_PAIR	EXPLORATORY_WORKING_COMPOSITION__NO_CONFIRMED_LEXEME_OR_PLAINTEXT
solkeedy	solkeey	2	3	f83r	f77r|f81v|f83r	OL+K+EE+D_ADDR+Y	OL+K+EE+Y	DIFFERENT_RECIPE	VISIBLE_D_CARRIES_A_RECIPE_CONTRAST_IN_THIS_PAIR	EXPLORATORY_WORKING_COMPOSITION__NO_CONFIRMED_LEXEME_OR_PLAINTEXT
solshedy	solshey	2	1	f76r|f82r	f76r	OL+SH+E+DY	OL+SH+E+Y	DIFFERENT_RECIPE	VISIBLE_D_CARRIES_A_RECIPE_CONTRAST_IN_THIS_PAIR	EXPLORATORY_WORKING_COMPOSITION__NO_CONFIRMED_LEXEME_OR_PLAINTEXT
sshedy	sshey	3	2	f66r|f75r|f77r	f67r2|f75r	S+SH+E+DY	S+SH+E+Y	DIFFERENT_RECIPE	VISIBLE_D_CARRIES_A_RECIPE_CONTRAST_IN_THIS_PAIR	EXPLORATORY_WORKING_COMPOSITION__NO_CONFIRMED_LEXEME_OR_PLAINTEXT
tchedy	tchey	5	1	f75r|f83r|f95v	f1r	T+CHD+Y	T+CH+E+Y	DIFFERENT_RECIPE	VISIBLE_D_CARRIES_A_RECIPE_CONTRAST_IN_THIS_PAIR	EXPLORATORY_WORKING_COMPOSITION__NO_CONFIRMED_LEXEME_OR_PLAINTEXT
tedy	tey	4	3	f75r|f77r|f81r|f81v	f20v|f72r	T+E+DY	T+E+Y	DIFFERENT_RECIPE	VISIBLE_D_CARRIES_A_RECIPE_CONTRAST_IN_THIS_PAIR	EXPLORATORY_WORKING_COMPOSITION__NO_CONFIRMED_LEXEME_OR_PLAINTEXT
ychedy	ychey	1	1	f81r	f88r	Y+CHD+Y	Y+Y	DIFFERENT_RECIPE	VISIBLE_D_CARRIES_A_RECIPE_CONTRAST_IN_THIS_PAIR	EXPLORATORY_WORKING_COMPOSITION__NO_CONFIRMED_LEXEME_OR_PLAINTEXT
ykchdy	ykchy	2	4	f66r|f89r	f13r|f17r|f20v	Y+K+CHD+Y	Y+K+Y	DIFFERENT_RECIPE	VISIBLE_D_CARRIES_A_RECIPE_CONTRAST_IN_THIS_PAIR	EXPLORATORY_WORKING_COMPOSITION__NO_CONFIRMED_LEXEME_OR_PLAINTEXT
ykeedy	ykeey	3	6	f31r|f81r|f81v	f31r|f72r|f75r|f81v|f82r|f88v	Y+K+EE+D_ADDR+Y	Y+K+EE+Y	DIFFERENT_RECIPE	VISIBLE_D_CARRIES_A_RECIPE_CONTRAST_IN_THIS_PAIR	EXPLORATORY_WORKING_COMPOSITION__NO_CONFIRMED_LEXEME_OR_PLAINTEXT
yshedy	yshey	2	4	f75r	f1r|f67r2|f76r|f81v	Y+SH+E+DY	Y+SH+E+Y	DIFFERENT_RECIPE	VISIBLE_D_CARRIES_A_RECIPE_CONTRAST_IN_THIS_PAIR	EXPLORATORY_WORKING_COMPOSITION__NO_CONFIRMED_LEXEME_OR_PLAINTEXT
ytchdy	ytchy	1	2	f95v	f11r|f13r	Y+T+CHD+Y	Y+T+Y	DIFFERENT_RECIPE	VISIBLE_D_CARRIES_A_RECIPE_CONTRAST_IN_THIS_PAIR	EXPLORATORY_WORKING_COMPOSITION__NO_CONFIRMED_LEXEME_OR_PLAINTEXT
ytedy	ytey	4	2	f81v	f72r|f81v	Y+T+E+DY	T+E+Y	DIFFERENT_RECIPE	VISIBLE_D_CARRIES_A_RECIPE_CONTRAST_IN_THIS_PAIR	EXPLORATORY_WORKING_COMPOSITION__NO_CONFIRMED_LEXEME_OR_PLAINTEXT
ytody	ytoy	1	1	f67r2	f4r	Y+T+O+DY	Y+T+O+Y	DIFFERENT_RECIPE	VISIBLE_D_CARRIES_A_RECIPE_CONTRAST_IN_THIS_PAIR	EXPLORATORY_WORKING_COMPOSITION__NO_CONFIRMED_LEXEME_OR_PLAINTEXT
