page	locus	section	language	hand	zl3b_line	unknown_before	applied_ordinals	applied_surfaces	unknown_after	remaining_unknown_ordinals	remaining_unknown_surfaces	overlay_glosses_de
f26v	f26v.3	H	B	2	pchdar opar dar cheeol ofchdy otedy dy odar chedy ytedy okchdy g	5	8	odar	4	1|2|5|10	pchdar|opar|ofchdy|ytedy	[pchdar:?] | [opar:?] | abgemessene Fraktion I | vollständig getrockneter Drogenstoff | [ofchdy:?] | kalter Ansatz in der Mitte des Grades, abgeschlossen | Qualitäts-/Wertfeld geschlossen | erste Ansatzfraktion abmessen | trocken in der Mitte des Grades, abgeschlossen | [ytedy:?] | heiß-trockener Ansatz am Anfang des Grades, abgeschlossen | vorstehenden Rezeptposten abschließen
f27r	f27r.1	H	A	1	ksor shey shoteo chforaiin shy shod chary	5	6	shod	4	1|3|4|7	ksor|shoteo|chforaiin|chary	[ksor:?] | feucht in der Mitte des Grades | [shoteo:?] | [chforaiin:?] | feucht am Anfang des Grades | Feuchtansatz abschließen | [chary:?]
f28r	f28r.1	H	A	1	pchodar shod chocphy opchol daiin otchol chy qo ldy	3	2	shod	2	1|3	pchodar|chocphy	[pchodar:?] | Feuchtansatz abschließen | [chocphy:?] | getrockneter Pulverstoff im Ansatz | Qualitätsgrad III | kalt-trockener Zubereitungsstoff | trocken am Anfang des Grades | nehmen | Holzdroge, fertig aufbereitet
f28r	f28r.2	H	A	1	otchor otchor cthol y ctheol dy dchar chakod dly	3	7	dchar	2	8|9	chakod|dly	kalt-trockene Drogenportion im Ansatz | kalt-trockene Drogenportion im Ansatz | CTH-Drogenstoff; im Kräuterbuch Blatt- oder Krautdroge | Eintragsteil abgeschlossen | Krautdrogenstoff der Mittelstufe | Qualitäts-/Wertfeld geschlossen | erste Trockenfraktion abmessen | [chakod:?] | [dly:?]
f28r	f28r.5	H	A	1	oksho otorchy kchoror chodaiin sho cthody okoy	4	1	oksho	3	2|3|7	otorchy|kchoror|okoy	Ansatz erhitzen, einweichen und erneut ansetzen | [otorchy:?] | [kchoror:?] | Trockenansatz, Dosis III | feuchter Ansatz | fertiger Krautansatz | [okoy:?]
f28v	f28v.1	H	A	1	kshol qooiiin shor pshoiiin shepchy qoty dy shory	5	8	shory	4	1|2|4|5	kshol|qooiiin|pshoiiin|shepchy	[kshol:?] | [qooiiin:?] | Blüten-/Fruchtstand; reproduktiver Teil | [pshoiiin:?] | [shepchy:?] | kalt am Anfang des Grades | Qualitäts-/Wertfeld geschlossen | Blüten- oder Fruchtstand in Grundform, abgeschlossen
f29r	f29r.5	H	A	1	kcheol cheor sheos sheey teey da shos o	4	7	shos	3	1|3|6	kcheol|sheos|da	[kcheol:?] | trockener Drogenteil | [sheos:?] | feucht am Ende des Grades | kalt am Ende des Grades | [da:?] | Charge Feuchtansatz | Ansatzwasser
f2v	f2v.3	H	A	1	otchy chor lshy chol chody chodain chcthy daiin	2	6	chodain	1	3	lshy	kalt-trockener Ansatz am Anfang des Grades | Pflanzen-/Reproduktionsteil | [lshy:?] | trocken; nominal trockenes Gut/Material | Trockenansatz, abgeschlossen | zwei Dosen Trockenansatz | trockene CTH-Materialform; im Herbal trockenes Blatt-/Krautgut | Menge/Portion III
f30r	f30r.8	H	A	1	opchol ol chesey scheo r chey okeal dcheo rchey	2	8	dcheo	1	3	chesey	getrockneter Pulverstoff im Ansatz | Eigenschafts-/Zustands-/Materialträger; als nacktes Wort Gut/Ansatz | [chesey:?] | trockene Samen/Saatgutzubereitung/Trockenansatz | Wurzel | trocken in der Mitte des Grades | Rohstoffklasse I im Ansatz, heiß in der Gradmitte | Dosis bis Mittelstufe trocknen und ansetzen | Wurzel/Wurzeldroge, trocken gebunden, Form I
f30v	f30v.8	H	A	1	oyshy cheotol cphoaiin cphey	4	4	cphey	3	1|2|3	oyshy|cheotol|cphoaiin	[oyshy:?] | [cheotol:?] | [cphoaiin:?] | Kompositum auf Mittelstufe, abgeschlossen
f32r	f32r.11	H	A	1	shos chckhol n	3	1	shos	2	2|3	chckhol|n	Charge Feuchtansatz | [chckhol:?] | [n:?]
f32v	f32v.10	H	A	1	sho keol chor chol daiin cpho l cthol da ar	2	6	cpho	1	9	da	feuchter Ansatz | heißer Drogenstoff | Pflanzen-/Reproduktionsteil | trocken; nominal trockenes Gut/Material | Qualitätsgrad III | Kompositumansatz | Grundstoff des vorstehenden Ansatzes | CTH-Drogenstoff; im Kräuterbuch Blatt- oder Krautdroge | [da:?] | Drogenfraktion I
f32v	f32v.2	H	A	1	daiin odar chy daiin chey tchy l dy dain teor	2	2	odar	1	10	teor	Grad-/Maßwert III | erste Ansatzfraktion abmessen | trocken am Anfang des Grades | Grad-/Maßwert III | trocken in der Mitte des Grades | kalt und trocken am Anfang des Grades | Holzdroge, fertig aufbereitet | Qualitäts-/Wertfeld geschlossen | Grad-/Maßwert II | [teor:?]
f34r	f34r.1	H	B	2	pcheoepchy olar yl yfody okedody shod ololdy dar ytey	6	6	shod	5	1|3|4|5|7	pcheoepchy|yl|yfody|okedody|ololdy	[pcheoepchy:?] | erste Holzrohstofffraktion im Ansatz | [yl:?] | [yfody:?] | [okedody:?] | Feuchtansatz abschließen | [ololdy:?] | abgemessene Fraktion I | kühle hiervon bis zur Mittelstufe ab und schließe ab
f35r	f35r.15	H	A	1	ochor s chiin daiin ytain	2	5	ytain	1	3	chiin	Pflanzenteil im Ansatz | Samen-/Saatgutposten | [chiin:?] | Grad-/Maßwert III | hiervon auf Kältestufe II abkühlen
f35v	f35v.10	H	A	1	okcheey chosar shory	2	3	shory	1	2	chosar	heiß-trockener Ansatz am Ende des Grades | [chosar:?] | Blüten- oder Fruchtstand in Grundform, abgeschlossen
f36v	f36v.1	H	A	1	pchar asy qoforom shoaiin tchey chy otaiin cphar daiin	5	4|8	shoaiin|cphar	3	1|2|3	pchar|asy|qoforom	[pchar:?] | [asy:?] | [qoforom:?] | drei Teile Feuchtansatz | kalt und trocken in der Mitte des Grades | trocken am Anfang des Grades | kalt im Zubereitungsrahmen, Grad III | erste Kompositumfraktion | Grad-/Maßwert III
f37v	f37v.21	H	A	1	oshctho do daiin cthols	2	4	cthols	1	2	do	im o-Rahmen feuchte cth-Pflanzenteilform; Endung o offen | [do:?] | Grad-/Maßwert III | Charge Krautdrogenstoff
f37v	f37v.23	H	A	1	yto chol daiin	1	1	yto	0	NONE	NONE	hiervon einen Ansatz abkühlen | trocken; nominal trockenes Gut/Material | Qualitätsgrad III
f38r	f38r.6	H	A	1	ysho sho kos daiin okoy chochor daiin	4	3	kos	3	1|5|6	ysho|okoy|chochor	[ysho:?] | feuchter Ansatz | Charge Heißansatz | Grad-/Maßwert III | [okoy:?] | [chochor:?] | Menge/Portion III
f39r	f39r.6	H	B	2	pchdaiin she dam qofchedy shedy kchdy dydy opchekaiin shoy shdalo ry	6	9	shoy	5	1|4|7|8|10	pchdaiin|qofchedy|dydy|opchekaiin|shdalo	[pchdaiin:?] | feucht, attributiv gebunden | Dosis I | [qofchedy:?] | feucht in der Mitte des Grades, abgeschlossen | heiß und trocken am Anfang des Grades, abgeschlossen | [dydy:?] | [opchekaiin:?] | Feuchtansatz leicht abschließen | [shdalo:?] | rohe Wurzel
f42r	f42r.19	H	A	1	otchoty daiin chot sho y s os	2	7	os	1	1	otchoty	[otchoty:?] | Grad-/Maßwert III | abgekühlter Trockenansatz | feuchter Ansatz | ; hierzu: | Samen-/Saatgutposten | Ansatzcharge
f42v	f42v.7	H	A	1	chok sheo key keeeyd chekeesshy	3	1	chok	2	4|5	keeeyd|chekeesshy	Trockenansatz erhitzen | Feuchtzubereitung | heiß in der Mitte des Grades | [keeeyd:?] | [chekeesshy:?]
f43r	f43r.1	H	B	2	tarodaiin ytedy eeody ofchtar chcphedy ypar shol folor aiin cphey dar	7	10	cphey	6	1|2|3|4|6|8	tarodaiin|ytedy|eeody|ofchtar|ypar|folor	[tarodaiin:?] | [ytedy:?] | [eeody:?] | [ofchtar:?] | Arzneikompositum bis zur Mittelstufe trocknen und abschließen | [ypar:?] | feucht; nominal feuchtes Gut/Material | [folor:?] | Menge III | Kompositum auf Mittelstufe, abgeschlossen | abgemessene Fraktion I
f43r	f43r.7	H	B	2	pshesy otey kshdy opchdy kedar okedy chdy shoy dyty dy pchdy kedy dam	4	8	shoy	3	1|5|9	pshesy|kedar|dyty	[pshesy:?] | kalter Ansatz in der Mitte des Grades | heiß und feucht am Anfang des Grades, abgeschlossen | fertiges Trockenpulverpräparat | [kedar:?] | heißer Ansatz in der Mitte des Grades, abgeschlossen | trocken am Anfang des Grades, abgeschlossen | Feuchtansatz leicht abschließen | [dyty:?] | Qualitäts-/Wertfeld geschlossen | Pulver, getrocknete Kurz-/Kompaktform | heiß in der Mitte des Grades, abgeschlossen | Dosis I
f48r	f48r.2	H	B	5	daiin yteeol cheody kechodshey qotedy chtaiin otchdy tedain okain ckhy	4	6	chtaiin	3	2|4|8	yteeol|kechodshey|tedain	Grad-/Maßwert III | [yteeol:?] | getrockneter Ansatz | [kechodshey:?] | kalt in der Mitte des Grades, abgeschlossen | getrocknete Droge auf Kältestufe III | kalt-trockener Ansatz am Anfang des Grades, abgeschlossen | [tedain:?] | heiß im Zubereitungsrahmen, Grad II | Arzneikompositum am Gradanfang
f49r	f49r.15	H	A	1	ochol chol chody dchodaiin daiin	2	1	ochol	1	4	dchodaiin	Ansatz aus Trockendroge | trocken; nominal trockenes Gut/Material | Trockenansatz, abgeschlossen | [dchodaiin:?] | Grad-/Maßwert III
f49r	f49r.19	H	A	1	dcheo r cheey keolchey chokchol chokan	3	1	dcheo	2	4|5	keolchey|chokchol	Dosis bis Mittelstufe trocknen und ansetzen | Wurzel | trocken am Ende des Grades | [keolchey:?] | [chokchol:?] | Trockenansatz auf Heizstufe I bringen
f4v	f4v.5	H	A	1	shor sheey otoiin shey qotchoiin chodain	3	6	chodain	2	3|5	otoiin|qotchoiin	Blüten-/Fruchtstand; reproduktiver Teil | feucht am Ende des Grades | [otoiin:?] | feucht in der Mitte des Grades | [qotchoiin:?] | zwei Dosen Trockenansatz
f50r	f50r.2	H	B	2	sor orsheckhy ockhody shos alol dy kar oky daiiin okar ar okam	3	4	shos	2	2|3	orsheckhy|ockhody	Samenportion | [orsheckhy:?] | [ockhody:?] | Charge Feuchtansatz | Drogenstoff aus Rohdroge I | Qualitäts-/Wertfeld geschlossen | heiße Drogenfraktion I | heißer Ansatz am Anfang des Grades | Grad-/Maßwert IV | heiße Drogenfraktion I im Ansatz | Drogenfraktion I | ein Maß heißen Ansatzes
f51r	f51r.14	H	A	1	daiiy qodaiin kaiiidal cphodal s al dam	2	4	cphodal	1	3	kaiiidal	abgemessene Drogenportion, abgeschlossen | Qualitätsgrad III | [kaiiidal:?] | Rohstoffmenge I des Kompositumansatzes abmessen | Samen-/Saatgutposten | Rohstoffklasse I | Dosis I
f51r	f51r.4	H	A	1	daiin es okol cheody ckhy cheeey	2	2	es	1	6	cheeey	Grad-/Maßwert III | Mittelstufen-Species | heißer Ansatzstoff | getrockneter Ansatz | Arzneikompositum am Gradanfang | [cheeey:?]
f52v	f52v.14	H	A	1	odar cheokor ckheey	2	1	odar	1	2	cheokor	erste Ansatzfraktion abmessen | [cheokor:?] | Arzneikompositum am Gradende
f53r	f53r.8	H	A	1	qotchol dar qoty chtor oltsho ykeeod o y toyd	4	4	chtor	3	5|6|9	oltsho|ykeeod|toyd	Material: kalt und trocken | abgemessene Fraktion I | kalt am Anfang des Grades | Portion trocken abgekühlte Droge | [oltsho:?] | [ykeeod:?] | Ansatzwasser | Eintragsteil abgeschlossen | [toyd:?]
f53r	f53r.9	H	A	1	otol chol ctheees os orol chod qoty	2	4	os	1	3	ctheees	kaltes Zubereitungsgut | trocken; nominal trockenes Gut/Material | [ctheees:?] | Ansatzcharge | Drogenstoffportion | Trockenansatz abschließen | kalt am Anfang des Grades
f53v	f53v.1	H	A	1	tshor shey qodckhy eo oltshey daiin qopchy	5	4	eo	4	1|3|5|7	tshor|qodckhy|oltshey|qopchy	[tshor:?] | feucht in der Mitte des Grades | [qodckhy:?] | Mittelstufenansatz | [oltshey:?] | Grad-/Maßwert III | [qopchy:?]
f54v	f54v.14	H	A	1	tar cphey tam aldam	3	2	cphey	2	3|4	tam|aldam	kalte Drogenfraktion I | Kompositum auf Mittelstufe, abgeschlossen | [tam:?] | [aldam:?]
f55r	f55r.1	H	B	2	podaiin shekchy qofair okar yk epaiin qokchdy os arod	6	8	os	5	2|3|5|6|9	shekchy|qofair|yk|epaiin|arod	Pulverzubereitung, Dosis III | [shekchy:?] | [qofair:?] | heiße Drogenfraktion I im Ansatz | [yk:?] | [epaiin:?] | heiß und trocken am Anfang des Grades, abgeschlossen | Ansatzcharge | [arod:?]
f55v	f55v.3	H	B	2	qokeeey os ain qool al chedy sar aiin ol kar am	2	2	os	1	4	qool	stark erhitzt, Endstufe III | Ansatzcharge | Menge-/Klassenwert II | [qool:?] | Rohstoffklasse I | trocken in der Mitte des Grades, abgeschlossen | Samenfraktion I | Menge III | Eigenschafts-/Zustands-/Materialträger; als nacktes Wort Gut/Ansatz | heiße Drogenfraktion I | Maßeinheit I
f56r	f56r.10	H	A	1	yt chor otchy chok y t chey r okaiin	3	4	chok	2	1|6	yt|t	[yt:?] | Pflanzen-/Reproduktionsteil | kalt-trockener Ansatz am Anfang des Grades | Trockenansatz erhitzen | ; hierzu: | [t:?] | trocken in der Mitte des Grades | Wurzel | heiß, Grad III, im Ansatzrahmen
f58v	f58v.11	S	A	3	tchol shol tor qokair or y ykaiin dory okaiir chodaiin otals	2	9	okaiir	1	11	otals	kalt-trockenes Drogenmaterial | feucht; nominal feuchtes Gut/Material | kalte Drogenportion | erhitze die zweite Fraktion | Drogenportion | Eintragsteil abgeschlossen | erhitze hiervon auf Stufe III | abgemessene Portion | dritte erhitzte Ansatzfraktion | Trockenansatz, Dosis III | [otals:?]
f58v	f58v.29	S	A	3	polal keeo o leeckhey dalar ykeeody choar ckhar yfair alam	6	8	ckhar	5	1|2|4|6|9	polal|keeo|leeckhey|ykeeody|yfair	[polal:?] | [keeo:?] | Ansatz mit leeckhey | [leeckhey:?] | erste Fraktion Rohdroge I abmessen | [ykeeody:?] | Trockenansatz, Fraktion I | erste Kompositumfraktion | [yfair:?] | ein Maß Rohdroge I
f58v	f58v.3	S	A	3	todal qotain shoy qokeol okey qokalchal daly ar aim	4	3	shoy	3	1|6|9	todal|qokalchal|aim	[todal:?] | kalt im qo-Rahmen, Grad II | Feuchtansatz leicht abschließen | erhitze den Drogenstoff bis zur Mittelstufe | heißer Ansatz in der Mitte des Grades | [qokalchal:?] | abgemessene Rohstoffmenge I, Grundform | Drogenfraktion I | [aim:?]
f66r	f66r.67	T	B	5	psheody cfhol shofol okeody qokaldy ytarody shedy shedy dair	6	2	cfhol	5	1|3|4|5|6	psheody|shofol|okeody|qokaldy|ytarody	[psheody:?] | Blütendrogenstoff oder Blütenauszug | [shofol:?] | [okeody:?] | [qokaldy:?] | [ytarody:?] | feucht in der Mitte des Grades, abgeschlossen | feucht in der Mitte des Grades, abgeschlossen | abgemessene Fraktion II
f6r	f6r.3	H	A	1	foeear kshor choky os cheoeees ykeor ytaiin dam	4	4	os	3	1|2|5	foeear|kshor|cheoeees	[foeear:?] | [kshor:?] | heiß-trockene Zubereitung, Grundform | Ansatzcharge | [cheoeees:?] | erhitze hiervon eine Portion bis zur Mittelstufe | Eintrag: kalt, Stufe III | Dosis I
f6v	f6v.4	H	A	1	y shckhy ytchoy s os y jajy dchy dey okody ytody	5	5	os	4	3|7|10|11	ytchoy|jajy|okody|ytody	Eintrag: | Arzneikompositum: feucht, Gradanfang | [ytchoy:?] | Samen-/Saatgutposten | Ansatzcharge | hierzu: | [jajy:?] | Dosis Trockendroge, Grundform | miss eine Dosis auf Mittelstufe ab und schließe den Posten | [okody:?] | [ytody:?]
f75r	f75r.22	B	B	2	odar shey qokain chedy or shey kar chedy sar	1	1	odar	0	NONE	NONE	erste Ansatzfraktion abmessen | feucht in der Mitte des Grades | heiß, Grad II | trocken in der Mitte des Grades, abgeschlossen | Drogenportion | feucht in der Mitte des Grades | heiße Drogenfraktion I | trocken in der Mitte des Grades, abgeschlossen | Samenfraktion I
f75r	f75r.7	B	B	2	pchedy qokshdy ytain chedy qokar chy lol chedy qoky	1	3	ytain	0	NONE	NONE	getrocknetes Pulver | heiß und feucht am Anfang des Grades, abgeschlossen | hiervon auf Kältestufe II abkühlen | trocken in der Mitte des Grades, abgeschlossen | heiße Drogenfraktion I | trocken am Anfang des Grades | Holzstoff | trocken in der Mitte des Grades, abgeschlossen | heiß am Anfang des Grades
f76r	f76r.48	T	B	2	saiin shckhy lkeedy qoky okain ytain oteedy okedor shedy qokal	2	6	ytain	1	8	okedor	Samen/Saatgut, Typ/Charge III | Arzneikompositum: feucht, Gradanfang | Drogenholz, heiß am Gradende, abgeschlossen | heiß am Anfang des Grades | heiß im Zubereitungsrahmen, Grad II | hiervon auf Kältestufe II abkühlen | kalter Ansatz am Ende des Grades, abgeschlossen | [okedor:?] | feucht in der Mitte des Grades, abgeschlossen | Rohstoffklasse I, heiß am Gradanfang
f76v	f76v.34	B	B	2	sakaiin okeedy chedy qotain cphey opcheey oty saiin otary	4	5	cphey	3	1|6|9	sakaiin|opcheey|otary	[sakaiin:?] | heißer Ansatz am Ende des Grades, abgeschlossen | trocken in der Mitte des Grades, abgeschlossen | kalt im qo-Rahmen, Grad II | Kompositum auf Mittelstufe, abgeschlossen | [opcheey:?] | kalter Ansatz am Anfang des Grades | Samen/Saatgut, Typ/Charge III | [otary:?]
f77r	f77r.24	B	B	2	daiin dol shor cphey lfcheal shear qolchy	3	4	cphey	2	5|7	lfcheal|qolchy	Grad-/Maßwert III | Materialmaß | Blüten-/Fruchtstand; reproduktiver Teil | Kompositum auf Mittelstufe, abgeschlossen | [lfcheal:?] | erste Fraktion bis zur Mittelstufe einweichen | [qolchy:?]
f78v	f78v.20	B	B	2	qofcheol opchedy qokain op chedy lchey cphar ol okalor	4	7	cphar	3	1|4|9	qofcheol|op|okalor	[qofcheol:?] | vollständig getrocknetes Pulverpräparat | heiß, Grad II | [op:?] | trocken in der Mitte des Grades, abgeschlossen | Drogenholz, trocken gebunden, Form I | erste Kompositumfraktion | Eigenschafts-/Zustands-/Materialträger; als nacktes Wort Gut/Ansatz | [okalor:?]
f79r	f79r.11	B	B	2	shoy chedy tshey dshdy otchar shek chcthy otal ory	4	1	shoy	3	4|5|9	dshdy|otchar|ory	Feuchtansatz leicht abschließen | trocken in der Mitte des Grades, abgeschlossen | kalt und feucht in der Mitte des Grades | [dshdy:?] | [otchar:?] | bis zur Mittelstufe einweichen und erhitzen | trockene CTH-Materialform; im Herbal trockenes Blatt-/Krautgut | Rohstoffklasse I im Ansatz, kalt am Gradanfang | [ory:?]
f79r	f79r.36	B	B	2	sol sheeol ol cheey os sheky sheol or shear oly	2	5	os	1	2	sheeol	Samenmaterial/Saatgut | [sheeol:?] | Eigenschafts-/Zustands-/Materialträger; als nacktes Wort Gut/Ansatz | trocken am Ende des Grades | Ansatzcharge | bis zur Mittelstufe einweichen, erhitzen und abschließen | feuchtes Material | Drogenportion | erste Fraktion bis zur Mittelstufe einweichen | abseihen
f7r	f7r.9	H	A	1	qokechy ol choiin chol cphey shckhy chochy kchod	3	5	cphey	2	1|8	qokechy|kchod	[qokechy:?] | Eigenschafts-/Zustands-/Materialträger; als nacktes Wort Gut/Ansatz | trockene Zubereitungsform III | trocken; nominal trockenes Gut/Material | Kompositum auf Mittelstufe, abgeschlossen | Arzneikompositum: feucht, Gradanfang | Trockenansatz nochmals leicht trocknen | [kchod:?]
f7v	f7v.6	H	A	1	kchor sheod sheodaiin sho daiin oksho lshol dair qos	4	6	oksho	3	2|7|9	sheod|lshol|qos	Drogenportion, heiß-trocken | [sheod:?] | drei Dosen eingeweichter Ansatz | feuchter Ansatz | Grad-/Maßwert III | Ansatz erhitzen, einweichen und erneut ansetzen | [lshol:?] | abgemessene Fraktion II | [qos:?]
f80v	f80v.27	B	B	2	pshol kain olkar shey qokain dal oltaiin okain shal qoty	3	1	pshol	2	3|7	olkar|oltaiin	eingeweichter Pulverstoff | heiß, Grad II | [olkar:?] | feucht in der Mitte des Grades | heiß, Grad II | abgemessene Rohstoffmenge I | [oltaiin:?] | heiß im Zubereitungsrahmen, Grad II | Rohstoffklasse I, feucht am Gradanfang | kalt am Anfang des Grades
f83v	f83v.6	B	B	2	chedy qoteedy otalshedy sol chl es okeol shedy qokolchedy qokal	3	6	es	2	3|9	otalshedy|qokolchedy	trocken in der Mitte des Grades, abgeschlossen | kalt am Ende des Grades, abgeschlossen | [otalshedy:?] | Samenmaterial/Saatgut | trocknen | Mittelstufen-Species | Grundansatz bis zur mittleren Heizstufe erwärmt | feucht in der Mitte des Grades, abgeschlossen | [qokolchedy:?] | Rohstoffklasse I, heiß am Gradanfang
f85r2	f85r2.1	C	B	2	odeedy otedy opaees ar chcthy otchdy otody otar chepaiin otodar otodaiin opaiin otaiin qopchas otchedy olkaiin odar aloees otchedy qotedaiin odar octhody shedaiin olaiin olfor daiin ol lkechch os aiin oteedy dar otees opaiin chcphdar	18	17|21|29	odar|odar|os	15	1|3|7|9|11|12|14|18|20|22|25|28|33|34|35	odeedy|opaees|otody|chepaiin|otodaiin|opaiin|qopchas|aloees|qotedaiin|octhody|olfor|lkechch|otees|opaiin|chcphdar	[odeedy:?] | kalter Ansatz in der Mitte des Grades, abgeschlossen | [opaees:?] | Drogenfraktion I | trockene CTH-Materialform; im Herbal trockenes Blatt-/Krautgut | kalt-trockener Ansatz am Anfang des Grades, abgeschlossen | [otody:?] | kalte Drogenfraktion I im Ansatz | [chepaiin:?] | Kaltansatz erneut ansetzen und die erste Fraktion abmessen | [otodaiin:?] | [opaiin:?] | kalt im Zubereitungsrahmen, Grad III | [qopchas:?] | kalt-trockener Ansatz in der Mitte des Grades, abgeschlossen | heiße Drogenbasis, Stufe III | erste Ansatzfraktion abmessen | [aloees:?] | kalt-trockener Ansatz in der Mitte des Grades, abgeschlossen | [qotedaiin:?] | erste Ansatzfraktion abmessen | [octhody:?] | drei Dosen bis zur Mittelstufe eingeweichter Droge | Drogenstoff, Menge III | [olfor:?] | Menge/Portion III | Eigenschafts-/Zustands-/Materialträger; als nacktes Wort Gut/Ansatz | [lkechch:?] | Ansatzcharge | Menge III | kalter Ansatz am Ende des Grades, abgeschlossen | abgemessene Fraktion I | [otees:?] | [opaiin:?] | [chcphdar:?]
f86v3	f86v3.14	C	B	2	ar aiin shodain shor chalkar shekshol okchor	3	3	shodain	2	5|6	chalkar|shekshol	Drogenfraktion I | Menge III | zwei Dosen Feuchtansatz | Blüten-/Fruchtstand; reproduktiver Teil | [chalkar:?] | [shekshol:?] | eine Portion heiß-trockene Droge im Ansatz
f86v3	f86v3.2	C	B	2	rain ychedy qoeeey otair cheody ytain qy kaiin	3	6	ytain	2	3|7	qoeeey|qy	Wurzeldroge in Charge II | Eintrag: getrocknete Droge, fertig | [qoeeey:?] | zweite kalte Drogenfraktion im Ansatz | getrockneter Ansatz | hiervon auf Kältestufe II abkühlen | [qy:?] | heiß, Grad III
f86v3	f86v3.5	C	B	2	yeey qotaiin chdy ypeor ytain otain ytam	3	5	ytain	2	1|4	yeey|ypeor	[yeey:?] | kalt, Grad III | trocken am Anfang des Grades, abgeschlossen | [ypeor:?] | hiervon auf Kältestufe II abkühlen | kalt im Zubereitungsrahmen, Grad II | nimm hiervon ein Maß und kühle es
f86v5	f86v5.18	T	B	2	poldaiin shea teraiin otcho lkaiin os al ody qotar ytedy daiin	5	6	os	4	1|2|3|10	poldaiin|shea|teraiin|ytedy	[poldaiin:?] | [shea:?] | [teraiin:?] | kalt-trockene Zubereitung | Holzdroge, heiß auf Stufe III | Ansatzcharge | Rohstoffklasse I | fertiggestellter Ansatz | kalte Drogenfraktion I | [ytedy:?] | Grad-/Maßwert III
f86v5	f86v5.27	T	B	2	pchor ypchor aiin otar shody pchykar ytar odar oeees aral om	4	8	odar	3	1|2|6	pchor|ypchor|pchykar	[pchor:?] | [ypchor:?] | Menge III | kalte Drogenfraktion I im Ansatz | vollständig eingeweichter Ansatz | [pchykar:?] | nimm hiervon die erste gekühlte Drogenfraktion | erste Ansatzfraktion abmessen | Ansatzcharge der letzten Stufe | Rohdrogenfraktion I | eine Handvoll Ansatz
f86v5	f86v5.31	T	B	2	tol kaiin ytchdy chol ytedy ytain qodaiin ytody ykeshy ar	5	6	ytain	4	3|5|8|9	ytchdy|ytedy|ytody|ykeshy	kalt; nominal kaltes Gut/Material | heiß, Grad III | [ytchdy:?] | trocken; nominal trockenes Gut/Material | [ytedy:?] | hiervon auf Kältestufe II abkühlen | Qualitätsgrad III | [ytody:?] | [ykeshy:?] | Drogenfraktion I
f86v5	f86v5.35	T	B	2	ychey or aiin ytair ytaim otal shod qokchy qoody s aim	4	7	shod	3	5|9|11	ytaim|qoody|aim	trockne hiervon bis zur Mittelstufe und schließe ab | Drogenportion | Menge III | kühle hiervon die zweite Fraktion | [ytaim:?] | Rohstoffklasse I im Ansatz, kalt am Gradanfang | Feuchtansatz abschließen | heiß und trocken am Anfang des Grades | [qoody:?] | Samen-/Saatgutposten | [aim:?]
f86v6	f86v6.17	T	B	2	par or aiin dar aiiin qckhear shoy qotedy opchdy olain ar alkar am	3	7	shoy	2	6|12	qckhear|alkar	Pulverfraktion I | Drogenportion | Menge III | abgemessene Fraktion I | Menge-/Klassenwert IV | [qckhear:?] | Feuchtansatz leicht abschließen | kalt in der Mitte des Grades, abgeschlossen | fertiges Trockenpulverpräparat | Drogenstoff, Menge II | Drogenfraktion I | [alkar:?] | Maßeinheit I
f86v6	f86v6.20	T	B	2	pdaiiiy otol podaiin ocphey opchor olkshed qofod opdaiin odar dairody	8	9	odar	7	1|4|5|6|7|8|10	pdaiiiy|ocphey|opchor|olkshed|qofod|opdaiin|dairody	[pdaiiiy:?] | kaltes Zubereitungsgut | Pulverzubereitung, Dosis III | [ocphey:?] | [opchor:?] | [olkshed:?] | [qofod:?] | [opdaiin:?] | erste Ansatzfraktion abmessen | [dairody:?]
f86v6	f86v6.41	T	B	2	qokaiin octhy oltchey qotal lkalol sheol qotaiin ytain ytody	4	8	ytain	3	3|5|9	oltchey|lkalol|ytody	heiß, Grad III | CTH-Zubereitung/Ansatz, Grundform | [oltchey:?] | Rohstoffklasse I, kalt am Gradanfang | [lkalol:?] | feuchtes Material | kalt, Grad III | hiervon auf Kältestufe II abkühlen | [ytody:?]
f87r	f87r.15	H	A	1	shos cheol cheos ckhey saiin qockheo ldaiin	3	1	shos	2	6|7	qockheo|ldaiin	Charge Feuchtansatz | trockener Drogenstoff | Charge eines mitteltrockenen Ansatzes | Arzneikompositum in der Gradmitte | Samen/Saatgut, Typ/Charge III | [qockheo:?] | [ldaiin:?]
f87r	f87r.4	H	A	1	soraiin qockhos cheodor ckheokey chcthody s odar	5	7	odar	4	2|3|4|5	qockhos|cheodor|ckheokey|chcthody	Samenportion III | [qockhos:?] | [cheodor:?] | [ckheokey:?] | [chcthody:?] | Samen-/Saatgutposten | erste Ansatzfraktion abmessen
f87v	f87v.3	H	A	1	y cheockhy okey cthy yteeor os	2	6	os	1	5	yteeor	Eintrag: | trocken angesetztes Arzneikompositum am Gradanfang | heißer Ansatz in der Mitte des Grades | CTH-Drogenmaterial | [yteeor:?] | Ansatzcharge
