visible_surface	master_card_id	master_head_form	surface_role	corrected_semantic_atoms	surface_parse_de	observed_literal_cues	contextual_or_memorized_atoms	parse_class	short_default_de	observed_events	collision_guard
olor	MC157	cholor	OTHER_REGISTERED_ALLOGRAPH	OL+OR	FORTSETZEN + ANSATZ	OL=ol@0-2 | OR=or@2-4	NONE	RENDERER_ALIAS_PLUS_PRODUCTIVE_PARSE	Fortsetzungsansatz	1	NONE
olsaly	MC078	olsaly	FIXED_REGISTERED_FORM	AL+Y	ZIELSTELLE + DIESER POSTEN	AL=al@3-5 | Y=y@5-6	NONE	LITERAL_PRODUCTIVE_PARSE	untere Zielstelle	1	NONE
oltchy	MC021	oltchy	FIXED_REGISTERED_FORM	OL+CTH+Y	FORTSETZEN + BEREIT + DIESER POSTEN	OL=ol@0-2 | Y=y@5-6	CTH	LEXICAL_BODY_PLUS_PRODUCTIVE_SUFFIX	bereiten Posten weiterführen	1	NONE
or	MC080	chor	OTHER_REGISTERED_ALLOGRAPH	OR	ANSATZ	OR=or@0-2	NONE	RENDERER_ALIAS_PLUS_PRODUCTIVE_PARSE	Ansatz	2	NONE
orain	MC072	orain	FIXED_REGISTERED_FORM	OR+AIN	ANSATZ + PORTION	OR=or@0-2 | AIN=ain@2-5	NONE	LITERAL_PRODUCTIVE_PARSE	Ansatzportion	1	NONE
os	MC159	os	FIXED_REGISTERED_FORM	OS	TRÄGER	NONE	OS	MEMORIZED_WHOLE	Mischgefäß	1	NONE
otaiin	MC060	otaiin	MASTER_HEAD_FORM	OT+AIIN	DANACH + SOLLMAß	OT=ot@0-2 | AIIN=aiin@2-6	NONE	LITERAL_PRODUCTIVE_PARSE	Folgemaß	2	NONE
otal	MC093	otal	MASTER_HEAD_FORM	OT+AL	DANACH + ZIELSTELLE	OT=ot@0-2 | AL=al@2-4	NONE	LITERAL_PRODUCTIVE_PARSE	danach dorthin	1	NONE
otar	MC121	otar	FIXED_REGISTERED_FORM	OT+AR	DANACH + QUELLE	OT=ot@0-2 | AR=ar@2-4	NONE	LITERAL_PRODUCTIVE_PARSE	danach von dort	1	NONE
otchdy	MC067	otchdy	FIXED_REGISTERED_FORM	OT+CHD+CLOSE	DANACH + UMSETZEN + SCHLUSS	OT=ot@0-2 | CHD=chd@2-5 | CLOSE=dy@4-6	NONE	LEXICAL_BODY_PLUS_PRODUCTIVE_SUFFIX	Folgegang vollziehen; Schluss	1	NONE
otchedy	MC057	otchedy	MASTER_HEAD_FORM	OT+CHD+CLOSE	DANACH + UMSETZEN + SCHLUSS	OT=ot@0-2 | CHD=ched@2-6 | CLOSE=edy@4-7	NONE	LEXICAL_BODY_PLUS_PRODUCTIVE_SUFFIX	nächsten Posten überführen; Schluss	1	NONE
otchey	MC171	otchey	FIXED_REGISTERED_FORM	OT+Y	DANACH + DIESER POSTEN	OT=ot@0-2 | Y=y@5-6	NONE	LITERAL_PRODUCTIVE_PARSE	nächster Teilposten	2	NONE
otchor	MC013	otchor	MASTER_HEAD_FORM	OT+OR	DANACH + ANSATZ	OT=ot@0-2 | OR=or@4-6	NONE	LITERAL_PRODUCTIVE_PARSE	Folgeansatz	1	NONE
otedy	MC135	otedy	FIXED_REGISTERED_FORM	OT+E+CLOSE	DANACH + KURZ + SCHLUSS	OT=ot@0-2 | E=e@2-3 | CLOSE=edy@2-5	NONE	LEXICAL_BODY_PLUS_PRODUCTIVE_SUFFIX	kurze Folge; Schluss	2	NONE
oteey	MC063	oteey	FIXED_REGISTERED_FORM	OT+EE+Y	DANACH + LÄNGER + DIESER POSTEN	OT=ot@0-2 | EE=ee@2-4 | Y=y@4-5	NONE	LITERAL_PRODUCTIVE_PARSE	langer Folgeposten	2	NONE
otol	MC053	otol	FIXED_REGISTERED_FORM	OT+OL	DANACH + FORTSETZEN	OT=ot@0-2 | OL=ol@2-4	NONE	LITERAL_PRODUCTIVE_PARSE	danach fortsetzen	1	NONE
otytchol	MC069	otytchol	FIXED_REGISTERED_FORM	OT+TY+OL	DANACH + TEIL + FORTSETZEN	OT=ot@0-2 | TY=ty@1-3 | OL=ol@6-8	NONE	LITERAL_PRODUCTIVE_PARSE	naechsten Teilposten weiterfuehren	1	NONE
oykchor	MC027	oykchor	FIXED_REGISTERED_FORM	Y+KCH+OR	DIESER POSTEN + BEARBEITEN + ANSATZ	KCH=kch@2-5 | OR=or@5-7	Y	LEXICAL_BODY_PLUS_PRODUCTIVE_SUFFIX	aktuellen Ansatz bearbeiten	1	NONE
pchedal	MC126	pchedal	FIXED_REGISTERED_FORM	P+CHD+AL	ZUFÜHREN + UMSETZEN + ZIELSTELLE	P=p@0-1 | CHD=ched@1-5 | AL=al@5-7	NONE	LEXICAL_BODY_PLUS_PRODUCTIVE_SUFFIX	Einlass	1	NONE
pchedy	MC070	pchedy	FIXED_REGISTERED_FORM	P+CHD+CLOSE	ZUFÜHREN + UMSETZEN + SCHLUSS	P=p@0-1 | CHD=ched@1-5 | CLOSE=edy@3-6	NONE	LEXICAL_BODY_PLUS_PRODUCTIVE_SUFFIX	einführen; Schluss	1	NONE
qcthey	MC073	qcthey	MASTER_HEAD_FORM	CTH+E+Y	BEREIT + KURZ + DIESER POSTEN	CTH=cth@1-4 | E=e@4-5 | Y=y@5-6	NONE	LEXICAL_BODY_PLUS_PRODUCTIVE_SUFFIX	kurz bereithalten	1	NONE
qekey	MC052	qekey	FIXED_REGISTERED_FORM	KCH+E+Y	BEARBEITEN + KURZ + DIESER POSTEN	E=e@1-2 | Y=y@4-5	KCH	LEXICAL_BODY_PLUS_PRODUCTIVE_SUFFIX	aktuellen Posten kurz bearbeiten	1	NONE
qockhey	MC165	qockhey	FIXED_REGISTERED_FORM	OK+CKH+E+Y	ANSETZEN + DURCHLASS + KURZ + DIESER POSTEN	CKH=ckh@2-5 | E=e@5-6 | Y=y@6-7	OK	LEXICAL_BODY_PLUS_PRODUCTIVE_SUFFIX	kurzen Durchlauf ansetzen	1	NONE
qoctholy	MC115	qoctholy	FIXED_REGISTERED_FORM	CTH+OL+Y	BEREIT + FORTSETZEN + DIESER POSTEN	CTH=cth@2-5 | OL=ol@5-7 | Y=y@7-8	NONE	LEXICAL_BODY_PLUS_PRODUCTIVE_SUFFIX	bereiten Posten weiterfuehren	1	NONE
qokaiin	MC120	okaiin	Q_CELL_VARIANT	OK+AIIN	ANSETZEN + SOLLMAß	OK=ok@1-3 | AIIN=aiin@3-7	NONE	LITERAL_PRODUCTIVE_PARSE	auf Sollmaß einstellen	8	NONE
qokain	MC017	okain	Q_CELL_VARIANT	OK+AIN	ANSETZEN + PORTION	OK=ok@1-3 | AIN=ain@3-6	NONE	LITERAL_PRODUCTIVE_PARSE	eine Portion zugeben	4	NONE
qokal	MC040	okal	Q_CELL_VARIANT	OK+AL	ANSETZEN + ZIELSTELLE	OK=ok@1-3 | AL=al@3-5	NONE	LITERAL_PRODUCTIVE_PARSE	dort ansetzen	4	NONE
qokaly	MC054	qokaly	FIXED_REGISTERED_FORM	OK+AL+Y	ANSETZEN + ZIELSTELLE + DIESER POSTEN	OK=ok@1-3 | AL=al@3-5 | Y=y@5-6	NONE	LITERAL_PRODUCTIVE_PARSE	dies dort ansetzen	1	NONE
qokar	MC044	qokar	FIXED_REGISTERED_FORM	OK+AR	ANSETZEN + QUELLE	OK=ok@1-3 | AR=ar@3-5	NONE	LITERAL_PRODUCTIVE_PARSE	daraus ansetzen	1	NONE
qokchdy	MC088	qokchdy	FIXED_REGISTERED_FORM	OK+CHD+CLOSE	ANSETZEN + UMSETZEN + SCHLUSS	OK=ok@1-3 | CHD=chd@3-6 | CLOSE=dy@5-7	NONE	LEXICAL_BODY_PLUS_PRODUCTIVE_SUFFIX	Umsetzung ansetzen; Schluss	3	NONE
qokchedy	MC005	okchedy	Q_CELL_VARIANT	OK+CHD+CLOSE	ANSETZEN + UMSETZEN + SCHLUSS	OK=ok@1-3 | CHD=ched@3-7 | CLOSE=edy@5-8	NONE	LEXICAL_BODY_PLUS_PRODUCTIVE_SUFFIX	angesetzten Inhalt überführen; Schluss	1	NONE
qokchy	MC103	chokchy	Q_CELL_VARIANT	OK+Y	ANSETZEN + DIESER POSTEN	OK=ok@1-3 | Y=y@5-6	NONE	LITERAL_PRODUCTIVE_PARSE	Posten zur Weiterbearbeitung ansetzen	1	NONE
qokedy	MC083	qokedy	FIXED_REGISTERED_FORM	OK+E+CLOSE	ANSETZEN + KURZ + SCHLUSS	OK=ok@1-3 | E=e@3-4 | CLOSE=edy@3-6	NONE	LEXICAL_BODY_PLUS_PRODUCTIVE_SUFFIX	kurz ansetzen; Schluss	8	NONE
qokeedal	MC096	qokeedal	FIXED_REGISTERED_FORM	OK+EE+AL	ANSETZEN + LÄNGER + ZIELSTELLE	OK=ok@1-3 | EE=ee@3-5 | AL=al@6-8	NONE	LITERAL_PRODUCTIVE_PARSE	dort länger halten	1	NONE
qokeedy	MC082	qokeedy	FIXED_REGISTERED_FORM	OK+EE+CLOSE	ANSETZEN + LÄNGER + SCHLUSS	OK=ok@1-3 | EE=ee@3-5 | CLOSE=eedy@3-7	NONE	LEXICAL_BODY_PLUS_PRODUCTIVE_SUFFIX	länger ansetzen; Schluss	10	NONE
qokeeedy	MC140	qokeeedy	FIXED_REGISTERED_FORM	OK+EEE+CLOSE	ANSETZEN + VOLLSTÄNDIG + SCHLUSS	OK=ok@1-3 | EEE=eee@3-6 | CLOSE=eeedy@3-8	NONE	LEXICAL_BODY_PLUS_PRODUCTIVE_SUFFIX	vollständig ansetzen; Schluss	1	NONE
qokeey	MC002	okeey	Q_CELL_VARIANT	OK+EE+Y	ANSETZEN + LÄNGER + DIESER POSTEN	OK=ok@1-3 | EE=ee@3-5 | Y=y@5-6	NONE	LITERAL_PRODUCTIVE_PARSE	länger ansetzen	6	NONE
qokey	MC007	okey	Q_CELL_VARIANT	OK+E+Y	ANSETZEN + KURZ + DIESER POSTEN	OK=ok@1-3 | E=e@3-4 | Y=y@4-5	NONE	LITERAL_PRODUCTIVE_PARSE	kurz ansetzen	1	NONE
qokokchy	MC015	qokokchy	FIXED_REGISTERED_FORM	OK+OK+Y	ANSETZEN + ANSETZEN + DIESER POSTEN	OK=ok@1-3 | OK=ok@1-3 | Y=y@7-8	NONE	LITERAL_PRODUCTIVE_PARSE	erneut ansetzen	1	NONE
qokol	MC024	qokol	FIXED_REGISTERED_FORM	OK+OL	ANSETZEN + FORTSETZEN	OK=ok@1-3 | OL=ol@3-5	NONE	LITERAL_PRODUCTIVE_PARSE	Fortsetzung ansetzen	1	NONE
qokshedy	MC151	qokshedy	FIXED_REGISTERED_FORM	OK+SHED+CLOSE	ANSETZEN + ABSETZEN + SCHLUSS	OK=ok@1-3 | SHED=shed@3-7 | CLOSE=edy@5-8	NONE	LEXICAL_BODY_PLUS_PRODUCTIVE_SUFFIX	Absetzgang ansetzen; Schluss	1	NONE
qoky	MC026	choky	Q_CELL_VARIANT	OK+Y	ANSETZEN + DIESER POSTEN	OK=ok@1-3 | Y=y@3-4	NONE	LITERAL_PRODUCTIVE_PARSE	aktuellen Posten ansetzen	7	NONE
qokylddy	MC164	qokylddy	FIXED_REGISTERED_FORM	OK+Y+LDDY	ANSETZEN + DIESER POSTEN + BEFESTIGEN	OK=ok@1-3 | Y=y@7-8	LDDY	PRODUCTIVE_FRAME_PLUS_MEMORIZED_BODY	aktuellen Posten befestigen; Schluss	1	NONE
qol	MC153	cheol	Q_CELL_VARIANT	OL	FORTSETZEN	OL=ol@1-3	NONE	LITERAL_PRODUCTIVE_PARSE	fortsetzen	3	NONE
qolchedy	MC028	olchedy	Q_CELL_VARIANT	OL+CHD+CLOSE	FORTSETZEN + UMSETZEN + SCHLUSS	OL=ol@1-3 | CHD=ched@3-7 | CLOSE=edy@5-8	NONE	LEXICAL_BODY_PLUS_PRODUCTIVE_SUFFIX	weiterüberführen; Schluss	2	NONE
qolchey	MC162	qolchey	FIXED_REGISTERED_FORM	OL+Y	FORTSETZEN + DIESER POSTEN	OL=ol@1-3 | Y=y@6-7	NONE	LITERAL_PRODUCTIVE_PARSE	diesen Posten weiterfuehren	1	NONE
qolkain	MC097	olkain	Q_CELL_VARIANT	OL+AIN	FORTSETZEN + PORTION	OL=ol@1-3 | AIN=ain@4-7	NONE	LITERAL_PRODUCTIVE_PARSE	weitere Portion	1	NONE
qolky	MC134	qolky	FIXED_REGISTERED_FORM	OL	FORTSETZEN	OL=ol@1-3	NONE	LITERAL_PRODUCTIVE_PARSE	auf dem Arbeitsweg weiterleiten	1	NONE
qotal	MC093	otal	Q_CELL_VARIANT	OT+AL	DANACH + ZIELSTELLE	OT=ot@1-3 | AL=al@3-5	NONE	LITERAL_PRODUCTIVE_PARSE	danach dorthin	2	NONE
qotchedy	MC057	otchedy	Q_CELL_VARIANT	OT+CHD+CLOSE	DANACH + UMSETZEN + SCHLUSS	OT=ot@1-3 | CHD=ched@3-7 | CLOSE=edy@5-8	NONE	LEXICAL_BODY_PLUS_PRODUCTIVE_SUFFIX	nächsten Posten überführen; Schluss	1	NONE
qotchol	MC163	qotchol	FIXED_REGISTERED_FORM	OT+OL	DANACH + FORTSETZEN	OT=ot@1-3 | OL=ol@5-7	NONE	LITERAL_PRODUCTIVE_PARSE	danach weiterfuehren	1	NONE
qotchor	MC013	otchor	Q_CELL_VARIANT	OT+OR	DANACH + ANSATZ	OT=ot@1-3 | OR=or@5-7	NONE	LITERAL_PRODUCTIVE_PARSE	Folgeansatz	1	NONE
qotchy	MC107	qotchy	FIXED_REGISTERED_FORM	OT+Y	DANACH + DIESER POSTEN	OT=ot@1-3 | Y=y@5-6	NONE	LITERAL_PRODUCTIVE_PARSE	anschließender Arbeitsposten	1	NONE
qotedaiin	MC018	qotedaiin	FIXED_REGISTERED_FORM	OT+E+AIIN	DANACH + KURZ + SOLLMAß	OT=ot@1-3 | E=e@3-4 | AIIN=aiin@5-9	NONE	LITERAL_PRODUCTIVE_PARSE	kurzes Folgemass	1	NONE
qoteedy	MC173	qoteedy	FIXED_REGISTERED_FORM	OT+EE+CLOSE	DANACH + LÄNGER + SCHLUSS	OT=ot@1-3 | EE=ee@3-5 | CLOSE=eedy@3-7	NONE	LEXICAL_BODY_PLUS_PRODUCTIVE_SUFFIX	lange Folge; Schluss	2	NONE
ral	MC056	ral	FIXED_REGISTERED_FORM	AL	ZIELSTELLE	AL=al@1-3	NONE	LITERAL_PRODUCTIVE_PARSE	zur Zielstelle	1	NONE
raly	MC046	raly	FIXED_REGISTERED_FORM	AL+Y	ZIELSTELLE + DIESER POSTEN	AL=al@1-3 | Y=y@3-4	NONE	LITERAL_PRODUCTIVE_PARSE	diesen Posten dorthin	1	NONE
rol	MC016	rol	FIXED_REGISTERED_FORM	OL	FORTSETZEN	OL=ol@1-3	NONE	LITERAL_PRODUCTIVE_PARSE	vom vorigen Gang weiterführen	1	NONE
rsheal	MC102	rsheal	FIXED_REGISTERED_FORM	SH+E+AL	HALTEN + KURZ + ZIELSTELLE	SH=sh@1-3 | E=e@3-4 | AL=al@4-6	NONE	LEXICAL_BODY_PLUS_PRODUCTIVE_SUFFIX	kurz am Ziel ruhen	1	NONE
rshedy	MC084	rshedy	FIXED_REGISTERED_FORM	WASH+CLOSE	WASCHEN + SCHLUSS	CLOSE=edy@3-6	WASH	LEXICAL_BODY_PLUS_PRODUCTIVE_SUFFIX	Waschgang abschließen	1	NONE
saiin	MC039	aiin	S_LINE_VARIANT	AIIN	SOLLMAß	AIIN=aiin@1-5	NONE	LITERAL_PRODUCTIVE_PARSE	Sollmaß	4	NONE
sal	MC154	al	S_LINE_VARIANT	AL	ZIELSTELLE	AL=al@1-3	NONE	LITERAL_PRODUCTIVE_PARSE	dorthin	1	NONE
sar	MC055	char	S_LINE_VARIANT	AR	QUELLE	AR=ar@1-3	NONE	LITERAL_PRODUCTIVE_PARSE	aus dem Ansatz	1	NONE
schedair	MC116	schedair	FIXED_REGISTERED_FORM	AIR	LAUFFLÜSSIGKEIT	AIR=air@5-8	NONE	LITERAL_PRODUCTIVE_PARSE	Wasser weiterleiten	1	NONE
schedy	MC025	dchedy	S_LINE_VARIANT	CHD+CLOSE	UMSETZEN + SCHLUSS	CHD=ched@1-5 | CLOSE=edy@3-6	NONE	LEXICAL_BODY_PLUS_PRODUCTIVE_SUFFIX	Posten überführen; Schluss	2	NONE
schoal	MC049	schoal	FIXED_REGISTERED_FORM	HO+AL	ZUTAT + ZIELSTELLE	HO=cho@1-4 | AL=al@4-6	NONE	LEXICAL_BODY_PLUS_PRODUCTIVE_SUFFIX	Zutat an die Arbeitsstelle geben	1	NONE
schol	MC142	dchol	S_LINE_VARIANT	DCHOL	VORIGER POSTEN	NONE	DCHOL	MEMORIZED_WHOLE	vorigen Posten fortsetzen	1	NONE
sh	MC114	sh	FIXED_REGISTERED_FORM	SH	HALTEN	SH=sh@0-2	NONE	LEXICAL_ROOT_ONLY	halten	1	NONE
shckhedy	MC143	shckhedy	FIXED_REGISTERED_FORM	CKHE+CLOSE	SEIHEN + SCHLUSS	CKHE=ckhe@2-6 | CLOSE=edy@5-8	NONE	LEXICAL_BODY_PLUS_PRODUCTIVE_SUFFIX	seihen; Schluss	3	NONE
shckhy	MC035	chckhy	S_LINE_VARIANT	CKH+Y	DURCHLASS + DIESER POSTEN	CKH=ckh@2-5 | Y=y@5-6	NONE	LEXICAL_BODY_PLUS_PRODUCTIVE_SUFFIX	durchleiten	1	NONE
shcthey	MC073	qcthey	S_LINE_VARIANT	CTH+E+Y	BEREIT + KURZ + DIESER POSTEN	CTH=cth@2-5 | E=e@5-6 | Y=y@6-7	NONE	LEXICAL_BODY_PLUS_PRODUCTIVE_SUFFIX	kurz bereithalten	1	NONE
shcthy	MC161	checthy	S_LINE_VARIANT	CTH+Y	BEREIT + DIESER POSTEN	CTH=cth@2-5 | Y=y@5-6	NONE	LEXICAL_BODY_PLUS_PRODUCTIVE_SUFFIX	bereit	2	NONE
sheckhal	MC058	sheckhal	FIXED_REGISTERED_FORM	CKH+E+AL	DURCHLASS + KURZ + ZIELSTELLE	CKH=ckh@3-6 | E=e@2-3 | AL=al@6-8	NONE	LEXICAL_BODY_PLUS_PRODUCTIVE_SUFFIX	kurz zur Zielstelle durchleiten	1	NONE
sheckhy	MC132	sheckhy	FIXED_REGISTERED_FORM	CKH+E+Y	DURCHLASS + KURZ + DIESER POSTEN	CKH=ckh@3-6 | E=e@2-3 | Y=y@6-7	NONE	LEXICAL_BODY_PLUS_PRODUCTIVE_SUFFIX	kurz durchleiten	1	NONE
shecthedchy	MC043	shecthedchy	FIXED_REGISTERED_FORM	CTH+CHD+Y	BEREIT + UMSETZEN + DIESER POSTEN	CTH=cth@3-6 | Y=y@10-11	CHD	LEXICAL_BODY_PLUS_PRODUCTIVE_SUFFIX	bereiten Posten umsetzen	1	NONE
shecthy	MC137	shecthy	FIXED_REGISTERED_FORM	CTH+E+Y	BEREIT + KURZ + DIESER POSTEN	CTH=cth@3-6 | E=e@2-3 | Y=y@6-7	NONE	LEXICAL_BODY_PLUS_PRODUCTIVE_SUFFIX	kurz bereit halten	1	NONE
shedal	MC113	shedal	FIXED_REGISTERED_FORM	SHED+AL	ABSETZEN + ZIELSTELLE	SHED=shed@0-4 | AL=al@4-6	NONE	LEXICAL_BODY_PLUS_PRODUCTIVE_SUFFIX	dort absetzen	2	NONE
shedy	MC128	cheedy	S_LINE_VARIANT	SHED+E+CLOSE	ABSETZEN + KURZ + SCHLUSS	SHED=shed@0-4 | E=e@2-3 | CLOSE=edy@2-5	NONE	LEXICAL_BODY_PLUS_PRODUCTIVE_SUFFIX	kurz absetzen lassen; Schluss	10	NONE
sheedy	MC003	sheedy	FIXED_REGISTERED_FORM	SHED+EE+CLOSE	ABSETZEN + LÄNGER + SCHLUSS	EE=ee@2-4 | CLOSE=eedy@2-6	SHED	LEXICAL_BODY_PLUS_PRODUCTIVE_SUFFIX	länger absetzen; Schluss	1	NONE
sheey	MC095	sheey	FIXED_REGISTERED_FORM	SH+EE+Y	HALTEN + LÄNGER + DIESER POSTEN	SH=sh@0-2 | EE=ee@2-4 | Y=y@4-5	NONE	LEXICAL_BODY_PLUS_PRODUCTIVE_SUFFIX	laenger ruhen	1	NONE
shey	MC119	cheey	S_LINE_VARIANT	CHEEY	KLARAUSZUG	NONE	CHEEY	MEMORIZED_WHOLE	klarer Auszug	2	NONE
shfydaiin	MC111	shfydaiin	FIXED_REGISTERED_FORM	SH+AIIN	HALTEN + SOLLMAß	SH=sh@0-2 | AIIN=aiin@5-9	NONE	LEXICAL_BODY_PLUS_PRODUCTIVE_SUFFIX	Standmaß	1	NONE
sho	MC034	cho	S_LINE_VARIANT	HO	ZUTAT	HO=sho@0-3	NONE	LEXICAL_ROOT_ONLY	Zutat	2	NONE
shor	MC080	chor	S_LINE_VARIANT	OR	ANSATZ	OR=or@2-4	NONE	LITERAL_PRODUCTIVE_PARSE	Ansatz	1	NONE
shoyty	MC062	shoyty	FIXED_REGISTERED_FORM	HO+Y+TY	ZUTAT + DIESER POSTEN + TEIL	HO=sho@0-3 | Y=y@5-6 | TY=ty@4-6	NONE	LEXICAL_BODY_PLUS_PRODUCTIVE_SUFFIX	Zutatenteil	1	NONE
shy	MC123	chey	S_LINE_VARIANT	Y	DIESER POSTEN	Y=y@2-3	NONE	LITERAL_PRODUCTIVE_PARSE	dieser Posten	1	NONE
skar	MC089	skar	FIXED_REGISTERED_FORM	SK+AR	AUSGIESSEN + QUELLE	AR=ar@2-4	SK	PRODUCTIVE_FRAME_PLUS_MEMORIZED_BODY	vom Ausgang ausgießen	1	NONE
soiiin	MC033	oiiin	S_LINE_VARIANT	IIN	STUFE	IIN=iiin@2-6	NONE	LITERAL_PRODUCTIVE_PARSE	Sollstufe	1	NONE
sol	MC153	cheol	S_LINE_VARIANT	OL	FORTSETZEN	OL=ol@1-3	NONE	LITERAL_PRODUCTIVE_PARSE	fortsetzen	3	NONE
solkaiin	MC036	solkaiin	FIXED_REGISTERED_FORM	SOLK+AIIN	SAMMELN + SOLLMAß	SOLK=solk@0-4 | AIIN=aiin@4-8	NONE	LEXICAL_BODY_PLUS_PRODUCTIVE_SUFFIX	bis Sollmass sammeln	1	NONE
solkeedy	MC045	olkeedy	S_LINE_VARIANT	SOLK+EE+CLOSE	SAMMELN + LÄNGER + SCHLUSS	SOLK=solk@0-4 | EE=ee@4-6 | CLOSE=eedy@4-8	NONE	LEXICAL_BODY_PLUS_PRODUCTIVE_SUFFIX	länger sammeln; Schluss	1	NONE
solkeey	MC020	solkeey	FIXED_REGISTERED_FORM	SOLK+EE+Y	SAMMELN + LÄNGER + DIESER POSTEN	SOLK=solk@0-4 | EE=ee@4-6 | Y=y@6-7	NONE	LEXICAL_BODY_PLUS_PRODUCTIVE_SUFFIX	länger sammeln	1	NONE
solkey	MC050	solkey	FIXED_REGISTERED_FORM	SOLK+E+Y	SAMMELN + KURZ + DIESER POSTEN	SOLK=solk@0-4 | E=e@4-5 | Y=y@5-6	NONE	LEXICAL_BODY_PLUS_PRODUCTIVE_SUFFIX	kurz sammeln	1	NONE
solshedy	MC149	solshedy	FIXED_REGISTERED_FORM	OL+SHED+CLOSE	FORTSETZEN + ABSETZEN + SCHLUSS	OL=ol@1-3 | SHED=shed@3-7 | CLOSE=edy@5-8	NONE	LEXICAL_BODY_PLUS_PRODUCTIVE_SUFFIX	weiter absetzen; Schluss	1	NONE
sor	MC080	chor	S_LINE_VARIANT	OR	ANSATZ	OR=or@1-3	NONE	LITERAL_PRODUCTIVE_PARSE	Ansatz	1	NONE
sotaiin	MC060	otaiin	S_LINE_VARIANT	OT+AIIN	DANACH + SOLLMAß	OT=ot@1-3 | AIIN=aiin@3-7	NONE	LITERAL_PRODUCTIVE_PARSE	Folgemaß	1	NONE
sotodan	MC068	sotodan	FIXED_REGISTERED_FORM	OT+DAN	DANACH + ANWENDEN	OT=ot@1-3	DAN	PRODUCTIVE_FRAME_PLUS_MEMORIZED_BODY	danach anwenden	1	NONE
sshkchdy	MC061	sshkchdy	FIXED_REGISTERED_FORM	SH+KCH+CHD+CLOSE	HALTEN + BEARBEITEN + UMSETZEN + SCHLUSS	SH=sh@1-3 | KCH=kch@3-6 | CHD=chd@4-7 | CLOSE=dy@6-8	NONE	LEXICAL_BODY_PLUS_PRODUCTIVE_SUFFIX	im Arbeitsgang schwenken; Schluss	1	NONE
sy	MC123	chey	S_LINE_VARIANT	Y	DIESER POSTEN	Y=y@1-2	NONE	LITERAL_PRODUCTIVE_PARSE	dieser Posten	1	NONE
taiin	MC039	aiin	OTHER_REGISTERED_ALLOGRAPH	AIIN	SOLLMAß	AIIN=aiin@1-5	NONE	RENDERER_ALIAS_PLUS_PRODUCTIVE_PARSE	Sollmaß	1	NONE
tal	MC154	al	OTHER_REGISTERED_ALLOGRAPH	AL	ZIELSTELLE	AL=al@1-3	NONE	RENDERER_ALIAS_PLUS_PRODUCTIVE_PARSE	dorthin	1	NONE
talam	MC160	talam	FIXED_REGISTERED_FORM	AL+AM	ZIELSTELLE + VERWAHREN	AL=al@1-3	AM	PRODUCTIVE_FRAME_PLUS_MEMORIZED_BODY	am Ziel verwahren	1	NONE
tchedy	MC025	dchedy	OTHER_REGISTERED_ALLOGRAPH	CHD+CLOSE	UMSETZEN + SCHLUSS	CHD=ched@1-5 | CLOSE=edy@3-6	NONE	LEXICAL_BODY_PLUS_PRODUCTIVE_SUFFIX	Posten überführen; Schluss	1	NONE
tchody	MC037	tchody	FIXED_REGISTERED_FORM	HO+CLOSE	ZUTAT + SCHLUSS	HO=cho@1-4 | CLOSE=dy@4-6	NONE	LEXICAL_BODY_PLUS_PRODUCTIVE_SUFFIX	Eingangsposten beiseitestellen; Schluss	1	NONE
tedy	MC128	cheedy	OTHER_REGISTERED_ALLOGRAPH	SHED+E+CLOSE	ABSETZEN + KURZ + SCHLUSS	E=e@1-2 | CLOSE=edy@1-4	SHED	LEXICAL_BODY_PLUS_PRODUCTIVE_SUFFIX	kurz absetzen lassen; Schluss	1	NONE
teol	MC106	teol	FIXED_REGISTERED_FORM	E+OL	KURZ + FORTSETZEN	E=e@1-2 | OL=ol@2-4	NONE	LITERAL_PRODUCTIVE_PARSE	kurz weiterleiten	1	NONE
tol	MC153	cheol	OTHER_REGISTERED_ALLOGRAPH	OL	FORTSETZEN	OL=ol@1-3	NONE	RENDERER_ALIAS_PLUS_PRODUCTIVE_PARSE	fortsetzen	1	NONE
tshey	MC141	tshey	FIXED_REGISTERED_FORM	CHEEY	KLARAUSZUG	NONE	CHEEY	MEMORIZED_WHOLE	Klarlauf zugeben	1	NONE
tshol	MC098	tshol	FIXED_REGISTERED_FORM	HO+L	ZUTAT + ABFÜHREN	HO=sho@1-4	L	LEXICAL_BODY_PLUS_PRODUCTIVE_SUFFIX	Zutat entnehmen	1	NONE
y	MC123	chey	OTHER_REGISTERED_ALLOGRAPH	Y	DIESER POSTEN	Y=y@0-1	NONE	RENDERER_ALIAS_PLUS_PRODUCTIVE_PARSE	dieser Posten	1	NONE
ycheor	MC075	ycheor	FIXED_REGISTERED_FORM	Y+CHEO+OR	DIESER POSTEN + AUSZUG + ANSATZ	CHEO=cheo@1-5 | OR=or@4-6	Y	LEXICAL_BODY_PLUS_PRODUCTIVE_SUFFIX	Auszugsansatz	1	NONE
ykaiin	MC170	ykaiin	FIXED_REGISTERED_FORM	Y+AIIN	DIESER POSTEN + SOLLMAß	AIIN=aiin@2-6	Y	LITERAL_PRODUCTIVE_PARSE	Postenmaß	1	NONE
ykain	MC047	ykain	FIXED_REGISTERED_FORM	Y+AIN	DIESER POSTEN + PORTION	AIN=ain@2-5	Y	LITERAL_PRODUCTIVE_PARSE	Postenportion	1	NONE
