master_card_id	master_head_form	registered_surface_family	corrected_semantic_atoms	literal_predictive_atoms	learned_or_contextual_atoms	parse_class	short_default_de	imperative_de	prose_events	surface_forms	surface_forms_with_observed_cue	forward_reading_rule	correction_from_previous_pass
MC123	chey	chey|chy|dy|shy|sy|y	Y	Y	NONE	LITERAL_PRODUCTIVE_PARSE	dieser Posten	Nimm den aktuellen Posten	18	6	6	DIESER POSTEN	NO
MC124	lkedy	lkedy	L+E+CLOSE	L+E+CLOSE	NONE	LEXICAL_BODY_PLUS_PRODUCTIVE_SUFFIX	kurz abführen; Schluss	Führe kurz ab und schließe	1	1	1	ABFÜHREN -> KURZ -> SCHLUSS	NO
MC125	chochor	chochor	HO+OR	HO+OR	NONE	LEXICAL_BODY_PLUS_PRODUCTIVE_SUFFIX	Zutatenansatz	Bereite den Eingangsansatz	1	1	1	ZUTAT -> ANSATZ	NO
MC126	pchedal	pchedal	P+CHD+AL	P+CHD+AL	NONE	LEXICAL_BODY_PLUS_PRODUCTIVE_SUFFIX	Einlass	Führe zum Ziel ein	1	1	1	ZUFÜHREN -> UMSETZEN -> ZIELSTELLE	NO
MC127	lched	lched	L+CHD	L+CHD	NONE	LEXICAL_BODY_PLUS_PRODUCTIVE_SUFFIX	abführen	Führe ab	1	1	1	ABFÜHREN -> UMSETZEN	NO
MC128	cheedy	cheedy|shedy|tedy	SHED+E+CLOSE	SHED+E+CLOSE	NONE	LEXICAL_BODY_PLUS_PRODUCTIVE_SUFFIX	kurz absetzen lassen; Schluss	Lass kurz absetzen und schließe	12	3	3	ABSETZEN -> KURZ -> SCHLUSS	NO
MC129	cfhy	cfhy	CFH+Y	Y	CFH	PRODUCTIVE_FRAME_PLUS_MEMORIZED_BODY	aktuellen Posten auswringen	Wringe den aktuellen Posten aus	1	1	1	AUSWRINGEN -> DIESER POSTEN	NO
MC130	lsho	lsho	WASH	NONE	WASH	MEMORIZED_WHOLE	Waschgang beginnen	Führe den Waschgang aus	1	1	0	WASCHEN	NO
MC131	choy	choy	HO+Y	HO+Y	NONE	LEXICAL_BODY_PLUS_PRODUCTIVE_SUFFIX	diese Zutat	Nimm den aktuellen Eingangsposten	1	1	1	ZUTAT -> DIESER POSTEN	NO
MC132	sheckhy	sheckhy	CKH+E+Y	CKH+E+Y	NONE	LEXICAL_BODY_PLUS_PRODUCTIVE_SUFFIX	kurz durchleiten	Leite kurz durch	1	1	1	DURCHLASS -> KURZ -> DIESER POSTEN	NO
MC133	lcheckhedy	lcheckhedy	L+CKHE+CLOSE	L+CKHE+CLOSE	NONE	LEXICAL_BODY_PLUS_PRODUCTIVE_SUFFIX	abseihen; Schluss	Seihe ab und schließe	1	1	1	ABFÜHREN -> SEIHEN -> SCHLUSS	NO
MC134	qolky	qolky	OL	OL	NONE	LITERAL_PRODUCTIVE_PARSE	auf dem Arbeitsweg weiterleiten	Führe auf dem Arbeitsweg fort	1	1	1	FORTSETZEN	NO
MC135	otedy	otedy	OT+E+CLOSE	OT+E+CLOSE	NONE	LEXICAL_BODY_PLUS_PRODUCTIVE_SUFFIX	kurze Folge; Schluss	Führe die kurze Folge aus und schließe	2	1	1	DANACH -> KURZ -> SCHLUSS	NO
MC136	kchoar	kchoar	CHEO+AR	CHEO+AR	NONE	LEXICAL_BODY_PLUS_PRODUCTIVE_SUFFIX	Auszug daraus	Nimm den Auszug vom Ausgang	1	1	1	AUSZUG -> QUELLE	NO
MC137	shecthy	shecthy	CTH+E+Y	CTH+E+Y	NONE	LEXICAL_BODY_PLUS_PRODUCTIVE_SUFFIX	kurz bereit halten	Halte kurz bereit	1	1	1	BEREIT -> KURZ -> DIESER POSTEN	NO
MC138	dshedy	dshedy	SHED+E+CLOSE	SHED+E+CLOSE	NONE	LEXICAL_BODY_PLUS_PRODUCTIVE_SUFFIX	kurz absetzen; Schluss	Lass kurz absetzen und schließe	1	1	1	ABSETZEN -> KURZ -> SCHLUSS	NO
MC139	dchdy	dchdy	CHD+CLOSE	CHD+CLOSE	NONE	LEXICAL_BODY_PLUS_PRODUCTIVE_SUFFIX	weitergeführten Posten überführen; Schluss	Übertrage und schließe	1	1	1	UMSETZEN -> SCHLUSS	NO
MC140	qokeeedy	qokeeedy	OK+EEE+CLOSE	OK+EEE+CLOSE	NONE	LEXICAL_BODY_PLUS_PRODUCTIVE_SUFFIX	vollständig ansetzen; Schluss	Setze vollständig und schließe	1	1	1	ANSETZEN -> VOLLSTÄNDIG -> SCHLUSS	NO
MC141	tshey	tshey	CHEEY	NONE	CHEEY	MEMORIZED_WHOLE	Klarlauf zugeben	Lies den freigegebenen Wert	1	1	0	KLARAUSZUG	NO
MC142	dchol	dchol|schol	DCHOL	NONE	DCHOL	MEMORIZED_WHOLE	vorigen Posten fortsetzen	Nimm den vorigen Posten wieder auf	2	2	0	VORIGER POSTEN	YES
MC143	shckhedy	shckhedy	CKHE+CLOSE	CKHE+CLOSE	NONE	LEXICAL_BODY_PLUS_PRODUCTIVE_SUFFIX	seihen; Schluss	Seihe und schließe	3	1	1	SEIHEN -> SCHLUSS	NO
MC144	chldaiin	chldaiin	SHED+AIIN	SHED+AIIN	NONE	LEXICAL_BODY_PLUS_PRODUCTIVE_SUFFIX	Absetzmaß	Stelle den Absetzwert ein	1	1	1	ABSETZEN -> SOLLMAß	NO
MC145	chedain	chedain	CHD+AIN	CHD+AIN	NONE	LEXICAL_BODY_PLUS_PRODUCTIVE_SUFFIX	Portion umsetzen	Übertrage einen Anteil	1	1	1	UMSETZEN -> PORTION	NO
MC146	chealror	chealror	AL+OR	AL+OR	NONE	LITERAL_PRODUCTIVE_PARSE	Ansatz von dort zur Zielstelle	Führe den Ansatz zum Ziel	1	1	1	ZIELSTELLE -> ANSATZ	NO
MC147	cheky	cheky	CHK+E+Y	CHK+E+Y	NONE	LEXICAL_BODY_PLUS_PRODUCTIVE_SUFFIX	kurz wärmen	Wärme kurz	3	1	1	WÄRMEN -> KURZ -> DIESER POSTEN	NO
MC148	ykan	ykan	Y+AIN	Y+AIN	NONE	LITERAL_PRODUCTIVE_PARSE	dieser Anteil	Nimm den aktuellen Anteil	1	1	0	DIESER POSTEN -> PORTION	NO
MC149	solshedy	solshedy	OL+SHED+CLOSE	OL+SHED+CLOSE	NONE	LEXICAL_BODY_PLUS_PRODUCTIVE_SUFFIX	weiter absetzen; Schluss	Lass weiter absetzen und schließe	1	1	1	FORTSETZEN -> ABSETZEN -> SCHLUSS	NO
MC150	okeeol	okeeol	OK+EE+OL	OK+EE+OL	NONE	LITERAL_PRODUCTIVE_PARSE	länger fortführen	Führe länger fort	1	1	1	ANSETZEN -> LÄNGER -> FORTSETZEN	NO
MC151	qokshedy	qokshedy	OK+SHED+CLOSE	OK+SHED+CLOSE	NONE	LEXICAL_BODY_PLUS_PRODUCTIVE_SUFFIX	Absetzgang ansetzen; Schluss	Beginne den Absetzgang und schließe	1	1	1	ANSETZEN -> ABSETZEN -> SCHLUSS	NO
MC152	ches	ches	PARTITION	NONE	PARTITION	MEMORIZED_WHOLE	teilen	Trenne	1	1	0	TEILEN	NO
MC153	cheol	cheol|chol|ol|qol|sol|tol	OL	OL	NONE	LITERAL_PRODUCTIVE_PARSE	fortsetzen	Führe fort	19	6	6	FORTSETZEN	NO
MC154	al	al|chal|cheal|dal|sal|tal	AL	AL	NONE	RENDERER_ALIAS_PLUS_PRODUCTIVE_PARSE	dorthin	Führe zum Ziel	10	6	6	ZIELSTELLE	NO
MC155	lchedy	lchedy	L+CHD+CLOSE	L+CHD+CLOSE	NONE	LEXICAL_BODY_PLUS_PRODUCTIVE_SUFFIX	abführen; Schluss	Führe ab und schließe	8	1	1	ABFÜHREN -> UMSETZEN -> SCHLUSS	NO
MC156	cphy	cphy	CPH+Y	Y	CPH	PRODUCTIVE_FRAME_PLUS_MEMORIZED_BODY	aktuellen Posten nachseihen	Seihe den aktuellen Posten nach	1	1	1	NACHSEIHEN -> DIESER POSTEN	NO
MC157	cholor	cholor|olor	OL+OR	OL+OR	NONE	LITERAL_PRODUCTIVE_PARSE	Fortsetzungsansatz	Führe den Ansatz weiter	2	2	2	FORTSETZEN -> ANSATZ	NO
MC158	cthoor	cthoor	CTH+OR	CTH+OR	NONE	LEXICAL_BODY_PLUS_PRODUCTIVE_SUFFIX	Ansatz bereit	Halte den Ansatz bereit	1	1	1	BEREIT -> ANSATZ	NO
MC159	os	os	OS	NONE	OS	MEMORIZED_WHOLE	Mischgefäß	Gib in den umschließenden Träger	1	1	0	TRÄGER	NO
MC160	talam	talam	AL+AM	AL	AM	PRODUCTIVE_FRAME_PLUS_MEMORIZED_BODY	am Ziel verwahren	Verwahre am Ziel	1	1	1	ZIELSTELLE -> VERWAHREN	NO
MC161	checthy	checthy|cthy|shcthy	CTH+Y	CTH+Y	NONE	LEXICAL_BODY_PLUS_PRODUCTIVE_SUFFIX	bereit	Halte den Posten bereit	7	3	3	BEREIT -> DIESER POSTEN	NO
MC162	qolchey	qolchey	OL+Y	OL+Y	NONE	LITERAL_PRODUCTIVE_PARSE	diesen Posten weiterfuehren	Führe den aktuellen Posten fort	1	1	1	FORTSETZEN -> DIESER POSTEN	NO
MC163	qotchol	qotchol	OT+OL	OT+OL	NONE	LITERAL_PRODUCTIVE_PARSE	danach weiterfuehren	Danach führe fort	1	1	1	DANACH -> FORTSETZEN	NO
MC164	qokylddy	qokylddy	OK+Y+LDDY	OK+Y	LDDY	PRODUCTIVE_FRAME_PLUS_MEMORIZED_BODY	aktuellen Posten befestigen; Schluss	Befestige den aktuellen Posten und schließe	1	1	1	ANSETZEN -> DIESER POSTEN -> BEFESTIGEN	NO
MC165	qockhey	qockhey	OK+CKH+E+Y	OK+CKH+E+Y	NONE	LEXICAL_BODY_PLUS_PRODUCTIVE_SUFFIX	kurzen Durchlauf ansetzen	Setze den kurzen Durchlauf	1	1	1	ANSETZEN -> DURCHLASS -> KURZ -> DIESER POSTEN	NO
MC166	chkeey	chkeey	CHK+EE+Y	CHK+EE+Y	NONE	LEXICAL_BODY_PLUS_PRODUCTIVE_SUFFIX	diesen Posten länger warm halten	Wärme länger	1	1	1	WÄRMEN -> LÄNGER -> DIESER POSTEN	NO
MC167	lochedy	lochedy	L+CHD+CLOSE	L+CHD+CLOSE	NONE	LEXICAL_BODY_PLUS_PRODUCTIVE_SUFFIX	Rest abfuehren; Schluss	Führe den Rest ab und schließe	1	1	1	ABFÜHREN -> UMSETZEN -> SCHLUSS	NO
MC168	lcheckhy	lcheckhy	L+CKH+Y	L+CKH+Y	NONE	LEXICAL_BODY_PLUS_PRODUCTIVE_SUFFIX	Ausgangsdurchlass	Führe den Posten durch den Ausgang	1	1	1	ABFÜHREN -> DURCHLASS -> DIESER POSTEN	NO
MC169	cthaiin	cthaiin	CTH+AIIN	CTH+AIIN	NONE	LEXICAL_BODY_PLUS_PRODUCTIVE_SUFFIX	Fertigmaß	Stelle den Bereitwert ein	1	1	1	BEREIT -> SOLLMAß	NO
MC170	ykaiin	ykaiin	Y+AIIN	Y+AIIN	NONE	LITERAL_PRODUCTIVE_PARSE	Postenmaß	Stelle den Postenwert ein	1	1	1	DIESER POSTEN -> SOLLMAß	NO
MC171	otchey	otchey	OT+Y	OT+Y	NONE	LITERAL_PRODUCTIVE_PARSE	nächster Teilposten	Nimm den nächsten Posten	2	1	1	DANACH -> DIESER POSTEN	NO
MC172	daiiin	daiiin	IIN	IIN	NONE	LITERAL_PRODUCTIVE_PARSE	Öffnungsstufe	Stelle die Stufe ein	1	1	1	STUFE	NO
MC173	qoteedy	qoteedy	OT+EE+CLOSE	OT+EE+CLOSE	NONE	LEXICAL_BODY_PLUS_PRODUCTIVE_SUFFIX	lange Folge; Schluss	Führe die lange Folge aus und schließe	2	1	1	DANACH -> LÄNGER -> SCHLUSS	NO
