master_card_id	master_form	registered_surfaces	construction_class	component_parse	portable_core_de	local_prose_expansion_de	prose_event_count	records	writing_rule
MC158	cthoor	cthoor	PRODUCTIVE_COMPOSITION	CTH + OR	den Ansatz bereitstellen	den Ansatz bereitstellen	1	H1	read the licensed components from left to right
MC159	os	os	FRAME_PLUS_LOCAL_CORE	OS	AUFNAHMEFELD_ODER_UMSCHLUSS	Aufnahmegefäß	1	H1	read the productive frame and retrieve the remaining local core
MC160	talam	talam	WHOLE_SIGN	TALAM	Verwahrort	Verwahrort	1	H4	retrieve the complete learned sign; do not decompose it
MC161	checthy	checthy|cthy|shcthy	FRAME_PLUS_LOCAL_CORE	CTH_READY+Y_CURRENT	bereit	bereit	7	B3|H1|H2|H3	read the productive frame and retrieve the remaining local core
MC162	qolchey	qolchey	PRODUCTIVE_COMPOSITION	OL_CONTINUE+Y_CURRENT	Weiterposten	Weiterposten	1	B4	read the licensed components from left to right
MC163	qotchol	qotchol	PRODUCTIVE_COMPOSITION	OT + OL	DANACH_WEITER	den Folgegang fortsetzen	1	H1	read the licensed components from left to right
MC164	qokylddy	qokylddy	WHOLE_SIGN	OK+Y_ITEM+LDDY_FASTEN_CLOSE	befestigen; Schluss	befestigen; Schluss	1	B4	retrieve the complete learned sign; do not decompose it
MC165	qockhey	qockhey	PRODUCTIVE_COMPOSITION	OK_SET+CKH_THROUGH+E_SHORT+Y_CURRENT	Kurzdurchgang	Kurzdurchgang	1	B4	read the licensed components from left to right
MC166	chkeey	chkeey	PRODUCTIVE_COMPOSITION	CHK_WARM+GRADE_2+Y_CURRENT	Langwärmen	Langwärmen	1	B2	read the licensed components from left to right
MC167	lochedy	lochedy	PRODUCTIVE_COMPOSITION	L_OUT+O_RESIDUAL_BRANCH+CHED_TRANSFER+CLOSE_EXACT	Abführung; Schluss	Abführung; Schluss	1	B2	read the licensed components from left to right
MC168	lcheckhy	lcheckhy	PRODUCTIVE_COMPOSITION	L_OUT+CKH_THROUGH+Y_ITEM	Abführpassage	Abführpassage	1	B2	read the licensed components from left to right
MC169	cthaiin	cthaiin	PRODUCTIVE_COMPOSITION	CTH + AIIN	die Sollvorbereitung setzen	die Sollvorbereitung setzen	1	H2	read the licensed components from left to right
MC170	ykaiin	ykaiin	FRAME_PLUS_LOCAL_CORE	Y + K + AIIN	Sollportion	Sollportion	1	H4	read the productive frame and retrieve the remaining local core
MC171	otchey	otchey	FRAME_PLUS_LOCAL_CORE	OT_FOLLOW+Y_CURRENT_ITEM	das nächste	das nächste	2	B4|H5	read the productive frame and retrieve the remaining local core
MC172	daiiin	daiiin	PRODUCTIVE_COMPOSITION	DA+IIN_PORT_GRADE	Endstufe	Endstufe	1	B5	read the licensed components from left to right
MC173	qoteedy	qoteedy	PRODUCTIVE_COMPOSITION	OT_FOLLOW+GRADE_2+CLOSE	lange Folgestufe; Schluss	lange Folgestufe; Schluss	2	B2|B3	read the licensed components from left to right
