visible_surface	master_card_id	master_form	renderer_gesture	family_class	semantic_atoms	current_spoken_default_de	teaching_layer	drawer
sh	MC114	sh	ZERO	SINGLE_REGISTERED_FORM	SH	halten	SPECIALIST_DRAWER_WHOLE_CARD	D3_HEAT_SETTLE_STATE
qoctholy	MC115	qoctholy	ZERO	SINGLE_REGISTERED_FORM	CTH+OL+Y	bereitstellen · weiter · Posten	SPECIALIST_DRAWER_WHOLE_CARD	D3_HEAT_SETTLE_STATE
schedair	MC116	schedair	ZERO	SINGLE_REGISTERED_FORM	AIR	Flüssigkeitslauf	SPECIALIST_DRAWER_WHOLE_CARD	D4_TRANSFER_SOURCE_TARGET
kchy	MC117	kchy	ZERO	SINGLE_REGISTERED_FORM	KCH+Y	bearbeiten · Posten	SPECIALIST_DRAWER_WHOLE_CARD	D8_LOCAL_OPERATION
ly	MC118	ly	ZERO	SINGLE_REGISTERED_FORM	L+Y	abführen · Posten	SPECIALIST_DRAWER_WHOLE_CARD	D4_TRANSFER_SOURCE_TARGET
cheey	MC119	cheey	CH_ENTRY	BOUND_STABLE_HOST_PLUS_ENTRIES	CHEEY	Klarlauf	REVISED_SHARED_17	ACTIVE_CORE
shey	MC119	cheey	SH_ENTRY	BOUND_STABLE_HOST_PLUS_ENTRIES	CHEEY	Klarlauf	REVISED_SHARED_17	ACTIVE_CORE
okaiin	MC120	okaiin	ZERO	FREE_STABLE_HOST_PLUS_ENTRIES	OK+AIIN	auf Sollmaß stellen	REVISED_SHARED_17	ACTIVE_CORE
qokaiin	MC120	okaiin	Q_ENTRY	FREE_STABLE_HOST_PLUS_ENTRIES	OK+AIIN	auf Sollmaß stellen	REVISED_SHARED_17	ACTIVE_CORE
otar	MC121	otar	ZERO	SINGLE_REGISTERED_FORM	OT+AR	danach · Ausgang	SPECIALIST_DRAWER_WHOLE_CARD	D4_TRANSFER_SOURCE_TARGET
kchey	MC122	kchey	ZERO	SINGLE_REGISTERED_FORM	KCH+E+Y	bearbeiten · kurz · Posten	SPECIALIST_DRAWER_WHOLE_CARD	D3_HEAT_SETTLE_STATE
chey	MC123	chey	CH_ENTRY	MINIMAL_HOST__LEARN_ALLOGRAPH_SET	Y	dieser Posten	REVISED_SHARED_17	ACTIVE_CORE
chy	MC123	chey	CH_ENTRY	MINIMAL_HOST__LEARN_ALLOGRAPH_SET	Y	dieser Posten	REVISED_SHARED_17	ACTIVE_CORE
dy	MC123	chey	D_ENTRY	MINIMAL_HOST__LEARN_ALLOGRAPH_SET	Y	dieser Posten	REVISED_SHARED_17	ACTIVE_CORE
shy	MC123	chey	SH_ENTRY	MINIMAL_HOST__LEARN_ALLOGRAPH_SET	Y	dieser Posten	REVISED_SHARED_17	ACTIVE_CORE
sy	MC123	chey	S_ENTRY	MINIMAL_HOST__LEARN_ALLOGRAPH_SET	Y	dieser Posten	REVISED_SHARED_17	ACTIVE_CORE
y	MC123	chey	ZERO	MINIMAL_HOST__LEARN_ALLOGRAPH_SET	Y	dieser Posten	REVISED_SHARED_17	ACTIVE_CORE
lkedy	MC124	lkedy	ZERO	SINGLE_REGISTERED_FORM	L+E+CLOSE	abführen · kurz; schließen	SPECIALIST_DRAWER_WHOLE_CARD	D3_HEAT_SETTLE_STATE
chochor	MC125	chochor	ZERO	SINGLE_REGISTERED_FORM	HO+OR	Zutat · Ansatz	SPECIALIST_DRAWER_WHOLE_CARD	D1_MATERIAL_PRODUCT_VESSEL
pchedal	MC126	pchedal	ZERO	SINGLE_REGISTERED_FORM	P+CHD+AL	zuführen · übertragen · Zielstelle	SPECIALIST_DRAWER_WHOLE_CARD	D4_TRANSFER_SOURCE_TARGET
lched	MC127	lched	ZERO	SINGLE_REGISTERED_FORM	L+CHD	abführen · übertragen	SPECIALIST_DRAWER_WHOLE_CARD	D4_TRANSFER_SOURCE_TARGET
cheedy	MC128	cheedy	CH_ENTRY	BOUND_STABLE_HOST_PLUS_ENTRIES	SHED+E+CLOSE	kurz absetzen; schließen	REVISED_EXTENSION_CORE_24	ACTIVE_CORE
shedy	MC128	cheedy	SH_ENTRY	BOUND_STABLE_HOST_PLUS_ENTRIES	SHED+E+CLOSE	kurz absetzen; schließen	REVISED_EXTENSION_CORE_24	ACTIVE_CORE
tedy	MC128	cheedy	T_ENTRY	BOUND_STABLE_HOST_PLUS_ENTRIES	SHED+E+CLOSE	kurz absetzen; schließen	REVISED_EXTENSION_CORE_24	ACTIVE_CORE
cfhy	MC129	cfhy	ZERO	SINGLE_REGISTERED_FORM	CFH+Y	auswringen · Posten	SPECIALIST_DRAWER_WHOLE_CARD	D2_FILTER_WASH_FLOW
lsho	MC130	lsho	ZERO	SINGLE_REGISTERED_FORM	WASH	waschen	SPECIALIST_DRAWER_WHOLE_CARD	D2_FILTER_WASH_FLOW
choy	MC131	choy	ZERO	SINGLE_REGISTERED_FORM	HO+Y	Zutat · Posten	SPECIALIST_DRAWER_WHOLE_CARD	D1_MATERIAL_PRODUCT_VESSEL
sheckhy	MC132	sheckhy	ZERO	SINGLE_REGISTERED_FORM	CKH+E+Y	Durchgang · kurz · Posten	SPECIALIST_DRAWER_WHOLE_CARD	D2_FILTER_WASH_FLOW
lcheckhedy	MC133	lcheckhedy	ZERO	SINGLE_REGISTERED_FORM	L+CKHE+CLOSE	abführen · trennen; schließen	SPECIALIST_DRAWER_WHOLE_CARD	D2_FILTER_WASH_FLOW
qolky	MC134	qolky	ZERO	SINGLE_REGISTERED_FORM	OL	weiter	SPECIALIST_DRAWER_WHOLE_CARD	D6_ORDER_CONTINUATION
otedy	MC135	otedy	ZERO	SINGLE_REGISTERED_FORM	OT+E+CLOSE	danach · kurz; schließen	SPECIALIST_DRAWER_WHOLE_CARD	D3_HEAT_SETTLE_STATE
kchoar	MC136	kchoar	ZERO	SINGLE_REGISTERED_FORM	CHEO+AR	Auszug · Ausgang	SPECIALIST_DRAWER_WHOLE_CARD	D1_MATERIAL_PRODUCT_VESSEL
shecthy	MC137	shecthy	ZERO	SINGLE_REGISTERED_FORM	CTH+E+Y	bereitstellen · kurz · Posten	SPECIALIST_DRAWER_WHOLE_CARD	D3_HEAT_SETTLE_STATE
dshedy	MC138	dshedy	ZERO	SINGLE_REGISTERED_FORM	SHED+E+CLOSE	absetzen · kurz; schließen	SPECIALIST_DRAWER_WHOLE_CARD	D3_HEAT_SETTLE_STATE
dchdy	MC139	dchdy	ZERO	SINGLE_REGISTERED_FORM	CHD+CLOSE	übertragen; schließen	SPECIALIST_DRAWER_WHOLE_CARD	D4_TRANSFER_SOURCE_TARGET
qokeeedy	MC140	qokeeedy	ZERO	SINGLE_REGISTERED_FORM	OK+EEE+CLOSE	einsetzen · vollständig; schließen	SPECIALIST_DRAWER_WHOLE_CARD	D3_HEAT_SETTLE_STATE
tshey	MC141	tshey	ZERO	SINGLE_REGISTERED_FORM	CHEEY	Klarlauf	SPECIALIST_DRAWER_WHOLE_CARD	D2_FILTER_WASH_FLOW
dchol	MC142	dchol	D_ENTRY	BOUND_STABLE_HOST_PLUS_ENTRIES	DCHOL	vom vorigen Posten	REVISED_EXTENSION_CORE_24	ACTIVE_CORE
schol	MC142	dchol	S_ENTRY	BOUND_STABLE_HOST_PLUS_ENTRIES	DCHOL	vom vorigen Posten	REVISED_EXTENSION_CORE_24	ACTIVE_CORE
shckhedy	MC143	shckhedy	ZERO	SINGLE_REGISTERED_FORM	CKHE+CLOSE	seihen; schließen	REVISED_EXTENSION_CORE_24	ACTIVE_CORE
chldaiin	MC144	chldaiin	ZERO	SINGLE_REGISTERED_FORM	SHED+AIIN	absetzen · Sollmaß	SPECIALIST_DRAWER_WHOLE_CARD	D3_HEAT_SETTLE_STATE
chedain	MC145	chedain	ZERO	SINGLE_REGISTERED_FORM	CHD+AIN	übertragen · Anteil	SPECIALIST_DRAWER_WHOLE_CARD	D4_TRANSFER_SOURCE_TARGET
chealror	MC146	chealror	ZERO	SINGLE_REGISTERED_FORM	AL+OR	Zielstelle · Ansatz	SPECIALIST_DRAWER_WHOLE_CARD	D1_MATERIAL_PRODUCT_VESSEL
cheky	MC147	cheky	ZERO	SINGLE_REGISTERED_FORM	CHK+E+Y	kurz wärmen	REVISED_EXTENSION_CORE_24	ACTIVE_CORE
ykan	MC148	ykan	ZERO	SINGLE_REGISTERED_FORM	Y+AIN	Posten · Anteil	SPECIALIST_DRAWER_WHOLE_CARD	D5_QUANTITY_PART_STAGE
solshedy	MC149	solshedy	ZERO	SINGLE_REGISTERED_FORM	OL+SHED+CLOSE	weiter · absetzen; schließen	SPECIALIST_DRAWER_WHOLE_CARD	D3_HEAT_SETTLE_STATE
okeeol	MC150	okeeol	ZERO	SINGLE_REGISTERED_FORM	OK+EE+OL	einsetzen · länger · weiter	SPECIALIST_DRAWER_WHOLE_CARD	D3_HEAT_SETTLE_STATE
qokshedy	MC151	qokshedy	ZERO	SINGLE_REGISTERED_FORM	OK+SHED+CLOSE	einsetzen · absetzen; schließen	SPECIALIST_DRAWER_WHOLE_CARD	D3_HEAT_SETTLE_STATE
ches	MC152	ches	ZERO	SINGLE_REGISTERED_FORM	PARTITION	teilen	SPECIALIST_DRAWER_WHOLE_CARD	D8_LOCAL_OPERATION
cheol	MC153	cheol	CH_ENTRY	FREE_STABLE_HOST_PLUS_ENTRIES	OL	weiter	REVISED_SHARED_17	ACTIVE_CORE
chol	MC153	cheol	CH_ENTRY	FREE_STABLE_HOST_PLUS_ENTRIES	OL	weiter	REVISED_SHARED_17	ACTIVE_CORE
ol	MC153	cheol	ZERO	FREE_STABLE_HOST_PLUS_ENTRIES	OL	weiter	REVISED_SHARED_17	ACTIVE_CORE
qol	MC153	cheol	Q_ENTRY	FREE_STABLE_HOST_PLUS_ENTRIES	OL	weiter	REVISED_SHARED_17	ACTIVE_CORE
sol	MC153	cheol	S_ENTRY	FREE_STABLE_HOST_PLUS_ENTRIES	OL	weiter	REVISED_SHARED_17	ACTIVE_CORE
tol	MC153	cheol	T_ENTRY	FREE_STABLE_HOST_PLUS_ENTRIES	OL	weiter	REVISED_SHARED_17	ACTIVE_CORE
al	MC154	al	ZERO	FREE_STABLE_HOST_PLUS_ENTRIES	AL	dorthin	REVISED_SHARED_17	ACTIVE_CORE
chal	MC154	al	CH_ENTRY	FREE_STABLE_HOST_PLUS_ENTRIES	AL	dorthin	REVISED_SHARED_17	ACTIVE_CORE
cheal	MC154	al	CH_ENTRY	FREE_STABLE_HOST_PLUS_ENTRIES	AL	dorthin	REVISED_SHARED_17	ACTIVE_CORE
dal	MC154	al	D_ENTRY	FREE_STABLE_HOST_PLUS_ENTRIES	AL	dorthin	REVISED_SHARED_17	ACTIVE_CORE
sal	MC154	al	S_ENTRY	FREE_STABLE_HOST_PLUS_ENTRIES	AL	dorthin	REVISED_SHARED_17	ACTIVE_CORE
tal	MC154	al	T_ENTRY	FREE_STABLE_HOST_PLUS_ENTRIES	AL	dorthin	REVISED_SHARED_17	ACTIVE_CORE
lchedy	MC155	lchedy	ZERO	SINGLE_REGISTERED_FORM	L+CHD+CLOSE	abführen; schließen	REVISED_EXTENSION_CORE_24	ACTIVE_CORE
cphy	MC156	cphy	ZERO	SINGLE_REGISTERED_FORM	CPH+Y	nachseihen · Posten	SPECIALIST_DRAWER_WHOLE_CARD	D2_FILTER_WASH_FLOW
cholor	MC157	cholor	CH_ENTRY	FREE_STABLE_HOST_PLUS_ENTRIES	OL+OR	damit weiter	REVISED_SHARED_17	ACTIVE_CORE
olor	MC157	cholor	ZERO	FREE_STABLE_HOST_PLUS_ENTRIES	OL+OR	damit weiter	REVISED_SHARED_17	ACTIVE_CORE
cthoor	MC158	cthoor	ZERO	SINGLE_REGISTERED_FORM	CTH+OR	bereitstellen · Ansatz	SPECIALIST_DRAWER_WHOLE_CARD	D1_MATERIAL_PRODUCT_VESSEL
os	MC159	os	ZERO	SINGLE_REGISTERED_FORM	OS	Gefäß	SPECIALIST_DRAWER_WHOLE_CARD	D1_MATERIAL_PRODUCT_VESSEL
talam	MC160	talam	ZERO	SINGLE_REGISTERED_FORM	AL+AM	Zielstelle · verwahren	SPECIALIST_DRAWER_WHOLE_CARD	D7_APPLICATION_FASTEN_STORE
checthy	MC161	checthy	CH_ENTRY	FREE_STABLE_HOST_PLUS_ENTRIES	CTH+Y	diesen Posten bereitstellen	REVISED_SHARED_17	ACTIVE_CORE
cthy	MC161	checthy	ZERO	FREE_STABLE_HOST_PLUS_ENTRIES	CTH+Y	diesen Posten bereitstellen	REVISED_SHARED_17	ACTIVE_CORE
shcthy	MC161	checthy	SH_ENTRY	FREE_STABLE_HOST_PLUS_ENTRIES	CTH+Y	diesen Posten bereitstellen	REVISED_SHARED_17	ACTIVE_CORE
qolchey	MC162	qolchey	ZERO	SINGLE_REGISTERED_FORM	OL+Y	weiter · Posten	SPECIALIST_DRAWER_WHOLE_CARD	D6_ORDER_CONTINUATION
qotchol	MC163	qotchol	ZERO	SINGLE_REGISTERED_FORM	OT+OL	danach · weiter	SPECIALIST_DRAWER_WHOLE_CARD	D6_ORDER_CONTINUATION
qokylddy	MC164	qokylddy	ZERO	SINGLE_REGISTERED_FORM	OK+Y+LDDY	einsetzen · Posten · festbinden	SPECIALIST_DRAWER_WHOLE_CARD	D7_APPLICATION_FASTEN_STORE
qockhey	MC165	qockhey	ZERO	SINGLE_REGISTERED_FORM	OK+CKH+E+Y	einsetzen · Durchgang · kurz · Posten	SPECIALIST_DRAWER_WHOLE_CARD	D2_FILTER_WASH_FLOW
chkeey	MC166	chkeey	ZERO	SINGLE_REGISTERED_FORM	CHK+EE+Y	wärmen · länger · Posten	SPECIALIST_DRAWER_WHOLE_CARD	D3_HEAT_SETTLE_STATE
lochedy	MC167	lochedy	ZERO	SINGLE_REGISTERED_FORM	L+CHD+CLOSE	abführen · übertragen; schließen	SPECIALIST_DRAWER_WHOLE_CARD	D4_TRANSFER_SOURCE_TARGET
lcheckhy	MC168	lcheckhy	ZERO	SINGLE_REGISTERED_FORM	L+CKH+Y	abführen · Durchgang · Posten	SPECIALIST_DRAWER_WHOLE_CARD	D2_FILTER_WASH_FLOW
cthaiin	MC169	cthaiin	ZERO	SINGLE_REGISTERED_FORM	CTH+AIIN	bereitstellen · Sollmaß	SPECIALIST_DRAWER_WHOLE_CARD	D3_HEAT_SETTLE_STATE
ykaiin	MC170	ykaiin	ZERO	SINGLE_REGISTERED_FORM	Y+AIIN	Posten · Sollmaß	SPECIALIST_DRAWER_WHOLE_CARD	D5_QUANTITY_PART_STAGE
otchey	MC171	otchey	ZERO	SINGLE_REGISTERED_FORM	OT+Y	der nächste Posten	REVISED_SHARED_17	ACTIVE_CORE
daiiin	MC172	daiiin	ZERO	SINGLE_REGISTERED_FORM	IIN	Arbeitsstufe	SPECIALIST_DRAWER_WHOLE_CARD	D5_QUANTITY_PART_STAGE
qoteedy	MC173	qoteedy	ZERO	SINGLE_REGISTERED_FORM	OT+EE+CLOSE	danach · länger; schließen	SPECIALIST_DRAWER_WHOLE_CARD	D3_HEAT_SETTLE_STATE
