surface	component_recipe	portable_core_de	events	physical_pages	layers	decode_instruction_de
eckhear	E+CKH+E+AR	KURZ · DURCHLASS · KURZ · QUELLE	1	f68r1	PRODUCTIVE_ABBREVIATION_COMPOSITION	Oberfläche als exakt diese Stammfolge lesen; sichtbaren Besitzer lokal ergänzen.
eesydy	EE+S+Y+D_ADDR+Y	LÄNGER · AUSWÄHLEN · DIES · TEIL · DIES	1	f67r2	LOCAL_NOMENCLATOR_OR_ADDRESS	Oberfläche als exakt diese Stammfolge lesen; sichtbaren Besitzer lokal ergänzen.
es	E+S	KURZ · AUSWÄHLEN	1	f67r2	PRODUCTIVE_ABBREVIATION_COMPOSITION	Oberfläche als exakt diese Stammfolge lesen; sichtbaren Besitzer lokal ergänzen.
esedy	E+S+E+DY	KURZ · AUSWÄHLEN · KURZ · SCHLIESSEN	1	f56r	PRODUCTIVE_ABBREVIATION_COMPOSITION	Oberfläche als exakt diese Stammfolge lesen; sichtbaren Besitzer lokal ergänzen.
etyd	E+T+Y	KURZ · EINSTELLEN · DIES	1	f10r	PRODUCTIVE_ABBREVIATION_COMPOSITION	Oberfläche als exakt diese Stammfolge lesen; sichtbaren Besitzer lokal ergänzen.
ey	E+Y	KURZ · DIES	3	f67r2|f75r|f82r	LOCAL_NOMENCLATOR_OR_ADDRESS|PRODUCTIVE_ABBREVIATION_COMPOSITION	Oberfläche als exakt diese Stammfolge lesen; sichtbaren Besitzer lokal ergänzen.
eykeody	E+Y+K+E+O+DY	KURZ · DIES · GEBEN · KURZ · AUSFÜHREN · SCHLIESSEN	1	f69v	LOCAL_NOMENCLATOR_OR_ADDRESS	Oberfläche als exakt diese Stammfolge lesen; sichtbaren Besitzer lokal ergänzen.
g	G_LABEL	PRÜFEN	1	f67r2	LOCAL_NOMENCLATOR_OR_ADDRESS	Oberfläche als exakt diese Stammfolge lesen; sichtbaren Besitzer lokal ergänzen.
giin	LOCAL_CHAR_G+IIN	EINMAL · STUFE	1	f67r2	PRODUCTIVE_ABBREVIATION_COMPOSITION	Oberfläche als exakt diese Stammfolge lesen; sichtbaren Besitzer lokal ergänzen.
iokeeor	OK+EE+OR	SETZEN · LÄNGER · SATZ	1	f69v	LOCAL_NOMENCLATOR_OR_ADDRESS	Oberfläche als exakt diese Stammfolge lesen; sichtbaren Besitzer lokal ergänzen.
k	K	GEBEN	1	f13r	PRODUCTIVE_ABBREVIATION_COMPOSITION	Oberfläche als exakt diese Stammfolge lesen; sichtbaren Besitzer lokal ergänzen.
kaiiin	K+A_ADDR+LOCAL_CHAR_I+IIN	GEBEN · ORT · UNTERSTUFE · STUFE	1	f10r	PRODUCTIVE_ABBREVIATION_COMPOSITION	Oberfläche als exakt diese Stammfolge lesen; sichtbaren Besitzer lokal ergänzen.
kaiin	K+AIIN	GEBEN · SOLLWERT	2	f81v	PRODUCTIVE_ABBREVIATION_COMPOSITION	Oberfläche als exakt diese Stammfolge lesen; sichtbaren Besitzer lokal ergänzen.
kain	K+AIN	GEBEN · EINHEIT	4	f75r|f81v|f83r	PRODUCTIVE_ABBREVIATION_COMPOSITION	Oberfläche als exakt diese Stammfolge lesen; sichtbaren Besitzer lokal ergänzen.
kair	K+AIR	GEBEN · LAUF	1	f81v	PRODUCTIVE_ABBREVIATION_COMPOSITION	Oberfläche als exakt diese Stammfolge lesen; sichtbaren Besitzer lokal ergänzen.
kal	K+AL	GEBEN · ZIEL	2	f55v|f75r	PRODUCTIVE_ABBREVIATION_COMPOSITION	Oberfläche als exakt diese Stammfolge lesen; sichtbaren Besitzer lokal ergänzen.
kalol	K+AL+OL	GEBEN · ZIEL · FORTSETZEN	1	f75r	PRODUCTIVE_ABBREVIATION_COMPOSITION	Oberfläche als exakt diese Stammfolge lesen; sichtbaren Besitzer lokal ergänzen.
kam	K+AM_ADDR	GEBEN · INNEN	1	f82r	PRODUCTIVE_ABBREVIATION_COMPOSITION	Oberfläche als exakt diese Stammfolge lesen; sichtbaren Besitzer lokal ergänzen.
kar	K+AR	GEBEN · QUELLE	4	f55v|f75r|f81v	PRODUCTIVE_ABBREVIATION_COMPOSITION	Oberfläche als exakt diese Stammfolge lesen; sichtbaren Besitzer lokal ergänzen.
kchaiin	K+CH+AIIN	GEBEN · NEHMEN · SOLLWERT	1	f10r	PRODUCTIVE_ABBREVIATION_COMPOSITION	Oberfläche als exakt diese Stammfolge lesen; sichtbaren Besitzer lokal ergänzen.
kchal	K+CH+AL	GEBEN · NEHMEN · ZIEL	1	f56r	PRODUCTIVE_ABBREVIATION_COMPOSITION	Oberfläche als exakt diese Stammfolge lesen; sichtbaren Besitzer lokal ergänzen.
kcharg	K+CH+AR+LOCAL_CHAR_G	GEBEN · NEHMEN · QUELLE · EINMAL	1	f56r	PRODUCTIVE_ABBREVIATION_COMPOSITION	Oberfläche als exakt diese Stammfolge lesen; sichtbaren Besitzer lokal ergänzen.
kchdy	K+CHD+Y	GEBEN · UMSETZEN · DIES	1	f55v	PRODUCTIVE_ABBREVIATION_COMPOSITION	Oberfläche als exakt diese Stammfolge lesen; sichtbaren Besitzer lokal ergänzen.
kchedykary	K+CHD+Y+K+AR+Y	GEBEN · UMSETZEN · DIES · GEBEN · QUELLE · DIES	1	f75r	PRODUCTIVE_ABBREVIATION_COMPOSITION	Oberfläche als exakt diese Stammfolge lesen; sichtbaren Besitzer lokal ergänzen.
kcheedchdy	K+CH+EE+D_ADDR+CHD+Y	GEBEN · NEHMEN · LÄNGER · TEIL · UMSETZEN · DIES	1	f55v	PRODUCTIVE_ABBREVIATION_COMPOSITION	Oberfläche als exakt diese Stammfolge lesen; sichtbaren Besitzer lokal ergänzen.
kcheey	K+CH+EE+Y	GEBEN · NEHMEN · LÄNGER · DIES	1	f56r	PRODUCTIVE_ABBREVIATION_COMPOSITION	Oberfläche als exakt diese Stammfolge lesen; sichtbaren Besitzer lokal ergänzen.
kchey	K+CH+E+Y	GEBEN · NEHMEN · KURZ · DIES	2	f56r|f67r2	LOCAL_NOMENCLATOR_OR_ADDRESS|PRODUCTIVE_ABBREVIATION_COMPOSITION	Oberfläche als exakt diese Stammfolge lesen; sichtbaren Besitzer lokal ergänzen.
kchoar	K+CH+O+AR	GEBEN · NEHMEN · AUSFÜHREN · QUELLE	1	f56r	PRODUCTIVE_ABBREVIATION_COMPOSITION	Oberfläche als exakt diese Stammfolge lesen; sichtbaren Besitzer lokal ergänzen.
kchol	K+OL	GEBEN · FORTSETZEN	4	f11r|f13r|f56r	PRODUCTIVE_ABBREVIATION_COMPOSITION	Oberfläche als exakt diese Stammfolge lesen; sichtbaren Besitzer lokal ergänzen.
kchor	K+CH+OR	GEBEN · NEHMEN · SATZ	1	f88r	PRODUCTIVE_ABBREVIATION_COMPOSITION	Oberfläche als exakt diese Stammfolge lesen; sichtbaren Besitzer lokal ergänzen.
kchy	K+Y	GEBEN · DIES	4	f11r|f13r|f67r2	LOCAL_NOMENCLATOR_OR_ADDRESS|PRODUCTIVE_ABBREVIATION_COMPOSITION	Oberfläche als exakt diese Stammfolge lesen; sichtbaren Besitzer lokal ergänzen.
kedy	K+E+DY	GEBEN · KURZ · SCHLIESSEN	1	f82r	PRODUCTIVE_ABBREVIATION_COMPOSITION	Oberfläche als exakt diese Stammfolge lesen; sichtbaren Besitzer lokal ergänzen.
keedy	K+EE+DY	GEBEN · LÄNGER · SCHLIESSEN	5	f75r|f81v	PRODUCTIVE_ABBREVIATION_COMPOSITION	Oberfläche als exakt diese Stammfolge lesen; sichtbaren Besitzer lokal ergänzen.
keeedy	K+EEE+D_ADDR+Y	GEBEN · VOLL · TEIL · DIES	2	f82r	PRODUCTIVE_ABBREVIATION_COMPOSITION	Oberfläche als exakt diese Stammfolge lesen; sichtbaren Besitzer lokal ergänzen.
keey	K+EE+Y	GEBEN · LÄNGER · DIES	2	f56r	PRODUCTIVE_ABBREVIATION_COMPOSITION	Oberfläche als exakt diese Stammfolge lesen; sichtbaren Besitzer lokal ergänzen.
keeyfar	K+EE+Y+LOCAL_CHAR_F+AR	GEBEN · LÄNGER · DIES · NEBENWEG · QUELLE	1	f55v	PRODUCTIVE_ABBREVIATION_COMPOSITION	Oberfläche als exakt diese Stammfolge lesen; sichtbaren Besitzer lokal ergänzen.
keishy	K+E+SH+Y	GEBEN · KURZ · HALTEN · DIES	1	f75r	PRODUCTIVE_ABBREVIATION_COMPOSITION	Oberfläche als exakt diese Stammfolge lesen; sichtbaren Besitzer lokal ergänzen.
keol	K+E+OL	GEBEN · KURZ · FORTSETZEN	2	f56r|f88r	PRODUCTIVE_ABBREVIATION_COMPOSITION	Oberfläche als exakt diese Stammfolge lesen; sichtbaren Besitzer lokal ergänzen.
kesd	K+E+S_ADDR+D_ADDR	GEBEN · KURZ · STERNORT · TEIL	1	f83r	PRODUCTIVE_ABBREVIATION_COMPOSITION	Oberfläche als exakt diese Stammfolge lesen; sichtbaren Besitzer lokal ergänzen.
koay	K+O+A_ADDR+Y	GEBEN · AUSFÜHREN · ORT · DIES	1	f88r	PRODUCTIVE_ABBREVIATION_COMPOSITION	Oberfläche als exakt diese Stammfolge lesen; sichtbaren Besitzer lokal ergänzen.
kol	K+OL	GEBEN · FORTSETZEN	1	f75r	PRODUCTIVE_ABBREVIATION_COMPOSITION	Oberfläche als exakt diese Stammfolge lesen; sichtbaren Besitzer lokal ergänzen.
kolchdy	K+OL+CHD+Y	GEBEN · FORTSETZEN · UMSETZEN · DIES	1	f82r	PRODUCTIVE_ABBREVIATION_COMPOSITION	Oberfläche als exakt diese Stammfolge lesen; sichtbaren Besitzer lokal ergänzen.
koldy	K+OL+DY	GEBEN · FORTSETZEN · SCHLIESSEN	1	f75r	PRODUCTIVE_ABBREVIATION_COMPOSITION	Oberfläche als exakt diese Stammfolge lesen; sichtbaren Besitzer lokal ergänzen.
kom	K+O+M_LOCAL	GEBEN · AUSFÜHREN · MITTE	1	f10r	PRODUCTIVE_ABBREVIATION_COMPOSITION	Oberfläche als exakt diese Stammfolge lesen; sichtbaren Besitzer lokal ergänzen.
kor	K+OR	GEBEN · SATZ	1	f88r	PRODUCTIVE_ABBREVIATION_COMPOSITION	Oberfläche als exakt diese Stammfolge lesen; sichtbaren Besitzer lokal ergänzen.
korchy	K+OR+CH+Y	GEBEN · SATZ · NEHMEN · DIES	1	f56r	PRODUCTIVE_ABBREVIATION_COMPOSITION	Oberfläche als exakt diese Stammfolge lesen; sichtbaren Besitzer lokal ergänzen.
kshey	K+SH+E+Y	GEBEN · HALTEN · KURZ · DIES	1	f75r	PRODUCTIVE_ABBREVIATION_COMPOSITION	Oberfläche als exakt diese Stammfolge lesen; sichtbaren Besitzer lokal ergänzen.
kshy	K+SH+Y	GEBEN · HALTEN · DIES	1	f11r	PRODUCTIVE_ABBREVIATION_COMPOSITION	Oberfläche als exakt diese Stammfolge lesen; sichtbaren Besitzer lokal ergänzen.
ky	K+Y	GEBEN · DIES	1	f81v	PRODUCTIVE_ABBREVIATION_COMPOSITION	Oberfläche als exakt diese Stammfolge lesen; sichtbaren Besitzer lokal ergänzen.
l	L	LEITEN	6	f75r|f81v|f82r|f83r	PRODUCTIVE_ABBREVIATION_COMPOSITION	Oberfläche als exakt diese Stammfolge lesen; sichtbaren Besitzer lokal ergänzen.
lal	L+AL	LEITEN · ZIEL	1	f83r	PRODUCTIVE_ABBREVIATION_COMPOSITION	Oberfläche als exakt diese Stammfolge lesen; sichtbaren Besitzer lokal ergänzen.
lar	L+AR	LEITEN · QUELLE	2	f82r	PRODUCTIVE_ABBREVIATION_COMPOSITION	Oberfläche als exakt diese Stammfolge lesen; sichtbaren Besitzer lokal ergänzen.
lch	L+CH	LEITEN · NEHMEN	1	f75r	PRODUCTIVE_ABBREVIATION_COMPOSITION	Oberfläche als exakt diese Stammfolge lesen; sichtbaren Besitzer lokal ergänzen.
lchcphedy	L+CH+CPH+E+DY	LEITEN · NEHMEN · UMLEITEN · KURZ · SCHLIESSEN	1	f83r	PRODUCTIVE_ABBREVIATION_COMPOSITION	Oberfläche als exakt diese Stammfolge lesen; sichtbaren Besitzer lokal ergänzen.
lchdy	L+CHD+Y	LEITEN · UMSETZEN · DIES	1	f83r	PRODUCTIVE_ABBREVIATION_COMPOSITION	Oberfläche als exakt diese Stammfolge lesen; sichtbaren Besitzer lokal ergänzen.
lcheckhedy	L+CKH+E+DY	LEITEN · DURCHLASS · KURZ · SCHLIESSEN	1	f82r	PRODUCTIVE_ABBREVIATION_COMPOSITION	Oberfläche als exakt diese Stammfolge lesen; sichtbaren Besitzer lokal ergänzen.
lcheckhy	L+CKH+Y	LEITEN · DURCHLASS · DIES	2	f82r	PRODUCTIVE_ABBREVIATION_COMPOSITION	Oberfläche als exakt diese Stammfolge lesen; sichtbaren Besitzer lokal ergänzen.
lched	L+CHD	LEITEN · UMSETZEN	2	f82r	PRODUCTIVE_ABBREVIATION_COMPOSITION	Oberfläche als exakt diese Stammfolge lesen; sichtbaren Besitzer lokal ergänzen.
lchedal	L+CHD+AL	LEITEN · UMSETZEN · ZIEL	1	f81v	PRODUCTIVE_ABBREVIATION_COMPOSITION	Oberfläche als exakt diese Stammfolge lesen; sichtbaren Besitzer lokal ergänzen.
lchedar	L+CHD+AR	LEITEN · UMSETZEN · QUELLE	1	f82r	PRODUCTIVE_ABBREVIATION_COMPOSITION	Oberfläche als exakt diese Stammfolge lesen; sichtbaren Besitzer lokal ergänzen.
lchedy	L+CHD+DY	LEITEN · UMSETZEN · SCHLIESSEN	20	f75r|f81v|f82r|f83r	LEARNED_FORMULA_CARD	Oberfläche als exakt diese Stammfolge lesen; sichtbaren Besitzer lokal ergänzen.
lcheedy	L+CH+EE+D_ADDR+Y	LEITEN · NEHMEN · LÄNGER · TEIL · DIES	1	f82r	PRODUCTIVE_ABBREVIATION_COMPOSITION	Oberfläche als exakt diese Stammfolge lesen; sichtbaren Besitzer lokal ergänzen.
lcheeor	L+CH+EE+OR	LEITEN · NEHMEN · LÄNGER · SATZ	1	f82r	PRODUCTIVE_ABBREVIATION_COMPOSITION	Oberfläche als exakt diese Stammfolge lesen; sichtbaren Besitzer lokal ergänzen.
lcheey	L+EE+Y	LEITEN · LÄNGER · DIES	1	f82r	PRODUCTIVE_ABBREVIATION_COMPOSITION	Oberfläche als exakt diese Stammfolge lesen; sichtbaren Besitzer lokal ergänzen.
lchey	L+Y	LEITEN · DIES	3	f75r|f82r	PRODUCTIVE_ABBREVIATION_COMPOSITION	Oberfläche als exakt diese Stammfolge lesen; sichtbaren Besitzer lokal ergänzen.
lcho	L+CH+O	LEITEN · NEHMEN · AUSFÜHREN	1	f82r	PRODUCTIVE_ABBREVIATION_COMPOSITION	Oberfläche als exakt diese Stammfolge lesen; sichtbaren Besitzer lokal ergänzen.
lchpchdy	L+CH+P+CHD+Y	LEITEN · NEHMEN · EINSETZEN · UMSETZEN · DIES	1	f81v	PRODUCTIVE_ABBREVIATION_COMPOSITION	Oberfläche als exakt diese Stammfolge lesen; sichtbaren Besitzer lokal ergänzen.
lchs	L+CH+S	LEITEN · NEHMEN · AUSWÄHLEN	1	f83r	PRODUCTIVE_ABBREVIATION_COMPOSITION	Oberfläche als exakt diese Stammfolge lesen; sichtbaren Besitzer lokal ergänzen.
lchy	L+CH+Y	LEITEN · NEHMEN · DIES	1	f82r	PRODUCTIVE_ABBREVIATION_COMPOSITION	Oberfläche als exakt diese Stammfolge lesen; sichtbaren Besitzer lokal ergänzen.
ldalor	L+AL+OR	LEITEN · ZIEL · SATZ	1	f83r	PRODUCTIVE_ABBREVIATION_COMPOSITION	Oberfläche als exakt diese Stammfolge lesen; sichtbaren Besitzer lokal ergänzen.
ldar	L+DA+R	LEITEN · ZWEIT · MARKIEREN	1	f83r	PRODUCTIVE_ABBREVIATION_COMPOSITION	Oberfläche als exakt diese Stammfolge lesen; sichtbaren Besitzer lokal ergänzen.
ldy	L+DY	LEITEN · SCHLIESSEN	5	f75r|f82r|f83r	PRODUCTIVE_ABBREVIATION_COMPOSITION	Oberfläche als exakt diese Stammfolge lesen; sichtbaren Besitzer lokal ergänzen.
lkaiin	L+K+AIIN	LEITEN · GEBEN · SOLLWERT	2	f75r|f82r	PRODUCTIVE_ABBREVIATION_COMPOSITION	Oberfläche als exakt diese Stammfolge lesen; sichtbaren Besitzer lokal ergänzen.
lkamo	L+K+AM_ADDR+O	LEITEN · GEBEN · INNEN · AUSFÜHREN	1	f75r	PRODUCTIVE_ABBREVIATION_COMPOSITION	Oberfläche als exakt diese Stammfolge lesen; sichtbaren Besitzer lokal ergänzen.
lkchedy	L+K+CHD+Y	LEITEN · GEBEN · UMSETZEN · DIES	1	f82r	PRODUCTIVE_ABBREVIATION_COMPOSITION	Oberfläche als exakt diese Stammfolge lesen; sichtbaren Besitzer lokal ergänzen.
lkedey	L+K+E+D_ADDR+E+Y	LEITEN · GEBEN · KURZ · TEIL · KURZ · DIES	1	f81v	PRODUCTIVE_ABBREVIATION_COMPOSITION	Oberfläche als exakt diese Stammfolge lesen; sichtbaren Besitzer lokal ergänzen.
lkedy	L+K+E+DY	LEITEN · GEBEN · KURZ · SCHLIESSEN	3	f82r|f83r	PRODUCTIVE_ABBREVIATION_COMPOSITION	Oberfläche als exakt diese Stammfolge lesen; sichtbaren Besitzer lokal ergänzen.
lkeed	L+K+EE+D_ADDR	LEITEN · GEBEN · LÄNGER · TEIL	1	f83r	PRODUCTIVE_ABBREVIATION_COMPOSITION	Oberfläche als exakt diese Stammfolge lesen; sichtbaren Besitzer lokal ergänzen.
lkeedy	L+K+EE+D_ADDR+Y	LEITEN · GEBEN · LÄNGER · TEIL · DIES	1	f82r	PRODUCTIVE_ABBREVIATION_COMPOSITION	Oberfläche als exakt diese Stammfolge lesen; sichtbaren Besitzer lokal ergänzen.
lkeey	L+K+EE+Y	LEITEN · GEBEN · LÄNGER · DIES	1	f82r	PRODUCTIVE_ABBREVIATION_COMPOSITION	Oberfläche als exakt diese Stammfolge lesen; sichtbaren Besitzer lokal ergänzen.
lkshy	L+K+SH+Y	LEITEN · GEBEN · HALTEN · DIES	1	f67r2	LOCAL_NOMENCLATOR_OR_ADDRESS	Oberfläche als exakt diese Stammfolge lesen; sichtbaren Besitzer lokal ergänzen.
lky	L+K+Y	LEITEN · GEBEN · DIES	2	f81v	PRODUCTIVE_ABBREVIATION_COMPOSITION	Oberfläche als exakt diese Stammfolge lesen; sichtbaren Besitzer lokal ergänzen.
lo	L+O	LEITEN · AUSFÜHREN	5	f75r|f83r	PRODUCTIVE_ABBREVIATION_COMPOSITION	Oberfläche als exakt diese Stammfolge lesen; sichtbaren Besitzer lokal ergänzen.
lochedy	L+O+CHD+DY	LEITEN · AUSFÜHREN · UMSETZEN · SCHLIESSEN	1	f82r	PRODUCTIVE_ABBREVIATION_COMPOSITION	Oberfläche als exakt diese Stammfolge lesen; sichtbaren Besitzer lokal ergänzen.
lol	L+OL	LEITEN · FORTSETZEN	3	f75r|f83r	PRODUCTIVE_ABBREVIATION_COMPOSITION	Oberfläche als exakt diese Stammfolge lesen; sichtbaren Besitzer lokal ergänzen.
lolchedy	L+OL+CHD+DY	LEITEN · FORTSETZEN · UMSETZEN · SCHLIESSEN	1	f75r	PRODUCTIVE_ABBREVIATION_COMPOSITION	Oberfläche als exakt diese Stammfolge lesen; sichtbaren Besitzer lokal ergänzen.
lolol	L+OL+OL	LEITEN · FORTSETZEN · FORTSETZEN	1	f82r	PRODUCTIVE_ABBREVIATION_COMPOSITION	Oberfläche als exakt diese Stammfolge lesen; sichtbaren Besitzer lokal ergänzen.
lor	L+OR	LEITEN · SATZ	3	f75r|f81v	PRODUCTIVE_ABBREVIATION_COMPOSITION	Oberfläche als exakt diese Stammfolge lesen; sichtbaren Besitzer lokal ergänzen.
lpchedy	L+P+CHD+Y	LEITEN · EINSETZEN · UMSETZEN · DIES	1	f83r	PRODUCTIVE_ABBREVIATION_COMPOSITION	Oberfläche als exakt diese Stammfolge lesen; sichtbaren Besitzer lokal ergänzen.
lr	L+R	LEITEN · MARKIEREN	1	f82r	PRODUCTIVE_ABBREVIATION_COMPOSITION	Oberfläche als exakt diese Stammfolge lesen; sichtbaren Besitzer lokal ergänzen.
ls	OL	FORTSETZEN	1	f82r	PRODUCTIVE_ABBREVIATION_COMPOSITION	Oberfläche als exakt diese Stammfolge lesen; sichtbaren Besitzer lokal ergänzen.
lshed	L+SHED	LEITEN · ABSETZEN	1	f82r	PRODUCTIVE_ABBREVIATION_COMPOSITION	Oberfläche als exakt diese Stammfolge lesen; sichtbaren Besitzer lokal ergänzen.
lshedary	L+SH+E+D_ADDR+AR+Y	LEITEN · HALTEN · KURZ · TEIL · QUELLE · DIES	1	f75r	PRODUCTIVE_ABBREVIATION_COMPOSITION	Oberfläche als exakt diese Stammfolge lesen; sichtbaren Besitzer lokal ergänzen.
lshedy	LSH+E+DY	SPÜLEN · KURZ · SCHLIESSEN	6	f75r|f81v|f82r|f83r	PRODUCTIVE_ABBREVIATION_COMPOSITION	Oberfläche als exakt diese Stammfolge lesen; sichtbaren Besitzer lokal ergänzen.
lsheedy	LSH+EE+D_ADDR+Y	SPÜLEN · LÄNGER · TEIL · DIES	2	f83r	PRODUCTIVE_ABBREVIATION_COMPOSITION	Oberfläche als exakt diese Stammfolge lesen; sichtbaren Besitzer lokal ergänzen.
lshety	LSH+E+T+Y	SPÜLEN · KURZ · EINSTELLEN · DIES	1	f81v	PRODUCTIVE_ABBREVIATION_COMPOSITION	Oberfläche als exakt diese Stammfolge lesen; sichtbaren Besitzer lokal ergänzen.
lshey	L+SH+E+Y	LEITEN · HALTEN · KURZ · DIES	1	f75r	PRODUCTIVE_ABBREVIATION_COMPOSITION	Oberfläche als exakt diese Stammfolge lesen; sichtbaren Besitzer lokal ergänzen.
lsho	LSH+O	SPÜLEN · AUSFÜHREN	1	f81v	PRODUCTIVE_ABBREVIATION_COMPOSITION	Oberfläche als exakt diese Stammfolge lesen; sichtbaren Besitzer lokal ergänzen.
ltain	L+T+AIN	LEITEN · EINSTELLEN · EINHEIT	1	f75r	PRODUCTIVE_ABBREVIATION_COMPOSITION	Oberfläche als exakt diese Stammfolge lesen; sichtbaren Besitzer lokal ergänzen.
ltary	L+T+AR+Y	LEITEN · EINSTELLEN · QUELLE · DIES	1	f81v	PRODUCTIVE_ABBREVIATION_COMPOSITION	Oberfläche als exakt diese Stammfolge lesen; sichtbaren Besitzer lokal ergänzen.
ltedy	L+T+E+DY	LEITEN · EINSTELLEN · KURZ · SCHLIESSEN	2	f75r|f81v	PRODUCTIVE_ABBREVIATION_COMPOSITION	Oberfläche als exakt diese Stammfolge lesen; sichtbaren Besitzer lokal ergänzen.
lteedy	L+T+EE+D_ADDR+Y	LEITEN · EINSTELLEN · LÄNGER · TEIL · DIES	1	f82r	PRODUCTIVE_ABBREVIATION_COMPOSITION	Oberfläche als exakt diese Stammfolge lesen; sichtbaren Besitzer lokal ergänzen.
ly	L+Y	LEITEN · DIES	2	f75r|f81v	PRODUCTIVE_ABBREVIATION_COMPOSITION	Oberfläche als exakt diese Stammfolge lesen; sichtbaren Besitzer lokal ergänzen.
o	O	AUSFÜHREN	8	f10r|f56r|f69v|f70v|f75r|f83r	LOCAL_NOMENCLATOR_OR_ADDRESS|PRODUCTIVE_ABBREVIATION_COMPOSITION	Oberfläche als exakt diese Stammfolge lesen; sichtbaren Besitzer lokal ergänzen.
oaiin	O+AIIN	AUSFÜHREN · SOLLWERT	2	f55v|f67r2	PRODUCTIVE_ABBREVIATION_COMPOSITION	Oberfläche als exakt diese Stammfolge lesen; sichtbaren Besitzer lokal ergänzen.
oain	O+AIN	AUSFÜHREN · EINHEIT	1	f88r	PRODUCTIVE_ABBREVIATION_COMPOSITION	Oberfläche als exakt diese Stammfolge lesen; sichtbaren Besitzer lokal ergänzen.
oalcheg	O+AL+CH+E+G_LABEL	AUSFÜHREN · ZIEL · NEHMEN · KURZ · PRÜFEN	1	f70v	LOCAL_NOMENCLATOR_OR_ADDRESS	Oberfläche als exakt diese Stammfolge lesen; sichtbaren Besitzer lokal ergänzen.
oar	O+AR	AUSFÜHREN · QUELLE	1	f69v	LOCAL_NOMENCLATOR_OR_ADDRESS	Oberfläche als exakt diese Stammfolge lesen; sichtbaren Besitzer lokal ergänzen.
oaram	O+AR+AM_ADDR	AUSFÜHREN · QUELLE · INNEN	1	f69v	LOCAL_NOMENCLATOR_OR_ADDRESS	Oberfläche als exakt diese Stammfolge lesen; sichtbaren Besitzer lokal ergänzen.
ochedy	O+CHD+Y	AUSFÜHREN · UMSETZEN · DIES	1	f55v	PRODUCTIVE_ABBREVIATION_COMPOSITION	Oberfläche als exakt diese Stammfolge lesen; sichtbaren Besitzer lokal ergänzen.
ochol	O+OL	AUSFÜHREN · FORTSETZEN	1	f67r2	PRODUCTIVE_ABBREVIATION_COMPOSITION	Oberfläche als exakt diese Stammfolge lesen; sichtbaren Besitzer lokal ergänzen.
ochoyk	O+CH+O+Y+K	AUSFÜHREN · NEHMEN · AUSFÜHREN · DIES · GEBEN	1	f69v	LOCAL_NOMENCLATOR_OR_ADDRESS	Oberfläche als exakt diese Stammfolge lesen; sichtbaren Besitzer lokal ergänzen.
ochy	O+Y	AUSFÜHREN · DIES	1	f70v	LOCAL_NOMENCLATOR_OR_ADDRESS	Oberfläche als exakt diese Stammfolge lesen; sichtbaren Besitzer lokal ergänzen.
ockhey	O+CKH+E+Y	AUSFÜHREN · DURCHLASS · KURZ · DIES	1	f83r	PRODUCTIVE_ABBREVIATION_COMPOSITION	Oberfläche als exakt diese Stammfolge lesen; sichtbaren Besitzer lokal ergänzen.
ockhy	O+CKH+Y	AUSFÜHREN · DURCHLASS · DIES	3	f67r2|f68r1|f69v	LOCAL_NOMENCLATOR_OR_ADDRESS|PRODUCTIVE_ABBREVIATION_COMPOSITION	Oberfläche als exakt diese Stammfolge lesen; sichtbaren Besitzer lokal ergänzen.
ocphy	O+CPH+Y	AUSFÜHREN · UMLEITEN · DIES	1	f68r1	LOCAL_NOMENCLATOR_OR_ADDRESS	Oberfläche als exakt diese Stammfolge lesen; sichtbaren Besitzer lokal ergänzen.
octheol	O+CTH+E+OL	AUSFÜHREN · BEREIT · KURZ · FORTSETZEN	1	f82r	PRODUCTIVE_ABBREVIATION_COMPOSITION	Oberfläche als exakt diese Stammfolge lesen; sichtbaren Besitzer lokal ergänzen.
octhey	O+CTH+E+Y	AUSFÜHREN · BEREIT · KURZ · DIES	1	f68r1	LOCAL_NOMENCLATOR_OR_ADDRESS	Oberfläche als exakt diese Stammfolge lesen; sichtbaren Besitzer lokal ergänzen.
octhody	O+CTH+O+D_ADDR+Y	AUSFÜHREN · BEREIT · AUSFÜHREN · TEIL · DIES	1	f10r	PRODUCTIVE_ABBREVIATION_COMPOSITION	Oberfläche als exakt diese Stammfolge lesen; sichtbaren Besitzer lokal ergänzen.
octhole	O+CTH+OL+E	AUSFÜHREN · BEREIT · FORTSETZEN · KURZ	1	f67r2	PRODUCTIVE_ABBREVIATION_COMPOSITION	Oberfläche als exakt diese Stammfolge lesen; sichtbaren Besitzer lokal ergänzen.
octhys	O+CTH+Y+S	AUSFÜHREN · BEREIT · DIES · AUSWÄHLEN	1	f67r2	LOCAL_NOMENCLATOR_OR_ADDRESS	Oberfläche als exakt diese Stammfolge lesen; sichtbaren Besitzer lokal ergänzen.
odaeiin	O+DA+E+IIN	AUSFÜHREN · ZWEIT · KURZ · STUFE	1	f67r2	PRODUCTIVE_ABBREVIATION_COMPOSITION	Oberfläche als exakt diese Stammfolge lesen; sichtbaren Besitzer lokal ergänzen.
