component_recipe	portable_core_de	default_surface	default_surface_events	allowed_observed_surfaces	variant_count	encode_instruction_de
CHK+CH+Y+K+OL+Y	BEHANDELN · NEHMEN · DIES · GEBEN · FORTSETZEN · DIES	chkchykoly	1	chkchykoly	1	Default schreiben; nur eine gelistete Stellungs-/Handvariante einsetzen.
CHK+CHD+AR	BEHANDELN · UMSETZEN · QUELLE	chkchdar	1	chkchdar	1	Default schreiben; nur eine gelistete Stellungs-/Handvariante einsetzen.
CHK+E+AL	BEHANDELN · KURZ · ZIEL	chekeal	1	chekeal	1	Default schreiben; nur eine gelistete Stellungs-/Handvariante einsetzen.
CHK+E+D_ADDR+Y	BEHANDELN · KURZ · TEIL · DIES	chkedy	2	chkedy	1	Default schreiben; nur eine gelistete Stellungs-/Handvariante einsetzen.
CHK+E+Y	BEHANDELN · KURZ · DIES	cheky	6	cheky|chekey	2	Default schreiben; nur eine gelistete Stellungs-/Handvariante einsetzen.
CHK+EE+DY	BEHANDELN · LÄNGER · SCHLIESSEN	chekeedy	1	chekeedy|chkeedy	2	Default schreiben; nur eine gelistete Stellungs-/Handvariante einsetzen.
CHK+EE+Y	BEHANDELN · LÄNGER · DIES	cheeky	4	cheeky|chkeey	2	Default schreiben; nur eine gelistete Stellungs-/Handvariante einsetzen.
CHK+O+D_ADDR+Y	BEHANDELN · AUSFÜHREN · TEIL · DIES	chekody	1	chekody	1	Default schreiben; nur eine gelistete Stellungs-/Handvariante einsetzen.
CHK+OR	BEHANDELN · SATZ	chkor	1	chkor	1	Default schreiben; nur eine gelistete Stellungs-/Handvariante einsetzen.
CHK+Y	BEHANDELN · DIES	chky	2	chky	1	Default schreiben; nur eine gelistete Stellungs-/Handvariante einsetzen.
CKH+E+Y	DURCHLASS · KURZ · DIES	ckhey	2	ckhey	1	Default schreiben; nur eine gelistete Stellungs-/Handvariante einsetzen.
CKH+Y	DURCHLASS · DIES	chckhy	10	chckhy|ckhy|qckhsy	3	Default schreiben; nur eine gelistete Stellungs-/Handvariante einsetzen.
CPH+AL	UMLEITEN · ZIEL	cphal	1	cphal	1	Default schreiben; nur eine gelistete Stellungs-/Handvariante einsetzen.
CPH+E+DY	UMLEITEN · KURZ · SCHLIESSEN	cphedy	1	cphedy	1	Default schreiben; nur eine gelistete Stellungs-/Handvariante einsetzen.
CPH+EE+Y	UMLEITEN · LÄNGER · DIES	cpheey	1	cpheey	1	Default schreiben; nur eine gelistete Stellungs-/Handvariante einsetzen.
CPH+O+CTH+Y	UMLEITEN · AUSFÜHREN · BEREIT · DIES	cphocthy	1	cphocthy	1	Default schreiben; nur eine gelistete Stellungs-/Handvariante einsetzen.
CPH+OL	UMLEITEN · FORTSETZEN	cphol	2	cphol	1	Default schreiben; nur eine gelistete Stellungs-/Handvariante einsetzen.
CPH+Y	UMLEITEN · DIES	cphy	1	cphy	1	Default schreiben; nur eine gelistete Stellungs-/Handvariante einsetzen.
CTH	BEREIT	cth	1	cth	1	Default schreiben; nur eine gelistete Stellungs-/Handvariante einsetzen.
CTH+AIIN	BEREIT · SOLLWERT	cthaiin	1	cthaiin	1	Default schreiben; nur eine gelistete Stellungs-/Handvariante einsetzen.
CTH+AL	BEREIT · ZIEL	cthal	2	cthal	1	Default schreiben; nur eine gelistete Stellungs-/Handvariante einsetzen.
CTH+E+OL	BEREIT · KURZ · FORTSETZEN	ctheol	1	ctheol	1	Default schreiben; nur eine gelistete Stellungs-/Handvariante einsetzen.
CTH+E+Y	BEREIT · KURZ · DIES	cthey	1	cthey|qcthey	2	Default schreiben; nur eine gelistete Stellungs-/Handvariante einsetzen.
CTH+O	BEREIT · AUSFÜHREN	ctho	2	ctho	1	Default schreiben; nur eine gelistete Stellungs-/Handvariante einsetzen.
CTH+O+OR	BEREIT · AUSFÜHREN · SATZ	cthoor	1	cthoor	1	Default schreiben; nur eine gelistete Stellungs-/Handvariante einsetzen.
CTH+OL	BEREIT · FORTSETZEN	cthol	3	cthol	1	Default schreiben; nur eine gelistete Stellungs-/Handvariante einsetzen.
CTH+OR	BEREIT · SATZ	cthor	1	cthor	1	Default schreiben; nur eine gelistete Stellungs-/Handvariante einsetzen.
CTH+Y	BEREIT · DIES	cthy	7	cthy|checthy	2	Default schreiben; nur eine gelistete Stellungs-/Handvariante einsetzen.
CTH+Y+D_ADDR	BEREIT · DIES · TEIL	cthyd	1	cthyd	1	Default schreiben; nur eine gelistete Stellungs-/Handvariante einsetzen.
DA+AM_ADDR	ZWEIT · INNEN	dam	1	dam	1	Default schreiben; nur eine gelistete Stellungs-/Handvariante einsetzen.
DA+CKH+Y	ZWEIT · DURCHLASS · DIES	dackhy	1	dackhy	1	Default schreiben; nur eine gelistete Stellungs-/Handvariante einsetzen.
DA+D_ADDR+AIIN	ZWEIT · TEIL · SOLLWERT	dadaiin	1	dadaiin	1	Default schreiben; nur eine gelistete Stellungs-/Handvariante einsetzen.
DA+IIN	ZWEIT · STUFE	daii	1	daii|daiiin	2	Default schreiben; nur eine gelistete Stellungs-/Handvariante einsetzen.
DA+IIN+AL	ZWEIT · STUFE · ZIEL	daiial	1	daiial	1	Default schreiben; nur eine gelistete Stellungs-/Handvariante einsetzen.
DA+IIN+DY	ZWEIT · STUFE · SCHLIESSEN	daiidy	1	daiidy	1	Default schreiben; nur eine gelistete Stellungs-/Handvariante einsetzen.
DA+IIN+M_LOCAL	ZWEIT · STUFE · MITTE	daim	1	daim	1	Default schreiben; nur eine gelistete Stellungs-/Handvariante einsetzen.
DA+IIN+R	ZWEIT · STUFE · MARKIEREN	daiir	2	daiir	1	Default schreiben; nur eine gelistete Stellungs-/Handvariante einsetzen.
DA+R+AR+Y	ZWEIT · MARKIEREN · QUELLE · DIES	darary	1	darary	1	Default schreiben; nur eine gelistete Stellungs-/Handvariante einsetzen.
DA+R+A_ADDR+AM_ADDR	ZWEIT · MARKIEREN · ORT · INNEN	daram	1	daram	1	Default schreiben; nur eine gelistete Stellungs-/Handvariante einsetzen.
DA+R+OL	ZWEIT · MARKIEREN · FORTSETZEN	darol	1	darol	1	Default schreiben; nur eine gelistete Stellungs-/Handvariante einsetzen.
DA+R+OL+S+Y	ZWEIT · MARKIEREN · FORTSETZEN · AUSWÄHLEN · DIES	darolsy	1	darolsy	1	Default schreiben; nur eine gelistete Stellungs-/Handvariante einsetzen.
DA+R+Y	ZWEIT · MARKIEREN · DIES	dary	3	dary	1	Default schreiben; nur eine gelistete Stellungs-/Handvariante einsetzen.
DA+T+EE+Y	ZWEIT · EINSTELLEN · LÄNGER · DIES	dateey	1	dateey	1	Default schreiben; nur eine gelistete Stellungs-/Handvariante einsetzen.
D_ADDR	TEIL	d	7	d	1	Default schreiben; nur eine gelistete Stellungs-/Handvariante einsetzen.
D_ADDR+AIIN+Y	TEIL · SOLLWERT · DIES	daiiny	1	daiiny	1	Default schreiben; nur eine gelistete Stellungs-/Handvariante einsetzen.
D_ADDR+AIR	TEIL · LAUF	dair	6	dair	1	Default schreiben; nur eine gelistete Stellungs-/Handvariante einsetzen.
D_ADDR+AIR+A_ADDR+AM_ADDR	TEIL · LAUF · ORT · INNEN	dairam	1	dairam	1	Default schreiben; nur eine gelistete Stellungs-/Handvariante einsetzen.
D_ADDR+AIR+CH+E+Y	TEIL · LAUF · NEHMEN · KURZ · DIES	dairchey	1	dairchey	1	Default schreiben; nur eine gelistete Stellungs-/Handvariante einsetzen.
D_ADDR+AR	TEIL · QUELLE	dar	21	dar	1	Default schreiben; nur eine gelistete Stellungs-/Handvariante einsetzen.
D_ADDR+AR+A_ADDR	TEIL · QUELLE · ORT	dara	1	dara	1	Default schreiben; nur eine gelistete Stellungs-/Handvariante einsetzen.
D_ADDR+AR+D_ADDR+AR+DY	TEIL · QUELLE · TEIL · QUELLE · SCHLIESSEN	dardardy	1	dardardy	1	Default schreiben; nur eine gelistete Stellungs-/Handvariante einsetzen.
D_ADDR+AR+O+AM_ADDR	TEIL · QUELLE · AUSFÜHREN · INNEN	darom	1	darom	1	Default schreiben; nur eine gelistete Stellungs-/Handvariante einsetzen.
D_ADDR+CH+E+T+A_ADDR+Y	TEIL · NEHMEN · KURZ · EINSTELLEN · ORT · DIES	dchetay	1	dchetay	1	Default schreiben; nur eine gelistete Stellungs-/Handvariante einsetzen.
D_ADDR+CH+LOCAL_CHAR_G	TEIL · NEHMEN · EINMAL	dchg	1	dchg	1	Default schreiben; nur eine gelistete Stellungs-/Handvariante einsetzen.
D_ADDR+CH+OR	TEIL · NEHMEN · SATZ	dchor	3	dchor	1	Default schreiben; nur eine gelistete Stellungs-/Handvariante einsetzen.
D_ADDR+CH+S+E+D_ADDR	TEIL · NEHMEN · AUSWÄHLEN · KURZ · TEIL	dchsed	1	dchsed	1	Default schreiben; nur eine gelistete Stellungs-/Handvariante einsetzen.
D_ADDR+CHD+AR	TEIL · UMSETZEN · QUELLE	dchdar	1	dchdar	1	Default schreiben; nur eine gelistete Stellungs-/Handvariante einsetzen.
D_ADDR+CHD+Y	TEIL · UMSETZEN · DIES	dchedy	3	dchedy	1	Default schreiben; nur eine gelistete Stellungs-/Handvariante einsetzen.
D_ADDR+CHEO+K+E+D_ADDR+Y	TEIL · AUSZUG · GEBEN · KURZ · TEIL · DIES	dcheokedy	1	dcheokedy	1	Default schreiben; nur eine gelistete Stellungs-/Handvariante einsetzen.
D_ADDR+E+DY	TEIL · KURZ · SCHLIESSEN	dedy	1	dedy	1	Default schreiben; nur eine gelistete Stellungs-/Handvariante einsetzen.
D_ADDR+EE+Y	TEIL · LÄNGER · DIES	deey	1	deey	1	Default schreiben; nur eine gelistete Stellungs-/Handvariante einsetzen.
D_ADDR+EEE+D_ADDR+Y	TEIL · VOLL · TEIL · DIES	deeedy	1	deeedy	1	Default schreiben; nur eine gelistete Stellungs-/Handvariante einsetzen.
D_ADDR+K+AIN	TEIL · GEBEN · EINHEIT	dkain	1	dkain	1	Default schreiben; nur eine gelistete Stellungs-/Handvariante einsetzen.
D_ADDR+K+Y	TEIL · GEBEN · DIES	dky	1	dky	1	Default schreiben; nur eine gelistete Stellungs-/Handvariante einsetzen.
D_ADDR+L+AL	TEIL · LEITEN · ZIEL	dlal	1	dlal	1	Default schreiben; nur eine gelistete Stellungs-/Handvariante einsetzen.
D_ADDR+O+AIIN	TEIL · AUSFÜHREN · SOLLWERT	doaiin	1	doaiin	1	Default schreiben; nur eine gelistete Stellungs-/Handvariante einsetzen.
D_ADDR+O+AIR	TEIL · AUSFÜHREN · LAUF	doair	1	doair	1	Default schreiben; nur eine gelistete Stellungs-/Handvariante einsetzen.
D_ADDR+O+DY+D_LABEL	TEIL · AUSFÜHREN · SCHLIESSEN · RAND	dodyd	1	dodyd	1	Default schreiben; nur eine gelistete Stellungs-/Handvariante einsetzen.
D_ADDR+O+D_ADDR	TEIL · AUSFÜHREN · TEIL	dod	1	dod	1	Default schreiben; nur eine gelistete Stellungs-/Handvariante einsetzen.
D_ADDR+O+IIN	TEIL · AUSFÜHREN · STUFE	doiin	2	doiin	1	Default schreiben; nur eine gelistete Stellungs-/Handvariante einsetzen.
D_ADDR+O+IIN+R	TEIL · AUSFÜHREN · STUFE · MARKIEREN	doiir	2	doiir	1	Default schreiben; nur eine gelistete Stellungs-/Handvariante einsetzen.
D_ADDR+O+S+AR	TEIL · AUSFÜHREN · AUSWÄHLEN · QUELLE	dosar	1	dosar	1	Default schreiben; nur eine gelistete Stellungs-/Handvariante einsetzen.
D_ADDR+OK+AN	TEIL · SETZEN · ZUSATZ	dokan	1	dokan	1	Default schreiben; nur eine gelistete Stellungs-/Handvariante einsetzen.
D_ADDR+OL	TEIL · FORTSETZEN	dol	4	dol|dchol	2	Default schreiben; nur eine gelistete Stellungs-/Handvariante einsetzen.
D_ADDR+OL+AR+AM_ADDR	TEIL · FORTSETZEN · QUELLE · INNEN	dolaram	1	dolaram	1	Default schreiben; nur eine gelistete Stellungs-/Handvariante einsetzen.
D_ADDR+OL+CH+S_ADDR+O+DY	TEIL · FORTSETZEN · NEHMEN · STERNORT · AUSFÜHREN · SCHLIESSEN	dolchsody	1	dolchsody	1	Default schreiben; nur eine gelistete Stellungs-/Handvariante einsetzen.
D_ADDR+OL+CHD+Y	TEIL · FORTSETZEN · UMSETZEN · DIES	dolchedy	1	dolchedy	1	Default schreiben; nur eine gelistete Stellungs-/Handvariante einsetzen.
D_ADDR+OL+EEE+Y	TEIL · FORTSETZEN · VOLL · DIES	doleeey	1	doleeey	1	Default schreiben; nur eine gelistete Stellungs-/Handvariante einsetzen.
D_ADDR+OL+OL	TEIL · FORTSETZEN · FORTSETZEN	dolol	1	dolol	1	Default schreiben; nur eine gelistete Stellungs-/Handvariante einsetzen.
D_ADDR+OL+SHED	TEIL · FORTSETZEN · ABSETZEN	dolshed	1	dolshed	1	Default schreiben; nur eine gelistete Stellungs-/Handvariante einsetzen.
D_ADDR+OR	TEIL · SATZ	dor	5	dor	1	Default schreiben; nur eine gelistete Stellungs-/Handvariante einsetzen.
D_ADDR+OR+SH+E+O+Y	TEIL · SATZ · HALTEN · KURZ · AUSFÜHREN · DIES	dorsheoy	1	dorsheoy	1	Default schreiben; nur eine gelistete Stellungs-/Handvariante einsetzen.
D_ADDR+OR+Y	TEIL · SATZ · DIES	dory	1	dory	1	Default schreiben; nur eine gelistete Stellungs-/Handvariante einsetzen.
D_ADDR+P+Y	TEIL · EINSETZEN · DIES	dpchy	1	dpchy	1	Default schreiben; nur eine gelistete Stellungs-/Handvariante einsetzen.
D_ADDR+SH+E+CKH+Y	TEIL · HALTEN · KURZ · DURCHLASS · DIES	dsheckhy	1	dsheckhy	1	Default schreiben; nur eine gelistete Stellungs-/Handvariante einsetzen.
D_ADDR+SH+OL+Y+D_ADDR	TEIL · HALTEN · FORTSETZEN · DIES · TEIL	dsholyd	1	dsholyd	1	Default schreiben; nur eine gelistete Stellungs-/Handvariante einsetzen.
D_ADDR+SH+OR	TEIL · HALTEN · SATZ	dshor	1	dshor	1	Default schreiben; nur eine gelistete Stellungs-/Handvariante einsetzen.
D_ADDR+Y	TEIL · DIES	dchy	3	dchy	1	Default schreiben; nur eine gelistete Stellungs-/Handvariante einsetzen.
D_ADDR+Y+K+AIN	TEIL · DIES · GEBEN · EINHEIT	dykain	1	dykain	1	Default schreiben; nur eine gelistete Stellungs-/Handvariante einsetzen.
D_ADDR+Y+P+Y	TEIL · DIES · EINSETZEN · DIES	dypchy	1	dypchy	1	Default schreiben; nur eine gelistete Stellungs-/Handvariante einsetzen.
E+CKH+E+AR	KURZ · DURCHLASS · KURZ · QUELLE	eckhear	1	eckhear	1	Default schreiben; nur eine gelistete Stellungs-/Handvariante einsetzen.
E+K+E+Y	KURZ · GEBEN · KURZ · DIES	qekey	1	qekey	1	Default schreiben; nur eine gelistete Stellungs-/Handvariante einsetzen.
E+OL	KURZ · FORTSETZEN	teol	2	teol	1	Default schreiben; nur eine gelistete Stellungs-/Handvariante einsetzen.
E+S	KURZ · AUSWÄHLEN	es	1	es	1	Default schreiben; nur eine gelistete Stellungs-/Handvariante einsetzen.
E+S+E+DY	KURZ · AUSWÄHLEN · KURZ · SCHLIESSEN	esedy	1	esedy	1	Default schreiben; nur eine gelistete Stellungs-/Handvariante einsetzen.
E+T+Y	KURZ · EINSTELLEN · DIES	etyd	1	etyd	1	Default schreiben; nur eine gelistete Stellungs-/Handvariante einsetzen.
E+Y	KURZ · DIES	ey	3	ey|qey	2	Default schreiben; nur eine gelistete Stellungs-/Handvariante einsetzen.
E+Y+K+E+O+DY	KURZ · DIES · GEBEN · KURZ · AUSFÜHREN · SCHLIESSEN	eykeody	1	eykeody	1	Default schreiben; nur eine gelistete Stellungs-/Handvariante einsetzen.
EE+AR	LÄNGER · QUELLE	cheedar	1	cheedar	1	Default schreiben; nur eine gelistete Stellungs-/Handvariante einsetzen.
EE+S+Y+D_ADDR+Y	LÄNGER · AUSWÄHLEN · DIES · TEIL · DIES	eesydy	1	eesydy	1	Default schreiben; nur eine gelistete Stellungs-/Handvariante einsetzen.
EEE+T+Y	VOLL · EINSTELLEN · DIES	cheeety	1	cheeety	1	Default schreiben; nur eine gelistete Stellungs-/Handvariante einsetzen.
G_LABEL	PRÜFEN	g	1	g	1	Default schreiben; nur eine gelistete Stellungs-/Handvariante einsetzen.
HO	TEILSTOFF	cho	6	cho	1	Default schreiben; nur eine gelistete Stellungs-/Handvariante einsetzen.
HO+AL+Y	TEILSTOFF · ZIEL · DIES	chodaly	1	chodaly	1	Default schreiben; nur eine gelistete Stellungs-/Handvariante einsetzen.
HO+CH+OR	TEILSTOFF · NEHMEN · SATZ	chochor	1	chochor	1	Default schreiben; nur eine gelistete Stellungs-/Handvariante einsetzen.
HO+E+T+EE+DY	TEILSTOFF · KURZ · EINSTELLEN · LÄNGER · SCHLIESSEN	choeteedy	1	choeteedy	1	Default schreiben; nur eine gelistete Stellungs-/Handvariante einsetzen.
HO+Y	TEILSTOFF · DIES	choy	1	choy|shochy	2	Default schreiben; nur eine gelistete Stellungs-/Handvariante einsetzen.
K	GEBEN	k	1	k	1	Default schreiben; nur eine gelistete Stellungs-/Handvariante einsetzen.
K+AIIN	GEBEN · SOLLWERT	kaiin	2	kaiin	1	Default schreiben; nur eine gelistete Stellungs-/Handvariante einsetzen.
K+AIN	GEBEN · EINHEIT	kain	4	kain	1	Default schreiben; nur eine gelistete Stellungs-/Handvariante einsetzen.
K+AIR	GEBEN · LAUF	kair	1	kair	1	Default schreiben; nur eine gelistete Stellungs-/Handvariante einsetzen.
K+AL	GEBEN · ZIEL	kal	2	kal	1	Default schreiben; nur eine gelistete Stellungs-/Handvariante einsetzen.
K+AL+OL	GEBEN · ZIEL · FORTSETZEN	kalol	1	kalol	1	Default schreiben; nur eine gelistete Stellungs-/Handvariante einsetzen.
K+AM_ADDR	GEBEN · INNEN	kam	1	kam	1	Default schreiben; nur eine gelistete Stellungs-/Handvariante einsetzen.
K+AR	GEBEN · QUELLE	kar	4	kar|skar	2	Default schreiben; nur eine gelistete Stellungs-/Handvariante einsetzen.
K+A_ADDR+LOCAL_CHAR_I+IIN	GEBEN · ORT · UNTERSTUFE · STUFE	kaiiin	1	kaiiin	1	Default schreiben; nur eine gelistete Stellungs-/Handvariante einsetzen.
K+CH+AIIN	GEBEN · NEHMEN · SOLLWERT	kchaiin	1	kchaiin	1	Default schreiben; nur eine gelistete Stellungs-/Handvariante einsetzen.
K+CH+AL	GEBEN · NEHMEN · ZIEL	kchal	1	kchal	1	Default schreiben; nur eine gelistete Stellungs-/Handvariante einsetzen.
K+CH+AR+LOCAL_CHAR_G	GEBEN · NEHMEN · QUELLE · EINMAL	kcharg	1	kcharg	1	Default schreiben; nur eine gelistete Stellungs-/Handvariante einsetzen.
K+CH+E+Y	GEBEN · NEHMEN · KURZ · DIES	kchey	2	kchey	1	Default schreiben; nur eine gelistete Stellungs-/Handvariante einsetzen.
K+CH+EE+D_ADDR+CHD+Y	GEBEN · NEHMEN · LÄNGER · TEIL · UMSETZEN · DIES	kcheedchdy	1	kcheedchdy	1	Default schreiben; nur eine gelistete Stellungs-/Handvariante einsetzen.
K+CH+EE+Y	GEBEN · NEHMEN · LÄNGER · DIES	kcheey	1	kcheey	1	Default schreiben; nur eine gelistete Stellungs-/Handvariante einsetzen.
K+CH+O+AR	GEBEN · NEHMEN · AUSFÜHREN · QUELLE	kchoar	1	kchoar	1	Default schreiben; nur eine gelistete Stellungs-/Handvariante einsetzen.
K+CH+OR	GEBEN · NEHMEN · SATZ	kchor	1	kchor	1	Default schreiben; nur eine gelistete Stellungs-/Handvariante einsetzen.
K+CHD+Y	GEBEN · UMSETZEN · DIES	kchdy	1	kchdy	1	Default schreiben; nur eine gelistete Stellungs-/Handvariante einsetzen.
K+CHD+Y+K+AR+Y	GEBEN · UMSETZEN · DIES · GEBEN · QUELLE · DIES	kchedykary	1	kchedykary	1	Default schreiben; nur eine gelistete Stellungs-/Handvariante einsetzen.
K+E+DY	GEBEN · KURZ · SCHLIESSEN	kedy	1	kedy	1	Default schreiben; nur eine gelistete Stellungs-/Handvariante einsetzen.
K+E+OL	GEBEN · KURZ · FORTSETZEN	keol	2	keol	1	Default schreiben; nur eine gelistete Stellungs-/Handvariante einsetzen.
K+E+SH+Y	GEBEN · KURZ · HALTEN · DIES	keishy	1	keishy	1	Default schreiben; nur eine gelistete Stellungs-/Handvariante einsetzen.
K+E+S_ADDR+D_ADDR	GEBEN · KURZ · STERNORT · TEIL	kesd	1	kesd	1	Default schreiben; nur eine gelistete Stellungs-/Handvariante einsetzen.
K+EE+DY	GEBEN · LÄNGER · SCHLIESSEN	keedy	5	keedy	1	Default schreiben; nur eine gelistete Stellungs-/Handvariante einsetzen.
K+EE+Y	GEBEN · LÄNGER · DIES	keey	2	keey	1	Default schreiben; nur eine gelistete Stellungs-/Handvariante einsetzen.
K+EE+Y+LOCAL_CHAR_F+AR	GEBEN · LÄNGER · DIES · NEBENWEG · QUELLE	keeyfar	1	keeyfar	1	Default schreiben; nur eine gelistete Stellungs-/Handvariante einsetzen.
K+EEE+D_ADDR+Y	GEBEN · VOLL · TEIL · DIES	keeedy	2	keeedy	1	Default schreiben; nur eine gelistete Stellungs-/Handvariante einsetzen.
K+O+A_ADDR+Y	GEBEN · AUSFÜHREN · ORT · DIES	koay	1	koay	1	Default schreiben; nur eine gelistete Stellungs-/Handvariante einsetzen.
K+O+M_LOCAL	GEBEN · AUSFÜHREN · MITTE	kom	1	kom	1	Default schreiben; nur eine gelistete Stellungs-/Handvariante einsetzen.
K+OL	GEBEN · FORTSETZEN	kchol	4	kchol|kol	2	Default schreiben; nur eine gelistete Stellungs-/Handvariante einsetzen.
K+OL+CHD+Y	GEBEN · FORTSETZEN · UMSETZEN · DIES	kolchdy	1	kolchdy	1	Default schreiben; nur eine gelistete Stellungs-/Handvariante einsetzen.
K+OL+DY	GEBEN · FORTSETZEN · SCHLIESSEN	koldy	1	koldy	1	Default schreiben; nur eine gelistete Stellungs-/Handvariante einsetzen.
K+OR	GEBEN · SATZ	kor	1	kor	1	Default schreiben; nur eine gelistete Stellungs-/Handvariante einsetzen.
K+OR+CH+Y	GEBEN · SATZ · NEHMEN · DIES	korchy	1	korchy	1	Default schreiben; nur eine gelistete Stellungs-/Handvariante einsetzen.
K+SH+E+Y	GEBEN · HALTEN · KURZ · DIES	kshey	1	kshey	1	Default schreiben; nur eine gelistete Stellungs-/Handvariante einsetzen.
K+SH+Y	GEBEN · HALTEN · DIES	kshy	1	kshy	1	Default schreiben; nur eine gelistete Stellungs-/Handvariante einsetzen.
K+Y	GEBEN · DIES	kchy	4	kchy|ky	2	Default schreiben; nur eine gelistete Stellungs-/Handvariante einsetzen.
L	LEITEN	l	6	l|dl	2	Default schreiben; nur eine gelistete Stellungs-/Handvariante einsetzen.
L+AIIN	LEITEN · SOLLWERT	chldaiin	1	chldaiin	1	Default schreiben; nur eine gelistete Stellungs-/Handvariante einsetzen.
L+AL	LEITEN · ZIEL	lal	1	lal	1	Default schreiben; nur eine gelistete Stellungs-/Handvariante einsetzen.
L+AL+OR	LEITEN · ZIEL · SATZ	ldalor	1	ldalor	1	Default schreiben; nur eine gelistete Stellungs-/Handvariante einsetzen.
L+AR	LEITEN · QUELLE	lar	2	lar	1	Default schreiben; nur eine gelistete Stellungs-/Handvariante einsetzen.
L+CH	LEITEN · NEHMEN	lch	1	lch	1	Default schreiben; nur eine gelistete Stellungs-/Handvariante einsetzen.
L+CH+CPH+E+DY	LEITEN · NEHMEN · UMLEITEN · KURZ · SCHLIESSEN	lchcphedy	1	lchcphedy	1	Default schreiben; nur eine gelistete Stellungs-/Handvariante einsetzen.
L+CH+EE+D_ADDR+Y	LEITEN · NEHMEN · LÄNGER · TEIL · DIES	lcheedy	1	lcheedy	1	Default schreiben; nur eine gelistete Stellungs-/Handvariante einsetzen.
L+CH+EE+OR	LEITEN · NEHMEN · LÄNGER · SATZ	lcheeor	1	lcheeor	1	Default schreiben; nur eine gelistete Stellungs-/Handvariante einsetzen.
L+CH+O	LEITEN · NEHMEN · AUSFÜHREN	lcho	1	lcho	1	Default schreiben; nur eine gelistete Stellungs-/Handvariante einsetzen.
L+CH+P+CHD+Y	LEITEN · NEHMEN · EINSETZEN · UMSETZEN · DIES	lchpchdy	1	lchpchdy	1	Default schreiben; nur eine gelistete Stellungs-/Handvariante einsetzen.
L+CH+S	LEITEN · NEHMEN · AUSWÄHLEN	lchs	1	lchs	1	Default schreiben; nur eine gelistete Stellungs-/Handvariante einsetzen.
L+CH+Y	LEITEN · NEHMEN · DIES	lchy	1	lchy	1	Default schreiben; nur eine gelistete Stellungs-/Handvariante einsetzen.
L+CHD	LEITEN · UMSETZEN	lched	2	lched	1	Default schreiben; nur eine gelistete Stellungs-/Handvariante einsetzen.
L+CHD+AL	LEITEN · UMSETZEN · ZIEL	lchedal	1	lchedal	1	Default schreiben; nur eine gelistete Stellungs-/Handvariante einsetzen.
L+CHD+AR	LEITEN · UMSETZEN · QUELLE	lchedar	1	lchedar	1	Default schreiben; nur eine gelistete Stellungs-/Handvariante einsetzen.
L+CHD+DY	LEITEN · UMSETZEN · SCHLIESSEN	lchedy	20	lchedy	1	Default schreiben; nur eine gelistete Stellungs-/Handvariante einsetzen.
L+CHD+Y	LEITEN · UMSETZEN · DIES	lchdy	1	lchdy	1	Default schreiben; nur eine gelistete Stellungs-/Handvariante einsetzen.
L+CKH+E+DY	LEITEN · DURCHLASS · KURZ · SCHLIESSEN	lcheckhedy	1	lcheckhedy	1	Default schreiben; nur eine gelistete Stellungs-/Handvariante einsetzen.
L+CKH+Y	LEITEN · DURCHLASS · DIES	lcheckhy	2	lcheckhy	1	Default schreiben; nur eine gelistete Stellungs-/Handvariante einsetzen.
L+DA+R	LEITEN · ZWEIT · MARKIEREN	ldar	1	ldar	1	Default schreiben; nur eine gelistete Stellungs-/Handvariante einsetzen.
L+DY	LEITEN · SCHLIESSEN	ldy	5	ldy	1	Default schreiben; nur eine gelistete Stellungs-/Handvariante einsetzen.
L+EE+Y	LEITEN · LÄNGER · DIES	lcheey	1	lcheey	1	Default schreiben; nur eine gelistete Stellungs-/Handvariante einsetzen.
L+K+AIIN	LEITEN · GEBEN · SOLLWERT	lkaiin	2	lkaiin	1	Default schreiben; nur eine gelistete Stellungs-/Handvariante einsetzen.
L+K+AM_ADDR+O	LEITEN · GEBEN · INNEN · AUSFÜHREN	lkamo	1	lkamo	1	Default schreiben; nur eine gelistete Stellungs-/Handvariante einsetzen.
L+K+CHD+Y	LEITEN · GEBEN · UMSETZEN · DIES	lkchedy	1	lkchedy	1	Default schreiben; nur eine gelistete Stellungs-/Handvariante einsetzen.
L+K+E+DY	LEITEN · GEBEN · KURZ · SCHLIESSEN	lkedy	3	lkedy	1	Default schreiben; nur eine gelistete Stellungs-/Handvariante einsetzen.
L+K+E+D_ADDR+E+Y	LEITEN · GEBEN · KURZ · TEIL · KURZ · DIES	lkedey	1	lkedey	1	Default schreiben; nur eine gelistete Stellungs-/Handvariante einsetzen.
L+K+EE+D_ADDR	LEITEN · GEBEN · LÄNGER · TEIL	lkeed	1	lkeed	1	Default schreiben; nur eine gelistete Stellungs-/Handvariante einsetzen.
L+K+EE+D_ADDR+Y	LEITEN · GEBEN · LÄNGER · TEIL · DIES	lkeedy	1	lkeedy	1	Default schreiben; nur eine gelistete Stellungs-/Handvariante einsetzen.
L+K+EE+Y	LEITEN · GEBEN · LÄNGER · DIES	lkeey	1	lkeey	1	Default schreiben; nur eine gelistete Stellungs-/Handvariante einsetzen.
L+K+SH+Y	LEITEN · GEBEN · HALTEN · DIES	lkshy	1	lkshy	1	Default schreiben; nur eine gelistete Stellungs-/Handvariante einsetzen.
