locus_row	diagram_id	page	locus	local_namespace	visible_owners	groups	group_serials	atomic_common_root_reading_de	revised_groups	orientation	cross_instrument_join
121	A3	f69v	f69v.10	A69_LEFT_28_PLACE_WHEEL	A3_LEFT_RADIAL_SLOT_07	1	371	mehrdeutige lokale Etikette	0	UNSPECIFIED	NONE
122	A3	f69v	f69v.11	A69_LEFT_28_PLACE_WHEEL	A3_LEFT_RADIAL_SLOT_08	1	372	mehrdeutige lokale Etikette	0	UNSPECIFIED	NONE
123	A3	f69v	f69v.12	A69_LEFT_28_PLACE_WHEEL	A3_LEFT_RADIAL_SLOT_09	1	373	mehrdeutige lokale Etikette	0	UNSPECIFIED	NONE
124	A3	f69v	f69v.13	A69_LEFT_28_PLACE_WHEEL	A3_LEFT_RADIAL_SLOT_10	1	374	ansetzen + kurz + Stelle	0	UNSPECIFIED	NONE
125	A3	f69v	f69v.14	A69_LEFT_28_PLACE_WHEEL	A3_LEFT_RADIAL_SLOT_11	1	375	lokale Etikette	0	UNSPECIFIED	NONE
126	A3	f69v	f69v.15	A69_LEFT_28_PLACE_WHEEL	A3_LEFT_RADIAL_SLOT_12	1	376	lokale Etikette	0	UNSPECIFIED	NONE
127	A3	f69v	f69v.16	A69_LEFT_28_PLACE_WHEEL	A3_LEFT_RADIAL_SLOT_13	1	377	danach + kurz + fortsetzen	0	UNSPECIFIED	NONE
128	A3	f69v	f69v.17	A69_LEFT_28_PLACE_WHEEL	A3_LEFT_RADIAL_SLOT_14	1	378	mehrdeutige lokale Etikette	0	UNSPECIFIED	NONE
129	A3	f69v	f69v.18	A69_LEFT_28_PLACE_WHEEL	A3_LEFT_RADIAL_SLOT_15	1	379	lokale Etikette	0	UNSPECIFIED	NONE
130	A3	f69v	f69v.19	A69_LEFT_28_PLACE_WHEEL	A3_LEFT_RADIAL_SLOT_16	1	380	von dort + Stelle	0	UNSPECIFIED	NONE
131	A3	f69v	f69v.20	A69_LEFT_28_PLACE_WHEEL	A3_LEFT_RADIAL_SLOT_17	1	381	lokale Etikette	0	UNSPECIFIED	NONE
132	A3	f69v	f69v.21	A69_LEFT_28_PLACE_WHEEL	A3_LEFT_RADIAL_SLOT_18	1	382	ansetzen + fortsetzen + von dort	0	UNSPECIFIED	NONE
133	A3	f69v	f69v.22	A69_LEFT_28_PLACE_WHEEL	A3_LEFT_RADIAL_SLOT_19	1	383	mehrdeutige lokale Etikette	0	UNSPECIFIED	NONE
134	A3	f69v	f69v.23	A69_LEFT_28_PLACE_WHEEL	A3_LEFT_RADIAL_SLOT_20	1	384	mehrdeutige lokale Etikette	0	UNSPECIFIED	NONE
135	A3	f69v	f69v.24	A69_LEFT_28_PLACE_WHEEL	A3_LEFT_RADIAL_SLOT_21	1	385	danach + dies	0	UNSPECIFIED	NONE
136	A3	f69v	f69v.25	A69_LEFT_28_PLACE_WHEEL	A3_LEFT_RADIAL_SLOT_22	2	386|387	länger ansetzen; dies	0	UNSPECIFIED	NONE
137	A3	f69v	f69v.26	A69_LEFT_28_PLACE_WHEEL	A3_LEFT_RADIAL_SLOT_23	2	388|389	kurz ansetzen; lokale Etikette	0	UNSPECIFIED	NONE
138	A3	f69v	f69v.27	A69_LEFT_28_PLACE_WHEEL	A3_LEFT_RADIAL_SLOT_24	1	390	lokale Etikette	0	UNSPECIFIED	NONE
139	A3	f69v	f69v.28	A69_LEFT_28_PLACE_WHEEL	A3_LEFT_RADIAL_SLOT_25	1	391	lokale Etikette	0	UNSPECIFIED	NONE
140	A3	f69v	f69v.29	A69_LEFT_28_PLACE_WHEEL	A3_LEFT_RADIAL_SLOT_26	1	392	mehrdeutige lokale Etikette	0	UNSPECIFIED	NONE
141	A3	f69v	f69v.30	A69_LEFT_28_PLACE_WHEEL	A3_LEFT_RADIAL_SLOT_27	1	393	lokale Etikette	0	UNSPECIFIED	NONE
142	A3	f69v	f69v.31	A69_LEFT_28_PLACE_WHEEL	A3_LEFT_RADIAL_SLOT_28	2	394|395	Arbeitsgang + von dort; lokale Etikette	0	UNSPECIFIED	NONE
