statement_id	page	record	owner_noun_de	surface_sequence	component_sequence	literal_de	fluent_reading_de	cards	semantic_atoms	closed_cell	shared_herbal_cards
B4-S003	f83r	B4	das zweite durch den Bogen verbundene Hauptpaar	chedy otal otchey qokeey qoky tol shedy	CHD+Y | OT+AL | OT+Y | OK+EE+Y | OK+Y | OL | SHED+DY	UMSETZEN · POSTEN | DANACH · ZIELSTELLE | DANACH · POSTEN | ANSETZEN · LANG · POSTEN | ANSETZEN · POSTEN | WEITER | STEHENLASSEN · SCHLUSS	Am zweiten durch den Bogen verbundenen Hauptpaar: Den Posten umsetzen; danach zur Zielstelle und zum naechsten Posten wechseln; diesen laenger ansetzen, weiter ansetzen, weiterarbeiten, stehen lassen und schliessen.	7	14	YES	4
B4-S004	f83r	B4	das zweite durch den Bogen verbundene Hauptpaar	qokylddy	OK+Y+LD+DY	ANSETZEN · POSTEN · BEFESTIGEN · SCHLUSS	Am zweiten durch den Bogen verbundenen Hauptpaar: Den laufenden Posten ansetzen und befestigen; den Schritt schliessen.	1	4	YES	0
B4-S005	f83r	B4	das zweite durch den Bogen verbundene Hauptpaar	dain chedy qokeedy	AIN | CHD+Y | OK+EE+DY	PORTION | UMSETZEN · POSTEN | ANSETZEN · LANG · SCHLUSS	Am zweiten durch den Bogen verbundenen Hauptpaar: Eine Portion als laufenden Posten umsetzen, laenger ansetzen und den Schritt schliessen.	3	6	YES	1
B4-S006	f83r	B4	das zweite durch den Bogen verbundene Hauptpaar	shckhedy	SH+CKH+E+DY	HALTEN · DURCHLASS · KURZ · SCHLUSS	Am zweiten durch den Bogen verbundenen Hauptpaar: Kurz durch den Durchlass halten; den Schritt schliessen.	1	4	YES	0
B4-S007	f83r	B4	das zweite durch den Bogen verbundene Hauptpaar	shckhedy	SH+CKH+E+DY	HALTEN · DURCHLASS · KURZ · SCHLUSS	Am zweiten durch den Bogen verbundenen Hauptpaar: Kurz durch den Durchlass halten; den Schritt schliessen.	1	4	YES	0
B4-S008	f83r	B4	das zweite durch den Bogen verbundene Hauptpaar	saiin cheeky sheey qokedy	AIIN | CHK+EE+Y | SH+EE+Y | OK+E+DY	SOLLMASS | WAERMEN · LANG · POSTEN | HALTEN · LANG · POSTEN | ANSETZEN · KURZ · SCHLUSS	Am zweiten durch den Bogen verbundenen Hauptpaar: Nach Sollmass den Posten laenger erwaermen, laenger halten, kurz ansetzen und schliessen.	4	10	YES	2
B4-S009	f83r	B4	das zweite durch den Bogen verbundene Hauptpaar	shedy	SHED+DY	STEHENLASSEN · SCHLUSS	Am zweiten durch den Bogen verbundenen Hauptpaar: Stehen lassen; den Schritt schliessen.	1	2	YES	0
B4-S010	f83r	B4	das zweite durch den Bogen verbundene Hauptpaar	oldy	OL+DY	WEITER · SCHLUSS	Am zweiten durch den Bogen verbundenen Hauptpaar: Weiterarbeiten; den Schritt schliessen.	1	2	YES	1
B4-S011	f83r	B4	die linke offene Randstation	saiin cheky okeeol okain chdy sol lkedy	AIIN | CHK+E+Y | OK+EE+OL | OK+AIN | CHD+Y | OL | L+K+E+DY	SOLLMASS | WAERMEN · KURZ · POSTEN | ANSETZEN · LANG · WEITER | ANSETZEN · PORTION | UMSETZEN · POSTEN | WEITER | LEITEN · ZUGEBEN · KURZ · SCHLUSS	An der linken offenen Randstation: Nach Sollmass den Posten kurz erwaermen, laenger weiter ansetzen, eine Portion ansetzen, den Posten umsetzen, weiterarbeiten, kurz leiten und zugeben, dann schliessen.	7	16	YES	3
B4-S012	f83r	B4	die linke offene Randstation	lchedy	L+CHD+DY	LEITEN · UMSETZEN · SCHLUSS	An der linken offenen Randstation: Leiten und umsetzen; den Schritt schliessen.	1	3	YES	0
B4-S013	f83r	B4	die linke offene Randstation	qokol shedy	OK+OL | SHED+DY	ANSETZEN · WEITER | STEHENLASSEN · SCHLUSS	An der linken offenen Randstation: Weiter ansetzen; dann stehen lassen; den Schritt schliessen.	2	4	YES	0
B4-S014	f83r	B4	die linke offene Randstation	or chey qockhey dairydy	OR | Y | O+CKH+E+Y | AIR+Y+DY	ANSATZ | POSTEN | ARBEITSGANG · DURCHLASS · KURZ · POSTEN | WASSER · POSTEN · SCHLUSS	An der linken offenen Randstation: Den Ansatz als laufenden Posten fuehren; ihn kurz im Arbeitsgang am Durchlass halten, das laufende Wasser als aktuellen Posten fuehren und schliessen.	4	9	YES	2
B4-S015	f83r	B4	die linke offene Randstation und die rechte S-Lauf-Mehrfachstation	qokain shey kain chckhal solkey lchedy	OK+AIN | SH+EE+Y | K+AIN | CH+CKH+AL | SOLK+E+Y | L+CHD+DY	ANSETZEN · PORTION | HALTEN · LANG · POSTEN | ZUGEBEN · PORTION | ENTNEHMEN · DURCHLASS · ZIELSTELLE | SAMMELN · KURZ · POSTEN | LEITEN · UMSETZEN · SCHLUSS	An der linken offenen Randstation und an der rechten S-Lauf-Mehrfachstation: Eine Portion ansetzen, den Posten laenger halten, eine Portion zugeben, durch den Durchlass an der Zielstelle entnehmen, kurz sammeln, leiten, umsetzen und schliessen.	6	16	YES	1
B4-S016	f83r	B4	die rechte S-Lauf-Mehrfachstation	qolkain dal skar shedy	OL+K+AIN | AL | K+AR | SHED+DY	WEITER · ZUGEBEN · PORTION | ZIELSTELLE | ZUGEBEN · QUELLE | STEHENLASSEN · SCHLUSS	An der rechten S-Lauf-Mehrfachstation: Eine Portion weiter zugeben, an der Zielstelle aus der Quelle nachzugeben, stehen lassen und schliessen.	4	8	YES	1
B5-S001	f83r	B5	die linke offene Nebenstation	otchdy	OT+CHD+DY	DANACH · UMSETZEN · SCHLUSS	An der linken offenen Nebenstation: Danach umsetzen und den Schritt schliessen.	1	3	YES	0
B5-S002	f83r	B5	die linke offene Nebenstation	qokchdy	OK+CHD+DY	ANSETZEN · UMSETZEN · SCHLUSS	An der linken offenen Nebenstation: Ansetzen und umsetzen; den Schritt schliessen.	1	3	YES	0
B5-S003	f83r	B5	die linke offene Nebenstation	shedal dal cheol lol chdal aiin sol daiiin chedy	SHED+AL | AL | OL | L+OL | CHD+AL | AIIN | OL | DA+IIN | CHD+Y	STEHENLASSEN · ZIELSTELLE | ZIELSTELLE | WEITER | LEITEN · WEITER | UMSETZEN · ZIELSTELLE | SOLLMASS | WEITER | ZWEI · STUFE | UMSETZEN · POSTEN	An der linken offenen Nebenstation: An der Zielstelle stehen lassen und dort weiterarbeiten; leiten und weiterarbeiten, an der Zielstelle umsetzen, nach Sollmass weiterarbeiten, bis zur zweiten Stufe fuehren und den Posten umsetzen.	9	14	NO	5
B6-S001	f83r	B6	die rechte S-Lauf-Nebenstation	solkeey qekey raly ol daiin ol dain chey ldalor	SOLK+EE+Y | E+K+E+Y | R+AL+Y | OL | AIIN | OL | AIN | Y | L+AL+OR	SAMMELN · LANG · POSTEN | KURZ · ZUGEBEN · KURZ · POSTEN | KUEHLEN · ZIELSTELLE · POSTEN | WEITER | SOLLMASS | WEITER | PORTION | POSTEN | LEITEN · ZIELSTELLE · ANSATZ	An der rechten S-Lauf-Nebenstation: Den Posten laenger sammeln, kurz zugeben, an der Zielstelle kuehlen, nach Sollmass weiterarbeiten, eine Portion nehmen und den Ansatz zur Zielstelle leiten.	9	18	NO	4
