group_serial	page	locus	event_index	opaque_local_id	condition_shelf	surface	selected_component_parse	portable_relative_components	relative_condition_reading_de	full_workshop_default_de	reading_status	external_celestial_or_calendar_name
118	f67r2	f67r2.47	1	A1:G118	C2	yfain	Y+F_ADDR+AIN	Y+AIN	DIESER_EINTRAG · PORTION · LOKALER_BEDINGUNGSKERN	dies + Aussenbezug + Portion	RELATIVE_COMPONENTS_PLUS_LOCAL_CORE	UNNAMED
119	f67r2	f67r2.48	1	A1:G119	C2	todaiin	T+O+AIIN	AIIN	SOLLMASS · LOKALER_BEDINGUNGSKERN	eintragen + Arbeitsgang + Mass	RELATIVE_COMPONENTS_PLUS_LOCAL_CORE	UNNAMED
120	f67r2	f67r2.48	2	A1:G120	C2	dain	AIN	AIN	PORTION	Portion	RELATIVE_COMPONENTS_PLUS_LOCAL_CORE	UNNAMED
121	f67r2	f67r2.48	3	A1:G121	C2	dy	Y	Y	DIESER_EINTRAG	dies	RELATIVE_COMPONENTS_PLUS_LOCAL_CORE	UNNAMED
122	f67r2	f67r2.49	1	A1:G122	C2	os	OS	NONE	LOKALE_BEDINGUNGSKARTE	Fach	LEARNED_LOCAL_WHOLE_LABEL	UNNAMED
123	f67r2	f67r2.49	2	A1:G123	C2	choer	HO+E+R	E	KURZ · LOKALER_BEDINGUNGSKERN	Gabe + kurz + abkuehlen	RELATIVE_COMPONENTS_PLUS_LOCAL_CORE	UNNAMED
124	f67r2	f67r2.49	3	A1:G124	C2	aiin	AIIN	AIIN	SOLLMASS	Mass	RELATIVE_COMPONENTS_PLUS_LOCAL_CORE	UNNAMED
125	f67r2	f67r2.50	1	A1:G125	C2	choeea	HO+EE+A_ADDR	EE	LAENGER · LOKALER_BEDINGUNGSKERN	Gabe + laenger + Nebenadresse	RELATIVE_COMPONENTS_PLUS_LOCAL_CORE	UNNAMED
126	f67r2	f67r2.50	2	A1:G126	C2	sal	AL	AL	AN	Stelle	RELATIVE_COMPONENTS_PLUS_LOCAL_CORE	UNNAMED
127	f67r2	f67r2.51	1	A1:G127	C2	dadaiin	D_ADDR+A_ADDR+AIIN	AIIN	SOLLMASS · LOKALER_BEDINGUNGSKERN	Teiladresse + Nebenadresse + Mass	RELATIVE_COMPONENTS_PLUS_LOCAL_CORE	UNNAMED
128	f67r2	f67r2.52	1	A1:G128	C2	qotoear	OT+O+E+AR	OT+E+AR	FOLGEND · KURZ · VON · LOKALER_BEDINGUNGSKERN	danach + Arbeitsgang + kurz + von dort	RELATIVE_COMPONENTS_PLUS_LOCAL_CORE	UNNAMED
129	f67r2	f67r2.53	1	A1:G129	C2	dchdar	D_ADDR+CHD+AR	AR	VON · LOKALER_BEDINGUNGSKERN	Teiladresse + umsetzen + von dort	RELATIVE_COMPONENTS_PLUS_LOCAL_CORE	UNNAMED
130	f67r2	f67r2.54	1	A1:G130	C2	y	Y	Y	DIESER_EINTRAG	dies	RELATIVE_COMPONENTS_PLUS_LOCAL_CORE	UNNAMED
131	f67r2	f67r2.54	2	A1:G131	C2	saldal	AL+AL	AL+AL	AN · AN	Stelle + Stelle	RELATIVE_COMPONENTS_PLUS_LOCAL_CORE	UNNAMED
132	f67r2	f67r2.55	1	A1:G132	C2	ytodal	Y+T+O+AL	Y+AL	DIESER_EINTRAG · AN · LOKALER_BEDINGUNGSKERN	dies + eintragen + Arbeitsgang + Stelle	RELATIVE_COMPONENTS_PLUS_LOCAL_CORE	UNNAMED
133	f67r2	f67r2.56	1	A1:G133	C2	tol	OL	OL	WEITER	fortsetzen	RELATIVE_COMPONENTS_PLUS_LOCAL_CORE	UNNAMED
134	f67r2	f67r2.56	2	A1:G134	C2	daiin	AIIN	AIIN	SOLLMASS	Mass	RELATIVE_COMPONENTS_PLUS_LOCAL_CORE	UNNAMED
135	f67r2	f67r2.57	1	A1:G135	C2	otar	OT+AR	OT+AR	FOLGEND · VON	danach von dort	RELATIVE_COMPONENTS_PLUS_LOCAL_CORE	UNNAMED
136	f67r2	f67r2.57	2	A1:G136	C2	dy	Y	Y	DIESER_EINTRAG	dies	RELATIVE_COMPONENTS_PLUS_LOCAL_CORE	UNNAMED
137	f67r2	f67r2.58	1	A1:G137	C2	cho	HO	NONE	LOKALE_BEDINGUNGSKARTE	Gabe	LEARNED_LOCAL_WHOLE_LABEL	UNNAMED
138	f67r2	f67r2.58	2	A1:G138	C2	dal	AL	AL	AN	Stelle	RELATIVE_COMPONENTS_PLUS_LOCAL_CORE	UNNAMED
139	f67r2	f67r2.58	3	A1:G139	C2	g	G_ADDR	NONE	LOKALE_BEDINGUNGSKARTE	Strahlmarke	LEARNED_LOCAL_WHOLE_LABEL	UNNAMED
140	f67r2	f67r2.59	1	A1:G140	C2	ytchodly	Y+T+HO+L+Y	Y+Y	DIESER_EINTRAG · DIESER_EINTRAG · LOKALER_BEDINGUNGSKERN	dies + eintragen + Gabe + fuehren + dies	RELATIVE_COMPONENTS_PLUS_LOCAL_CORE	UNNAMED
141	f67r2	f67r2.60	1	A1:G141	C2	octhys	O+CTH+Y+S_LABEL	Y	DIESER_EINTRAG · LOKALER_BEDINGUNGSKERN	Arbeitsgang + bereit + dies + Sternetikett	RELATIVE_COMPONENTS_PLUS_LOCAL_CORE	UNNAMED
142	f67r2	f67r2.61	1	A1:G142	C2	ytokar	Y+T+OK+AR	Y+AR	DIESER_EINTRAG · VON · LOKALER_BEDINGUNGSKERN	dies + eintragen + ansetzen + von dort	RELATIVE_COMPONENTS_PLUS_LOCAL_CORE	UNNAMED
143	f67r2	f67r2.62	1	A1:G143	C2	otolor	OT+OL+OR	OT+OL	FOLGEND · WEITER · LOKALER_BEDINGUNGSKERN	danach + fortsetzen + Ansatz	RELATIVE_COMPONENTS_PLUS_LOCAL_CORE	UNNAMED
144	f67r2	f67r2.63	1	A1:G144	C2	okodar	OK+O+AR	AR	VON · LOKALER_BEDINGUNGSKERN	ansetzen + Arbeitsgang + von dort	RELATIVE_COMPONENTS_PLUS_LOCAL_CORE	UNNAMED
145	f67r2	f67r2.64	1	A1:G145	C1	s	S_LABEL	NONE	LOKALE_BEDINGUNGSKARTE	Sternetikett	LEARNED_LOCAL_WHOLE_LABEL	UNNAMED
146	f67r2	f67r2.64	2	A1:G146	C1	air	AIR	NONE	LOKALE_BEDINGUNGSKARTE	Lauf	LEARNED_LOCAL_WHOLE_LABEL	UNNAMED
147	f67r2	f67r2.65	1	A1:G147	C1	soear	S_ADDR+O+E+AR	E+AR	KURZ · VON · LOKALER_BEDINGUNGSKERN	Sternbezug + Arbeitsgang + kurz + von dort	RELATIVE_COMPONENTS_PLUS_LOCAL_CORE	UNNAMED
148	f67r2	f67r2.66	1	A1:G148	C1	cpheey	CPH_CLASS+EE+Y	EE+Y	LAENGER · DIESER_EINTRAG · LOKALER_BEDINGUNGSKERN	Sternfigur + laenger + dies	RELATIVE_COMPONENTS_PLUS_LOCAL_CORE	UNNAMED
149	f67r2	f67r2.67	1	A1:G149	C1	okodar	OK+O+AR	AR	VON · LOKALER_BEDINGUNGSKERN	ansetzen + Arbeitsgang + von dort	RELATIVE_COMPONENTS_PLUS_LOCAL_CORE	UNNAMED
150	f67r2	f67r2.68	1	A1:G150	C1	oepchod	O+E+P+HO+D_LABEL	E	KURZ · LOKALER_BEDINGUNGSKERN	Arbeitsgang + kurz + hinein + Gabe + Platzetikett	RELATIVE_COMPONENTS_PLUS_LOCAL_CORE	UNNAMED
151	f67r2	f67r2.69	1	A1:G151	C1	s	S_LABEL	NONE	LOKALE_BEDINGUNGSKARTE	Sternetikett	LEARNED_LOCAL_WHOLE_LABEL	UNNAMED
152	f67r2	f67r2.69	2	A1:G152	C1	ay	A_ADDR+Y	Y	DIESER_EINTRAG · LOKALER_BEDINGUNGSKERN	Nebenadresse + dies	RELATIVE_COMPONENTS_PLUS_LOCAL_CORE	UNNAMED
153	f67r2	f67r2.70	1	A1:G153	C1	osar	O+AR	AR	VON · LOKALER_BEDINGUNGSKERN	Arbeitsgang + von dort	RELATIVE_COMPONENTS_PLUS_LOCAL_CORE	UNNAMED
154	f67r2	f67r2.71	1	A1:G154	C1	oran	NONE	NONE	LOKALE_BEDINGUNGSKARTE	lokale Etikette	LEARNED_LOCAL_WHOLE_LABEL	UNNAMED
155	f67r2	f67r2.72	1	A1:G155	C2	dar	AR	AR	VON	von dort	RELATIVE_COMPONENTS_PLUS_LOCAL_CORE	UNNAMED
156	f67r2	f67r2.72	2	A1:G156	C2	aldaiin	AL+AIIN	AL+AIIN	AN · SOLLMASS	Stelle + Mass	RELATIVE_COMPONENTS_PLUS_LOCAL_CORE	UNNAMED
157	f67r2	f67r2.72	3	A1:G157	C2	ydaiin	Y+AIIN	Y+AIIN	DIESER_EINTRAG · SOLLMASS	dies + Mass	RELATIVE_COMPONENTS_PLUS_LOCAL_CORE	UNNAMED
158	f67r2	f67r2.72	4	A1:G158	C2	qkoy	K+O+Y	Y	DIESER_EINTRAG · LOKALER_BEDINGUNGSKERN	zufuehren + Arbeitsgang + dies	RELATIVE_COMPONENTS_PLUS_LOCAL_CORE	UNNAMED
159	f67r2	f67r2.72	5	A1:G159	C2	ydaiin	Y+AIIN	Y+AIIN	DIESER_EINTRAG · SOLLMASS	dies + Mass	RELATIVE_COMPONENTS_PLUS_LOCAL_CORE	UNNAMED
160	f67r2	f67r2.72	6	A1:G160	C2	qofair	O+F_ADDR+AIR	NONE	LOKALE_BEDINGUNGSKARTE	Arbeitsgang + Aussenbezug + Lauf	LEARNED_LOCAL_WHOLE_LABEL	UNNAMED
161	f67r2	f67r2.72	7	A1:G161	C2	ypair	Y+P+AIR	Y	DIESER_EINTRAG · LOKALER_BEDINGUNGSKERN	dies + hinein + Lauf	RELATIVE_COMPONENTS_PLUS_LOCAL_CORE	UNNAMED
162	f67r2	f67r2.72	8	A1:G162	C2	ykoaiin	Y+K+O+AIIN	Y+AIIN	DIESER_EINTRAG · SOLLMASS · LOKALER_BEDINGUNGSKERN	dies + zufuehren + Arbeitsgang + Mass	RELATIVE_COMPONENTS_PLUS_LOCAL_CORE	UNNAMED
163	f67r2	f67r2.72	9	A1:G163	C2	ydoly	Y+D_ADDR+OL+Y	Y+OL+Y	DIESER_EINTRAG · WEITER · DIESER_EINTRAG · LOKALER_BEDINGUNGSKERN	dies + Teiladresse + fortsetzen + dies	RELATIVE_COMPONENTS_PLUS_LOCAL_CORE	UNNAMED
164	f67r2	f67r2.72	10	A1:G164	C2	ytalchos	Y+AL+HO+S_LABEL	Y+AL	DIESER_EINTRAG · AN · LOKALER_BEDINGUNGSKERN	dies + Stelle + Gabe + Sternetikett	RELATIVE_COMPONENTS_PLUS_LOCAL_CORE	UNNAMED
165	f67r2	f67r2.72	11	A1:G165	C2	oly	OL+Y	OL+Y	WEITER · DIESER_EINTRAG	fortsetzen + dies	RELATIVE_COMPONENTS_PLUS_LOCAL_CORE	UNNAMED
166	f67r2	f67r2.72	12	A1:G166	C2	okey	OK+E+Y	E+Y	KURZ · DIESER_EINTRAG · LOKALER_BEDINGUNGSKERN	kurz ansetzen	RELATIVE_COMPONENTS_PLUS_LOCAL_CORE	UNNAMED
167	f67r2	f67r2.73	1	A1:G167	C1	sshey	S_ADDR+SH+E+Y	E+Y	KURZ · DIESER_EINTRAG · LOKALER_BEDINGUNGSKERN	Sternbezug + halten + kurz + dies	RELATIVE_COMPONENTS_PLUS_LOCAL_CORE	UNNAMED
168	f67r2	f67r2.73	2	A1:G168	C1	sy	Y	Y	DIESER_EINTRAG	dies	RELATIVE_COMPONENTS_PLUS_LOCAL_CORE	UNNAMED
169	f67r2	f67r2.73	3	A1:G169	C1	shees	SH+EE+S_LABEL	EE	LAENGER · LOKALER_BEDINGUNGSKERN	halten + laenger + Sternetikett	RELATIVE_COMPONENTS_PLUS_LOCAL_CORE	UNNAMED
170	f67r2	f67r2.73	4	A1:G170	C1	qeykeey	E+Y+K+EE+Y	E+Y+EE+Y	KURZ · DIESER_EINTRAG · LAENGER · DIESER_EINTRAG · LOKALER_BEDINGUNGSKERN	kurz + dies + zufuehren + laenger + dies	RELATIVE_COMPONENTS_PLUS_LOCAL_CORE	UNNAMED
171	f67r2	f67r2.73	5	A1:G171	C1	ykchey	Y+K+Y	Y+Y	DIESER_EINTRAG · DIESER_EINTRAG · LOKALER_BEDINGUNGSKERN	dies + zufuehren + dies	RELATIVE_COMPONENTS_PLUS_LOCAL_CORE	UNNAMED
172	f67r2	f67r2.73	6	A1:G172	C1	ykchey	Y+K+Y	Y+Y	DIESER_EINTRAG · DIESER_EINTRAG · LOKALER_BEDINGUNGSKERN	dies + zufuehren + dies	RELATIVE_COMPONENTS_PLUS_LOCAL_CORE	UNNAMED
173	f67r2	f67r2.73	7	A1:G173	C1	qokeochy	OK+E+O+Y	E+Y	KURZ · DIESER_EINTRAG · LOKALER_BEDINGUNGSKERN	ansetzen + kurz + Arbeitsgang + dies	RELATIVE_COMPONENTS_PLUS_LOCAL_CORE	UNNAMED
174	f67r2	f67r2.73	8	A1:G174	C1	oaiin	O+AIIN	AIIN	SOLLMASS · LOKALER_BEDINGUNGSKERN	Arbeitsgang + Mass	RELATIVE_COMPONENTS_PLUS_LOCAL_CORE	UNNAMED
175	f67r2	f67r2.73	9	A1:G175	C1	okol	OK+OL	OL	WEITER · LOKALER_BEDINGUNGSKERN	ansetzen + fortsetzen	RELATIVE_COMPONENTS_PLUS_LOCAL_CORE	UNNAMED
176	f67r2	f67r2.73	10	A1:G176	C1	ar	AR	AR	VON	von dort	RELATIVE_COMPONENTS_PLUS_LOCAL_CORE	UNNAMED
177	f67r2	f67r2.73	11	A1:G177	C1	olar	OL+AR	OL+AR	WEITER · VON	fortsetzen + von dort	RELATIVE_COMPONENTS_PLUS_LOCAL_CORE	UNNAMED
178	f67r2	f67r2.74	1	A1:G178	Q67	yshey	Y+SH+E+Y	Y+E+Y	DIESER_EINTRAG · KURZ · DIESER_EINTRAG · LOKALER_BEDINGUNGSKERN	dies + halten + kurz + dies	RELATIVE_COMPONENTS_PLUS_LOCAL_CORE	UNNAMED
179	f67r2	f67r2.74	2	A1:G179	Q67	qokeeody	OK+EE+O+Y	EE+Y	LAENGER · DIESER_EINTRAG · LOKALER_BEDINGUNGSKERN	ansetzen + laenger + Arbeitsgang + dies	RELATIVE_COMPONENTS_PLUS_LOCAL_CORE	UNNAMED
180	f67r2	f67r2.74	3	A1:G180	Q67	cheos	CHEO+S_LABEL	NONE	LOKALE_BEDINGUNGSKARTE	Auszug + Sternetikett	LEARNED_LOCAL_WHOLE_LABEL	UNNAMED
181	f67r2	f67r2.74	4	A1:G181	Q67	oeeos	O+EE+O+S_LABEL	EE	LAENGER · LOKALER_BEDINGUNGSKERN	Arbeitsgang + laenger + Arbeitsgang + Sternetikett	RELATIVE_COMPONENTS_PLUS_LOCAL_CORE	UNNAMED
182	f67r2	f67r2.74	5	A1:G182	Q67	qockhy	O+CKH+Y	Y	DIESER_EINTRAG · LOKALER_BEDINGUNGSKERN	Arbeitsgang + Durchlass + dies	RELATIVE_COMPONENTS_PLUS_LOCAL_CORE	UNNAMED
183	f67r2	f67r2.74	6	A1:G183	Q67	chos	HO+S_LABEL	NONE	LOKALE_BEDINGUNGSKARTE	Gabe + Sternetikett	LEARNED_LOCAL_WHOLE_LABEL	UNNAMED
184	f67r2	f67r2.74	7	A1:G184	Q67	aiin	AIIN	AIIN	SOLLMASS	Mass	RELATIVE_COMPONENTS_PLUS_LOCAL_CORE	UNNAMED
185	f67r2	f67r2.74	8	A1:G185	Q67	okeeody	OK+EE+O+Y	EE+Y	LAENGER · DIESER_EINTRAG · LOKALER_BEDINGUNGSKERN	ansetzen + laenger + Arbeitsgang + dies	RELATIVE_COMPONENTS_PLUS_LOCAL_CORE	UNNAMED
186	f67r2	f67r2.74	9	A1:G186	Q67	qokoaiin	OK+O+AIIN	AIIN	SOLLMASS · LOKALER_BEDINGUNGSKERN	ansetzen + Arbeitsgang + Mass	RELATIVE_COMPONENTS_PLUS_LOCAL_CORE	UNNAMED
187	f67r2	f67r2.74	10	A1:G187	Q67	odain	O+AIN	AIN	PORTION · LOKALER_BEDINGUNGSKERN	Arbeitsgang + Portion	RELATIVE_COMPONENTS_PLUS_LOCAL_CORE	UNNAMED
188	f67r2	f67r2.74	11	A1:G188	Q67	ar	AR	AR	VON	von dort	RELATIVE_COMPONENTS_PLUS_LOCAL_CORE	UNNAMED
189	f67r2	f67r2.74	12	A1:G189	Q67	air	AIR	NONE	LOKALE_BEDINGUNGSKARTE	Lauf	LEARNED_LOCAL_WHOLE_LABEL	UNNAMED
190	f67r2	f67r2.74	13	A1:G190	Q67	ay	A_ADDR+Y	Y	DIESER_EINTRAG · LOKALER_BEDINGUNGSKERN	Nebenadresse + dies	RELATIVE_COMPONENTS_PLUS_LOCAL_CORE	UNNAMED
191	f68r1	f68r1.1	1	A2:G001	C3	shokchy	HO+K+Y	Y	DIESER_EINTRAG · LOKALER_BEDINGUNGSKERN	Gabe + zufuehren + dies	RELATIVE_COMPONENTS_PLUS_LOCAL_CORE	UNNAMED
192	f68r1	f68r1.1	2	A2:G002	C3	chteey	CH+T+EE+Y	EE+Y	LAENGER · DIESER_EINTRAG · LOKALER_BEDINGUNGSKERN	abziehen + eintragen + laenger + dies	RELATIVE_COMPONENTS_PLUS_LOCAL_CORE	UNNAMED
193	f68r1	f68r1.1	3	A2:G003	C3	choteey	HO+T+EE+Y	EE+Y	LAENGER · DIESER_EINTRAG · LOKALER_BEDINGUNGSKERN	Gabe + eintragen + laenger + dies	RELATIVE_COMPONENTS_PLUS_LOCAL_CORE	UNNAMED
194	f68r1	f68r1.1	4	A2:G004	C3	cphol	CPH_CLASS+OL	OL	WEITER · LOKALER_BEDINGUNGSKERN	Sternfigur + fortsetzen	RELATIVE_COMPONENTS_PLUS_LOCAL_CORE	UNNAMED
195	f68r1	f68r1.1	5	A2:G005	C3	cheor	CHEO+R	NONE	LOKALE_BEDINGUNGSKARTE	Auszug + abkuehlen	LEARNED_LOCAL_WHOLE_LABEL	UNNAMED
196	f68r1	f68r1.1	6	A2:G006	C3	opcheeol	O+P+CH+EE+OL	EE+OL	LAENGER · WEITER · LOKALER_BEDINGUNGSKERN	Arbeitsgang + hinein + abziehen + laenger + fortsetzen	RELATIVE_COMPONENTS_PLUS_LOCAL_CORE	UNNAMED
197	f68r1	f68r1.1	7	A2:G007	C3	otor	OT+OR	OT	FOLGEND · LOKALER_BEDINGUNGSKERN	danach + Ansatz	RELATIVE_COMPONENTS_PLUS_LOCAL_CORE	UNNAMED
198	f68r1	f68r1.1	8	A2:G008	C3	choctheeey	HO+CTH+EEE+Y	EEE+Y	VOLL · DIESER_EINTRAG · LOKALER_BEDINGUNGSKERN	Gabe + bereit + vollstaendig + dies	RELATIVE_COMPONENTS_PLUS_LOCAL_CORE	UNNAMED
199	f68r1	f68r1.1	9	A2:G009	C3	okchoal	OK+HO+AL	AL	AN · LOKALER_BEDINGUNGSKERN	ansetzen + Gabe + Stelle	RELATIVE_COMPONENTS_PLUS_LOCAL_CORE	UNNAMED
200	f68r1	f68r1.2	1	A2:G010	C3	tochso	T+O+CH+S_ADDR+O	NONE	LOKALE_BEDINGUNGSKARTE	eintragen + Arbeitsgang + abziehen + Sternbezug + Arbeitsgang	LEARNED_LOCAL_WHOLE_LABEL	UNNAMED
201	f68r1	f68r1.2	2	A2:G011	C3	otchl	OT+CH+L	OT	FOLGEND · LOKALER_BEDINGUNGSKERN	danach + abziehen + fuehren	RELATIVE_COMPONENTS_PLUS_LOCAL_CORE	UNNAMED
202	f68r1	f68r1.2	3	A2:G012	C3	qokeeedy	OK+EEE+DY	EEE+DY	VOLL · LOKAL_SCHLIESSEN · LOKALER_BEDINGUNGSKERN	vollständig ansetzen; Schluss	RELATIVE_COMPONENTS_PLUS_LOCAL_CORE	UNNAMED
203	f68r1	f68r1.2	4	A2:G013	C3	cheey	WHOLE[cheey|shey]	NONE	LOKALE_BEDINGUNGSKARTE	Ergebnis	LEARNED_LOCAL_WHOLE_LABEL	UNNAMED
204	f68r1	f68r1.2	5	A2:G014	C3	cheeteey	CH+EE+T+EE+Y	EE+EE+Y	LAENGER · LAENGER · DIESER_EINTRAG · LOKALER_BEDINGUNGSKERN	abziehen + laenger + eintragen + laenger + dies	RELATIVE_COMPONENTS_PLUS_LOCAL_CORE	UNNAMED
205	f68r1	f68r1.2	6	A2:G015	C3	yteody	Y+T+E+O+Y	Y+E+Y	DIESER_EINTRAG · KURZ · DIESER_EINTRAG · LOKALER_BEDINGUNGSKERN	dies + eintragen + kurz + Arbeitsgang + dies	RELATIVE_COMPONENTS_PLUS_LOCAL_CORE	UNNAMED
206	f68r1	f68r1.2	7	A2:G016	C3	chpor	CH+P+OR	NONE	LOKALE_BEDINGUNGSKARTE	abziehen + hinein + Ansatz	LEARNED_LOCAL_WHOLE_LABEL	UNNAMED
207	f68r1	f68r1.2	8	A2:G017	C3	cheokorchey	CHEO+K+OR+Y	Y	DIESER_EINTRAG · LOKALER_BEDINGUNGSKERN	Auszug + zufuehren + Ansatz + dies	RELATIVE_COMPONENTS_PLUS_LOCAL_CORE	UNNAMED
208	f68r1	f68r1.2	9	A2:G018	C3	chod	HO+D_LABEL	NONE	LOKALE_BEDINGUNGSKARTE	Gabe + Platzetikett	LEARNED_LOCAL_WHOLE_LABEL	UNNAMED
209	f68r1	f68r1.3	1	A2:G019	C3	ykor	Y+K+OR	Y	DIESER_EINTRAG · LOKALER_BEDINGUNGSKERN	dies + zufuehren + Ansatz	RELATIVE_COMPONENTS_PLUS_LOCAL_CORE	UNNAMED
210	f68r1	f68r1.3	2	A2:G020	C3	shey	WHOLE[cheey|shey]	NONE	LOKALE_BEDINGUNGSKARTE	Ergebnis	LEARNED_LOCAL_WHOLE_LABEL	UNNAMED
211	f68r1	f68r1.3	3	A2:G021	C3	qocheey	O+CH+EE+Y	EE+Y	LAENGER · DIESER_EINTRAG · LOKALER_BEDINGUNGSKERN	Arbeitsgang + abziehen + laenger + dies	RELATIVE_COMPONENTS_PLUS_LOCAL_CORE	UNNAMED
212	f68r1	f68r1.3	4	A2:G022	C3	chokal	HO+K+AL	AL	AN · LOKALER_BEDINGUNGSKERN	Gabe + zufuehren + Stelle	RELATIVE_COMPONENTS_PLUS_LOCAL_CORE	UNNAMED
213	f68r1	f68r1.3	5	A2:G023	C3	okeey	OK+EE+Y	EE+Y	LAENGER · DIESER_EINTRAG · LOKALER_BEDINGUNGSKERN	länger ansetzen	RELATIVE_COMPONENTS_PLUS_LOCAL_CORE	UNNAMED
214	f68r1	f68r1.3	6	A2:G024	C3	ror	R+OR	NONE	LOKALE_BEDINGUNGSKARTE	abkuehlen + Ansatz	LEARNED_LOCAL_WHOLE_LABEL	UNNAMED
215	f68r1	f68r1.3	7	A2:G025	C3	eckhear	E+CKHE+AR	E+AR	KURZ · VON · LOKALER_BEDINGUNGSKERN	kurz + seihen + von dort	RELATIVE_COMPONENTS_PLUS_LOCAL_CORE	UNNAMED
216	f68r1	f68r1.3	8	A2:G026	C3	daram	AR+AM_ADDR	AR	VON · LOKALER_BEDINGUNGSKERN	von dort + Gegenfeld	RELATIVE_COMPONENTS_PLUS_LOCAL_CORE	UNNAMED
217	f68r1	f68r1.4	1	A2:G027	C3	dchor	D_ADDR+OR	NONE	LOKALE_BEDINGUNGSKARTE	Teiladresse + Ansatz	LEARNED_LOCAL_WHOLE_LABEL	UNNAMED
218	f68r1	f68r1.4	2	A2:G028	C3	okaiiin	NONE	NONE	LOKALE_BEDINGUNGSKARTE	lokale Etikette	LEARNED_LOCAL_WHOLE_LABEL	UNNAMED
219	f68r1	f68r1.5	1	A2:G029	C3	yky	Y+K+Y	Y+Y	DIESER_EINTRAG · DIESER_EINTRAG · LOKALER_BEDINGUNGSKERN	dies + zufuehren + dies	RELATIVE_COMPONENTS_PLUS_LOCAL_CORE	UNNAMED
220	f68r1	f68r1.6	1	A2:G030	C3	dary	AR+Y	AR+Y	VON · DIESER_EINTRAG	von dort + dies	RELATIVE_COMPONENTS_PLUS_LOCAL_CORE	UNNAMED
221	f68r1	f68r1.7	1	A2:G031	C3	chkchykoly	CHK+Y+K+OL+Y	Y+OL+Y	DIESER_EINTRAG · WEITER · DIESER_EINTRAG · LOKALER_BEDINGUNGSKERN	waermen + dies + zufuehren + fortsetzen + dies	RELATIVE_COMPONENTS_PLUS_LOCAL_CORE	UNNAMED
222	f68r1	f68r1.8	1	A2:G032	C3	okodaly	OK+O+AL+Y	AL+Y	AN · DIESER_EINTRAG · LOKALER_BEDINGUNGSKERN	ansetzen + Arbeitsgang + Stelle + dies	RELATIVE_COMPONENTS_PLUS_LOCAL_CORE	UNNAMED
223	f68r1	f68r1.9	1	A2:G033	C3	odchecthy	O+D_ADDR+CH+E+CTH+Y	E+Y	KURZ · DIESER_EINTRAG · LOKALER_BEDINGUNGSKERN	Arbeitsgang + Teiladresse + abziehen + kurz + bereit + dies	RELATIVE_COMPONENTS_PLUS_LOCAL_CORE	UNNAMED
224	f68r1	f68r1.10	1	A2:G034	C3	otcheody	OT+CHEO+DY	OT+DY	FOLGEND · LOKAL_SCHLIESSEN · LOKALER_BEDINGUNGSKERN	danach + Auszug + Schluss	RELATIVE_COMPONENTS_PLUS_LOCAL_CORE	UNNAMED
225	f68r1	f68r1.11	1	A2:G035	C3	okoaly	OK+O+AL+Y	AL+Y	AN · DIESER_EINTRAG · LOKALER_BEDINGUNGSKERN	ansetzen + Arbeitsgang + Stelle + dies	RELATIVE_COMPONENTS_PLUS_LOCAL_CORE	UNNAMED
226	f68r1	f68r1.12	1	A2:G036	C3	chocfhy	HO+CFH_CLASS+Y	Y	DIESER_EINTRAG · LOKALER_BEDINGUNGSKERN	Gabe + Sternhaufen + dies	RELATIVE_COMPONENTS_PLUS_LOCAL_CORE	UNNAMED
227	f68r1	f68r1.13	1	A2:G037	C3	octhey	O+CTH+E+Y	E+Y	KURZ · DIESER_EINTRAG · LOKALER_BEDINGUNGSKERN	Arbeitsgang + bereit + kurz + dies	RELATIVE_COMPONENTS_PLUS_LOCAL_CORE	UNNAMED
228	f68r1	f68r1.14	1	A2:G038	C3	otshey	OT+SH+E+Y	OT+E+Y	FOLGEND · KURZ · DIESER_EINTRAG · LOKALER_BEDINGUNGSKERN	danach + halten + kurz + dies	RELATIVE_COMPONENTS_PLUS_LOCAL_CORE	UNNAMED
229	f68r1	f68r1.15	1	A2:G039	C3	otydy	OT+Y+DY	OT+Y+DY	FOLGEND · DIESER_EINTRAG · LOKAL_SCHLIESSEN	danach + dies + Schluss	RELATIVE_COMPONENTS_PLUS_LOCAL_CORE	UNNAMED
230	f68r1	f68r1.16	1	A2:G040	C3	okear	OK+E+AR	E+AR	KURZ · VON · LOKALER_BEDINGUNGSKERN	ansetzen + kurz + von dort	RELATIVE_COMPONENTS_PLUS_LOCAL_CORE	UNNAMED
231	f68r1	f68r1.17	1	A2:G041	C3	cphocthy	CPH_CLASS+O+CTH+Y	Y	DIESER_EINTRAG · LOKALER_BEDINGUNGSKERN	Sternfigur + Arbeitsgang + bereit + dies	RELATIVE_COMPONENTS_PLUS_LOCAL_CORE	UNNAMED
232	f68r1	f68r1.18	1	A2:G042	C3	ytchody	Y+T+HO+DY	Y+DY	DIESER_EINTRAG · LOKAL_SCHLIESSEN · LOKALER_BEDINGUNGSKERN	dies + eintragen + Gabe + Schluss	RELATIVE_COMPONENTS_PLUS_LOCAL_CORE	UNNAMED
233	f68r1	f68r1.19	1	A2:G043	C3	otys	OT+Y+S_LABEL	OT+Y	FOLGEND · DIESER_EINTRAG · LOKALER_BEDINGUNGSKERN	danach + dies + Sternetikett	RELATIVE_COMPONENTS_PLUS_LOCAL_CORE	UNNAMED
