condition_handle	condition_shelf	page	locus	local_image_owner	surface_sequence	relative_condition_sequence_de	group_count	portable_relative_groups	workshop_use_de	external_name_needed_for_internal_use
Q67@f67r2.74	Q67	f67r2	f67r2.74	A1_PAIRED_WHEEL_LEGEND_UNRESOLVED	yshey qokeeody cheos oeeos qockhy chos aiin okeeody qokoaiin odain ar air ay	DIESER_EINTRAG · KURZ · DIESER_EINTRAG · LOKALER_BEDINGUNGSKERN | LAENGER · DIESER_EINTRAG · LOKALER_BEDINGUNGSKERN | LOKALE_BEDINGUNGSKARTE | LAENGER · LOKALER_BEDINGUNGSKERN | DIESER_EINTRAG · LOKALER_BEDINGUNGSKERN | LOKALE_BEDINGUNGSKARTE | SOLLMASS | LAENGER · DIESER_EINTRAG · LOKALER_BEDINGUNGSKERN | SOLLMASS · LOKALER_BEDINGUNGSKERN | PORTION · LOKALER_BEDINGUNGSKERN | VON | LOKALE_BEDINGUNGSKARTE | DIESER_EINTRAG · LOKALER_BEDINGUNGSKERN	13	10	Nenne Q67@f67r2.74, zeige den Bildort und lies seine relativen Bedienwerte; den shelflokalen Namenskern lernt der Schreiber als Ganzkarte.	NO
C3@f68r1.1	C3	f68r1	f68r1.1	A2_LEFT_PANEL_HEADER	shokchy chteey choteey cphol cheor opcheeol otor choctheeey okchoal	DIESER_EINTRAG · LOKALER_BEDINGUNGSKERN | LAENGER · DIESER_EINTRAG · LOKALER_BEDINGUNGSKERN | LAENGER · DIESER_EINTRAG · LOKALER_BEDINGUNGSKERN | WEITER · LOKALER_BEDINGUNGSKERN | LOKALE_BEDINGUNGSKARTE | LAENGER · WEITER · LOKALER_BEDINGUNGSKERN | FOLGEND · LOKALER_BEDINGUNGSKERN | VOLL · DIESER_EINTRAG · LOKALER_BEDINGUNGSKERN | AN · LOKALER_BEDINGUNGSKERN	9	8	Nenne C3@f68r1.1, zeige den Bildort und lies seine relativen Bedienwerte; den shelflokalen Namenskern lernt der Schreiber als Ganzkarte.	NO
C3@f68r1.2	C3	f68r1	f68r1.2	A2_MIDDLE_PANEL_HEADER	tochso otchl qokeeedy cheey cheeteey yteody chpor cheokorchey chod	LOKALE_BEDINGUNGSKARTE | FOLGEND · LOKALER_BEDINGUNGSKERN | VOLL · LOKAL_SCHLIESSEN · LOKALER_BEDINGUNGSKERN | LOKALE_BEDINGUNGSKARTE | LAENGER · LAENGER · DIESER_EINTRAG · LOKALER_BEDINGUNGSKERN | DIESER_EINTRAG · KURZ · DIESER_EINTRAG · LOKALER_BEDINGUNGSKERN | LOKALE_BEDINGUNGSKARTE | DIESER_EINTRAG · LOKALER_BEDINGUNGSKERN | LOKALE_BEDINGUNGSKARTE	9	5	Nenne C3@f68r1.2, zeige den Bildort und lies seine relativen Bedienwerte; den shelflokalen Namenskern lernt der Schreiber als Ganzkarte.	NO
C3@f68r1.3	C3	f68r1	f68r1.3	A2_RIGHT_PANEL_HEADER	ykor shey qocheey chokal okeey ror eckhear daram	DIESER_EINTRAG · LOKALER_BEDINGUNGSKERN | LOKALE_BEDINGUNGSKARTE | LAENGER · DIESER_EINTRAG · LOKALER_BEDINGUNGSKERN | AN · LOKALER_BEDINGUNGSKERN | LAENGER · DIESER_EINTRAG · LOKALER_BEDINGUNGSKERN | LOKALE_BEDINGUNGSKARTE | KURZ · VON · LOKALER_BEDINGUNGSKERN | VON · LOKALER_BEDINGUNGSKERN	8	6	Nenne C3@f68r1.3, zeige den Bildort und lies seine relativen Bedienwerte; den shelflokalen Namenskern lernt der Schreiber als Ganzkarte.	NO
C3@f68r1.4	C3	f68r1	f68r1.4	A2_MULTIPANEL_HEADER_FRAGMENT_04	dchor okaiiin	LOKALE_BEDINGUNGSKARTE | LOKALE_BEDINGUNGSKARTE	2	0	Nenne C3@f68r1.4, zeige den Bildort und lies seine relativen Bedienwerte; den shelflokalen Namenskern lernt der Schreiber als Ganzkarte.	NO
C3@f68r1.5	C3	f68r1	f68r1.5	A2_MULTIPANEL_HEADER_FRAGMENT_05	yky	DIESER_EINTRAG · DIESER_EINTRAG · LOKALER_BEDINGUNGSKERN	1	1	Nenne C3@f68r1.5, zeige den Bildort und lies seine relativen Bedienwerte; den shelflokalen Namenskern lernt der Schreiber als Ganzkarte.	NO
C3@f68r1.6	C3	f68r1	f68r1.6	A2_MULTIPANEL_HEADER_FRAGMENT_06	dary	VON · DIESER_EINTRAG	1	1	Nenne C3@f68r1.6, zeige den Bildort und lies seine relativen Bedienwerte; den shelflokalen Namenskern lernt der Schreiber als Ganzkarte.	NO
C3@f68r1.7	C3	f68r1	f68r1.7	A2_MULTIPANEL_HEADER_FRAGMENT_07	chkchykoly	DIESER_EINTRAG · WEITER · DIESER_EINTRAG · LOKALER_BEDINGUNGSKERN	1	1	Nenne C3@f68r1.7, zeige den Bildort und lies seine relativen Bedienwerte; den shelflokalen Namenskern lernt der Schreiber als Ganzkarte.	NO
C3@f68r1.8	C3	f68r1	f68r1.8	A2_CENTRE_KEY_UNRESOLVED	okodaly	AN · DIESER_EINTRAG · LOKALER_BEDINGUNGSKERN	1	1	Nenne C3@f68r1.8, zeige den Bildort und lies seine relativen Bedienwerte; den shelflokalen Namenskern lernt der Schreiber als Ganzkarte.	NO
C3@f68r1.9	C3	f68r1	f68r1.9	A2_STAR_STATION_01	odchecthy	KURZ · DIESER_EINTRAG · LOKALER_BEDINGUNGSKERN	1	1	Nenne C3@f68r1.9, zeige den Bildort und lies seine relativen Bedienwerte; den shelflokalen Namenskern lernt der Schreiber als Ganzkarte.	NO
C3@f68r1.10	C3	f68r1	f68r1.10	A2_STAR_STATION_02	otcheody	FOLGEND · LOKAL_SCHLIESSEN · LOKALER_BEDINGUNGSKERN	1	1	Nenne C3@f68r1.10, zeige den Bildort und lies seine relativen Bedienwerte; den shelflokalen Namenskern lernt der Schreiber als Ganzkarte.	NO
C3@f68r1.11	C3	f68r1	f68r1.11	A2_STAR_STATION_03	okoaly	AN · DIESER_EINTRAG · LOKALER_BEDINGUNGSKERN	1	1	Nenne C3@f68r1.11, zeige den Bildort und lies seine relativen Bedienwerte; den shelflokalen Namenskern lernt der Schreiber als Ganzkarte.	NO
C3@f68r1.12	C3	f68r1	f68r1.12	A2_STAR_STATION_04	chocfhy	DIESER_EINTRAG · LOKALER_BEDINGUNGSKERN	1	1	Nenne C3@f68r1.12, zeige den Bildort und lies seine relativen Bedienwerte; den shelflokalen Namenskern lernt der Schreiber als Ganzkarte.	NO
C3@f68r1.13	C3	f68r1	f68r1.13	A2_STAR_STATION_05	octhey	KURZ · DIESER_EINTRAG · LOKALER_BEDINGUNGSKERN	1	1	Nenne C3@f68r1.13, zeige den Bildort und lies seine relativen Bedienwerte; den shelflokalen Namenskern lernt der Schreiber als Ganzkarte.	NO
C3@f68r1.14	C3	f68r1	f68r1.14	A2_STAR_STATION_06	otshey	FOLGEND · KURZ · DIESER_EINTRAG · LOKALER_BEDINGUNGSKERN	1	1	Nenne C3@f68r1.14, zeige den Bildort und lies seine relativen Bedienwerte; den shelflokalen Namenskern lernt der Schreiber als Ganzkarte.	NO
C3@f68r1.15	C3	f68r1	f68r1.15	A2_STAR_STATION_07	otydy	FOLGEND · DIESER_EINTRAG · LOKAL_SCHLIESSEN	1	1	Nenne C3@f68r1.15, zeige den Bildort und lies seine relativen Bedienwerte; den shelflokalen Namenskern lernt der Schreiber als Ganzkarte.	NO
C3@f68r1.16	C3	f68r1	f68r1.16	A2_STAR_STATION_08	okear	KURZ · VON · LOKALER_BEDINGUNGSKERN	1	1	Nenne C3@f68r1.16, zeige den Bildort und lies seine relativen Bedienwerte; den shelflokalen Namenskern lernt der Schreiber als Ganzkarte.	NO
C3@f68r1.17	C3	f68r1	f68r1.17	A2_STAR_STATION_09	cphocthy	DIESER_EINTRAG · LOKALER_BEDINGUNGSKERN	1	1	Nenne C3@f68r1.17, zeige den Bildort und lies seine relativen Bedienwerte; den shelflokalen Namenskern lernt der Schreiber als Ganzkarte.	NO
C3@f68r1.18	C3	f68r1	f68r1.18	A2_STAR_STATION_10	ytchody	DIESER_EINTRAG · LOKAL_SCHLIESSEN · LOKALER_BEDINGUNGSKERN	1	1	Nenne C3@f68r1.18, zeige den Bildort und lies seine relativen Bedienwerte; den shelflokalen Namenskern lernt der Schreiber als Ganzkarte.	NO
C3@f68r1.19	C3	f68r1	f68r1.19	A2_STAR_STATION_11	otys	FOLGEND · DIESER_EINTRAG · LOKALER_BEDINGUNGSKERN	1	1	Nenne C3@f68r1.19, zeige den Bildort und lies seine relativen Bedienwerte; den shelflokalen Namenskern lernt der Schreiber als Ganzkarte.	NO
C3@f68r1.20	C3	f68r1	f68r1.20	A2_STAR_STATION_12	olor	WEITER · LOKALER_BEDINGUNGSKERN	1	1	Nenne C3@f68r1.20, zeige den Bildort und lies seine relativen Bedienwerte; den shelflokalen Namenskern lernt der Schreiber als Ganzkarte.	NO
C3@f68r1.21	C3	f68r1	f68r1.21	A2_STAR_STATION_13	ockhy	DIESER_EINTRAG · LOKALER_BEDINGUNGSKERN	1	1	Nenne C3@f68r1.21, zeige den Bildort und lies seine relativen Bedienwerte; den shelflokalen Namenskern lernt der Schreiber als Ganzkarte.	NO
C3@f68r1.22	C3	f68r1	f68r1.22	A2_STAR_STATION_14	ofcheor	LOKALE_BEDINGUNGSKARTE	1	0	Nenne C3@f68r1.22, zeige den Bildort und lies seine relativen Bedienwerte; den shelflokalen Namenskern lernt der Schreiber als Ganzkarte.	NO
C3@f68r1.23	C3	f68r1	f68r1.23	A2_STAR_STATION_15	otchdy	FOLGEND · LOKAL_SCHLIESSEN · LOKALER_BEDINGUNGSKERN	1	1	Nenne C3@f68r1.23, zeige den Bildort und lies seine relativen Bedienwerte; den shelflokalen Namenskern lernt der Schreiber als Ganzkarte.	NO
C3@f68r1.24	C3	f68r1	f68r1.24	A2_STAR_STATION_16	otykchs	FOLGEND · DIESER_EINTRAG · LOKALER_BEDINGUNGSKERN	1	1	Nenne C3@f68r1.24, zeige den Bildort und lies seine relativen Bedienwerte; den shelflokalen Namenskern lernt der Schreiber als Ganzkarte.	NO
C3@f68r1.25	C3	f68r1	f68r1.25	A2_STAR_STATION_17	otol	FOLGEND · WEITER	1	1	Nenne C3@f68r1.25, zeige den Bildort und lies seine relativen Bedienwerte; den shelflokalen Namenskern lernt der Schreiber als Ganzkarte.	NO
C3@f68r1.26	C3	f68r1	f68r1.26	A2_STAR_STATION_18	otor	FOLGEND · LOKALER_BEDINGUNGSKERN	1	1	Nenne C3@f68r1.26, zeige den Bildort und lies seine relativen Bedienwerte; den shelflokalen Namenskern lernt der Schreiber als Ganzkarte.	NO
C3@f68r1.27	C3	f68r1	f68r1.27	A2_STAR_STATION_19	oiinar	STUFE · VON · LOKALER_BEDINGUNGSKERN	1	1	Nenne C3@f68r1.27, zeige den Bildort und lies seine relativen Bedienwerte; den shelflokalen Namenskern lernt der Schreiber als Ganzkarte.	NO
C3@f68r1.28	C3	f68r1	f68r1.28	A2_STAR_STATION_20	okoldy	WEITER · LOKAL_SCHLIESSEN · LOKALER_BEDINGUNGSKERN	1	1	Nenne C3@f68r1.28, zeige den Bildort und lies seine relativen Bedienwerte; den shelflokalen Namenskern lernt der Schreiber als Ganzkarte.	NO
C3@f68r1.29	C3	f68r1	f68r1.29	A2_STAR_STATION_21	ykchdy	DIESER_EINTRAG · DIESER_EINTRAG · LOKALER_BEDINGUNGSKERN	1	1	Nenne C3@f68r1.29, zeige den Bildort und lies seine relativen Bedienwerte; den shelflokalen Namenskern lernt der Schreiber als Ganzkarte.	NO
C3@f68r1.30	C3	f68r1	f68r1.30	A2_STAR_STATION_22	oeeody	LAENGER · LOKAL_SCHLIESSEN · LOKALER_BEDINGUNGSKERN	1	1	Nenne C3@f68r1.30, zeige den Bildort und lies seine relativen Bedienwerte; den shelflokalen Namenskern lernt der Schreiber als Ganzkarte.	NO
C3@f68r1.31	C3	f68r1	f68r1.31	A2_STAR_STATION_23	ocphy	DIESER_EINTRAG · LOKALER_BEDINGUNGSKERN	1	1	Nenne C3@f68r1.31, zeige den Bildort und lies seine relativen Bedienwerte; den shelflokalen Namenskern lernt der Schreiber als Ganzkarte.	NO
C3@f68r1.32	C3	f68r1	f68r1.32	A2_STAR_STATION_24	okeeodal	LAENGER · AN · LOKALER_BEDINGUNGSKERN	1	1	Nenne C3@f68r1.32, zeige den Bildort und lies seine relativen Bedienwerte; den shelflokalen Namenskern lernt der Schreiber als Ganzkarte.	NO
C3@f68r1.33	C3	f68r1	f68r1.33	A2_STAR_STATION_25	okshor	LOKALE_BEDINGUNGSKARTE	1	0	Nenne C3@f68r1.33, zeige den Bildort und lies seine relativen Bedienwerte; den shelflokalen Namenskern lernt der Schreiber als Ganzkarte.	NO
C3@f68r1.34	C3	f68r1	f68r1.34	A2_STAR_STATION_26	osdaiin	SOLLMASS · LOKALER_BEDINGUNGSKERN	1	1	Nenne C3@f68r1.34, zeige den Bildort und lies seine relativen Bedienwerte; den shelflokalen Namenskern lernt der Schreiber als Ganzkarte.	NO
C3@f68r1.35	C3	f68r1	f68r1.35	A2_STAR_STATION_27	otochedy	FOLGEND · DIESER_EINTRAG · LOKALER_BEDINGUNGSKERN	1	1	Nenne C3@f68r1.35, zeige den Bildort und lies seine relativen Bedienwerte; den shelflokalen Namenskern lernt der Schreiber als Ganzkarte.	NO
C3@f68r1.36	C3	f68r1	f68r1.36	A2_STAR_STATION_28	dolchedy	WEITER · DIESER_EINTRAG · LOKALER_BEDINGUNGSKERN	1	1	Nenne C3@f68r1.36, zeige den Bildort und lies seine relativen Bedienwerte; den shelflokalen Namenskern lernt der Schreiber als Ganzkarte.	NO
C3@f68r1.37	C3	f68r1	f68r1.37	A2_CENTRAL_LEGEND_UNRESOLVED	oky okchdy okardy qear oygy	DIESER_EINTRAG · LOKALER_BEDINGUNGSKERN | DIESER_EINTRAG · LOKALER_BEDINGUNGSKERN | VON · DIESER_EINTRAG · LOKALER_BEDINGUNGSKERN | KURZ · VON | DIESER_EINTRAG · DIESER_EINTRAG · LOKALER_BEDINGUNGSKERN	5	5	Nenne C3@f68r1.37, zeige den Bildort und lies seine relativen Bedienwerte; den shelflokalen Namenskern lernt der Schreiber als Ganzkarte.	NO
C4@f69v.1	C4	f69v	f69v.1	A3_LEFT_WHEEL_RING_TEXT	dair cheyky otaza sar ar chykar okoirsh ar chetody okeeos o tey otokeeey okeeody okeey doiir teeo y chey ot y okedy chsdy okeod y dy choaiin okar okar chol chees yto odair oty oteeo dar o eykeody dchor char	LOKALE_BEDINGUNGSKARTE | DIESER_EINTRAG · DIESER_EINTRAG · LOKALER_BEDINGUNGSKERN | LOKALE_BEDINGUNGSKARTE | VON | VON | DIESER_EINTRAG · VON · LOKALER_BEDINGUNGSKERN | LOKALE_BEDINGUNGSKARTE | VON | KURZ · DIESER_EINTRAG · LOKALER_BEDINGUNGSKERN | LAENGER · LOKALER_BEDINGUNGSKERN | LOKALE_BEDINGUNGSKARTE | KURZ · DIESER_EINTRAG · LOKALER_BEDINGUNGSKERN | FOLGEND · VOLL · DIESER_EINTRAG · LOKALER_BEDINGUNGSKERN | LAENGER · DIESER_EINTRAG · LOKALER_BEDINGUNGSKERN | LAENGER · DIESER_EINTRAG · LOKALER_BEDINGUNGSKERN | LOKALE_BEDINGUNGSKARTE | LAENGER · LOKALER_BEDINGUNGSKERN | DIESER_EINTRAG | DIESER_EINTRAG | FOLGEND | DIESER_EINTRAG | KURZ · DIESER_EINTRAG · LOKALER_BEDINGUNGSKERN | DIESER_EINTRAG · LOKALER_BEDINGUNGSKERN | KURZ · LOKALER_BEDINGUNGSKERN | DIESER_EINTRAG | DIESER_EINTRAG | SOLLMASS · LOKALER_BEDINGUNGSKERN | VON · LOKALER_BEDINGUNGSKERN | VON · LOKALER_BEDINGUNGSKERN | WEITER | LAENGER · LOKALER_BEDINGUNGSKERN | DIESER_EINTRAG · LOKALER_BEDINGUNGSKERN | LOKALE_BEDINGUNGSKARTE | FOLGEND · DIESER_EINTRAG | FOLGEND · LAENGER · LOKALER_BEDINGUNGSKERN | VON | LOKALE_BEDINGUNGSKARTE | KURZ · DIESER_EINTRAG · KURZ · DIESER_EINTRAG · LOKALER_BEDINGUNGSKERN | LOKALE_BEDINGUNGSKARTE | VON	40	32	Nenne C4@f69v.1, zeige den Bildort und lies seine relativen Bedienwerte; den shelflokalen Namenskern lernt der Schreiber als Ganzkarte.	NO
C5@f69v.2	C5	f69v	f69v.2	A3_MIDDLE_WHEEL_RING_TEXT	yka chol ykar dal ykady iokeeor cheey choly ykeeal cheo oaram ockhy sheey aiin y daiial cheody cheal yetey chear y dy ykey ch y dy chol ykar ol y ykeeody chey dal ody airchy choky ychey chey	DIESER_EINTRAG · LOKALER_BEDINGUNGSKERN | WEITER | DIESER_EINTRAG · VON · LOKALER_BEDINGUNGSKERN | AN | DIESER_EINTRAG · DIESER_EINTRAG · LOKALER_BEDINGUNGSKERN | LOKALE_BEDINGUNGSKARTE | LOKALE_BEDINGUNGSKARTE | WEITER · DIESER_EINTRAG | DIESER_EINTRAG · LAENGER · AN · LOKALER_BEDINGUNGSKERN | LOKALE_BEDINGUNGSKARTE | VON · LOKALER_BEDINGUNGSKERN | DIESER_EINTRAG · LOKALER_BEDINGUNGSKERN | LAENGER · DIESER_EINTRAG · LOKALER_BEDINGUNGSKERN | SOLLMASS | DIESER_EINTRAG | LOKALE_BEDINGUNGSKARTE | DIESER_EINTRAG · LOKALER_BEDINGUNGSKERN | AN | DIESER_EINTRAG · KURZ · KURZ · DIESER_EINTRAG · LOKALER_BEDINGUNGSKERN | KURZ · VON · LOKALER_BEDINGUNGSKERN | DIESER_EINTRAG | DIESER_EINTRAG | DIESER_EINTRAG · KURZ · DIESER_EINTRAG · LOKALER_BEDINGUNGSKERN | LOKALE_BEDINGUNGSKARTE | DIESER_EINTRAG | DIESER_EINTRAG | WEITER | DIESER_EINTRAG · VON · LOKALER_BEDINGUNGSKERN | WEITER | DIESER_EINTRAG | DIESER_EINTRAG · LAENGER · DIESER_EINTRAG · LOKALER_BEDINGUNGSKERN | DIESER_EINTRAG | AN | LOKAL_SCHLIESSEN · LOKALER_BEDINGUNGSKERN | DIESER_EINTRAG · LOKALER_BEDINGUNGSKERN | DIESER_EINTRAG · LOKALER_BEDINGUNGSKERN | DIESER_EINTRAG · DIESER_EINTRAG | DIESER_EINTRAG	38	33	Nenne C5@f69v.2, zeige den Bildort und lies seine relativen Bedienwerte; den shelflokalen Namenskern lernt der Schreiber als Ganzkarte.	NO
C6@f69v.3	C6	f69v	f69v.3	A3_RIGHT_WHEEL_RING_TEXT	doair otaldal dair chdy otoar ar chy qoteor cho qotair chda oteeal cheor ar air oteody ytyd a dchy otoly okeodal oteoarar cheteeser dair chey okody dal oteey oteey	LOKALE_BEDINGUNGSKARTE | FOLGEND · AN · AN | LOKALE_BEDINGUNGSKARTE | DIESER_EINTRAG · LOKALER_BEDINGUNGSKERN | FOLGEND · VON · LOKALER_BEDINGUNGSKERN | VON | DIESER_EINTRAG | FOLGEND · KURZ · LOKALER_BEDINGUNGSKERN | LOKALE_BEDINGUNGSKARTE | FOLGEND · LOKALER_BEDINGUNGSKERN | LOKALE_BEDINGUNGSKARTE | FOLGEND · LAENGER · AN | LOKALE_BEDINGUNGSKARTE | VON | LOKALE_BEDINGUNGSKARTE | FOLGEND · KURZ · DIESER_EINTRAG · LOKALER_BEDINGUNGSKERN | DIESER_EINTRAG · DIESER_EINTRAG · LOKALER_BEDINGUNGSKERN | LOKALE_BEDINGUNGSKARTE | DIESER_EINTRAG · LOKALER_BEDINGUNGSKERN | FOLGEND · WEITER · DIESER_EINTRAG | KURZ · AN · LOKALER_BEDINGUNGSKERN | FOLGEND · KURZ · VON · VON · LOKALER_BEDINGUNGSKERN | KURZ · LAENGER · KURZ · LOKALER_BEDINGUNGSKERN | LOKALE_BEDINGUNGSKARTE | DIESER_EINTRAG | DIESER_EINTRAG · LOKALER_BEDINGUNGSKERN | AN | FOLGEND · LAENGER · DIESER_EINTRAG | FOLGEND · LAENGER · DIESER_EINTRAG	29	21	Nenne C6@f69v.3, zeige den Bildort und lies seine relativen Bedienwerte; den shelflokalen Namenskern lernt der Schreiber als Ganzkarte.	NO
C4@f69v.4	C4	f69v	f69v.4	A3_LEFT_RADIAL_SLOT_01	okeey sar	LAENGER · DIESER_EINTRAG · LOKALER_BEDINGUNGSKERN | VON	2	2	Nenne C4@f69v.4, zeige den Bildort und lies seine relativen Bedienwerte; den shelflokalen Namenskern lernt der Schreiber als Ganzkarte.	NO
C4@f69v.5	C4	f69v	f69v.5	A3_LEFT_RADIAL_SLOT_02	okeo dy	KURZ · LOKALER_BEDINGUNGSKERN | DIESER_EINTRAG	2	2	Nenne C4@f69v.5, zeige den Bildort und lies seine relativen Bedienwerte; den shelflokalen Namenskern lernt der Schreiber als Ganzkarte.	NO
C4@f69v.6	C4	f69v	f69v.6	A3_LEFT_RADIAL_SLOT_03	ochoyk	DIESER_EINTRAG · LOKALER_BEDINGUNGSKERN	1	1	Nenne C4@f69v.6, zeige den Bildort und lies seine relativen Bedienwerte; den shelflokalen Namenskern lernt der Schreiber als Ganzkarte.	NO
C4@f69v.7	C4	f69v	f69v.7	A3_LEFT_RADIAL_SLOT_04	ykeey	DIESER_EINTRAG · LAENGER · DIESER_EINTRAG · LOKALER_BEDINGUNGSKERN	1	1	Nenne C4@f69v.7, zeige den Bildort und lies seine relativen Bedienwerte; den shelflokalen Namenskern lernt der Schreiber als Ganzkarte.	NO
C4@f69v.8	C4	f69v	f69v.8	A3_LEFT_RADIAL_SLOT_05	ytory	DIESER_EINTRAG · DIESER_EINTRAG · LOKALER_BEDINGUNGSKERN	1	1	Nenne C4@f69v.8, zeige den Bildort und lies seine relativen Bedienwerte; den shelflokalen Namenskern lernt der Schreiber als Ganzkarte.	NO
C4@f69v.9	C4	f69v	f69v.9	A3_LEFT_RADIAL_SLOT_06	oeesy	LAENGER · DIESER_EINTRAG · LOKALER_BEDINGUNGSKERN	1	1	Nenne C4@f69v.9, zeige den Bildort und lies seine relativen Bedienwerte; den shelflokalen Namenskern lernt der Schreiber als Ganzkarte.	NO
C4@f69v.10	C4	f69v	f69v.10	A3_LEFT_RADIAL_SLOT_07	ytody	DIESER_EINTRAG · LOKAL_SCHLIESSEN · LOKALER_BEDINGUNGSKERN	1	1	Nenne C4@f69v.10, zeige den Bildort und lies seine relativen Bedienwerte; den shelflokalen Namenskern lernt der Schreiber als Ganzkarte.	NO
C4@f69v.11	C4	f69v	f69v.11	A3_LEFT_RADIAL_SLOT_08	okody	LOKAL_SCHLIESSEN · LOKALER_BEDINGUNGSKERN	1	1	Nenne C4@f69v.11, zeige den Bildort und lies seine relativen Bedienwerte; den shelflokalen Namenskern lernt der Schreiber als Ganzkarte.	NO
C4@f69v.12	C4	f69v	f69v.12	A3_LEFT_RADIAL_SLOT_09	otody	FOLGEND · LOKAL_SCHLIESSEN · LOKALER_BEDINGUNGSKERN	1	1	Nenne C4@f69v.12, zeige den Bildort und lies seine relativen Bedienwerte; den shelflokalen Namenskern lernt der Schreiber als Ganzkarte.	NO
C4@f69v.13	C4	f69v	f69v.13	A3_LEFT_RADIAL_SLOT_10	okeal	KURZ · AN · LOKALER_BEDINGUNGSKERN	1	1	Nenne C4@f69v.13, zeige den Bildort und lies seine relativen Bedienwerte; den shelflokalen Namenskern lernt der Schreiber als Ganzkarte.	NO
C4@f69v.14	C4	f69v	f69v.14	A3_LEFT_RADIAL_SLOT_11	okeod	KURZ · LOKALER_BEDINGUNGSKERN	1	1	Nenne C4@f69v.14, zeige den Bildort und lies seine relativen Bedienwerte; den shelflokalen Namenskern lernt der Schreiber als Ganzkarte.	NO
C4@f69v.15	C4	f69v	f69v.15	A3_LEFT_RADIAL_SLOT_12	oteeys	FOLGEND · LAENGER · DIESER_EINTRAG · LOKALER_BEDINGUNGSKERN	1	1	Nenne C4@f69v.15, zeige den Bildort und lies seine relativen Bedienwerte; den shelflokalen Namenskern lernt der Schreiber als Ganzkarte.	NO
C4@f69v.16	C4	f69v	f69v.16	A3_LEFT_RADIAL_SLOT_13	oteol	FOLGEND · KURZ · WEITER	1	1	Nenne C4@f69v.16, zeige den Bildort und lies seine relativen Bedienwerte; den shelflokalen Namenskern lernt der Schreiber als Ganzkarte.	NO
C4@f69v.17	C4	f69v	f69v.17	A3_LEFT_RADIAL_SLOT_14	ykeydy	DIESER_EINTRAG · KURZ · DIESER_EINTRAG · LOKAL_SCHLIESSEN · LOKALER_BEDINGUNGSKERN	1	1	Nenne C4@f69v.17, zeige den Bildort und lies seine relativen Bedienwerte; den shelflokalen Namenskern lernt der Schreiber als Ganzkarte.	NO
C4@f69v.18	C4	f69v	f69v.18	A3_LEFT_RADIAL_SLOT_15	okeod	KURZ · LOKALER_BEDINGUNGSKERN	1	1	Nenne C4@f69v.18, zeige den Bildort und lies seine relativen Bedienwerte; den shelflokalen Namenskern lernt der Schreiber als Ganzkarte.	NO
C4@f69v.19	C4	f69v	f69v.19	A3_LEFT_RADIAL_SLOT_16	saral	VON · AN	1	1	Nenne C4@f69v.19, zeige den Bildort und lies seine relativen Bedienwerte; den shelflokalen Namenskern lernt der Schreiber als Ganzkarte.	NO
C4@f69v.20	C4	f69v	f69v.20	A3_LEFT_RADIAL_SLOT_17	saiir	LOKALE_BEDINGUNGSKARTE	1	0	Nenne C4@f69v.20, zeige den Bildort und lies seine relativen Bedienwerte; den shelflokalen Namenskern lernt der Schreiber als Ganzkarte.	NO
C4@f69v.21	C4	f69v	f69v.21	A3_LEFT_RADIAL_SLOT_18	okolar	WEITER · VON · LOKALER_BEDINGUNGSKERN	1	1	Nenne C4@f69v.21, zeige den Bildort und lies seine relativen Bedienwerte; den shelflokalen Namenskern lernt der Schreiber als Ganzkarte.	NO
C4@f69v.22	C4	f69v	f69v.22	A3_LEFT_RADIAL_SLOT_19	ykeody	DIESER_EINTRAG · KURZ · LOKAL_SCHLIESSEN · LOKALER_BEDINGUNGSKERN	1	1	Nenne C4@f69v.22, zeige den Bildort und lies seine relativen Bedienwerte; den shelflokalen Namenskern lernt der Schreiber als Ganzkarte.	NO
C4@f69v.23	C4	f69v	f69v.23	A3_LEFT_RADIAL_SLOT_20	sarydy	VON · DIESER_EINTRAG · LOKAL_SCHLIESSEN	1	1	Nenne C4@f69v.23, zeige den Bildort und lies seine relativen Bedienwerte; den shelflokalen Namenskern lernt der Schreiber als Ganzkarte.	NO
C4@f69v.24	C4	f69v	f69v.24	A3_LEFT_RADIAL_SLOT_21	otchy	FOLGEND · DIESER_EINTRAG	1	1	Nenne C4@f69v.24, zeige den Bildort und lies seine relativen Bedienwerte; den shelflokalen Namenskern lernt der Schreiber als Ganzkarte.	NO
C4@f69v.25	C4	f69v	f69v.25	A3_LEFT_RADIAL_SLOT_22	okeey dy	LAENGER · DIESER_EINTRAG · LOKALER_BEDINGUNGSKERN | DIESER_EINTRAG	2	2	Nenne C4@f69v.25, zeige den Bildort und lies seine relativen Bedienwerte; den shelflokalen Namenskern lernt der Schreiber als Ganzkarte.	NO
C4@f69v.26	C4	f69v	f69v.26	A3_LEFT_RADIAL_SLOT_23	okey d	KURZ · DIESER_EINTRAG · LOKALER_BEDINGUNGSKERN | LOKALE_BEDINGUNGSKARTE	2	1	Nenne C4@f69v.26, zeige den Bildort und lies seine relativen Bedienwerte; den shelflokalen Namenskern lernt der Schreiber als Ganzkarte.	NO
C4@f69v.27	C4	f69v	f69v.27	A3_LEFT_RADIAL_SLOT_24	okeod	KURZ · LOKALER_BEDINGUNGSKERN	1	1	Nenne C4@f69v.27, zeige den Bildort und lies seine relativen Bedienwerte; den shelflokalen Namenskern lernt der Schreiber als Ganzkarte.	NO
