surface	component_recipe	events	physical_pages	channel_class	reading_route	compact_default_de
qotor	OT+OR	3	f10r	PROSE_ONLY	PRODUCTIVE_COMPONENT_COMPOSITION	danach oder nächster Posten; Ansatz oder Zubereitung
rol	R+OL	3	f75r|f81v	PROSE_ONLY	PRODUCTIVE_COMPONENT_COMPOSITION	Zustand kennzeichnen; im selben Arbeitsgang fortfahren
sam	S+AM_ADDR	3	f83r|f88r	PROSE_ONLY	PRODUCTIVE_COMPONENT_COMPOSITION	Arbeitsvariante auswählen; Innenstelle
shckhedy	SH+CKH+E+DY	3	f81v|f83r	PROSE_ONLY	PRODUCTIVE_COMPONENT_COMPOSITION	Arbeitsgegenstand halten; durch einen Durchlass führen; kurz oder direkt; Arbeitsschritt schließen
sheckhy	SH+E+CKH+Y	3	f82r|f83r	PROSE_ONLY	PRODUCTIVE_COMPONENT_COMPOSITION	Arbeitsgegenstand halten; kurz oder direkt; durch einen Durchlass führen; dieser Arbeitsgegenstand
shecthy	SH+E+CTH+Y	3	f75r|f83r	PROSE_ONLY	PRODUCTIVE_COMPONENT_COMPOSITION	Arbeitsgegenstand halten; kurz oder direkt; bis bereit führen; dieser Arbeitsgegenstand
shedaiin	SHED+AIIN	3	f82r|f83r	PROSE_ONLY	PRODUCTIVE_COMPONENT_COMPOSITION	absetzen lassen; Sollmaß
tar	T+AR	3	f55v|f70v|f83r	BICHANNEL	PRODUCTIVE_COMPONENT_COMPOSITION	Arbeitsgang einstellen; Entnahmestelle
tchol	T+OL	3	f11r|f56r	PROSE_ONLY	PRODUCTIVE_COMPONENT_COMPOSITION	Arbeitsgang einstellen; im selben Arbeitsgang fortfahren
ychey	Y+Y	3	f69v|f75r|f88r	BICHANNEL	PRODUCTIVE_COMPONENT_COMPOSITION	dieser Arbeitsgegenstand; dieser Arbeitsgegenstand
ykaiin	Y+K+AIIN	3	f55v|f81v	PROSE_ONLY	PRODUCTIVE_COMPONENT_COMPOSITION	dieser Arbeitsgegenstand; Material zugeben; Sollmaß
ykain	Y+K+AIN	3	f55v	PROSE_ONLY	PRODUCTIVE_COMPONENT_COMPOSITION	dieser Arbeitsgegenstand; Material zugeben; Portion
ykchy	Y+K+Y	3	f13r|f67r2	BICHANNEL	PRODUCTIVE_COMPONENT_COMPOSITION	dieser Arbeitsgegenstand; Material zugeben; dieser Arbeitsgegenstand
ykeody	Y+K+E+O+DY	3	f67r2|f69v|f70v	IMAGE_ONLY	PRODUCTIVE_COMPONENT_COMPOSITION	dieser Arbeitsgegenstand; Material zugeben; kurz oder direkt; Arbeitsgang ausführen; Arbeitsschritt schließen
ykor	Y+K+OR	3	f13r|f67r2|f68r1	PROSE_ONLY	PRODUCTIVE_COMPONENT_COMPOSITION	dieser Arbeitsgegenstand; Material zugeben; Ansatz oder Zubereitung
aldy	AL+D_ADDR+Y	2	f55v|f67r2	PROSE_ONLY	PRODUCTIVE_COMPONENT_COMPOSITION	Ziel- oder Anschlussstelle; bezeichneter Teil; dieser Arbeitsgegenstand
arar	AR+AR	2	f70v	IMAGE_ONLY	PRODUCTIVE_COMPONENT_COMPOSITION	Entnahmestelle; Entnahmestelle
ay	A_ADDR+Y	2	f67r2	BICHANNEL	PRODUCTIVE_COMPONENT_COMPOSITION	lokale Arbeitsstelle; dieser Arbeitsgegenstand
cfhy	CFH+Y	2	f10r|f11r	PROSE_ONLY	PRODUCTIVE_COMPONENT_COMPOSITION	trennen; dieser Arbeitsgegenstand
chckhdy	CH+CKH+D_ADDR+Y	2	f55v|f83r	PROSE_ONLY	PRODUCTIVE_COMPONENT_COMPOSITION	bezeichneten Anteil entnehmen; durch einen Durchlass führen; bezeichneter Teil; dieser Arbeitsgegenstand
cheal	AL	2	f69v|f82r	BICHANNEL	PRODUCTIVE_COMPONENT_COMPOSITION	Ziel- oder Anschlussstelle
chedar	CHD+AR	2	f82r	PROSE_ONLY	PRODUCTIVE_COMPONENT_COMPOSITION	Arbeitsgut umsetzen; Entnahmestelle
cheeb	CH+EE+LOCAL_CHAR_B	2	f83r|f88r	PROSE_ONLY	PRODUCTIVE_COMPONENT_COMPOSITION	bezeichneten Anteil entnehmen; länger oder gehalten; lokales Schreibzeichen
cheedy	CH+EE+D_ADDR+Y	2	f81v|f82r	PROSE_ONLY	PRODUCTIVE_COMPONENT_COMPOSITION	bezeichneten Anteil entnehmen; länger oder gehalten; bezeichneter Teil; dieser Arbeitsgegenstand
chees	SH+EE+S_ADDR	2	f69v|f70v	IMAGE_ONLY	PRODUCTIVE_COMPONENT_COMPOSITION	Arbeitsgegenstand halten; länger oder gehalten; bezeichnete s-Stelle
cheos	CHEO+S	2	f67r2|f88r	PROSE_ONLY	PRODUCTIVE_COMPONENT_COMPOSITION	Auszug; Arbeitsvariante auswählen
chkedy	CHK+E+D_ADDR+Y	2	f82r|f83r	PROSE_ONLY	PRODUCTIVE_COMPONENT_COMPOSITION	Arbeitsgegenstand behandeln; kurz oder direkt; bezeichneter Teil; dieser Arbeitsgegenstand
chky	CHK+Y	2	f67r2|f83r	BICHANNEL	PRODUCTIVE_COMPONENT_COMPOSITION	Arbeitsgegenstand behandeln; dieser Arbeitsgegenstand
chocfhy	CH+O+CFH+Y	2	f67r2|f68r1	BICHANNEL	PRODUCTIVE_COMPONENT_COMPOSITION	bezeichneten Anteil entnehmen; Arbeitsgang ausführen; trennen; dieser Arbeitsgegenstand
chokeey	OK+EE+Y	2	f56r	PROSE_ONLY	PRODUCTIVE_COMPONENT_COMPOSITION	Arbeitsgang ansetzen; länger oder gehalten; dieser Arbeitsgegenstand
chokor	OK+OR	2	f56r	PROSE_ONLY	PRODUCTIVE_COMPONENT_COMPOSITION	Arbeitsgang ansetzen; Ansatz oder Zubereitung
choly	OL+Y	2	f56r|f69v	BICHANNEL	PRODUCTIVE_COMPONENT_COMPOSITION	im selben Arbeitsgang fortfahren; dieser Arbeitsgegenstand
chorchy	CH+OR+CH+Y	2	f10r|f56r	PROSE_ONLY	PRODUCTIVE_COMPONENT_COMPOSITION	bezeichneten Anteil entnehmen; Ansatz oder Zubereitung; bezeichneten Anteil entnehmen; dieser Arbeitsgegenstand
choteey	CH+OT+EE+Y	2	f68r1|f70v	BICHANNEL	PRODUCTIVE_COMPONENT_COMPOSITION	bezeichneten Anteil entnehmen; danach oder nächster Posten; länger oder gehalten; dieser Arbeitsgegenstand
chotol	CH+OT+OL	2	f56r|f70v	BICHANNEL	PRODUCTIVE_COMPONENT_COMPOSITION	bezeichneten Anteil entnehmen; danach oder nächster Posten; im selben Arbeitsgang fortfahren
choty	CH+OT+Y	2	f11r|f56r	PROSE_ONLY	PRODUCTIVE_COMPONENT_COMPOSITION	bezeichneten Anteil entnehmen; danach oder nächster Posten; dieser Arbeitsgegenstand
chsdy	CH+S+DY	2	f69v|f75r	BICHANNEL	PRODUCTIVE_COMPONENT_COMPOSITION	bezeichneten Anteil entnehmen; Arbeitsvariante auswählen; Arbeitsschritt schließen
ckhey	CKH+E+Y	2	f75r|f88r	PROSE_ONLY	PRODUCTIVE_COMPONENT_COMPOSITION	durch einen Durchlass führen; kurz oder direkt; dieser Arbeitsgegenstand
ckhy	CKH+Y	2	f10r|f81v	PROSE_ONLY	PRODUCTIVE_COMPONENT_COMPOSITION	durch einen Durchlass führen; dieser Arbeitsgegenstand
cphol	CPH+OL	2	f68r1|f88r	PROSE_ONLY	PRODUCTIVE_COMPONENT_COMPOSITION	umleiten; im selben Arbeitsgang fortfahren
cthal	CTH+AL	2	f83r	PROSE_ONLY	PRODUCTIVE_COMPONENT_COMPOSITION	bis bereit führen; Ziel- oder Anschlussstelle
ctho	CTH+O	2	f10r|f56r	PROSE_ONLY	PRODUCTIVE_COMPONENT_COMPOSITION	bis bereit führen; Arbeitsgang ausführen
daiir	DA+IIN+R	2	f70v	IMAGE_ONLY	PRODUCTIVE_COMPONENT_COMPOSITION	zweite Arbeitsstufe; Arbeitsstufe; Zustand kennzeichnen
dalal	AL+AL	2	f70v|f81v	BICHANNEL	PRODUCTIVE_COMPONENT_COMPOSITION	Ziel- oder Anschlussstelle; Ziel- oder Anschlussstelle
dchol	D_ADDR+OL	2	f11r|f13r	PROSE_ONLY	PRODUCTIVE_COMPONENT_COMPOSITION	bezeichneter Teil; im selben Arbeitsgang fortfahren
dl	L	2	f81v	PROSE_ONLY	PRODUCTIVE_COMPONENT_COMPOSITION	entlang des Arbeitswegs führen
doiin	D_ADDR+O+IIN	2	f13r|f67r2	PROSE_ONLY	PRODUCTIVE_COMPONENT_COMPOSITION	bezeichneter Teil; Arbeitsgang ausführen; Arbeitsstufe
doiir	D_ADDR+O+IIN+R	2	f10r|f69v	BICHANNEL	PRODUCTIVE_COMPONENT_COMPOSITION	bezeichneter Teil; Arbeitsgang ausführen; Arbeitsstufe; Zustand kennzeichnen
dsheol	SH+E+OL	2	f81v|f88r	PROSE_ONLY	PRODUCTIVE_COMPONENT_COMPOSITION	Arbeitsgegenstand halten; kurz oder direkt; im selben Arbeitsgang fortfahren
kaiin	K+AIIN	2	f81v	PROSE_ONLY	PRODUCTIVE_COMPONENT_COMPOSITION	Material zugeben; Sollmaß
kal	K+AL	2	f55v|f75r	PROSE_ONLY	PRODUCTIVE_COMPONENT_COMPOSITION	Material zugeben; Ziel- oder Anschlussstelle
kchey	K+CH+E+Y	2	f56r|f67r2	BICHANNEL	PRODUCTIVE_COMPONENT_COMPOSITION	Material zugeben; bezeichneten Anteil entnehmen; kurz oder direkt; dieser Arbeitsgegenstand
keeedy	K+EEE+D_ADDR+Y	2	f82r	PROSE_ONLY	PRODUCTIVE_COMPONENT_COMPOSITION	Material zugeben; vollständig; bezeichneter Teil; dieser Arbeitsgegenstand
keey	K+EE+Y	2	f56r	PROSE_ONLY	PRODUCTIVE_COMPONENT_COMPOSITION	Material zugeben; länger oder gehalten; dieser Arbeitsgegenstand
keol	K+E+OL	2	f56r|f88r	PROSE_ONLY	PRODUCTIVE_COMPONENT_COMPOSITION	Material zugeben; kurz oder direkt; im selben Arbeitsgang fortfahren
lar	L+AR	2	f82r	PROSE_ONLY	PRODUCTIVE_COMPONENT_COMPOSITION	entlang des Arbeitswegs führen; Entnahmestelle
lcheckhy	L+CKH+Y	2	f82r	PROSE_ONLY	PRODUCTIVE_COMPONENT_COMPOSITION	entlang des Arbeitswegs führen; durch einen Durchlass führen; dieser Arbeitsgegenstand
lched	L+CHD	2	f82r	PROSE_ONLY	PRODUCTIVE_COMPONENT_COMPOSITION	entlang des Arbeitswegs führen; Arbeitsgut umsetzen
lkaiin	L+K+AIIN	2	f75r|f82r	PROSE_ONLY	PRODUCTIVE_COMPONENT_COMPOSITION	entlang des Arbeitswegs führen; Material zugeben; Sollmaß
lky	L+K+Y	2	f81v	PROSE_ONLY	PRODUCTIVE_COMPONENT_COMPOSITION	entlang des Arbeitswegs führen; Material zugeben; dieser Arbeitsgegenstand
lsheedy	LSH+EE+D_ADDR+Y	2	f83r	PROSE_ONLY	PRODUCTIVE_COMPONENT_COMPOSITION	spülen; länger oder gehalten; bezeichneter Teil; dieser Arbeitsgegenstand
ltedy	L+T+E+DY	2	f75r|f81v	PROSE_ONLY	PRODUCTIVE_COMPONENT_COMPOSITION	entlang des Arbeitswegs führen; Arbeitsgang einstellen; kurz oder direkt; Arbeitsschritt schließen
ly	L+Y	2	f75r|f81v	PROSE_ONLY	PRODUCTIVE_COMPONENT_COMPOSITION	entlang des Arbeitswegs führen; dieser Arbeitsgegenstand
oaiin	O+AIIN	2	f55v|f67r2	PROSE_ONLY	PRODUCTIVE_COMPONENT_COMPOSITION	Arbeitsgang ausführen; Sollmaß
ofar	O+LOCAL_CHAR_F+AR	2	f67r2	BICHANNEL	PRODUCTIVE_COMPONENT_COMPOSITION	Arbeitsgang ausführen; lokales Schreibzeichen; Entnahmestelle
okaldy	OK+AL+DY	2	f75r|f82r	BICHANNEL	PRODUCTIVE_COMPONENT_COMPOSITION	Arbeitsgang ansetzen; Ziel- oder Anschlussstelle; Arbeitsschritt schließen
okchdy	OK+CHD+DY	2	f68r1|f75r	BICHANNEL	PRODUCTIVE_COMPONENT_COMPOSITION	Arbeitsgang ansetzen; Arbeitsgut umsetzen; Arbeitsschritt schließen
okchor	OK+CH+OR	2	f13r	PROSE_ONLY	PRODUCTIVE_COMPONENT_COMPOSITION	Arbeitsgang ansetzen; bezeichneten Anteil entnehmen; Ansatz oder Zubereitung
okeeody	OK+EE+O+D_ADDR+Y	2	f67r2|f69v	BICHANNEL	PRODUCTIVE_COMPONENT_COMPOSITION	Arbeitsgang ansetzen; länger oder gehalten; Arbeitsgang ausführen; bezeichneter Teil; dieser Arbeitsgegenstand
okeeol	OK+EE+OL	2	f70v|f83r	BICHANNEL	PRODUCTIVE_COMPONENT_COMPOSITION	Arbeitsgang ansetzen; länger oder gehalten; im selben Arbeitsgang fortfahren
okeo	OK+E+O	2	f67r2|f69v	BICHANNEL	PRODUCTIVE_COMPONENT_COMPOSITION	Arbeitsgang ansetzen; kurz oder direkt; Arbeitsgang ausführen
okeodal	OK+E+O+AL	2	f69v|f70v	IMAGE_ONLY	PRODUCTIVE_COMPONENT_COMPOSITION	Arbeitsgang ansetzen; kurz oder direkt; Arbeitsgang ausführen; Ziel- oder Anschlussstelle
okeody	OK+E+O+D_ADDR+Y	2	f55v|f69v	BICHANNEL	PRODUCTIVE_COMPONENT_COMPOSITION	Arbeitsgang ansetzen; kurz oder direkt; Arbeitsgang ausführen; bezeichneter Teil; dieser Arbeitsgegenstand
okodar	OK+O+DA+R	2	f67r2	IMAGE_ONLY	PRODUCTIVE_COMPONENT_COMPOSITION	Arbeitsgang ansetzen; Arbeitsgang ausführen; zweite Arbeitsstufe; Zustand kennzeichnen
okshedy	OK+SH+E+DY	2	f75r|f81v	PROSE_ONLY	PRODUCTIVE_COMPONENT_COMPOSITION	Arbeitsgang ansetzen; Arbeitsgegenstand halten; kurz oder direkt; Arbeitsschritt schließen
olar	OL+AR	2	f67r2|f70v	BICHANNEL	PRODUCTIVE_COMPONENT_COMPOSITION	im selben Arbeitsgang fortfahren; Entnahmestelle
olchy	OL+CH+Y	2	f81v|f82r	PROSE_ONLY	PRODUCTIVE_COMPONENT_COMPOSITION	im selben Arbeitsgang fortfahren; bezeichneten Anteil entnehmen; dieser Arbeitsgegenstand
olkain	OL+K+AIN	2	f81v	PROSE_ONLY	PRODUCTIVE_COMPONENT_COMPOSITION	im selben Arbeitsgang fortfahren; Material zugeben; Portion
ols	OL+S	2	f67r2|f83r	BICHANNEL	PRODUCTIVE_COMPONENT_COMPOSITION	im selben Arbeitsgang fortfahren; Arbeitsvariante auswählen
om	O+AM_ADDR	2	f88r	PROSE_ONLY	PRODUCTIVE_COMPONENT_COMPOSITION	Arbeitsgang ausführen; Innenstelle
otaldy	OT+AL+DY	2	f70v|f88r	IMAGE_ONLY	PRODUCTIVE_COMPONENT_COMPOSITION	danach oder nächster Posten; Ziel- oder Anschlussstelle; Arbeitsschritt schließen
otchdy	OT+CHD+DY	2	f68r1|f83r	BICHANNEL	PRODUCTIVE_COMPONENT_COMPOSITION	danach oder nächster Posten; Arbeitsgut umsetzen; Arbeitsschritt schließen
otchol	OT+CH+OL	2	f13r|f88r	PROSE_ONLY	PRODUCTIVE_COMPONENT_COMPOSITION	danach oder nächster Posten; bezeichneten Anteil entnehmen; im selben Arbeitsgang fortfahren
otchor	OT+CH+OR	2	f13r|f56r	PROSE_ONLY	PRODUCTIVE_COMPONENT_COMPOSITION	danach oder nächster Posten; bezeichneten Anteil entnehmen; Ansatz oder Zubereitung
otchy	OT+CH+Y	2	f56r|f69v	BICHANNEL	PRODUCTIVE_COMPONENT_COMPOSITION	danach oder nächster Posten; bezeichneten Anteil entnehmen; dieser Arbeitsgegenstand
oteeo	OT+EE+O	2	f69v|f70v	IMAGE_ONLY	PRODUCTIVE_COMPONENT_COMPOSITION	danach oder nächster Posten; länger oder gehalten; Arbeitsgang ausführen
oteeody	OT+EE+O+DY	2	f70v	IMAGE_ONLY	PRODUCTIVE_COMPONENT_COMPOSITION	danach oder nächster Posten; länger oder gehalten; Arbeitsgang ausführen; Arbeitsschritt schließen
oteo	OT+E+O	2	f70v	IMAGE_ONLY	PRODUCTIVE_COMPONENT_COMPOSITION	danach oder nächster Posten; kurz oder direkt; Arbeitsgang ausführen
oteotey	OT+E+O+T+E+Y	2	f70v	IMAGE_ONLY	PRODUCTIVE_COMPONENT_COMPOSITION	danach oder nächster Posten; kurz oder direkt; Arbeitsgang ausführen; Arbeitsgang einstellen; kurz oder direkt; dieser Arbeitsgegenstand
pchedar	P+CHD+AR	2	f75r|f83r	PROSE_ONLY	PRODUCTIVE_COMPONENT_COMPOSITION	Material einsetzen; Arbeitsgut umsetzen; Entnahmestelle
polshy	P+OL+SH+Y	2	f75r|f81v	PROSE_ONLY	PRODUCTIVE_COMPONENT_COMPOSITION	Material einsetzen; im selben Arbeitsgang fortfahren; Arbeitsgegenstand halten; dieser Arbeitsgegenstand
qo	O	2	f75r	PROSE_ONLY	PRODUCTIVE_COMPONENT_COMPOSITION	Arbeitsgang ausführen
qockhol	CARRIER_Q+O+CKH+OL	2	f83r|f88r	PROSE_ONLY	PRODUCTIVE_COMPONENT_COMPOSITION	neuen Kartenblock beginnen; Arbeitsgang ausführen; durch einen Durchlass führen; im selben Arbeitsgang fortfahren
qoekol	CARRIER_Q+O+E+K+OL	2	f88r	PROSE_ONLY	PRODUCTIVE_COMPONENT_COMPOSITION	neuen Kartenblock beginnen; Arbeitsgang ausführen; kurz oder direkt; Material zugeben; im selben Arbeitsgang fortfahren
qokeeedy	OK+EEE+DY	2	f68r1|f82r	PROSE_ONLY	PRODUCTIVE_COMPONENT_COMPOSITION	Arbeitsgang ansetzen; vollständig; Arbeitsschritt schließen
qolchedy	OL+CHD+DY	2	f81v|f82r	PROSE_ONLY	PRODUCTIVE_COMPONENT_COMPOSITION	im selben Arbeitsgang fortfahren; Arbeitsgut umsetzen; Arbeitsschritt schließen
qoldy	OL+DY	2	f75r|f81v	PROSE_ONLY	PRODUCTIVE_COMPONENT_COMPOSITION	im selben Arbeitsgang fortfahren; Arbeitsschritt schließen
qoly	OL+Y	2	f75r|f82r	PROSE_ONLY	PRODUCTIVE_COMPONENT_COMPOSITION	im selben Arbeitsgang fortfahren; dieser Arbeitsgegenstand
qotchedy	OT+CHD+DY	2	f83r	PROSE_ONLY	PRODUCTIVE_COMPONENT_COMPOSITION	danach oder nächster Posten; Arbeitsgut umsetzen; Arbeitsschritt schließen
qotchol	OT+CH+OL	2	f10r|f13r	PROSE_ONLY	PRODUCTIVE_COMPONENT_COMPOSITION	danach oder nächster Posten; bezeichneten Anteil entnehmen; im selben Arbeitsgang fortfahren
qoteor	OT+E+OR	2	f69v|f82r	BICHANNEL	PRODUCTIVE_COMPONENT_COMPOSITION	danach oder nächster Posten; kurz oder direkt; Ansatz oder Zubereitung
ral	R+AL	2	f81v|f88r	PROSE_ONLY	PRODUCTIVE_COMPONENT_COMPOSITION	Zustand kennzeichnen; Ziel- oder Anschlussstelle
rchedy	R+CHD+Y	2	f82r|f83r	PROSE_ONLY	PRODUCTIVE_COMPONENT_COMPOSITION	Zustand kennzeichnen; Arbeitsgut umsetzen; dieser Arbeitsgegenstand
ror	R+OR	2	f68r1|f75r	PROSE_ONLY	PRODUCTIVE_COMPONENT_COMPOSITION	Zustand kennzeichnen; Ansatz oder Zubereitung
rshedy	R+SHED+DY	2	f75r|f82r	PROSE_ONLY	PRODUCTIVE_COMPONENT_COMPOSITION	Zustand kennzeichnen; absetzen lassen; Arbeitsschritt schließen
rsheedy	R+SH+EE+D_ADDR+Y	2	f82r|f83r	PROSE_ONLY	PRODUCTIVE_COMPONENT_COMPOSITION	Zustand kennzeichnen; Arbeitsgegenstand halten; länger oder gehalten; bezeichneter Teil; dieser Arbeitsgegenstand
ry	R+Y	2	f75r|f82r	PROSE_ONLY	PRODUCTIVE_COMPONENT_COMPOSITION	Zustand kennzeichnen; dieser Arbeitsgegenstand
saral	S+AR+AL	2	f67r2|f69v	BICHANNEL	PRODUCTIVE_COMPONENT_COMPOSITION	Arbeitsvariante auswählen; Entnahmestelle; Ziel- oder Anschlussstelle
schedy	CHD+DY	2	f81v|f83r	PROSE_ONLY	PRODUCTIVE_COMPONENT_COMPOSITION	Arbeitsgut umsetzen; Arbeitsschritt schließen
shal	SH+AL	2	f70v|f75r	BICHANNEL	PRODUCTIVE_COMPONENT_COMPOSITION	Arbeitsgegenstand halten; Ziel- oder Anschlussstelle
shchey	SH+Y	2	f70v|f81v	BICHANNEL	PRODUCTIVE_COMPONENT_COMPOSITION	Arbeitsgegenstand halten; dieser Arbeitsgegenstand
shckhey	SH+CKH+E+Y	2	f82r|f83r	PROSE_ONLY	PRODUCTIVE_COMPONENT_COMPOSITION	Arbeitsgegenstand halten; durch einen Durchlass führen; kurz oder direkt; dieser Arbeitsgegenstand
shcthy	SH+CTH+Y	2	f83r	PROSE_ONLY	PRODUCTIVE_COMPONENT_COMPOSITION	Arbeitsgegenstand halten; bis bereit führen; dieser Arbeitsgegenstand
shedal	SHED+AL	2	f83r	PROSE_ONLY	PRODUCTIVE_COMPONENT_COMPOSITION	absetzen lassen; Ziel- oder Anschlussstelle
sheeky	SH+EE+K+Y	2	f75r|f81v	PROSE_ONLY	PRODUCTIVE_COMPONENT_COMPOSITION	Arbeitsgegenstand halten; länger oder gehalten; Material zugeben; dieser Arbeitsgegenstand
sheety	SH+EE+T+Y	2	f75r	PROSE_ONLY	PRODUCTIVE_COMPONENT_COMPOSITION	Arbeitsgegenstand halten; länger oder gehalten; Arbeitsgang einstellen; dieser Arbeitsgegenstand
shek	SH+E+K	2	f81v	PROSE_ONLY	PRODUCTIVE_COMPONENT_COMPOSITION	Arbeitsgegenstand halten; kurz oder direkt; Material zugeben
sheo	SH+E+O	2	f70v	IMAGE_ONLY	PRODUCTIVE_COMPONENT_COMPOSITION	Arbeitsgegenstand halten; kurz oder direkt; Arbeitsgang ausführen
sho	SH+O	2	f56r	PROSE_ONLY	PRODUCTIVE_COMPONENT_COMPOSITION	Arbeitsgegenstand halten; Arbeitsgang ausführen
solkeedy	SOLK+EE+D_ADDR+Y	2	f83r	PROSE_ONLY	PRODUCTIVE_COMPONENT_COMPOSITION	auffangen; länger oder gehalten; bezeichneter Teil; dieser Arbeitsgegenstand
solkeey	SOLK+EE+Y	2	f81v|f83r	PROSE_ONLY	PRODUCTIVE_COMPONENT_COMPOSITION	auffangen; länger oder gehalten; dieser Arbeitsgegenstand
sshey	S+SH+E+Y	2	f67r2|f75r	PROSE_ONLY	PRODUCTIVE_COMPONENT_COMPOSITION	Arbeitsvariante auswählen; Arbeitsgegenstand halten; kurz oder direkt; dieser Arbeitsgegenstand
taiin	T+AIIN	2	f10r|f82r	PROSE_ONLY	PRODUCTIVE_COMPONENT_COMPOSITION	Arbeitsgang einstellen; Sollmaß
tchy	T+Y	2	f10r|f70v	BICHANNEL	PRODUCTIVE_COMPONENT_COMPOSITION	Arbeitsgang einstellen; dieser Arbeitsgegenstand
tedy	T+E+DY	2	f75r|f81v	PROSE_ONLY	PRODUCTIVE_COMPONENT_COMPOSITION	Arbeitsgang einstellen; kurz oder direkt; Arbeitsschritt schließen
teol	E+OL	2	f81v|f88r	PROSE_ONLY	PRODUCTIVE_COMPONENT_COMPOSITION	kurz oder direkt; im selben Arbeitsgang fortfahren
todaiin	T+O+AIIN	2	f67r2|f70v	BICHANNEL	PRODUCTIVE_COMPONENT_COMPOSITION	Arbeitsgang einstellen; Arbeitsgang ausführen; Sollmaß
tol	T+OL	2	f67r2|f83r	BICHANNEL	PRODUCTIVE_COMPONENT_COMPOSITION	Arbeitsgang einstellen; im selben Arbeitsgang fortfahren
ydaiin	Y+D_ADDR+AIIN	2	f67r2	PROSE_ONLY	PRODUCTIVE_COMPONENT_COMPOSITION	dieser Arbeitsgegenstand; bezeichneter Teil; Sollmaß
ykair	Y+K+AIR	2	f55v|f70v	BICHANNEL	PRODUCTIVE_COMPONENT_COMPOSITION	dieser Arbeitsgegenstand; Material zugeben; Flüssigkeits- oder Stationslauf
ykchey	Y+K+CH+E+Y	2	f67r2	PROSE_ONLY	PRODUCTIVE_COMPONENT_COMPOSITION	dieser Arbeitsgegenstand; Material zugeben; bezeichneten Anteil entnehmen; kurz oder direkt; dieser Arbeitsgegenstand
yshedy	Y+SH+E+DY	2	f75r	PROSE_ONLY	PRODUCTIVE_COMPONENT_COMPOSITION	dieser Arbeitsgegenstand; Arbeitsgegenstand halten; kurz oder direkt; Arbeitsschritt schließen
yshey	Y+SH+E+Y	2	f67r2|f81v	PROSE_ONLY	PRODUCTIVE_COMPONENT_COMPOSITION	dieser Arbeitsgegenstand; Arbeitsgegenstand halten; kurz oder direkt; dieser Arbeitsgegenstand
ytaiin	Y+T+AIIN	2	f55v|f83r	PROSE_ONLY	PRODUCTIVE_COMPONENT_COMPOSITION	dieser Arbeitsgegenstand; Arbeitsgang einstellen; Sollmaß
ytchy	Y+T+Y	2	f11r|f13r	PROSE_ONLY	PRODUCTIVE_COMPONENT_COMPOSITION	dieser Arbeitsgegenstand; Arbeitsgang einstellen; dieser Arbeitsgegenstand
yteos	Y+T+E+O+S_ADDR	2	f67r2|f70v	BICHANNEL	PRODUCTIVE_COMPONENT_COMPOSITION	dieser Arbeitsgegenstand; Arbeitsgang einstellen; kurz oder direkt; Arbeitsgang ausführen; bezeichnete s-Stelle
yto	Y+T+O	2	f67r2|f69v	BICHANNEL	PRODUCTIVE_COMPONENT_COMPOSITION	dieser Arbeitsgegenstand; Arbeitsgang einstellen; Arbeitsgang ausführen
ytody	Y+T+O+DY	2	f67r2|f69v	BICHANNEL	PRODUCTIVE_COMPONENT_COMPOSITION	dieser Arbeitsgegenstand; Arbeitsgang einstellen; Arbeitsgang ausführen; Arbeitsschritt schließen
yty	Y+T+Y	2	f10r	PROSE_ONLY	PRODUCTIVE_COMPONENT_COMPOSITION	dieser Arbeitsgegenstand; Arbeitsgang einstellen; dieser Arbeitsgegenstand
a	A_ADDR	1	f69v	IMAGE_ONLY	PRODUCTIVE_COMPONENT_COMPOSITION	lokale Arbeitsstelle
aildy	A_ADDR+IIN+L+DY	1	f70v	IMAGE_ONLY	PRODUCTIVE_COMPONENT_COMPOSITION	lokale Arbeitsstelle; Arbeitsstufe; entlang des Arbeitswegs führen; Arbeitsschritt schließen
airchy	AIR+Y	1	f69v	IMAGE_ONLY	PRODUCTIVE_COMPONENT_COMPOSITION	Flüssigkeits- oder Stationslauf; dieser Arbeitsgegenstand
ajy	A_ADDR+Y	1	f75r	PROSE_ONLY	PRODUCTIVE_COMPONENT_COMPOSITION	lokale Arbeitsstelle; dieser Arbeitsgegenstand
alaiin	AL+AIIN	1	f67r2	PROSE_ONLY	PRODUCTIVE_COMPONENT_COMPOSITION	Ziel- oder Anschlussstelle; Sollmaß
alain	AL+AIN	1	f70v	IMAGE_ONLY	PRODUCTIVE_COMPONENT_COMPOSITION	Ziel- oder Anschlussstelle; Portion
alals	AL+AL+S_ADDR	1	f70v	IMAGE_ONLY	PRODUCTIVE_COMPONENT_COMPOSITION	Ziel- oder Anschlussstelle; Ziel- oder Anschlussstelle; bezeichnete s-Stelle
aldaiin	AL+D_ADDR+AIIN	1	f67r2	PROSE_ONLY	PRODUCTIVE_COMPONENT_COMPOSITION	Ziel- oder Anschlussstelle; bezeichneter Teil; Sollmaß
alody	AL+O+DY	1	f70v	IMAGE_ONLY	PRODUCTIVE_COMPONENT_COMPOSITION	Ziel- oder Anschlussstelle; Arbeitsgang ausführen; Arbeitsschritt schließen
