label_ordinal	source_event_id	bundle_id	physical_page	register	locus	owner_de	surface	surface_template	label_slot_count	raw_core_sequence	primary_default_sequence	occurrence_role_sequence	legacy_alias_sequence	gdt474_selected_model	gdt585_selected_model	gdt476_context_changed	source_grammar_reading_de	gdt585_primary_reading_de	compound_group_id	interpretation_mode	composition_hypothesis_de	guard
41	P1008-E0410	G474-B074	f72r	CELESTIAL	f72r3.16	lokale Kennung für Tierkreis-Ringgruppe H	ytairal	{NAME_1}airal	1	yt	wiederkehrender Ring- oder Kalenderwert YT	PRIMARY_RECORD_VALUE	NONE	CATALOGUE	CATALOGUE	NO	Sternstelle »yt« — Bahnvermerk, Zielzuordnung.	Sternstelle »wiederkehrender Ring- oder Kalenderwert YT [yt]« — Bahnvermerk, Zielzuordnung.	NONE	SINGLE_LEARNED_VALUE_IN_TECHNICAL_SHELL	NONE	GRAMMAR_PRIMARY__EXACT_SURFACE_AND_NAME_SPANS_FIXED
42	P1008-E0411	G474-B075	f72r	CELESTIAL	f72r3.17	lokale Kennung für Tierkreis-Ringgruppe H	oeeesaiin	{NAME_1}aiin	1	oeees	gelernter Ringfiguren- oder Sternwert OEEES	PRIMARY_RECORD_VALUE	NONE	CATALOGUE	CATALOGUE	NO	Sternstelle »oeees« — Wertangabe.	Sternstelle »gelernter Ringfiguren- oder Sternwert OEEES [oeees]« — Wertangabe.	NONE	SINGLE_LEARNED_VALUE_IN_TECHNICAL_SHELL	NONE	GRAMMAR_PRIMARY__EXACT_SURFACE_AND_NAME_SPANS_FIXED
43	P1008-E0414	G474-B077	f72r	CELESTIAL	f72r3.19	lokale Kennung für Tierkreis-Ringgruppe H	fydy	{NAME_1}ydy	1	f	wiederkehrender Ring- oder Kalenderwert F	PRIMARY_RECORD_VALUE	NONE	INSTRUCTION	INSTRUCTION	NO	Im selben Gang nimm den Sternstelleneintrag »f« und den Positionsposten auf, und schließe den Schritt.	Im selben Gang nimm den Sternstelleneintrag »wiederkehrender Ring- oder Kalenderwert F [f]« und den Positionsposten auf, und schließe den Schritt.	NONE	SINGLE_LEARNED_VALUE_IN_TECHNICAL_SHELL	NONE	GRAMMAR_PRIMARY__EXACT_SURFACE_AND_NAME_SPANS_FIXED
44	P1008-E0417	G474-B078	f72r	CELESTIAL	f72r3.20	lokale Kennung für Tierkreis-Ringgruppe H	eeesaly	{NAME_1}aly	1	eees	gelernter Ringfiguren- oder Sternwert EEES	PRIMARY_RECORD_VALUE	NONE	CATALOGUE	CATALOGUE	NO	Sternstelle »eees« — Zielzuordnung, Postenangabe.	Sternstelle »gelernter Ringfiguren- oder Sternwert EEES [eees]« — Zielzuordnung, Postenangabe.	NONE	SINGLE_LEARNED_VALUE_IN_TECHNICAL_SHELL	NONE	GRAMMAR_PRIMARY__EXACT_SURFACE_AND_NAME_SPANS_FIXED
45	P1008-E0418	G474-B079	f72r	CELESTIAL	f72r3.21	lokale Kennung für Tierkreis-Ringgruppe H	ykaraiin	{NAME_1}araiin	1	yk	wiederkehrender Ring- oder Kalenderwert YK	PRIMARY_RECORD_VALUE	NONE	CATALOGUE	CATALOGUE	NO	Sternstelle »yk« — Ausgangszuordnung, Wertangabe.	Sternstelle »wiederkehrender Ring- oder Kalenderwert YK [yk]« — Ausgangszuordnung, Wertangabe.	NONE	SINGLE_LEARNED_VALUE_IN_TECHNICAL_SHELL	NONE	GRAMMAR_PRIMARY__EXACT_SURFACE_AND_NAME_SPANS_FIXED
46	P1008-E0421	G474-B081	f72r	CELESTIAL	f72r3.23	lokale Kennung für Tierkreis-Ringgruppe H	orara	orar{NAME_1}	1	a	gelernter Ringfiguren- oder Sternwert A	PRIMARY_RECORD_VALUE	NONE	CATALOGUE	CATALOGUE	NO	Sternstelle »a« — Einheitsangabe, Ausgangszuordnung.	Sternstelle »gelernter Ringfiguren- oder Sternwert A [a]« — Einheitsangabe, Ausgangszuordnung.	NONE	SINGLE_LEARNED_VALUE_IN_TECHNICAL_SHELL	NONE	GRAMMAR_PRIMARY__EXACT_SURFACE_AND_NAME_SPANS_FIXED
47	P1008-E0423	G474-B082	f72r	CELESTIAL	f72r3.24	lokale Kennung für Tierkreis-Ringgruppe H	olay	ol{NAME_1}	1	ay	gelernter Ringfiguren- oder Sternwert AY	PRIMARY_RECORD_VALUE	NONE	CATALOGUE	CATALOGUE	NO	Sternstelle »ay« — Fortsetzungsvermerk.	Sternstelle »gelernter Ringfiguren- oder Sternwert AY [ay]« — Fortsetzungsvermerk.	NONE	SINGLE_LEARNED_VALUE_IN_TECHNICAL_SHELL	NONE	GRAMMAR_PRIMARY__EXACT_SURFACE_AND_NAME_SPANS_FIXED
48	P1008-E0424	G474-B083	f72r	CELESTIAL	f72r3.25	lokale Kennung für Tierkreis-Ringgruppe H	olfsheoral	ol{NAME_1}sh{NAME_2}al	2	f|eor	wiederkehrender Ring- oder Kalenderwert F|gelernter Ringfiguren- oder Sternwert EOR	PRIMARY_RECORD_VALUE|CARRIED_FIGURE_OR_ATTRIBUTE_VALUE	NONE|NONE	INSTRUCTION	INSTRUCTION	NO	Weiter halte den Sternstelleneintrag »f« und den Sternstelleneintrag »eor« zur Zielposition.	Weiter halte den Sternstelleneintrag »wiederkehrender Ring- oder Kalenderwert F [f]« und den Sternstelleneintrag »gelernter Ringfiguren- oder Sternwert EOR [eor]« zur Zielposition.	GDT585-C007	ONE_FIGURE_PRIMARY_AND_CARRIED_VALUE	Eine Ringfigur koppelt den Primärwert wiederkehrender Ring- oder Kalenderwert F mit dem getragenen oder attributiven Wert gelernter Ringfiguren- oder Sternwert EOR.	GRAMMAR_PRIMARY__EXACT_SURFACE_AND_NAME_SPANS_FIXED
49	P1008-E0452	G474-B084	f72r	CELESTIAL	f72r3.27	lokale Kennung für Tierkreis-Ringgruppe I	opalal	{NAME_1}alal	1	op	wiederkehrender Ring- oder Kalenderwert OP	PRIMARY_RECORD_VALUE	NONE	CATALOGUE	CATALOGUE	NO	Sternstelle »op« — Zielzuordnung, Zielzuordnung.	Sternstelle »wiederkehrender Ring- oder Kalenderwert OP [op]« — Zielzuordnung, Zielzuordnung.	NONE	SINGLE_LEARNED_VALUE_IN_TECHNICAL_SHELL	NONE	GRAMMAR_PRIMARY__EXACT_SURFACE_AND_NAME_SPANS_FIXED
50	P1008-E0453	G474-B085	f72r	CELESTIAL	f72r3.28	lokale Kennung für Tierkreis-Ringgruppe I	yfary	{NAME_1}ar{NAME_2}	2	yf|y	gelernter Ringfiguren- oder Sternwert YF|wiederkehrender Ring- oder Kalenderwert Y	PRIMARY_RECORD_VALUE|CARRIED_FIGURE_OR_ATTRIBUTE_VALUE	NONE|NONE	CATALOGUE	CATALOGUE	NO	Sternstelle »yf« / Sternstelle »y« — Ausgangszuordnung.	Sternstelle »gelernter Ringfiguren- oder Sternwert YF [yf]« / Sternstelle »wiederkehrender Ring- oder Kalenderwert Y [y]« — Ausgangszuordnung.	GDT585-C008	ONE_FIGURE_PRIMARY_AND_CARRIED_VALUE	Eine Ringfigur koppelt den Primärwert gelernter Ringfiguren- oder Sternwert YF mit dem getragenen oder attributiven Wert wiederkehrender Ring- oder Kalenderwert Y.	GRAMMAR_PRIMARY__EXACT_SURFACE_AND_NAME_SPANS_FIXED
51	P1008-E0454	G474-B086	f72r	CELESTIAL	f72r3.29	lokale Kennung für Tierkreis-Ringgruppe I	oraiiral	or{NAME_1}al	1	aiir	gelernter Ringfiguren- oder Sternwert AIIR	PRIMARY_RECORD_VALUE	NONE	CATALOGUE	CATALOGUE	NO	Sternstelle »aiir« — Einheitsangabe, Zielzuordnung.	Sternstelle »gelernter Ringfiguren- oder Sternwert AIIR [aiir]« — Einheitsangabe, Zielzuordnung.	NONE	SINGLE_LEARNED_VALUE_IN_TECHNICAL_SHELL	NONE	GRAMMAR_PRIMARY__EXACT_SURFACE_AND_NAME_SPANS_FIXED
52	P1008-E0455	G474-B087	f72r	CELESTIAL	f72r3.30	lokale Kennung für Tierkreis-Ringgruppe I	ytoar	{NAME_1}ar	1	yto	gelernter Ringfiguren- oder Sternwert YTO	PRIMARY_RECORD_VALUE	NONE	CATALOGUE	CATALOGUE	NO	Sternstelle »yto« — Ausgangszuordnung.	Sternstelle »gelernter Ringfiguren- oder Sternwert YTO [yto]« — Ausgangszuordnung.	NONE	SINGLE_LEARNED_VALUE_IN_TECHNICAL_SHELL	NONE	GRAMMAR_PRIMARY__EXACT_SURFACE_AND_NAME_SPANS_FIXED
53	P1008-E0457	G474-B088	f72r	CELESTIAL	f72r3.31	lokale Kennung für Tierkreis-Ringgruppe I	octho	{NAME_1}cth{NAME_2}	2	o|o	wiederkehrender Ring- oder Kalenderwert O|wiederkehrender Ring- oder Kalenderwert O	DUPLICATE_SAME_RING_VALUE|DUPLICATE_SAME_RING_VALUE	NONE|NONE	INSTRUCTION	INSTRUCTION	NO	Nimm den Sternstelleneintrag »o« und den Sternstelleneintrag »o« auf und stelle den Sternstelleneintrag »o« und den Sternstelleneintrag »o« ein.	Nimm den Sternstelleneintrag »wiederkehrender Ring- oder Kalenderwert O [o]« und den Sternstelleneintrag »wiederkehrender Ring- oder Kalenderwert O [o]« auf und stelle den Sternstelleneintrag »wiederkehrender Ring- oder Kalenderwert O [o]« und den Sternstelleneintrag »wiederkehrender Ring- oder Kalenderwert O [o]« ein.	GDT585-C009	ONE_FIGURE_REPEATED_RING_VALUE	Eine Ringfigur trägt denselben Wert wiederkehrender Ring- oder Kalenderwert O zweimal in technisch getrennten Rollen.	GRAMMAR_PRIMARY__EXACT_SURFACE_AND_NAME_SPANS_FIXED
54	P1008-E0459	G474-B090	f72r	CELESTIAL	f72r3.33	lokale Kennung für Tierkreis-Ringgruppe I	oletal	ol{NAME_1}al	1	et	gelernter Ringfiguren- oder Sternwert ET	PRIMARY_RECORD_VALUE	NONE	CATALOGUE	COORDINATE	YES	Adressspur: weiter → Sternstelle »et« → Zielposition.	Adressspur: weiter → Sternstelle »gelernter Ringfiguren- oder Sternwert ET [et]« → Zielposition.	NONE	SINGLE_LEARNED_VALUE_IN_TECHNICAL_SHELL	NONE	GRAMMAR_PRIMARY__EXACT_SURFACE_AND_NAME_SPANS_FIXED
55	P1003-E0081	G474-B091	f77r	BIOLOGICAL	f77r.1	Name oder Kennung fuer obere Figuren-, Bogen- und Auslassstation	darchdar	{NAME_1}ar{NAME_2}ar	2	d|chd	Endfigur|linker Speiseanschluss	COMMON_LEFT_END_FIGURE|LEFT_SOURCE_CONNECTION	Ablauf|erwärmtes Becken	CATALOGUE	CATALOGUE	NO	Badstation »d« / Badstation »chd« — Ausgangszuordnung, Ausgangszuordnung.	Badstation »Endfigur [d]« / Badstation »linker Speiseanschluss [chd]« — Ausgangszuordnung, Ausgangszuordnung.	GDT585-C010	LEFT_HUMAN_TERMINAL_PACKAGE	Am linken Quellende steht die Bedien- oder Badendenfigur d beim Quell- oder Speiseanschluss chd.	GRAMMAR_PRIMARY__EXACT_SURFACE_AND_NAME_SPANS_FIXED
56	P1003-E0082	G474-B092	f77r	BIOLOGICAL	f77r.2	Name oder Kennung fuer obere Figuren-, Bogen- und Auslassstation	olkchs	ol{NAME_1}	1	kchs	linker Anschlusskopf	SINGLE_LEARNED_VALUE	Zulaufrohr	CATALOGUE	CATALOGUE	NO	Badstation »kchs« — Fortsetzungsvermerk.	Badstation »linker Anschlusskopf [kchs]« — Fortsetzungsvermerk.	NONE	SINGLE_LEARNED_VALUE_IN_TECHNICAL_SHELL	NONE	GRAMMAR_PRIMARY__EXACT_SURFACE_AND_NAME_SPANS_FIXED
57	P1003-E0084	G474-B094	f77r	BIOLOGICAL	f77r.4	Name oder Kennung fuer obere Figuren-, Bogen- und Auslassstation	otork	ot{NAME_1}	1	ork	mittlerer Tropfkopf	SINGLE_LEARNED_VALUE	Badebecken	CATALOGUE	CATALOGUE	NO	Badstation »ork« — Folgevermerk.	Badstation »mittlerer Tropfkopf [ork]« — Folgevermerk.	NONE	SINGLE_LEARNED_VALUE_IN_TECHNICAL_SHELL	NONE	GRAMMAR_PRIMARY__EXACT_SURFACE_AND_NAME_SPANS_FIXED
58	P1003-E0087	G474-B097	f77r	BIOLOGICAL	f77r.7	Name oder Kennung fuer obere Figuren-, Bogen- und Auslassstation	soral	{NAME_1}al	1	sor	rechter Sprühkopf	SINGLE_LEARNED_VALUE	Sitz- oder Behandlungsstation	CATALOGUE	CATALOGUE	NO	Badstation »sor« — Zielzuordnung.	Badstation »rechter Sprühkopf [sor]« — Zielzuordnung.	NONE	SINGLE_LEARNED_VALUE_IN_TECHNICAL_SHELL	NONE	GRAMMAR_PRIMARY__EXACT_SURFACE_AND_NAME_SPANS_FIXED
59	P1003-E0088	G474-B098	f77r	BIOLOGICAL	f77r.8	Name oder Kennung fuer obere Figuren-, Bogen- und Auslassstation	dotedy	{NAME_1}ot{NAME_2}	2	d|edy	Endfigur|rechter Endanschluss	COMMON_RIGHT_END_FIGURE|RIGHT_END_CONNECTION	Ablauf|Kühlablauf	CATALOGUE	CATALOGUE	NO	Badstation »d« / Badstation »edy« — Folgevermerk.	Badstation »Endfigur [d]« / Badstation »rechter Endanschluss [edy]« — Folgevermerk.	GDT585-C011	RIGHT_HUMAN_TERMINAL_PACKAGE	Am anderen Ende folgt bei der Bedien- oder Badendenfigur d der rechte Entnahme- oder Endanschluss edy.	GRAMMAR_PRIMARY__EXACT_SURFACE_AND_NAME_SPANS_FIXED
60	P1003-E0413	G474-B101	f88v	PHARMA	f88v.1	Name oder Kennung fuer erste Gefaess-/Zutatengruppe	okalyd	okal{NAME_1}	1	yd	Honigvorrat	SINGLE_LEARNED_VALUE	Honig	INSTRUCTION	INSTRUCTION	NO	Setze den Drogeneintrag »yd« als Ansatz an zum Zielgefäß.	Setze den Drogeneintrag »Honigvorrat [yd]« als Ansatz an zum Zielgefäß.	NONE	SINGLE_LEARNED_VALUE_IN_TECHNICAL_SHELL	NONE	GRAMMAR_PRIMARY__EXACT_SURFACE_AND_NAME_SPANS_FIXED
61	P1003-E0414	G474-B102	f88v	PHARMA	f88v.2	Name oder Kennung fuer erste Gefaess-/Zutatengruppe	cheocthy	{NAME_1}cthy	1	cheo	dunkle Faserwurzeldroge	SINGLE_LEARNED_VALUE	Essig	INSTRUCTION	INSTRUCTION	NO	Nimm den Drogeneintrag »cheo« und den Drogenposten und stelle den Drogeneintrag »cheo« und den Drogenposten ein.	Nimm den Drogeneintrag »dunkle Faserwurzeldroge [cheo]« und den Drogenposten und stelle den Drogeneintrag »dunkle Faserwurzeldroge [cheo]« und den Drogenposten ein.	NONE	SINGLE_LEARNED_VALUE_IN_TECHNICAL_SHELL	NONE	GRAMMAR_PRIMARY__EXACT_SURFACE_AND_NAME_SPANS_FIXED
62	P1003-E0415	G474-B103	f88v	PHARMA	f88v.3	Name oder Kennung fuer erste Gefaess-/Zutatengruppe	cpheor	{NAME_1}or	1	cphe	knollige Wurzeldroge mit Blatttrieb	SINGLE_LEARNED_VALUE	Milch	CATALOGUE	CATALOGUE	NO	Droge »cphe« — Einheitsangabe.	Droge »knollige Wurzeldroge mit Blatttrieb [cphe]« — Einheitsangabe.	NONE	SINGLE_LEARNED_VALUE_IN_TECHNICAL_SHELL	NONE	GRAMMAR_PRIMARY__EXACT_SURFACE_AND_NAME_SPANS_FIXED
63	P1003-E0417	G474-B104	f88v	PHARMA	f88v.4	Name oder Kennung fuer erste Gefaess-/Zutatengruppe	arody	ar{NAME_1}	1	ody	blühende Knollenwurzel	SINGLE_LEARNED_VALUE	Bienenwachs	CATALOGUE	CATALOGUE	NO	Droge »ody« — Ausgangszuordnung.	Droge »blühende Knollenwurzel [ody]« — Ausgangszuordnung.	NONE	SINGLE_LEARNED_VALUE_IN_TECHNICAL_SHELL	NONE	GRAMMAR_PRIMARY__EXACT_SURFACE_AND_NAME_SPANS_FIXED
64	P1003-E0458	G474-B106	f88v	PHARMA	f88v.11	Name oder Kennung fuer zweite Gefaess-/Zutatengruppe	otoram	ot{NAME_1}am	1	or	helle Wurzeldroge	SINGLE_LEARNED_VALUE	Olivenöl	CATALOGUE	CATALOGUE	NO	Droge »or« — Folgevermerk, Hier-Vermerk.	Droge »helle Wurzeldroge [or]« — Folgevermerk, Hier-Vermerk.	NONE	SINGLE_LEARNED_VALUE_IN_TECHNICAL_SHELL	NONE	GRAMMAR_PRIMARY__EXACT_SURFACE_AND_NAME_SPANS_FIXED
65	P1003-E0459	G474-B107	f88v	PHARMA	f88v.12	Name oder Kennung fuer zweite Gefaess-/Zutatengruppe	otora	ot{NAME_1}	1	ora	mehrfingrige Blütenwurzel	SINGLE_LEARNED_VALUE	Eiweiß	CATALOGUE	CATALOGUE	NO	Droge »ora« — Folgevermerk.	Droge »mehrfingrige Blütenwurzel [ora]« — Folgevermerk.	NONE	SINGLE_LEARNED_VALUE_IN_TECHNICAL_SHELL	NONE	GRAMMAR_PRIMARY__EXACT_SURFACE_AND_NAME_SPANS_FIXED
66	P1003-E0460	G474-B108	f88v	PHARMA	f88v.13	Name oder Kennung fuer zweite Gefaess-/Zutatengruppe	cheosdy	{NAME_1}	1	cheosdy	gebänderte Faserwurzel der CHEO-Familie	SINGLE_LEARNED_VALUE	Eigelb	CATALOGUE	CATALOGUE	NO	Droge »cheosdy« — Drogenfamilie »cheo«.	Droge »gebänderte Faserwurzel der CHEO-Familie [cheosdy]« — Drogenfamilie »cheo«.	NONE	SINGLE_LEARNED_VALUE_IN_TECHNICAL_SHELL	NONE	GRAMMAR_PRIMARY__EXACT_SURFACE_AND_NAME_SPANS_FIXED
67	P1003-E0554	G474-B110	f88v	PHARMA	f88v.27	Name oder Kennung fuer dritte Gefaess-/Zutatengruppe	daramdal	{NAME_1}ar{NAME_2}dal	2	d|am	Wurzeldroge|Salbengrundlage	ROOT_PART|PREPARATION_BASE	Wasser|Schmalz	CATALOGUE	CATALOGUE	NO	Droge »d« / Droge »am« — Ausgangszuordnung, Zielzuordnung.	Droge »Wurzeldroge [d]« / Droge »Salbengrundlage [am]« — Ausgangszuordnung, Zielzuordnung.	GDT585-C012	ROOT_DRUG_IN_PREPARATION_BASE	Wurzeldroge d in oder mit Salben- oder Fettgrundlage am.	GRAMMAR_PRIMARY__EXACT_SURFACE_AND_NAME_SPANS_FIXED
68	P1003-E0555	G474-B111	f88v	PHARMA	f88v.28	Name oder Kennung fuer dritte Gefaess-/Zutatengruppe	otydary	ot{NAME_1}dar{NAME_2}	2	y|y	Krautdroge|Krautdroge	REPEATED_PLANT_REFERENCE|REPEATED_PLANT_REFERENCE	Wein|Wein	CATALOGUE	CATALOGUE	NO	Droge »y« / Droge »y« — Folgevermerk, Hier-Vermerk, Ausgangszuordnung.	Droge »Krautdroge [y]« / Droge »Krautdroge [y]« — Folgevermerk, Hier-Vermerk, Ausgangszuordnung.	GDT585-C013	REPEATED_SAME_PLANT_REFERENCE	Derselbe Kraut- oder Pflanzenreferent y wird zweimal aufgenommen.	GRAMMAR_PRIMARY__EXACT_SURFACE_AND_NAME_SPANS_FIXED
69	P1003-E0556	G474-B112	f88v	PHARMA	f88v.29	Name oder Kennung fuer dritte Gefaess-/Zutatengruppe	otdordy	ot{NAME_1}	1	dordy	große Speicherwurzel	SINGLE_LEARNED_VALUE	Butter	CATALOGUE	CATALOGUE	NO	Droge »dordy« — Folgevermerk.	Droge »große Speicherwurzel [dordy]« — Folgevermerk.	NONE	SINGLE_LEARNED_VALUE_IN_TECHNICAL_SHELL	NONE	GRAMMAR_PRIMARY__EXACT_SURFACE_AND_NAME_SPANS_FIXED
70	P1003-E0557	G474-B113	f88v	PHARMA	f88v.30	Name oder Kennung fuer dritte Gefaess-/Zutatengruppe	dararda	{NAME_1}arar{NAME_2}	2	d|da	Wurzeldroge|langblättrige Mutterpflanze DA	ROOT_PART|PLANT_TAXON	Wasser|Mehl	CATALOGUE	CATALOGUE	NO	Droge »d« / Droge »da« — Ausgangszuordnung, Ausgangszuordnung.	Droge »Wurzeldroge [d]« / Droge »langblättrige Mutterpflanze DA [da]« — Ausgangszuordnung, Ausgangszuordnung.	GDT585-C014	ROOT_PART_OF_NAMED_PLANT	Wurzel d der langblättrigen Mutterpflanze oder Art DA.	GRAMMAR_PRIMARY__EXACT_SURFACE_AND_NAME_SPANS_FIXED
71	P1008-E1039	G474-B115	f89r	PHARMA	f89r1.2	lokale Kennung für Gefäß-/Pflanzenteilgruppe A	qkol	{NAME_1}ol	1	qk	große helle Speicherwurzel	SINGLE_LEARNED_VALUE	Asche	CATALOGUE	INSTRUCTION	YES	Weiter beziehe den Drogeneintrag »qk«.	Weiter beziehe den Drogeneintrag »große helle Speicherwurzel [qk]«.	NONE	SINGLE_LEARNED_VALUE_IN_TECHNICAL_SHELL	NONE	GRAMMAR_PRIMARY__EXACT_SURFACE_AND_NAME_SPANS_FIXED
72	P1008-E1040	G474-B116	f89r	PHARMA	f89r1.3	lokale Kennung für Gefäß-/Pflanzenteilgruppe A	oldam	ol{NAME_1}am	1	d	Wurzeldroge	SINGLE_LEARNED_VALUE	Wasser	CATALOGUE	INSTRUCTION	YES	Weiter beziehe den Drogeneintrag »d« an der bezeichneten Stelle.	Weiter beziehe den Drogeneintrag »Wurzeldroge [d]« an der bezeichneten Stelle.	NONE	SINGLE_LEARNED_VALUE_IN_TECHNICAL_SHELL	NONE	GRAMMAR_PRIMARY__EXACT_SURFACE_AND_NAME_SPANS_FIXED
73	P1008-E1041	G474-B117	f89r	PHARMA	f89r1.4	lokale Kennung für Gefäß-/Pflanzenteilgruppe A	otoldy	otol{NAME_1}	1	dy	blühende Wurzeldroge	SINGLE_LEARNED_VALUE	Kalk	CATALOGUE	CATALOGUE	NO	Droge »dy« — Folgevermerk, Fortsetzungsvermerk.	Droge »blühende Wurzeldroge [dy]« — Folgevermerk, Fortsetzungsvermerk.	NONE	SINGLE_LEARNED_VALUE_IN_TECHNICAL_SHELL	NONE	GRAMMAR_PRIMARY__EXACT_SURFACE_AND_NAME_SPANS_FIXED
74	P1008-E1042	G474-B118	f89r	PHARMA	f89r1.5	lokale Kennung für Gefäß-/Pflanzenteilgruppe A	ararchodaiin	arar{NAME_1}daiin	1	cho	zweifarbige Langwurzel	SINGLE_LEARNED_VALUE	Schwefel	CATALOGUE	CATALOGUE	NO	Droge »cho« — Ausgangszuordnung, Ausgangszuordnung, Wertangabe.	Droge »zweifarbige Langwurzel [cho]« — Ausgangszuordnung, Ausgangszuordnung, Wertangabe.	NONE	SINGLE_LEARNED_VALUE_IN_TECHNICAL_SHELL	NONE	GRAMMAR_PRIMARY__EXACT_SURFACE_AND_NAME_SPANS_FIXED
75	P1008-E1093	G474-B121	f89r	PHARMA	f89r1.13	lokale Kennung für Gefäß-/Pflanzenteilgruppe B	otorain	ot{NAME_1}ain	1	or	helle Wurzeldroge	SINGLE_LEARNED_VALUE	Olivenöl	CATALOGUE	CATALOGUE	NO	Droge »or« — Folgevermerk, Anteilsangabe.	Droge »helle Wurzeldroge [or]« — Folgevermerk, Anteilsangabe.	NONE	SINGLE_LEARNED_VALUE_IN_TECHNICAL_SHELL	NONE	GRAMMAR_PRIMARY__EXACT_SURFACE_AND_NAME_SPANS_FIXED
76	P1008-E1175	G474-B123	f89r	PHARMA	f89r1.24	lokale Kennung für Gefäß-/Pflanzenteilgruppe C	ykocfhy	{NAME_1}cfhy	1	yko	Arzneivorrat	SINGLE_LEARNED_VALUE	Alaun	INSTRUCTION	INSTRUCTION	NO	Nimm den Drogeneintrag »yko« und den Drogenposten an der bezeichneten Stelle.	Nimm den Drogeneintrag »Arzneivorrat [yko]« und den Drogenposten an der bezeichneten Stelle.	NONE	SINGLE_LEARNED_VALUE_IN_TECHNICAL_SHELL	NONE	GRAMMAR_PRIMARY__EXACT_SURFACE_AND_NAME_SPANS_FIXED
77	P1008-E1176	G474-B124	f89r	PHARMA	f89r1.25	lokale Kennung für Gefäß-/Pflanzenteilgruppe C	saldam	{NAME_1}al{NAME_2}am	2	s|d	Blattdroge|Wurzeldroge	LEAF_OR_HERB_PART|ROOT_PART	Salz|Wasser	CATALOGUE	CATALOGUE	NO	Droge »s« / Droge »d« — Zielzuordnung, Hier-Vermerk.	Droge »Blattdroge [s]« / Droge »Wurzeldroge [d]« — Zielzuordnung, Hier-Vermerk.	GDT585-C015	LEAF_AND_ROOT_PACKAGE	Blatt- oder Krautteil s zusammen mit der Wurzel d derselben Pflanzendroge.	GRAMMAR_PRIMARY__EXACT_SURFACE_AND_NAME_SPANS_FIXED
78	P1008-E1177	G474-B125	f89r	PHARMA	f89r1.26	lokale Kennung für Gefäß-/Pflanzenteilgruppe C	sydarary	{NAME_1}darar{NAME_2}	2	sy|y	Blütenstand|Krautdroge	INFLORESCENCE_PART|HERB_OR_PLANT_FORM	Vitriol|Wein	CATALOGUE	CATALOGUE	NO	Droge »sy« / Droge »y« — Hier-Vermerk, Ausgangszuordnung, Ausgangszuordnung.	Droge »Blütenstand [sy]« / Droge »Krautdroge [y]« — Hier-Vermerk, Ausgangszuordnung, Ausgangszuordnung.	GDT585-C016	INFLORESCENCE_OF_HERB_PACKAGE	Blüten- oder Fruchtstand sy der Kraut- oder Pflanzenform y.	GRAMMAR_PRIMARY__EXACT_SURFACE_AND_NAME_SPANS_FIXED
79	P1008-E1179	G474-B127	f89r	PHARMA	f89r2.1	lokale Kennung für Gefäß-/Pflanzenteilgruppe D	odory	{NAME_1}ory	1	od	Harzvorrat	SINGLE_LEARNED_VALUE	Harz	CATALOGUE	CATALOGUE	NO	Droge »od« — Einheitsangabe, Postenangabe.	Droge »Harzvorrat [od]« — Einheitsangabe, Postenangabe.	NONE	SINGLE_LEARNED_VALUE_IN_TECHNICAL_SHELL	NONE	GRAMMAR_PRIMARY__EXACT_SURFACE_AND_NAME_SPANS_FIXED
80	P1008-E1180	G474-B128	f89r	PHARMA	f89r2.2	lokale Kennung für Gefäß-/Pflanzenteilgruppe D	doly	{NAME_1}oly	1	d	Wurzeldroge	SINGLE_LEARNED_VALUE	Wasser	CATALOGUE	CATALOGUE	NO	Droge »d« — Fortsetzungsvermerk, Postenangabe.	Droge »Wurzeldroge [d]« — Fortsetzungsvermerk, Postenangabe.	NONE	SINGLE_LEARNED_VALUE_IN_TECHNICAL_SHELL	NONE	GRAMMAR_PRIMARY__EXACT_SURFACE_AND_NAME_SPANS_FIXED
81	P1008-E1181	G474-B129	f89r	PHARMA	f89r2.3	lokale Kennung für Gefäß-/Pflanzenteilgruppe D	opchosam	{NAME_1}am	1	opchos	lange Faserwurzel	SINGLE_LEARNED_VALUE	Gummi arabicum	CATALOGUE	CATALOGUE	NO	Droge »opchos« — Hier-Vermerk.	Droge »lange Faserwurzel [opchos]« — Hier-Vermerk.	NONE	SINGLE_LEARNED_VALUE_IN_TECHNICAL_SHELL	NONE	GRAMMAR_PRIMARY__EXACT_SURFACE_AND_NAME_SPANS_FIXED
