packet_host_ordinal	primary_governor_key	source_event_or_card_id	statement_or_record_id	physical_page	register	gate_class	gdt584_rule_id	packet_rule_id	carrier_slot_count	written_root_sequence	written_root_multiset	ordered_written_slot_lemmas_de	written_slot_count_trace_de	packet_composition_elements_de	packet_template_de	sentence_layer_de	display_gap_class	portable_packet_rule_match	historical_explicit_replay	guard
45	ACTION:G407-E3903@1:S	G407-E3903	G407-S652	f88r	PHARMA	MANUAL_GDT584_OVERRIDE	S_HP_STRAIN_AFTER_WET_STEP	HP_EXTRACT_OF_MATERIAL	1	OR	OR*1	OR=Arzneiansatz	Arzneiansatz ×1	Auszug (kompositioneller Packetkopf); Arzneiansatz ×1	Seihe [Auszug; Material/Portion/Ansatz] ab	Seihe den Auszug aus dem Arzneiansatz ab	ACTION_SUPPLIES_UNWRITTEN_EXTRACT_HEAD	NO	YES	ORDERED_WRITTEN_SLOTS__COMPOSITIONAL_HEAD__FLUENT_SENTENCE_DISTINCT
46	ACTION:G407-E3937@1:S	G407-E3937	G407-S653	f88v	PHARMA	AUTO_CONTEXT	S_HP_STRAIN	HP_EXTRACT_OF_MATERIAL	1	AIIN	AIIN*1	AIIN=Arzneiauszug	Arzneiauszug ×1	Arzneiauszug ×1	Seihe [Auszug; Material/Portion/Ansatz] ab	Seihe den Arzneiauszug an der Drogen-Arbeitsstelle und ins Aufnahme- oder Zielgefäß ab	DIRECT_WRITTEN_SLOT_COMPOSITION	YES	YES	ORDERED_WRITTEN_SLOTS__COMPOSITIONAL_HEAD__FLUENT_SENTENCE_DISTINCT
47	ACTION:G407-E3959@1:S	G407-E3959	G407-S654	f88v	PHARMA	AUTO_CONTEXT	S_HP_STRAIN	HP_EXTRACT_OF_MATERIAL	1	AIIN	AIIN*1	AIIN=Arzneiauszug	Arzneiauszug ×1	Arzneiauszug ×1	Seihe [Auszug; Material/Portion/Ansatz] ab	Seihe den Arzneiauszug ab	DIRECT_WRITTEN_SLOT_COMPOSITION	YES	YES	ORDERED_WRITTEN_SLOTS__COMPOSITIONAL_HEAD__FLUENT_SENTENCE_DISTINCT
48	ACTION:G407-E4057@1:S	G407-E4057	G407-S665	f88v	PHARMA	AUTO_CONTEXT	S_HP_STRAIN	HP_EXTRACT_OF_MATERIAL	1	AIIN	AIIN*1	AIIN=Arzneiauszug	Arzneiauszug ×1	Arzneiauszug ×1	Seihe [Auszug; Material/Portion/Ansatz] ab	Seihe den Arzneiauszug ab	DIRECT_WRITTEN_SLOT_COMPOSITION	YES	YES	ORDERED_WRITTEN_SLOTS__COMPOSITIONAL_HEAD__FLUENT_SENTENCE_DISTINCT
49	ACTION:G407-E4069@4:S	G407-E4069	G407-S667	f89r	PHARMA	MANUAL_GDT584_OVERRIDE	S_HP_STRAIN_AFTER_WET_STEP	HP_EXTRACT_OF_MATERIAL	1	AIN	AIN*1	AIN=Zutatenportion	Zutatenportion ×1	Auszug (kompositioneller Packetkopf); Zutatenportion ×1	Seihe [Auszug; Material/Portion/Ansatz] ab	Seihe den Auszug aus der Zutatenportion in Arzneiform ab	ACTION_SUPPLIES_UNWRITTEN_EXTRACT_HEAD	NO	YES	ORDERED_WRITTEN_SLOTS__COMPOSITIONAL_HEAD__FLUENT_SENTENCE_DISTINCT
50	ACTION:G407-E4090@1:S	G407-E4090	G407-S668	f89r	PHARMA	AUTO_CONTEXT	S_HP_STRAIN	HP_EXTRACT_OF_MATERIAL	1	AIIN	AIIN*1	AIIN=Arzneiauszug	Arzneiauszug ×1	Arzneiauszug ×1	Seihe [Auszug; Material/Portion/Ansatz] ab	Seihe den Arzneiauszug ab	DIRECT_WRITTEN_SLOT_COMPOSITION	YES	YES	ORDERED_WRITTEN_SLOTS__COMPOSITIONAL_HEAD__FLUENT_SENTENCE_DISTINCT
51	ACTION:G407-E4112@1:S	G407-E4112	G407-S669	f89r	PHARMA	AUTO_CONTEXT	S_HP_STRAIN	HP_EXTRACT_OF_MATERIAL	1	AIIN	AIIN*1	AIIN=Arzneiauszug	Arzneiauszug ×1	Arzneiauszug ×1	Seihe [Auszug; Material/Portion/Ansatz] ab	Seihe den Arzneiauszug ab	DIRECT_WRITTEN_SLOT_COMPOSITION	YES	YES	ORDERED_WRITTEN_SLOTS__COMPOSITIONAL_HEAD__FLUENT_SENTENCE_DISTINCT
52	ACTION:G407-E4124@4:S	G407-E4124	G407-S670	f89r	PHARMA	AUTO_CONTEXT	S_HP_STRAIN	HP_EXTRACT_OF_MATERIAL	4	AIIN+Y+AIIN+Y	Y*2+AIIN*2	AIIN=Arzneiauszug | Y=Drogenmaterial | AIIN=Arzneiauszug | Y=Drogenmaterial	Arzneiauszug ×2; Drogenmaterial ×2	Arzneiauszug ×2; Drogenmaterial ×2	Seihe [Auszug; Material/Portion/Ansatz] ab	Seihe den Arzneiauszug des Drogenmaterials in Arzneiform, auf Grad I, als neuer Arzneiansatz und über den Gefäßkontakt ab	DIRECT_WRITTEN_SLOT_COMPOSITION	YES	YES	ORDERED_WRITTEN_SLOTS__COMPOSITIONAL_HEAD__FLUENT_SENTENCE_DISTINCT
53	ACTION:G407-E4202@3:S	G407-E4202	G407-S675	f89r	PHARMA	AUTO_CONTEXT	S_HP_STRAIN	HP_EXTRACT_OF_MATERIAL	1	AIIN	AIIN*1	AIIN=Arzneiauszug	Arzneiauszug ×1	Arzneiauszug ×1	Seihe [Auszug; Material/Portion/Ansatz] ab	Seihe den Arzneiauszug ab	DIRECT_WRITTEN_SLOT_COMPOSITION	YES	YES	ORDERED_WRITTEN_SLOTS__COMPOSITIONAL_HEAD__FLUENT_SENTENCE_DISTINCT
54	ACTION:G407-E4285@1:S	G407-E4285	G407-S680	f89r	PHARMA	AUTO_CONTEXT	S_HP_STRAIN	HP_EXTRACT_OF_MATERIAL	1	AIIN	AIIN*1	AIIN=Arzneiauszug	Arzneiauszug ×1	Arzneiauszug ×1	Seihe [Auszug; Material/Portion/Ansatz] ab	Seihe den Arzneiauszug ab	DIRECT_WRITTEN_SLOT_COMPOSITION	YES	YES	ORDERED_WRITTEN_SLOTS__COMPOSITIONAL_HEAD__FLUENT_SENTENCE_DISTINCT
55	ACTION:G407-E4291@1:S	G407-E4291	G407-S680	f89r	PHARMA	AUTO_CONTEXT	S_HP_STRAIN	HP_EXTRACT_OF_MATERIAL	1	AIIN	AIIN*1	AIIN=Arzneiauszug	Arzneiauszug ×1	Arzneiauszug ×1	Seihe [Auszug; Material/Portion/Ansatz] ab	Seihe den Arzneiauszug ab	DIRECT_WRITTEN_SLOT_COMPOSITION	YES	YES	ORDERED_WRITTEN_SLOTS__COMPOSITIONAL_HEAD__FLUENT_SENTENCE_DISTINCT
56	ACTION:G407-E4335@1:S	G407-E4335	G407-S685	f89r	PHARMA	AUTO_CONTEXT	S_HP_STRAIN	HP_EXTRACT_OF_MATERIAL	2	AIIN+AIIN	AIIN*2	AIIN=Arzneiauszug | AIIN=Arzneiauszug	Arzneiauszug ×2	Arzneiauszug ×2	Seihe [Auszug; Material/Portion/Ansatz] ab	Seihe den Arzneiauszug ins Aufnahme- oder Zielgefäß ab	DIRECT_WRITTEN_SLOT_COMPOSITION	YES	YES	ORDERED_WRITTEN_SLOTS__COMPOSITIONAL_HEAD__FLUENT_SENTENCE_DISTINCT
57	ACTION:G407-E4340@1:S	G407-E4340	G407-S685	f89r	PHARMA	AUTO_CONTEXT	S_HP_STRAIN	HP_EXTRACT_OF_MATERIAL	1	AIIN	AIIN*1	AIIN=Arzneiauszug	Arzneiauszug ×1	Arzneiauszug ×1	Seihe [Auszug; Material/Portion/Ansatz] ab	Seihe den Arzneiauszug ab	DIRECT_WRITTEN_SLOT_COMPOSITION	YES	YES	ORDERED_WRITTEN_SLOTS__COMPOSITIONAL_HEAD__FLUENT_SENTENCE_DISTINCT
58	ACTION:G407-E4378@1:S	G407-E4378	G407-S685	f89r	PHARMA	AUTO_CONTEXT	S_HP_STRAIN	HP_EXTRACT_OF_MATERIAL	1	AIIN	AIIN*1	AIIN=Arzneiauszug	Arzneiauszug ×1	Arzneiauszug ×1	Seihe [Auszug; Material/Portion/Ansatz] ab	Seihe den Arzneiauszug ab	DIRECT_WRITTEN_SLOT_COMPOSITION	YES	YES	ORDERED_WRITTEN_SLOTS__COMPOSITIONAL_HEAD__FLUENT_SENTENCE_DISTINCT
59	ACTION:G407-E4381@1:S	G407-E4381	G407-S685	f89r	PHARMA	AUTO_CONTEXT	S_HP_STRAIN	HP_EXTRACT_OF_MATERIAL	2	Y+AIIN	Y*1+AIIN*1	Y=Drogenmaterial | AIIN=Arzneiauszug	Drogenmaterial ×1; Arzneiauszug ×1	Drogenmaterial ×1; Arzneiauszug ×1	Seihe [Auszug; Material/Portion/Ansatz] ab	Seihe den Arzneiauszug des Drogenmaterials in Arzneiform, auf der Zubereitungsstufe, in der Innenform, an der Drogen-Arbeitsstelle und durch den Transferkanal ab	DIRECT_WRITTEN_SLOT_COMPOSITION	YES	YES	ORDERED_WRITTEN_SLOTS__COMPOSITIONAL_HEAD__FLUENT_SENTENCE_DISTINCT
60	ACTION:G407-E4407@2:S	G407-E4407	G407-S689	f95v	HERBAL	MANUAL_GDT584_OVERRIDE	S_HP_STRAIN_AFTER_WET_STEP	HP_EXTRACT_OF_MATERIAL	1	AIN	AIN*1	AIN=Pflanzenportion	Pflanzenportion ×1	Auszug (kompositioneller Packetkopf); Pflanzenportion ×1	Seihe [Auszug; Material/Portion/Ansatz] ab	Seihe den Auszug aus der Pflanzenportion ab	ACTION_SUPPLIES_UNWRITTEN_EXTRACT_HEAD	NO	YES	ORDERED_WRITTEN_SLOTS__COMPOSITIONAL_HEAD__FLUENT_SENTENCE_DISTINCT
61	ACTION:G407-E4439@3:S	G407-E4439	G407-S692	f95v	HERBAL	AUTO_CONTEXT	S_HP_STRAIN	HP_EXTRACT_OF_MATERIAL	1	AIIN	AIIN*1	AIIN=Pflanzenauszug	Pflanzenauszug ×1	Pflanzenauszug ×1	Seihe [Auszug; Material/Portion/Ansatz] ab	Seihe den Pflanzenauszug ab	DIRECT_WRITTEN_SLOT_COMPOSITION	YES	YES	ORDERED_WRITTEN_SLOTS__COMPOSITIONAL_HEAD__FLUENT_SENTENCE_DISTINCT
62	ACTION:G407-E4526@4:S	G407-E4526	G407-S707	f95v	HERBAL	AUTO_CONTEXT	S_HP_STRAIN	HP_EXTRACT_OF_MATERIAL	1	AIIN	AIIN*1	AIIN=Pflanzenauszug	Pflanzenauszug ×1	Pflanzenauszug ×1	Seihe [Auszug; Material/Portion/Ansatz] ab	Seihe den Pflanzenauszug in Zubereitungsform und als neuer Pflanzenansatz ab	DIRECT_WRITTEN_SLOT_COMPOSITION	YES	YES	ORDERED_WRITTEN_SLOTS__COMPOSITIONAL_HEAD__FLUENT_SENTENCE_DISTINCT
63	ACTION:G407-E4555@4:S	G407-E4555	G407-S713	f95v	HERBAL	AUTO_CONTEXT	S_HP_STRAIN	HP_EXTRACT_OF_MATERIAL	2	OR+AIIN	AIIN*1+OR*1	OR=Pflanzenansatz | AIIN=Pflanzenauszug	Pflanzenansatz ×1; Pflanzenauszug ×1	Pflanzenansatz ×1; Pflanzenauszug ×1	Seihe [Auszug; Material/Portion/Ansatz] ab	Seihe den Pflanzenauszug aus dem Pflanzenansatz ab	DIRECT_WRITTEN_SLOT_COMPOSITION	YES	YES	ORDERED_WRITTEN_SLOTS__COMPOSITIONAL_HEAD__FLUENT_SENTENCE_DISTINCT
64	ACTION:G407-E4563@1:S	G407-E4563	G407-S713	f95v	HERBAL	AUTO_CONTEXT	S_HP_STRAIN	HP_EXTRACT_OF_MATERIAL	1	AIIN	AIIN*1	AIIN=Pflanzenauszug	Pflanzenauszug ×1	Pflanzenauszug ×1	Seihe [Auszug; Material/Portion/Ansatz] ab	Seihe den Pflanzenauszug ab	DIRECT_WRITTEN_SLOT_COMPOSITION	YES	YES	ORDERED_WRITTEN_SLOTS__COMPOSITIONAL_HEAD__FLUENT_SENTENCE_DISTINCT
65	ACTION:G515-E0113@4:S	G515-E0113	G515-S008	f20v	HERBAL	AUTO_CONTEXT	S_HP_STRAIN	HP_EXTRACT_OF_MATERIAL	1	AIIN	AIIN*1	AIIN=Pflanzenauszug	Pflanzenauszug ×1	Pflanzenauszug ×1	Seihe [Auszug; Material/Portion/Ansatz] ab	Seihe den Pflanzenauszug in Zubereitungsform und vom Ausgangsmaterial oder -gefäß ab	DIRECT_WRITTEN_SLOT_COMPOSITION	YES	YES	ORDERED_WRITTEN_SLOTS__COMPOSITIONAL_HEAD__FLUENT_SENTENCE_DISTINCT
66	ACTION:G515-E0123@1:S	G515-E0123	G515-S008	f20v	HERBAL	AUTO_CONTEXT	S_HP_STRAIN	HP_EXTRACT_OF_MATERIAL	1	AIIN	AIIN*1	AIIN=Pflanzenauszug	Pflanzenauszug ×1	Pflanzenauszug ×1	Seihe [Auszug; Material/Portion/Ansatz] ab	Seihe den Pflanzenauszug in Zubereitungsform ab	DIRECT_WRITTEN_SLOT_COMPOSITION	YES	YES	ORDERED_WRITTEN_SLOTS__COMPOSITIONAL_HEAD__FLUENT_SENTENCE_DISTINCT
67	ACTION:G515-E0154@1:S	G515-E0154	G515-S009	f31r	HERBAL	AUTO_CONTEXT	S_HP_STRAIN	HP_EXTRACT_OF_MATERIAL	1	AIIN	AIIN*1	AIIN=Pflanzenauszug	Pflanzenauszug ×1	Pflanzenauszug ×1	Seihe [Auszug; Material/Portion/Ansatz] ab	Seihe den Pflanzenauszug ab	DIRECT_WRITTEN_SLOT_COMPOSITION	YES	YES	ORDERED_WRITTEN_SLOTS__COMPOSITIONAL_HEAD__FLUENT_SENTENCE_DISTINCT
68	ACTION:G515-E0162@1:S	G515-E0162	G515-S010	f31r	HERBAL	AUTO_CONTEXT	S_HP_STRAIN	HP_EXTRACT_OF_MATERIAL	1	AIIN	AIIN*1	AIIN=Pflanzenauszug	Pflanzenauszug ×1	Pflanzenauszug ×1	Seihe [Auszug; Material/Portion/Ansatz] ab	Seihe den Pflanzenauszug ab	DIRECT_WRITTEN_SLOT_COMPOSITION	YES	YES	ORDERED_WRITTEN_SLOTS__COMPOSITIONAL_HEAD__FLUENT_SENTENCE_DISTINCT
69	ACTION:G515-E0172@1:S	G515-E0172	G515-S010	f31r	HERBAL	AUTO_CONTEXT	S_HP_STRAIN	HP_EXTRACT_OF_MATERIAL	2	AIIN+Y	Y*1+AIIN*1	AIIN=Pflanzenauszug | Y=Pflanzenmaterial	Pflanzenauszug ×1; Pflanzenmaterial ×1	Pflanzenauszug ×1; Pflanzenmaterial ×1	Seihe [Auszug; Material/Portion/Ansatz] ab	Seihe den Pflanzenauszug des Pflanzenmaterials in Zubereitungsform, an der Pflanzen-Arbeitsstelle, vom Ausgangsmaterial oder -gefäß und über den Materialkontakt ab	DIRECT_WRITTEN_SLOT_COMPOSITION	YES	YES	ORDERED_WRITTEN_SLOTS__COMPOSITIONAL_HEAD__FLUENT_SENTENCE_DISTINCT
70	ACTION:G515-E0193@1:S	G515-E0193	G515-S013	f31r	HERBAL	AUTO_CONTEXT	S_HP_STRAIN	HP_EXTRACT_OF_MATERIAL	1	AIIN	AIIN*1	AIIN=Pflanzenauszug	Pflanzenauszug ×1	Pflanzenauszug ×1	Seihe [Auszug; Material/Portion/Ansatz] ab	Seihe den Pflanzenauszug zur Zielstelle oder ins Auffanggefäß ab	DIRECT_WRITTEN_SLOT_COMPOSITION	YES	YES	ORDERED_WRITTEN_SLOTS__COMPOSITIONAL_HEAD__FLUENT_SENTENCE_DISTINCT
71	ACTION:G515-E0197@1:S	G515-E0197	G515-S013	f31r	HERBAL	AUTO_CONTEXT	S_HP_STRAIN	HP_EXTRACT_OF_MATERIAL	1	AIIN	AIIN*1	AIIN=Pflanzenauszug	Pflanzenauszug ×1	Pflanzenauszug ×1	Seihe [Auszug; Material/Portion/Ansatz] ab	Seihe den Pflanzenauszug ab	DIRECT_WRITTEN_SLOT_COMPOSITION	YES	YES	ORDERED_WRITTEN_SLOTS__COMPOSITIONAL_HEAD__FLUENT_SENTENCE_DISTINCT
72	LOCAL_ACTION:P912-E1840@2:T	P912-E1840	NOT_APPLICABLE	f67r2	CELESTIAL	AUTO_CONTEXT	T_CELESTIAL_SET	CELESTIAL_POSITION_SEGMENT_VALUE	2	Y+AIIN	Y*1+AIIN*1	Y=Ringposition | AIIN=Positionswert	Ringposition ×1; Positionswert ×1	Ringposition ×1; Positionswert ×1	Stelle [Ringposition; Ringsegment; Positionswert] ein	SEE_COMPLETE_LOCAL_CARD_READER	DIRECT_WRITTEN_SLOT_COMPOSITION	YES	YES	ORDERED_WRITTEN_SLOTS__COMPOSITIONAL_HEAD__FLUENT_SENTENCE_DISTINCT
73	LOCAL_ACTION:P912-E2117@2:T	P912-E2117	NOT_APPLICABLE	f69v	CELESTIAL	AUTO_CONTEXT	T_CELESTIAL_SET	CELESTIAL_POSITION_SEGMENT_VALUE	3	Y+OR+Y	Y*2+OR*1	Y=Ringposition | OR=Ringsegment | Y=Ringposition	Ringposition ×2; Ringsegment ×1	Ringposition ×2; Ringsegment ×1	Stelle [Ringposition; Ringsegment; Positionswert] ein	SEE_COMPLETE_LOCAL_CARD_READER	DIRECT_WRITTEN_SLOT_COMPOSITION	YES	YES	ORDERED_WRITTEN_SLOTS__COMPOSITIONAL_HEAD__FLUENT_SENTENCE_DISTINCT
74	LOCAL_ACTION:P912-E1398@1:S	P912-E1398	NOT_APPLICABLE	f82r	BIOLOGICAL	AUTO_CONTEXT	S_BIO_DIVERT	BIOLOGICAL_FLOW_PACKET	2	OR+OR	OR*2	OR=Beckeninhalt | OR=Beckeninhalt	Beckeninhalt ×2	Beckeninhalt ×2	Leite [Strom; Mengenangabe; Teilmenge; Beckeninhalt] um	SEE_COMPLETE_LOCAL_CARD_READER	DIRECT_WRITTEN_SLOT_COMPOSITION	YES	YES	ORDERED_WRITTEN_SLOTS__COMPOSITIONAL_HEAD__FLUENT_SENTENCE_DISTINCT
