event_serial	page	record_unit_id	locus	field_id	statement_id	surface_display_only	joint_tuple_id	selected_exact_mnemonic	v63_event_template	v63_event_parse_status	v64_r4_local_source_expansion	expansion_source	semantic_status
88	f56r	H5	f56r.12	F017	H5-S003	cho	2cc054357a929df85f64	UNKNOWN	EXEMPLAR_ONLY	UNPARSED_EXEMPLAR	nimm danach den folgenden Zusatz oder Pflanzenteil	IMAGE_GENRE_OR_LOCAL_EXEMPLAR	CREATIVE_HERBAL_SECOND_EDITION_NOT_CARD_GLOSS
89	f56r	H5	f56r.12	F017	H5-S003	kchey	b74e9e65637b7c8538dd	UNKNOWN	EXEMPLAR_ONLY	UNPARSED_EXEMPLAR	das getrocknete schmale Blatt	IMAGE_GENRE_OR_LOCAL_EXEMPLAR	CREATIVE_HERBAL_SECOND_EDITION_NOT_CARD_GLOSS
90	f56r	H5	f56r.12	F017	H5-S003	qokokchy	1322bc176443fc2a8a86	UNKNOWN	EXEMPLAR_ONLY	UNPARSED_EXEMPLAR	trockne es im Schatten	IMAGE_GENRE_OR_LOCAL_EXEMPLAR	CREATIVE_HERBAL_SECOND_EDITION_NOT_CARD_GLOSS
91	f56r	H5	f56r.13	F018	H5-S004	okchy	9ad66e67803a12e745de	UNKNOWN	EXEMPLAR_ONLY	UNPARSED_EXEMPLAR	gebrauche die frisch bereitete Arznei	IMAGE_GENRE_OR_LOCAL_EXEMPLAR	CREATIVE_HERBAL_SECOND_EDITION_NOT_CARD_GLOSS
92	f56r	H5	f56r.13	F018	H5-S004	chokcheo	087a47b5423438cd6b6a	UNKNOWN	EXEMPLAR_ONLY	UNPARSED_EXEMPLAR	trinke es bei Magenschmerz	IMAGE_GENRE_OR_LOCAL_EXEMPLAR	CREATIVE_HERBAL_SECOND_EDITION_NOT_CARD_GLOSS
93	f56r	H5	f56r.13	F018	H5-S004	kchal	75a523fcf039b006f97b	UNKNOWN	EXEMPLAR_ONLY	UNPARSED_EXEMPLAR	bewahre den Rest trocken im Schatten	IMAGE_GENRE_OR_LOCAL_EXEMPLAR	CREATIVE_HERBAL_SECOND_EDITION_NOT_CARD_GLOSS
94	f56r	H5	f56r.18	F019	H5-S005	sho	2cc054357a929df85f64	UNKNOWN	EXEMPLAR_ONLY	UNPARSED_EXEMPLAR	nimm danach den folgenden Zusatz oder Pflanzenteil	IMAGE_GENRE_OR_LOCAL_EXEMPLAR	CREATIVE_HERBAL_SECOND_EDITION_NOT_CARD_GLOSS
95	f56r	H5	f56r.18	F019	H5-S005	chokchy	9ad66e67803a12e745de	UNKNOWN	EXEMPLAR_ONLY	UNPARSED_EXEMPLAR	gebrauche die frisch bereitete Arznei	IMAGE_GENRE_OR_LOCAL_EXEMPLAR	CREATIVE_HERBAL_SECOND_EDITION_NOT_CARD_GLOSS
96	f56r	H5	f56r.18	F019	H5-S005	kchoar	c71c72da4e09e0833392	UNKNOWN	EXEMPLAR_ONLY	UNPARSED_EXEMPLAR	mische es mit Honig	IMAGE_GENRE_OR_LOCAL_EXEMPLAR	CREATIVE_HERBAL_SECOND_EDITION_NOT_CARD_GLOSS
97	f56r	H5	f56r.18	F019	H5-S005	sotodan	61a075bc54793c1c781f	UNKNOWN	EXEMPLAR_ONLY	UNPARSED_EXEMPLAR	gebrauche es frisch vermischt	IMAGE_GENRE_OR_LOCAL_EXEMPLAR	CREATIVE_HERBAL_SECOND_EDITION_NOT_CARD_GLOSS
98	f56r	H5	f56r.19	F020	H5-S006	otchey	faf321940aed922846a9	ANTEIL?	SELECT_PART	UNIQUE_EXACT	Den bezeichneten Anteil wählen	V60_SELECTED_MNEMONIC	CREATIVE_HERBAL_SECOND_EDITION_NOT_CARD_GLOSS
99	f56r	H5	f56r.19	F020	H5-S006	keol	9bb7122b386ebbc6138f	UNKNOWN	EXEMPLAR_ONLY	UNPARSED_EXEMPLAR	die helle geöffnete Blüte	IMAGE_GENRE_OR_LOCAL_EXEMPLAR	CREATIVE_HERBAL_SECOND_EDITION_NOT_CARD_GLOSS
100	f56r	H5	f56r.19	F020	H5-S006	daiin	2f1c5e56e8f0ff459065	MASS?	PARAMETER_ASSIGN	UNIQUE_CONVERGENT_CHANNELS	Ein vorgeschriebenes Maß	V60_SELECTED_MNEMONIC	CREATIVE_HERBAL_SECOND_EDITION_NOT_CARD_GLOSS
