transition_serial	statement_id	record_unit_id	page	statement_ordinal_in_record	constituent_fields	entry_boundary_class	exit_boundary_class	pre_state	selected_mnemonic_triggers	observed_triggers	inferred_missing_slots	silent_register_demand	owner_operation	active_item_preparation_operation	target_station_operation	previous_item_operation	operation_trace	post_state	backward_reconstructable_from_post_state_only	backward_reconstructability	irreducible_ambiguity_codes	complete_creative_reading	strongest_source_alternative	source_boundary_triggers	anonymous_id_contract	card_binding_contract	source_lineage
23	B1-S004	B1	f81v	4	F026	WITHIN_LOCUS_FIELD_BOUNDARY	WITHIN_LOCUS_FIELD_BOUNDARY	OWNER=B1:O01;ACTIVE_ITEM/PREPARATION=B1:I002;TARGET/STATION=B1:T005;PREVIOUS_ITEM=B1:I001	NONE	BOUNDARY:WITHIN_LOCUS_FIELD_BOUNDARY | CLOSURE:F026:TERMINAL | LOCAL_PREVIOUS_CUE:PREVIOUS_PREPARATION	OWNER | ACTIVE_ITEM/PREPARATION | PREVIOUS_ITEM	OWNER | ACTIVE_ITEM/PREPARATION | PREVIOUS_ITEM	CARRY	CARRY	CARRY	RESUME	OWNER:CARRY(B1:O01) -> ACTIVE_ITEM/PREPARATION:CARRY(B1:I002) -> TARGET/STATION:CARRY(B1:T005) -> PREVIOUS_ITEM:CARRY(B1:I001) -> PREVIOUS_ITEM:RESUME(B1:I001;LOCAL_FILLER)	OWNER=B1:O01;ACTIVE_ITEM/PREPARATION=B1:I002;TARGET/STATION=B1:T005;PREVIOUS_ITEM=B1:I001	NO	TRANSITION_LOG=YES;POST_STATE_ONLY=NO:PREVIOUS_REFERENT_CLASS_AMBIGUOUS	PREVIOUS_REFERENT_CLASS_AMBIGUOUS	rühre, bis alles gleichmäßig vermischt ist ; Mit der vorigen Zubereitung weiter ; lasse es bis zur Bereitschaft stehen und beende den Schritt	SEGMENTATION=Benachbarte Felder könnten eine größere Exemplarklausel bilden.; NONMEDICAL=Hauptkreislauf beschicken [Ganzfeldexemplar B1, Feld 6/24]	NONE	B1:Oxx/B1:Ixxx/B1:Txxx;RECORD_LOCAL_ONLY	V60_SELECTED_EXACT_MNEMONICS_ONLY;NO_STRING_OR_COMPONENT_INHERITANCE;LOCAL_FILLER_IS_NOT_CARD_MEANING	V60_SELECTED_VALUES>V61_SELECTED_STATEMENTS+BOUNDARIES>V62_R3_FOUR_REGISTER_MACHINE
24	B1-S005	B1	f81v	5	F027	WITHIN_LOCUS_FIELD_BOUNDARY	WITHIN_LOCUS_FIELD_BOUNDARY	OWNER=B1:O01;ACTIVE_ITEM/PREPARATION=B1:I002;TARGET/STATION=B1:T005;PREVIOUS_ITEM=B1:I001	NONE	BOUNDARY:WITHIN_LOCUS_FIELD_BOUNDARY | CLOSURE:F027:TERMINAL | LOCAL_TARGET_FILLER:COVERED_CATCH_VESSEL	OWNER | ACTIVE_ITEM/PREPARATION	OWNER | ACTIVE_ITEM/PREPARATION	CARRY	CARRY	INTRODUCE	CARRY	OWNER:CARRY(B1:O01) -> ACTIVE_ITEM/PREPARATION:CARRY(B1:I002) -> TARGET/STATION:CARRY(B1:T005) -> PREVIOUS_ITEM:CARRY(B1:I001) -> TARGET/STATION:INTRODUCE(B1:T006;LOCAL_COVERED_CATCH_VESSEL)	OWNER=B1:O01;ACTIVE_ITEM/PREPARATION=B1:I002;TARGET/STATION=B1:T006;PREVIOUS_ITEM=B1:I001	NO	TRANSITION_LOG=YES;POST_STATE_ONLY=NO:TARGET_INTRODUCTION_OVERWRITES_PRIOR_TARGET	TARGET_INTRODUCTION_OVERWRITES_PRIOR_TARGET	stelle die Mischung im bedeckten Auffanggefäß beiseite und beende den Schritt	SEGMENTATION=Benachbarte Felder könnten eine größere Exemplarklausel bilden.; NONMEDICAL=temperieren [Ganzfeldexemplar B1, Feld 7/24]	NONE	B1:Oxx/B1:Ixxx/B1:Txxx;RECORD_LOCAL_ONLY	V60_SELECTED_EXACT_MNEMONICS_ONLY;NO_STRING_OR_COMPONENT_INHERITANCE;LOCAL_FILLER_IS_NOT_CARD_MEANING	V60_SELECTED_VALUES>V61_SELECTED_STATEMENTS+BOUNDARIES>V62_R3_FOUR_REGISTER_MACHINE
25	B1-S006	B1	f81v	6	F028	WITHIN_LOCUS_FIELD_BOUNDARY	NEXT_PARALLEL_CELL	OWNER=B1:O01;ACTIVE_ITEM/PREPARATION=B1:I002;TARGET/STATION=B1:T006;PREVIOUS_ITEM=B1:I001	NONE	BOUNDARY:WITHIN_LOCUS_FIELD_BOUNDARY | CLOSURE:F028:OPEN | LOCAL_TARGET_FILLER:CONNECTED_RUNS | SOURCE_FROM:B1-LB03:NEXT_PARALLEL_CELL	OWNER | ACTIVE_ITEM/PREPARATION	OWNER | ACTIVE_ITEM/PREPARATION	CARRY	CARRY	INTRODUCE	CARRY	OWNER:CARRY(B1:O01) -> ACTIVE_ITEM/PREPARATION:CARRY(B1:I002) -> TARGET/STATION:CARRY(B1:T006) -> PREVIOUS_ITEM:CARRY(B1:I001) -> TARGET/STATION:INTRODUCE(B1:T007;LOCAL_CONNECTED_RUNS)	OWNER=B1:O01;ACTIVE_ITEM/PREPARATION=B1:I002;TARGET/STATION=B1:T007;PREVIOUS_ITEM=B1:I001	NO	TRANSITION_LOG=YES;POST_STATE_ONLY=NO:TARGET_INTRODUCTION_OVERWRITES_PRIOR_TARGET	TARGET_INTRODUCTION_OVERWRITES_PRIOR_TARGET	gib einen abgemessenen Anteil in das Gefäß ; durch die verbundenen Läufe ; das bereitete Öl ; und lasse es abkühlen	SEGMENTATION=Benachbarte Felder könnten eine größere Exemplarklausel bilden.; NONMEDICAL=temperieren [Ganzfeldexemplar B1, Feld 8/24]	FROM:B1-LB03:NEXT_PARALLEL_CELL	B1:Oxx/B1:Ixxx/B1:Txxx;RECORD_LOCAL_ONLY	V60_SELECTED_EXACT_MNEMONICS_ONLY;NO_STRING_OR_COMPONENT_INHERITANCE;LOCAL_FILLER_IS_NOT_CARD_MEANING	V60_SELECTED_VALUES>V61_SELECTED_STATEMENTS+BOUNDARIES>V62_R3_FOUR_REGISTER_MACHINE
26	B1-S007	B1	f81v	7	F029	NEXT_PARALLEL_CELL	WITHIN_LOCUS_FIELD_BOUNDARY	OWNER=B1:O01;ACTIVE_ITEM/PREPARATION=B1:I002;TARGET/STATION=B1:T007;PREVIOUS_ITEM=B1:I001	NONE	BOUNDARY:NEXT_PARALLEL_CELL | CLOSURE:F029:TERMINAL | SOURCE_TO:B1-LB03:NEXT_PARALLEL_CELL	OWNER | ACTIVE_ITEM/PREPARATION	OWNER	CARRY	INTRODUCE	RESET	INTRODUCE	OWNER:CARRY(B1:O01) -> PREVIOUS_ITEM:INTRODUCE_FROM_ACTIVE(B1:I002) -> ACTIVE_ITEM/PREPARATION:INTRODUCE(B1:I003) -> TARGET/STATION:RESET(NEW_OR_PARALLEL_CLAUSE)	OWNER=B1:O01;ACTIVE_ITEM/PREPARATION=B1:I003;TARGET/STATION=UNSET;PREVIOUS_ITEM=B1:I002	NO	TRANSITION_LOG=YES;POST_STATE_ONLY=NO:PREVIOUS_SLOT_OVERWRITTEN|TARGET_RESET_DISCARDS_PRIOR_TARGET	PREVIOUS_SLOT_OVERWRITTEN | TARGET_RESET_DISCARDS_PRIOR_TARGET	erwärme es einmal und beende den Schritt	SEGMENTATION=START_NEW_CLAUSE: statt Parallelzellen kann hier ein neuer Prozessabschnitt beginnen.; NONMEDICAL=temperieren [Ganzfeldexemplar B1, Feld 9/24]	TO:B1-LB03:NEXT_PARALLEL_CELL	B1:Oxx/B1:Ixxx/B1:Txxx;RECORD_LOCAL_ONLY	V60_SELECTED_EXACT_MNEMONICS_ONLY;NO_STRING_OR_COMPONENT_INHERITANCE;LOCAL_FILLER_IS_NOT_CARD_MEANING	V60_SELECTED_VALUES>V61_SELECTED_STATEMENTS+BOUNDARIES>V62_R3_FOUR_REGISTER_MACHINE
27	B1-S008	B1	f81v	8	F030	WITHIN_LOCUS_FIELD_BOUNDARY	WITHIN_LOCUS_FIELD_BOUNDARY	OWNER=B1:O01;ACTIVE_ITEM/PREPARATION=B1:I003;TARGET/STATION=UNSET;PREVIOUS_ITEM=B1:I002	NONE	BOUNDARY:WITHIN_LOCUS_FIELD_BOUNDARY | CLOSURE:F030:TERMINAL | LOCAL_PREVIOUS_CUE:PREVIOUS_PREPARATION	OWNER | ACTIVE_ITEM/PREPARATION | PREVIOUS_ITEM	OWNER | ACTIVE_ITEM/PREPARATION | PREVIOUS_ITEM	CARRY	CARRY	CARRY	RESUME	OWNER:CARRY(B1:O01) -> ACTIVE_ITEM/PREPARATION:CARRY(B1:I003) -> TARGET/STATION:CARRY(UNSET) -> PREVIOUS_ITEM:CARRY(B1:I002) -> PREVIOUS_ITEM:RESUME(B1:I002;LOCAL_FILLER)	OWNER=B1:O01;ACTIVE_ITEM/PREPARATION=B1:I003;TARGET/STATION=UNSET;PREVIOUS_ITEM=B1:I002	NO	TRANSITION_LOG=YES;POST_STATE_ONLY=NO:PREVIOUS_REFERENT_CLASS_AMBIGUOUS	PREVIOUS_REFERENT_CLASS_AMBIGUOUS	Diese aktive Portion ; Mit der vorigen Zubereitung weiter ; bei sanfter Wärme ; Mit der vorigen Zubereitung weiter ; lasse es bis zur Bereitschaft stehen und beende den Schritt	SEGMENTATION=Benachbarte Felder könnten eine größere Exemplarklausel bilden.; NONMEDICAL=temperieren [Ganzfeldexemplar B1, Feld 10/24]	NONE	B1:Oxx/B1:Ixxx/B1:Txxx;RECORD_LOCAL_ONLY	V60_SELECTED_EXACT_MNEMONICS_ONLY;NO_STRING_OR_COMPONENT_INHERITANCE;LOCAL_FILLER_IS_NOT_CARD_MEANING	V60_SELECTED_VALUES>V61_SELECTED_STATEMENTS+BOUNDARIES>V62_R3_FOUR_REGISTER_MACHINE
28	B1-S009	B1	f81v	9	F031	WITHIN_LOCUS_FIELD_BOUNDARY	WITHIN_LOCUS_FIELD_BOUNDARY	OWNER=B1:O01;ACTIVE_ITEM/PREPARATION=B1:I003;TARGET/STATION=UNSET;PREVIOUS_ITEM=B1:I002	SPÜLEN?	BOUNDARY:WITHIN_LOCUS_FIELD_BOUNDARY | EXACT_SELECTED:SPÜLEN? | CLOSURE:F031:TERMINAL | LOCAL_TARGET_FILLER:MARKED_TARGET	OWNER | ACTIVE_ITEM/PREPARATION | TARGET/STATION	OWNER | ACTIVE_ITEM/PREPARATION	CARRY	CARRY	INTRODUCE	CARRY	OWNER:CARRY(B1:O01) -> ACTIVE_ITEM/PREPARATION:CARRY(B1:I003) -> TARGET/STATION:CARRY(UNSET) -> PREVIOUS_ITEM:CARRY(B1:I002) -> TARGET/STATION:INTRODUCE(B1:T008;LOCAL_MARKED_TARGET)	OWNER=B1:O01;ACTIVE_ITEM/PREPARATION=B1:I003;TARGET/STATION=B1:T008;PREVIOUS_ITEM=B1:I002	YES	TRANSITION_LOG=YES;POST_STATE_ONLY=YES:ANONYMOUS_BUT_DETERMINISTIC	NONE	spüle die bezeichnete Stelle einmal und beende den Schritt	SEGMENTATION=Benachbarte Felder könnten eine größere Exemplarklausel bilden.; NONMEDICAL=temperieren [Ganzfeldexemplar B1, Feld 11/24]	NONE	B1:Oxx/B1:Ixxx/B1:Txxx;RECORD_LOCAL_ONLY	V60_SELECTED_EXACT_MNEMONICS_ONLY;NO_STRING_OR_COMPONENT_INHERITANCE;LOCAL_FILLER_IS_NOT_CARD_MEANING	V60_SELECTED_VALUES>V61_SELECTED_STATEMENTS+BOUNDARIES>V62_R3_FOUR_REGISTER_MACHINE
29	B1-S010	B1	f81v	10	F032	WITHIN_LOCUS_FIELD_BOUNDARY	WITHIN_LOCUS_FIELD_BOUNDARY	OWNER=B1:O01;ACTIVE_ITEM/PREPARATION=B1:I003;TARGET/STATION=B1:T008;PREVIOUS_ITEM=B1:I002	SPÜLEN?	BOUNDARY:WITHIN_LOCUS_FIELD_BOUNDARY | EXACT_SELECTED:SPÜLEN? | CLOSURE:F032:TERMINAL | LOCAL_TARGET_FILLER:MARKED_TARGET	OWNER | ACTIVE_ITEM/PREPARATION | TARGET/STATION	OWNER | ACTIVE_ITEM/PREPARATION	CARRY	CARRY	INTRODUCE	CARRY	OWNER:CARRY(B1:O01) -> ACTIVE_ITEM/PREPARATION:CARRY(B1:I003) -> TARGET/STATION:CARRY(B1:T008) -> PREVIOUS_ITEM:CARRY(B1:I002) -> TARGET/STATION:INTRODUCE(B1:T009;LOCAL_MARKED_TARGET)	OWNER=B1:O01;ACTIVE_ITEM/PREPARATION=B1:I003;TARGET/STATION=B1:T009;PREVIOUS_ITEM=B1:I002	NO	TRANSITION_LOG=YES;POST_STATE_ONLY=NO:TARGET_INTRODUCTION_OVERWRITES_PRIOR_TARGET	TARGET_INTRODUCTION_OVERWRITES_PRIOR_TARGET	spüle die bezeichnete Stelle einmal und beende den Schritt	SEGMENTATION=Benachbarte Felder könnten eine größere Exemplarklausel bilden.; NONMEDICAL=temperieren [Ganzfeldexemplar B1, Feld 12/24]	NONE	B1:Oxx/B1:Ixxx/B1:Txxx;RECORD_LOCAL_ONLY	V60_SELECTED_EXACT_MNEMONICS_ONLY;NO_STRING_OR_COMPONENT_INHERITANCE;LOCAL_FILLER_IS_NOT_CARD_MEANING	V60_SELECTED_VALUES>V61_SELECTED_STATEMENTS+BOUNDARIES>V62_R3_FOUR_REGISTER_MACHINE
30	B1-S011	B1	f81v	11	F033	WITHIN_LOCUS_FIELD_BOUNDARY	START_NEW_CLAUSE	OWNER=B1:O01;ACTIVE_ITEM/PREPARATION=B1:I003;TARGET/STATION=B1:T009;PREVIOUS_ITEM=B1:I002	ANWENDEN?	BOUNDARY:WITHIN_LOCUS_FIELD_BOUNDARY | EXACT_SELECTED:ANWENDEN? | CLOSURE:F033:OPEN | LOCAL_TARGET_FILLER:CONNECTED_RUNS | SOURCE_FROM:B1-LB04:START_NEW_CLAUSE	OWNER | ACTIVE_ITEM/PREPARATION | TARGET/STATION	OWNER | ACTIVE_ITEM/PREPARATION	CARRY	CARRY	INTRODUCE	CARRY	OWNER:CARRY(B1:O01) -> ACTIVE_ITEM/PREPARATION:CARRY(B1:I003) -> TARGET/STATION:CARRY(B1:T009) -> PREVIOUS_ITEM:CARRY(B1:I002) -> TARGET/STATION:INTRODUCE(B1:T010;LOCAL_CONNECTED_RUNS)	OWNER=B1:O01;ACTIVE_ITEM/PREPARATION=B1:I003;TARGET/STATION=B1:T010;PREVIOUS_ITEM=B1:I002	NO	TRANSITION_LOG=YES;POST_STATE_ONLY=NO:TARGET_INTRODUCTION_OVERWRITES_PRIOR_TARGET	TARGET_INTRODUCTION_OVERWRITES_PRIOR_TARGET	durch die verbundenen Läufe ; Die aktive Portion verwenden	SEGMENTATION=Benachbarte Felder könnten eine größere Exemplarklausel bilden.; NONMEDICAL=absetzen und klären [Ganzfeldexemplar B1, Feld 13/24]	FROM:B1-LB04:START_NEW_CLAUSE	B1:Oxx/B1:Ixxx/B1:Txxx;RECORD_LOCAL_ONLY	V60_SELECTED_EXACT_MNEMONICS_ONLY;NO_STRING_OR_COMPONENT_INHERITANCE;LOCAL_FILLER_IS_NOT_CARD_MEANING	V60_SELECTED_VALUES>V61_SELECTED_STATEMENTS+BOUNDARIES>V62_R3_FOUR_REGISTER_MACHINE
31	B1-S012	B1	f81v	12	F034	START_NEW_CLAUSE	WITHIN_LOCUS_FIELD_BOUNDARY	OWNER=B1:O01;ACTIVE_ITEM/PREPARATION=B1:I003;TARGET/STATION=B1:T010;PREVIOUS_ITEM=B1:I002	NONE	BOUNDARY:START_NEW_CLAUSE | CLOSURE:F034:TERMINAL | SOURCE_TO:B1-LB04:START_NEW_CLAUSE	OWNER | ACTIVE_ITEM/PREPARATION	OWNER	CARRY	INTRODUCE	RESET	INTRODUCE	OWNER:CARRY(B1:O01) -> PREVIOUS_ITEM:INTRODUCE_FROM_ACTIVE(B1:I003) -> ACTIVE_ITEM/PREPARATION:INTRODUCE(B1:I004) -> TARGET/STATION:RESET(NEW_OR_PARALLEL_CLAUSE)	OWNER=B1:O01;ACTIVE_ITEM/PREPARATION=B1:I004;TARGET/STATION=UNSET;PREVIOUS_ITEM=B1:I003	NO	TRANSITION_LOG=YES;POST_STATE_ONLY=NO:PREVIOUS_SLOT_OVERWRITTEN|TARGET_RESET_DISCARDS_PRIOR_TARGET	PREVIOUS_SLOT_OVERWRITTEN | TARGET_RESET_DISCARDS_PRIOR_TARGET	beginne die Spülung ; warmes Wasser ; wasche einmal und beende diesen Durchgang	SEGMENTATION=NEXT_PARALLEL_CELL: Anwendung und Spülung können gleichrangige Workcells sein.; NONMEDICAL=absetzen und klären [Ganzfeldexemplar B1, Feld 14/24]	TO:B1-LB04:START_NEW_CLAUSE	B1:Oxx/B1:Ixxx/B1:Txxx;RECORD_LOCAL_ONLY	V60_SELECTED_EXACT_MNEMONICS_ONLY;NO_STRING_OR_COMPONENT_INHERITANCE;LOCAL_FILLER_IS_NOT_CARD_MEANING	V60_SELECTED_VALUES>V61_SELECTED_STATEMENTS+BOUNDARIES>V62_R3_FOUR_REGISTER_MACHINE
32	B1-S013	B1	f81v	13	F035	WITHIN_LOCUS_FIELD_BOUNDARY	WITHIN_LOCUS_FIELD_BOUNDARY	OWNER=B1:O01;ACTIVE_ITEM/PREPARATION=B1:I004;TARGET/STATION=UNSET;PREVIOUS_ITEM=B1:I003	NONE	BOUNDARY:WITHIN_LOCUS_FIELD_BOUNDARY | CLOSURE:F035:TERMINAL	OWNER | ACTIVE_ITEM/PREPARATION	OWNER | ACTIVE_ITEM/PREPARATION	CARRY	CARRY	CARRY	CARRY	OWNER:CARRY(B1:O01) -> ACTIVE_ITEM/PREPARATION:CARRY(B1:I004) -> TARGET/STATION:CARRY(UNSET) -> PREVIOUS_ITEM:CARRY(B1:I003)	OWNER=B1:O01;ACTIVE_ITEM/PREPARATION=B1:I004;TARGET/STATION=UNSET;PREVIOUS_ITEM=B1:I003	YES	TRANSITION_LOG=YES;POST_STATE_ONLY=YES:ANONYMOUS_BUT_DETERMINISTIC	NONE	wasche einmal und beende diesen Durchgang	SEGMENTATION=Benachbarte Felder könnten eine größere Exemplarklausel bilden.; NONMEDICAL=absetzen und klären [Ganzfeldexemplar B1, Feld 15/24]	NONE	B1:Oxx/B1:Ixxx/B1:Txxx;RECORD_LOCAL_ONLY	V60_SELECTED_EXACT_MNEMONICS_ONLY;NO_STRING_OR_COMPONENT_INHERITANCE;LOCAL_FILLER_IS_NOT_CARD_MEANING	V60_SELECTED_VALUES>V61_SELECTED_STATEMENTS+BOUNDARIES>V62_R3_FOUR_REGISTER_MACHINE
33	B1-S014	B1	f81v	14	F036	WITHIN_LOCUS_FIELD_BOUNDARY	NEXT_PARALLEL_CELL	OWNER=B1:O01;ACTIVE_ITEM/PREPARATION=B1:I004;TARGET/STATION=UNSET;PREVIOUS_ITEM=B1:I003	NONE	BOUNDARY:WITHIN_LOCUS_FIELD_BOUNDARY | CLOSURE:F036:OPEN | LOCAL_TARGET_FILLER:MARKED_TARGET | LOCAL_TARGET_FILLER:LOWER_BASIN | LOCAL_TARGET_FILLER:LOWER_OUTLET | LOCAL_PREVIOUS_CUE:PREVIOUS_PREPARATION | SOURCE_FROM:B1-LB05:NEXT_PARALLEL_CELL	OWNER | ACTIVE_ITEM/PREPARATION | PREVIOUS_ITEM	OWNER | ACTIVE_ITEM/PREPARATION | PREVIOUS_ITEM	CARRY	CARRY	INTRODUCE	RESUME	OWNER:CARRY(B1:O01) -> ACTIVE_ITEM/PREPARATION:CARRY(B1:I004) -> TARGET/STATION:CARRY(UNSET) -> PREVIOUS_ITEM:CARRY(B1:I003) -> PREVIOUS_ITEM:RESUME(B1:I003;LOCAL_FILLER) -> TARGET/STATION:INTRODUCE(B1:T011;LOCAL_MARKED_TARGET) -> TARGET/STATION:INTRODUCE(B1:T012;LOCAL_LOWER_BASIN) -> TARGET/STATION:INTRODUCE(B1:T013;LOCAL_LOWER_OUTLET)	OWNER=B1:O01;ACTIVE_ITEM/PREPARATION=B1:I004;TARGET/STATION=B1:T013;PREVIOUS_ITEM=B1:I003	NO	TRANSITION_LOG=YES;POST_STATE_ONLY=NO:TARGET_INTRODUCTION_OVERWRITES_PRIOR_TARGET|PREVIOUS_REFERENT_CLASS_AMBIGUOUS|MULTIPLE_TARGETS_ONE_SLOT	PREVIOUS_REFERENT_CLASS_AMBIGUOUS | MULTIPLE_TARGETS_ONE_SLOT | TARGET_INTRODUCTION_OVERWRITES_PRIOR_TARGET	rühre, bis alles gleichmäßig vermischt ist ; die betroffene Stelle ; das untere Becken ; Mit der vorigen Zubereitung weiter ; benutze danach den unteren Ablauf	SEGMENTATION=Benachbarte Felder könnten eine größere Exemplarklausel bilden.; NONMEDICAL=absetzen und klären [Ganzfeldexemplar B1, Feld 16/24]	FROM:B1-LB05:NEXT_PARALLEL_CELL	B1:Oxx/B1:Ixxx/B1:Txxx;RECORD_LOCAL_ONLY	V60_SELECTED_EXACT_MNEMONICS_ONLY;NO_STRING_OR_COMPONENT_INHERITANCE;LOCAL_FILLER_IS_NOT_CARD_MEANING	V60_SELECTED_VALUES>V61_SELECTED_STATEMENTS+BOUNDARIES>V62_R3_FOUR_REGISTER_MACHINE
34	B1-S015	B1	f81v	15	F037	NEXT_PARALLEL_CELL	WITHIN_LOCUS_FIELD_BOUNDARY	OWNER=B1:O01;ACTIVE_ITEM/PREPARATION=B1:I004;TARGET/STATION=B1:T013;PREVIOUS_ITEM=B1:I003	NONE	BOUNDARY:NEXT_PARALLEL_CELL | CLOSURE:F037:TERMINAL | SOURCE_TO:B1-LB05:NEXT_PARALLEL_CELL	OWNER | ACTIVE_ITEM/PREPARATION	OWNER	CARRY	INTRODUCE	RESET	INTRODUCE	OWNER:CARRY(B1:O01) -> PREVIOUS_ITEM:INTRODUCE_FROM_ACTIVE(B1:I004) -> ACTIVE_ITEM/PREPARATION:INTRODUCE(B1:I005) -> TARGET/STATION:RESET(NEW_OR_PARALLEL_CLAUSE)	OWNER=B1:O01;ACTIVE_ITEM/PREPARATION=B1:I005;TARGET/STATION=UNSET;PREVIOUS_ITEM=B1:I004	NO	TRANSITION_LOG=YES;POST_STATE_ONLY=NO:PREVIOUS_SLOT_OVERWRITTEN|TARGET_RESET_DISCARDS_PRIOR_TARGET	PREVIOUS_SLOT_OVERWRITTEN | TARGET_RESET_DISCARDS_PRIOR_TARGET	fülle danach das Gefäß ; lasse es abkühlen und beende den Schritt	SEGMENTATION=CONTINUE_SAME_CLAUSE: dieselbe Apparatur kann über den Zeilenreset weiterlaufen.; NONMEDICAL=absetzen und klären [Ganzfeldexemplar B1, Feld 17/24]	TO:B1-LB05:NEXT_PARALLEL_CELL	B1:Oxx/B1:Ixxx/B1:Txxx;RECORD_LOCAL_ONLY	V60_SELECTED_EXACT_MNEMONICS_ONLY;NO_STRING_OR_COMPONENT_INHERITANCE;LOCAL_FILLER_IS_NOT_CARD_MEANING	V60_SELECTED_VALUES>V61_SELECTED_STATEMENTS+BOUNDARIES>V62_R3_FOUR_REGISTER_MACHINE
35	B1-S016	B1	f81v	16	F038	WITHIN_LOCUS_FIELD_BOUNDARY	WITHIN_LOCUS_FIELD_BOUNDARY	OWNER=B1:O01;ACTIVE_ITEM/PREPARATION=B1:I005;TARGET/STATION=UNSET;PREVIOUS_ITEM=B1:I004	TEMPERIEREN?	BOUNDARY:WITHIN_LOCUS_FIELD_BOUNDARY | EXACT_SELECTED:TEMPERIEREN? | CLOSURE:F038:TERMINAL | LOCAL_PREVIOUS_CUE:TWO_SHARES | LOCAL_PREVIOUS_CUE:PREVIOUS_PREPARATION	OWNER | ACTIVE_ITEM/PREPARATION | PREVIOUS_ITEM	OWNER | ACTIVE_ITEM/PREPARATION | PREVIOUS_ITEM	CARRY	CARRY	CARRY	RESUME	OWNER:CARRY(B1:O01) -> ACTIVE_ITEM/PREPARATION:CARRY(B1:I005) -> TARGET/STATION:CARRY(UNSET) -> PREVIOUS_ITEM:CARRY(B1:I004) -> PREVIOUS_ITEM:RESUME(B1:I004;LOCAL_FILLER)	OWNER=B1:O01;ACTIVE_ITEM/PREPARATION=B1:I005;TARGET/STATION=UNSET;PREVIOUS_ITEM=B1:I004	NO	TRANSITION_LOG=YES;POST_STATE_ONLY=NO:PREVIOUS_REFERENT_CLASS_AMBIGUOUS|TWO_INPUTS_ORDER_AMBIGUOUS	PREVIOUS_REFERENT_CLASS_AMBIGUOUS | TWO_INPUTS_ORDER_AMBIGUOUS	mische beide Anteile zusammen ; temperiere die Arbeitsflüssigkeit und halte sie lauwarm ; Mit der vorigen Zubereitung weiter ; lasse es bis zur Bereitschaft stehen und beende den Schritt	SEGMENTATION=Benachbarte Felder könnten eine größere Exemplarklausel bilden.; NONMEDICAL=absetzen und klären [Ganzfeldexemplar B1, Feld 18/24]	NONE	B1:Oxx/B1:Ixxx/B1:Txxx;RECORD_LOCAL_ONLY	V60_SELECTED_EXACT_MNEMONICS_ONLY;NO_STRING_OR_COMPONENT_INHERITANCE;LOCAL_FILLER_IS_NOT_CARD_MEANING	V60_SELECTED_VALUES>V61_SELECTED_STATEMENTS+BOUNDARIES>V62_R3_FOUR_REGISTER_MACHINE
36	B1-S017	B1	f81v	17	F039	WITHIN_LOCUS_FIELD_BOUNDARY	WITHIN_LOCUS_FIELD_BOUNDARY	OWNER=B1:O01;ACTIVE_ITEM/PREPARATION=B1:I005;TARGET/STATION=UNSET;PREVIOUS_ITEM=B1:I004	ZIEL?	BOUNDARY:WITHIN_LOCUS_FIELD_BOUNDARY | EXACT_SELECTED:ZIEL? | CLOSURE:F039:TERMINAL | LOCAL_TARGET_FILLER:MARKED_TARGET | LOCAL_TARGET_FILLER:FIRST_OPENING	OWNER | ACTIVE_ITEM/PREPARATION	OWNER | ACTIVE_ITEM/PREPARATION	CARRY	CARRY	INTRODUCE	CARRY	OWNER:CARRY(B1:O01) -> ACTIVE_ITEM/PREPARATION:CARRY(B1:I005) -> TARGET/STATION:CARRY(UNSET) -> PREVIOUS_ITEM:CARRY(B1:I004) -> TARGET/STATION:INTRODUCE(B1:T014;LOCAL_MARKED_TARGET) -> TARGET/STATION:INTRODUCE(B1:T015;LOCAL_FIRST_OPENING)	OWNER=B1:O01;ACTIVE_ITEM/PREPARATION=B1:I005;TARGET/STATION=B1:T015;PREVIOUS_ITEM=B1:I004	NO	TRANSITION_LOG=YES;POST_STATE_ONLY=NO:TARGET_INTRODUCTION_OVERWRITES_PRIOR_TARGET|MULTIPLE_TARGETS_ONE_SLOT	MULTIPLE_TARGETS_ONE_SLOT | TARGET_INTRODUCTION_OVERWRITES_PRIOR_TARGET	An die bezeichnete Zielstelle führen ; die erste Öffnung ; seihe es klar und beende den Schritt	SEGMENTATION=Benachbarte Felder könnten eine größere Exemplarklausel bilden.; NONMEDICAL=weitergeben [Ganzfeldexemplar B1, Feld 19/24]	NONE	B1:Oxx/B1:Ixxx/B1:Txxx;RECORD_LOCAL_ONLY	V60_SELECTED_EXACT_MNEMONICS_ONLY;NO_STRING_OR_COMPONENT_INHERITANCE;LOCAL_FILLER_IS_NOT_CARD_MEANING	V60_SELECTED_VALUES>V61_SELECTED_STATEMENTS+BOUNDARIES>V62_R3_FOUR_REGISTER_MACHINE
