error_serial	error_id	statement_id	record_unit_id	severity	error_code	evidence	four_register_resolution	strongest_alternative	irreducible_with_four_registers	impacts_post_state_backward_reconstruction	source_lineage
46	ERR046	B1-S016	B1	HIGH	PREVIOUS_REFERENT_CLASS_AMBIGUOUS	The cue does not choose uniquely among prior item, preparation, run, remainder or setting. Trigger=BOUNDARY:WITHIN_LOCUS_FIELD_BOUNDARY | EXACT_SELECTED:TEMPERIEREN? | CLOSURE:F038:TERMINAL | LOCAL_PREVIOUS_CUE:TWO_SHARES | LOCAL_PREVIOUS_CUE:PREVIOUS_PREPARATION	Use the depth-one PREVIOUS_ITEM register.	Split PREVIOUS_ITEM into typed history registers.	YES	YES	V61_SELECTED_STATEMENT>V62_R3_ERROR_AUDIT
47	ERR047	B1-S016	B1	HIGH	TWO_INPUTS_ORDER_AMBIGUOUS	The reading combines two shares but does not encode which is ACTIVE and which is PREVIOUS. Trigger=BOUNDARY:WITHIN_LOCUS_FIELD_BOUNDARY | EXACT_SELECTED:TEMPERIEREN? | CLOSURE:F038:TERMINAL | LOCAL_PREVIOUS_CUE:TWO_SHARES | LOCAL_PREVIOUS_CUE:PREVIOUS_PREPARATION	Keep the current item active and the other in PREVIOUS_ITEM.	Swap the two registers; the visible result is unchanged.	YES	YES	V61_SELECTED_STATEMENT>V62_R3_ERROR_AUDIT
48	ERR048	B1-S017	B1	HIGH	MULTIPLE_TARGETS_ONE_SLOT	More than one local target/station cue occurs in one statement. Trigger=BOUNDARY:WITHIN_LOCUS_FIELD_BOUNDARY | EXACT_SELECTED:ZIEL? | CLOSURE:F039:TERMINAL | LOCAL_TARGET_FILLER:MARKED_TARGET | LOCAL_TARGET_FILLER:FIRST_OPENING	Execute them in reading order and retain the final anonymous target.	Use multiple simultaneous target slots.	YES	YES	V61_SELECTED_STATEMENT>V62_R3_ERROR_AUDIT
49	ERR049	B1-S017	B1	LOW	TARGET_INTRODUCTION_OVERWRITES_PRIOR_TARGET	A newly observed local target replaces a carried target. Trigger=BOUNDARY:WITHIN_LOCUS_FIELD_BOUNDARY | EXACT_SELECTED:ZIEL? | CLOSURE:F039:TERMINAL | LOCAL_TARGET_FILLER:MARKED_TARGET | LOCAL_TARGET_FILLER:FIRST_OPENING	Keep the most recently introduced target.	Retain a target stack or multi-target frame.	NO	YES	V61_SELECTED_STATEMENT>V62_R3_ERROR_AUDIT
50	ERR050	B1-S018	B1	LOW	TARGET_INTRODUCTION_OVERWRITES_PRIOR_TARGET	A newly observed local target replaces a carried target. Trigger=BOUNDARY:WITHIN_LOCUS_FIELD_BOUNDARY | CLOSURE:F040:OPEN > F041:TERMINAL | LOCAL_TARGET_FILLER:MARKED_TARGET | SOURCE_FROM:B1-LB06:CONTINUE_SAME_CLAUSE | SOURCE_TO:B1-LB06:CONTINUE_SAME_CLAUSE | SOURCE_INTERNAL:B1-LB06:CONTINUE_SAME_CLAUSE	Keep the most recently introduced target.	Retain a target stack or multi-target frame.	NO	YES	V61_SELECTED_STATEMENT>V62_R3_ERROR_AUDIT
51	ERR051	B1-S020	B1	LOW	TARGET_INTRODUCTION_OVERWRITES_PRIOR_TARGET	A newly observed local target replaces a carried target. Trigger=BOUNDARY:WITHIN_LOCUS_FIELD_BOUNDARY | CLOSURE:F043:TERMINAL | LOCAL_TARGET_FILLER:CLOTH	Keep the most recently introduced target.	Retain a target stack or multi-target frame.	NO	YES	V61_SELECTED_STATEMENT>V62_R3_ERROR_AUDIT
52	ERR052	B1-S021	B1	LOW	TARGET_INTRODUCTION_OVERWRITES_PRIOR_TARGET	A newly observed local target replaces a carried target. Trigger=BOUNDARY:WITHIN_LOCUS_FIELD_BOUNDARY | EXACT_SELECTED:ZIEL? | CLOSURE:F044:OPEN | LOCAL_TARGET_FILLER:MARKED_TARGET	Keep the most recently introduced target.	Retain a target stack or multi-target frame.	NO	YES	V61_SELECTED_STATEMENT>V62_R3_ERROR_AUDIT
53	ERR053	B1-S021	B1	MEDIUM	OPEN_RECORD_END	The selected statement exits the record with an OPEN field. Trigger=BOUNDARY:WITHIN_LOCUS_FIELD_BOUNDARY | EXACT_SELECTED:ZIEL? | CLOSURE:F044:OPEN | LOCAL_TARGET_FILLER:MARKED_TARGET	Keep the post-state available only inside the closed record audit; do not carry it to the next record.	Infer an unmarked final commit.	YES	NO	V61_SELECTED_STATEMENT>V62_R3_ERROR_AUDIT
54	ERR054	B2-S002	B2	LOW	TARGET_INTRODUCTION_OVERWRITES_PRIOR_TARGET	A newly observed local target replaces a carried target. Trigger=BOUNDARY:WITHIN_LOCUS_FIELD_BOUNDARY | CLOSURE:F046:TERMINAL | LOCAL_TARGET_FILLER:COVERED_CATCH_VESSEL	Keep the most recently introduced target.	Retain a target stack or multi-target frame.	NO	YES	V61_SELECTED_STATEMENT>V62_R3_ERROR_AUDIT
55	ERR055	B2-S004	B2	HIGH	TWO_INPUTS_ORDER_AMBIGUOUS	The reading combines two shares but does not encode which is ACTIVE and which is PREVIOUS. Trigger=BOUNDARY:WITHIN_LOCUS_FIELD_BOUNDARY | EXACT_SELECTED:TEMPERIEREN? | CLOSURE:F048:OPEN > F049:TERMINAL | LOCAL_TARGET_FILLER:SECOND_OPENING | LOCAL_PREVIOUS_CUE:TWO_SHARES | SOURCE_FROM:B2-LB01:CONTINUE_SAME_CLAUSE | SOURCE_TO:B2-LB01:CONTINUE_SAME_CLAUSE | SOURCE_INTERNAL:B2-LB01:CONTINUE_SAME_CLAUSE	Keep the current item active and the other in PREVIOUS_ITEM.	Swap the two registers; the visible result is unchanged.	YES	YES	V61_SELECTED_STATEMENT>V62_R3_ERROR_AUDIT
56	ERR056	B2-S004	B2	LOW	TARGET_INTRODUCTION_OVERWRITES_PRIOR_TARGET	A newly observed local target replaces a carried target. Trigger=BOUNDARY:WITHIN_LOCUS_FIELD_BOUNDARY | EXACT_SELECTED:TEMPERIEREN? | CLOSURE:F048:OPEN > F049:TERMINAL | LOCAL_TARGET_FILLER:SECOND_OPENING | LOCAL_PREVIOUS_CUE:TWO_SHARES | SOURCE_FROM:B2-LB01:CONTINUE_SAME_CLAUSE | SOURCE_TO:B2-LB01:CONTINUE_SAME_CLAUSE | SOURCE_INTERNAL:B2-LB01:CONTINUE_SAME_CLAUSE	Keep the most recently introduced target.	Retain a target stack or multi-target frame.	NO	YES	V61_SELECTED_STATEMENT>V62_R3_ERROR_AUDIT
57	ERR057	B2-S005	B2	HIGH	PREVIOUS_REFERENT_CLASS_AMBIGUOUS	The cue does not choose uniquely among prior item, preparation, run, remainder or setting. Trigger=BOUNDARY:WITHIN_LOCUS_FIELD_BOUNDARY | CLOSURE:F050:OPEN > F051:TERMINAL | LOCAL_TARGET_FILLER:CLOTH | LOCAL_TARGET_FILLER:CONNECTED_RUNS | LOCAL_TARGET_FILLER:BROAD_VESSEL | LOCAL_PREVIOUS_CUE:SAME_SETTING | SOURCE_FROM:B2-LB02:CONTINUE_SAME_CLAUSE | SOURCE_TO:B2-LB02:CONTINUE_SAME_CLAUSE | SOURCE_INTERNAL:B2-LB02:CONTINUE_SAME_CLAUSE	Use the depth-one PREVIOUS_ITEM register.	Split PREVIOUS_ITEM into typed history registers.	YES	YES	V61_SELECTED_STATEMENT>V62_R3_ERROR_AUDIT
58	ERR058	B2-S005	B2	HIGH	MULTIPLE_TARGETS_ONE_SLOT	More than one local target/station cue occurs in one statement. Trigger=BOUNDARY:WITHIN_LOCUS_FIELD_BOUNDARY | CLOSURE:F050:OPEN > F051:TERMINAL | LOCAL_TARGET_FILLER:CLOTH | LOCAL_TARGET_FILLER:CONNECTED_RUNS | LOCAL_TARGET_FILLER:BROAD_VESSEL | LOCAL_PREVIOUS_CUE:SAME_SETTING | SOURCE_FROM:B2-LB02:CONTINUE_SAME_CLAUSE | SOURCE_TO:B2-LB02:CONTINUE_SAME_CLAUSE | SOURCE_INTERNAL:B2-LB02:CONTINUE_SAME_CLAUSE	Execute them in reading order and retain the final anonymous target.	Use multiple simultaneous target slots.	YES	YES	V61_SELECTED_STATEMENT>V62_R3_ERROR_AUDIT
59	ERR059	B2-S005	B2	LOW	TARGET_INTRODUCTION_OVERWRITES_PRIOR_TARGET	A newly observed local target replaces a carried target. Trigger=BOUNDARY:WITHIN_LOCUS_FIELD_BOUNDARY | CLOSURE:F050:OPEN > F051:TERMINAL | LOCAL_TARGET_FILLER:CLOTH | LOCAL_TARGET_FILLER:CONNECTED_RUNS | LOCAL_TARGET_FILLER:BROAD_VESSEL | LOCAL_PREVIOUS_CUE:SAME_SETTING | SOURCE_FROM:B2-LB02:CONTINUE_SAME_CLAUSE | SOURCE_TO:B2-LB02:CONTINUE_SAME_CLAUSE | SOURCE_INTERNAL:B2-LB02:CONTINUE_SAME_CLAUSE	Keep the most recently introduced target.	Retain a target stack or multi-target frame.	NO	YES	V61_SELECTED_STATEMENT>V62_R3_ERROR_AUDIT
60	ERR060	B2-S006	B2	HIGH	TWO_INPUTS_ORDER_AMBIGUOUS	The reading combines two shares but does not encode which is ACTIVE and which is PREVIOUS. Trigger=BOUNDARY:WITHIN_LOCUS_FIELD_BOUNDARY | EXACT_SELECTED:ANWENDEN? | CLOSURE:F052:OPEN | LOCAL_TARGET_FILLER:MARKED_TARGET | LOCAL_PREVIOUS_CUE:TWO_SHARES | SOURCE_FROM:B2-LB03:START_NEW_CLAUSE	Keep the current item active and the other in PREVIOUS_ITEM.	Swap the two registers; the visible result is unchanged.	YES	YES	V61_SELECTED_STATEMENT>V62_R3_ERROR_AUDIT
61	ERR061	B2-S006	B2	LOW	TARGET_INTRODUCTION_OVERWRITES_PRIOR_TARGET	A newly observed local target replaces a carried target. Trigger=BOUNDARY:WITHIN_LOCUS_FIELD_BOUNDARY | EXACT_SELECTED:ANWENDEN? | CLOSURE:F052:OPEN | LOCAL_TARGET_FILLER:MARKED_TARGET | LOCAL_PREVIOUS_CUE:TWO_SHARES | SOURCE_FROM:B2-LB03:START_NEW_CLAUSE	Keep the most recently introduced target.	Retain a target stack or multi-target frame.	NO	YES	V61_SELECTED_STATEMENT>V62_R3_ERROR_AUDIT
62	ERR062	B2-S007	B2	MEDIUM	PREVIOUS_SLOT_OVERWRITTEN	A new active item replaces an already occupied depth-one previous slot. Trigger=BOUNDARY:START_NEW_CLAUSE | CLOSURE:F053:TERMINAL | SOURCE_TO:B2-LB03:START_NEW_CLAUSE	Keep only the immediately displaced active item.	Use an unbounded history stack.	NO	YES	V61_SELECTED_STATEMENT>V62_R3_ERROR_AUDIT
63	ERR063	B2-S007	B2	LOW	TARGET_RESET_DISCARDS_PRIOR_TARGET	A new or parallel clause resets an occupied target register. Trigger=BOUNDARY:START_NEW_CLAUSE | CLOSURE:F053:TERMINAL | SOURCE_TO:B2-LB03:START_NEW_CLAUSE	Treat the reset as intentional station scoping.	Carry the prior station across the clause boundary.	NO	YES	V61_SELECTED_STATEMENT>V62_R3_ERROR_AUDIT
64	ERR064	B2-S008	B2	HIGH	PREVIOUS_REFERENT_CLASS_AMBIGUOUS	The cue does not choose uniquely among prior item, preparation, run, remainder or setting. Trigger=BOUNDARY:WITHIN_LOCUS_FIELD_BOUNDARY | CLOSURE:F054:TERMINAL | LOCAL_TARGET_FILLER:MARKED_TARGET | LOCAL_PREVIOUS_CUE:SAME_DURATION	Use the depth-one PREVIOUS_ITEM register.	Split PREVIOUS_ITEM into typed history registers.	YES	YES	V61_SELECTED_STATEMENT>V62_R3_ERROR_AUDIT
65	ERR065	B2-S010	B2	LOW	TARGET_INTRODUCTION_OVERWRITES_PRIOR_TARGET	A newly observed local target replaces a carried target. Trigger=BOUNDARY:WITHIN_LOCUS_FIELD_BOUNDARY | EXACT_SELECTED:TEMPERIEREN? | EXACT_SELECTED:ANWENDEN? | EXACT_SELECTED:KLAR? | CLOSURE:F056:OPEN | LOCAL_TARGET_FILLER:FIRST_OPENING | SOURCE_FROM:B2-LB04:UNRESOLVED	Keep the most recently introduced target.	Retain a target stack or multi-target frame.	NO	YES	V61_SELECTED_STATEMENT>V62_R3_ERROR_AUDIT
66	ERR066	B2-S011	B2	HIGH	UNRESOLVED_BOUNDARY	V61 leaves this boundary unresolved. Trigger=BOUNDARY:UNRESOLVED | CLOSURE:F057:TERMINAL | SOURCE_TO:B2-LB04:UNRESOLVED	Carry all four registers deterministically and retain the unresolved flag.	Reset or resume the active item instead.	YES	YES	V61_SELECTED_STATEMENT>V62_R3_ERROR_AUDIT
67	ERR067	B2-S012	B2	HIGH	PREVIOUS_REFERENT_CLASS_AMBIGUOUS	The cue does not choose uniquely among prior item, preparation, run, remainder or setting. Trigger=BOUNDARY:WITHIN_LOCUS_FIELD_BOUNDARY | EXACT_SELECTED:KLAR? | EXACT_SELECTED:TEMPERIEREN? | EXACT_SELECTED:MASS? | CLOSURE:F058:OPEN > F059:TERMINAL | LOCAL_PREVIOUS_CUE:SAME_SETTING | SOURCE_FROM:B2-LB05:CONTINUE_SAME_CLAUSE | SOURCE_TO:B2-LB05:CONTINUE_SAME_CLAUSE | SOURCE_INTERNAL:B2-LB05:CONTINUE_SAME_CLAUSE	Use the depth-one PREVIOUS_ITEM register.	Split PREVIOUS_ITEM into typed history registers.	YES	YES	V61_SELECTED_STATEMENT>V62_R3_ERROR_AUDIT
68	ERR068	B2-S014	B2	LOW	TARGET_INTRODUCTION_OVERWRITES_PRIOR_TARGET	A newly observed local target replaces a carried target. Trigger=BOUNDARY:WITHIN_LOCUS_FIELD_BOUNDARY | CLOSURE:F061:OPEN | LOCAL_TARGET_FILLER:LOWER_OUTLET | SOURCE_FROM:B2-LB06:START_NEW_CLAUSE	Keep the most recently introduced target.	Retain a target stack or multi-target frame.	NO	YES	V61_SELECTED_STATEMENT>V62_R3_ERROR_AUDIT
69	ERR069	B2-S015	B2	MEDIUM	PREVIOUS_SLOT_OVERWRITTEN	A new active item replaces an already occupied depth-one previous slot. Trigger=BOUNDARY:START_NEW_CLAUSE | CLOSURE:F062:TERMINAL | SOURCE_TO:B2-LB06:START_NEW_CLAUSE	Keep only the immediately displaced active item.	Use an unbounded history stack.	NO	YES	V61_SELECTED_STATEMENT>V62_R3_ERROR_AUDIT
70	ERR070	B2-S015	B2	LOW	TARGET_RESET_DISCARDS_PRIOR_TARGET	A new or parallel clause resets an occupied target register. Trigger=BOUNDARY:START_NEW_CLAUSE | CLOSURE:F062:TERMINAL | SOURCE_TO:B2-LB06:START_NEW_CLAUSE	Treat the reset as intentional station scoping.	Carry the prior station across the clause boundary.	NO	YES	V61_SELECTED_STATEMENT>V62_R3_ERROR_AUDIT
71	ERR071	B2-S017	B2	LOW	TARGET_INTRODUCTION_OVERWRITES_PRIOR_TARGET	A newly observed local target replaces a carried target. Trigger=BOUNDARY:WITHIN_LOCUS_FIELD_BOUNDARY | CLOSURE:F065:TERMINAL | LOCAL_TARGET_FILLER:SECOND_OPENING	Keep the most recently introduced target.	Retain a target stack or multi-target frame.	NO	YES	V61_SELECTED_STATEMENT>V62_R3_ERROR_AUDIT
72	ERR072	B3-S004	B3	LOW	TARGET_INTRODUCTION_OVERWRITES_PRIOR_TARGET	A newly observed local target replaces a carried target. Trigger=BOUNDARY:WITHIN_LOCUS_FIELD_BOUNDARY | CLOSURE:F074:OPEN | LOCAL_TARGET_FILLER:LOWER_OUTLET | SOURCE_FROM:B3-LB01:RESUME_ACTIVE_ITEM	Keep the most recently introduced target.	Retain a target stack or multi-target frame.	NO	YES	V61_SELECTED_STATEMENT>V62_R3_ERROR_AUDIT
73	ERR073	B3-S005	B3	LOW	TARGET_INTRODUCTION_OVERWRITES_PRIOR_TARGET	A newly observed local target replaces a carried target. Trigger=BOUNDARY:RESUME_ACTIVE_ITEM | CLOSURE:F075:TERMINAL | LOCAL_TARGET_FILLER:VESSEL_OR_RUN | SOURCE_TO:B3-LB01:RESUME_ACTIVE_ITEM	Keep the most recently introduced target.	Retain a target stack or multi-target frame.	NO	YES	V61_SELECTED_STATEMENT>V62_R3_ERROR_AUDIT
74	ERR074	B3-S006	B3	HIGH	TWO_INPUTS_ORDER_AMBIGUOUS	The reading combines two shares but does not encode which is ACTIVE and which is PREVIOUS. Trigger=BOUNDARY:WITHIN_LOCUS_FIELD_BOUNDARY | CLOSURE:F076:TERMINAL | LOCAL_TARGET_FILLER:COVERED_CATCH_VESSEL | LOCAL_PREVIOUS_CUE:TWO_SHARES	Keep the current item active and the other in PREVIOUS_ITEM.	Swap the two registers; the visible result is unchanged.	YES	YES	V61_SELECTED_STATEMENT>V62_R3_ERROR_AUDIT
75	ERR075	B3-S006	B3	LOW	TARGET_INTRODUCTION_OVERWRITES_PRIOR_TARGET	A newly observed local target replaces a carried target. Trigger=BOUNDARY:WITHIN_LOCUS_FIELD_BOUNDARY | CLOSURE:F076:TERMINAL | LOCAL_TARGET_FILLER:COVERED_CATCH_VESSEL | LOCAL_PREVIOUS_CUE:TWO_SHARES	Keep the most recently introduced target.	Retain a target stack or multi-target frame.	NO	YES	V61_SELECTED_STATEMENT>V62_R3_ERROR_AUDIT
76	ERR076	B3-S011	B3	LOW	TARGET_INTRODUCTION_OVERWRITES_PRIOR_TARGET	A newly observed local target replaces a carried target. Trigger=BOUNDARY:WITHIN_LOCUS_FIELD_BOUNDARY | EXACT_SELECTED:ANWENDEN? | CLOSURE:F081:OPEN | LOCAL_TARGET_FILLER:MARKED_TARGET | SOURCE_FROM:B3-LB03:RESUME_ACTIVE_ITEM	Keep the most recently introduced target.	Retain a target stack or multi-target frame.	NO	YES	V61_SELECTED_STATEMENT>V62_R3_ERROR_AUDIT
77	ERR077	B3-S013	B3	HIGH	PREVIOUS_REFERENT_CLASS_AMBIGUOUS	The cue does not choose uniquely among prior item, preparation, run, remainder or setting. Trigger=BOUNDARY:WITHIN_LOCUS_FIELD_BOUNDARY | EXACT_SELECTED:SPÜLEN? | CLOSURE:F083:TERMINAL | LOCAL_TARGET_FILLER:MARKED_TARGET | LOCAL_PREVIOUS_CUE:SAME_SETTING	Use the depth-one PREVIOUS_ITEM register.	Split PREVIOUS_ITEM into typed history registers.	YES	YES	V61_SELECTED_STATEMENT>V62_R3_ERROR_AUDIT
78	ERR078	B3-S013	B3	LOW	TARGET_INTRODUCTION_OVERWRITES_PRIOR_TARGET	A newly observed local target replaces a carried target. Trigger=BOUNDARY:WITHIN_LOCUS_FIELD_BOUNDARY | EXACT_SELECTED:SPÜLEN? | CLOSURE:F083:TERMINAL | LOCAL_TARGET_FILLER:MARKED_TARGET | LOCAL_PREVIOUS_CUE:SAME_SETTING	Keep the most recently introduced target.	Retain a target stack or multi-target frame.	NO	YES	V61_SELECTED_STATEMENT>V62_R3_ERROR_AUDIT
79	ERR079	B3-S014	B3	LOW	TARGET_INTRODUCTION_OVERWRITES_PRIOR_TARGET	A newly observed local target replaces a carried target. Trigger=BOUNDARY:WITHIN_LOCUS_FIELD_BOUNDARY | CLOSURE:F084:TERMINAL | LOCAL_TARGET_FILLER:UPPER_RUN	Keep the most recently introduced target.	Retain a target stack or multi-target frame.	NO	YES	V61_SELECTED_STATEMENT>V62_R3_ERROR_AUDIT
80	ERR080	B3-S016	B3	LOW	TARGET_INTRODUCTION_OVERWRITES_PRIOR_TARGET	A newly observed local target replaces a carried target. Trigger=BOUNDARY:WITHIN_LOCUS_FIELD_BOUNDARY | CLOSURE:F086:OPEN > F087:TERMINAL | LOCAL_TARGET_FILLER:LOWER_OUTLET | SOURCE_FROM:B3-LB04:CONTINUE_SAME_CLAUSE | SOURCE_TO:B3-LB04:CONTINUE_SAME_CLAUSE | SOURCE_INTERNAL:B3-LB04:CONTINUE_SAME_CLAUSE	Keep the most recently introduced target.	Retain a target stack or multi-target frame.	NO	YES	V61_SELECTED_STATEMENT>V62_R3_ERROR_AUDIT
81	ERR081	B3-S020	B3	LOW	TARGET_INTRODUCTION_OVERWRITES_PRIOR_TARGET	A newly observed local target replaces a carried target. Trigger=BOUNDARY:WITHIN_LOCUS_FIELD_BOUNDARY | EXACT_SELECTED:ZIEL? | EXACT_SELECTED:ABLASSEN? | CLOSURE:F091:TERMINAL | LOCAL_TARGET_FILLER:MARKED_TARGET	Keep the most recently introduced target.	Retain a target stack or multi-target frame.	NO	YES	V61_SELECTED_STATEMENT>V62_R3_ERROR_AUDIT
82	ERR082	B3-S021	B3	LOW	TARGET_INTRODUCTION_OVERWRITES_PRIOR_TARGET	A newly observed local target replaces a carried target. Trigger=BOUNDARY:WITHIN_LOCUS_FIELD_BOUNDARY | EXACT_SELECTED:BEREIT? | EXACT_SELECTED:ZIEL? | EXACT_SELECTED:MASS? | EXACT_SELECTED:ZIEL? | EXACT_SELECTED:BEREIT? | CLOSURE:F092:OPEN > F093:TERMINAL | LOCAL_TARGET_FILLER:MARKED_TARGET | LOCAL_PREVIOUS_CUE:REMAINDER | SOURCE_FROM:B3-LB05:CONTINUE_SAME_CLAUSE | SOURCE_TO:B3-LB05:CONTINUE_SAME_CLAUSE | SOURCE_INTERNAL:B3-LB05:CONTINUE_SAME_CLAUSE	Keep the most recently introduced target.	Retain a target stack or multi-target frame.	NO	YES	V61_SELECTED_STATEMENT>V62_R3_ERROR_AUDIT
83	ERR083	B3-S024	B3	MEDIUM	PREVIOUS_SLOT_OVERWRITTEN	A new active item replaces an already occupied depth-one previous slot. Trigger=BOUNDARY:NEXT_PARALLEL_CELL | CLOSURE:F096:TERMINAL | LOCAL_TARGET_FILLER:VESSEL_OR_RUN | SOURCE_TO:B3-LB06:NEXT_PARALLEL_CELL	Keep only the immediately displaced active item.	Use an unbounded history stack.	NO	YES	V61_SELECTED_STATEMENT>V62_R3_ERROR_AUDIT
84	ERR084	B3-S024	B3	LOW	TARGET_RESET_DISCARDS_PRIOR_TARGET	A new or parallel clause resets an occupied target register. Trigger=BOUNDARY:NEXT_PARALLEL_CELL | CLOSURE:F096:TERMINAL | LOCAL_TARGET_FILLER:VESSEL_OR_RUN | SOURCE_TO:B3-LB06:NEXT_PARALLEL_CELL	Treat the reset as intentional station scoping.	Carry the prior station across the clause boundary.	NO	YES	V61_SELECTED_STATEMENT>V62_R3_ERROR_AUDIT
85	ERR085	B3-S026	B3	LOW	TARGET_INTRODUCTION_OVERWRITES_PRIOR_TARGET	A newly observed local target replaces a carried target. Trigger=BOUNDARY:WITHIN_LOCUS_FIELD_BOUNDARY | EXACT_SELECTED:BEREIT? | CLOSURE:F098:OPEN > F099:TERMINAL | LOCAL_TARGET_FILLER:PERSON_AT_BASIN | SOURCE_FROM:B3-LB07:CONTINUE_SAME_CLAUSE | SOURCE_TO:B3-LB07:CONTINUE_SAME_CLAUSE | SOURCE_INTERNAL:B3-LB07:CONTINUE_SAME_CLAUSE	Keep the most recently introduced target.	Retain a target stack or multi-target frame.	NO	YES	V61_SELECTED_STATEMENT>V62_R3_ERROR_AUDIT
86	ERR086	B3-S028	B3	LOW	TARGET_INTRODUCTION_OVERWRITES_PRIOR_TARGET	A newly observed local target replaces a carried target. Trigger=BOUNDARY:WITHIN_LOCUS_FIELD_BOUNDARY | EXACT_SELECTED:TEMPERIEREN? | EXACT_SELECTED:SPÜLEN? | CLOSURE:F101:TERMINAL | LOCAL_TARGET_FILLER:MARKED_TARGET	Keep the most recently introduced target.	Retain a target stack or multi-target frame.	NO	YES	V61_SELECTED_STATEMENT>V62_R3_ERROR_AUDIT
87	ERR087	B3-S029	B3	HIGH	PREVIOUS_REFERENT_CLASS_AMBIGUOUS	The cue does not choose uniquely among prior item, preparation, run, remainder or setting. Trigger=BOUNDARY:WITHIN_LOCUS_FIELD_BOUNDARY | EXACT_SELECTED:SPÜLEN? | CLOSURE:F102:TERMINAL | LOCAL_TARGET_FILLER:MARKED_TARGET | LOCAL_PREVIOUS_CUE:PREVIOUS_PREPARATION	Use the depth-one PREVIOUS_ITEM register.	Split PREVIOUS_ITEM into typed history registers.	YES	YES	V61_SELECTED_STATEMENT>V62_R3_ERROR_AUDIT
88	ERR088	B3-S029	B3	LOW	TARGET_INTRODUCTION_OVERWRITES_PRIOR_TARGET	A newly observed local target replaces a carried target. Trigger=BOUNDARY:WITHIN_LOCUS_FIELD_BOUNDARY | EXACT_SELECTED:SPÜLEN? | CLOSURE:F102:TERMINAL | LOCAL_TARGET_FILLER:MARKED_TARGET | LOCAL_PREVIOUS_CUE:PREVIOUS_PREPARATION	Keep the most recently introduced target.	Retain a target stack or multi-target frame.	NO	YES	V61_SELECTED_STATEMENT>V62_R3_ERROR_AUDIT
89	ERR089	B3-S032	B3	HIGH	PREVIOUS_REFERENT_CLASS_AMBIGUOUS	The cue does not choose uniquely among prior item, preparation, run, remainder or setting. Trigger=BOUNDARY:WITHIN_LOCUS_FIELD_BOUNDARY | CLOSURE:F106:TERMINAL | LOCAL_TARGET_FILLER:BROAD_VESSEL | LOCAL_PREVIOUS_CUE:SAME_DURATION	Use the depth-one PREVIOUS_ITEM register.	Split PREVIOUS_ITEM into typed history registers.	YES	YES	V61_SELECTED_STATEMENT>V62_R3_ERROR_AUDIT
90	ERR090	B3-S032	B3	LOW	TARGET_INTRODUCTION_OVERWRITES_PRIOR_TARGET	A newly observed local target replaces a carried target. Trigger=BOUNDARY:WITHIN_LOCUS_FIELD_BOUNDARY | CLOSURE:F106:TERMINAL | LOCAL_TARGET_FILLER:BROAD_VESSEL | LOCAL_PREVIOUS_CUE:SAME_DURATION	Keep the most recently introduced target.	Retain a target stack or multi-target frame.	NO	YES	V61_SELECTED_STATEMENT>V62_R3_ERROR_AUDIT
91	ERR091	B3-S034	B3	MEDIUM	PREVIOUS_SLOT_OVERWRITTEN	A new active item replaces an already occupied depth-one previous slot. Trigger=BOUNDARY:START_NEW_CLAUSE | EXACT_SELECTED:BEREIT? | CLOSURE:F108:TERMINAL | LOCAL_TARGET_FILLER:LOWER_BASIN | LOCAL_PREVIOUS_CUE:SAME_DURATION | SOURCE_TO:B3-LB09:START_NEW_CLAUSE	Keep only the immediately displaced active item.	Use an unbounded history stack.	NO	YES	V61_SELECTED_STATEMENT>V62_R3_ERROR_AUDIT
92	ERR092	B3-S034	B3	LOW	TARGET_RESET_DISCARDS_PRIOR_TARGET	A new or parallel clause resets an occupied target register. Trigger=BOUNDARY:START_NEW_CLAUSE | EXACT_SELECTED:BEREIT? | CLOSURE:F108:TERMINAL | LOCAL_TARGET_FILLER:LOWER_BASIN | LOCAL_PREVIOUS_CUE:SAME_DURATION | SOURCE_TO:B3-LB09:START_NEW_CLAUSE	Treat the reset as intentional station scoping.	Carry the prior station across the clause boundary.	NO	YES	V61_SELECTED_STATEMENT>V62_R3_ERROR_AUDIT
93	ERR093	B3-S034	B3	HIGH	PREVIOUS_REFERENT_CLASS_AMBIGUOUS	The cue does not choose uniquely among prior item, preparation, run, remainder or setting. Trigger=BOUNDARY:START_NEW_CLAUSE | EXACT_SELECTED:BEREIT? | CLOSURE:F108:TERMINAL | LOCAL_TARGET_FILLER:LOWER_BASIN | LOCAL_PREVIOUS_CUE:SAME_DURATION | SOURCE_TO:B3-LB09:START_NEW_CLAUSE	Use the depth-one PREVIOUS_ITEM register.	Split PREVIOUS_ITEM into typed history registers.	YES	YES	V61_SELECTED_STATEMENT>V62_R3_ERROR_AUDIT
