context_event_ordinal	event_id	statement_id	card_ordinal_in_statement	physical_page	register	owner_id	owner_de	locus	surface	content_role	gdt516_context_recipe	final_context_recipe	recipe_source	recipe_changed_after_gdt516	controlled_order_reading_de	gdt538_neutral_phrase_de	explicit_action_roots	inherited_action_root	inherited_action_source_event_id	explicit_argument_roots	inherited_argument_root	inherited_argument_source_event_id	ellipsis_status	contextual_clause_de	exact_recipe_roundtrip	same_statement_inheritance_only	cross_statement_inheritance	guard
165	G515-E0165	G515-S010	5	f31r	HERBAL	F31R_WHOLE_PLANT	abgebildete Ganzpflanze auf f31r	f31r.2	qef	LOCAL_CLASS_OR_NAME_CARD	E+LOCAL_CHAR_F	E+LOCAL_CHAR_F	GDT538_FINAL_SURFACE	NO	[Grad I] → [hier: f-Kennmarke].	Auf Grad I; hier.	NONE	K	G515-E0164	NONE	Y	G515-E0164	INHERITED_ACTION_AND_ARGUMENT	Im laufenden Satz gib den Pflanzenposten [wie zuvor] zu; auf Grad I; an der bezeichneten Stelle.	E+LOCAL_CHAR_F	YES	NO	CONTEXTUAL_EDITORIAL_READING__NO_RECIPE_OR_ROOT_RETUNING
166	G515-E0166	G515-S010	6	f31r	HERBAL	F31R_WHOLE_PLANT	abgebildete Ganzpflanze auf f31r	f31r.3	qokeey	ORDERED_INSTRUCTION_CARD	OK+EE+Y	OK+EE+Y	GDT516_CONTEXT_REPLAY	NO	setzen → [Grad II] → Posten.	NOT_IN_GDT538_159	OK	NONE	NONE	Y	NONE	NONE	NO_INHERITANCE	Setze den Pflanzenposten im Arbeitsgang an; auf Grad II.	OK+EE+Y	YES	NO	CONTEXTUAL_EDITORIAL_READING__NO_RECIPE_OR_ROOT_RETUNING
167	G515-E0167	G515-S010	7	f31r	HERBAL	F31R_WHOLE_PLANT	abgebildete Ganzpflanze auf f31r	f31r.3	chey	COORDINATE_OR_CATALOGUE_CARD	Y	Y	GDT516_CONTEXT_REPLAY	NO	Posten.	NOT_IN_GDT538_159	NONE	OK	G515-E0166	Y	NONE	NONE	INHERITED_ACTION_ONLY	Im laufenden Satz setze den Pflanzenposten im Arbeitsgang an.	Y	YES	NO	CONTEXTUAL_EDITORIAL_READING__NO_RECIPE_OR_ROOT_RETUNING
168	G515-E0168	G515-S010	8	f31r	HERBAL	F31R_WHOLE_PLANT	abgebildete Ganzpflanze auf f31r	f31r.3	daiin	COORDINATE_OR_CATALOGUE_CARD	AIIN	AIIN	GDT516_CONTEXT_REPLAY	NO	Wert.	NOT_IN_GDT538_159	NONE	OK	G515-E0166	AIIN	NONE	NONE	INHERITED_ACTION_ONLY	Im laufenden Satz setze den Arbeitswert im Arbeitsgang an.	AIIN	YES	NO	CONTEXTUAL_EDITORIAL_READING__NO_RECIPE_OR_ROOT_RETUNING
169	G515-E0169	G515-S010	9	f31r	HERBAL	F31R_WHOLE_PLANT	abgebildete Ganzpflanze auf f31r	f31r.3	qokeey	ORDERED_INSTRUCTION_CARD	OK+EE+Y	OK+EE+Y	GDT516_CONTEXT_REPLAY	NO	setzen → [Grad II] → Posten.	NOT_IN_GDT538_159	OK	NONE	NONE	Y	NONE	NONE	NO_INHERITANCE	Setze den Pflanzenposten im Arbeitsgang an; auf Grad II.	OK+EE+Y	YES	NO	CONTEXTUAL_EDITORIAL_READING__NO_RECIPE_OR_ROOT_RETUNING
170	G515-E0170	G515-S010	10	f31r	HERBAL	F31R_WHOLE_PLANT	abgebildete Ganzpflanze auf f31r	f31r.3	sair	ORDERED_INSTRUCTION_CARD	S+AIR	S+AIR	GDT516_CONTEXT_REPLAY	NO	wählen → Bahn.	NOT_IN_GDT538_159	S	NONE	NONE	NONE	Y	G515-E0169	INHERITED_ARGUMENT_ONLY	Wähle den Pflanzenposten [wie zuvor]; entlang der Verarbeitungsbahn.	S+AIR	YES	NO	CONTEXTUAL_EDITORIAL_READING__NO_RECIPE_OR_ROOT_RETUNING
171	G515-E0171	G515-S010	11	f31r	HERBAL	F31R_WHOLE_PLANT	abgebildete Ganzpflanze auf f31r	f31r.3	chekey	ORDERED_INSTRUCTION_CARD	CH+K+E+Y	CH+K+E+Y	GDT516_CONTEXT_REPLAY	NO	nehmen → geben → [Grad I] → Posten.	NOT_IN_GDT538_159	CH|K	NONE	NONE	Y	NONE	NONE	NO_INHERITANCE	Nimm den Pflanzenposten und gib den Pflanzenposten zu; auf Grad I.	CH+K+E+Y	YES	NO	CONTEXTUAL_EDITORIAL_READING__NO_RECIPE_OR_ROOT_RETUNING
172	G515-E0172	G515-S010	12	f31r	HERBAL	F31R_WHOLE_PLANT	abgebildete Ganzpflanze auf f31r	f31r.3	s	ORDERED_INSTRUCTION_CARD	S	S	GDT516_CONTEXT_REPLAY	NO	wählen.	NOT_IN_GDT538_159	S	NONE	NONE	NONE	Y	G515-E0171	INHERITED_ARGUMENT_ONLY	Wähle den Pflanzenposten [wie zuvor].	S	YES	NO	CONTEXTUAL_EDITORIAL_READING__NO_RECIPE_OR_ROOT_RETUNING
173	G515-E0173	G515-S010	13	f31r	HERBAL	F31R_WHOLE_PLANT	abgebildete Ganzpflanze auf f31r	f31r.3	aiin	COORDINATE_OR_CATALOGUE_CARD	AIIN	AIIN	GDT516_CONTEXT_REPLAY	NO	Wert.	NOT_IN_GDT538_159	NONE	S	G515-E0172	AIIN	NONE	NONE	INHERITED_ACTION_ONLY	Im laufenden Satz wähle den Arbeitswert.	AIIN	YES	NO	CONTEXTUAL_EDITORIAL_READING__NO_RECIPE_OR_ROOT_RETUNING
174	G515-E0174	G515-S010	14	f31r	HERBAL	F31R_WHOLE_PLANT	abgebildete Ganzpflanze auf f31r	f31r.3	da	LOCAL_CLASS_OR_NAME_CARD	DA	DA	GDT538_FINAL_SURFACE	NO	[zweite Stufe].	Auf der zweiten Stufe.	NONE	S	G515-E0172	NONE	AIIN	G515-E0173	INHERITED_ACTION_AND_ARGUMENT	Im laufenden Satz wähle den Arbeitswert [wie zuvor]; auf der zweiten Stufe.	DA	YES	NO	CONTEXTUAL_EDITORIAL_READING__NO_RECIPE_OR_ROOT_RETUNING
175	G515-E0175	G515-S010	15	f31r	HERBAL	F31R_WHOLE_PLANT	abgebildete Ganzpflanze auf f31r	f31r.4	qotar	ITINERARY_OR_ADDRESS_CARD	OT+AR	OT+AR	GDT516_CONTEXT_REPLAY	NO	danach → Ausgang.	NOT_IN_GDT538_159	NONE	S	G515-E0172	NONE	AIIN	G515-E0173	INHERITED_ACTION_AND_ARGUMENT	Danach: im laufenden Satz wähle den Arbeitswert [wie zuvor]; vom Ausgangsmaterial.	OT+AR	YES	NO	CONTEXTUAL_EDITORIAL_READING__NO_RECIPE_OR_ROOT_RETUNING
176	G515-E0176	G515-S010	16	f31r	HERBAL	F31R_WHOLE_PLANT	abgebildete Ganzpflanze auf f31r	f31r.4	chy	COORDINATE_OR_CATALOGUE_CARD	Y	Y	GDT516_CONTEXT_REPLAY	NO	Posten.	NOT_IN_GDT538_159	NONE	S	G515-E0172	Y	NONE	NONE	INHERITED_ACTION_ONLY	Im laufenden Satz wähle den Pflanzenposten.	Y	YES	NO	CONTEXTUAL_EDITORIAL_READING__NO_RECIPE_OR_ROOT_RETUNING
177	G515-E0177	G515-S010	17	f31r	HERBAL	F31R_WHOLE_PLANT	abgebildete Ganzpflanze auf f31r	f31r.4	dar	COORDINATE_OR_CATALOGUE_CARD	D_ADDR+AR	D_ADDR+AR	GDT516_CONTEXT_REPLAY	NO	[hier: D-Adresse] → Ausgang.	NOT_IN_GDT538_159	NONE	S	G515-E0172	NONE	Y	G515-E0176	INHERITED_ACTION_AND_ARGUMENT	Im laufenden Satz wähle den Pflanzenposten [wie zuvor]; vom Ausgangsmaterial; an der bezeichneten Stelle.	D_ADDR+AR	YES	NO	CONTEXTUAL_EDITORIAL_READING__NO_RECIPE_OR_ROOT_RETUNING
178	G515-E0178	G515-S010	18	f31r	HERBAL	F31R_WHOLE_PLANT	abgebildete Ganzpflanze auf f31r	f31r.4	lo	COORDINATE_OR_CATALOGUE_CARD	L+O	L+O	GDT516_CONTEXT_REPLAY	NO	Verbindung → [Ausführung].	NOT_IN_GDT538_159	NONE	S	G515-E0172	NONE	Y	G515-E0176	INHERITED_ACTION_AND_ARGUMENT	Im laufenden Satz wähle den Pflanzenposten [wie zuvor]; über die Verbindung im Pflanzenartikel; zur Ausführung.	L+O	YES	NO	CONTEXTUAL_EDITORIAL_READING__NO_RECIPE_OR_ROOT_RETUNING
179	G515-E0179	G515-S010	19	f31r	HERBAL	F31R_WHOLE_PLANT	abgebildete Ganzpflanze auf f31r	f31r.4	r	ORDERED_INSTRUCTION_CARD	R	R	GDT516_CONTEXT_REPLAY	NO	markieren.	NOT_IN_GDT538_159	R	NONE	NONE	NONE	Y	G515-E0176	INHERITED_ARGUMENT_ONLY	Markiere den Pflanzenposten [wie zuvor].	R	YES	NO	CONTEXTUAL_EDITORIAL_READING__NO_RECIPE_OR_ROOT_RETUNING
180	G515-E0180	G515-S010	20	f31r	HERBAL	F31R_WHOLE_PLANT	abgebildete Ganzpflanze auf f31r	f31r.4	ar	COORDINATE_OR_CATALOGUE_CARD	AR	AR	GDT516_CONTEXT_REPLAY	NO	Ausgang.	NOT_IN_GDT538_159	NONE	R	G515-E0179	NONE	Y	G515-E0176	INHERITED_ACTION_AND_ARGUMENT	Im laufenden Satz markiere den Pflanzenposten [wie zuvor]; vom Ausgangsmaterial.	AR	YES	NO	CONTEXTUAL_EDITORIAL_READING__NO_RECIPE_OR_ROOT_RETUNING
181	G515-E0181	G515-S010	21	f31r	HERBAL	F31R_WHOLE_PLANT	abgebildete Ganzpflanze auf f31r	f31r.4	cheey	ORDERED_INSTRUCTION_CARD	SH+EE+Y	SH+EE+Y	GDT516_CONTEXT_REPLAY	NO	halten → [Grad II] → Posten.	NOT_IN_GDT538_159	SH	NONE	NONE	Y	NONE	NONE	NO_INHERITANCE	Halte den Pflanzenposten; auf Grad II.	SH+EE+Y	YES	NO	CONTEXTUAL_EDITORIAL_READING__NO_RECIPE_OR_ROOT_RETUNING
182	G515-E0182	G515-S010	22	f31r	HERBAL	F31R_WHOLE_PLANT	abgebildete Ganzpflanze auf f31r	f31r.4	keeol	ORDERED_INSTRUCTION_CARD	K+EE+O+L	K+EE+OL	GDT538_FINAL_SURFACE	YES	geben → [Grad II] → fortsetzen.	Geben; auf Grad II; fortsetzen.	K	NONE	NONE	NONE	Y	G515-E0181	INHERITED_ARGUMENT_ONLY	Gib den Pflanzenposten [wie zuvor] zu; auf Grad II; führe fort.	K+EE+OL	YES	NO	CONTEXTUAL_EDITORIAL_READING__NO_RECIPE_OR_ROOT_RETUNING
183	G515-E0183	G515-S010	23	f31r	HERBAL	F31R_WHOLE_PLANT	abgebildete Ganzpflanze auf f31r	f31r.4	chedy	ORDERED_INSTRUCTION_CARD	CHD+Y	CHD+Y	GDT516_CONTEXT_REPLAY	NO	bearbeiten → Posten.	NOT_IN_GDT538_159	CHD	NONE	NONE	Y	NONE	NONE	NO_INHERITANCE	Bearbeite den Pflanzenposten.	CHD+Y	YES	NO	CONTEXTUAL_EDITORIAL_READING__NO_RECIPE_OR_ROOT_RETUNING
184	G515-E0184	G515-S010	24	f31r	HERBAL	F31R_WHOLE_PLANT	abgebildete Ganzpflanze auf f31r	f31r.4	qokey	ORDERED_INSTRUCTION_CARD	OK+E+Y	OK+E+Y	GDT516_CONTEXT_REPLAY	NO	setzen → [Grad I] → Posten.	NOT_IN_GDT538_159	OK	NONE	NONE	Y	NONE	NONE	NO_INHERITANCE	Setze den Pflanzenposten im Arbeitsgang an; auf Grad I.	OK+E+Y	YES	NO	CONTEXTUAL_EDITORIAL_READING__NO_RECIPE_OR_ROOT_RETUNING
185	G515-E0185	G515-S010	25	f31r	HERBAL	F31R_WHOLE_PLANT	abgebildete Ganzpflanze auf f31r	f31r.5	daiin	COORDINATE_OR_CATALOGUE_CARD	AIIN	AIIN	GDT516_CONTEXT_REPLAY	NO	Wert.	NOT_IN_GDT538_159	NONE	OK	G515-E0184	AIIN	NONE	NONE	INHERITED_ACTION_ONLY	Im laufenden Satz setze den Arbeitswert im Arbeitsgang an.	AIIN	YES	NO	CONTEXTUAL_EDITORIAL_READING__NO_RECIPE_OR_ROOT_RETUNING
186	G515-E0186	G515-S010	26	f31r	HERBAL	F31R_WHOLE_PLANT	abgebildete Ganzpflanze auf f31r	f31r.5	sheeody	ORDERED_INSTRUCTION_CARD	SH+EE+O+D_ADDR+Y	SH+EE+O+D_ADDR+Y	GDT538_FINAL_SURFACE	NO	halten → [Grad II] → [Ausführung] → [hier: D-Adresse] → Posten.	Den Posten halten; auf Grad II; zur Ausführung; hier.	SH	NONE	NONE	Y	NONE	NONE	NO_INHERITANCE	Halte den Pflanzenposten; auf Grad II und zur Ausführung; an der bezeichneten Stelle.	SH+EE+O+D_ADDR+Y	YES	NO	CONTEXTUAL_EDITORIAL_READING__NO_RECIPE_OR_ROOT_RETUNING
187	G515-E0187	G515-S010	27	f31r	HERBAL	F31R_WHOLE_PLANT	abgebildete Ganzpflanze auf f31r	f31r.5	qokeor	ORDERED_INSTRUCTION_CARD	OK+E+OR	OK+E+OR	GDT516_CONTEXT_REPLAY	NO	setzen → [Grad I] → Einheit.	NOT_IN_GDT538_159	OK	NONE	NONE	OR	NONE	NONE	NO_INHERITANCE	Setze die Arbeitseinheit im Arbeitsgang an; auf Grad I.	OK+E+OR	YES	NO	CONTEXTUAL_EDITORIAL_READING__NO_RECIPE_OR_ROOT_RETUNING
188	G515-E0188	G515-S011	1	f31r	HERBAL	F31R_WHOLE_PLANT	abgebildete Ganzpflanze auf f31r	f31r.6	tshokeody	ORDERED_INSTRUCTION_CARD	T+SH+OK+E+O+D_ADDR+Y	T+SH+OK+E+O+D_ADDR+Y	GDT538_FINAL_SURFACE	NO	einstellen → halten → setzen → [Grad I] → [Ausführung] → [hier: D-Adresse] → Posten.	Den Posten einstellen, halten und setzen; auf Grad I; zur Ausführung; hier.	T|SH|OK	NONE	NONE	Y	NONE	NONE	NO_INHERITANCE	Stelle den Pflanzenposten ein, halte den Pflanzenposten und setze den Pflanzenposten im Arbeitsgang an; auf Grad I und zur Ausführung; an der bezeichneten Stelle.	T+SH+OK+E+O+D_ADDR+Y	YES	NO	CONTEXTUAL_EDITORIAL_READING__NO_RECIPE_OR_ROOT_RETUNING
189	G515-E0189	G515-S011	2	f31r	HERBAL	F31R_WHOLE_PLANT	abgebildete Ganzpflanze auf f31r	f31r.6	qokedy	ORDERED_INSTRUCTION_CARD	OK+E+DY	OK+E+DY	GDT516_CONTEXT_REPLAY	NO	setzen → [Grad I] → [Schluss].	NOT_IN_GDT538_159	OK	NONE	NONE	NONE	Y	G515-E0188	INHERITED_ARGUMENT_ONLY	Setze den Pflanzenposten [wie zuvor] im Arbeitsgang an; auf Grad I; schließe den Schritt.	OK+E+DY	YES	NO	CONTEXTUAL_EDITORIAL_READING__NO_RECIPE_OR_ROOT_RETUNING
190	G515-E0190	G515-S012	1	f31r	HERBAL	F31R_WHOLE_PLANT	abgebildete Ganzpflanze auf f31r	f31r.6	qotedy	ITINERARY_OR_ADDRESS_CARD	OT+E+DY	OT+E+DY	GDT516_CONTEXT_REPLAY	NO	danach → [Grad I] → [Schluss].	NOT_IN_GDT538_159	NONE	NONE	NONE	NONE	NONE	NONE	NO_INHERITANCE	Danach: auf Grad I; schließe den Schritt.	OT+E+DY	YES	NO	CONTEXTUAL_EDITORIAL_READING__NO_RECIPE_OR_ROOT_RETUNING
191	G515-E0191	G515-S013	1	f31r	HERBAL	F31R_WHOLE_PLANT	abgebildete Ganzpflanze auf f31r	f31r.6	chepos	ORDERED_INSTRUCTION_CARD	CH+E+P+O+S	CH+E+P+O+S	GDT538_FINAL_SURFACE	NO	nehmen → [Grad I] → einsetzen → [Ausführung] → wählen.	Nehmen, einsetzen und wählen; auf Grad I; zur Ausführung.	CH|P|S	NONE	NONE	NONE	NONE	NONE	NO_INHERITANCE	Nimm, setze ein und wähle; auf Grad I und zur Ausführung.	CH+E+P+O+S	YES	NO	CONTEXTUAL_EDITORIAL_READING__NO_RECIPE_OR_ROOT_RETUNING
192	G515-E0192	G515-S013	2	f31r	HERBAL	F31R_WHOLE_PLANT	abgebildete Ganzpflanze auf f31r	f31r.6	cheda	ORDERED_INSTRUCTION_CARD	CHD+A_ADDR	CHD+A_ADDR	GDT538_FINAL_SURFACE	NO	bearbeiten → [hier: A-Adresse].	Bearbeiten; hier.	CHD	NONE	NONE	NONE	NONE	NONE	NO_INHERITANCE	Bearbeite; an der bezeichneten Stelle.	CHD+A_ADDR	YES	NO	CONTEXTUAL_EDITORIAL_READING__NO_RECIPE_OR_ROOT_RETUNING
193	G515-E0193	G515-S013	3	f31r	HERBAL	F31R_WHOLE_PLANT	abgebildete Ganzpflanze auf f31r	f31r.6	s	ORDERED_INSTRUCTION_CARD	S	S	GDT516_CONTEXT_REPLAY	NO	wählen.	NOT_IN_GDT538_159	S	NONE	NONE	NONE	NONE	NONE	NO_INHERITANCE	Wähle.	S	YES	NO	CONTEXTUAL_EDITORIAL_READING__NO_RECIPE_OR_ROOT_RETUNING
194	G515-E0194	G515-S013	4	f31r	HERBAL	F31R_WHOLE_PLANT	abgebildete Ganzpflanze auf f31r	f31r.6	aiin	COORDINATE_OR_CATALOGUE_CARD	AIIN	AIIN	GDT516_CONTEXT_REPLAY	NO	Wert.	NOT_IN_GDT538_159	NONE	S	G515-E0193	AIIN	NONE	NONE	INHERITED_ACTION_ONLY	Im laufenden Satz wähle den Arbeitswert.	AIIN	YES	NO	CONTEXTUAL_EDITORIAL_READING__NO_RECIPE_OR_ROOT_RETUNING
195	G515-E0195	G515-S013	5	f31r	HERBAL	F31R_WHOLE_PLANT	abgebildete Ganzpflanze auf f31r	f31r.6	dal	COORDINATE_OR_CATALOGUE_CARD	AL	AL	GDT516_CONTEXT_REPLAY	NO	Zielort.	NOT_IN_GDT538_159	NONE	S	G515-E0193	NONE	AIIN	G515-E0194	INHERITED_ACTION_AND_ARGUMENT	Im laufenden Satz wähle den Arbeitswert [wie zuvor]; zur Zielstelle.	AL	YES	NO	CONTEXTUAL_EDITORIAL_READING__NO_RECIPE_OR_ROOT_RETUNING
196	G515-E0196	G515-S013	6	f31r	HERBAL	F31R_WHOLE_PLANT	abgebildete Ganzpflanze auf f31r	f31r.7	ykeedar	ORDERED_INSTRUCTION_CARD	Y+K+EE+D_ADDR+AR	Y+K+EE+D_ADDR+AR	GDT538_FINAL_SURFACE	NO	Posten → geben → [Grad II] → [hier: D-Adresse] → Ausgang.	Den Posten geben; auf Grad II; hier; vom Ausgang.	K	NONE	NONE	Y	NONE	NONE	NO_INHERITANCE	Gib den Pflanzenposten zu; vom Ausgangsmaterial; auf Grad II; an der bezeichneten Stelle.	Y+K+EE+D_ADDR+AR	YES	NO	CONTEXTUAL_EDITORIAL_READING__NO_RECIPE_OR_ROOT_RETUNING
197	G515-E0197	G515-S013	7	f31r	HERBAL	F31R_WHOLE_PLANT	abgebildete Ganzpflanze auf f31r	f31r.7	saiin	ORDERED_INSTRUCTION_CARD	S+AIIN	S+AIIN	GDT516_CONTEXT_REPLAY	NO	wählen → Wert.	NOT_IN_GDT538_159	S	NONE	NONE	AIIN	NONE	NONE	NO_INHERITANCE	Wähle den Arbeitswert.	S+AIIN	YES	NO	CONTEXTUAL_EDITORIAL_READING__NO_RECIPE_OR_ROOT_RETUNING
198	G515-E0198	G515-S013	8	f31r	HERBAL	F31R_WHOLE_PLANT	abgebildete Ganzpflanze auf f31r	f31r.7	checkhey	ORDERED_INSTRUCTION_CARD	CH+E+CH+K+E+Y	CH+E+CH+K+E+Y	GDT516_CONTEXT_REPLAY	NO	nehmen → [Grad I] → nehmen → geben → [Grad I] → Posten.	NOT_IN_GDT538_159	CH|CH|K	NONE	NONE	Y	NONE	NONE	NO_INHERITANCE	Nimm den Pflanzenposten, nimm den Pflanzenposten und gib den Pflanzenposten zu; auf Grad I [außen] und auf Grad I [innen].	CH+E+CH+K+E+Y	YES	NO	CONTEXTUAL_EDITORIAL_READING__NO_RECIPE_OR_ROOT_RETUNING
199	G515-E0199	G515-S013	9	f31r	HERBAL	F31R_WHOLE_PLANT	abgebildete Ganzpflanze auf f31r	f31r.7	sheol	ORDERED_INSTRUCTION_CARD	SH+E+OL	SH+E+OL	GDT516_CONTEXT_REPLAY	NO	halten → [Grad I] → fortsetzen.	NOT_IN_GDT538_159	SH	NONE	NONE	NONE	Y	G515-E0198	INHERITED_ARGUMENT_ONLY	Halte den Pflanzenposten [wie zuvor]; auf Grad I; führe fort.	SH+E+OL	YES	NO	CONTEXTUAL_EDITORIAL_READING__NO_RECIPE_OR_ROOT_RETUNING
200	G515-E0200	G515-S013	10	f31r	HERBAL	F31R_WHOLE_PLANT	abgebildete Ganzpflanze auf f31r	f31r.7	qokedy	ORDERED_INSTRUCTION_CARD	OK+E+DY	OK+E+DY	GDT516_CONTEXT_REPLAY	NO	setzen → [Grad I] → [Schluss].	NOT_IN_GDT538_159	OK	NONE	NONE	NONE	Y	G515-E0198	INHERITED_ARGUMENT_ONLY	Setze den Pflanzenposten [wie zuvor] im Arbeitsgang an; auf Grad I; schließe den Schritt.	OK+E+DY	YES	NO	CONTEXTUAL_EDITORIAL_READING__NO_RECIPE_OR_ROOT_RETUNING
201	G515-E0201	G515-S014	1	f31r	HERBAL	F31R_WHOLE_PLANT	abgebildete Ganzpflanze auf f31r	f31r.7	ykeedy	ORDERED_INSTRUCTION_CARD	Y+K+EE+D_ADDR+Y	Y+K+EE+D_ADDR+Y	GDT516_CONTEXT_REPLAY	NO	Posten → geben → [Grad II] → [hier: D-Adresse] → Posten.	NOT_IN_GDT538_159	K	NONE	NONE	Y|Y	NONE	NONE	NO_INHERITANCE	Gib den Pflanzenposten [außen] und den Pflanzenposten [innen] zu; auf Grad II; an der bezeichneten Stelle.	Y+K+EE+D_ADDR+Y	YES	NO	CONTEXTUAL_EDITORIAL_READING__NO_RECIPE_OR_ROOT_RETUNING
202	G515-E0202	G515-S014	2	f31r	HERBAL	F31R_WHOLE_PLANT	abgebildete Ganzpflanze auf f31r	f31r.7	chedy	ORDERED_INSTRUCTION_CARD	CHD+Y	CHD+Y	GDT516_CONTEXT_REPLAY	NO	bearbeiten → Posten.	NOT_IN_GDT538_159	CHD	NONE	NONE	Y	NONE	NONE	NO_INHERITANCE	Bearbeite den Pflanzenposten.	CHD+Y	YES	NO	CONTEXTUAL_EDITORIAL_READING__NO_RECIPE_OR_ROOT_RETUNING
203	G515-E0203	G515-S014	3	f31r	HERBAL	F31R_WHOLE_PLANT	abgebildete Ganzpflanze auf f31r	f31r.7	ldy	COORDINATE_OR_CATALOGUE_CARD	L+DY	L+DY	GDT516_CONTEXT_REPLAY	NO	Verbindung → [Schluss].	NOT_IN_GDT538_159	NONE	CHD	G515-E0202	NONE	Y	G515-E0202	INHERITED_ACTION_AND_ARGUMENT	Im laufenden Satz bearbeite den Pflanzenposten [wie zuvor]; über die Verbindung im Pflanzenartikel; schließe den Schritt.	L+DY	YES	NO	CONTEXTUAL_EDITORIAL_READING__NO_RECIPE_OR_ROOT_RETUNING
204	G515-E0204	G515-S015	1	f31r	HERBAL	F31R_WHOLE_PLANT	abgebildete Ganzpflanze auf f31r	f31r.8	shedy	ORDERED_INSTRUCTION_CARD	SH+E+DY	SH+E+DY	GDT516_CONTEXT_REPLAY	NO	halten → [Grad I] → [Schluss].	NOT_IN_GDT538_159	SH	NONE	NONE	NONE	NONE	NONE	NO_INHERITANCE	Halte; auf Grad I; schließe den Schritt.	SH+E+DY	YES	NO	CONTEXTUAL_EDITORIAL_READING__NO_RECIPE_OR_ROOT_RETUNING
205	G515-E0205	G515-S016	1	f31r	HERBAL	F31R_WHOLE_PLANT	abgebildete Ganzpflanze auf f31r	f31r.8	qokedy	ORDERED_INSTRUCTION_CARD	OK+E+DY	OK+E+DY	GDT516_CONTEXT_REPLAY	NO	setzen → [Grad I] → [Schluss].	NOT_IN_GDT538_159	OK	NONE	NONE	NONE	NONE	NONE	NO_INHERITANCE	Setze im Arbeitsgang an; auf Grad I; schließe den Schritt.	OK+E+DY	YES	NO	CONTEXTUAL_EDITORIAL_READING__NO_RECIPE_OR_ROOT_RETUNING
206	G515-E0206	G515-S017	1	f31r	HERBAL	F31R_WHOLE_PLANT	abgebildete Ganzpflanze auf f31r	f31r.8	cheol	ORDERED_INSTRUCTION_CARD	CH+E+O+L	CH+E+O+L	GDT516_CONTEXT_REPLAY	NO	nehmen → [Grad I] → [Ausführung] → Verbindung.	NOT_IN_GDT538_159	CH	NONE	NONE	NONE	NONE	NONE	NO_INHERITANCE	Nimm; über die Verbindung im Pflanzenartikel; auf Grad I und zur Ausführung.	CH+E+O+L	YES	NO	CONTEXTUAL_EDITORIAL_READING__NO_RECIPE_OR_ROOT_RETUNING
207	G515-E0207	G515-S017	2	f31r	HERBAL	F31R_WHOLE_PLANT	abgebildete Ganzpflanze auf f31r	f31r.8	cheod	ORDERED_INSTRUCTION_CARD	CH+E+O+D_ADDR	CH+E+O+D_ADDR	GDT538_FINAL_SURFACE	NO	nehmen → [Grad I] → [Ausführung] → [hier: D-Adresse].	Nehmen; auf Grad I; zur Ausführung; hier.	CH	NONE	NONE	NONE	NONE	NONE	NO_INHERITANCE	Nimm; auf Grad I und zur Ausführung; an der bezeichneten Stelle.	CH+E+O+D_ADDR	YES	NO	CONTEXTUAL_EDITORIAL_READING__NO_RECIPE_OR_ROOT_RETUNING
208	G515-E0208	G515-S017	3	f31r	HERBAL	F31R_WHOLE_PLANT	abgebildete Ganzpflanze auf f31r	f31r.8	qokeody	ORDERED_INSTRUCTION_CARD	OK+E+O+D_ADDR+Y	OK+E+O+D_ADDR+Y	GDT516_CONTEXT_REPLAY	NO	setzen → [Grad I] → [Ausführung] → [hier: D-Adresse] → Posten.	NOT_IN_GDT538_159	OK	NONE	NONE	Y	NONE	NONE	NO_INHERITANCE	Setze den Pflanzenposten im Arbeitsgang an; auf Grad I und zur Ausführung; an der bezeichneten Stelle.	OK+E+O+D_ADDR+Y	YES	NO	CONTEXTUAL_EDITORIAL_READING__NO_RECIPE_OR_ROOT_RETUNING
209	G515-E0209	G515-S017	4	f31r	HERBAL	F31R_WHOLE_PLANT	abgebildete Ganzpflanze auf f31r	f31r.8	cheol	ORDERED_INSTRUCTION_CARD	CH+E+O+L	CH+E+O+L	GDT516_CONTEXT_REPLAY	NO	nehmen → [Grad I] → [Ausführung] → Verbindung.	NOT_IN_GDT538_159	CH	NONE	NONE	NONE	Y	G515-E0208	INHERITED_ARGUMENT_ONLY	Nimm den Pflanzenposten [wie zuvor]; über die Verbindung im Pflanzenartikel; auf Grad I und zur Ausführung.	CH+E+O+L	YES	NO	CONTEXTUAL_EDITORIAL_READING__NO_RECIPE_OR_ROOT_RETUNING
210	G515-E0210	G515-S017	5	f31r	HERBAL	F31R_WHOLE_PLANT	abgebildete Ganzpflanze auf f31r	f31r.8	checthy	ORDERED_INSTRUCTION_CARD	CH+T+Y	CH+T+Y	GDT516_CONTEXT_REPLAY	NO	nehmen → einstellen → Posten.	NOT_IN_GDT538_159	CH|T	NONE	NONE	Y	NONE	NONE	NO_INHERITANCE	Nimm den Pflanzenposten und stelle den Pflanzenposten ein.	CH+T+Y	YES	NO	CONTEXTUAL_EDITORIAL_READING__NO_RECIPE_OR_ROOT_RETUNING
