definitive_bundle_id	bundle_id	record_id	physical_page	register	locus	owner_de	event_count	source_event_ids	surface_sequence	recipe_sequence	literal_working_reading_de	boundary_role	record_bundle_count	bundle_ordinal_in_record	local_best_models	gdt474_selected_model	active_model	active_model_source	gdt476_context_decided	model_changed_from_gdt474	coordinate_repair_count	instruction_repair_count	catalogue_repair_count	coordinate_bundle_reading_de	instruction_bundle_reading_de	catalogue_bundle_reading_de	active_bundle_reading_de	order_occurrence_count	order_root_sequence	state_operation_sequence	order_scope_trace_de	definitive_bundle_reading_de	all_three_alternative_readings_retained	root_meaning_change	learned_name_change	claim_status
G479-B026	G474-B026	G475-R026	f72r	CELESTIAL	f72r1.11	lokale Kennung für Tierkreis-Ringgruppe A	2	P1008-E0142|P1008-E0143	ochol|sharam	O+OL / SH+AR+AM_ADDR	AUSFÜHRUNG · FORTSETZEN / HALTEN · AUSGANG · HIER	UNMARKED_NEW_LOCUS_WITH_INTERNAL_CONTROL	1	1	INSTRUCTION	INSTRUCTION	INSTRUCTION	GDT474_UNIQUE_OR_VISIBLE_SELECTION	NOT_A_TIE	NO	2	1	3	1. Adressspur: Ausführungspunkt → weiter. 2. Adressspur: Haltepunkt → Ausgangsposition → hier.	1. Weiter beziehe den Eintrag, als Ausführung. 2. Halte den Eintrag von der Ausgangsposition an der bezeichneten Stelle.	1. Eintrag »ochol« — Ausführungsvermerk, Fortsetzungsvermerk. 2. Eintrag »sharam« — Haltevermerk, Ausgangszuordnung, Hier-Vermerk.	1. Weiter beziehe den Eintrag, als Ausführung. 2. Halte den Eintrag von der Ausgangsposition an der bezeichneten Stelle.	1	OL	KEEP_ACTIVE_UNIT	OL:Ausführung weiterführen	1. Weiter beziehe den Eintrag, als Ausführung. 2. Halte den Eintrag von der Ausgangsposition an der bezeichneten Stelle. Reihenfolge konkret: OL — Ausführung weiterführen.	YES	NO	NO	DEFINITIVE_LOCAL_BUNDLE_WORKING_DEFAULT__THREE_ALTERNATIVES_RETAINED
G479-B027	G474-B027	G475-R027	f72r	CELESTIAL	f72r1.13	lokale Kennung für Tierkreis-Ringgruppe B	1	P1008-E0171	ofaralar	O+LOCAL_CHAR_F+AR+AL+AR	AUSFÜHRUNG · HIER · AUSGANG · ZIELORT · AUSGANG	UNMARKED_NEW_LOCUS	1	1	COORDINATE|INSTRUCTION|CATALOGUE	COORDINATE	COORDINATE	GDT476_LOCAL_DEFAULT	NO	NO	1	1	1	Adressspur: Ausführungspunkt → hier → Ausgangsposition → Zielposition → Ausgangsposition.	Beziehe den Eintrag von der Ausgangsposition [außen], zur Zielposition und von der Ausgangsposition [innen], als Ausführung an der bezeichneten Stelle.	Eintrag »ofaralar« — Ausführungsvermerk, Hier-Vermerk, Ausgangszuordnung, Zielzuordnung, Ausgangszuordnung.	Adressspur: Ausführungspunkt → hier → Ausgangsposition → Zielposition → Ausgangsposition.	0	NONE	NONE	NONE	Adressspur: Ausführungspunkt → hier → Ausgangsposition → Zielposition → Ausgangsposition.	YES	NO	NO	DEFINITIVE_LOCAL_BUNDLE_WORKING_DEFAULT__THREE_ALTERNATIVES_RETAINED
G479-B028	G474-B028	G475-R028	f72r	CELESTIAL	f72r1.14	lokale Kennung für Tierkreis-Ringgruppe B	1	P1008-E0172	otchoshy	OT+Y	DANACH · [STERNSTELLENNAME:cho] · POSTEN	EXPLICIT_NEXT_SIBLING_OT	1	1	COORDINATE|CATALOGUE	CATALOGUE	CATALOGUE	GDT476_LOCAL_DEFAULT	NO	NO	0	1	0	Adressspur: danach → Sternstelle »cho« → Positionsposten.	Danach beziehe den Sternstelleneintrag »cho« und den Positionsposten.	Sternstelle »cho« — Folgevermerk, Postenangabe.	Sternstelle »cho« — Folgevermerk, Postenangabe.	1	OT	START_FRESH_SIBLING	OT:danach Sternstelle »cho«	Sternstelle »cho« — Folgevermerk, Postenangabe. Reihenfolge konkret: OT — danach Sternstelle »cho«.	YES	NO	NO	DEFINITIVE_LOCAL_BUNDLE_WORKING_DEFAULT__THREE_ALTERNATIVES_RETAINED
G479-B029	G474-B029	G475-R029	f72r	CELESTIAL	f72r1.15	lokale Kennung für Tierkreis-Ringgruppe B	1	P1008-E0173	otchdal	OT+AL	DANACH · [STERNSTELLENNAME:ch] · ZIELORT	EXPLICIT_NEXT_SIBLING_OT	1	1	COORDINATE|CATALOGUE	CATALOGUE	CATALOGUE	GDT476_LOCAL_DEFAULT	NO	NO	0	1	0	Adressspur: danach → Sternstelle »ch« → Zielposition.	Danach beziehe den Sternstelleneintrag »ch« zur Zielposition.	Sternstelle »ch« — Folgevermerk, Zielzuordnung.	Sternstelle »ch« — Folgevermerk, Zielzuordnung.	1	OT	START_FRESH_SIBLING	OT:danach Sternstelle »ch«	Sternstelle »ch« — Folgevermerk, Zielzuordnung. Reihenfolge konkret: OT — danach Sternstelle »ch«.	YES	NO	NO	DEFINITIVE_LOCAL_BUNDLE_WORKING_DEFAULT__THREE_ALTERNATIVES_RETAINED
G479-B030	G474-B030	G475-R030	f72r	CELESTIAL	f72r1.16	lokale Kennung für Tierkreis-Ringgruppe B	2	P1008-E0174|P1008-E0175	okeey|ary	OK+EE+Y / AR+Y	SETZEN · GRAD II · POSTEN / AUSGANG · POSTEN	UNMARKED_NEW_LOCUS	1	1	INSTRUCTION	INSTRUCTION	INSTRUCTION	GDT474_UNIQUE_OR_VISIBLE_SELECTION	NOT_A_TIE	NO	1	0	3	1. Adressspur: Setzpunkt → Grad II → Positionsposten. 2. Adressspur: Ausgangsposition → Positionsposten.	1. Setze den Positionsposten, auf Grad II. 2. Im selben Gang setze den Positionsposten von der Ausgangsposition.	1. Eintrag »okeey« — Setzvermerk, Grad II, Postenangabe. 2. Eintrag »ary« — Ausgangszuordnung, Postenangabe.	1. Setze den Positionsposten, auf Grad II. 2. Im selben Gang setze den Positionsposten von der Ausgangsposition.	0	NONE	NONE	NONE	1. Setze den Positionsposten, auf Grad II. 2. Im selben Gang setze den Positionsposten von der Ausgangsposition.	YES	NO	NO	DEFINITIVE_LOCAL_BUNDLE_WORKING_DEFAULT__THREE_ALTERNATIVES_RETAINED
G479-B031	G474-B031	G475-R031	f72r	CELESTIAL	f72r1.17	lokale Kennung für Tierkreis-Ringgruppe B	1	P1008-E0176	otainy	OT+AIN+Y	DANACH · ANTEIL · POSTEN	EXPLICIT_NEXT_SIBLING_OT	1	1	COORDINATE	COORDINATE	COORDINATE	GDT474_UNIQUE_OR_VISIBLE_SELECTION	NOT_A_TIE	NO	0	1	1	Adressspur: danach → Sektoranteil → Positionsposten.	Danach beziehe den Sektoranteil und den Positionsposten.	Eintrag »otainy« — Folgevermerk, Anteilsangabe, Postenangabe.	Adressspur: danach → Sektoranteil → Positionsposten.	1	OT	START_FRESH_SIBLING	OT:danach Anteil	Adressspur: danach → Sektoranteil → Positionsposten. Reihenfolge konkret: OT — danach Anteil.	YES	NO	NO	DEFINITIVE_LOCAL_BUNDLE_WORKING_DEFAULT__THREE_ALTERNATIVES_RETAINED
G479-B032	G474-B032	G475-R032	f72r	CELESTIAL	f72r2.1	lokale Kennung für Tierkreis-Ringgruppe D	1	P1008-E0190	ofchdamy	O+LOCAL_CHAR_F	AUSFÜHRUNG · HIER · [STERNSTELLENNAME:chdamy]	UNMARKED_NEW_LOCUS	1	1	CATALOGUE	CATALOGUE	CATALOGUE	GDT474_UNIQUE_OR_VISIBLE_SELECTION	NOT_A_TIE	NO	1	1	0	Adressspur: Ausführungspunkt → hier → Sternstelle »chdamy«.	Beziehe den Sternstelleneintrag »chdamy«, als Ausführung an der bezeichneten Stelle.	Sternstelle »chdamy« — Ausführungsvermerk, Hier-Vermerk.	Sternstelle »chdamy« — Ausführungsvermerk, Hier-Vermerk.	0	NONE	NONE	NONE	Sternstelle »chdamy« — Ausführungsvermerk, Hier-Vermerk.	YES	NO	NO	DEFINITIVE_LOCAL_BUNDLE_WORKING_DEFAULT__THREE_ALTERNATIVES_RETAINED
G479-B033	G474-B033	G475-R033	f72r	CELESTIAL	f72r2.2	lokale Kennung für Tierkreis-Ringgruppe D	1	P1008-E0191	oklairdy	OK+AIR	SETZEN · [STERNSTELLENNAME:l] · BAHN · [STERNSTELLENNAME:dy]	UNMARKED_NEW_LOCUS	1	1	INSTRUCTION	INSTRUCTION	INSTRUCTION	GDT474_UNIQUE_OR_VISIBLE_SELECTION	NOT_A_TIE	NO	1	0	1	Adressspur: Setzpunkt → Sternstelle »l« → Ringbahn → Sternstelle »dy«.	Setze den Sternstelleneintrag »l« und den Sternstelleneintrag »dy« entlang der Ringbahn.	Sternstelle »l« / Sternstelle »dy« — Setzvermerk, Bahnvermerk.	Setze den Sternstelleneintrag »l« und den Sternstelleneintrag »dy« entlang der Ringbahn.	0	NONE	NONE	NONE	Setze den Sternstelleneintrag »l« und den Sternstelleneintrag »dy« entlang der Ringbahn.	YES	NO	NO	DEFINITIVE_LOCAL_BUNDLE_WORKING_DEFAULT__THREE_ALTERNATIVES_RETAINED
G479-B034	G474-B034	G475-R034	f72r	CELESTIAL	f72r2.3	lokale Kennung für Tierkreis-Ringgruppe D	1	P1008-E0192	okaram	OK+AR+AM_ADDR	SETZEN · AUSGANG · HIER	UNMARKED_NEW_LOCUS	1	1	INSTRUCTION	INSTRUCTION	INSTRUCTION	GDT474_UNIQUE_OR_VISIBLE_SELECTION	NOT_A_TIE	NO	1	0	2	Adressspur: Setzpunkt → Ausgangsposition → hier.	Setze den Eintrag von der Ausgangsposition an der bezeichneten Stelle.	Eintrag »okaram« — Setzvermerk, Ausgangszuordnung, Hier-Vermerk.	Setze den Eintrag von der Ausgangsposition an der bezeichneten Stelle.	0	NONE	NONE	NONE	Setze den Eintrag von der Ausgangsposition an der bezeichneten Stelle.	YES	NO	NO	DEFINITIVE_LOCAL_BUNDLE_WORKING_DEFAULT__THREE_ALTERNATIVES_RETAINED
G479-B035	G474-B035	G475-R035	f72r	CELESTIAL	f72r2.4	lokale Kennung für Tierkreis-Ringgruppe D	1	P1008-E0193	okairy	OK+AIR	SETZEN · BAHN · [STERNSTELLENNAME:y]	UNMARKED_NEW_LOCUS	1	1	INSTRUCTION	INSTRUCTION	INSTRUCTION	GDT474_UNIQUE_OR_VISIBLE_SELECTION	NOT_A_TIE	NO	1	0	1	Adressspur: Setzpunkt → Ringbahn → Sternstelle »y«.	Setze den Sternstelleneintrag »y« entlang der Ringbahn.	Sternstelle »y« — Setzvermerk, Bahnvermerk.	Setze den Sternstelleneintrag »y« entlang der Ringbahn.	0	NONE	NONE	NONE	Setze den Sternstelleneintrag »y« entlang der Ringbahn.	YES	NO	NO	DEFINITIVE_LOCAL_BUNDLE_WORKING_DEFAULT__THREE_ALTERNATIVES_RETAINED
G479-B036	G474-B036	G475-R036	f72r	CELESTIAL	f72r2.5	lokale Kennung für Tierkreis-Ringgruppe D	1	P1008-E0194	okealar	OK+AL+AR	SETZEN · [STERNSTELLENNAME:e] · ZIELORT · AUSGANG	UNMARKED_NEW_LOCUS	1	1	INSTRUCTION	INSTRUCTION	INSTRUCTION	GDT474_UNIQUE_OR_VISIBLE_SELECTION	NOT_A_TIE	NO	1	0	1	Adressspur: Setzpunkt → Sternstelle »e« → Zielposition → Ausgangsposition.	Setze den Sternstelleneintrag »e« zur Zielposition und von der Ausgangsposition.	Sternstelle »e« — Setzvermerk, Zielzuordnung, Ausgangszuordnung.	Setze den Sternstelleneintrag »e« zur Zielposition und von der Ausgangsposition.	0	NONE	NONE	NONE	Setze den Sternstelleneintrag »e« zur Zielposition und von der Ausgangsposition.	YES	NO	NO	DEFINITIVE_LOCAL_BUNDLE_WORKING_DEFAULT__THREE_ALTERNATIVES_RETAINED
G479-B037	G474-B037	G475-R037	f72r	CELESTIAL	f72r2.7	lokale Kennung für Tierkreis-Ringgruppe D	1	P1008-E0236	otaraldy	OT+AR+AL+Y	DANACH · AUSGANG · ZIELORT · POSTEN	EXPLICIT_NEXT_SIBLING_OT	1	1	COORDINATE	COORDINATE	COORDINATE	GDT474_UNIQUE_OR_VISIBLE_SELECTION	NOT_A_TIE	NO	0	1	1	Adressspur: danach → Ausgangsposition → Zielposition → Positionsposten.	Danach beziehe den Positionsposten von der Ausgangsposition und zur Zielposition.	Eintrag »otaraldy« — Folgevermerk, Ausgangszuordnung, Zielzuordnung, Postenangabe.	Adressspur: danach → Ausgangsposition → Zielposition → Positionsposten.	1	OT	START_FRESH_SIBLING	OT:danach Ausgang	Adressspur: danach → Ausgangsposition → Zielposition → Positionsposten. Reihenfolge konkret: OT — danach Ausgang.	YES	NO	NO	DEFINITIVE_LOCAL_BUNDLE_WORKING_DEFAULT__THREE_ALTERNATIVES_RETAINED
G479-B038	G474-B038	G475-R038	f72r	CELESTIAL	f72r2.8	lokale Kennung für Tierkreis-Ringgruppe D	1	P1008-E0237	okalar	OK+AL+AR	SETZEN · ZIELORT · AUSGANG	UNMARKED_NEW_LOCUS	1	1	INSTRUCTION	INSTRUCTION	INSTRUCTION	GDT474_UNIQUE_OR_VISIBLE_SELECTION	NOT_A_TIE	NO	1	0	2	Adressspur: Setzpunkt → Zielposition → Ausgangsposition.	Setze den Eintrag zur Zielposition und von der Ausgangsposition.	Eintrag »okalar« — Setzvermerk, Zielzuordnung, Ausgangszuordnung.	Setze den Eintrag zur Zielposition und von der Ausgangsposition.	0	NONE	NONE	NONE	Setze den Eintrag zur Zielposition und von der Ausgangsposition.	YES	NO	NO	DEFINITIVE_LOCAL_BUNDLE_WORKING_DEFAULT__THREE_ALTERNATIVES_RETAINED
G479-B039	G474-B039	G475-R039	f72r	CELESTIAL	f72r2.9	lokale Kennung für Tierkreis-Ringgruppe D	1	P1008-E0238	okal	OK+AL	SETZEN · ZIELORT	UNMARKED_NEW_LOCUS	1	1	INSTRUCTION	INSTRUCTION	INSTRUCTION	GDT474_UNIQUE_OR_VISIBLE_SELECTION	NOT_A_TIE	NO	1	0	2	Adressspur: Setzpunkt → Zielposition.	Setze den Eintrag zur Zielposition.	Eintrag »okal« — Setzvermerk, Zielzuordnung.	Setze den Eintrag zur Zielposition.	0	NONE	NONE	NONE	Setze den Eintrag zur Zielposition.	YES	NO	NO	DEFINITIVE_LOCAL_BUNDLE_WORKING_DEFAULT__THREE_ALTERNATIVES_RETAINED
G479-B040	G474-B040	G475-R040	f72r	CELESTIAL	f72r2.10	lokale Kennung für Tierkreis-Ringgruppe D	1	P1008-E0239	okaly	OK+AL+Y	SETZEN · ZIELORT · POSTEN	UNMARKED_NEW_LOCUS	1	1	INSTRUCTION	INSTRUCTION	INSTRUCTION	GDT474_UNIQUE_OR_VISIBLE_SELECTION	NOT_A_TIE	NO	1	0	2	Adressspur: Setzpunkt → Zielposition → Positionsposten.	Setze den Positionsposten zur Zielposition.	Eintrag »okaly« — Setzvermerk, Zielzuordnung, Postenangabe.	Setze den Positionsposten zur Zielposition.	0	NONE	NONE	NONE	Setze den Positionsposten zur Zielposition.	YES	NO	NO	DEFINITIVE_LOCAL_BUNDLE_WORKING_DEFAULT__THREE_ALTERNATIVES_RETAINED
G479-B041	G474-B041	G475-R041	f72r	CELESTIAL	f72r2.11	lokale Kennung für Tierkreis-Ringgruppe D	1	P1008-E0240	okal	OK+AL	SETZEN · ZIELORT	UNMARKED_NEW_LOCUS	1	1	INSTRUCTION	INSTRUCTION	INSTRUCTION	GDT474_UNIQUE_OR_VISIBLE_SELECTION	NOT_A_TIE	NO	1	0	2	Adressspur: Setzpunkt → Zielposition.	Setze den Eintrag zur Zielposition.	Eintrag »okal« — Setzvermerk, Zielzuordnung.	Setze den Eintrag zur Zielposition.	0	NONE	NONE	NONE	Setze den Eintrag zur Zielposition.	YES	NO	NO	DEFINITIVE_LOCAL_BUNDLE_WORKING_DEFAULT__THREE_ALTERNATIVES_RETAINED
G479-B042	G474-B042	G475-R042	f72r	CELESTIAL	f72r2.12	lokale Kennung für Tierkreis-Ringgruppe D	2	P1008-E0241|P1008-E0242	okeey|ary	OK+EE+Y / AR+Y	SETZEN · GRAD II · POSTEN / AUSGANG · POSTEN	UNMARKED_NEW_LOCUS	1	1	INSTRUCTION	INSTRUCTION	INSTRUCTION	GDT474_UNIQUE_OR_VISIBLE_SELECTION	NOT_A_TIE	NO	1	0	3	1. Adressspur: Setzpunkt → Grad II → Positionsposten. 2. Adressspur: Ausgangsposition → Positionsposten.	1. Setze den Positionsposten, auf Grad II. 2. Im selben Gang setze den Positionsposten von der Ausgangsposition.	1. Eintrag »okeey« — Setzvermerk, Grad II, Postenangabe. 2. Eintrag »ary« — Ausgangszuordnung, Postenangabe.	1. Setze den Positionsposten, auf Grad II. 2. Im selben Gang setze den Positionsposten von der Ausgangsposition.	0	NONE	NONE	NONE	1. Setze den Positionsposten, auf Grad II. 2. Im selben Gang setze den Positionsposten von der Ausgangsposition.	YES	NO	NO	DEFINITIVE_LOCAL_BUNDLE_WORKING_DEFAULT__THREE_ALTERNATIVES_RETAINED
G479-B043	G474-B043	G475-R043	f72r	CELESTIAL	f72r2.13	lokale Kennung für Tierkreis-Ringgruppe D	1	P1008-E0243	oteeary	OT+AR	DANACH · [STERNSTELLENNAME:ee] · AUSGANG · [STERNSTELLENNAME:y]	EXPLICIT_NEXT_SIBLING_OT	1	1	COORDINATE|CATALOGUE	CATALOGUE	CATALOGUE	GDT476_LOCAL_DEFAULT	NO	NO	0	1	0	Adressspur: danach → Sternstelle »ee« → Ausgangsposition → Sternstelle »y«.	Danach beziehe den Sternstelleneintrag »ee« und den Sternstelleneintrag »y« von der Ausgangsposition.	Sternstelle »ee« / Sternstelle »y« — Folgevermerk, Ausgangszuordnung.	Sternstelle »ee« / Sternstelle »y« — Folgevermerk, Ausgangszuordnung.	1	OT	START_FRESH_SIBLING	OT:danach Sternstelle »ee«	Sternstelle »ee« / Sternstelle »y« — Folgevermerk, Ausgangszuordnung. Reihenfolge konkret: OT — danach Sternstelle »ee«.	YES	NO	NO	DEFINITIVE_LOCAL_BUNDLE_WORKING_DEFAULT__THREE_ALTERNATIVES_RETAINED
G479-B044	G474-B044	G475-R044	f72r	CELESTIAL	f72r2.14	lokale Kennung für Tierkreis-Ringgruppe D	2	P1008-E0244|P1008-E0245	otair|dy	OT+AIR / Y	DANACH · BAHN / POSTEN	EXPLICIT_NEXT_SIBLING_OT	1	1	COORDINATE	COORDINATE	COORDINATE	GDT474_UNIQUE_OR_VISIBLE_SELECTION	NOT_A_TIE	NO	0	2	2	1. Adressspur: danach → Ringbahn. 2. Adressspur: Positionsposten.	1. Danach beziehe den Eintrag entlang der Ringbahn. 2. Beziehe den Positionsposten.	1. Eintrag »otair« — Folgevermerk, Bahnvermerk. 2. Eintrag »dy« — Postenangabe.	1. Adressspur: danach → Ringbahn. 2. Adressspur: Positionsposten.	1	OT	START_FRESH_SIBLING	OT:danach Bahn	1. Adressspur: danach → Ringbahn. 2. Adressspur: Positionsposten. Reihenfolge konkret: OT — danach Bahn.	YES	NO	NO	DEFINITIVE_LOCAL_BUNDLE_WORKING_DEFAULT__THREE_ALTERNATIVES_RETAINED
G479-B045	G474-B045	G475-R045	f72r	CELESTIAL	f72r2.15	lokale Kennung für Tierkreis-Ringgruppe D	1	P1008-E0246	okaircham	OK+AIR+AM_ADDR	SETZEN · BAHN · [STERNSTELLENNAME:ch] · HIER	UNMARKED_NEW_LOCUS	1	1	INSTRUCTION	INSTRUCTION	INSTRUCTION	GDT474_UNIQUE_OR_VISIBLE_SELECTION	NOT_A_TIE	NO	1	0	1	Adressspur: Setzpunkt → Ringbahn → Sternstelle »ch« → hier.	Setze den Sternstelleneintrag »ch« entlang der Ringbahn an der bezeichneten Stelle.	Sternstelle »ch« — Setzvermerk, Bahnvermerk, Hier-Vermerk.	Setze den Sternstelleneintrag »ch« entlang der Ringbahn an der bezeichneten Stelle.	0	NONE	NONE	NONE	Setze den Sternstelleneintrag »ch« entlang der Ringbahn an der bezeichneten Stelle.	YES	NO	NO	DEFINITIVE_LOCAL_BUNDLE_WORKING_DEFAULT__THREE_ALTERNATIVES_RETAINED
G479-B046	G474-B046	G475-R046	f72r	CELESTIAL	f72r2.16	lokale Kennung für Tierkreis-Ringgruppe D	1	P1008-E0247	okeal	OK+AL	SETZEN · [STERNSTELLENNAME:e] · ZIELORT	UNMARKED_NEW_LOCUS	1	1	INSTRUCTION	INSTRUCTION	INSTRUCTION	GDT474_UNIQUE_OR_VISIBLE_SELECTION	NOT_A_TIE	NO	1	0	1	Adressspur: Setzpunkt → Sternstelle »e« → Zielposition.	Setze den Sternstelleneintrag »e« zur Zielposition.	Sternstelle »e« — Setzvermerk, Zielzuordnung.	Setze den Sternstelleneintrag »e« zur Zielposition.	0	NONE	NONE	NONE	Setze den Sternstelleneintrag »e« zur Zielposition.	YES	NO	NO	DEFINITIVE_LOCAL_BUNDLE_WORKING_DEFAULT__THREE_ALTERNATIVES_RETAINED
G479-B047	G474-B047	G475-R047	f72r	CELESTIAL	f72r2.17	lokale Kennung für Tierkreis-Ringgruppe D	1	P1008-E0248	otar	OT+AR	DANACH · AUSGANG	EXPLICIT_NEXT_SIBLING_OT	1	1	COORDINATE	COORDINATE	COORDINATE	GDT474_UNIQUE_OR_VISIBLE_SELECTION	NOT_A_TIE	NO	0	1	1	Adressspur: danach → Ausgangsposition.	Danach beziehe den Eintrag von der Ausgangsposition.	Eintrag »otar« — Folgevermerk, Ausgangszuordnung.	Adressspur: danach → Ausgangsposition.	1	OT	START_FRESH_SIBLING	OT:danach Ausgang	Adressspur: danach → Ausgangsposition. Reihenfolge konkret: OT — danach Ausgang.	YES	NO	NO	DEFINITIVE_LOCAL_BUNDLE_WORKING_DEFAULT__THREE_ALTERNATIVES_RETAINED
G479-B048	G474-B048	G475-R048	f72r	CELESTIAL	f72r2.18	lokale Kennung für Tierkreis-Ringgruppe D	1	P1008-E0249	okaly	OK+AL+Y	SETZEN · ZIELORT · POSTEN	UNMARKED_NEW_LOCUS	1	1	INSTRUCTION	INSTRUCTION	INSTRUCTION	GDT474_UNIQUE_OR_VISIBLE_SELECTION	NOT_A_TIE	NO	1	0	2	Adressspur: Setzpunkt → Zielposition → Positionsposten.	Setze den Positionsposten zur Zielposition.	Eintrag »okaly« — Setzvermerk, Zielzuordnung, Postenangabe.	Setze den Positionsposten zur Zielposition.	0	NONE	NONE	NONE	Setze den Positionsposten zur Zielposition.	YES	NO	NO	DEFINITIVE_LOCAL_BUNDLE_WORKING_DEFAULT__THREE_ALTERNATIVES_RETAINED
G479-B049	G474-B049	G475-R049	f72r	CELESTIAL	f72r2.19	lokale Kennung für Tierkreis-Ringgruppe D	1	P1008-E0250	orary	OR+AR	EINHEIT · AUSGANG · [STERNSTELLENNAME:y]	UNMARKED_NEW_LOCUS	1	1	COORDINATE|CATALOGUE	CATALOGUE	CATALOGUE	GDT476_LOCAL_DEFAULT	NO	NO	0	1	0	Adressspur: Positionseinheit → Ausgangsposition → Sternstelle »y«.	Beziehe den Sternstelleneintrag »y« und die Positionseinheit von der Ausgangsposition.	Sternstelle »y« — Einheitsangabe, Ausgangszuordnung.	Sternstelle »y« — Einheitsangabe, Ausgangszuordnung.	0	NONE	NONE	NONE	Sternstelle »y« — Einheitsangabe, Ausgangszuordnung.	YES	NO	NO	DEFINITIVE_LOCAL_BUNDLE_WORKING_DEFAULT__THREE_ALTERNATIVES_RETAINED
G479-B050	G474-B050	G475-R050	f72r	CELESTIAL	f72r2.20	lokale Kennung für Tierkreis-Ringgruppe D	1	P1008-E0251	okyd	OK	SETZEN · [STERNSTELLENNAME:yd]	UNMARKED_NEW_LOCUS	1	1	INSTRUCTION	INSTRUCTION	INSTRUCTION	GDT474_UNIQUE_OR_VISIBLE_SELECTION	NOT_A_TIE	NO	1	0	1	Adressspur: Setzpunkt → Sternstelle »yd«.	Setze den Sternstelleneintrag »yd«.	Sternstelle »yd« — Setzvermerk.	Setze den Sternstelleneintrag »yd«.	0	NONE	NONE	NONE	Setze den Sternstelleneintrag »yd«.	YES	NO	NO	DEFINITIVE_LOCAL_BUNDLE_WORKING_DEFAULT__THREE_ALTERNATIVES_RETAINED
G479-B051	G474-B051	G475-R051	f72r	CELESTIAL	f72r2.21	lokale Kennung für Tierkreis-Ringgruppe D	1	P1008-E0252	otolam	OT+OL+AM_ADDR	DANACH · FORTSETZEN · HIER	EXPLICIT_NEXT_SIBLING_OT	1	1	COORDINATE	COORDINATE	COORDINATE	GDT474_UNIQUE_OR_VISIBLE_SELECTION	NOT_A_TIE	NO	0	1	1	Adressspur: danach → weiter → hier.	Danach und weiter beziehe den Eintrag an der bezeichneten Stelle.	Eintrag »otolam« — Folgevermerk, Fortsetzungsvermerk, Hier-Vermerk.	Adressspur: danach → weiter → hier.	2	OT|OL	START_FRESH_SIBLING|KEEP_ACTIVE_UNIT	OT:danach Fortsetzung | OL:Folgeschritt in bezeichnete Stelle weiterführen	Adressspur: danach → weiter → hier. Reihenfolge konkret: OT — danach Fortsetzung; OL — Folgeschritt in bezeichnete Stelle weiterführen.	YES	NO	NO	DEFINITIVE_LOCAL_BUNDLE_WORKING_DEFAULT__THREE_ALTERNATIVES_RETAINED
G479-B052	G474-B052	G475-R052	f72r	CELESTIAL	f72r2.23	lokale Kennung für Tierkreis-Ringgruppe E	1	P1008-E0279	otal	OT+AL	DANACH · ZIELORT	EXPLICIT_NEXT_SIBLING_OT	1	1	COORDINATE	COORDINATE	COORDINATE	GDT474_UNIQUE_OR_VISIBLE_SELECTION	NOT_A_TIE	NO	0	1	1	Adressspur: danach → Zielposition.	Danach beziehe den Eintrag zur Zielposition.	Eintrag »otal« — Folgevermerk, Zielzuordnung.	Adressspur: danach → Zielposition.	1	OT	START_FRESH_SIBLING	OT:danach Zielort	Adressspur: danach → Zielposition. Reihenfolge konkret: OT — danach Zielort.	YES	NO	NO	DEFINITIVE_LOCAL_BUNDLE_WORKING_DEFAULT__THREE_ALTERNATIVES_RETAINED
G479-B053	G474-B053	G475-R053	f72r	CELESTIAL	f72r2.24	lokale Kennung für Tierkreis-Ringgruppe E	1	P1008-E0280	ralal	AL+AL	[STERNSTELLENNAME:r] · ZIELORT · ZIELORT	UNMARKED_NEW_LOCUS	1	1	COORDINATE|CATALOGUE	CATALOGUE	CATALOGUE	GDT476_LOCAL_DEFAULT	NO	NO	0	1	0	Adressspur: Sternstelle »r« → Zielposition → Zielposition.	Beziehe den Sternstelleneintrag »r« zur Zielposition [außen] und zur Zielposition [innen].	Sternstelle »r« — Zielzuordnung, Zielzuordnung.	Sternstelle »r« — Zielzuordnung, Zielzuordnung.	0	NONE	NONE	NONE	Sternstelle »r« — Zielzuordnung, Zielzuordnung.	YES	NO	NO	DEFINITIVE_LOCAL_BUNDLE_WORKING_DEFAULT__THREE_ALTERNATIVES_RETAINED
G479-B054	G474-B054	G475-R054	f72r	CELESTIAL	f72r2.25	lokale Kennung für Tierkreis-Ringgruppe E	1	P1008-E0281	okam	OK+AM_ADDR	SETZEN · HIER	UNMARKED_NEW_LOCUS	1	1	INSTRUCTION	INSTRUCTION	INSTRUCTION	GDT474_UNIQUE_OR_VISIBLE_SELECTION	NOT_A_TIE	NO	1	0	2	Adressspur: Setzpunkt → hier.	Setze den Eintrag an der bezeichneten Stelle.	Eintrag »okam« — Setzvermerk, Hier-Vermerk.	Setze den Eintrag an der bezeichneten Stelle.	0	NONE	NONE	NONE	Setze den Eintrag an der bezeichneten Stelle.	YES	NO	NO	DEFINITIVE_LOCAL_BUNDLE_WORKING_DEFAULT__THREE_ALTERNATIVES_RETAINED
