page_host	selected_minimal_value_German	stem_class	exact_card_types	fixed_panel_events	confidence	selection_source	status
pched	GANZKARTENWERT: FÜLLE DANACH DAS GEFÄSS	MEMORIZED_LOCAL_CORE	1	1	.18	R1_COMPLETE_HOST_INVENTORY_RETAINED	MEMORIZED_OR_UNPOWERED_HOST_CORE
r	GANZKARTENWERT: UND LASSE ES ABKÜHLEN	MEMORIZED_LOCAL_CORE	1	1	.18	R1_COMPLETE_HOST_INVENTORY_RETAINED	MEMORIZED_OR_UNPOWERED_HOST_CORE
raly	GANZKARTENWERT: DIE ERSTE ÖFFNUNG	MEMORIZED_LOCAL_CORE	1	1	.18	R1_COMPLETE_HOST_INVENTORY_RETAINED	MEMORIZED_OR_UNPOWERED_HOST_CORE
rol	GANZKARTENWERT: BEVOR ES ABKÜHLT	MEMORIZED_LOCAL_CORE	1	1	.18	R1_COMPLETE_HOST_INVENTORY_RETAINED	MEMORIZED_OR_UNPOWERED_HOST_CORE
rshe	BEREITETES MEDIUM VERABREICHEN	APPLICATION_CORE	2	2	.35	R1_COMPLETE_HOST_INVENTORY_RETAINED	MEMORIZED_OR_UNPOWERED_HOST_CORE
s	GANZKARTENWERT: ZU GLEICHEN ANTEILEN	MEMORIZED_LOCAL_CORE	1	1	.18	R1_COMPLETE_HOST_INVENTORY_RETAINED	MEMORIZED_OR_UNPOWERED_HOST_CORE
she	GANZKARTENWERT: GIB SAUBERES WASSER HINZU UND BEENDE DEN SCHRITT	MEMORIZED_LOCAL_CORE	1	1	.18	R1_COMPLETE_HOST_INVENTORY_RETAINED	MEMORIZED_OR_UNPOWERED_HOST_CORE
sheol	GANZKARTENWERT: WENDE ES AN DER MARKIERTEN STELLE AN	MEMORIZED_LOCAL_CORE	1	1	.18	R1_COMPLETE_HOST_INVENTORY_RETAINED	MEMORIZED_OR_UNPOWERED_HOST_CORE
shey	GANZKARTENWERT: BEGINNE DIE SPÜLUNG	MEMORIZED_LOCAL_CORE	1	1	.18	R1_COMPLETE_HOST_INVENTORY_RETAINED	MEMORIZED_OR_UNPOWERED_HOST_CORE
shkch	GANZKARTENWERT: HALTE ES WARM UND BEENDE DEN SCHRITT	MEMORIZED_LOCAL_CORE	1	1	.18	R1_COMPLETE_HOST_INVENTORY_RETAINED	MEMORIZED_OR_UNPOWERED_HOST_CORE
shol	GANZKARTENWERT: SAMMLE DIE WURZEL IM FRÜHJAHR	MEMORIZED_LOCAL_CORE	1	1	.18	R1_COMPLETE_HOST_INVENTORY_RETAINED	MEMORIZED_OR_UNPOWERED_HOST_CORE
ty	GANZKARTENWERT: GLEICHMÄSSIG BEARBEITEN	MEMORIZED_LOCAL_CORE	1	2	.18	R1_COMPLETE_HOST_INVENTORY_RETAINED	MEMORIZED_OR_UNPOWERED_HOST_CORE
y	den gegenwärtigen Bild-, Stoff- oder Arbeitsträger wiederaufnehmen	AKTUELLER_TRAEGER	3	30	.58	R2_SHARED_STEM_SELECTED_AFTER_FOUR_ROLE_COMPARISON	CREATIVE_SHARED_STEM_HYPOTHESIS
ycheor	GANZKARTENWERT: SIE WÄCHST AUF FEUCHTEM WIESENGRUND	MEMORIZED_LOCAL_CORE	1	1	.18	R1_COMPLETE_HOST_INVENTORY_RETAINED	MEMORIZED_OR_UNPOWERED_HOST_CORE
yk	WEITERER ARZNEILICHER GEBRAUCH	USE_CORE	2	2	.39	R1_COMPLETE_HOST_INVENTORY_RETAINED	MEMORIZED_OR_UNPOWERED_HOST_CORE
ykan	GANZKARTENWERT: IN WEISSWEIN	MEMORIZED_LOCAL_CORE	1	1	.18	R1_COMPLETE_HOST_INVENTORY_RETAINED	MEMORIZED_OR_UNPOWERED_HOST_CORE
ytey	GANZKARTENWERT: FÜLLE DANACH DAS GEFÄSS	MEMORIZED_LOCAL_CORE	1	1	.18	R1_COMPLETE_HOST_INVENTORY_RETAINED	MEMORIZED_OR_UNPOWERED_HOST_CORE
