page_host	minimal_invariant_value	core_type	exact_card_types	fixed_panel_events	confidence	basis	apprentice_rule
ol	GANZKARTENWERT: EINE HANDVOLL	MEMORIZED_LOCAL_CORE	1	1	.18	SINGLE_CARD_NO_PRODUCTIVE_PARADIGM	DIESER MINIMALWERT BLEIBT FUER JEDE KARTE MIT DIESEM PAGE_HOST GLEICH
olche	GANZKARTENWERT: STELLE DIE MISCHUNG IM BEDECKTEN AUFFANGGEFÄSS BEISEITE UND BEENDE DEN SCHRITT	MEMORIZED_LOCAL_CORE	1	3	.18	SINGLE_CARD_NO_PRODUCTIVE_PARADIGM	DIESER MINIMALWERT BLEIBT FUER JEDE KARTE MIT DIESEM PAGE_HOST GLEICH
olchey	GANZKARTENWERT: FÜLLE DANACH DAS GEFÄSS	MEMORIZED_LOCAL_CORE	1	1	.18	SINGLE_CARD_NO_PRODUCTIVE_PARADIGM	DIESER MINIMALWERT BLEIBT FUER JEDE KARTE MIT DIESEM PAGE_HOST GLEICH
olk	TRANSFERPFAD ODER AUFFANGEMPFaeNGER	APPARATUS_CORE	2	3	.49	MANUAL_COMMON_INTERSECTION	DIESER MINIMALWERT BLEIBT FUER JEDE KARTE MIT DIESEM PAGE_HOST GLEICH
olkee	GANZKARTENWERT: LASSE DIE FLÜSSIGKEIT SICH SETZEN UND BEENDE DEN SCHRITT	MEMORIZED_LOCAL_CORE	1	3	.18	SINGLE_CARD_NO_PRODUCTIVE_PARADIGM	DIESER MINIMALWERT BLEIBT FUER JEDE KARTE MIT DIESEM PAGE_HOST GLEICH
olkeey	GANZKARTENWERT: SETZE DIE PERSON AN DAS BECKEN	MEMORIZED_LOCAL_CORE	1	1	.18	SINGLE_CARD_NO_PRODUCTIVE_PARADIGM	DIESER MINIMALWERT BLEIBT FUER JEDE KARTE MIT DIESEM PAGE_HOST GLEICH
olkey	GANZKARTENWERT: ÖFFNE DANACH DEN OBEREN LAUF	MEMORIZED_LOCAL_CORE	1	1	.18	SINGLE_CARD_NO_PRODUCTIVE_PARADIGM	DIESER MINIMALWERT BLEIBT FUER JEDE KARTE MIT DIESEM PAGE_HOST GLEICH
olky	GANZKARTENWERT: DIE BETROFFENE STELLE	MEMORIZED_LOCAL_CORE	1	1	.18	SINGLE_CARD_NO_PRODUCTIVE_PARADIGM	DIESER MINIMALWERT BLEIBT FUER JEDE KARTE MIT DIESEM PAGE_HOST GLEICH
olor	GANZKARTENWERT: AUS DEM VORIGEN ANSATZ ENTNEHMEN	MEMORIZED_LOCAL_CORE	1	2	.18	SINGLE_CARD_NO_PRODUCTIVE_PARADIGM	DIESER MINIMALWERT BLEIBT FUER JEDE KARTE MIT DIESEM PAGE_HOST GLEICH
olsaly	GANZKARTENWERT: DAS UNTERE BECKEN	MEMORIZED_LOCAL_CORE	1	1	.18	SINGLE_CARD_NO_PRODUCTIVE_PARADIGM	DIESER MINIMALWERT BLEIBT FUER JEDE KARTE MIT DIESEM PAGE_HOST GLEICH
olshe	GANZKARTENWERT: HALTE ES WARM UND BEENDE DEN SCHRITT	MEMORIZED_LOCAL_CORE	1	1	.18	SINGLE_CARD_NO_PRODUCTIVE_PARADIGM	DIESER MINIMALWERT BLEIBT FUER JEDE KARTE MIT DIESEM PAGE_HOST GLEICH
oltchy	GANZKARTENWERT: BEWAHRE ES IN EINEM BEDECKTEN GEFÄSS	MEMORIZED_LOCAL_CORE	1	1	.18	SINGLE_CARD_NO_PRODUCTIVE_PARADIGM	DIESER MINIMALWERT BLEIBT FUER JEDE KARTE MIT DIESEM PAGE_HOST GLEICH
or	BEREITETER VERFUEGBARER ARBEITSSTOFF	CONTENT_CORE	2	8	.71	MANUAL_COMMON_INTERSECTION	DIESER MINIMALWERT BLEIBT FUER JEDE KARTE MIT DIESEM PAGE_HOST GLEICH
os	GANZKARTENWERT: ZERSTOSSE SIE ZU GROBEM PULVER	MEMORIZED_LOCAL_CORE	1	1	.18	SINGLE_CARD_NO_PRODUCTIVE_PARADIGM	DIESER MINIMALWERT BLEIBT FUER JEDE KARTE MIT DIESEM PAGE_HOST GLEICH
ot	ENTSPRECHENDEN SEKUNDAEREN BEZUG WAEHLEN	RELATION_CORE	3	7	.58	MANUAL_COMMON_INTERSECTION	DIESER MINIMALWERT BLEIBT FUER JEDE KARTE MIT DIESEM PAGE_HOST GLEICH
otodan	GANZKARTENWERT: GEBRAUCHE ES FRISCH VERMISCHT	MEMORIZED_LOCAL_CORE	1	1	.18	SINGLE_CARD_NO_PRODUCTIVE_PARADIGM	DIESER MINIMALWERT BLEIBT FUER JEDE KARTE MIT DIESEM PAGE_HOST GLEICH
otytchol	GANZKARTENWERT: TRINKE ES BEI MAGENSCHMERZ	MEMORIZED_LOCAL_CORE	1	1	.18	SINGLE_CARD_NO_PRODUCTIVE_PARADIGM	DIESER MINIMALWERT BLEIBT FUER JEDE KARTE MIT DIESEM PAGE_HOST GLEICH
oykchor	GANZKARTENWERT: WENN SICH DIE BLÜTE GEÖFFNET HAT	MEMORIZED_LOCAL_CORE	1	1	.18	SINGLE_CARD_NO_PRODUCTIVE_PARADIGM	DIESER MINIMALWERT BLEIBT FUER JEDE KARTE MIT DIESEM PAGE_HOST GLEICH
oyty	GANZKARTENWERT: BEHALTE DIE BLÜTENKRONE ZURÜCK	MEMORIZED_LOCAL_CORE	1	1	.18	SINGLE_CARD_NO_PRODUCTIVE_PARADIGM	DIESER MINIMALWERT BLEIBT FUER JEDE KARTE MIT DIESEM PAGE_HOST GLEICH
pche	GANZKARTENWERT: ZIEHE ES AB UND BEENDE DEN SCHRITT	MEMORIZED_LOCAL_CORE	1	1	.18	SINGLE_CARD_NO_PRODUCTIVE_PARADIGM	DIESER MINIMALWERT BLEIBT FUER JEDE KARTE MIT DIESEM PAGE_HOST GLEICH
pched	GANZKARTENWERT: FÜLLE DANACH DAS GEFÄSS	MEMORIZED_LOCAL_CORE	1	1	.18	SINGLE_CARD_NO_PRODUCTIVE_PARADIGM	DIESER MINIMALWERT BLEIBT FUER JEDE KARTE MIT DIESEM PAGE_HOST GLEICH
r	GANZKARTENWERT: UND LASSE ES ABKÜHLEN	MEMORIZED_LOCAL_CORE	1	1	.18	SINGLE_CARD_NO_PRODUCTIVE_PARADIGM	DIESER MINIMALWERT BLEIBT FUER JEDE KARTE MIT DIESEM PAGE_HOST GLEICH
raly	GANZKARTENWERT: DIE ERSTE ÖFFNUNG	MEMORIZED_LOCAL_CORE	1	1	.18	SINGLE_CARD_NO_PRODUCTIVE_PARADIGM	DIESER MINIMALWERT BLEIBT FUER JEDE KARTE MIT DIESEM PAGE_HOST GLEICH
rol	GANZKARTENWERT: BEVOR ES ABKÜHLT	MEMORIZED_LOCAL_CORE	1	1	.18	SINGLE_CARD_NO_PRODUCTIVE_PARADIGM	DIESER MINIMALWERT BLEIBT FUER JEDE KARTE MIT DIESEM PAGE_HOST GLEICH
rshe	BEREITETES MEDIUM VERABREICHEN	APPLICATION_CORE	2	2	.35	MANUAL_COMMON_INTERSECTION	DIESER MINIMALWERT BLEIBT FUER JEDE KARTE MIT DIESEM PAGE_HOST GLEICH
s	GANZKARTENWERT: ZU GLEICHEN ANTEILEN	MEMORIZED_LOCAL_CORE	1	1	.18	SINGLE_CARD_NO_PRODUCTIVE_PARADIGM	DIESER MINIMALWERT BLEIBT FUER JEDE KARTE MIT DIESEM PAGE_HOST GLEICH
she	GANZKARTENWERT: GIB SAUBERES WASSER HINZU UND BEENDE DEN SCHRITT	MEMORIZED_LOCAL_CORE	1	1	.18	SINGLE_CARD_NO_PRODUCTIVE_PARADIGM	DIESER MINIMALWERT BLEIBT FUER JEDE KARTE MIT DIESEM PAGE_HOST GLEICH
sheol	GANZKARTENWERT: WENDE ES AN DER MARKIERTEN STELLE AN	MEMORIZED_LOCAL_CORE	1	1	.18	SINGLE_CARD_NO_PRODUCTIVE_PARADIGM	DIESER MINIMALWERT BLEIBT FUER JEDE KARTE MIT DIESEM PAGE_HOST GLEICH
shey	GANZKARTENWERT: BEGINNE DIE SPÜLUNG	MEMORIZED_LOCAL_CORE	1	1	.18	SINGLE_CARD_NO_PRODUCTIVE_PARADIGM	DIESER MINIMALWERT BLEIBT FUER JEDE KARTE MIT DIESEM PAGE_HOST GLEICH
shkch	GANZKARTENWERT: HALTE ES WARM UND BEENDE DEN SCHRITT	MEMORIZED_LOCAL_CORE	1	1	.18	SINGLE_CARD_NO_PRODUCTIVE_PARADIGM	DIESER MINIMALWERT BLEIBT FUER JEDE KARTE MIT DIESEM PAGE_HOST GLEICH
shol	GANZKARTENWERT: SAMMLE DIE WURZEL IM FRÜHJAHR	MEMORIZED_LOCAL_CORE	1	1	.18	SINGLE_CARD_NO_PRODUCTIVE_PARADIGM	DIESER MINIMALWERT BLEIBT FUER JEDE KARTE MIT DIESEM PAGE_HOST GLEICH
ty	GANZKARTENWERT: GLEICHMÄSSIG BEARBEITEN	MEMORIZED_LOCAL_CORE	1	2	.18	SINGLE_CARD_NO_PRODUCTIVE_PARADIGM	DIESER MINIMALWERT BLEIBT FUER JEDE KARTE MIT DIESEM PAGE_HOST GLEICH
y	AKTUELLER GEZEIGTER ODER VORHER EINGEFUEHRTER POSTEN	DEICTIC_CORE	3	30	.58	MANUAL_COMMON_INTERSECTION	DIESER MINIMALWERT BLEIBT FUER JEDE KARTE MIT DIESEM PAGE_HOST GLEICH
ycheor	GANZKARTENWERT: SIE WÄCHST AUF FEUCHTEM WIESENGRUND	MEMORIZED_LOCAL_CORE	1	1	.18	SINGLE_CARD_NO_PRODUCTIVE_PARADIGM	DIESER MINIMALWERT BLEIBT FUER JEDE KARTE MIT DIESEM PAGE_HOST GLEICH
yk	WEITERER ARZNEILICHER GEBRAUCH	USE_CORE	2	2	.39	MANUAL_COMMON_INTERSECTION	DIESER MINIMALWERT BLEIBT FUER JEDE KARTE MIT DIESEM PAGE_HOST GLEICH
ykan	GANZKARTENWERT: IN WEISSWEIN	MEMORIZED_LOCAL_CORE	1	1	.18	SINGLE_CARD_NO_PRODUCTIVE_PARADIGM	DIESER MINIMALWERT BLEIBT FUER JEDE KARTE MIT DIESEM PAGE_HOST GLEICH
ytey	GANZKARTENWERT: FÜLLE DANACH DAS GEFÄSS	MEMORIZED_LOCAL_CORE	1	1	.18	SINGLE_CARD_NO_PRODUCTIVE_PARADIGM	DIESER MINIMALWERT BLEIBT FUER JEDE KARTE MIT DIESEM PAGE_HOST GLEICH
