page	record	locus	field_ordinal	event_count	surface_sequence	executable_atomic_sequence	generic_argument_sequence_German	source_semantic_translation
f83r	1	f83r.8	2	4	shecthedchy qoky chedy chary	UNKNOWN_HOST[ECTHEDCHY] | UNKNOWN_HOST[OKY] | VARIANT_D(UNKNOWN_HOST[Y]) | UNKNOWN_HOST[ARY]	<unbekannter Kartenwert ECTHEDCHY>; <unbekannter Kartenwert OKY>; <unbekannter Kartenwert Y>; <unbekannter Kartenwert ARY>	UNASSIGNED
f83r	1	f83r.11	1	2	sor shedy	UNKNOWN_HOST[OR] | CLOSE(UNKNOWN_HOST[E])	<unbekannter Kartenwert OR>; <unbekannter Kartenwert E>; SCHLIESSE DIE FORMALE EINHEIT	UNASSIGNED
f83r	1	f83r.11	2	4	qokaiin chkain shcthey qokedy	SET(<ARG_AIIN>) | UNKNOWN_HOST[K] + <ARG_AIN> | UNKNOWN_HOST[CTHEY] | CLOSE(UNKNOWN_HOST[OKE])	SETZE <formal ausgewiesenes, inhaltlich unbekanntes Argument>; <unbekannter Kartenwert K>; <unbekannter Kartenwert CTHEY>; <unbekannter Kartenwert OKE>; SCHLIESSE DIE FORMALE EINHEIT	UNASSIGNED
f83r	1	f83r.11	3	2	okair sheedy	SET(<ARG_AIR>) | CLOSE(UNKNOWN_HOST[EE])	SETZE <formal ausgewiesenes, inhaltlich unbekanntes Argument>; <unbekannter Kartenwert EE>; SCHLIESSE DIE FORMALE EINHEIT	UNASSIGNED
f83r	1	f83r.11	4	1	lchedy	CLOSE(UNKNOWN_HOST[LCHE])	<unbekannter Kartenwert LCHE>; SCHLIESSE DIE FORMALE EINHEIT	UNASSIGNED
f83r	1	f83r.11	5	1	lo	UNKNOWN_HOST[LO]	<unbekannter Kartenwert LO>	UNASSIGNED
f83r	1	f83r.14	1	1	qokchedy	CLOSE(UNKNOWN_HOST[OKCHE])	<unbekannter Kartenwert OKCHE>; SCHLIESSE DIE FORMALE EINHEIT	UNASSIGNED
f83r	1	f83r.14	2	1	qokeedy	CLOSE(UNKNOWN_HOST[OKEE])	<unbekannter Kartenwert OKEE>; SCHLIESSE DIE FORMALE EINHEIT	UNASSIGNED
f83r	1	f83r.14	3	1	shedy	CLOSE(UNKNOWN_HOST[E])	<unbekannter Kartenwert E>; SCHLIESSE DIE FORMALE EINHEIT	UNASSIGNED
f83r	1	f83r.14	4	1	qokshedy	CLOSE(UNKNOWN_HOST[OKSHE])	<unbekannter Kartenwert OKSHE>; SCHLIESSE DIE FORMALE EINHEIT	UNASSIGNED
f83r	1	f83r.14	5	2	dal lchedy	UNKNOWN_HOST[AL] | CLOSE(UNKNOWN_HOST[LCHE])	<unbekannter Kartenwert AL>; <unbekannter Kartenwert LCHE>; SCHLIESSE DIE FORMALE EINHEIT	UNASSIGNED
f83r	1	f83r.14	6	4	qokaiin shcthy dal sy	SET(<ARG_AIIN>) | UNKNOWN_HOST[CTHY] | UNKNOWN_HOST[AL] | UNKNOWN_HOST[Y]	SETZE <formal ausgewiesenes, inhaltlich unbekanntes Argument>; <unbekannter Kartenwert CTHY>; <unbekannter Kartenwert AL>; <unbekannter Kartenwert Y>	UNASSIGNED
f83r	1	f83r.15	1	7	saiin shedal shecthy chey tal shcthy dalchdy	UNKNOWN_HOST[AIIN] | UNKNOWN_HOST[ED] + <ARG_AL> | UNKNOWN_HOST[ECTHY] | UNKNOWN_HOST[Y] | UNKNOWN_HOST[AL] | UNKNOWN_HOST[CTHY] | CLOSE(UNKNOWN_HOST[ALCH])	<unbekannter Kartenwert AIIN>; <unbekannter Kartenwert ED>; <unbekannter Kartenwert ECTHY>; <unbekannter Kartenwert Y>; <unbekannter Kartenwert AL>; <unbekannter Kartenwert CTHY>; <unbekannter Kartenwert ALCH>; SCHLIESSE DIE FORMALE EINHEIT	UNASSIGNED
f83r	1	f83r.15	2	1	qotchedy	CLOSE(FRAME_OT(UNKNOWN_HOST[CHE]))	<unbekannter Kartenwert CHE>; SCHLIESSE DIE FORMALE EINHEIT	UNASSIGNED
f83r	1	f83r.15	3	1	lchedy	CLOSE(UNKNOWN_HOST[LCHE])	<unbekannter Kartenwert LCHE>; SCHLIESSE DIE FORMALE EINHEIT	UNASSIGNED
f83r	1	f83r.16	1	1	tchedy	CLOSE(UNKNOWN_HOST[CHE])	<unbekannter Kartenwert CHE>; SCHLIESSE DIE FORMALE EINHEIT	UNASSIGNED
f83r	1	f83r.16	2	1	qokchdy	CLOSE(UNKNOWN_HOST[OKCH])	<unbekannter Kartenwert OKCH>; SCHLIESSE DIE FORMALE EINHEIT	UNASSIGNED
f83r	1	f83r.16	3	6	cheedar chldaiin chedy qokain checthy chealror	UNKNOWN_HOST[ED] + <ARG_AR> | UNKNOWN_HOST[LD] + <ARG_AIIN> | VARIANT_D(UNKNOWN_HOST[Y]) | SET(<ARG_AIN>) | UNKNOWN_HOST[CTHY] | UNKNOWN_HOST[ALROR]	<unbekannter Kartenwert ED>; <unbekannter Kartenwert LD>; <unbekannter Kartenwert Y>; SETZE <formal ausgewiesenes, inhaltlich unbekanntes Argument>; <unbekannter Kartenwert CTHY>; <unbekannter Kartenwert ALROR>	UNASSIGNED
f83r	1	f83r.20	1	1	solkeedy	CLOSE(UNKNOWN_HOST[OLKEE])	<unbekannter Kartenwert OLKEE>; SCHLIESSE DIE FORMALE EINHEIT	UNASSIGNED
f83r	1	f83r.20	2	1	qoteedy	CLOSE(FRAME_OT(UNKNOWN_HOST[EE]))	<unbekannter Kartenwert EE>; SCHLIESSE DIE FORMALE EINHEIT	UNASSIGNED
f83r	1	f83r.20	3	2	qokeey qokedy	UNKNOWN_HOST[OKEEY] | CLOSE(UNKNOWN_HOST[OKE])	<unbekannter Kartenwert OKEEY>; <unbekannter Kartenwert OKE>; SCHLIESSE DIE FORMALE EINHEIT	UNASSIGNED
f83r	1	f83r.20	4	3	sol cheeety qokedy	FRAME_O(LINK) | UNKNOWN_HOST[EETY] | CLOSE(UNKNOWN_HOST[OKE])	VERKNUEPFE <lokal gegebenen, inhaltlich unbekannten Anschluss>; <unbekannter Kartenwert EETY>; <unbekannter Kartenwert OKE>; SCHLIESSE DIE FORMALE EINHEIT	UNASSIGNED
f83r	1	f83r.20	5	2	qoky saiin	UNKNOWN_HOST[OKY] | UNKNOWN_HOST[AIIN]	<unbekannter Kartenwert OKY>; <unbekannter Kartenwert AIIN>	UNASSIGNED
f83r	1	f83r.22	1	2	schedair otchedy	UNKNOWN_HOST[CHED] + <ARG_AIR> | CLOSE(FRAME_OT(UNKNOWN_HOST[CHE]))	<unbekannter Kartenwert CHED>; <unbekannter Kartenwert CHE>; SCHLIESSE DIE FORMALE EINHEIT	UNASSIGNED
f83r	1	f83r.22	2	1	qokeedy	CLOSE(UNKNOWN_HOST[OKEE])	<unbekannter Kartenwert OKEE>; SCHLIESSE DIE FORMALE EINHEIT	UNASSIGNED
f83r	1	f83r.22	3	5	chedain chedy qotedaiin otaiin otedy	UNKNOWN_HOST[D] + <ARG_AIN> | VARIANT_D(UNKNOWN_HOST[Y]) | FRAME_OT(UNKNOWN_HOST[ED] + <ARG_AIIN>) | MARK(<ARG_AIIN>) | CLOSE(FRAME_OT(UNKNOWN_HOST[E]))	<unbekannter Kartenwert D>; <unbekannter Kartenwert Y>; <unbekannter Kartenwert ED>; MARKIERE <formal ausgewiesenen, inhaltlich unbekannten Bezug>; <unbekannter Kartenwert E>; SCHLIESSE DIE FORMALE EINHEIT	UNASSIGNED
f83r	1	f83r.22	4	1	ldy	CLOSE(LINK)	VERKNUEPFE <lokal gegebenen, inhaltlich unbekannten Anschluss>; SCHLIESSE DIE FORMALE EINHEIT	UNASSIGNED
f83r	1	f83r.24	1	6	soiiin checthy chety otaiin olsaly shedy	UNKNOWN_HOST[OIIIN] | UNKNOWN_HOST[CTHY] | UNKNOWN_HOST[TY] | MARK(<ARG_AIIN>) | UNKNOWN_HOST[OLSALY] | CLOSE(UNKNOWN_HOST[E])	<unbekannter Kartenwert OIIIN>; <unbekannter Kartenwert CTHY>; <unbekannter Kartenwert TY>; MARKIERE <formal ausgewiesenen, inhaltlich unbekannten Bezug>; <unbekannter Kartenwert OLSALY>; <unbekannter Kartenwert E>; SCHLIESSE DIE FORMALE EINHEIT	UNASSIGNED
f83r	2	f83r.25	1	1	qokeedy	CLOSE(UNKNOWN_HOST[OKEE])	<unbekannter Kartenwert OKEE>; SCHLIESSE DIE FORMALE EINHEIT	UNASSIGNED
f83r	2	f83r.25	2	3	qolchey qokeey qokedy	UNKNOWN_HOST[OLCHEY] | UNKNOWN_HOST[OKEEY] | CLOSE(UNKNOWN_HOST[OKE])	<unbekannter Kartenwert OLCHEY>; <unbekannter Kartenwert OKEEY>; <unbekannter Kartenwert OKE>; SCHLIESSE DIE FORMALE EINHEIT	UNASSIGNED
f83r	2	f83r.25	3	2	chedy otal	VARIANT_D(UNKNOWN_HOST[Y]) | MARK(<ARG_AL>)	<unbekannter Kartenwert Y>; MARKIERE <formal ausgewiesenen, inhaltlich unbekannten Bezug>	UNASSIGNED
f83r	2	f83r.26	1	5	otchey qokeey qoky tol shedy	FRAME_OT(UNKNOWN_HOST[CHEY]) | UNKNOWN_HOST[OKEEY] | UNKNOWN_HOST[OKY] | FRAME_O(LINK) | CLOSE(UNKNOWN_HOST[E])	<unbekannter Kartenwert CHEY>; <unbekannter Kartenwert OKEEY>; <unbekannter Kartenwert OKY>; VERKNUEPFE <lokal gegebenen, inhaltlich unbekannten Anschluss>; <unbekannter Kartenwert E>; SCHLIESSE DIE FORMALE EINHEIT	UNASSIGNED
f83r	2	f83r.26	2	1	qokylddy	CLOSE(UNKNOWN_HOST[OKYLD])	<unbekannter Kartenwert OKYLD>; SCHLIESSE DIE FORMALE EINHEIT	UNASSIGNED
f83r	2	f83r.27	1	3	dain chedy qokeedy	UNKNOWN_HOST[AIN] | VARIANT_D(UNKNOWN_HOST[Y]) | CLOSE(UNKNOWN_HOST[OKEE])	<unbekannter Kartenwert AIN>; <unbekannter Kartenwert Y>; <unbekannter Kartenwert OKEE>; SCHLIESSE DIE FORMALE EINHEIT	UNASSIGNED
f83r	2	f83r.27	2	1	shckhedy	CLOSE(UNKNOWN_HOST[CKHE])	<unbekannter Kartenwert CKHE>; SCHLIESSE DIE FORMALE EINHEIT	UNASSIGNED
f83r	2	f83r.27	3	1	shckhedy	CLOSE(UNKNOWN_HOST[CKHE])	<unbekannter Kartenwert CKHE>; SCHLIESSE DIE FORMALE EINHEIT	UNASSIGNED
f83r	2	f83r.28	1	4	saiin cheeky sheey qokedy	UNKNOWN_HOST[AIIN] | UNKNOWN_HOST[EKY] | UNKNOWN_HOST[EEY] | CLOSE(UNKNOWN_HOST[OKE])	<unbekannter Kartenwert AIIN>; <unbekannter Kartenwert EKY>; <unbekannter Kartenwert EEY>; <unbekannter Kartenwert OKE>; SCHLIESSE DIE FORMALE EINHEIT	UNASSIGNED
f83r	2	f83r.28	2	1	shedy	CLOSE(UNKNOWN_HOST[E])	<unbekannter Kartenwert E>; SCHLIESSE DIE FORMALE EINHEIT	UNASSIGNED
f83r	2	f83r.28	3	1	oldy	CLOSE(FRAME_O(LINK))	VERKNUEPFE <lokal gegebenen, inhaltlich unbekannten Anschluss>; SCHLIESSE DIE FORMALE EINHEIT	UNASSIGNED
f83r	2	f83r.35	1	5	saiin cheky okeeol okain chdy	UNKNOWN_HOST[AIIN] | UNKNOWN_HOST[KY] | UNKNOWN_HOST[OKEEOL] | SET(<ARG_AIN>) | VARIANT_D(UNKNOWN_HOST[Y])	<unbekannter Kartenwert AIIN>; <unbekannter Kartenwert KY>; <unbekannter Kartenwert OKEEOL>; SETZE <formal ausgewiesenes, inhaltlich unbekanntes Argument>; <unbekannter Kartenwert Y>	UNASSIGNED
f83r	2	f83r.37	1	2	sol lkedy	FRAME_O(LINK) | CLOSE(UNKNOWN_HOST[LKE])	VERKNUEPFE <lokal gegebenen, inhaltlich unbekannten Anschluss>; <unbekannter Kartenwert LKE>; SCHLIESSE DIE FORMALE EINHEIT	UNASSIGNED
f83r	2	f83r.37	2	1	lchedy	CLOSE(UNKNOWN_HOST[LCHE])	<unbekannter Kartenwert LCHE>; SCHLIESSE DIE FORMALE EINHEIT	UNASSIGNED
f83r	2	f83r.37	3	2	qokol shedy	UNKNOWN_HOST[OKOL] | CLOSE(UNKNOWN_HOST[E])	<unbekannter Kartenwert OKOL>; <unbekannter Kartenwert E>; SCHLIESSE DIE FORMALE EINHEIT	UNASSIGNED
f83r	2	f83r.38	1	4	or chey qockhey dairydy	UNKNOWN_HOST[OR] | UNKNOWN_HOST[Y] | UNKNOWN_HOST[OCKHEY] | CLOSE(UNKNOWN_HOST[AIRY])	<unbekannter Kartenwert OR>; <unbekannter Kartenwert Y>; <unbekannter Kartenwert OCKHEY>; <unbekannter Kartenwert AIRY>; SCHLIESSE DIE FORMALE EINHEIT	UNASSIGNED
f83r	2	f83r.39	1	4	qokain shey kain chckhal	SET(<ARG_AIN>) | UNKNOWN_HOST[EY] | UNKNOWN_HOST[K] + <ARG_AIN> | UNKNOWN_HOST[CKH] + <ARG_AL>	SETZE <formal ausgewiesenes, inhaltlich unbekanntes Argument>; <unbekannter Kartenwert EY>; <unbekannter Kartenwert K>; <unbekannter Kartenwert CKH>	UNASSIGNED
f83r	2	f83r.41	1	2	solkey lchedy	UNKNOWN_HOST[OLKEY] | CLOSE(UNKNOWN_HOST[LCHE])	<unbekannter Kartenwert OLKEY>; <unbekannter Kartenwert LCHE>; SCHLIESSE DIE FORMALE EINHEIT	UNASSIGNED
f83r	2	f83r.41	2	2	qolkain dal	UNKNOWN_HOST[OLK] + <ARG_AIN> | UNKNOWN_HOST[AL]	<unbekannter Kartenwert OLK>; <unbekannter Kartenwert AL>	UNASSIGNED
f83r	2	f83r.44	1	2	skar shedy	UNKNOWN_HOST[K] + <ARG_AR> | CLOSE(UNKNOWN_HOST[E])	<unbekannter Kartenwert K>; <unbekannter Kartenwert E>; SCHLIESSE DIE FORMALE EINHEIT	UNASSIGNED
f83r	3	f83r.47	1	1	otchdy	CLOSE(FRAME_OT(UNKNOWN_HOST[CH]))	<unbekannter Kartenwert CH>; SCHLIESSE DIE FORMALE EINHEIT	UNASSIGNED
f83r	3	f83r.47	2	1	qokchdy	CLOSE(UNKNOWN_HOST[OKCH])	<unbekannter Kartenwert OKCH>; SCHLIESSE DIE FORMALE EINHEIT	UNASSIGNED
f83r	3	f83r.47	3	1	shedal	UNKNOWN_HOST[ED] + <ARG_AL>	<unbekannter Kartenwert ED>	UNASSIGNED
f83r	3	f83r.48	1	5	dal cheol lol chdal aiin	UNKNOWN_HOST[AL] | FRAME_O(LINK) | UNKNOWN_HOST[LOL] | UNKNOWN_HOST[D] + <ARG_AL> | UNKNOWN_HOST[AIIN]	<unbekannter Kartenwert AL>; VERKNUEPFE <lokal gegebenen, inhaltlich unbekannten Anschluss>; <unbekannter Kartenwert LOL>; <unbekannter Kartenwert D>; <unbekannter Kartenwert AIIN>	UNASSIGNED
f83r	3	f83r.49	1	3	sol daiiin chedy	FRAME_O(LINK) | UNKNOWN_HOST[AIIIN] | VARIANT_D(UNKNOWN_HOST[Y])	VERKNUEPFE <lokal gegebenen, inhaltlich unbekannten Anschluss>; <unbekannter Kartenwert AIIIN>; <unbekannter Kartenwert Y>	UNASSIGNED
f83r	4	f83r.52	1	4	solkeey qekey raly ol	UNKNOWN_HOST[OLKEEY] | UNKNOWN_HOST[EKEY] | UNKNOWN_HOST[RALY] | FRAME_O(LINK)	<unbekannter Kartenwert OLKEEY>; <unbekannter Kartenwert EKEY>; <unbekannter Kartenwert RALY>; VERKNUEPFE <lokal gegebenen, inhaltlich unbekannten Anschluss>	UNASSIGNED
f83r	4	f83r.54	1	5	daiin ol dain chey ldalor	UNKNOWN_HOST[AIIN] | FRAME_O(LINK) | UNKNOWN_HOST[AIN] | UNKNOWN_HOST[Y] | UNKNOWN_HOST[LDALOR]	<unbekannter Kartenwert AIIN>; VERKNUEPFE <lokal gegebenen, inhaltlich unbekannten Anschluss>; <unbekannter Kartenwert AIN>; <unbekannter Kartenwert Y>; <unbekannter Kartenwert LDALOR>	UNASSIGNED
