page	record	locus	field_ordinal	event_count	surface_sequence	formal_sequence	atomic_working_sequence_German	complete_creative_translation_German
f83r	1	f83r.11	2	4	qokaiin chkain shcthey qokedy	SET(<ARG_AIIN>) | UNKNOWN_HOST[K] + <ARG_AIN> | UNKNOWN_HOST[CTHEY] | CLOSE(UNKNOWN_HOST[OKE])	SETZEN | UNBEKANNT | UNBEKANNT | SPÜLEN	beginne den nächsten abgemessenen Posten ; ein abgemessener Anteil ; unter derselben Einstellung ; spüle die bezeichnete Stelle einmal und beende den Schritt
f83r	1	f83r.11	3	2	okair sheedy	SET(<ARG_AIR>) | CLOSE(UNKNOWN_HOST[EE])	SETZEN | UNBEKANNT	öffne danach den oberen Lauf ; wasche einmal und beende den Schritt
f83r	1	f83r.11	4	1	lchedy	CLOSE(UNKNOWN_HOST[LCHE])	ABLASS	lasse die verbrauchte Flüssigkeit in das untere Auffanggefäß ablaufen und beende den Schritt
f83r	1	f83r.11	5	1	lo	UNKNOWN_HOST[LO]	UNBEKANNT	schließe den unteren Ablauf
f83r	1	f83r.14	1	1	qokchedy	CLOSE(UNKNOWN_HOST[OKCHE])	UNBEKANNT	lasse es abkühlen und beende den Schritt
f83r	1	f83r.14	2	1	qokeedy	CLOSE(UNKNOWN_HOST[OKEE])	UNBEKANNT	bade oder tauche in der temperierten warmen Flüssigkeit und beende den Schritt
f83r	1	f83r.14	3	1	shedy	CLOSE(UNKNOWN_HOST[E])	BIS	lasse es bis zur Bereitschaft stehen und beende den Schritt
f83r	1	f83r.14	4	1	qokshedy	CLOSE(UNKNOWN_HOST[OKSHE])	UNBEKANNT	koche sanft und beende diesen Arbeitsschritt
f83r	1	f83r.14	5	2	dal lchedy	UNKNOWN_HOST[AL] | CLOSE(UNKNOWN_HOST[LCHE])	ZU | ABLASS	An die bezeichnete Zielstelle führen ; lasse die verbrauchte Flüssigkeit in das untere Auffanggefäß ablaufen und beende den Schritt
f83r	1	f83r.14	6	4	qokaiin shcthy dal sy	SET(<ARG_AIIN>) | UNKNOWN_HOST[CTHY] | UNKNOWN_HOST[AL] | UNKNOWN_HOST[Y]	SETZEN | BEREIT | ZU | UNBEKANNT	beginne den nächsten abgemessenen Posten ; Sobald die Zubereitung gebrauchsfertig ist ; An die bezeichnete Zielstelle führen ; Diese aktive Portion
f83r	1	f83r.15	1	7	saiin shedal shecthy chey tal shcthy dalchdy	UNKNOWN_HOST[AIIN] | UNKNOWN_HOST[ED] + <ARG_AL> | UNKNOWN_HOST[ECTHY] | UNKNOWN_HOST[Y] | UNKNOWN_HOST[AL] | UNKNOWN_HOST[CTHY] | CLOSE(UNKNOWN_HOST[ALCH])	MASS | UNBEKANNT | UNBEKANNT | UNBEKANNT | ZU | BEREIT | UNBEKANNT	Ein vorgeschriebenes Maß ; für einen Zeitabschnitt ; warmes Wasser ; Diese aktive Portion ; An die bezeichnete Zielstelle führen ; Sobald die Zubereitung gebrauchsfertig ist ; behalte den Rückstand und beende den Schritt
f83r	1	f83r.15	2	1	qotchedy	CLOSE(FRAME_OT(UNKNOWN_HOST[CHE]))	UNBEKANNT	mische zu gleichen Teilen und beende den Schritt
f83r	1	f83r.15	3	1	lchedy	CLOSE(UNKNOWN_HOST[LCHE])	ABLASS	lasse die verbrauchte Flüssigkeit in das untere Auffanggefäß ablaufen und beende den Schritt
f83r	1	f83r.16	1	1	tchedy	CLOSE(UNKNOWN_HOST[CHE])	UNBEKANNT	spüle das benutzte Gefäß oder den Lauf einmal aus und beende den Schritt
f83r	1	f83r.16	2	1	qokchdy	CLOSE(UNKNOWN_HOST[OKCH])	UNBEKANNT	erwärme es einmal und beende den Schritt
f83r	1	f83r.16	3	6	cheedar chldaiin chedy qokain checthy chealror	UNKNOWN_HOST[ED] + <ARG_AR> | UNKNOWN_HOST[LD] + <ARG_AIIN> | VARIANT_D(UNKNOWN_HOST[Y]) | SET(<ARG_AIN>) | UNKNOWN_HOST[CTHY] | UNKNOWN_HOST[ALROR]	UNBEKANNT | UNBEKANNT | UNBEKANNT | SETZEN | BEREIT | UNBEKANNT	setze die Person an das Becken ; nach dem Absetzen ; rühre, bis alles gleichmäßig vermischt ist ; gib einen abgemessenen Anteil in das Gefäß ; Sobald die Zubereitung gebrauchsfertig ist ; bis der Strom klar wird
f83r	1	f83r.20	1	1	solkeedy	CLOSE(UNKNOWN_HOST[OLKEE])	UNBEKANNT	lasse die Flüssigkeit sich setzen und beende den Schritt
f83r	1	f83r.20	2	1	qoteedy	CLOSE(FRAME_OT(UNKNOWN_HOST[EE]))	UNBEKANNT	binde es auf die Stelle und beende den Schritt
f83r	1	f83r.20	3	2	qokeey qokedy	UNKNOWN_HOST[OKEEY] | CLOSE(UNKNOWN_HOST[OKE])	LAUWARM | SPÜLEN	temperiere die Arbeitsflüssigkeit und halte sie lauwarm ; spüle die bezeichnete Stelle einmal und beende den Schritt
f83r	1	f83r.20	4	3	sol cheeety qokedy	FRAME_O(LINK) | UNKNOWN_HOST[EETY] | CLOSE(UNKNOWN_HOST[OKE])	VERKNÜPFEN | UNBEKANNT | SPÜLEN	Mit der vorigen Zubereitung weiter ; nach der ersten Spülung ; spüle die bezeichnete Stelle einmal und beende den Schritt
f83r	1	f83r.20	5	2	qoky saiin	UNKNOWN_HOST[OKY] | UNKNOWN_HOST[AIIN]	NUTZEN | MASS	Die aktive Portion verwenden ; Ein vorgeschriebenes Maß
f83r	1	f83r.22	1	2	schedair otchedy	UNKNOWN_HOST[CHED] + <ARG_AIR> | CLOSE(FRAME_OT(UNKNOWN_HOST[CHE]))	UNBEKANNT | UNBEKANNT	ziehe die klare Flüssigkeit ab ; mische zu gleichen Teilen und beende den Schritt
f83r	1	f83r.22	2	1	qokeedy	CLOSE(UNKNOWN_HOST[OKEE])	UNBEKANNT	bade oder tauche in der temperierten warmen Flüssigkeit und beende den Schritt
f83r	1	f83r.22	3	5	chedain chedy qotedaiin otaiin otedy	UNKNOWN_HOST[D] + <ARG_AIN> | VARIANT_D(UNKNOWN_HOST[Y]) | FRAME_OT(UNKNOWN_HOST[ED] + <ARG_AIIN>) | MARK(<ARG_AIIN>) | CLOSE(FRAME_OT(UNKNOWN_HOST[E]))	UNBEKANNT | UNBEKANNT | UNBEKANNT | MARKIEREN | BIS	beginne die Spülung ; rühre, bis alles gleichmäßig vermischt ist ; das breite Gefäß ; für dieselbe Dauer wie zuvor ; lasse es bis zur Klarheit ziehen und beende den Schritt
f83r	1	f83r.22	4	1	ldy	CLOSE(LINK)	VERKNÜPFEN	ziehe es ab und beende den Schritt
f83r	1	f83r.24	1	6	soiiin checthy chety otaiin olsaly shedy	UNKNOWN_HOST[OIIIN] | UNKNOWN_HOST[CTHY] | UNKNOWN_HOST[TY] | MARK(<ARG_AIIN>) | UNKNOWN_HOST[OLSALY] | CLOSE(UNKNOWN_HOST[E])	UNBEKANNT | BEREIT | UNBEKANNT | MARKIEREN | UNBEKANNT | BIS	bis es klar ist ; Sobald die Zubereitung gebrauchsfertig ist ; Gleichmäßig bearbeiten ; für dieselbe Dauer wie zuvor ; das untere Becken ; lasse es bis zur Bereitschaft stehen und beende den Schritt
f83r	2	f83r.25	1	1	qokeedy	CLOSE(UNKNOWN_HOST[OKEE])	UNBEKANNT	bade oder tauche in der temperierten warmen Flüssigkeit und beende den Schritt
f83r	2	f83r.25	2	3	qolchey qokeey qokedy	UNKNOWN_HOST[OLCHEY] | UNKNOWN_HOST[OKEEY] | CLOSE(UNKNOWN_HOST[OKE])	UNBEKANNT | LAUWARM | SPÜLEN	fülle danach das Gefäß ; temperiere die Arbeitsflüssigkeit und halte sie lauwarm ; spüle die bezeichnete Stelle einmal und beende den Schritt
f83r	2	f83r.25	3	2	chedy otal	VARIANT_D(UNKNOWN_HOST[Y]) | MARK(<ARG_AL>)	UNBEKANNT | MARKIEREN	rühre, bis alles gleichmäßig vermischt ist ; zum unteren Ablauf hin
f83r	2	f83r.26	1	5	otchey qokeey qoky tol shedy	FRAME_OT(UNKNOWN_HOST[CHEY]) | UNKNOWN_HOST[OKEEY] | UNKNOWN_HOST[OKY] | FRAME_O(LINK) | CLOSE(UNKNOWN_HOST[E])	ANTEIL | LAUWARM | NUTZEN | VERKNÜPFEN | BIS	Nimm den bezeichneten Anteil ; temperiere die Arbeitsflüssigkeit und halte sie lauwarm ; Die aktive Portion verwenden ; Mit der vorigen Zubereitung weiter ; lasse es bis zur Bereitschaft stehen und beende den Schritt
f83r	2	f83r.26	2	1	qokylddy	CLOSE(UNKNOWN_HOST[OKYLD])	UNBEKANNT	binde es auf die Stelle und beende den Schritt
f83r	2	f83r.27	1	3	dain chedy qokeedy	UNKNOWN_HOST[AIN] | VARIANT_D(UNKNOWN_HOST[Y]) | CLOSE(UNKNOWN_HOST[OKEE])	UNBEKANNT | UNBEKANNT | UNBEKANNT	durch ein Tuch ; rühre, bis alles gleichmäßig vermischt ist ; bade oder tauche in der temperierten warmen Flüssigkeit und beende den Schritt
f83r	2	f83r.27	2	1	shckhedy	CLOSE(UNKNOWN_HOST[CKHE])	UNBEKANNT	seihe es einmal durch ein Tuch und beende den Schritt
f83r	2	f83r.27	3	1	shckhedy	CLOSE(UNKNOWN_HOST[CKHE])	UNBEKANNT	seihe es einmal durch ein Tuch und beende den Schritt
f83r	2	f83r.28	1	4	saiin cheeky sheey qokedy	UNKNOWN_HOST[AIIN] | UNKNOWN_HOST[EKY] | UNKNOWN_HOST[EEY] | CLOSE(UNKNOWN_HOST[OKE])	MASS | UNBEKANNT | UNBEKANNT | SPÜLEN	Ein vorgeschriebenes Maß ; solange es noch warm ist ; die erste Öffnung ; spüle die bezeichnete Stelle einmal und beende den Schritt
f83r	2	f83r.28	2	1	shedy	CLOSE(UNKNOWN_HOST[E])	BIS	lasse es bis zur Bereitschaft stehen und beende den Schritt
f83r	2	f83r.28	3	1	oldy	CLOSE(FRAME_O(LINK))	VERKNÜPFEN	koche sanft und beende diesen Arbeitsschritt
f83r	2	f83r.35	1	5	saiin cheky okeeol okain chdy	UNKNOWN_HOST[AIIN] | UNKNOWN_HOST[KY] | UNKNOWN_HOST[OKEEOL] | SET(<ARG_AIN>) | VARIANT_D(UNKNOWN_HOST[Y])	MASS | UNBEKANNT | UNBEKANNT | SETZEN | UNBEKANNT	Ein vorgeschriebenes Maß ; bei sanfter Wärme ; das breite Gefäß ; gib einen abgemessenen Anteil in das Gefäß ; rühre, bis alles gleichmäßig vermischt ist
f83r	2	f83r.37	1	2	sol lkedy	FRAME_O(LINK) | CLOSE(UNKNOWN_HOST[LKE])	VERKNÜPFEN | UNBEKANNT	Mit der vorigen Zubereitung weiter ; wasche zweimal und beende den Schritt
f83r	2	f83r.37	2	1	lchedy	CLOSE(UNKNOWN_HOST[LCHE])	ABLASS	lasse die verbrauchte Flüssigkeit in das untere Auffanggefäß ablaufen und beende den Schritt
f83r	2	f83r.37	3	2	qokol shedy	UNKNOWN_HOST[OKOL] | CLOSE(UNKNOWN_HOST[E])	UNBEKANNT | BIS	lasse die Mischung einlaufen ; lasse es bis zur Bereitschaft stehen und beende den Schritt
f83r	2	f83r.38	1	4	or chey qockhey dairydy	UNKNOWN_HOST[OR] | UNKNOWN_HOST[Y] | UNKNOWN_HOST[OCKHEY] | CLOSE(UNKNOWN_HOST[AIRY])	ANSATZ | UNBEKANNT | UNBEKANNT | UNBEKANNT	Die bereitete Arbeitsflüssigkeit ; Diese aktive Portion ; über der örtlich bezeichneten Stelle ; gebrauche sie sofort und beende den Schritt
f83r	2	f83r.39	1	4	qokain shey kain chckhal	SET(<ARG_AIN>) | UNKNOWN_HOST[EY] | UNKNOWN_HOST[K] + <ARG_AIN> | UNKNOWN_HOST[CKH] + <ARG_AL>	SETZEN | FERTIG | UNBEKANNT | UNBEKANNT	gib einen abgemessenen Anteil in das Gefäß ; Bis die Flüssigkeit klar abläuft ; ein abgemessener Anteil ; für die angegebene Dauer
f83r	2	f83r.41	1	2	solkey lchedy	UNKNOWN_HOST[OLKEY] | CLOSE(UNKNOWN_HOST[LCHE])	UNBEKANNT | ABLASS	öffne danach den oberen Lauf ; lasse die verbrauchte Flüssigkeit in das untere Auffanggefäß ablaufen und beende den Schritt
f83r	2	f83r.41	2	2	qolkain dal	UNKNOWN_HOST[OLK] + <ARG_AIN> | UNKNOWN_HOST[AL]	UNBEKANNT | ZU	das untere Becken ; An die bezeichnete Zielstelle führen
f83r	2	f83r.44	1	2	skar shedy	UNKNOWN_HOST[K] + <ARG_AR> | CLOSE(UNKNOWN_HOST[E])	UNBEKANNT | BIS	gieße das erwärmte Wasser ein ; lasse es bis zur Bereitschaft stehen und beende den Schritt
f83r	3	f83r.47	1	1	otchdy	CLOSE(FRAME_OT(UNKNOWN_HOST[CH]))	UNBEKANNT	ziehe es ab und beende den Schritt
f83r	3	f83r.47	2	1	qokchdy	CLOSE(UNKNOWN_HOST[OKCH])	UNBEKANNT	erwärme es einmal und beende den Schritt
f83r	3	f83r.47	3	1	shedal	UNKNOWN_HOST[ED] + <ARG_AL>	UNBEKANNT	für einen Zeitabschnitt
f83r	3	f83r.48	1	5	dal cheol lol chdal aiin	UNKNOWN_HOST[AL] | FRAME_O(LINK) | UNKNOWN_HOST[LOL] | UNKNOWN_HOST[D] + <ARG_AL> | UNKNOWN_HOST[AIIN]	ZU | VERKNÜPFEN | UNBEKANNT | UNBEKANNT | MASS	An die bezeichnete Zielstelle führen ; Mit der vorigen Zubereitung weiter ; bis es warm ist ; mit der vorigen Mischung ; Ein vorgeschriebenes Maß
f83r	3	f83r.49	1	3	sol daiiin chedy	FRAME_O(LINK) | UNKNOWN_HOST[AIIIN] | VARIANT_D(UNKNOWN_HOST[Y])	VERKNÜPFEN | UNBEKANNT | UNBEKANNT	Mit der vorigen Zubereitung weiter ; die zweite Öffnung ; rühre, bis alles gleichmäßig vermischt ist
f83r	4	f83r.52	1	4	solkeey qekey raly ol	UNKNOWN_HOST[OLKEEY] | UNKNOWN_HOST[EKEY] | UNKNOWN_HOST[RALY] | FRAME_O(LINK)	UNBEKANNT | UNBEKANNT | UNBEKANNT | VERKNÜPFEN	setze die Person an das Becken ; ohne Kochen ; die erste Öffnung ; Mit der vorigen Zubereitung weiter
f83r	4	f83r.54	1	5	daiin ol dain chey ldalor	UNKNOWN_HOST[AIIN] | FRAME_O(LINK) | UNKNOWN_HOST[AIN] | UNKNOWN_HOST[Y] | UNKNOWN_HOST[LDALOR]	MASS | VERKNÜPFEN | UNBEKANNT | UNBEKANNT | UNBEKANNT	Ein vorgeschriebenes Maß ; Mit der vorigen Zubereitung weiter ; durch ein Tuch ; Diese aktive Portion ; an der bezeichneten Stelle
