page	record	locus	field_ordinal	event_count	surface_sequence	atomic_literal_sequence_German	separate_fluent_creative_translation_German
f83r	1	f83r.15	1	7	saiin shedal shecthy chey tal shcthy dalchdy	GANZKARTE-AIIN=MASS | HOST-ED=UNBEKANNT + RIGHT-AL=ZIEL | HOST-ECTHY=UNBEKANNT | HOST-Y=UNBEKANNT | HOST-AL=ZIEL | GANZKARTE-CTHY=BEREIT | HOST-ALCH=UNBEKANNT + DY=SCHLUSS	Ein vorgeschriebenes Maß; für einen Zeitabschnitt; warmes Wasser; Diese aktive Portion; An die bezeichnete Zielstelle führen; Sobald die Zubereitung gebrauchsfertig ist; behalte den Rückstand und beende den Schritt
f83r	1	f83r.15	2	1	qotchedy	HOST-CHE=UNBEKANNT + FRAME-OT=GEGENBEZUG + DY=SCHLUSS	mische zu gleichen Teilen und beende den Schritt
f83r	1	f83r.15	3	1	lchedy	GANZKARTE-LCHE=ABLAUF + DY=SCHLUSS	lasse die verbrauchte Flüssigkeit in das untere Auffanggefäß ablaufen und beende den Schritt
f83r	1	f83r.16	1	1	tchedy	HOST-CHE=UNBEKANNT + DY=SCHLUSS	spüle das benutzte Gefäß oder den Lauf einmal aus und beende den Schritt
f83r	1	f83r.16	2	1	qokchdy	HOST-OKCH=UNBEKANNT + DY=SCHLUSS	erwärme es einmal und beende den Schritt
f83r	1	f83r.16	3	6	cheedar chldaiin chedy qokain checthy chealror	HOST-ED=UNBEKANNT + RIGHT-AR=QUELLE | HOST-LD=UNBEKANNT + RIGHT-AIIN=STANDARD | HOST-Y=UNBEKANNT + INNER-D=VARIANTE | HOST-OK=SETZEN + RIGHT-AIN=EINHEIT | GANZKARTE-CTHY=BEREIT | HOST-ALROR=UNBEKANNT	setze die Person an das Becken; nach dem Absetzen; rühre, bis alles gleichmäßig vermischt ist; gib einen abgemessenen Anteil in das Gefäß; Sobald die Zubereitung gebrauchsfertig ist; bis der Strom klar wird
f83r	1	f83r.20	1	1	solkeedy	HOST-OLKEE=UNBEKANNT + DY=SCHLUSS	lasse die Flüssigkeit sich setzen und beende den Schritt
f83r	1	f83r.20	2	1	qoteedy	HOST-EE=UNBEKANNT + FRAME-OT=GEGENBEZUG + DY=SCHLUSS	binde es auf die Stelle und beende den Schritt
f83r	1	f83r.20	3	2	qokeey qokedy	GANZKARTE-OKEEY=LAUWARM | GANZKARTE-OKE=SPÜLEN + DY=SCHLUSS	temperiere die Arbeitsflüssigkeit und halte sie lauwarm; spüle die bezeichnete Stelle einmal und beende den Schritt
f83r	1	f83r.20	4	3	sol cheeety qokedy	HOST-L=ANSCHLUSS + FRAME-O=FORTSETZUNG | HOST-EETY=UNBEKANNT | GANZKARTE-OKE=SPÜLEN + DY=SCHLUSS	Mit der vorigen Zubereitung weiter; nach der ersten Spülung; spüle die bezeichnete Stelle einmal und beende den Schritt
f83r	1	f83r.20	5	2	qoky saiin	GANZKARTE-OKY=VERWENDEN | GANZKARTE-AIIN=MASS	Die aktive Portion verwenden; Ein vorgeschriebenes Maß
f83r	1	f83r.22	1	2	schedair otchedy	HOST-CHED=UNBEKANNT + RIGHT-AIR=LAUF | HOST-CHE=UNBEKANNT + FRAME-OT=GEGENBEZUG + DY=SCHLUSS	ziehe die klare Flüssigkeit ab; mische zu gleichen Teilen und beende den Schritt
f83r	1	f83r.22	2	1	qokeedy	HOST-OKEE=UNBEKANNT + DY=SCHLUSS	bade oder tauche in der temperierten warmen Flüssigkeit und beende den Schritt
f83r	1	f83r.22	3	5	chedain chedy qotedaiin otaiin otedy	HOST-D=UNBEKANNT + RIGHT-AIN=EINHEIT | HOST-Y=UNBEKANNT + INNER-D=VARIANTE | HOST-ED=UNBEKANNT + FRAME-OT=GEGENBEZUG + RIGHT-AIIN=STANDARD | HOST-OT=GEGENBEZUG + RIGHT-AIIN=STANDARD | HOST-E=BIS + FRAME-OT=GEGENBEZUG + DY=SCHLUSS	beginne die Spülung; rühre, bis alles gleichmäßig vermischt ist; das breite Gefäß; für dieselbe Dauer wie zuvor; lasse es bis zur Klarheit ziehen und beende den Schritt
f83r	1	f83r.22	4	1	ldy	HOST-L=ANSCHLUSS + DY=SCHLUSS	ziehe es ab und beende den Schritt
f83r	1	f83r.24	1	6	soiiin checthy chety otaiin olsaly shedy	HOST-OIIIN=UNBEKANNT | GANZKARTE-CTHY=BEREIT | HOST-TY=UNBEKANNT | HOST-OT=GEGENBEZUG + RIGHT-AIIN=STANDARD | HOST-OLSALY=UNBEKANNT | HOST-E=BIS + DY=SCHLUSS	bis es klar ist; Sobald die Zubereitung gebrauchsfertig ist; Gleichmäßig bearbeiten; für dieselbe Dauer wie zuvor; das untere Becken; lasse es bis zur Bereitschaft stehen und beende den Schritt
f83r	2	f83r.25	1	1	qokeedy	HOST-OKEE=UNBEKANNT + DY=SCHLUSS	bade oder tauche in der temperierten warmen Flüssigkeit und beende den Schritt
f83r	2	f83r.25	2	3	qolchey qokeey qokedy	HOST-OLCHEY=UNBEKANNT | GANZKARTE-OKEEY=LAUWARM | GANZKARTE-OKE=SPÜLEN + DY=SCHLUSS	fülle danach das Gefäß; temperiere die Arbeitsflüssigkeit und halte sie lauwarm; spüle die bezeichnete Stelle einmal und beende den Schritt
f83r	2	f83r.25	3	2	chedy otal	HOST-Y=UNBEKANNT + INNER-D=VARIANTE | HOST-OT=GEGENBEZUG + RIGHT-AL=ZIEL	rühre, bis alles gleichmäßig vermischt ist; zum unteren Ablauf hin
f83r	2	f83r.26	1	5	otchey qokeey qoky tol shedy	HOST-CHEY=NEHMEN + FRAME-OT=GEGENBEZUG | GANZKARTE-OKEEY=LAUWARM | GANZKARTE-OKY=VERWENDEN | HOST-L=ANSCHLUSS + FRAME-O=FORTSETZUNG | HOST-E=BIS + DY=SCHLUSS	Nimm den bezeichneten Anteil; temperiere die Arbeitsflüssigkeit und halte sie lauwarm; Die aktive Portion verwenden; Mit der vorigen Zubereitung weiter; lasse es bis zur Bereitschaft stehen und beende den Schritt
f83r	2	f83r.26	2	1	qokylddy	HOST-OKYLD=UNBEKANNT + DY=SCHLUSS	binde es auf die Stelle und beende den Schritt
f83r	2	f83r.27	1	3	dain chedy qokeedy	HOST-AIN=UNBEKANNT | HOST-Y=UNBEKANNT + INNER-D=VARIANTE | HOST-OKEE=UNBEKANNT + DY=SCHLUSS	durch ein Tuch; rühre, bis alles gleichmäßig vermischt ist; bade oder tauche in der temperierten warmen Flüssigkeit und beende den Schritt
f83r	2	f83r.27	2	1	shckhedy	HOST-CKHE=UNBEKANNT + DY=SCHLUSS	seihe es einmal durch ein Tuch und beende den Schritt
f83r	2	f83r.27	3	1	shckhedy	HOST-CKHE=UNBEKANNT + DY=SCHLUSS	seihe es einmal durch ein Tuch und beende den Schritt
f83r	2	f83r.28	1	4	saiin cheeky sheey qokedy	GANZKARTE-AIIN=MASS | HOST-EKY=UNBEKANNT | HOST-EEY=UNBEKANNT | GANZKARTE-OKE=SPÜLEN + DY=SCHLUSS	Ein vorgeschriebenes Maß; solange es noch warm ist; die erste Öffnung; spüle die bezeichnete Stelle einmal und beende den Schritt
f83r	2	f83r.28	2	1	shedy	HOST-E=BIS + DY=SCHLUSS	lasse es bis zur Bereitschaft stehen und beende den Schritt
f83r	2	f83r.28	3	1	oldy	HOST-L=ANSCHLUSS + FRAME-O=FORTSETZUNG + DY=SCHLUSS	koche sanft und beende diesen Arbeitsschritt
f83r	2	f83r.35	1	5	saiin cheky okeeol okain chdy	GANZKARTE-AIIN=MASS | HOST-KY=UNBEKANNT | HOST-OKEEOL=UNBEKANNT | HOST-OK=SETZEN + RIGHT-AIN=EINHEIT | HOST-Y=UNBEKANNT + INNER-D=VARIANTE	Ein vorgeschriebenes Maß; bei sanfter Wärme; das breite Gefäß; gib einen abgemessenen Anteil in das Gefäß; rühre, bis alles gleichmäßig vermischt ist
f83r	2	f83r.37	1	2	sol lkedy	HOST-L=ANSCHLUSS + FRAME-O=FORTSETZUNG | HOST-LKE=UNBEKANNT + DY=SCHLUSS	Mit der vorigen Zubereitung weiter; wasche zweimal und beende den Schritt
f83r	2	f83r.37	2	1	lchedy	GANZKARTE-LCHE=ABLAUF + DY=SCHLUSS	lasse die verbrauchte Flüssigkeit in das untere Auffanggefäß ablaufen und beende den Schritt
f83r	2	f83r.37	3	2	qokol shedy	HOST-OKOL=UNBEKANNT | HOST-E=BIS + DY=SCHLUSS	lasse die Mischung einlaufen; lasse es bis zur Bereitschaft stehen und beende den Schritt
f83r	2	f83r.38	1	4	or chey qockhey dairydy	HOST-OR=BEREIT | HOST-Y=UNBEKANNT | HOST-OCKHEY=UNBEKANNT | HOST-AIRY=UNBEKANNT + DY=SCHLUSS	Die bereitete Arbeitsflüssigkeit; Diese aktive Portion; über der örtlich bezeichneten Stelle; gebrauche sie sofort und beende den Schritt
f83r	2	f83r.39	1	4	qokain shey kain chckhal	HOST-OK=SETZEN + RIGHT-AIN=EINHEIT | GANZKARTE-EY=ENDZUSTAND | HOST-K=UNBEKANNT + RIGHT-AIN=EINHEIT | HOST-CKH=UNBEKANNT + RIGHT-AL=ZIEL	gib einen abgemessenen Anteil in das Gefäß; Bis die Flüssigkeit klar abläuft; ein abgemessener Anteil; für die angegebene Dauer
f83r	2	f83r.41	1	2	solkey lchedy	HOST-OLKEY=UNBEKANNT | GANZKARTE-LCHE=ABLAUF + DY=SCHLUSS	öffne danach den oberen Lauf; lasse die verbrauchte Flüssigkeit in das untere Auffanggefäß ablaufen und beende den Schritt
f83r	2	f83r.41	2	2	qolkain dal	HOST-OLK=UNBEKANNT + RIGHT-AIN=EINHEIT | HOST-AL=ZIEL	das untere Becken; An die bezeichnete Zielstelle führen
f83r	2	f83r.44	1	2	skar shedy	HOST-K=UNBEKANNT + RIGHT-AR=QUELLE | HOST-E=BIS + DY=SCHLUSS	gieße das erwärmte Wasser ein; lasse es bis zur Bereitschaft stehen und beende den Schritt
f83r	3	f83r.47	1	1	otchdy	HOST-CH=UNBEKANNT + FRAME-OT=GEGENBEZUG + DY=SCHLUSS	ziehe es ab und beende den Schritt
f83r	3	f83r.47	2	1	qokchdy	HOST-OKCH=UNBEKANNT + DY=SCHLUSS	erwärme es einmal und beende den Schritt
f83r	3	f83r.47	3	1	shedal	HOST-ED=UNBEKANNT + RIGHT-AL=ZIEL	für einen Zeitabschnitt
f83r	3	f83r.48	1	5	dal cheol lol chdal aiin	HOST-AL=ZIEL | HOST-L=ANSCHLUSS + FRAME-O=FORTSETZUNG | HOST-LOL=UNBEKANNT | HOST-D=UNBEKANNT + RIGHT-AL=ZIEL | GANZKARTE-AIIN=MASS	An die bezeichnete Zielstelle führen; Mit der vorigen Zubereitung weiter; bis es warm ist; mit der vorigen Mischung; Ein vorgeschriebenes Maß
f83r	3	f83r.49	1	3	sol daiiin chedy	HOST-L=ANSCHLUSS + FRAME-O=FORTSETZUNG | HOST-AIIIN=UNBEKANNT | HOST-Y=UNBEKANNT + INNER-D=VARIANTE	Mit der vorigen Zubereitung weiter; die zweite Öffnung; rühre, bis alles gleichmäßig vermischt ist
f83r	4	f83r.52	1	4	solkeey qekey raly ol	HOST-OLKEEY=UNBEKANNT | HOST-EKEY=UNBEKANNT | HOST-RALY=UNBEKANNT | HOST-L=ANSCHLUSS + FRAME-O=FORTSETZUNG	setze die Person an das Becken; ohne Kochen; die erste Öffnung; Mit der vorigen Zubereitung weiter
f83r	4	f83r.54	1	5	daiin ol dain chey ldalor	GANZKARTE-AIIN=MASS | HOST-L=ANSCHLUSS + FRAME-O=FORTSETZUNG | HOST-AIN=UNBEKANNT | HOST-Y=UNBEKANNT | HOST-LDALOR=UNBEKANNT	Ein vorgeschriebenes Maß; Mit der vorigen Zubereitung weiter; durch ein Tuch; Diese aktive Portion; an der bezeichneten Stelle
